Key_1_3,entropy_ElectronAffinity,wtd_range_Valence,entropy_Density,wtd_range_ThermalConductivity,range_atomic_mass,Key_2_10
18051,1.07118954880035,1.1,0.923184667248286,57.1276685714286,122.90607,9711
16620,1.1640132003214,2.3,1.03430323226115,39.998671,157.0546,11190
4863,1.1640132003214,1.25,1.03430323226115,99.993355,157.0546,7576
19620,1.1640132003214,1.77777777777778,1.03430323226115,44.4414911111111,157.0546,4989
10657,1.46174285215126,1.205,1.52404869045951,99.993355,157.0546,13801
6218,1.10518217403612,0.266666666666667,1.01540712310099,133.324473333333,121.3276,14003
8394,1.10518217403612,0.266666666666667,1.01540712310099,133.324473333333,121.3276,9774
10483,1.1640132003214,0.333333333333333,1.02538153140938,133.324473333333,151.2596,14303
4658,1.1640132003214,0.316666666666667,1.02342186079968,133.324473333333,152.93481,11099
12361,1.1640132003214,0.366666666666667,1.02342186079968,133.324473333333,152.93481,1708
9072,1.1640132003214,0.416666666666667,1.02342186079968,133.324473333333,152.93481,3323
9977,1.1640132003214,0.466666666666667,1.02342186079968,133.324473333333,152.93481,15799
18880,1.15968659338134,0.846153846153846,1.03312880053102,92.29338,122.90607,12962
6778,1.10518217403612,0.571428571428571,1.01540712310099,171.424774285714,121.3276,285
12957,1.10518217403612,0.894117647058824,1.01540712310099,70.5726,121.3276,8794
15998,1.10518217403612,0.866666666666667,1.01540712310099,66.6511616666667,121.3276,14628
13086,1.10518217403612,0.857142857142857,1.01540712310099,57.1276685714286,121.3276,3792
4929,1.1640132003214,0.266666666666667,1.03449529359397,133.324473333333,128.2426,18957
17082,1.1640132003214,0.96,1.02662160472379,79.984052,135.9646,15097
16248,1.1640132003214,0.96,1.03227077724971,79.984052,141.2506,14392
9607,1.1640132003214,0.96,1.02888999364195,79.984052,146.5006,8343
7599,1.1640132003214,0.96,1.0273100853899,79.984052,148.93092,13087
16923,1.1640132003214,0.96,1.02538153140938,79.984052,151.2596,3018
15541,1.1640132003214,0.96,1.02342186079968,79.984052,152.93481,15053
5867,1.1640132003214,0.96,1.01899345593772,79.984052,158.9674,3470
14856,1.1640132003214,0.727272727272727,1.03449529359397,181.815765454545,128.2426,9935
5162,1.1640132003214,0.571428571428571,1.03401612116771,171.424774285714,134.3606,10941
1888,1.1640132003214,0.727272727272727,1.03227077724971,181.815765454545,141.2506,6217
18729,1.10518217403612,0.571428571428571,1.01540712310099,171.424774285714,121.3276,5138
7382,1.10518217403612,1.02,1.01540712310099,79.984052,121.3276,12856
15403,1.10518217403612,0.1,1.01540712310099,99.993355,121.3276,2785
2760,1.10518217403612,0.0571428571428572,1.01540712310099,114.27812,121.3276,8625
14398,1.18353408859616,1.1,1.27883321462228,48.55624,184.5906,918
14156,1.09667176877521,1.1,0.995982779568411,57.1276685714286,122.90607,20074
18645,1.39956160761746,1.1,1.33758121983716,99.993355,157.0546,9955
5853,1.09667176877521,1.04285714285714,0.995982779568411,57.1276685714286,122.90607,3579
19517,1.10518217403612,0.266666666666667,1.01540712310099,133.324473333333,121.3276,4132
20682,1.1640132003214,0.96,1.03430323226115,79.984052,157.0546,11842
15096,1.1640132003214,1.08571428571429,1.01899345593772,57.1276685714286,158.9674,5165
6748,1.10518217403612,1.3,1.01540712310099,66.6489466666667,121.3276,12958
13924,1.15968659338134,1.1,1.03312880053102,57.1276685714286,122.90607,1470
2404,1.09667176877521,1.1,0.995982779568411,57.1276685714286,122.90607,11967
2034,1.19315380517766,1.11428571428571,1.29818708732989,54.2705257142857,122.90607,19366
6943,1.34853758989108,1.13571428571429,1.30985742742169,56.55624,122.90607,5227
20748,1.36673021472848,1.13428571428571,1.30945072644508,56.55624,122.90607,20121
5341,1.12135037382873,1.13142857142857,1.30856430686073,55.9848114285714,122.90607,7491
17283,1.24264118205134,1.12142857142857,1.30681469030341,54.2705257142857,122.90607,3163
1759,1.36610197927011,1.11428571428571,1.30026419005146,54.2705257142857,122.90607,8921
7573,1.38443341960821,1.12857142857143,1.30020285201444,54.2705257142857,122.90607,19358
18823,1.12135037382873,1.14,1.30957873721684,56.55624,122.90607,11999
8128,1.34753491018002,1.08571428571429,1.31030864728841,57.1276685714286,124.90825,1915
17165,1.34753491018002,1.1,1.30986654540629,57.1276685714286,128.2426,20006
11730,1.34753491018002,1.1,1.30896893789833,57.1276685714286,134.3606,6847
16035,1.34753491018002,1.1,1.30667933681294,57.1276685714286,141.2506,21015
1935,1.25339388367421,1.04230769230769,1.3180416651861,87.6779953846154,121.3276,5736
18164,1.25339388367421,1.00769230769231,1.3180416651861,83.0626107692308,121.3276,15875
19047,1.25339388367421,1.07,1.3180416651861,91.3703030769231,121.3276,20032
16629,1.25339388367421,1.06307692307692,1.3180416651861,90.4472261538461,121.3276,9677
20922,1.25339388367421,1.04923076923077,1.3180416651861,88.6010723076923,121.3276,9717
13868,1.10518217403612,0.846153846153846,1.01540712310099,92.29338,121.3276,16778
10176,1.33973716170034,0.692307692307692,1.24322962706058,92.2954246153846,121.3276,13539
20621,1.20893487291017,0.692307692307692,1.01702957712381,92.3070076923077,121.3276,19302
10280,1.10518217403612,0.846153846153846,1.01540712310099,92.29338,121.3276,10171
5740,1.10518217403612,0.846153846153846,1.01540712310099,92.29338,121.3276,1352
18709,1.1640132003214,0.846153846153846,1.03227077724971,92.29338,141.2506,5317
15766,1.10518217403612,0.846153846153846,1.01540712310099,92.29338,121.3276,5433
17715,1.10518217403612,0.846153846153846,1.01540712310099,92.29338,121.3276,12817
10535,1.10518217403612,0.846153846153846,1.01540712310099,92.29338,121.3276,4788
6600,1.10518217403612,0.846153846153846,1.01540712310099,92.29338,121.3276,18491
1918,1.1640132003214,0.928571428571428,1.0273100853899,85.6990971428571,148.93092,6926
12822,1.35742892856008,1.12142857142857,1.31785557832121,85.6990971428571,141.2506,18105
17961,1.10518217403612,0.846153846153846,1.01540712310099,92.29338,121.3276,15548
15779,1.10518217403612,0.846153846153846,1.01540712310099,92.29338,121.3276,9341
5087,1.10518217403612,0.846153846153846,1.01540712310099,92.29338,121.3276,11053
14582,1.3890929591384,1.0,1.31260980008452,51.5974696774194,121.3276,8144
9538,1.1640132003214,0.98,1.03401612116771,79.984052,134.3606,2864
16298,1.1640132003214,0.96,1.03401612116771,79.984052,134.3606,8247
19181,1.1640132003214,1.44555555555556,1.03401612116771,44.4237711111111,134.3606,16288
4552,1.1640132003214,1.02,1.03401612116771,79.984052,134.3606,12159
8460,1.1640132003214,1.05,1.03401612116771,79.984052,134.3606,19100
9826,1.1640132003214,1.08,1.03401612116771,79.984052,134.3606,3476
16010,1.1640132003214,0.99,1.03401612116771,79.984052,134.3606,19885
696,1.10518217403612,1.0,1.01540712310099,79.984052,121.3276,7040
10704,1.15442179612317,0.769230769230769,0.980642980506267,61.5241492307692,192.981,2575
5431,1.15442179612317,0.75,0.980642980506267,99.993355,192.981,12329
216,1.1640132003214,0.571428571428571,1.02538153140938,171.424774285714,151.2596,709
18744,1.1640132003214,0.571428571428571,1.0273100853899,171.424774285714,148.93092,10996
11279,1.1640132003214,0.571428571428571,1.03227077724971,171.424774285714,141.2506,11705
978,1.10518217403612,0.837209302325582,1.01540712310099,93.0090386046512,121.3276,18049
8703,1.1640132003214,0.571428571428571,1.02662160472379,171.424774285714,135.9646,6387
10218,1.1640132003214,0.571428571428571,1.03227077724971,171.424774285714,141.2506,9234
2546,1.10518217403612,0.571428571428571,1.01540712310099,171.424774285714,121.3276,17895
1568,1.1640132003214,0.571428571428571,1.03430323226115,171.424774285714,157.0546,19590
3350,1.10518217403612,0.846153846153846,1.01540712310099,92.29338,121.3276,13500
5276,1.39018429137881,1.03846153846154,1.30954321277507,84.6010723076923,121.3276,14944
18089,1.34352118279876,1.06538461538462,1.27614721403569,90.7549184615385,121.3276,9944
9903,1.34352118279876,1.05384615384615,1.27614721403569,89.2164569230769,121.3276,12924
20639,1.09667176877521,1.1,0.995982779568411,57.1276685714286,122.90607,5840
17728,1.38443341960821,1.13571428571429,1.30020285201444,55.6990971428571,122.90607,13144
9455,1.38443341960821,1.12857142857143,1.30020285201444,54.2705257142857,122.90607,15088
10584,1.34352118279876,1.05153846153846,1.27614721403569,88.9087646153846,121.3276,950
157,1.34352118279876,1.04923076923077,1.27614721403569,88.6010723076923,121.3276,2086
3351,1.34352118279876,1.04692307692308,1.27614721403569,88.29338,121.3276,19292
18397,1.34352118279876,1.04576923076923,1.27614721403569,88.1395338461539,121.3276,12882
12061,1.34352118279876,1.03538461538462,1.27614721403569,86.7549184615385,121.3276,16260
20732,1.10518217403612,0.846153846153846,1.01540712310099,92.29338,121.3276,1270
15812,1.10518217403612,0.828125,1.01540712310099,93.735879375,121.3276,18599
743,1.1640132003214,0.846153846153846,1.02538153140938,92.29338,151.2596,10772
16336,1.38270603676642,1.05479452054795,1.01547149006152,91.3222777777778,136.31906,20735
14897,1.38270603676642,1.00296735905045,1.01547149006152,89.0143442136498,136.31906,12849
1249,1.38270603676642,0.928571428571429,1.01547149006152,85.7013928571428,136.31906,17546
10803,1.10518217403612,1.0,1.01540712310099,79.984052,121.3276,20187
10877,1.1640132003214,0.854961832061069,1.02662160472379,91.588647480916,135.9646,3515
8905,1.1640132003214,0.853211009174312,1.03227077724971,91.7287319266055,141.2506,18232
16878,1.1640132003214,0.829953198127925,1.02888999364195,93.5896040873635,146.5006,11903
19395,1.1640132003214,0.819826907946499,1.0273100853899,94.3998149645948,148.93092,18111
5739,1.1640132003214,0.829953198127925,1.02538153140938,93.5896040873635,151.2596,18507
10396,1.1640132003214,0.814229249011858,1.02342186079968,94.8476871936759,152.93481,1082
5328,1.1640132003214,0.819826907946499,1.03430323226115,94.3998149645948,157.0546,21203
14368,1.1640132003214,0.846153846153846,1.01899345593772,92.29338,158.9674,6416
13067,1.10518217403612,0.820754716981132,1.01540712310099,94.3255803773585,121.3276,12527
90,1.1640132003214,0.860182370820669,1.03449529359397,91.1709488753799,128.2426,12905
21027,1.1640132003214,0.8558352402746,1.03401612116771,91.5187655377574,134.3606,8681
6554,1.09667176877521,1.1,0.995982779568411,57.1276685714286,122.90607,11175
18251,1.09667176877521,1.1,0.995982779568411,57.1276685714286,122.90607,19088
5540,1.39018429137881,1.02439024390244,1.30954321277507,88.4202922108576,121.3276,16165
10699,1.13042757181707,0.949308755760369,1.32221306724433,66.9595960061444,121.3276,7514
16405,1.38651513852987,1.04389282899921,1.29235288127566,89.7259191489362,121.3276,19079
3362,1.3354406648522,0.984838709677419,1.13435236823687,93.599184516129,179.0846,21152
10437,1.37517097535697,0.967993754879001,1.30961869274625,84.2950238875878,121.3276,1813
18284,1.39018429137881,1.03867924528302,1.30954321277507,91.369647327044,121.3276,18928
8289,1.13042757181707,0.975813953488372,1.32055933909268,83.6136897674419,121.3276,14564
9715,1.25339388367421,1.04092307692308,1.3180416651861,87.49338,121.3276,19669
7711,1.25339388367421,0.638888888888889,1.3180416651861,153.671427350427,121.3276,7750
6086,1.10518217403612,0.837209302325582,1.01540712310099,93.0090386046512,121.3276,17724
4627,1.37075410543601,1.02156704361874,1.12117969382665,91.9733350565428,130.386,5814
15602,1.37075410543601,1.02911392405063,1.12117969382665,88.8468806962025,130.386,3793
11794,1.25339388367421,1.04230769230769,1.3180416651861,87.6779953846154,121.3276,732
14683,1.25339388367421,1.04230769230769,1.3180416651861,87.6779953846154,121.3276,8183
1241,1.25339388367421,1.00769230769231,1.3180416651861,83.0626107692308,121.3276,21256
19302,1.10518217403612,0.846153846153846,1.01540712310099,92.29338,121.3276,4303
18154,1.25339388367421,1.06653846153846,1.3180416651861,90.9087646153846,121.3276,1792
5748,1.25339388367421,1.06653846153846,1.3180416651861,90.9087646153846,121.3276,5270
17464,1.25339388367421,1.05269230769231,1.3180416651861,89.0626107692308,121.3276,1634
3204,1.22743373508426,0.661341853035144,1.01632733075718,153.351712140575,121.3276,19640
4066,1.22743373508426,0.727954971857411,1.01632733075718,90.0528551594747,121.3276,16136
10292,1.22743373508426,0.839796207189358,1.01632733075718,169.827083470139,121.3276,16032
17643,1.22743373508426,0.839796207189358,1.01632733075718,169.827083470139,121.3276,6555
12745,1.22743373508426,0.814375436147941,1.01632733075718,167.480171598046,121.3276,2029
16201,1.22743373508426,0.85290763968073,1.01632733075718,171.037565108324,121.3276,5076
3564,1.22743373508426,0.848428835489833,1.01632733075718,170.624070226077,121.3276,8747
15149,1.22743373508426,0.843971631205674,1.01632733075718,170.212569503546,121.3276,10226
15093,1.10518217403612,0.571428571428571,1.01540712310099,171.424774285714,121.3276,7459
3334,1.1640132003214,0.571428571428571,1.03227077724971,171.424774285714,141.2506,20079
13602,1.1640132003214,0.571428571428571,1.02538153140938,171.424774285714,151.2596,4633
14811,1.1640132003214,0.571428571428571,1.02888999364195,171.424774285714,146.5006,11433
8567,1.1640132003214,0.571428571428571,1.0273100853899,171.424774285714,148.93092,12976
7216,1.10518217403612,0.571428571428571,1.01540712310099,171.424774285714,121.3276,3393
17583,1.09667176877521,1.1,0.995982779568411,57.1276685714286,122.90607,13034
11744,1.38443341960821,1.14142857142857,1.30020285201444,56.8419542857143,122.90607,17941
7961,1.38443341960821,1.14,1.30020285201444,56.55624,122.90607,1630
17888,1.38443341960821,1.13714285714286,1.30020285201444,55.9848114285714,122.90607,1795
8325,1.38443341960821,1.3725,1.30020285201444,96.993355,122.90607,16943
18319,1.11263862269811,0.444444444444444,1.16506544127006,133.33038,188.3839,4538
1046,1.11263862269811,0.4,1.16506544127006,119.997342,188.3839,15093
1684,1.10518217403612,0.571428571428571,1.01540712310099,171.424774285714,121.3276,1998
3782,1.20344408170466,0.728571428571429,1.31616303355153,162.853345714286,121.3276,21028
12567,1.20344408170466,0.6,1.31616303355153,154.281917142857,121.3276,14387
20447,1.20344408170466,0.471428571428571,1.31616303355153,145.710488571429,121.3276,8410
3811,1.20344408170466,0.4,1.31616303355153,137.13906,121.3276,2772
6078,1.20344408170466,0.357142857142857,1.31616303355153,128.567631428571,121.3276,15696
17475,1.20344408170466,0.314285714285714,1.31616303355153,119.996202857143,121.3276,2509
12039,1.20088590631532,0.5,1.16177435651007,133.328903333333,192.981,2398
21011,1.20088590631532,1.0,1.16177435651007,99.9966775,192.981,19080
7302,1.20088590631532,0.777777777777778,1.16177435651007,177.776301111111,192.981,9070
18152,1.20088590631532,0.5,1.16177435651007,133.328903333333,192.981,3861
18426,1.12135037382873,1.14388489208633,1.30957873721684,53.2221122302158,122.90607,9152
6021,1.10518217403612,0.846153846153846,1.01540712310099,92.29338,121.3276,13855
4700,1.37517097535697,1.0128125,1.30961869274625,88.767129375,121.3276,11756
8934,1.37576055329539,1.00946656649136,1.32198753412948,84.3129951915853,121.3276,11968
15070,1.10518217403612,0.822605965463108,1.01540712310099,94.1774608163265,121.3276,7232
6658,1.25339388367421,1.06728538283063,1.3180416651861,92.1744625367363,121.3276,9797
13320,1.25339388367421,1.05959752321981,1.3180416651861,91.317033003096,121.3276,3373
19930,1.25339388367421,1.04798761609907,1.3180416651861,89.7690453869969,121.3276,17119
5789,1.25339388367421,1.02552204176334,1.3180416651861,86.6060170610982,121.3276,12307
9060,1.25339388367421,0.984615384615385,1.3180416651861,79.9856876923077,121.3276,2765
1640,1.34352118279876,1.06032482598608,1.27614721403569,91.2463882907966,121.3276,3081
5227,1.34352118279876,1.04872389791183,1.27614721403569,89.6995978808971,121.3276,8116
2898,1.34352118279876,1.02401239349342,1.27614721403569,86.7402271262587,121.3276,3717
9722,1.34352118279876,1.00692840646651,1.27614721403569,83.1265747344111,121.3276,2549
15814,1.34352118279876,0.984615384615385,1.27614721403569,79.9856876923077,121.3276,15269
20178,1.39018429137881,1.05205905205905,1.30954321277507,90.1179017404818,121.3276,21089
10264,1.39018429137881,1.03276131045242,1.30954321277507,87.3493544773791,121.3276,16206
12963,1.37517097535697,1.06356589147287,1.30961869274625,92.3888835658915,121.3276,7617
13577,1.37517097535697,1.05572755417957,1.30961869274625,91.317033003096,121.3276,15553
14390,1.37517097535697,1.03276131045242,1.30961869274625,90.4694792823713,121.3276,6758
3483,1.37517097535697,1.00233826968044,1.30961869274625,87.281251644583,121.3276,10537
16188,1.37517097535697,0.975155279503106,1.30961869274625,83.8367336645963,121.3276,12797
6895,1.39018429137881,1.02852737085582,1.30954321277507,83.2547985659214,121.3276,10038
7537,1.13042757181707,1.04761904761905,1.32221306724433,90.5401241373927,121.3276,8276
20088,1.13042757181707,1.03049257232213,1.32221306724433,87.5543019390148,121.3276,13187
18718,1.13042757181707,1.01098901098901,1.32221306724433,84.7583085400314,121.3276,2368
8179,1.10518217403612,0.832684824902724,1.01540712310099,93.3710449027237,121.3276,14204
21226,1.1640132003214,0.571428571428571,1.03227077724971,171.424774285714,141.2506,20680
6901,1.23724044809735,0.8,1.26973066664085,171.424774285714,141.2506,673
17015,1.23724044809735,0.742857142857143,1.26973066664085,171.424774285714,141.2506,11135
9346,1.23724044809735,0.685714285714286,1.26973066664085,171.424774285714,141.2506,7310
19097,1.23724044809735,0.628571428571429,1.26973066664085,171.424774285714,141.2506,13933
139,1.23724044809735,0.571428571428571,1.26973066664085,171.424774285714,141.2506,336
4642,1.28636682704357,1.07,0.863421197328189,49.98671,122.90607,11561
13765,1.28636682704357,0.995180722891566,0.863421197328189,48.1799614457831,122.90607,17750
18065,1.20088590631532,0.5,1.16177435651007,133.328903333333,192.981,7595
5271,1.20088590631532,0.5,1.16177435651007,133.328903333333,192.981,6407
10110,1.10518217403612,0.846153846153846,1.01540712310099,92.29338,121.3276,12171
12929,1.1640132003214,0.846153846153846,1.0273100853899,92.29338,148.93092,2066
13541,1.1640132003214,0.846153846153846,1.03401612116771,92.29338,134.3606,17259
12475,1.10518217403612,0.846153846153846,1.01540712310099,92.29338,121.3276,7554
2068,1.1640132003214,0.571428571428571,1.02662160472379,171.424774285714,135.9646,9946
7877,1.10518217403612,0.828125,1.01540712310099,93.735879375,121.3276,15744
13126,1.1640132003214,0.571428571428571,1.03449529359397,171.424774285714,128.2426,2419
3057,1.20088590631532,0.5,1.16177435651007,133.328903333333,192.981,4265
12012,1.09667176877521,1.08571428571429,0.995982779568411,57.1276685714286,122.90607,5100
5338,1.10518217403612,0.914285714285714,1.01540712310099,57.1276685714286,121.3276,6876
20358,1.30367131498743,1.164,1.33629326992003,75.184052,141.2506,19340
10340,1.10518217403612,0.914285714285714,1.01540712310099,57.1276685714286,121.3276,4322
3640,1.1640132003214,0.846153846153846,1.02538153140938,92.29338,151.2596,14636
1972,1.40280858516607,1.01923076923077,1.32946591240517,92.29338,157.0546,5300
5760,1.40280858516607,0.989230769230769,1.32946591240517,92.29338,157.0546,8608
18973,1.40280858516607,0.961538461538461,1.32946591240517,92.29338,157.0546,2603
19827,1.40280858516607,0.991538461538461,1.32946591240517,92.29338,157.0546,7356
17097,1.40280858516607,1.01923076923077,1.32946591240517,92.29338,157.0546,2890
1760,1.1640132003214,0.846153846153846,1.03430323226115,92.29338,157.0546,15569
12712,1.25339388367421,0.785714285714286,1.3180416651861,165.710488571429,121.3276,7470
15976,1.25339388367421,0.714285714285714,1.3180416651861,159.996202857143,121.3276,7108
20483,1.25339388367421,0.642857142857143,1.3180416651861,154.281917142857,121.3276,1348
15119,1.25339388367421,0.571428571428571,1.3180416651861,148.567631428571,121.3276,8288
336,1.39018429137881,0.8,1.30954321277507,165.710488571429,121.3276,363
11784,1.39018429137881,0.742857142857143,1.30954321277507,159.996202857143,121.3276,4688
11876,1.37517097535697,0.771428571428571,1.30961869274625,165.710488571429,121.3276,8186
8582,1.37517097535697,0.6,1.30961869274625,154.281917142857,121.3276,17481
16344,1.37517097535697,0.514285714285714,1.30961869274625,148.567631428571,121.3276,11690
19551,1.13042757181707,0.8,1.32221306724433,165.710488571429,121.3276,5386
20957,1.13042757181707,0.742857142857143,1.32221306724433,159.996202857143,121.3276,18888
11442,1.1640132003214,0.571428571428571,1.02888999364195,171.424774285714,146.5006,14706
2907,1.10518217403612,0.571428571428571,1.01540712310099,171.424774285714,121.3276,12233
18485,1.10518217403612,0.571428571428571,1.01540712310099,171.424774285714,121.3276,729
20905,1.09667176877521,1.1,0.995982779568411,57.1276685714286,122.90607,20705
17208,1.30774864560342,1.06307692307692,1.32440300990621,90.4472261538461,121.3276,13671
1781,1.30774864560342,1.04230769230769,1.32440300990621,87.6779953846154,121.3276,1488
331,1.30774864560342,1.00769230769231,1.32440300990621,83.0626107692308,121.3276,11981
21229,1.10518217403612,0.844375963020031,1.01540712310099,92.4356295531587,121.3276,9741
2470,1.25339388367421,1.04923076923077,1.3180416651861,88.6010723076923,121.3276,13370
11201,1.1640132003214,0.846153846153846,1.03227077724971,92.29338,141.2506,19696
5910,1.1640132003214,0.846153846153846,1.02662160472379,92.29338,135.9646,8093
7336,1.1640132003214,0.571428571428571,1.03449529359397,171.424774285714,128.2426,21251
13527,1.1640132003214,0.571428571428571,1.03449529359397,171.424774285714,128.2426,8176
11820,1.1640132003214,0.571428571428571,1.03449529359397,171.424774285714,128.2426,11966
16232,1.1640132003214,0.571428571428571,1.03449529359397,171.424774285714,128.2426,3998
4129,1.38208749638531,0.822857142857143,1.29485816381883,169.710488571429,121.3276,12835
8562,1.38208749638531,0.788571428571428,1.29485816381883,167.996202857143,121.3276,16161
9583,1.38208749638531,0.737142857142857,1.29485816381883,165.424774285714,121.3276,18437
17084,1.38208749638531,0.685714285714286,1.29485816381883,162.853345714286,121.3276,12883
406,1.13042757181707,0.84,1.32221306724433,169.710488571429,121.3276,8235
12445,1.13042757181707,0.822857142857143,1.32221306724433,167.996202857143,121.3276,15916
9124,1.13042757181707,0.797142857142857,1.32221306724433,165.424774285714,121.3276,4094
4190,1.13042757181707,0.771428571428571,1.32221306724433,162.853345714286,121.3276,5461
13051,1.34352118279876,0.835714285714286,1.27614721403569,169.710488571429,121.3276,18886
19858,1.34352118279876,0.814285714285714,1.27614721403569,167.996202857143,121.3276,1391
9223,1.34352118279876,0.780400572246066,1.27614721403569,165.089187410587,121.3276,18281
1281,1.34352118279876,0.75,1.27614721403569,162.853345714286,121.3276,6415
5294,1.35405196166708,0.835714285714286,1.32454830505054,171.424774285714,122.90607,8643
7415,1.35405196166708,0.792857142857143,1.32454830505054,171.424774285714,122.90607,4071
16741,1.35405196166708,0.75,1.32454830505054,171.424774285714,122.90607,2655
5123,1.35405196166708,0.707142857142857,1.32454830505054,171.424774285714,122.90607,18453
2809,1.10518217403612,0.846153846153846,1.01540712310099,92.29338,121.3276,4264
16911,1.1640132003214,0.846153846153846,1.03449529359397,92.29338,128.2426,19020
9342,1.1640132003214,0.846153846153846,1.03401612116771,92.29338,134.3606,19938
13219,1.1640132003214,0.846153846153846,1.02662160472379,92.29338,135.9646,17607
19048,1.1640132003214,0.846153846153846,1.03227077724971,92.29338,141.2506,15910
4116,1.1640132003214,0.846153846153846,1.02888999364195,92.29338,146.5006,18462
6739,1.1640132003214,0.846153846153846,1.0273100853899,92.29338,148.93092,7483
18014,1.1640132003214,0.846153846153846,1.02538153140938,92.29338,151.2596,20753
10992,1.1640132003214,0.846153846153846,1.02342186079968,92.29338,152.93481,13382
17218,1.1640132003214,0.846153846153846,1.03430323226115,92.29338,157.0546,2819
10560,1.38270603676642,0.928571428571429,1.01547149006152,85.7013928571428,136.31906,4611
7885,1.38270603676642,0.928571428571429,1.01547149006152,85.7013928571428,136.31906,13427
1183,1.1640132003214,0.846153846153846,1.03227077724971,92.29338,141.2506,3074
18818,1.1640132003214,0.846153846153846,1.02888999364195,92.29338,146.5006,14384
16165,1.1640132003214,0.846153846153846,1.03401612116771,92.29338,134.3606,11365
14536,1.1640132003214,0.846153846153846,1.0273100853899,92.29338,148.93092,19574
12719,1.10518217403612,0.846153846153846,1.01540712310099,92.29338,121.3276,4259
4142,1.1640132003214,0.846153846153846,1.03449529359397,92.29338,128.2426,8084
11603,1.38603526612478,0.692307692307692,1.24572234051612,92.2954246153846,128.2426,16969
20628,1.38603526612478,0.583333333333333,1.24572234051612,99.988925,128.2426,18774
1520,1.38603526612478,0.692307692307692,1.2485928302708,92.2954246153846,135.9646,20031
2350,1.1640132003214,0.846153846153846,1.03227077724971,92.29338,141.2506,691
2650,1.38603526612478,0.692307692307692,1.23900932520665,92.2954246153846,141.2506,1505
11918,1.10518217403612,0.836307214895268,1.01540712310099,93.0812151900698,121.3276,7358
10266,1.33973716170034,1.06920152091255,1.24322962706058,91.2542851711027,121.3276,16284
16090,1.33973716170034,1.06094808126411,1.24322962706058,90.2925282167043,121.3276,10940
14923,1.33973716170034,1.03283582089552,1.24322962706058,89.5504029850746,121.3276,12434
10113,1.10518217403612,0.571428571428571,1.01540712310099,171.424774285714,121.3276,17646
18711,1.13042757181707,0.842857142857143,1.32221306724433,169.996202857143,121.3276,5648
9264,1.13042757181707,0.828571428571429,1.32221306724433,168.567631428571,121.3276,10533
20421,1.13042757181707,0.814285714285714,1.32221306724433,167.13906,121.3276,5637
15122,1.13042757181707,0.8,1.32221306724433,165.710488571429,121.3276,1977
691,1.13042757181707,0.771428571428571,1.32221306724433,162.853345714286,121.3276,11632
16833,1.13042757181707,0.742857142857143,1.32221306724433,159.996202857143,121.3276,3917
6810,1.13042757181707,0.685714285714286,1.32221306724433,154.281917142857,121.3276,14738
7293,1.1640132003214,0.837209302325582,1.03227077724971,93.0090386046512,141.2506,14742
16667,1.30367131498743,1.0,1.33629326992003,83.7067130232558,141.2506,4345
