yprop/table1.oz1,yprop/table1.oz247,yprop/table1.oz250,yprop/table1.oz251,yprop/table1.oz5,yprop/table1.oz6,yprop/table1.oz9,oz249,oz252
0.999899,0.051639,0.353549,0.385137,0.2,0.028571,0.0,0.286311,0.910117
0.999958,0.088381,0.1109,0.481964,0.0,0.114286,0.0,0.143731,0.909846
0.998759,0.051087,0.106561,0.375511,0.0,0.0,0.090909,0.069662,0.906504
0.998759,0.153812,0.159841,0.495989,0.2,0.142857,0.0,0.200544,0.904788
0.999803,0.090919,0.322398,0.459608,0.066667,0.0,0.0,0.318069,0.922493
0.999958,0.033874,0.407298,0.545723,0.333333,0.085714,0.0,0.342582,0.900632
0.998759,0.050535,0.22748,0.39735,0.0,0.057143,0.0,0.068736,0.904155
0.999903,0.033874,0.264686,0.538581,0.133333,0.142857,0.0,0.241849,0.972719
0.999773,0.037074,0.263749,0.417119,0.2,0.028571,0.0,0.191426,0.914905
0.999287,0.142889,0.120326,0.487502,0.066667,0.0,0.0,0.248786,0.874164
0.998759,0.063996,0.279418,0.607307,0.666667,0.0,0.318182,0.485836,0.99178
0.999798,0.047666,0.401773,0.544325,0.0,0.0,0.0,0.282206,0.912556
0.999958,0.027474,0.276765,0.590488,0.066667,0.028571,0.045455,0.406446,0.92439
0.99969,0.033322,0.270741,0.568701,0.066667,0.0,0.0,0.347537,0.907949
0.998759,0.060686,0.141519,0.57548,0.2,0.0,0.045455,0.160199,0.915086
0.999286,0.028578,0.249204,0.566423,0.0,0.0,0.0,0.174535,0.915266
0.952982,0.055059,0.532867,0.360089,0.2,0.028571,0.0,0.195885,0.909666
0.999627,0.035308,0.05328,0.446722,0.066667,0.0,0.0,0.120791,0.917977
0.999958,0.032771,0.116674,0.483465,0.066667,0.028571,0.0,0.133994,0.93776
0.998759,0.015116,0.057619,0.576877,0.333333,0.114286,0.045455,0.187862,0.897561
0.999588,0.02935,0.122323,0.476893,0.066667,0.057143,0.0,0.116743,0.903704
0.954402,0.018096,0.344965,0.687005,0.0,0.0,0.545455,0.586916,0.907769
0.998829,0.017323,0.120326,0.58257,0.133333,0.0,0.318182,0.279154,0.908762
0.999769,0.080216,0.113241,0.575635,0.0,0.0,0.090909,0.212149,0.887986
0.999349,0.037405,0.173731,0.420587,0.066667,0.0,0.0,0.159044,0.913911
0.999903,0.035419,0.175011,0.532681,0.066667,0.057143,0.181818,0.221343,0.905059
0.999182,0.026702,0.340471,0.564509,0.066667,0.0,0.0,0.249887,0.906504
0.999958,0.034867,0.627442,0.502355,0.266667,0.142857,0.090909,0.540602,0.863505
0.999717,0.021847,0.0,0.652849,0.0,0.0,0.0,0.177807,0.947787
0.999556,0.016661,0.303889,0.774517,0.533333,0.028571,0.318182,0.592517,0.931617
0.998759,0.088381,0.167801,0.349325,0.0,0.057143,0.0,0.074792,0.897471
0.999958,0.036743,0.315688,0.475289,0.4,0.0,0.045455,0.298801,0.912827
0.999958,0.034095,0.126787,0.603581,0.133333,0.171429,0.0,0.325118,0.931165
0.998759,0.030453,0.106561,0.613104,0.133333,0.0,0.272727,0.233553,0.887082
0.997948,0.015116,0.106561,0.57667,0.4,0.0,0.0,0.181683,0.903523
0.999958,0.017434,0.08209,0.567717,0.133333,0.057143,0.0,0.152231,0.911563
0.999577,0.192541,0.32836,0.508875,0.4,0.0,0.136364,0.422898,0.921138
0.999955,0.041818,0.106561,0.548466,0.066667,0.0,0.0,0.097456,0.901084
0.957708,0.01622,0.0,0.553589,0.4,0.0,0.0,0.177205,0.858988
0.999958,0.02273,0.16418,0.54593,0.2,0.0,0.136364,0.19683,0.898464
0.999958,0.311486,0.157937,0.526109,0.0,0.028571,0.0,0.276414,0.903252
0.998759,0.032771,0.16418,0.504735,0.2,0.114286,0.0,0.138035,0.902258
0.999286,0.071168,0.385979,0.532888,0.6,0.0,0.090909,0.490329,0.894851
0.999958,0.043363,0.239497,0.519329,0.133333,0.0,0.045455,0.174882,0.908311
0.999958,0.191217,0.0,0.661595,0.266667,0.0,0.318182,0.358633,0.927462
0.999958,0.02935,0.189244,0.533406,0.066667,0.0,0.045455,0.144288,0.901084
0.999537,0.008386,0.02881,0.635512,0.266667,0.028571,0.0,0.192553,0.894399
0.998759,0.01622,0.08209,0.597009,0.133333,0.285714,0.0,0.176871,0.91093
0.998759,0.139689,0.0,0.589246,0.0,0.0,0.454545,0.208343,0.912918
0.999965,0.079996,0.040233,0.498111,0.0,0.0,0.090909,0.12522,0.902439
0.999288,0.020523,0.156346,0.555245,0.133333,0.057143,0.0,0.177762,0.901897
0.99919,0.021516,0.156346,0.661647,0.0,0.0,0.0,0.275205,0.999458
0.9997,0.034205,0.147512,0.491797,0.066667,0.0,0.0,0.29053,0.904788
0.999958,0.032771,0.073506,0.446566,0.133333,0.0,0.045455,0.135521,0.915357
0.998882,0.023944,0.103065,0.560265,0.066667,0.0,0.0,0.188044,0.968112
0.999762,0.033543,0.0,0.641101,0.0,0.0,0.0,0.225113,0.915718
0.998759,0.02935,0.073506,0.453035,0.133333,0.114286,0.090909,0.123801,0.914453
0.999759,0.064548,0.128379,0.597216,0.0,0.0,0.0,0.266915,0.907227
0.999958,0.021406,0.165366,0.54681,0.066667,0.085714,0.227273,0.321952,0.903162
0.999958,0.016551,0.102316,0.620194,0.2,0.171429,0.0,0.333535,0.914544
0.999958,0.171135,0.010113,0.492832,0.0,0.114286,0.0,0.144069,0.900813
0.998759,0.031336,0.188651,0.502665,0.466667,0.0,0.0,0.180651,0.907407
0.999955,0.117069,0.106561,0.502769,0.0,0.0,0.0,0.086805,0.920054
0.999686,0.021626,0.146794,0.628888,0.0,0.0,0.0,0.228544,0.927462
0.999752,0.027916,0.227574,0.562646,0.133333,0.028571,0.0,0.248789,0.913008
0.999958,0.066755,0.0,0.595974,0.0,0.0,0.0,0.167506,0.999277
0.998759,0.033212,0.161121,0.540392,0.4,0.0,0.136364,0.222358,0.909395
0.999958,0.030453,0.089082,0.682503,0.0,0.085714,0.0,0.224035,0.93234
0.999958,0.048108,0.185998,0.427315,0.0,0.028571,0.0,0.113647,0.925294
0.999965,0.140903,0.050346,0.552554,0.133333,0.171429,0.0,0.286241,0.899639
0.999958,0.014123,0.08209,0.622522,0.2,0.142857,0.0,0.198217,0.927371
0.999958,0.036963,0.219801,0.535062,0.0,0.028571,0.0,0.263692,0.905691
0.99981,0.021626,0.05328,0.668323,0.0,0.0,0.0,0.24617,0.912105
0.998278,0.051859,0.155596,0.414842,0.2,0.0,0.0,0.122681,0.990515
0.999813,0.261172,0.265435,0.486777,0.133333,0.0,0.0,0.493489,0.976332
0.998759,0.035419,0.057619,0.487398,0.0,0.057143,0.181818,0.103021,0.904968
0.999577,0.015116,0.08209,0.571702,0.066667,0.0,0.0,0.16257,0.922945
0.998635,0.029902,0.169954,0.454122,0.0,0.0,0.545455,0.263991,0.892864
0.999958,0.217698,0.1109,0.475754,0.133333,0.028571,0.090909,0.257365,0.909395
0.998759,0.051528,0.077158,0.45909,0.4,0.0,0.0,0.047075,0.931346
0.999817,0.013682,0.106561,0.612534,0.0,0.028571,0.0,0.287685,0.985095
0.998759,0.066314,0.092203,0.611965,0.2,0.114286,0.409091,0.300284,0.909485
0.999958,0.264482,0.0,0.464938,0.066667,0.0,0.090909,0.126993,0.915537
0.999958,0.028578,0.1109,0.561818,0.066667,0.057143,0.0,0.169705,0.926649
0.999288,0.025047,0.08209,0.574962,0.0,0.057143,0.0,0.147359,0.889612
0.999909,0.02273,0.106561,0.507375,0.266667,0.057143,0.0,0.217982,0.885547
0.999664,0.087278,0.422561,0.322155,0.066667,0.0,0.0,0.360689,0.905781
0.99827,0.06499,0.252637,0.330435,0.133333,0.0,0.0,0.116908,0.900723
0.957451,0.017434,0.040233,0.363298,0.2,0.0,0.0,0.155241,0.901987
0.999703,0.017765,0.274799,0.666925,0.066667,0.0,0.045455,0.475853,0.951762
0.999349,0.035419,0.067045,0.480101,0.066667,0.0,0.0,0.193912,0.938844
0.998845,0.044908,0.077158,0.448481,0.266667,0.0,0.0,0.186227,0.88112
0.999958,0.026812,0.038923,0.663199,0.0,0.114286,0.0,0.261591,0.92701
0.998884,0.047225,0.117392,0.363608,0.133333,0.0,0.0,0.095836,0.904607
0.999333,0.109015,0.368968,0.440511,0.0,0.0,0.0,0.181937,0.849503
0.999167,0.046894,0.402897,0.492315,0.266667,0.342857,0.0,0.505286,0.92421
0.998759,0.058811,0.05328,0.434715,0.066667,0.0,0.0,0.059447,0.90542
0.998759,0.014123,0.08209,0.62392,0.333333,0.028571,0.136364,0.198354,0.929178
0.999958,0.012579,0.092203,0.638772,0.0,0.057143,0.363636,0.317761,0.934237
0.999088,0.165177,0.188651,0.462454,0.066667,0.0,0.0,0.164966,0.937669
0.998759,0.010593,0.074256,0.586503,0.066667,0.285714,0.0,0.158631,0.910117
0.999958,0.129427,0.020226,0.60679,0.133333,0.0,0.181818,0.264175,0.913098
0.999958,0.001103,0.0,0.695855,0.133333,0.028571,0.0,0.23648,0.918428
0.999958,0.022399,0.250484,0.492418,0.066667,0.0,0.0,0.250622,0.979946
0.999577,0.080216,0.120326,0.571961,0.0,0.028571,0.0,0.216311,0.914002
0.998556,0.05208,0.200855,0.448171,0.0,0.0,0.0,0.123301,0.922222
0.999958,0.015116,0.063393,0.596439,0.066667,0.028571,0.0,0.18973,0.885637
0.999291,0.148075,0.106561,0.573513,0.066667,0.0,0.0,0.222838,0.91626
0.999979,0.553349,0.113365,0.303007,0.0,0.028571,0.0,0.158389,0.923668
0.998759,0.022399,0.08209,0.517311,0.2,0.0,0.045455,0.105029,0.903342
0.999958,0.025378,0.16418,0.547896,0.133333,0.085714,0.0,0.18847,0.918699
0.999924,0.071279,0.080467,0.587228,0.0,0.057143,0.0,0.204423,0.885637
0.998759,0.032771,0.16418,0.499715,0.133333,0.114286,0.0,0.14166,0.982385
0.998925,0.143661,0.288813,0.52466,0.066667,0.0,0.227273,0.29363,0.895574
0.999556,0.034426,0.502778,0.489417,0.133333,0.0,0.0,0.378166,0.898193
0.999958,0.022399,0.144048,0.570874,0.133333,0.0,0.090909,0.226393,0.954201
0.999676,0.01964,0.106561,0.570926,0.066667,0.0,0.0,0.25825,0.894851
0.999088,0.088381,0.16418,0.492367,0.133333,0.0,0.0,0.154478,0.902891
0.999785,0.129538,0.080467,0.632562,0.0,0.0,0.0,0.362926,0.911201
0.999988,0.300894,0.160934,0.361072,0.0,0.0,0.0,0.099489,0.887353
0.999965,0.090478,0.050346,0.582311,0.133333,0.028571,0.0,0.215901,0.899097
0.999772,0.077016,0.399963,0.490969,0.066667,0.0,0.0,0.495141,0.938211
0.9996,0.088271,0.159841,0.510687,0.0,0.0,0.0,0.202545,0.925113
0.999958,0.043363,0.242525,0.556798,0.0,0.0,0.090909,0.189361,0.999458
0.999958,0.020523,0.08209,0.538063,0.133333,0.0,0.0,0.12229,0.90551
0.999581,0.134503,0.222236,0.326657,0.066667,0.0,0.0,0.075676,0.901626
0.999408,0.040494,0.159841,0.522072,0.0,0.0,0.0,0.125761,0.934779
0.998759,0.176211,0.100162,0.516586,0.066667,0.028571,0.227273,0.166223,0.898013
0.999788,0.078451,0.16418,0.451224,0.133333,0.0,0.0,0.378503,0.917615
0.999817,0.010151,0.08209,0.648864,0.0,0.0,0.045455,0.258489,0.99178
0.999537,0.07503,0.170298,0.533561,0.0,0.057143,0.272727,0.281865,0.91897
0.999739,0.046011,0.182596,0.432542,0.0,0.0,0.090909,0.071762,0.911292
0.998683,0.203023,0.234003,0.385085,0.066667,0.0,0.0,0.109118,0.91879
0.999752,0.025378,0.05328,0.641153,0.066667,0.0,0.0,0.209864,0.937218
0.999416,0.030453,0.115238,0.472183,0.0,0.0,0.090909,0.161316,0.913369
0.99967,0.020633,0.220738,0.578068,0.0,0.028571,0.0,0.311702,0.900903
0.999577,0.009599,0.16418,0.843296,0.333333,0.085714,0.363636,0.547313,0.911201
0.999955,0.203575,0.106561,0.529059,0.0,0.0,0.0,0.135168,0.914905
0.998759,0.275737,0.354454,0.415826,0.066667,0.0,0.181818,0.18258,0.908401
0.999958,0.051639,0.606218,0.606272,0.133333,0.057143,0.0,0.378614,0.999187
0.999757,0.022178,0.267495,0.494126,0.133333,0.057143,0.0,0.333207,0.965041
0.998759,0.078341,0.0,0.564353,0.0,0.0,0.318182,0.119906,0.895303
0.999659,0.047225,0.159841,0.492574,0.0,0.0,0.0,0.102232,0.999639
0.999717,0.023723,0.197328,0.52466,0.133333,0.0,0.181818,0.259198,0.91075
0.999577,0.013682,0.13537,0.642964,0.133333,0.142857,0.0,0.293372,0.912285
0.999958,0.02295,0.22542,0.66056,0.133333,0.057143,0.0,0.349249,0.931617
0.999958,0.040384,0.221799,0.522693,0.133333,0.057143,0.045455,0.195334,0.914995
0.999596,0.026812,0.112086,0.493764,0.466667,0.0,0.0,0.262625,0.891147
0.999554,0.293722,0.102847,0.494333,0.133333,0.171429,0.0,0.346712,0.912105
0.999958,0.015116,0.08209,0.598458,0.066667,0.057143,0.0,0.174558,0.926016
0.999414,0.07481,0.1109,0.529938,0.0,0.0,0.045455,0.185377,0.965402
0.999736,0.207547,0.133747,0.566372,0.0,0.028571,0.0,0.320698,0.920867
0.999548,0.011255,0.067045,0.621332,0.0,0.0,0.181818,0.359632,0.987895
0.999557,0.214719,0.080467,0.325778,0.0,0.0,0.0,0.093163,0.914092
0.999785,0.142889,0.193645,0.547224,0.0,0.0,0.0,0.278998,0.895122
0.999958,0.020523,0.038923,0.515293,0.133333,0.0,0.090909,0.112724,0.893496
0.998759,0.013241,0.157937,0.693008,0.066667,0.085714,0.454545,0.260382,0.901355
0.998759,0.010703,0.08209,0.612638,0.266667,0.0,0.272727,0.248598,0.93794
0.998925,0.085402,0.159841,0.471562,0.133333,0.0,0.0,0.178297,0.93523
0.999752,0.081209,0.0,0.643016,0.0,0.0,0.0,0.191312,0.999639
0.999958,0.003752,0.0,0.854267,0.066667,0.314286,0.0,0.39254,0.91075
0.999958,0.010703,0.05328,0.626559,0.0,0.057143,0.0,0.259332,0.996387
0.997186,0.20854,0.274112,0.243233,0.0,0.0,0.0,0.123168,0.90542
0.999958,0.027916,0.147013,0.455933,0.133333,0.114286,0.181818,0.266556,0.913821
0.999562,0.024385,0.261845,0.635719,0.2,0.028571,0.0,0.427633,0.903794
0.998759,0.07823,0.074443,0.58966,0.0,0.057143,0.227273,0.191805,0.990425
0.998278,0.174887,0.174293,0.359416,0.066667,0.028571,0.045455,0.144836,0.886631
0.998759,0.146199,0.226044,0.159137,0.0,0.057143,0.0,0.060373,0.91346
0.999577,0.019309,0.09186,0.551674,0.066667,0.171429,0.0,0.203458,0.896838
0.999958,0.144654,0.161527,0.530663,0.066667,0.028571,0.0,0.257397,0.944625
0.999315,0.035639,0.5417,0.442892,0.466667,0.028571,0.0,0.434115,0.9
0.997665,0.181287,0.191117,0.314703,0.0,0.057143,0.0,0.153895,0.908582
0.998759,0.216485,0.132249,0.422864,0.066667,0.057143,0.0,0.094751,0.912918
0.999958,0.023281,0.038923,0.646639,0.133333,0.085714,0.0,0.250835,0.947606
0.998997,0.014896,0.033991,0.551829,0.266667,0.057143,0.0,0.285916,0.930623
0.99978,0.009489,0.057619,0.754127,0.066667,0.142857,0.0,0.438761,0.889521
0.999965,0.013241,0.069043,0.550536,0.133333,0.0,0.045455,0.201374,0.917164
0.998759,0.014123,0.08209,0.613311,0.133333,0.228571,0.0,0.202007,0.890605
0.999577,0.048108,0.255852,0.36278,0.0,0.0,0.0,0.098206,0.992502
0.998606,0.015116,0.057619,0.556435,0.066667,0.0,0.181818,0.166589,0.918428
0.998759,0.14642,0.127723,0.35186,0.0,0.028571,0.0,0.041938,0.905691
0.998759,0.041046,0.02881,0.65968,0.0,0.0,0.045455,0.222523,0.933966
0.999742,0.15955,0.134465,0.440822,0.066667,0.085714,0.0,0.207268,0.93243
0.999288,0.020523,0.151913,0.558091,0.066667,0.0,0.0,0.212827,0.912556
0.999958,0.028136,0.132936,0.622264,0.333333,0.0,0.090909,0.233044,0.898193
0.999405,0.005738,0.088145,0.719143,0.0,0.0,0.136364,0.269964,0.946522
0.999958,0.138806,0.084369,0.520364,0.0,0.114286,0.0,0.254944,0.927642
0.999577,0.078782,0.149822,0.444703,0.266667,0.0,0.0,0.214561,0.939024
0.998759,0.03895,0.204913,0.55245,0.133333,0.171429,0.136364,0.216541,0.890605
0.999335,0.023281,0.086429,0.523418,0.2,0.0,0.0,0.23017,0.944535
0.999455,0.029681,0.397185,0.63251,0.066667,0.0,0.0,0.41674,0.903884
0.999472,0.030453,0.233348,0.471407,0.266667,0.0,0.0,0.391098,0.891147
0.998759,0.024826,0.05328,0.521192,0.2,0.085714,0.0,0.102257,0.910208
0.999958,0.072824,0.096198,0.573203,0.133333,0.028571,0.090909,0.227662,0.916983
0.998759,0.143771,0.092203,0.503286,0.133333,0.028571,0.227273,0.223554,0.919241
0.999817,0.041487,0.321368,0.50991,0.0,0.057143,0.0,0.3912,0.906594
0.999537,0.138806,0.162276,0.509341,0.0,0.0,0.0,0.243949,0.899729
0.998952,0.025378,0.16418,0.514827,0.133333,0.0,0.0,0.161994,0.980307
0.999186,0.013682,0.116674,0.604254,0.0,0.0,0.090909,0.282584,0.980849
0.999958,0.030564,0.397528,0.475444,0.4,0.085714,0.136364,0.557407,0.875339
0.999577,0.098643,0.217461,0.555452,0.133333,0.0,0.0,0.182112,0.917435
0.999892,0.031336,0.180941,0.47948,0.133333,0.0,0.045455,0.193842,0.918428
0.999604,0.07481,0.299551,0.468354,0.2,0.085714,0.0,0.407719,0.904426
0.999787,0.061459,0.211405,0.37401,0.066667,0.057143,0.045455,0.136441,0.923668
0.999948,0.026812,0.16418,0.578275,0.133333,0.285714,0.090909,0.240159,0.918248
0.999536,0.01622,0.0,0.626714,0.0,0.0,0.227273,0.166449,0.904517
0.999958,0.026702,0.16418,0.545619,0.066667,0.085714,0.0,0.253321,0.920054
0.999661,0.014896,0.106561,0.662423,0.0,0.0,0.0,0.349055,0.898645
0.999955,0.098532,0.13537,0.521606,0.066667,0.085714,0.0,0.168887,0.928004
0.998845,0.024164,0.16418,0.691249,0.266667,0.057143,0.363636,0.355597,0.997651
0.999817,0.020633,0.106561,0.613983,0.0,0.0,0.0,0.300192,0.903252
0.999958,0.029681,0.17164,0.535114,0.133333,0.0,0.0,0.198523,0.92701
0.998759,0.024826,0.08209,0.521192,0.0,0.0,0.272727,0.085669,0.904517
0.999958,0.143771,0.086429,0.492781,0.133333,0.0,0.090909,0.216353,0.939476
0.999752,0.231491,0.113927,0.550846,0.066667,0.028571,0.0,0.247631,0.908943
0.999816,0.029902,0.367189,0.622626,0.0,0.028571,0.0,0.293181,0.887173
0.999958,0.07823,0.08209,0.538529,0.2,0.028571,0.0,0.171168,0.906504
0.999414,0.020523,0.13537,0.58552,0.066667,0.028571,0.0,0.235974,0.927913
0.998759,0.012027,0.063393,0.677586,0.133333,0.485714,0.181818,0.364886,0.906323
0.999537,0.075692,0.023878,0.5037,0.2,0.057143,0.0,0.201368,0.925474
0.998825,0.155578,0.16418,0.424261,0.133333,0.0,0.0,0.186198,0.913911
0.998759,0.011586,0.131875,0.681882,0.133333,0.0,0.590909,0.345525,0.911472
0.999561,0.021847,0.040233,0.638979,0.0,0.0,0.0,0.183465,0.91346
0.999903,0.135606,0.232318,0.551467,0.333333,0.0,0.0,0.307816,0.966847
0.997948,0.123469,0.630876,0.437303,0.133333,0.628571,0.0,0.683821,0.900181
0.999958,0.025709,0.174293,0.516069,0.133333,0.0,0.090909,0.267596,0.908943
0.994994,0.023061,0.33248,0.582466,0.0,0.0,0.909091,0.412075,0.907136
0.998278,0.010151,0.13537,0.738653,0.4,0.0,0.409091,0.373621,0.900181
0.998759,0.035419,0.233348,0.437717,0.266667,0.114286,0.0,0.189915,0.912105
0.999958,0.011806,0.020226,0.603167,0.0,0.057143,0.181818,0.215917,0.946161
0.998759,0.047446,0.276609,0.354086,0.0,0.085714,0.136364,0.183414,0.933424
0.999711,0.04226,0.295212,0.581845,0.066667,0.085714,0.0,0.211627,1.0
0.999752,0.139247,0.05328,0.596646,0.2,0.0,0.0,0.237597,0.925294
0.998759,0.051087,0.13537,0.396522,0.066667,0.057143,0.0,0.06001,0.90822
0.998759,0.216485,0.05328,0.360762,0.0,0.0,0.090909,0.060039,0.912285
0.999985,0.297473,0.080467,0.342804,0.0,0.0,0.0,0.104265,0.899368
0.99973,0.144764,0.129752,0.53827,0.266667,0.0,0.0,0.233187,0.978049
0.999924,0.030564,0.077502,0.431299,0.066667,0.0,0.181818,0.170039,0.91635
0.998665,0.035419,0.309383,0.461057,0.266667,0.142857,0.0,0.257388,0.887263
0.998925,0.083085,0.116674,0.547689,0.0,0.142857,0.0,0.239096,0.937669
0.999958,0.02273,0.14283,0.554314,0.133333,0.028571,0.0,0.235799,0.909214
0.998759,0.001765,0.0,0.68007,0.266667,0.0,0.227273,0.182338,0.90271
0.997948,0.056162,0.106561,0.547068,0.0,0.0,0.0,0.124046,0.932069
0.999958,0.02273,0.106561,0.51964,0.0,0.057143,0.0,0.21985,0.903613
0.999958,0.184155,0.0,0.498887,0.0,0.028571,0.0,0.11337,0.895574
0.999903,0.033102,0.297147,0.551933,0.333333,0.085714,0.0,0.348708,0.914724
0.999563,0.046784,0.270741,0.481395,0.0,0.0,0.045455,0.1738,0.888347
0.999556,0.059693,0.038923,0.670496,0.333333,0.142857,0.0,0.329271,0.999639
0.999752,0.080216,0.106561,0.533768,0.0,0.0,0.0,0.208238,0.892683
0.998759,0.194086,0.159841,0.389277,0.133333,0.028571,0.0,0.100673,0.900271
0.999717,0.014344,0.105968,0.638565,0.2,0.057143,0.181818,0.361637,0.899277
0.999958,0.020523,0.057619,0.501423,0.066667,0.0,0.090909,0.122337,0.885005
0.99966,0.098532,0.153412,0.453139,0.066667,0.0,0.0,0.165383,0.996477
0.999849,0.030453,0.242525,0.514102,0.0,0.0,0.090909,0.249559,0.994399
0.999958,0.020523,0.063393,0.524711,0.133333,0.0,0.181818,0.187732,0.901987
1.0,0.266799,0.110806,0.452776,0.2,0.085714,0.0,0.193912,0.87841
0.999838,0.009489,0.03062,0.778244,0.066667,0.0,0.0,0.432174,0.989521
0.999958,0.035308,0.05328,0.55333,0.0,0.028571,0.0,0.153081,0.926016
0.999958,0.028136,0.223235,0.463593,0.2,0.0,0.0,0.17246,0.920687
0.998278,0.130751,0.32836,0.523366,0.4,0.0,0.090909,0.367731,0.981572
0.999577,0.047225,0.185998,0.441598,0.0,0.0,0.0,0.093879,0.919964
0.999536,0.025047,0.05328,0.485173,0.0,0.0,0.090909,0.127712,0.915176
0.999958,0.041708,0.506898,0.321844,0.0,0.0,0.0,0.269241,0.896658
0.999958,0.072824,0.18553,0.553744,0.0,0.057143,0.0,0.24175,0.999729
0.998759,0.051087,0.063393,0.422139,0.0,0.057143,0.090909,0.086531,0.911382
0.999278,0.171135,0.100162,0.469337,0.0,0.028571,0.0,0.165116,0.917525
0.998759,0.022399,0.010113,0.544067,0.066667,0.028571,0.272727,0.125949,0.914634
0.998759,0.249145,0.424902,0.418103,0.866667,0.114286,0.136364,0.634968,0.923035
0.998278,0.070617,0.139709,0.53382,0.2,0.0,0.272727,0.264312,0.965041
0.998759,0.436279,0.141519,0.384205,0.0,0.114286,0.0,0.09933,0.918248
0.998759,0.007062,0.08209,0.750453,0.466667,0.0,0.5,0.376218,0.909214
0.999958,0.069072,0.223235,0.555866,0.0,0.0,0.090909,0.302273,0.907046
0.999958,0.030564,0.13537,0.470372,0.133333,0.028571,0.0,0.147477,0.895574
0.999627,0.033543,0.170329,0.626093,0.266667,0.057143,0.0,0.211646,0.909756
0.999971,0.017985,0.130813,0.533923,0.0,0.171429,0.0,0.292357,0.912556
0.999288,0.02935,0.05328,0.552968,0.0,0.0,0.0,0.124123,0.915266
0.99954,0.020633,0.086429,0.552399,0.266667,0.0,0.0,0.274339,0.912918
0.999536,0.166391,0.128972,0.499612,0.066667,0.085714,0.0,0.238714,0.982656
0.999773,0.230718,0.040233,0.530352,0.0,0.0,0.0,0.200871,0.879313
0.999958,0.047225,0.323054,0.615639,0.0,0.057143,0.0,0.281986,0.941734
