oz1,oz247,oz249,oz250,oz251,oz252,oz5,oz6,oz9
0.999577,0.10736,0.09266,0.05328,0.408115,0.921951,0.0,0.0,0.0
0.998759,0.03586,0.049009,0.08209,0.440253,0.902891,0.066667,0.0,0.045455
0.99827,0.050535,0.043472,0.05328,0.396108,0.905872,0.133333,0.0,0.0
0.999958,0.131413,0.374366,0.167894,0.60001,0.974074,0.2,0.2,0.0
0.999577,0.185921,0.150649,0.153443,0.428143,0.915899,0.0,0.0,0.0
0.999958,0.10736,0.128479,0.100162,0.438286,0.911834,0.0,0.0,0.0
0.999546,0.194086,0.126589,0.140396,0.37815,0.939747,0.0,0.0,0.0
0.999949,0.125014,0.093054,0.129752,0.383843,0.910208,0.0,0.0,0.0
0.999949,0.214719,0.101185,0.129752,0.364281,0.919603,0.0,0.0,0.0
0.999588,0.027695,0.084638,0.093514,0.444444,0.912827,0.066667,0.0,0.0
0.998759,0.048108,0.163518,0.271334,0.389277,0.90813,0.0,0.057143,0.181818
0.998759,0.028578,0.161323,0.086429,0.505149,0.908311,0.2,0.257143,0.0
0.998759,0.041818,0.090795,0.106561,0.455312,0.907949,0.066667,0.085714,0.0
0.999759,0.075692,0.181301,0.093514,0.509134,0.954472,0.0,0.028571,0.0
0.997948,0.115194,0.090235,0.188651,0.296641,0.904065,0.0,0.0,0.0
0.998278,0.015999,0.093621,0.05328,0.519174,0.908672,0.133333,0.0,0.090909
0.998759,0.07481,0.146143,0.0,0.579465,0.923668,0.333333,0.114286,0.0
0.998759,0.021075,0.070613,0.05328,0.48921,0.913008,0.266667,0.0,0.0
0.998759,0.024826,0.102257,0.05328,0.521192,0.910208,0.2,0.085714,0.0
0.999939,0.187024,0.138551,0.187028,0.440304,0.910208,0.0,0.0,0.0
0.999971,0.015999,0.095183,0.040233,0.514206,0.914724,0.066667,0.057143,0.0
0.998759,0.046011,0.090353,0.106561,0.416033,0.916441,0.2,0.0,0.0
0.998759,0.044908,0.145125,0.16418,0.513378,0.918248,0.2,0.085714,0.0
0.999948,0.052301,0.154917,0.223235,0.433835,0.915266,0.133333,0.114286,0.0
0.998759,0.083747,0.132212,0.05328,0.511308,0.915537,0.4,0.0,0.0
0.998759,0.107139,0.07482,0.074256,0.443616,0.912466,0.2,0.0,0.0
0.999291,0.020523,0.11049,0.106561,0.501216,0.908853,0.066667,0.028571,0.0
0.999577,0.194086,0.12446,0.05328,0.532371,0.899729,0.0,0.0,0.0
0.999577,0.020523,0.12705,0.05328,0.549708,0.903794,0.2,0.0,0.0
0.998759,0.14642,0.051924,0.05328,0.336387,0.904426,0.0,0.057143,0.0
0.999958,0.032771,0.137634,0.08209,0.537649,0.907769,0.133333,0.0,0.0
0.999958,0.037736,0.155846,0.1109,0.50991,0.91617,0.2,0.0,0.0
0.999958,0.037736,0.149036,0.14283,0.497335,0.903613,0.133333,0.057143,0.0
0.998759,0.018868,0.15801,0.153224,0.571961,0.907949,0.066667,0.257143,0.0
0.998759,0.046011,0.09006,0.235314,0.436837,0.998193,0.066667,0.085714,0.0
0.998759,0.146861,0.187929,0.02881,0.576153,0.919061,0.333333,0.028571,0.136364
0.999577,0.015116,0.16257,0.08209,0.571702,0.922945,0.066667,0.0,0.0
0.999577,0.075692,0.161046,0.08209,0.528438,0.912556,0.066667,0.0,0.0
0.998759,0.041818,0.082076,0.188651,0.408322,0.914182,0.133333,0.057143,0.0
0.999958,0.082644,0.107925,0.0,0.530611,0.91364,0.133333,0.0,0.0
0.999958,0.078341,0.125268,0.0,0.541634,0.913279,0.066667,0.0,0.0
0.998759,0.07481,0.134808,0.0,0.571961,0.909846,0.133333,0.057143,0.090909
0.999955,0.114421,0.086117,0.106561,0.479636,0.903433,0.0,0.0,0.0
0.998759,0.304756,0.085185,0.057619,0.326036,0.908311,0.0,0.057143,0.045455
0.999806,0.023944,0.205416,0.122323,0.569063,0.905962,0.066667,0.0,0.0
0.999557,0.214719,0.093163,0.080467,0.325778,0.914092,0.0,0.0,0.0
0.999557,0.203023,0.124708,0.094232,0.345288,0.907769,0.066667,0.0,0.0
0.999587,0.17268,0.165523,0.08802,0.455261,0.903523,0.0,0.0,0.0
0.998274,0.228181,0.0758,0.05328,0.288258,0.906775,0.0,0.0,0.0
0.999557,0.213174,0.109125,0.080467,0.346789,0.917615,0.0,0.0,0.0
0.999781,0.031336,0.175646,0.123041,0.457693,0.894309,0.133333,0.0,0.0
0.998884,0.047225,0.095836,0.117392,0.363608,0.904607,0.133333,0.0,0.0
0.999557,0.043584,0.139703,0.104345,0.380841,0.909214,0.2,0.0,0.0
0.999958,0.02935,0.098646,0.106561,0.474667,0.910659,0.0,0.028571,0.0
0.998759,0.093236,0.105042,0.05328,0.47917,0.911292,0.133333,0.114286,0.0
0.999958,0.017434,0.157695,0.05328,0.560575,0.89991,0.066667,0.114286,0.0
0.999958,0.265254,0.130115,0.0,0.517207,0.917525,0.0,0.0,0.0
0.999766,0.075692,0.16889,0.02881,0.550743,0.979042,0.066667,0.0,0.0
0.999766,0.07823,0.167907,0.0,0.594007,0.974435,0.0,0.0,0.0
0.999958,0.314355,0.073589,0.0,0.431403,0.972177,0.0,0.0,0.0
0.999506,0.194196,0.119769,0.225701,0.402525,0.906685,0.066667,0.028571,0.0
0.999506,0.126779,0.079915,0.196891,0.364695,0.910479,0.0,0.0,0.0
0.999627,0.042039,0.147069,0.106561,0.412307,0.909214,0.066667,0.0,0.0
0.999536,0.104711,0.11083,0.05328,0.403405,0.908762,0.0,0.0,0.0
0.998759,0.06201,0.340991,0.159841,0.625731,0.884011,0.4,0.057143,0.272727
0.998759,0.056824,0.354496,0.057619,0.705377,0.901626,0.266667,0.0,0.5
0.998759,0.059804,0.258953,0.05328,0.649433,0.94327,0.2,0.0,0.363636
0.999833,0.079334,0.285331,0.094232,0.576049,0.909395,0.066667,0.0,0.0
0.999781,0.085402,0.199898,0.094232,0.477462,0.917073,0.066667,0.028571,0.0
0.999781,0.029681,0.215554,0.173201,0.491073,0.89729,0.133333,0.028571,0.0
0.998601,0.204127,0.098623,0.08802,0.351188,0.903975,0.133333,0.0,0.0
0.998759,0.044135,0.426325,0.743149,0.40946,0.908491,0.533333,0.085714,0.0
0.999955,0.045901,0.163986,0.213122,0.47446,0.90533,0.133333,0.0,0.0
0.999577,0.022399,0.109771,0.08209,0.505822,0.908582,0.066667,0.028571,0.0
0.998278,0.035308,0.118783,0.16418,0.483983,0.911021,0.133333,0.085714,0.0
0.999806,0.149509,0.183665,0.0,0.536873,0.991147,0.133333,0.0,0.0
0.998759,0.010593,0.158631,0.074256,0.586503,0.910117,0.066667,0.285714,0.0
0.999958,0.064769,0.183802,0.0,0.595353,0.916079,0.0,0.028571,0.0
0.997241,0.051087,0.056421,0.0,0.417534,0.907498,0.0,0.028571,0.0
0.999958,0.020523,0.128396,0.05328,0.517052,0.906323,0.066667,0.028571,0.0
0.999958,0.032109,0.098849,0.08209,0.455571,0.909756,0.0,0.028571,0.0
0.999958,0.051528,0.109067,0.0,0.540496,0.999458,0.0,0.0,0.0
0.999963,0.037736,0.141297,0.175604,0.5096,0.907046,0.066667,0.0,0.0
0.999577,0.07823,0.164304,0.05328,0.549397,0.907498,0.0,0.0,0.0
0.999971,0.460995,0.082464,0.040233,0.412307,0.909214,0.0,0.0,0.0
0.999866,0.065541,0.211805,0.103377,0.591523,0.918338,0.0,0.0,0.0
0.99964,0.012579,0.207147,0.05328,0.621539,0.998916,0.0,0.0,0.0
0.998759,0.258965,0.050734,0.100162,0.380169,0.907498,0.0,0.0,0.090909
0.998759,0.111111,0.07778,0.038923,0.387621,0.91617,0.0,0.057143,0.181818
0.999955,0.338078,0.185024,0.16418,0.380686,0.896567,0.0,0.028571,0.0
0.999289,0.013241,0.195551,0.106561,0.58081,0.942367,0.0,0.0,0.0
0.998759,0.018868,0.146726,0.05328,0.562853,0.899187,0.0,0.228571,0.0
0.998977,0.01622,0.142888,0.094294,0.51845,0.928997,0.0,0.0,0.0
0.998683,0.112987,0.108638,0.176072,0.363401,0.906323,0.133333,0.0,0.0
0.999556,0.001986,0.160934,0.0,0.664493,0.908853,0.0,0.0,0.0
0.999288,0.035308,0.13303,0.05328,0.588159,0.977055,0.0,0.0,0.0
0.999735,0.020523,0.178188,0.106561,0.549138,0.88907,0.0,0.057143,0.0
0.998998,0.063445,0.094493,0.200855,0.333696,0.956549,0.0,0.0,0.0
0.998759,0.069955,0.056367,0.05328,0.44491,0.930894,0.0,0.028571,0.0
0.999958,0.074037,0.157402,0.02881,0.558764,0.912918,0.0,0.028571,0.0
0.999958,0.184155,0.114006,0.05328,0.469441,0.923577,0.066667,0.0,0.0
0.999556,0.008386,0.177205,0.02881,0.638979,0.949322,0.066667,0.0,0.0
0.998759,0.176211,0.128934,0.02881,0.459815,0.903433,0.2,0.114286,0.0
0.999958,0.174556,0.12592,0.0,0.498887,0.923035,0.066667,0.057143,0.0
0.999562,0.012579,0.299781,0.147575,0.6972,0.914815,0.0,0.0,0.0
0.999958,0.038288,0.119776,0.132717,0.472132,0.910298,0.133333,0.0,0.0
0.999958,0.029681,0.211481,0.243149,0.561766,0.916983,0.133333,0.085714,0.0
0.998759,0.038288,0.132832,0.256289,0.430368,0.91075,0.0,0.171429,0.0
0.999537,0.163853,0.172152,0.155846,0.449827,0.887173,0.0,0.028571,0.0
0.998759,0.03586,0.065617,0.05328,0.445117,0.902168,0.133333,0.057143,0.0
0.999958,0.092574,0.109981,0.057619,0.469492,0.889883,0.066667,0.057143,0.0
0.999958,0.146861,0.185998,0.0,0.585779,0.999097,0.266667,0.057143,0.0
0.999958,0.020523,0.12229,0.08209,0.538063,0.90551,0.133333,0.0,0.0
0.999561,0.021847,0.183465,0.040233,0.638979,0.91346,0.0,0.0,0.0
0.999958,0.149509,0.20861,0.010113,0.528696,0.952033,0.2,0.114286,0.0
0.999577,0.165398,0.149106,0.05328,0.507478,0.906323,0.2,0.0,0.0
0.999752,0.028136,0.204044,0.13537,0.575791,0.912105,0.0,0.028571,0.0
0.999958,0.037736,0.138961,0.13537,0.491849,0.911292,0.0,0.057143,0.0
0.999963,0.044908,0.155607,0.146794,0.56544,0.899548,0.0,0.0,0.0
0.998759,0.046011,0.086334,0.120669,0.437044,0.906865,0.133333,0.057143,0.0
0.999734,0.390378,0.258062,0.0,0.347306,0.941915,0.0,0.028571,0.0
0.999958,0.066755,0.167506,0.0,0.595974,0.999277,0.0,0.0,0.0
0.998759,0.050094,0.041563,0.074256,0.448481,0.908311,0.0,0.057143,0.0
0.999958,0.087719,0.113736,0.0,0.566837,0.920687,0.0,0.057143,0.0
0.999643,0.018206,0.20203,0.093514,0.565699,0.91093,0.0,0.0,0.0
0.998759,0.107139,0.07517,0.05328,0.443616,0.906775,0.133333,0.028571,0.0
0.999955,0.043584,0.116151,0.188651,0.511981,0.908943,0.066667,0.0,0.0
0.999414,0.014123,0.193533,0.05328,0.645966,0.921319,0.0,0.0,0.0
0.999958,0.096546,0.13835,0.02881,0.557419,0.917435,0.066667,0.028571,0.0
0.998759,0.028578,0.19057,0.141519,0.58169,0.911834,0.2,0.257143,0.0
0.998759,0.03586,0.059479,0.106561,0.418517,0.905872,0.133333,0.028571,0.0
0.998278,0.035308,0.122025,0.106561,0.458314,0.906956,0.133333,0.028571,0.0
0.999948,0.071168,0.110184,0.319683,0.478238,0.908762,0.2,0.0,0.0
0.999958,0.021847,0.180165,0.132717,0.57165,0.912647,0.066667,0.0,0.0
0.999958,0.041818,0.103877,0.132717,0.485846,0.908672,0.066667,0.0,0.0
0.999973,0.092574,0.111114,0.080467,0.500233,0.904155,0.066667,0.0,0.0
0.999955,0.193865,0.111725,0.106561,0.497904,0.906233,0.066667,0.0,0.0
0.999958,0.041818,0.097382,0.05328,0.417482,0.903342,0.0,0.0,0.0
0.998278,0.321968,0.60502,0.32836,0.469699,0.924119,0.466667,0.0,0.409091
0.998759,0.018868,0.134048,0.05328,0.56839,0.928817,0.133333,0.028571,0.136364
0.999752,0.567803,0.304959,0.1109,0.361228,0.91346,0.0,0.085714,0.0
0.998759,0.067638,0.257938,0.05328,0.612897,0.882927,0.066667,0.371429,0.0
0.999958,0.020523,0.152298,0.0,0.628577,0.903342,0.133333,0.057143,0.0
0.999958,0.107139,0.078098,0.0,0.52466,0.901174,0.0,0.0,0.0
0.999958,0.111111,0.093389,0.0,0.555814,0.902439,0.0,0.0,0.0
0.999958,0.037736,0.157759,0.1109,0.608084,0.900813,0.133333,0.0,0.0
0.999958,0.092574,0.12306,0.02881,0.528438,0.909485,0.066667,0.028571,0.0
0.999659,0.047225,0.10803,0.159841,0.471562,0.908582,0.0,0.0,0.0
0.999577,0.01313,0.308386,0.13537,0.668219,0.90533,0.4,0.0,0.227273
0.998759,0.025709,0.31608,0.05328,0.730373,0.975339,0.266667,0.0,0.272727
0.998278,0.078341,0.112043,0.0,0.521348,0.908582,0.066667,0.0,0.045455
0.998759,0.038288,0.107394,0.106561,0.472597,0.912285,0.133333,0.085714,0.0
0.999778,0.021847,0.172422,0.106561,0.604047,0.917344,0.0,0.0,0.045455
0.999963,0.035308,0.12621,0.146794,0.506909,0.914815,0.0,0.0,0.0
0.999958,0.015116,0.175032,0.05328,0.584588,0.914905,0.0,0.085714,0.0
0.999971,0.011586,0.139108,0.040233,0.561404,0.908582,0.066667,0.142857,0.0
0.999958,0.015116,0.175032,0.05328,0.584588,0.928636,0.0,0.085714,0.0
0.999735,0.00971,0.157087,0.05328,0.586348,0.904155,0.0,0.0,0.090909
0.999924,0.103829,0.100342,0.049285,0.504011,0.915176,0.0,0.0,0.0
0.999291,0.09776,0.09286,0.155846,0.461419,0.906052,0.0,0.0,0.0
0.998759,0.050535,0.046537,0.156346,0.396108,0.908762,0.066667,0.028571,0.0
0.998759,0.032109,0.105061,0.131875,0.415619,0.907046,0.0,0.085714,0.136364
0.999537,0.081209,0.157962,0.102566,0.513585,0.908401,0.0,0.085714,0.0
0.999958,0.073375,0.200719,0.057619,0.55628,0.909485,0.133333,0.028571,0.0
0.999752,0.015116,0.179035,0.05328,0.57341,0.907407,0.066667,0.0,0.0
0.998759,0.116959,0.072185,0.010113,0.43161,0.910479,0.2,0.028571,0.0
0.999958,0.027033,0.13471,0.08209,0.536821,0.904065,0.066667,0.057143,0.0
0.999752,0.331016,0.199863,0.057619,0.513016,0.907588,0.133333,0.0,0.0
0.998759,0.033212,0.170341,0.283882,0.441857,0.910027,0.133333,0.142857,0.0
0.998759,0.412888,0.040141,0.0,0.386948,0.907317,0.066667,0.028571,0.0
0.998759,0.078341,0.138191,0.0,0.616985,0.90804,0.2,0.0,0.136364
0.999536,0.17268,0.18055,0.110275,0.455312,0.914453,0.133333,0.0,0.0
0.999958,0.153592,0.191236,0.074443,0.574393,0.907949,0.0,0.0,0.0
0.999949,0.112987,0.107651,0.187371,0.384412,0.908582,0.133333,0.0,0.0
0.998278,0.048108,0.120788,0.209626,0.382187,0.905059,0.133333,0.028571,0.0
0.999954,0.101953,0.188219,0.251701,0.479118,0.91879,0.0,0.114286,0.0
0.998759,0.032109,0.109936,0.092203,0.43663,0.912014,0.066667,0.057143,0.181818
0.999958,0.057707,0.339005,0.08209,0.707085,0.866486,0.066667,0.057143,0.454545
0.998278,0.051087,0.058212,0.106561,0.412514,0.915266,0.0,0.028571,0.0
0.998136,0.125014,0.451392,0.285193,0.446359,0.912376,0.466667,0.0,0.136364
0.998759,0.034095,0.276064,0.27508,0.554417,0.901265,0.266667,0.257143,0.0
0.999958,0.117842,0.352864,0.0,0.710707,0.934417,0.0,0.0,0.0
0.999965,0.012799,0.117761,0.040233,0.54888,0.907859,0.066667,0.0,0.0
0.999823,0.137151,0.09014,0.276328,0.302075,0.90804,0.0,0.0,0.0
0.999958,0.025047,0.140546,0.156346,0.519329,0.907136,0.133333,0.0,0.0
0.999958,0.012799,0.134016,0.010113,0.560161,0.906594,0.2,0.028571,0.0
0.999958,0.017434,0.141717,0.0,0.544688,0.904246,0.0,0.0,0.0
0.999928,0.210637,0.124272,0.25295,0.390623,0.907949,0.0,0.028571,0.0
0.999958,0.035308,0.132902,0.132717,0.488537,0.910388,0.133333,0.0,0.0
0.998759,0.177645,0.14018,0.110275,0.447498,0.91093,0.2,0.057143,0.0
0.998759,0.146309,0.056303,0.0,0.496714,0.907949,0.0,0.028571,0.0
0.998759,0.133289,0.046944,0.0,0.48714,0.906775,0.133333,0.0,0.0
0.999953,0.383096,0.157259,0.319683,0.443565,0.912014,0.0,0.0,0.0
0.999948,0.051528,0.093494,0.188651,0.462868,0.91084,0.2,0.028571,0.0
0.999577,0.022399,0.131184,0.132249,0.537546,0.911743,0.066667,0.028571,0.0
0.999537,0.02935,0.123454,0.132717,0.506495,0.907949,0.066667,0.0,0.0
0.999958,0.067307,0.203576,0.010113,0.586814,0.911563,0.0,0.028571,0.227273
0.999577,0.024826,0.094318,0.05328,0.476272,0.911382,0.0,0.0,0.045455
0.999958,0.078341,0.122207,0.0,0.560161,0.908491,0.2,0.0,0.0
0.998759,0.050535,0.069172,0.08209,0.476065,0.90813,0.066667,0.057143,0.0
0.998759,0.27022,0.155591,0.159841,0.422967,0.911924,0.066667,0.114286,0.0
0.998759,0.176211,0.17254,0.100162,0.516586,0.91093,0.133333,0.171429,0.0
0.999958,0.00971,0.166268,0.010113,0.604358,0.898916,0.066667,0.0,0.0
0.999752,0.020523,0.173307,0.1109,0.578896,0.920235,0.066667,0.0,0.0
0.998759,0.129869,0.047638,0.074256,0.402888,0.910117,0.0,0.085714,0.0
0.999958,0.02935,0.109112,0.1109,0.506857,0.908582,0.133333,0.0,0.0
0.998759,0.372724,0.051135,0.05328,0.357398,0.914273,0.066667,0.0,0.0
0.999958,0.01622,0.151821,0.063393,0.575635,0.905691,0.0,0.0,0.0
0.998759,0.182942,0.108084,0.0,0.486674,0.909395,0.133333,0.114286,0.0
0.999666,0.019309,0.192069,0.1207,0.498784,0.999458,0.0,0.0,0.0
0.999958,0.037736,0.17198,0.271334,0.476789,0.90542,0.066667,0.0,0.045455
0.999958,0.032771,0.146497,0.106561,0.512188,0.90542,0.066667,0.028571,0.0
0.999836,0.039391,0.082458,0.040233,0.392589,0.998916,0.0,0.0,0.0
0.999958,0.10736,0.129481,0.179131,0.530818,0.905962,0.0,0.0,0.0
0.999955,0.095553,0.155595,0.106561,0.548517,0.914092,0.066667,0.028571,0.0
0.999958,0.40726,0.106894,0.100162,0.445738,0.876332,0.0,0.0,0.0
0.999577,0.101512,0.100587,0.08209,0.460229,0.905239,0.066667,0.0,0.0
0.999958,0.09776,0.104437,0.05328,0.469441,0.901987,0.066667,0.0,0.0
0.999577,0.035308,0.120555,0.106561,0.47948,0.909937,0.066667,0.0,0.0
0.999958,0.02935,0.115317,0.08209,0.485846,0.920145,0.133333,0.0,0.0
0.999958,0.441355,0.167105,0.057619,0.353775,0.889521,0.0,0.028571,0.0
0.998759,0.051639,0.367044,0.0,0.76277,0.908672,0.066667,0.714286,0.0
0.998759,0.054397,0.39717,0.05328,0.743673,0.903162,0.466667,0.0,0.409091
0.998759,0.032109,0.124667,0.05328,0.516586,0.916531,0.066667,0.171429,0.0
0.998759,0.027033,0.154293,0.063393,0.547379,0.915266,0.266667,0.085714,0.0
0.999659,0.043584,0.117408,0.188651,0.509859,0.915537,0.066667,0.0,0.0
0.999408,0.037736,0.140937,0.188651,0.537753,0.918157,0.066667,0.0,0.0
0.998759,0.018868,0.140683,0.05328,0.56839,0.915447,0.0,0.114286,0.227273
0.998759,0.07172,0.149434,0.0,0.594007,0.896929,0.0,0.0,0.409091
0.998759,0.062893,0.22063,0.0,0.647881,0.896025,0.066667,0.428571,0.0
0.999588,0.037736,0.136816,0.151133,0.452,0.917886,0.133333,0.057143,0.0
0.999816,0.029902,0.293181,0.367189,0.622626,0.887173,0.0,0.028571,0.0
0.998759,0.146861,0.181094,0.0,0.568649,0.918519,0.0,0.0,0.454545
0.999971,0.107139,0.072984,0.040233,0.45407,0.902168,0.066667,0.0,0.0
0.999958,0.248704,0.194119,0.0,0.528903,0.905962,0.066667,0.114286,0.0
0.998759,0.103829,0.10024,0.057619,0.426176,0.91888,0.133333,0.114286,0.0
0.999928,0.225312,0.104911,0.199669,0.41122,0.930894,0.066667,0.0,0.0
1.0,0.381772,0.140123,0.09058,0.469285,0.906052,0.0,0.0,0.227273
0.999903,0.040494,0.141256,0.260628,0.48212,0.918338,0.0,0.028571,0.0
0.998606,0.193865,0.108593,0.141426,0.432283,0.928365,0.0,0.028571,0.0
0.999577,0.027033,0.144762,0.05328,0.557626,0.896116,0.133333,0.0,0.0
0.999963,0.102725,0.145708,0.146794,0.49573,0.920235,0.0,0.0,0.0
0.999958,0.120159,0.068558,0.089737,0.335248,0.999639,0.0,0.0,0.0
0.999554,0.032881,0.455439,0.264498,0.636858,0.900994,0.0,0.0,0.0
0.998606,0.087719,0.099747,0.049285,0.501578,0.919151,0.2,0.0,0.0
0.999958,0.032771,0.133994,0.116674,0.483465,0.93776,0.066667,0.028571,0.0
0.952334,0.025047,0.11674,0.108933,0.489624,0.933062,0.266667,0.028571,0.0
0.999958,0.026812,0.166147,0.161527,0.570408,0.941644,0.066667,0.0,0.0
0.999752,0.014123,0.189597,0.05328,0.60767,0.907588,0.066667,0.028571,0.0
0.999958,0.110449,0.094337,0.132717,0.447912,0.890063,0.066667,0.0,0.0
0.998759,0.040494,0.125185,0.217461,0.443254,0.911021,0.2,0.057143,0.0
0.999577,0.157784,0.214011,0.05328,0.574911,0.999458,0.0,0.0,0.0
0.998278,0.031226,0.056147,0.094294,0.412772,0.911021,0.066667,0.0,0.0
0.999958,0.435617,0.083158,0.0,0.431403,0.917977,0.0,0.0,0.0
0.998759,0.039391,0.090222,0.05328,0.442426,0.917525,0.2,0.028571,0.0
0.998278,0.035419,0.067097,0.094294,0.425141,0.897019,0.0,0.0,0.0
0.998278,0.035419,0.072895,0.094294,0.40413,0.911021,0.0,0.0,0.0
0.998278,0.02935,0.097382,0.123104,0.458831,0.917977,0.066667,0.028571,0.0
0.999577,0.176211,0.124167,0.08209,0.504632,0.893044,0.066667,0.028571,0.0
0.999291,0.297584,0.279122,0.188651,0.411582,0.898284,0.0,0.057143,0.0
0.999716,0.004965,0.306944,0.078969,0.737515,0.928275,0.0,0.0,0.0
0.998759,0.089705,0.018864,0.05328,0.276355,0.897922,0.0,0.0,0.0
0.999958,0.078341,0.135566,0.0,0.601511,0.894309,0.0,0.0,0.0
0.999278,0.092133,0.120406,0.063393,0.421156,0.900271,0.0,0.0,0.0
0.998278,0.050094,0.024185,0.05328,0.415929,0.937037,0.0,0.0,0.0
0.997948,0.032771,0.132638,0.16418,0.488433,0.918067,0.0,0.057143,0.0
0.999958,0.088271,0.122076,0.038923,0.464938,0.932972,0.0,0.0,0.181818
0.999752,0.07823,0.162427,0.08209,0.565233,0.927823,0.0,0.0,0.0
0.998759,0.146861,0.080844,0.128972,0.425038,0.999548,0.066667,0.028571,0.0
