oz1,oz247,oz248,oz250,oz251,oz9
0.998759,0.03586,0.0,0.08209,0.440253,0.045455
0.99827,0.050535,0.333,0.05328,0.396108,0.0
0.999958,0.131413,0.4,0.167894,0.60001,0.0
0.999577,0.185921,0.538,0.153443,0.428143,0.0
0.999958,0.10736,0.545,0.100162,0.438286,0.0
0.999546,0.194086,0.667,0.140396,0.37815,0.0
0.999949,0.125014,0.636,0.129752,0.383843,0.0
0.999949,0.214719,0.636,0.129752,0.364281,0.0
0.999588,0.027695,0.778,0.093514,0.444444,0.0
0.998759,0.048108,0.0,0.271334,0.389277,0.181818
0.998759,0.028578,0.0,0.086429,0.505149,0.0
0.998759,0.041818,0.0,0.106561,0.455312,0.0
0.999759,0.075692,0.722,0.093514,0.509134,0.0
0.997948,0.115194,0.429,0.188651,0.296641,0.0
0.998278,0.015999,0.222,0.05328,0.519174,0.090909
0.998759,0.07481,0.0,0.0,0.579465,0.0
0.998759,0.021075,0.0,0.05328,0.48921,0.0
0.998759,0.024826,0.0,0.05328,0.521192,0.0
0.999939,0.187024,0.813,0.187028,0.440304,0.0
0.999971,0.015999,0.667,0.040233,0.514206,0.0
0.998759,0.046011,0.0,0.106561,0.416033,0.0
0.998759,0.044908,0.0,0.16418,0.513378,0.0
0.999948,0.052301,0.125,0.223235,0.433835,0.0
0.998759,0.083747,0.0,0.05328,0.511308,0.0
0.998759,0.107139,0.0,0.074256,0.443616,0.0
0.999291,0.020523,0.667,0.106561,0.501216,0.0
0.999577,0.194086,0.583,0.05328,0.532371,0.0
0.999577,0.020523,0.583,0.05328,0.549708,0.0
0.998759,0.14642,0.0,0.05328,0.336387,0.0
0.999958,0.032771,0.429,0.08209,0.537649,0.0
0.999958,0.037736,0.4,0.1109,0.50991,0.0
0.999958,0.037736,0.4,0.14283,0.497335,0.0
0.998759,0.018868,0.0,0.153224,0.571961,0.0
0.998759,0.046011,0.0,0.235314,0.436837,0.0
0.998759,0.146861,0.0,0.02881,0.576153,0.136364
0.999577,0.015116,0.778,0.08209,0.571702,0.0
0.999577,0.075692,0.737,0.08209,0.528438,0.0
0.998759,0.041818,0.0,0.188651,0.408322,0.0
0.999958,0.082644,0.6,0.0,0.530611,0.0
0.999958,0.078341,0.545,0.0,0.541634,0.0
0.998759,0.07481,0.0,0.0,0.571961,0.090909
0.999955,0.114421,0.8,0.106561,0.479636,0.0
0.998759,0.304756,0.0,0.057619,0.326036,0.045455
0.999806,0.023944,0.81,0.122323,0.569063,0.0
0.999557,0.214719,0.727,0.080467,0.325778,0.0
0.999557,0.203023,0.615,0.094232,0.345288,0.0
0.999587,0.17268,0.563,0.08802,0.455261,0.0
0.998274,0.228181,0.444,0.05328,0.288258,0.0
0.999557,0.213174,0.667,0.080467,0.346789,0.0
0.999781,0.031336,0.7,0.123041,0.457693,0.0
0.998884,0.047225,0.462,0.117392,0.363608,0.0
0.999557,0.043584,0.571,0.104345,0.380841,0.0
0.999958,0.02935,0.5,0.106561,0.474667,0.0
0.998759,0.093236,0.0,0.05328,0.47917,0.0
0.999958,0.017434,0.429,0.05328,0.560575,0.0
0.999958,0.265254,0.846,0.0,0.517207,0.0
0.999766,0.075692,0.833,0.02881,0.550743,0.0
0.999766,0.07823,0.882,0.0,0.594007,0.0
0.999958,0.314355,0.667,0.0,0.431403,0.0
0.999506,0.194196,0.615,0.225701,0.402525,0.0
0.999506,0.126779,0.727,0.196891,0.364695,0.0
0.999627,0.042039,0.5,0.106561,0.412307,0.0
0.999536,0.104711,0.615,0.05328,0.403405,0.0
0.998759,0.06201,0.0,0.159841,0.625731,0.272727
0.998759,0.056824,0.0,0.057619,0.705377,0.5
0.998759,0.059804,0.0,0.05328,0.649433,0.363636
0.999833,0.079334,0.714,0.094232,0.576049,0.0
0.999781,0.085402,0.7,0.094232,0.477462,0.0
0.999781,0.029681,0.667,0.173201,0.491073,0.0
0.998601,0.204127,0.3,0.08802,0.351188,0.0
0.998759,0.044135,0.0,0.743149,0.40946,0.0
0.999955,0.045901,0.471,0.213122,0.47446,0.0
0.999577,0.022399,0.636,0.08209,0.505822,0.0
0.998278,0.035308,0.167,0.16418,0.483983,0.0
0.999806,0.149509,0.833,0.0,0.536873,0.0
0.998759,0.010593,0.0,0.074256,0.586503,0.0
0.999958,0.064769,0.889,0.0,0.595353,0.0
0.997241,0.051087,0.5,0.0,0.417534,0.0
0.999958,0.020523,0.5,0.05328,0.517052,0.0
0.999958,0.032109,0.545,0.08209,0.455571,0.0
0.999958,0.051528,0.545,0.0,0.540496,0.0
0.999963,0.037736,0.813,0.175604,0.5096,0.0
0.999577,0.07823,0.824,0.05328,0.549397,0.0
0.999971,0.460995,0.75,0.040233,0.412307,0.0
0.999866,0.065541,1.0,0.103377,0.591523,0.0
0.99964,0.012579,0.905,0.05328,0.621539,0.0
0.998759,0.258965,0.0,0.100162,0.380169,0.090909
0.998759,0.111111,0.0,0.038923,0.387621,0.181818
0.999955,0.338078,0.364,0.16418,0.380686,0.0
0.999289,0.013241,0.895,0.106561,0.58081,0.0
0.998759,0.018868,0.0,0.05328,0.562853,0.0
0.998977,0.01622,0.813,0.094294,0.51845,0.0
0.998683,0.112987,0.214,0.176072,0.363401,0.0
0.999556,0.001986,1.0,0.0,0.664493,0.0
0.999288,0.035308,0.692,0.05328,0.588159,0.0
0.999735,0.020523,0.667,0.106561,0.549138,0.0
0.998998,0.063445,0.5,0.200855,0.333696,0.0
0.998759,0.069955,0.0,0.05328,0.44491,0.0
0.999958,0.074037,0.75,0.02881,0.558764,0.0
0.999958,0.184155,0.545,0.05328,0.469441,0.0
0.999556,0.008386,0.882,0.02881,0.638979,0.0
0.998759,0.176211,0.0,0.02881,0.459815,0.0
0.999958,0.174556,0.545,0.0,0.498887,0.0
0.999562,0.012579,0.871,0.147575,0.6972,0.0
0.999958,0.038288,0.5,0.132717,0.472132,0.0
0.999958,0.029681,0.316,0.243149,0.561766,0.0
0.998759,0.038288,0.0,0.256289,0.430368,0.0
0.999537,0.163853,0.421,0.155846,0.449827,0.0
0.998759,0.03586,0.0,0.05328,0.445117,0.0
0.999958,0.092574,0.5,0.057619,0.469492,0.0
0.999958,0.146861,0.375,0.0,0.585779,0.0
0.999958,0.020523,0.5,0.08209,0.538063,0.0
0.999561,0.021847,0.882,0.040233,0.638979,0.0
0.999958,0.149509,0.353,0.010113,0.528696,0.0
0.999577,0.165398,0.467,0.05328,0.507478,0.0
0.999752,0.028136,0.619,0.13537,0.575791,0.0
0.999958,0.037736,0.4,0.13537,0.491849,0.0
0.999963,0.044908,0.813,0.146794,0.56544,0.0
0.998759,0.046011,0.0,0.120669,0.437044,0.0
0.999734,0.390378,0.517,0.0,0.347306,0.0
0.999958,0.066755,0.941,0.0,0.595974,0.0
0.998759,0.050094,0.0,0.074256,0.448481,0.0
0.999958,0.087719,0.667,0.0,0.566837,0.0
0.999643,0.018206,0.905,0.093514,0.565699,0.0
0.998759,0.107139,0.0,0.05328,0.443616,0.0
0.999955,0.043584,0.615,0.188651,0.511981,0.0
0.999414,0.014123,0.889,0.05328,0.645966,0.0
0.999958,0.096546,0.462,0.02881,0.557419,0.0
0.998759,0.028578,0.0,0.141519,0.58169,0.0
0.998759,0.03586,0.0,0.106561,0.418517,0.0
0.998278,0.035308,0.333,0.106561,0.458314,0.0
0.999948,0.071168,0.462,0.319683,0.478238,0.0
0.999958,0.021847,0.706,0.132717,0.57165,0.0
0.999958,0.041818,0.545,0.132717,0.485846,0.0
0.999973,0.092574,0.846,0.080467,0.500233,0.0
0.999955,0.193865,0.727,0.106561,0.497904,0.0
0.999958,0.041818,0.545,0.05328,0.417482,0.0
0.998278,0.321968,0.031,0.32836,0.469699,0.409091
0.998759,0.018868,0.0,0.05328,0.56839,0.136364
0.999752,0.567803,0.394,0.1109,0.361228,0.0
0.998759,0.067638,0.0,0.05328,0.612897,0.0
0.999958,0.020523,0.5,0.0,0.628577,0.0
0.999958,0.107139,0.75,0.0,0.52466,0.0
0.999958,0.111111,0.667,0.0,0.555814,0.0
0.999958,0.037736,0.4,0.1109,0.608084,0.0
0.999958,0.092574,0.5,0.02881,0.528438,0.0
0.999659,0.047225,0.75,0.159841,0.471562,0.0
0.999577,0.01313,0.25,0.13537,0.668219,0.227273
0.998759,0.025709,0.0,0.05328,0.730373,0.272727
0.998278,0.078341,0.667,0.0,0.521348,0.045455
0.998759,0.038288,0.0,0.106561,0.472597,0.0
0.999778,0.021847,0.833,0.106561,0.604047,0.045455
0.999963,0.035308,0.929,0.146794,0.506909,0.0
0.999958,0.015116,0.647,0.05328,0.584588,0.0
0.999971,0.011586,0.5,0.040233,0.561404,0.0
0.999958,0.015116,0.647,0.05328,0.584588,0.0
0.999735,0.00971,0.75,0.05328,0.586348,0.090909
0.999924,0.103829,0.636,0.049285,0.504011,0.0
0.999291,0.09776,0.667,0.155846,0.461419,0.0
0.998759,0.050535,0.0,0.156346,0.396108,0.0
0.998759,0.032109,0.0,0.131875,0.415619,0.136364
0.999537,0.081209,0.5,0.102566,0.513585,0.0
0.999958,0.073375,0.632,0.057619,0.55628,0.0
0.999752,0.015116,0.765,0.05328,0.57341,0.0
0.998759,0.116959,0.0,0.010113,0.43161,0.0
0.999958,0.027033,0.462,0.08209,0.536821,0.0
0.999752,0.331016,0.684,0.057619,0.513016,0.0
0.998759,0.033212,0.0,0.283882,0.441857,0.0
0.998759,0.412888,0.0,0.0,0.386948,0.0
0.998759,0.078341,0.0,0.0,0.616985,0.136364
0.999536,0.17268,0.533,0.110275,0.455312,0.0
0.999958,0.153592,0.706,0.074443,0.574393,0.0
0.999949,0.112987,0.5,0.187371,0.384412,0.0
0.998278,0.048108,0.154,0.209626,0.382187,0.0
0.999954,0.101953,0.5,0.251701,0.479118,0.0
0.998759,0.032109,0.0,0.092203,0.43663,0.181818
0.999958,0.057707,0.182,0.08209,0.707085,0.454545
0.998278,0.051087,0.25,0.106561,0.412514,0.0
0.998136,0.125014,0.149,0.285193,0.446359,0.136364
0.998759,0.034095,0.0,0.27508,0.554417,0.0
0.999958,0.117842,0.875,0.0,0.710707,0.0
0.999965,0.012799,0.917,0.040233,0.54888,0.0
0.999823,0.137151,0.583,0.276328,0.302075,0.0
0.999958,0.025047,0.429,0.156346,0.519329,0.0
0.999958,0.012799,0.545,0.010113,0.560161,0.0
0.999958,0.017434,0.8,0.0,0.544688,0.0
0.999928,0.210637,0.538,0.25295,0.390623,0.0
0.999958,0.035308,0.462,0.132717,0.488537,0.0
0.998759,0.177645,0.0,0.110275,0.447498,0.0
0.998759,0.146309,0.0,0.0,0.496714,0.0
0.998759,0.133289,0.0,0.0,0.48714,0.0
0.999953,0.383096,0.706,0.319683,0.443565,0.0
0.999948,0.051528,0.2,0.188651,0.462868,0.0
0.999577,0.022399,0.636,0.132249,0.537546,0.0
0.999537,0.02935,0.667,0.132717,0.506495,0.0
0.999958,0.067307,0.55,0.010113,0.586814,0.227273
0.999577,0.024826,0.636,0.05328,0.476272,0.045455
0.999958,0.078341,0.545,0.0,0.560161,0.0
0.998759,0.050535,0.0,0.08209,0.476065,0.0
0.998759,0.27022,0.0,0.159841,0.422967,0.0
0.998759,0.176211,0.0,0.100162,0.516586,0.0
0.999958,0.00971,0.8,0.010113,0.604358,0.0
0.999752,0.020523,0.722,0.1109,0.578896,0.0
0.998759,0.129869,0.0,0.074256,0.402888,0.0
0.999958,0.02935,0.5,0.1109,0.506857,0.0
0.998759,0.372724,0.0,0.05328,0.357398,0.0
0.999958,0.01622,0.75,0.063393,0.575635,0.0
0.998759,0.182942,0.0,0.0,0.486674,0.0
0.999666,0.019309,1.0,0.1207,0.498784,0.0
0.999958,0.037736,0.375,0.271334,0.476789,0.045455
0.999958,0.032771,0.429,0.106561,0.512188,0.0
0.999836,0.039391,0.8,0.040233,0.392589,0.0
0.999958,0.10736,0.5,0.179131,0.530818,0.0
0.999955,0.095553,0.533,0.106561,0.548517,0.0
0.999958,0.40726,0.5,0.100162,0.445738,0.0
0.999577,0.101512,0.583,0.08209,0.460229,0.0
0.999958,0.09776,0.545,0.05328,0.469441,0.0
0.999577,0.035308,0.538,0.106561,0.47948,0.0
0.999958,0.02935,0.5,0.08209,0.485846,0.0
0.999958,0.441355,0.3,0.057619,0.353775,0.0
0.998759,0.051639,0.0,0.0,0.76277,0.0
0.998759,0.054397,0.0,0.05328,0.743673,0.409091
0.998759,0.032109,0.0,0.05328,0.516586,0.0
0.998759,0.027033,0.0,0.063393,0.547379,0.0
0.999659,0.043584,0.692,0.188651,0.509859,0.0
0.999408,0.037736,0.733,0.188651,0.537753,0.0
0.998759,0.018868,0.0,0.05328,0.56839,0.227273
0.998759,0.07172,0.0,0.0,0.594007,0.409091
0.998759,0.062893,0.0,0.0,0.647881,0.0
0.999588,0.037736,0.467,0.151133,0.452,0.0
0.999816,0.029902,0.759,0.367189,0.622626,0.0
0.998759,0.146861,0.0,0.0,0.568649,0.454545
0.999971,0.107139,0.75,0.040233,0.45407,0.0
0.999958,0.248704,0.375,0.0,0.528903,0.0
0.998759,0.103829,0.0,0.057619,0.426176,0.0
0.999928,0.225312,0.7,0.199669,0.41122,0.0
1.0,0.381772,0.333,0.09058,0.469285,0.227273
0.999903,0.040494,0.533,0.260628,0.48212,0.0
0.998606,0.193865,0.273,0.141426,0.432283,0.0
0.999577,0.027033,0.538,0.05328,0.557626,0.0
0.999963,0.102725,0.813,0.146794,0.49573,0.0
0.999958,0.120159,0.5,0.089737,0.335248,0.0
0.999554,0.032881,0.698,0.264498,0.636858,0.0
0.998606,0.087719,0.333,0.049285,0.501578,0.0
0.999958,0.032771,0.429,0.116674,0.483465,0.0
0.952334,0.025047,0.267,0.108933,0.489624,0.0
0.999958,0.026812,0.667,0.161527,0.570408,0.0
0.999752,0.014123,0.722,0.05328,0.60767,0.0
0.999958,0.110449,0.5,0.132717,0.447912,0.0
0.998759,0.040494,0.0,0.217461,0.443254,0.0
0.999577,0.157784,0.737,0.05328,0.574911,0.0
0.998278,0.031226,0.5,0.094294,0.412772,0.0
0.999958,0.435617,0.667,0.0,0.431403,0.0
0.998759,0.039391,0.0,0.05328,0.442426,0.0
0.998278,0.035419,0.6,0.094294,0.425141,0.0
0.998278,0.035419,0.6,0.094294,0.40413,0.0
0.998278,0.02935,0.5,0.123104,0.458831,0.0
0.999577,0.176211,0.583,0.08209,0.504632,0.0
0.999291,0.297584,0.533,0.188651,0.411582,0.0
0.999716,0.004965,0.806,0.078969,0.737515,0.0
0.998759,0.089705,0.0,0.05328,0.276355,0.0
0.999958,0.078341,0.917,0.0,0.601511,0.0
0.999278,0.092133,0.533,0.063393,0.421156,0.0
0.998278,0.050094,0.5,0.05328,0.415929,0.0
0.997948,0.032771,0.231,0.16418,0.488433,0.0
0.999958,0.088271,0.429,0.038923,0.464938,0.181818
0.999752,0.07823,0.765,0.08209,0.565233,0.0
0.998759,0.146861,0.0,0.128972,0.425038,0.0
0.998759,0.050535,0.0,0.08209,0.443668,0.0
0.999954,0.294494,0.714,0.213122,0.452776,0.0
0.999577,0.047225,0.583,0.185998,0.441598,0.0
0.999958,0.178859,0.429,0.153443,0.467733,0.0
0.999949,0.117069,0.583,0.094232,0.364074,0.0
0.999985,0.337747,0.667,0.080467,0.391295,0.0
0.999557,0.194086,0.615,0.094232,0.363608,0.0
0.999557,0.300894,0.615,0.094232,0.34741,0.0
0.999958,0.092574,0.5,0.063393,0.485846,0.0
0.999577,0.295046,0.636,0.05328,0.442995,0.0
0.999291,0.038288,0.615,0.155846,0.478652,0.0
0.999958,0.17268,0.688,0.132717,0.486881,0.0
0.999958,0.162198,0.667,0.132717,0.507375,0.0
0.999813,0.261172,0.774,0.265435,0.486777,0.0
0.998759,0.017434,0.0,0.05328,0.582932,0.0
0.999954,0.052521,0.5,0.315095,0.446773,0.0
0.998759,0.035308,0.0,0.030339,0.325674,0.272727
0.999971,0.020523,0.462,0.050346,0.480412,0.136364
0.999822,0.160984,0.81,0.106561,0.479894,0.0
0.999404,0.036963,0.68,0.106561,0.421053,0.0
0.999971,0.116959,0.857,0.040233,0.413497,0.0
0.999954,0.047225,0.5,0.196298,0.351395,0.0
0.999955,0.032109,0.727,0.106561,0.543135,0.0
0.999577,0.101512,0.583,0.08209,0.46737,0.0
0.999958,0.07172,0.462,0.0,0.589815,0.0
0.999577,0.018206,0.368,0.063393,0.568908,0.0
0.997948,0.046011,0.333,0.16418,0.429695,0.0
0.999958,0.020523,0.5,0.057619,0.52171,0.0
0.999778,0.021847,0.833,0.106561,0.604047,0.045455
0.998759,0.107139,0.0,0.02881,0.430834,0.181818
0.998759,0.015999,0.0,0.05328,0.524763,0.0
0.998759,0.088381,0.0,0.086429,0.448843,0.0
0.998759,0.069072,0.0,0.0,0.608084,0.0
0.999806,0.020523,0.833,0.02881,0.536873,0.0
0.999958,0.073375,0.632,0.057619,0.542411,0.0
0.999958,0.018206,0.6,0.086429,0.555297,0.0
0.998759,0.075692,0.0,0.100037,0.379858,0.0
0.998759,0.012799,0.0,0.010113,0.564353,0.227273
0.998759,0.025047,0.0,0.13537,0.519588,0.136364
0.999958,0.07172,0.462,0.0,0.575946,0.0
0.999903,0.032109,0.667,0.207348,0.516949,0.0
0.999752,0.02946,0.382,0.236251,0.490659,0.136364
0.998759,0.389606,0.0,0.0,0.386948,0.0
0.999408,0.040494,0.786,0.159841,0.522072,0.0
0.999368,0.02935,0.75,0.05328,0.486363,0.0
0.999958,0.076796,0.429,0.02881,0.530352,0.0
0.998759,0.056604,0.0,0.367688,0.522279,0.0
0.998278,0.024826,0.2,0.08209,0.495368,0.090909
0.999965,0.255765,0.688,0.040233,0.503545,0.0
0.999717,0.075692,0.833,0.02881,0.550743,0.0
0.999955,0.025047,0.571,0.106561,0.590333,0.0
0.99981,0.012579,0.857,0.08209,0.637272,0.0
0.999958,0.01622,0.4,0.02881,0.544429,0.0
0.998167,0.032771,0.6,0.188589,0.37991,0.0
0.999577,0.019861,0.452,0.174293,0.6071,0.136364
0.998759,0.067196,0.0,0.17086,0.484449,0.0
0.998759,0.078341,0.0,0.0,0.564353,0.0
0.999958,0.023392,0.4,0.08209,0.575894,0.0
0.999958,0.139689,0.632,0.0,0.570822,0.0
0.999958,0.02935,0.5,0.08209,0.479118,0.0
0.999958,0.078341,0.5,0.0,0.546292,0.136364
0.998759,0.079996,0.0,0.02881,0.533872,0.090909
0.999577,0.010593,0.5,0.05328,0.582881,0.045455
0.99808,0.088381,0.294,0.213465,0.461367,0.0
0.998759,0.07823,0.0,0.08209,0.548207,0.0
0.99838,0.046011,0.182,0.053998,0.353724,0.227273
0.999577,0.020523,0.583,0.05328,0.549708,0.0
0.998759,0.193865,0.0,0.05328,0.397868,0.0
0.999958,0.285336,0.545,0.100162,0.498836,0.0
0.998759,0.083747,0.0,0.074256,0.511308,0.227273
0.998759,0.078341,0.0,0.0,0.556849,0.0
0.998759,0.064769,0.0,0.0,0.627439,0.0
0.999971,0.178859,0.429,0.143299,0.410961,0.0
0.999288,0.144654,0.333,0.241931,0.415722,0.0
0.999958,0.064548,0.25,0.057619,0.618123,0.045455
0.998759,0.111111,0.0,0.08209,0.422139,0.045455
0.998759,0.035308,0.0,0.283882,0.427315,0.0
0.999958,0.014123,0.667,0.08209,0.609688,0.0
0.999958,0.020523,0.5,0.08209,0.538063,0.0
0.998759,0.027033,0.0,0.08209,0.56839,0.0
0.999958,0.017434,0.429,0.08209,0.567717,0.0
0.999958,0.01622,0.4,0.08209,0.595611,0.0
0.999958,0.014123,0.333,0.08209,0.622522,0.227273
0.999577,0.023944,0.368,0.063393,0.652487,0.0
0.999958,0.011806,0.3,0.08209,0.660301,0.0
0.999958,0.346795,0.706,0.113241,0.525074,0.0
0.999954,0.052301,0.588,0.251701,0.486622,0.0
0.998759,0.05208,0.0,0.13537,0.458728,0.0
0.997948,0.044908,0.2,0.241931,0.371733,0.0
0.999958,0.230718,0.8,0.0,0.548155,0.0
0.998278,0.012799,0.2,0.05328,0.546292,0.0
0.999958,0.014234,0.6,0.078969,0.597112,0.0
0.999958,0.019309,0.316,0.086429,0.542669,0.045455
0.998759,0.027695,0.0,0.057619,0.462661,0.090909
0.998759,0.134503,0.0,0.180817,0.329555,0.0
0.998238,0.051528,0.636,0.05328,0.533561,0.0
0.999958,0.111111,0.667,0.0,0.555814,0.0
0.999955,0.042039,0.882,0.213122,0.560317,0.0
0.998759,0.079996,0.0,0.010113,0.533872,0.0
0.999958,0.17268,0.688,0.132717,0.486881,0.0
0.999958,0.001986,0.429,0.0,0.656265,0.0
0.999958,0.064769,0.375,0.0,0.630751,0.0
0.999958,0.001214,0.3,0.0,0.707292,0.454545
0.998759,0.22145,0.0,0.0,0.43161,0.0
0.998759,0.046011,0.0,0.086429,0.455933,0.0
0.999958,0.023392,0.4,0.13537,0.520002,0.0
0.998759,0.035419,0.0,0.08209,0.460695,0.0
0.998759,0.017434,0.0,0.08209,0.54091,0.0
0.998834,0.056162,0.5,0.229665,0.413963,0.0
0.998769,0.20192,0.571,0.222018,0.327951,0.0
0.999368,0.027033,0.692,0.08209,0.502096,0.0
0.998759,0.205671,0.0,0.0,0.45112,0.0
0.999903,0.093236,0.727,0.089519,0.492418,0.0
0.999958,0.020523,0.462,0.057619,0.501423,0.090909
0.999958,0.018868,0.429,0.057619,0.516535,0.0
0.999958,0.084519,0.429,0.08209,0.50991,0.0
0.999577,0.025047,0.5,0.1109,0.521503,0.0
0.998759,0.018868,0.0,0.057619,0.534596,0.0
0.999958,0.023392,0.4,0.1109,0.538322,0.0
0.999288,0.021847,0.563,0.1109,0.545774,0.0
0.998759,0.01622,0.0,0.057619,0.563215,0.045455
0.998759,0.015116,0.0,0.08209,0.605082,0.0
0.998759,0.015116,0.0,0.08209,0.610671,0.227273
0.998759,0.015116,0.0,0.057619,0.576877,0.0
0.998759,0.01622,0.0,0.08209,0.597009,0.181818
0.999958,0.014123,0.353,0.08209,0.622522,0.0
0.999958,0.014123,0.353,0.08209,0.622522,0.0
0.998759,0.014123,0.0,0.08209,0.62392,0.409091
0.998759,0.044356,0.0,0.08209,0.494954,0.0
0.999958,0.023392,0.75,0.132717,0.557574,0.0
0.999958,0.021847,0.706,0.063393,0.589298,0.0
0.999958,0.019309,0.632,0.05328,0.580293,0.0
0.998759,0.00971,0.0,0.05328,0.702789,0.0
0.998759,0.073596,0.0,0.106561,0.472597,0.0
0.999588,0.032109,0.636,0.122323,0.460436,0.0
0.999958,0.08805,0.545,0.074256,0.49423,0.0
0.999958,0.037736,0.4,0.106561,0.505253,0.0
0.999958,0.01622,0.4,0.063393,0.5746,0.0
0.999958,0.092574,0.462,0.057619,0.470217,0.045455
0.999958,0.032771,0.429,0.1109,0.52378,0.0
0.999958,0.017434,0.4,0.057619,0.531077,0.045455
0.998759,0.023392,0.0,0.1109,0.539668,0.0
0.999958,0.026812,0.333,0.139709,0.525177,0.045455
0.999577,0.01622,0.467,0.08209,0.593386,0.0
0.998759,0.014123,0.0,0.057619,0.590126,0.318182
0.999619,0.031336,0.526,0.16418,0.53263,0.090909
0.999958,0.020523,0.5,0.05328,0.517052,0.0
0.999948,0.035308,0.118,0.16418,0.509859,0.318182
0.999958,0.014123,0.667,0.084369,0.61683,0.0
0.999958,0.015999,0.667,0.010113,0.528075,0.0
0.999291,0.151826,0.8,0.106561,0.499198,0.0
0.999897,0.145426,0.794,0.239278,0.490969,0.0
0.999958,0.013682,0.222,0.092203,0.62511,0.318182
0.998759,0.03586,0.0,0.05328,0.466128,0.0
0.998759,0.017434,0.0,0.08209,0.582932,0.136364
0.998759,0.330354,0.0,0.206723,0.309269,0.0
0.999577,0.035308,0.538,0.1109,0.506029,0.0
0.999291,0.015116,0.889,0.106561,0.584278,0.0
0.998759,0.03586,0.0,0.057619,0.424831,0.136364
0.999958,0.082644,0.6,0.0,0.530611,0.0
0.999577,0.076906,0.7,0.063393,0.588366,0.0
0.999958,0.167384,0.5,0.0,0.514568,0.0
0.997948,0.015116,0.375,0.106561,0.57667,0.0
0.999971,0.088271,0.857,0.080467,0.486105,0.0
0.999958,0.304756,0.545,0.0,0.540496,0.0
0.999958,0.177645,0.462,0.08209,0.4579,0.0
0.998759,0.184155,0.0,0.05328,0.47239,0.136364
0.999958,0.030564,0.4,0.13537,0.470372,0.0
0.999958,0.015999,0.6,0.02881,0.493919,0.045455
0.999752,0.017323,0.619,0.1109,0.575635,0.0
0.999958,0.010593,0.462,0.02881,0.585106,0.0
0.999958,0.193093,0.667,0.02881,0.479066,0.0
0.997948,0.039391,0.333,0.120326,0.409201,0.0
