yprop/table4.oz246,yprop/table4.oz248,yprop/table4.oz250,yprop/table4.oz251
0.677961,0.704,0.14308,0.537184
0.627451,0.789,0.080467,0.523211
0.677961,0.531,0.1109,0.520364
0.641098,0.889,0.040233,0.605807
0.248627,0.0,0.13537,0.493039
0.313725,0.0,0.13537,0.541531
0.654118,0.556,0.145483,0.536304
0.497255,0.429,0.175604,0.448585
0.737255,0.512,0.386073,0.575221
0.677961,0.667,0.063393,0.620866
0.470588,0.778,0.080467,0.410133
0.709647,0.667,0.264498,0.673498
0.248627,0.0,0.1369,0.416705
0.627451,0.714,0.02881,0.631165
0.745882,0.649,0.204414,0.471097
0.497255,0.538,0.05328,0.568338
0.156863,0.0,0.08209,0.418879
0.666353,0.563,0.115238,0.561714
0.627451,0.52,0.155596,0.544118
0.612863,0.48,0.313035,0.422346
0.497255,0.294,0.235533,0.421467
0.641098,0.833,0.074256,0.595922
0.497255,0.353,0.170828,0.457227
0.699451,0.731,0.176384,0.6322
0.745882,0.75,0.19299,0.658335
0.40549,0.308,0.132249,0.368266
0.688941,0.714,0.080467,0.510842
0.248627,0.0,0.195643,0.452104
0.497255,0.318,0.05328,0.558712
0.627451,0.591,0.159841,0.459038
0.562353,0.37,0.139709,0.557005
0.521098,0.533,0.248923,0.507426
0.440314,0.5,0.057619,0.52171
0.612863,0.565,0.08209,0.602391
0.497255,0.381,0.099195,0.550898
0.654118,0.81,0.040233,0.578792
0.364235,0.0,0.464823,0.417016
0.612863,0.636,0.094232,0.512343
0.597176,0.545,0.08209,0.570719
0.0,0.0,0.0,0.45112
0.470588,0.167,0.385168,0.413704
0.248627,0.0,0.138741,0.513119
0.440314,0.4,0.038923,0.552088
0.364235,0.0,0.280854,0.44046
0.654118,0.5,0.155596,0.510428
0.627451,0.667,0.316374,0.409822
0.709647,0.733,0.0,0.701133
0.364235,0.2,0.05328,0.546292
0.641098,0.424,0.221799,0.50991
0.654118,0.481,0.289625,0.431092
0.313725,0.0,0.198764,0.440356
0.156863,0.0,0.132249,0.524763
0.641098,0.429,0.208877,0.659318
0.521098,0.125,0.303889,0.517828
0.612863,0.385,0.317623,0.525281
0.364235,0.0,0.206723,0.483362
0.156863,0.0,0.05328,0.56839
0.699451,0.808,0.0,0.68007
0.440314,0.333,0.057619,0.572013
0.497255,0.5,0.13537,0.416033
0.470588,0.429,0.1109,0.544998
0.313725,0.0,0.08209,0.767841
0.40549,0.083,0.237686,0.459245
0.156863,0.0,0.05328,0.482948
0.762039,0.684,0.13537,0.467163
0.688941,0.455,0.261814,0.41241
0.688941,0.6,0.106561,0.65554
0.0,0.0,0.0,0.511981
0.440314,0.462,0.050346,0.478497
0.580392,0.471,0.265435,0.478963
0.597176,0.385,0.235533,0.544274
0.470588,0.429,0.1109,0.52378
0.597176,0.524,0.216618,0.524608
0.313725,0.0,0.159841,0.457486
0.641098,0.378,0.221799,0.291518
0.497255,0.261,0.223297,0.449671
0.654118,0.405,0.19171,0.561818
0.641098,0.452,0.174293,0.6071
0.248627,0.0,0.140552,0.354293
0.440314,0.211,0.126787,0.449309
0.612863,0.571,0.132717,0.487191
0.627451,0.467,0.256383,0.539512
0.688941,0.514,0.18066,0.564819
0.562353,0.786,0.040233,0.553485
0.248627,0.0,0.137649,0.615639
0.641098,0.667,0.13537,0.503649
0.851137,0.462,0.434921,0.745588
0.580392,0.522,0.160934,0.531129
0.728471,0.391,0.417754,0.501371
0.542588,0.5,0.095012,0.387414
0.364235,0.12,0.102316,0.393728
0.654118,0.515,0.155596,0.493971
0.580392,0.524,0.123104,0.587538
0.627451,0.375,0.217461,0.594369
0.248627,0.0,0.16418,0.376029
0.654118,0.6,0.158624,0.615432
0.40549,0.333,0.050346,0.517777
0.677961,0.563,0.295212,0.571392
0.612863,0.722,0.05328,0.5938
0.641098,0.615,0.233348,0.604099
0.688941,0.621,0.161527,0.667495
0.699451,0.667,0.092203,0.554469
0.580392,0.6,0.109276,0.502355
0.754039,0.73,0.138086,0.510738
0.612863,0.5,0.140552,0.513223
0.666353,0.368,0.213122,0.642913
0.40549,0.333,0.05328,0.561404
0.470588,0.4,0.053998,0.418258
0.688941,0.588,0.010113,0.630596
0.521098,0.1,0.474405,0.409512
0.677961,0.654,0.223297,0.508513
0.612863,0.55,0.13537,0.560058
0.40549,0.286,0.123104,0.494281
0.542588,0.474,0.092203,0.483051
0.156863,0.0,0.092203,0.43663
0.688941,0.425,0.246988,0.362728
0.597176,0.478,0.117392,0.484656
0.677961,0.72,0.141519,0.660405
0.709647,0.543,0.217461,0.581742
0.470588,0.429,0.05328,0.560575
0.709647,0.515,0.354735,0.429022
0.248627,0.0,0.264498,0.396315
0.156863,0.0,0.131875,0.415619
0.364235,0.0,0.297022,0.426073
0.521098,0.286,0.188651,0.540392
0.754039,0.758,0.187028,0.623868
0.627451,0.414,0.188651,0.560989
0.156863,0.0,0.05328,0.500181
0.521098,0.5,0.020226,0.53087
0.677961,0.72,0.08209,0.667546
0.612863,0.545,0.1109,0.615846
0.688941,0.826,0.093514,0.606014
0.156863,0.0,0.08209,0.443668
0.470588,0.25,0.086429,0.621436
0.580392,0.632,0.0,0.709362
0.641098,0.56,0.146014,0.592713
0.497255,0.583,0.122323,0.476893
0.497255,0.4,0.106561,0.52673
0.156863,0.0,0.08209,0.55333
0.156863,0.0,0.139709,0.468975
0.597176,0.929,0.146794,0.506909
0.542588,0.381,0.291529,0.357191
0.497255,0.636,0.05328,0.489365
0.688941,0.581,0.40196,0.544532
0.497255,0.8,0.146794,0.412617
0.612863,0.48,0.137181,0.549449
0.580392,0.476,0.05328,0.458831
0.248627,0.0,0.16418,0.399627
0.612863,0.444,0.02881,0.673084
0.248627,0.0,0.063393,0.602546
0.497255,0.533,0.053998,0.554158
0.440314,0.353,0.02881,0.629819
0.497255,0.4,0.106561,0.498991
0.677961,0.68,0.106561,0.521348
0.248627,0.0,0.106561,0.749884
0.440314,0.75,0.0,0.52466
0.612863,0.419,0.05328,0.728458
0.641098,0.833,0.08209,0.617554
0.542588,0.692,0.159841,0.523728
0.666353,0.533,0.106561,0.618952
0.248627,0.0,0.106561,0.53413
0.580392,0.588,0.13537,0.546965
0.612863,0.813,0.093514,0.502458
0.542588,0.643,0.08209,0.531025
0.562353,0.55,0.097853,0.551674
0.699451,0.808,0.200793,0.550794
0.248627,0.0,0.19299,0.364436
0.248627,0.0,0.116674,0.334524
0.612863,0.7,0.237093,0.511774
0.156863,0.0,0.05328,0.588418
0.542588,0.35,0.230601,0.511411
0.641098,0.696,0.128379,0.546602
0.440314,0.75,0.080467,0.391295
0.470588,0.462,0.05328,0.451172
0.627451,0.5,0.159248,0.543032
0.666353,0.643,0.0,0.792165
0.562353,0.786,0.1207,0.414273
0.709647,0.559,0.217461,0.57134
0.521098,0.138,0.405175,0.441288
0.440314,0.333,0.038923,0.579051
0.440314,0.3,0.171827,0.346427
0.597176,0.375,0.040233,0.628474
0.440314,0.333,0.115238,0.50075
0.597176,0.571,0.053998,0.438752
0.313725,0.0,0.05328,0.678466
0.597176,0.444,0.092203,0.595197
0.709647,0.636,0.148917,0.594318
0.641098,0.577,0.189868,0.562025
0.612863,0.706,0.143486,0.382342
0.156863,0.0,0.08209,0.582932
0.580392,0.545,0.010113,0.621591
0.364235,0.125,0.093514,0.488019
0.612863,0.722,0.013765,0.475185
0.654118,0.424,0.103627,0.672204
0.440314,0.261,0.038923,0.571443
0.597176,0.444,0.166771,0.683331
0.40549,0.556,0.0,0.453812
0.562353,0.381,0.321368,0.475599
0.666353,0.471,0.209595,0.49247
0.440314,0.231,0.180067,0.378616
0.597176,0.545,0.1109,0.570719
0.0,0.0,0.115238,0.414687
0.654118,0.762,0.088926,0.56425
0.542588,0.364,0.258412,0.424727
0.677961,0.654,0.106561,0.625524
0.699451,0.319,0.637399,0.548621
0.364235,0.182,0.05328,0.546292
1.0,0.911,0.0,0.981525
0.728471,0.462,0.193083,0.570098
0.762039,0.48,0.32836,0.720799
0.677961,0.72,0.169954,0.491176
0.641098,0.483,0.16418,0.46499
0.470588,0.5,0.08209,0.565802
0.497255,0.286,0.092203,0.527144
0.612863,0.542,0.08209,0.501475
0.248627,0.0,0.09186,0.355017
0.0,0.0,0.010113,0.43161
0.580392,0.333,0.18297,0.547327
0.313725,0.0,0.159841,0.579361
0.597176,0.458,0.08209,0.668012
0.597176,0.522,0.151913,0.443254
0.470588,0.333,0.145483,0.410702
0.156863,0.0,0.05328,0.453449
0.580392,0.294,0.177945,0.630751
0.677961,0.6,0.179943,0.547638
0.641098,0.667,0.16777,0.408839
0.677961,0.667,0.069199,0.713657
0.470588,0.261,0.08209,0.646432
0.688941,0.667,0.241931,0.533923
0.580392,0.353,0.154161,0.575842
0.470588,0.136,0.269524,0.387517
0.313725,0.0,0.196111,0.422967
0.612863,0.48,0.106561,0.505822
0.597176,0.346,0.239996,0.434819
0.156863,0.0,0.063393,0.621229
0.364235,0.0,0.270741,0.562853
0.440314,0.6,0.040233,0.514206
0.754039,0.558,0.159841,0.507944
0.364235,0.094,0.0,0.767841
0.627451,0.591,0.16418,0.493816
0.654118,0.538,0.307853,0.486105
0.156863,0.0,0.05328,0.564146
0.699451,0.913,0.0,0.699943
0.654118,0.571,0.197328,0.425814
0.597176,0.813,0.146794,0.49573
0.641098,0.452,0.194769,0.567821
0.313725,0.333,0.05328,0.396108
0.440314,0.0,0.392222,0.336904
0.364235,0.13,0.320338,0.591264
0.562353,0.474,0.214339,0.47948
0.641098,0.696,0.213434,0.508099
0.677961,0.783,0.134528,0.580707
0.627451,0.387,0.19018,0.502872
0.542588,0.455,0.09857,0.469751
0.497255,0.273,0.08209,0.681778
0.612863,0.571,0.137181,0.583243
0.641098,0.789,0.132249,0.620194
0.612863,0.444,0.184406,0.589867
0.156863,0.0,0.05328,0.442426
0.497255,0.261,0.176384,0.586658
0.470588,0.176,0.246176,0.334317
0.641098,0.652,0.256633,0.560782
0.654118,0.739,0.160934,0.521037
0.627451,0.448,0.16418,0.642343
0.688941,0.909,0.080467,0.54681
0.497255,0.462,0.132717,0.451327
0.542588,0.692,0.08209,0.502096
0.248627,0.0,0.126787,0.395746
0.597176,0.867,0.089519,0.493919
0.470588,0.4,0.08209,0.593541
0.248627,0.0,0.063393,0.457072
0.156863,0.0,0.0,0.741707
0.313725,0.0,0.130782,0.578068
0.597176,0.444,0.092203,0.595197
0.470588,0.5,0.122323,0.479118
0.0,0.0,0.0,0.548673
0.627451,0.5,0.185998,0.5229
0.156863,0.0,0.141519,0.51995
0.542588,0.6,0.092203,0.524556
0.156863,0.0,0.092203,0.606169
0.699451,0.412,0.435389,0.346013
0.666353,0.483,0.291716,0.418569
0.470588,0.429,0.100162,0.496766
0.497255,0.571,0.0,0.553434
0.542588,0.692,0.063393,0.532267
0.654118,0.81,0.15029,0.526109
0.542588,0.5,0.148511,0.473529
0.364235,0.133,0.05328,0.590022
0.754039,0.6,0.165366,0.611085
0.156863,0.0,0.05328,0.336387
0.497255,0.5,0.217461,0.518605
0.364235,0.0,0.323054,0.348859
0.156863,0.0,0.05328,0.503959
0.313725,0.0,0.206723,0.458417
0.497255,0.5,0.05328,0.564767
0.313725,0.0,0.180817,0.329555
0.440314,0.667,0.02881,0.52466
0.597176,0.6,0.188401,0.589298
0.627451,0.583,0.08802,0.577654
0.521098,0.533,0.260628,0.48212
0.364235,0.0,0.351863,0.426383
0.597176,0.867,0.0,0.542618
0.677961,0.293,0.106561,0.835636
0.688941,0.679,0.1109,0.623195
0.156863,0.0,0.092203,0.567614
0.612863,0.343,0.184406,0.5613
0.156863,0.0,0.08209,0.418879
0.440314,0.214,0.159841,0.378616
0.521098,0.538,0.05328,0.578533
0.248627,0.0,0.063393,0.449413
0.641098,0.353,0.505681,0.416602
0.728471,0.606,0.382109,0.610516
0.156863,0.0,0.063393,0.402577
0.0,0.0,0.0,0.819231
0.440314,0.429,0.057619,0.516535
0.156863,0.0,0.1109,0.484811
0.654118,0.667,0.1109,0.596284
0.156863,0.0,0.020226,0.574497
0.542588,0.526,0.152257,0.50665
0.0,0.0,0.0,0.760751
0.769725,0.65,0.318466,0.507426
0.719216,0.71,0.200106,0.492625
0.627451,0.833,0.02881,0.550743
0.641098,0.714,0.08209,0.55214
0.497255,0.316,0.106561,0.465145
0.40549,0.25,0.106561,0.439373
0.156863,0.0,0.20663,0.555711
0.627451,0.882,0.080467,0.411944
0.627451,0.867,0.106561,0.534596
0.364235,0.154,0.116674,0.421674
0.699451,0.741,0.122323,0.59261
0.156863,0.0,0.0,0.568649
0.627451,0.542,0.13537,0.59499
0.521098,0.273,0.175604,0.421622
0.580392,0.571,0.0,0.623454
