yprop/table8.oz124,yprop/table8.oz151,yprop/table8.oz165,yprop/table8.oz197,yprop/table8.oz31,oz249
0.0,0.0,0.0,0.0,0.0,0.187862
0.133333,0.0,0.1,0.0,0.0,0.116743
0.133333,0.0,0.2,0.2,0.0,0.586916
0.0,0.071429,0.0,0.0,0.0,0.279154
0.066667,0.214286,0.0,0.0,0.0,0.212149
0.0,0.071429,0.0,0.0,0.0,0.159044
0.0,0.0,0.0,0.1,0.0,0.221343
0.0,0.142857,0.0,0.0,0.090909,0.249887
0.133333,0.0,0.6,0.4,0.181818,0.540602
0.0,0.214286,0.0,0.0,0.0,0.177807
0.0,0.142857,0.3,0.0,0.272727,0.592517
0.0,0.0,0.0,0.0,0.0,0.074792
0.0,0.142857,0.0,0.0,0.0,0.298801
0.0,0.0,0.2,0.2,0.0,0.325118
0.133333,0.0,0.2,0.0,0.0,0.233553
0.0,0.142857,0.0,0.0,0.0,0.181683
0.0,0.0,0.1,0.0,0.090909,0.152231
0.466667,0.0,0.3,0.0,0.181818,0.422898
0.0,0.142857,0.0,0.0,0.0,0.097456
0.0,0.0,0.0,0.0,0.0,0.177205
0.0,0.071429,0.1,0.0,0.090909,0.19683
0.266667,0.142857,0.0,0.0,0.0,0.276414
0.0,0.0,0.2,0.0,0.181818,0.138035
0.133333,0.214286,0.3,0.2,0.181818,0.490329
0.0,0.071429,0.2,0.2,0.0,0.174882
0.2,0.0,0.0,0.0,0.0,0.358633
0.0,0.0,0.1,0.0,0.0,0.144288
0.0,0.071429,0.0,0.0,0.0,0.192553
0.0,0.0,0.1,0.0,0.090909,0.176871
0.4,0.0,0.0,0.0,0.0,0.208343
0.066667,0.0,0.0,0.0,0.0,0.12522
0.0,0.0,0.2,0.0,0.090909,0.177762
0.0,0.142857,0.1,0.1,0.0,0.275205
0.0,0.071429,0.1,0.1,0.0,0.29053
0.0,0.0,0.0,0.2,0.0,0.135521
0.0,0.142857,0.1,0.0,0.0,0.188044
0.0,0.285714,0.0,0.0,0.0,0.225113
0.0,0.0,0.1,0.1,0.0,0.123801
0.2,0.0,0.0,0.0,0.0,0.266915
0.133333,0.0,0.2,0.2,0.0,0.321952
0.0,0.071429,0.1,0.0,0.090909,0.333535
0.133333,0.142857,0.0,0.0,0.0,0.144069
0.0,0.0,0.1,0.0,0.090909,0.180651
0.066667,0.214286,0.0,0.0,0.0,0.086805
0.0,0.071429,0.0,0.0,0.0,0.228544
0.0,0.142857,0.3,0.1,0.181818,0.248789
0.066667,0.071429,0.0,0.0,0.0,0.167506
0.0,0.0,0.0,0.3,0.0,0.222358
0.0,0.0,0.0,0.0,0.0,0.224035
0.133333,0.071429,0.1,0.1,0.0,0.113647
0.133333,0.142857,0.0,0.0,0.0,0.286241
0.0,0.071429,0.1,0.0,0.090909,0.198217
0.133333,0.214286,0.2,0.2,0.0,0.263692
0.0,0.214286,0.1,0.1,0.0,0.24617
0.0,0.071429,0.0,0.2,0.0,0.122681
0.4,0.571429,0.0,0.0,0.0,0.493489
0.0,0.0,0.0,0.0,0.0,0.103021
0.0,0.071429,0.0,0.0,0.0,0.16257
0.066667,0.071429,0.2,0.2,0.0,0.263991
0.266667,0.285714,0.1,0.0,0.0,0.257365
0.0,0.0,0.0,0.2,0.0,0.047075
0.066667,0.0,0.1,0.1,0.0,0.287685
0.2,0.0,0.1,0.0,0.090909,0.300284
0.2,0.142857,0.0,0.0,0.0,0.126993
0.0,0.142857,0.1,0.0,0.090909,0.169705
0.0,0.0,0.1,0.0,0.090909,0.147359
0.133333,0.142857,0.0,0.0,0.0,0.217982
0.2,0.071429,0.3,0.4,0.090909,0.360689
0.0,0.0,0.0,0.1,0.0,0.116908
0.0,0.0,0.0,0.0,0.0,0.155241
0.0,0.071429,0.1,0.2,0.0,0.475853
0.0,0.071429,0.0,0.2,0.0,0.193912
0.0,0.071429,0.1,0.1,0.0,0.186227
0.0,0.285714,0.0,0.0,0.0,0.261591
0.0,0.0,0.0,0.1,0.0,0.095836
0.066667,0.142857,0.2,0.0,0.0,0.181937
0.133333,0.0,0.0,0.2,0.0,0.505286
0.133333,0.0,0.1,0.1,0.0,0.059447
0.0,0.0,0.1,0.0,0.090909,0.198354
0.0,0.0,0.1,0.0,0.090909,0.317761
0.2,0.071429,0.1,0.1,0.090909,0.164966
0.0,0.0,0.1,0.0,0.0,0.158631
0.133333,0.0,0.0,0.0,0.0,0.264175
0.0,0.0,0.0,0.0,0.0,0.23648
0.133333,0.0,0.3,0.1,0.0,0.250622
0.066667,0.142857,0.0,0.1,0.0,0.216311
0.0,0.071429,0.1,0.0,0.0,0.123301
0.0,0.071429,0.0,0.0,0.0,0.18973
0.133333,0.285714,0.0,0.0,0.0,0.222838
0.4,0.0,0.0,0.0,0.0,0.158389
0.0,0.0,0.1,0.0,0.090909,0.105029
0.0,0.0,0.2,0.0,0.181818,0.18847
0.066667,0.0,0.0,0.0,0.0,0.204423
0.0,0.0,0.2,0.0,0.181818,0.14166
0.133333,0.071429,0.1,0.0,0.090909,0.29363
0.066667,0.142857,0.2,0.2,0.0,0.378166
0.0,0.0,0.0,0.0,0.0,0.226393
0.0,0.0,0.2,0.2,0.0,0.25825
0.2,0.071429,0.1,0.0,0.090909,0.154478
0.133333,0.285714,0.0,0.0,0.0,0.362926
0.2,0.0,0.0,0.0,0.0,0.099489
0.2,0.071429,0.0,0.0,0.0,0.215901
0.066667,0.428571,0.1,0.1,0.0,0.495141
0.066667,0.142857,0.1,0.1,0.0,0.202545
0.0,0.0,0.1,0.1,0.0,0.189361
0.0,0.0,0.1,0.0,0.090909,0.12229
0.066667,0.0,0.0,0.0,0.0,0.075676
0.066667,0.071429,0.1,0.0,0.0,0.125761
0.133333,0.0,0.0,0.0,0.0,0.166223
0.266667,0.285714,0.1,0.3,0.0,0.378503
0.0,0.0,0.0,0.0,0.090909,0.258489
0.066667,0.0,0.1,0.1,0.0,0.281865
0.0,0.0,0.0,0.1,0.0,0.071762
0.133333,0.0,0.0,0.0,0.0,0.109118
0.0,0.214286,0.1,0.1,0.0,0.209864
0.0,0.0,0.0,0.0,0.0,0.161316
0.0,0.071429,0.1,0.0,0.0,0.311702
0.266667,0.0,0.2,0.0,0.0,0.547313
0.133333,0.214286,0.0,0.0,0.0,0.135168
0.2,0.0,0.0,0.0,0.0,0.18258
0.0,0.571429,0.2,0.0,0.181818,0.378614
0.0,0.0,0.0,0.0,0.0,0.333207
0.066667,0.0,0.0,0.0,0.0,0.119906
0.0,0.071429,0.1,0.0,0.0,0.102232
0.0,0.214286,0.0,0.0,0.0,0.259198
0.0,0.0,0.1,0.0,0.090909,0.293372
0.0,0.142857,0.0,0.0,0.0,0.349249
0.0,0.0,0.0,0.2,0.0,0.195334
0.0,0.071429,0.1,0.2,0.0,0.262625
0.266667,0.142857,0.0,0.0,0.0,0.346712
0.0,0.071429,0.1,0.0,0.090909,0.174558
0.066667,0.071429,0.0,0.0,0.0,0.185377
0.2,0.071429,0.1,0.0,0.0,0.320698
0.0,0.0,0.0,0.0,0.0,0.359632
0.133333,0.0,0.0,0.0,0.0,0.093163
0.133333,0.214286,0.0,0.0,0.0,0.278998
0.0,0.0,0.0,0.0,0.0,0.112724
0.0,0.071429,0.0,0.0,0.0,0.260382
0.0,0.0,0.0,0.0,0.0,0.248598
0.133333,0.285714,0.1,0.1,0.0,0.178297
0.066667,0.214286,0.0,0.0,0.0,0.191312
0.0,0.0,0.0,0.0,0.0,0.39254
0.133333,0.0,0.1,0.1,0.0,0.259332
0.133333,0.0,0.0,0.1,0.0,0.123168
0.0,0.0,0.2,0.2,0.0,0.266556
0.133333,0.285714,0.1,0.2,0.0,0.427633
0.066667,0.0,0.1,0.0,0.0,0.191805
0.133333,0.0,0.0,0.2,0.0,0.144836
0.066667,0.0,0.0,0.4,0.0,0.060373
0.133333,0.0,0.1,0.1,0.0,0.203458
0.2,0.357143,0.0,0.0,0.0,0.257397
0.0,0.142857,0.5,0.0,0.363636,0.434115
0.2,0.0,0.0,0.3,0.0,0.153895
0.2,0.0,0.1,0.0,0.0,0.094751
0.0,0.0,0.0,0.0,0.0,0.250835
0.0,0.0,0.0,0.0,0.0,0.285916
0.0,0.142857,0.0,0.0,0.0,0.438761
0.0,0.0,0.0,0.0,0.0,0.201374
0.0,0.0,0.1,0.0,0.090909,0.202007
0.0,0.071429,0.1,0.1,0.0,0.098206
0.0,0.0,0.0,0.0,0.0,0.166589
0.133333,0.0,0.1,0.0,0.0,0.041938
0.0,0.142857,0.0,0.0,0.0,0.222523
0.133333,0.0,0.0,0.0,0.0,0.207268
0.0,0.071429,0.0,0.0,0.090909,0.212827
0.0,0.0,0.0,0.2,0.0,0.233044
0.0,0.0,0.0,0.0,0.0,0.269964
0.133333,0.071429,0.1,0.0,0.0,0.254944
0.066667,0.357143,0.0,0.0,0.0,0.214561
0.066667,0.0,0.1,0.1,0.0,0.216541
0.0,0.214286,0.0,0.0,0.0,0.23017
0.133333,0.214286,0.1,0.1,0.0,0.41674
0.0,0.142857,0.4,0.4,0.0,0.391098
0.066667,0.0,0.1,0.0,0.0,0.102257
0.066667,0.071429,0.0,0.0,0.0,0.227662
0.133333,0.0,0.1,0.0,0.090909,0.223554
0.066667,0.428571,0.2,0.3,0.0,0.3912
0.133333,0.0,0.2,0.0,0.0,0.243949
0.0,0.071429,0.0,0.0,0.090909,0.161994
0.0,0.071429,0.1,0.1,0.0,0.282584
0.266667,0.071429,0.5,0.6,0.0,0.557407
0.133333,0.0,0.0,0.3,0.0,0.182112
0.0,0.071429,0.1,0.1,0.0,0.193842
0.133333,0.5,0.1,0.1,0.0,0.407719
0.0,0.0,0.1,0.0,0.090909,0.136441
0.0,0.0,0.0,0.0,0.0,0.240159
0.0,0.071429,0.0,0.0,0.0,0.166449
0.133333,0.142857,0.2,0.0,0.0,0.253321
0.0,0.142857,0.2,0.2,0.0,0.349055
0.066667,0.142857,0.0,0.0,0.0,0.168887
0.0,0.071429,0.0,0.2,0.0,0.355597
0.066667,0.0,0.1,0.2,0.0,0.300192
0.0,0.214286,0.0,0.0,0.0,0.198523
0.0,0.0,0.0,0.0,0.090909,0.085669
0.133333,0.285714,0.0,0.0,0.0,0.216353
0.2,0.071429,0.0,0.0,0.0,0.247631
0.0,0.071429,0.0,0.0,0.0,0.293181
0.066667,0.0,0.1,0.0,0.090909,0.171168
0.0,0.0,0.2,0.1,0.090909,0.235974
0.0,0.0,0.0,0.2,0.0,0.364886
0.066667,0.0,0.0,0.0,0.0,0.201368
0.133333,0.428571,0.0,0.0,0.0,0.186198
0.0,0.0,0.1,0.0,0.0,0.345525
0.0,0.142857,0.0,0.0,0.0,0.183465
0.2,0.0,0.1,0.1,0.0,0.307816
0.0,0.0,0.4,0.8,0.181818,0.683821
0.066667,0.142857,0.2,0.1,0.0,0.267596
0.0,0.0,0.0,0.0,0.0,0.412075
0.0,0.0,0.0,0.0,0.090909,0.373621
0.0,0.0,0.4,0.2,0.0,0.189915
0.0,0.0,0.0,0.0,0.0,0.215917
0.0,0.0,0.0,0.3,0.0,0.183414
0.133333,0.142857,0.1,0.0,0.0,0.211627
0.133333,0.142857,0.1,0.1,0.0,0.237597
0.066667,0.0,0.1,0.1,0.090909,0.06001
0.2,0.0,0.1,0.0,0.0,0.060039
0.2,0.0,0.0,0.0,0.0,0.104265
0.133333,0.071429,0.0,0.0,0.0,0.233187
0.0,0.142857,0.0,0.1,0.0,0.170039
0.0,0.0,0.2,0.3,0.0,0.257388
0.066667,0.214286,0.0,0.0,0.0,0.239096
0.0,0.071429,0.0,0.0,0.0,0.235799
0.0,0.0,0.0,0.0,0.0,0.182338
0.0,0.428571,0.0,0.0,0.0,0.124046
0.133333,0.0,0.2,0.2,0.0,0.21985
0.133333,0.071429,0.0,0.0,0.0,0.11337
0.0,0.0,0.0,0.2,0.0,0.348708
0.0,0.142857,0.1,0.2,0.0,0.1738
0.066667,0.142857,0.0,0.0,0.0,0.329271
0.133333,0.071429,0.2,0.0,0.0,0.208238
0.133333,0.0,0.2,0.2,0.0,0.100673
0.0,0.0,0.1,0.0,0.090909,0.361637
0.0,0.0,0.0,0.0,0.0,0.122337
0.066667,0.142857,0.0,0.0,0.0,0.165383
0.0,0.142857,0.1,0.1,0.0,0.249559
0.066667,0.071429,0.1,0.1,0.0,0.187732
0.2,0.0,0.0,0.0,0.0,0.193912
0.0,0.285714,0.0,0.0,0.0,0.432174
0.133333,0.071429,0.1,0.1,0.0,0.153081
0.0,0.0,0.2,0.1,0.0,0.17246
0.266667,0.071429,0.3,0.0,0.272727,0.367731
0.066667,0.071429,0.0,0.0,0.0,0.093879
0.066667,0.0,0.1,0.0,0.0,0.127712
0.266667,0.285714,0.4,0.0,0.0,0.269241
0.133333,0.0,0.1,0.1,0.0,0.24175
0.0,0.0,0.0,0.2,0.0,0.086531
0.133333,0.0,0.0,0.1,0.0,0.165116
0.0,0.0,0.0,0.0,0.0,0.125949
0.6,0.0,0.3,0.0,0.181818,0.634968
0.066667,0.0,0.0,0.0,0.090909,0.264312
0.266667,0.0,0.0,0.0,0.0,0.09933
0.0,0.0,0.0,0.0,0.0,0.376218
0.133333,0.0,0.4,0.2,0.0,0.302273
0.066667,0.142857,0.1,0.1,0.0,0.147477
0.0,0.0,0.0,0.0,0.0,0.211646
0.0,0.0,0.0,0.0,0.0,0.292357
0.066667,0.0,0.1,0.0,0.0,0.124123
0.0,0.214286,0.0,0.0,0.0,0.274339
0.133333,0.214286,0.0,0.1,0.0,0.238714
0.2,0.142857,0.0,0.0,0.0,0.200871
0.0,0.428571,0.0,0.0,0.0,0.281986
0.066667,0.0,0.0,0.0,0.0,0.182755
0.133333,0.0,0.1,0.0,0.0,0.15351
0.133333,0.0,0.1,0.0,0.0,0.251144
0.466667,0.0,0.5,0.1,0.272727,0.653682
0.0,0.0,0.0,0.0,0.0,0.393281
0.0,0.0,0.0,0.0,0.090909,0.18013
0.133333,0.214286,0.0,0.0,0.0,0.213966
0.0,0.0,0.0,0.1,0.0,0.267762
0.066667,0.071429,0.2,0.1,0.0,0.352705
0.066667,0.0,0.0,0.0,0.0,0.258953
0.0,0.0,0.3,0.0,0.181818,0.092768
0.0,0.0,0.2,0.0,0.181818,0.196419
0.066667,0.071429,0.0,0.0,0.0,0.401978
0.0,0.0,0.1,0.0,0.090909,0.273318
0.2,0.0,0.1,0.0,0.0,0.23662
0.066667,0.0,0.0,0.0,0.0,0.087374
0.0,0.071429,0.0,0.0,0.0,0.207872
0.133333,0.071429,0.2,0.1,0.0,0.267405
0.133333,0.142857,0.0,0.0,0.0,0.22442
0.0,0.142857,0.1,0.1,0.0,0.51608
0.133333,0.285714,0.0,0.0,0.0,0.209852
0.133333,0.071429,0.1,0.0,0.0,0.182408
0.066667,0.071429,0.0,0.0,0.090909,0.181151
0.0,0.0,0.0,0.4,0.0,0.265349
0.066667,0.0,0.0,0.0,0.0,0.208206
0.0,0.071429,0.0,0.0,0.0,0.140619
0.066667,0.214286,0.1,0.1,0.0,0.14663
0.066667,0.0,0.0,0.0,0.0,0.154898
0.0,0.357143,0.0,0.0,0.0,0.299476
0.133333,0.142857,0.0,0.0,0.0,0.261225
0.133333,0.142857,0.0,0.0,0.0,0.209985
0.0,0.142857,0.0,0.0,0.0,0.132298
0.4,0.0,0.0,0.0,0.0,0.200505
0.0,0.0,0.0,0.0,0.0,0.227242
0.0,0.0,0.0,0.0,0.0,0.18062
0.066667,0.071429,0.1,0.0,0.090909,0.282654
0.133333,0.0,0.0,0.2,0.0,0.13414
0.133333,0.0,0.1,0.0,0.0,0.190936
0.133333,0.0,0.0,0.2,0.0,0.166952
0.066667,0.285714,0.0,0.0,0.0,0.246129
0.0,0.214286,0.2,0.0,0.090909,0.32241
0.066667,0.0,0.0,0.0,0.0,0.152174
0.0,0.0,0.2,0.3,0.0,0.275017
0.066667,0.0,0.2,0.2,0.090909,0.273849
0.133333,0.0,0.0,0.0,0.0,0.122563
0.133333,0.0,0.2,0.0,0.090909,0.17409
0.0,0.071429,0.0,0.1,0.0,0.116899
0.066667,0.071429,0.0,0.0,0.0,0.197648
0.0,0.142857,0.0,0.0,0.0,0.180165
0.0,0.0,0.0,0.1,0.0,0.101742
0.2,0.214286,0.0,0.2,0.0,0.170303
0.066667,0.0,0.0,0.0,0.0,0.107651
0.066667,0.0,0.0,0.0,0.0,0.121596
0.0,0.0,0.0,0.0,0.0,0.2289
0.0,0.0,0.0,0.0,0.0,0.120985
0.133333,0.071429,0.1,0.3,0.090909,0.350541
0.066667,0.071429,0.0,0.0,0.0,0.247819
0.266667,0.214286,0.2,0.2,0.0,0.681912
0.066667,0.0,0.0,0.2,0.0,0.152136
0.0,0.214286,0.0,0.1,0.0,0.139709
0.266667,0.142857,0.4,0.2,0.0,0.215198
0.0,0.0,0.1,0.0,0.090909,0.24815
0.066667,0.214286,0.3,0.2,0.0,0.405004
0.2,0.0,0.3,0.2,0.0,0.41822
0.066667,0.071429,0.3,0.3,0.0,0.241359
0.066667,0.071429,0.2,0.0,0.090909,0.193632
0.133333,0.0,0.3,0.3,0.090909,0.372673
0.0,0.142857,0.3,0.1,0.090909,0.39709
0.0,0.071429,0.0,0.2,0.0,0.162742
0.0,0.142857,0.0,0.0,0.0,0.23515
0.0,0.071429,0.0,0.0,0.0,0.148689
0.0,0.0,0.0,0.0,0.090909,0.168896
0.0,0.071429,0.0,0.0,0.0,0.177205
0.0,0.071429,0.0,0.0,0.0,0.209355
0.0,0.0,0.0,0.0,0.0,0.259411
0.066667,0.0,0.0,0.1,0.0,0.196925
0.066667,0.0,0.0,0.0,0.0,0.128135
0.133333,0.142857,0.1,0.0,0.0,0.23753
0.133333,0.0,0.2,0.2,0.0,0.238049
0.0,0.428571,0.2,0.0,0.181818,0.347419
0.0,0.571429,0.0,0.0,0.0,0.497454
0.0,0.0,0.0,0.0,0.0,0.266304
0.133333,0.071429,0.0,0.0,0.0,0.190001
0.266667,0.285714,0.1,0.1,0.0,0.339387
0.066667,0.071429,0.0,0.0,0.0,0.184712
0.066667,0.0,0.2,0.1,0.090909,0.160234
0.0,0.0,0.2,0.0,0.181818,0.112552
0.066667,0.071429,0.0,0.2,0.0,0.268649
0.0,0.0,0.1,0.0,0.090909,0.120231
0.066667,0.071429,0.3,0.1,0.181818,0.458548
0.2,0.142857,0.1,0.1,0.0,0.281092
0.066667,0.0,0.0,0.0,0.0,0.071845
0.0,0.214286,0.2,0.0,0.0,0.336097
0.0,0.0,0.2,0.2,0.0,0.15823
0.0,0.142857,0.0,0.0,0.0,0.223688
0.266667,0.285714,0.0,0.0,0.181818,0.323056
0.0,0.071429,0.0,0.0,0.0,0.130092
0.133333,0.0,0.1,0.0,0.090909,0.09827
0.066667,0.285714,0.0,0.0,0.0,0.304239
0.0,0.071429,0.0,0.2,0.0,0.242043
0.066667,0.071429,0.1,0.1,0.090909,0.211965
0.133333,0.071429,0.0,0.0,0.090909,0.193294
0.0,0.142857,0.1,0.0,0.0,0.188317
0.133333,0.071429,0.1,0.1,0.0,0.162115
0.0,0.142857,0.0,0.0,0.181818,0.250173
0.133333,0.142857,0.2,0.0,0.090909,0.318722
0.0,0.0,0.1,0.1,0.0,0.110592
0.133333,0.0,0.0,0.0,0.0,0.299456
0.0,0.0,0.2,0.1,0.0,0.074986
0.2,0.142857,0.0,0.0,0.0,0.252621
0.266667,0.214286,0.1,0.1,0.0,0.223239
0.066667,0.071429,0.1,0.0,0.0,0.252557
0.0,0.142857,0.0,0.1,0.0,0.163611
0.0,0.0,0.0,0.0,0.0,0.128107
0.066667,0.071429,0.0,0.1,0.0,0.247325
0.0,0.071429,0.0,0.0,0.0,0.238052
0.133333,0.214286,0.0,0.0,0.0,0.234046
0.133333,0.0,0.2,0.2,0.0,0.224187
0.066667,0.214286,0.0,0.0,0.0,0.226399
0.2,0.285714,0.1,0.1,0.0,0.238291
0.133333,0.0,0.0,0.0,0.0,0.079358
0.0,0.0,0.4,0.0,0.0,0.166825
0.266667,0.0,0.0,0.0,0.0,0.16867
0.0,0.0,0.0,0.0,0.0,0.152377
0.0,0.0,0.4,0.1,0.181818,0.169606
0.0,0.071429,0.1,0.2,0.0,0.243889
0.0,0.071429,0.1,0.0,0.090909,0.144584
0.2,0.0,0.0,0.0,0.0,0.313369
0.0,0.0,0.0,0.0,0.0,0.125389
0.066667,0.357143,0.1,0.1,0.0,0.329548
0.0,0.142857,0.2,0.2,0.0,0.263157
0.0,0.0,0.1,0.0,0.090909,0.141491
0.0,0.0,0.1,0.0,0.0,0.105128
0.133333,0.071429,0.1,0.0,0.0,0.415716
0.066667,0.0,0.3,0.0,0.272727,0.362534
0.133333,0.214286,0.2,0.0,0.181818,0.289194
0.133333,0.0,0.2,0.2,0.0,0.202695
0.066667,0.0,0.1,0.0,0.0,0.134544
0.0,0.285714,0.0,0.0,0.0,0.274209
0.0,0.0,0.0,0.0,0.0,0.19507
0.066667,0.214286,0.0,0.0,0.0,0.100845
0.0,0.142857,0.1,0.0,0.090909,0.147595
0.066667,0.0,0.1,0.0,0.0,0.441447
0.0,0.071429,0.1,0.2,0.090909,0.230635
0.066667,0.0,0.1,0.1,0.0,0.094318
0.266667,0.142857,0.2,0.2,0.0,0.359947
0.2,0.142857,0.4,0.2,0.0,0.286082
0.0,0.0,0.0,0.0,0.0,0.292892
0.066667,0.0,0.0,0.0,0.0,0.095031
0.066667,0.0,0.0,0.0,0.0,0.157374
0.0,0.071429,0.0,0.0,0.0,0.183687
0.133333,0.071429,0.0,0.0,0.090909,0.302075
0.0,0.071429,0.1,0.0,0.090909,0.137959
0.0,0.0,0.1,0.0,0.181818,0.176123
0.0,0.0,0.0,0.0,0.0,0.091489
0.8,0.428571,0.2,0.0,0.0,0.322909
0.133333,0.071429,0.0,0.0,0.0,0.232856
0.0,0.0,0.0,0.2,0.0,0.375925
0.266667,0.0,0.2,0.0,0.0,0.300125
0.0,0.0,0.0,0.2,0.0,0.107798
0.066667,0.0,0.2,0.2,0.0,0.196445
0.266667,0.285714,0.0,0.0,0.0,0.231545
0.0,0.214286,0.1,0.1,0.0,0.295638
0.0,0.142857,0.0,0.0,0.0,0.384711
0.066667,0.214286,0.0,0.0,0.0,0.146656
0.0,0.0,0.2,0.1,0.0,0.279927
0.0,0.071429,0.2,0.2,0.0,0.206128
0.2,0.285714,0.2,0.6,0.0,0.850382
0.133333,0.0,0.0,0.0,0.0,0.268105
0.0,0.142857,0.6,0.4,0.181818,0.410961
0.066667,0.0,0.0,0.0,0.0,0.1272
0.2,0.0,0.0,0.2,0.0,0.207175
0.133333,0.285714,0.0,0.0,0.0,0.345013
0.0,0.071429,0.0,0.0,0.090909,0.209508
0.066667,0.0,0.2,0.2,0.090909,0.345771
0.0,0.0,0.2,0.0,0.181818,0.043571
0.0,0.071429,0.2,0.0,0.0,0.284901
0.0,0.0,0.0,0.0,0.0,0.148524
0.266667,0.142857,0.1,0.0,0.0,0.30185
0.066667,0.0,0.1,0.0,0.0,0.187945
0.0,0.285714,0.0,0.0,0.0,0.290495
0.0,0.071429,0.0,0.0,0.0,0.303956
0.066667,0.285714,0.0,0.2,0.0,0.299246
0.133333,0.0,0.0,0.0,0.0,0.187907
0.0,0.142857,0.0,0.0,0.0,0.351931
0.066667,0.0,0.0,0.1,0.0,0.222781
0.133333,0.0,0.2,0.0,0.0,0.399588
0.0,0.071429,0.0,0.0,0.0,0.138812
0.066667,0.0,0.0,0.0,0.0,0.12838
0.066667,0.0,0.0,0.0,0.0,0.344972
0.066667,0.0,0.4,0.2,0.090909,0.29713
0.266667,0.214286,0.0,0.0,0.0,0.281331
0.0,0.142857,0.0,0.0,0.0,0.17976
0.133333,0.0,0.1,0.0,0.0,0.131703
0.066667,0.142857,0.0,0.0,0.0,0.191929
0.0,0.0,0.1,0.1,0.0,0.109936
0.133333,0.357143,0.1,0.3,0.0,0.366821
0.2,0.0,0.0,0.1,0.0,0.200929
0.0,0.142857,0.0,0.0,0.0,0.262323
0.066667,0.285714,0.1,0.1,0.0,0.367982
0.066667,0.071429,0.1,0.1,0.0,0.158446
0.0,0.142857,0.2,0.1,0.0,0.349185
0.133333,0.0,0.2,0.0,0.0,0.074276
0.0,0.0,0.1,0.0,0.0,0.105061
0.0,0.0,0.4,0.0,0.0,0.136979
0.0,0.0,0.1,0.0,0.090909,0.231347
0.0,0.0,0.0,0.0,0.0,0.346935
0.133333,0.0,0.2,0.2,0.0,0.301643
0.133333,0.0,0.1,0.1,0.0,0.102557
0.0,0.0,0.0,0.0,0.0,0.154589
0.0,0.071429,0.0,0.0,0.090909,0.23318
