pk_table,pk_column,fk_table,fk_column
table3.csv,residence_since,table1.csv,residence_since
table3.csv,credit_amount,table1.csv,credit_amount
table3.csv,purpose,table1.csv,purpose
table3.csv,credit_amount,table12.csv,credit_amount
table3.csv,purpose,table12.csv,purpose
table3.csv,installment_commitment,table13.csv,installment_commitment
table3.csv,residence_since,table13.csv,residence_since
table3.csv,credit_amount,table13.csv,credit_amount
table3.csv,credit_amount,table9.csv,credit_amount
table3.csv,residence_since,table10.csv,residence_since
table3.csv,credit_amount,table10.csv,credit_amount
table3.csv,installment_commitment,table8.csv,installment_commitment
table3.csv,credit_amount,table8.csv,credit_amount
table2.csv,installment_commitment,table1.csv,installment_commitment
table2.csv,credit_amount,table1.csv,credit_amount
table2.csv,age,table1.csv,age
table2.csv,credit_amount,table9.csv,credit_amount
table2.csv,age,table9.csv,age
table2.csv,installment_commitment,table13.csv,installment_commitment
table2.csv,credit_amount,table13.csv,credit_amount
table2.csv,installment_commitment,table8.csv,installment_commitment
table2.csv,credit_amount,table8.csv,credit_amount
table1.csv,credit_amount,table14.csv,credit_amount
table1.csv,duration,table14.csv,duration
table1.csv,property_magnitude,table12.csv,property_magnitude
table1.csv,credit_amount,table12.csv,credit_amount
table1.csv,purpose,table12.csv,purpose
table1.csv,credit_amount,table9.csv,credit_amount
table1.csv,age,table9.csv,age
table1.csv,installment_commitment,table13.csv,installment_commitment
table1.csv,residence_since,table13.csv,residence_since
table1.csv,credit_amount,table13.csv,credit_amount
table1.csv,property_magnitude,table11.csv,property_magnitude
table1.csv,checking_status,table11.csv,checking_status
table1.csv,credit_amount,table11.csv,credit_amount
table1.csv,property_magnitude,table10.csv,property_magnitude
table1.csv,residence_since,table10.csv,residence_since
table1.csv,credit_amount,table10.csv,credit_amount
table1.csv,installment_commitment,table8.csv,installment_commitment
table1.csv,credit_amount,table8.csv,credit_amount
table1.csv,duration,table8.csv,duration
table14.csv,credit_amount,table9.csv,credit_amount
table14.csv,credit_amount,table8.csv,credit_amount
table14.csv,duration,table8.csv,duration
table12.csv,credit_amount,table9.csv,credit_amount
table12.csv,property_magnitude,table11.csv,property_magnitude
table12.csv,credit_amount,table11.csv,credit_amount
table12.csv,property_magnitude,table10.csv,property_magnitude
table12.csv,credit_amount,table10.csv,credit_amount
table13.csv,credit_amount,table9.csv,credit_amount
table13.csv,residence_since,table10.csv,residence_since
table13.csv,credit_amount,table10.csv,credit_amount
table9.csv,credit_amount,table11.csv,credit_amount
table13.csv,installment_commitment,table8.csv,installment_commitment
table13.csv,credit_amount,table8.csv,credit_amount
table9.csv,credit_amount,table10.csv,credit_amount
table11.csv,property_magnitude,table10.csv,property_magnitude
table11.csv,credit_amount,table10.csv,credit_amount
table11.csv,credit_amount,table8.csv,credit_amount
