credit_amount,duration,installment_commitment,savings_status
1819.0,36.0,4.0,<100
2394.0,36.0,4.0,no known savings
8133.0,36.0,1.0,<100
730.0,7.0,4.0,no known savings
1164.0,8.0,3.0,<100
5954.0,42.0,2.0,<100
1977.0,36.0,4.0,no known savings
1526.0,12.0,4.0,<100
3965.0,42.0,4.0,<100
4771.0,11.0,2.0,<100
9436.0,54.0,2.0,no known savings
3832.0,30.0,2.0,<100
5943.0,24.0,1.0,no known savings
1213.0,15.0,4.0,500<=X<1000
1568.0,18.0,3.0,100<=X<500
1755.0,24.0,4.0,<100
2315.0,10.0,3.0,<100
1412.0,12.0,4.0,<100
1295.0,18.0,4.0,<100
12612.0,36.0,1.0,100<=X<500
2249.0,18.0,4.0,100<=X<500
1108.0,12.0,4.0,<100
618.0,12.0,4.0,<100
1409.0,12.0,4.0,<100
797.0,12.0,4.0,no known savings
3617.0,24.0,4.0,no known savings
1318.0,12.0,4.0,>=1000
15945.0,54.0,3.0,<100
2012.0,12.0,4.0,no known savings
2622.0,18.0,4.0,100<=X<500
2337.0,36.0,4.0,<100
7057.0,20.0,3.0,no known savings
1469.0,24.0,4.0,100<=X<500
2323.0,36.0,4.0,<100
932.0,6.0,3.0,<100
1919.0,9.0,4.0,<100
2445.0,12.0,2.0,no known savings
11938.0,24.0,2.0,<100
6458.0,18.0,2.0,<100
6078.0,12.0,2.0,<100
7721.0,24.0,1.0,no known savings
1410.0,14.0,1.0,500<=X<1000
1449.0,6.0,1.0,100<=X<500
392.0,15.0,4.0,<100
6260.0,18.0,3.0,<100
7855.0,36.0,4.0,<100
1680.0,12.0,3.0,500<=X<1000
3578.0,48.0,4.0,no known savings
7174.0,42.0,4.0,no known savings
2132.0,10.0,2.0,no known savings
4281.0,33.0,1.0,500<=X<1000
2366.0,12.0,3.0,500<=X<1000
1835.0,21.0,3.0,<100
3868.0,24.0,4.0,<100
1768.0,12.0,3.0,<100
781.0,10.0,4.0,<100
1924.0,18.0,4.0,no known savings
2121.0,12.0,4.0,<100
701.0,12.0,4.0,<100
639.0,12.0,4.0,<100
1860.0,12.0,4.0,<100
3499.0,12.0,3.0,<100
8487.0,48.0,1.0,no known savings
6887.0,36.0,4.0,<100
2708.0,15.0,2.0,<100
1984.0,18.0,4.0,<100
10144.0,60.0,2.0,100<=X<500
1240.0,12.0,4.0,no known savings
8613.0,27.0,2.0,>=1000
766.0,12.0,4.0,500<=X<1000
2728.0,15.0,4.0,no known savings
1881.0,12.0,2.0,<100
709.0,6.0,2.0,>=1000
4795.0,36.0,4.0,<100
3416.0,27.0,3.0,<100
2462.0,18.0,2.0,<100
2288.0,21.0,4.0,<100
3566.0,48.0,4.0,100<=X<500
860.0,6.0,1.0,<100
682.0,12.0,4.0,100<=X<500
5371.0,36.0,3.0,<100
1582.0,18.0,4.0,>=1000
1346.0,6.0,2.0,100<=X<500
1924.0,10.0,1.0,<100
5848.0,36.0,4.0,<100
7758.0,24.0,2.0,>=1000
6967.0,24.0,4.0,100<=X<500
1282.0,12.0,2.0,<100
1288.0,9.0,3.0,100<=X<500
339.0,12.0,4.0,<100
3512.0,24.0,2.0,100<=X<500
1898.0,6.0,1.0,no known savings
2872.0,24.0,3.0,100<=X<500
1055.0,18.0,4.0,<100
1262.0,15.0,4.0,500<=X<1000
7308.0,10.0,2.0,<100
909.0,36.0,4.0,500<=X<1000
2978.0,6.0,1.0,500<=X<1000
1131.0,18.0,4.0,<100
1577.0,11.0,4.0,>=1000
3972.0,24.0,2.0,<100
1935.0,24.0,4.0,<100
950.0,15.0,4.0,<100
763.0,12.0,4.0,<100
2064.0,24.0,3.0,<100
1414.0,8.0,4.0,<100
3414.0,21.0,2.0,<100
7485.0,30.0,4.0,no known savings
2577.0,12.0,2.0,<100
338.0,6.0,4.0,500<=X<1000
1963.0,12.0,4.0,<100
571.0,21.0,4.0,<100
9572.0,36.0,1.0,<100
4455.0,36.0,2.0,<100
1647.0,21.0,4.0,no known savings
3777.0,24.0,4.0,>=1000
884.0,18.0,4.0,<100
1360.0,15.0,4.0,<100
5129.0,9.0,2.0,<100
1175.0,16.0,2.0,<100
674.0,12.0,4.0,100<=X<500
3244.0,18.0,1.0,<100
4591.0,24.0,2.0,>=1000
3844.0,48.0,4.0,100<=X<500
3915.0,27.0,4.0,<100
2108.0,6.0,2.0,<100
3031.0,45.0,4.0,100<=X<500
1501.0,9.0,2.0,<100
1382.0,6.0,1.0,<100
951.0,12.0,4.0,100<=X<500
2760.0,24.0,4.0,no known savings
4297.0,18.0,4.0,<100
936.0,9.0,4.0,500<=X<1000
1168.0,12.0,4.0,<100
5117.0,27.0,3.0,<100
902.0,12.0,4.0,<100
1495.0,12.0,4.0,<100
10623.0,30.0,3.0,<100
1935.0,12.0,4.0,<100
1424.0,12.0,4.0,<100
6568.0,24.0,2.0,<100
1413.0,12.0,3.0,>=1000
3074.0,9.0,1.0,no known savings
3835.0,36.0,2.0,no known savings
5293.0,27.0,2.0,<100
1908.0,30.0,4.0,<100
3342.0,36.0,4.0,no known savings
932.0,6.0,1.0,no known savings
3104.0,18.0,3.0,<100
3913.0,36.0,2.0,<100
3021.0,24.0,2.0,<100
1364.0,10.0,2.0,<100
625.0,12.0,4.0,<100
1200.0,12.0,4.0,no known savings
707.0,12.0,4.0,<100
2978.0,24.0,4.0,no known savings
4657.0,15.0,3.0,<100
2613.0,36.0,4.0,<100
10961.0,48.0,1.0,>=1000
7865.0,12.0,4.0,<100
1478.0,9.0,4.0,<100
3149.0,24.0,4.0,<100
4210.0,36.0,4.0,<100
2507.0,9.0,2.0,500<=X<1000
2141.0,12.0,3.0,100<=X<500
866.0,18.0,4.0,<100
1544.0,4.0,2.0,<100
1823.0,24.0,4.0,<100
14555.0,6.0,1.0,no known savings
2767.0,21.0,4.0,100<=X<500
1291.0,12.0,4.0,<100
2522.0,30.0,1.0,<100
915.0,24.0,4.0,no known savings
1595.0,6.0,3.0,<100
4605.0,48.0,3.0,<100
1185.0,12.0,3.0,<100
3447.0,12.0,4.0,500<=X<1000
1258.0,24.0,4.0,<100
717.0,12.0,4.0,<100
1204.0,6.0,4.0,100<=X<500
1925.0,24.0,2.0,<100
433.0,18.0,3.0,<100
666.0,6.0,3.0,>=1000
2251.0,12.0,1.0,<100
2150.0,30.0,4.0,<100
4151.0,24.0,2.0,100<=X<500
2030.0,9.0,2.0,no known savings
7418.0,60.0,1.0,no known savings
2684.0,24.0,4.0,<100
2149.0,12.0,4.0,<100
3812.0,15.0,1.0,100<=X<500
1154.0,11.0,4.0,100<=X<500
1657.0,12.0,2.0,<100
1603.0,24.0,4.0,<100
5302.0,18.0,2.0,<100
2748.0,12.0,2.0,<100
1231.0,10.0,3.0,<100
802.0,15.0,4.0,<100
6304.0,36.0,4.0,no known savings
1533.0,24.0,4.0,<100
8978.0,14.0,1.0,<100
999.0,24.0,4.0,no known savings
2662.0,18.0,4.0,no known savings
1402.0,12.0,3.0,500<=X<1000
12169.0,48.0,4.0,no known savings
3060.0,48.0,4.0,<100
11998.0,30.0,1.0,<100
2697.0,9.0,1.0,<100
2404.0,18.0,2.0,<100
1262.0,12.0,2.0,no known savings
4611.0,6.0,1.0,<100
1901.0,24.0,4.0,100<=X<500
3368.0,15.0,3.0,>=1000
1574.0,12.0,4.0,<100
1445.0,18.0,4.0,no known savings
1520.0,15.0,4.0,no known savings
3878.0,24.0,4.0,100<=X<500
10722.0,47.0,1.0,<100
4788.0,48.0,4.0,<100
7582.0,48.0,2.0,100<=X<500
1092.0,12.0,4.0,<100
1024.0,24.0,4.0,<100
1076.0,12.0,2.0,<100
9398.0,36.0,1.0,<100
6419.0,24.0,2.0,<100
4796.0,42.0,4.0,<100
7629.0,48.0,4.0,no known savings
9960.0,48.0,1.0,<100
4675.0,12.0,1.0,no known savings
1287.0,10.0,4.0,no known savings
2515.0,18.0,3.0,<100
2745.0,21.0,3.0,>=1000
672.0,6.0,1.0,<100
3804.0,36.0,4.0,<100
1344.0,24.0,4.0,no known savings
1038.0,10.0,4.0,<100
10127.0,48.0,2.0,500<=X<1000
1543.0,6.0,4.0,>=1000
4811.0,30.0,2.0,no known savings
727.0,12.0,4.0,100<=X<500
1237.0,8.0,3.0,<100
276.0,9.0,4.0,<100
5381.0,48.0,3.0,no known savings
5511.0,24.0,4.0,100<=X<500
3749.0,24.0,2.0,<100
685.0,12.0,2.0,<100
1494.0,4.0,1.0,no known savings
2746.0,36.0,4.0,<100
708.0,12.0,2.0,<100
4351.0,24.0,1.0,no known savings
701.0,12.0,4.0,<100
3643.0,15.0,1.0,<100
4249.0,30.0,4.0,<100
1938.0,24.0,4.0,<100
2910.0,24.0,2.0,<100
2659.0,18.0,4.0,>=1000
1028.0,18.0,4.0,<100
3398.0,8.0,1.0,<100
5801.0,12.0,2.0,no known savings
1525.0,24.0,4.0,>=1000
4473.0,36.0,4.0,<100
1068.0,6.0,4.0,<100
6615.0,24.0,2.0,<100
1864.0,18.0,4.0,100<=X<500
7408.0,60.0,4.0,100<=X<500
11590.0,48.0,2.0,100<=X<500
4110.0,24.0,3.0,<100
3384.0,6.0,1.0,<100
2101.0,13.0,2.0,<100
1275.0,15.0,4.0,no known savings
4169.0,24.0,4.0,<100
1521.0,10.0,4.0,<100
5743.0,24.0,2.0,<100
3599.0,21.0,1.0,<100
3213.0,18.0,1.0,500<=X<1000
4439.0,18.0,1.0,<100
3949.0,10.0,1.0,<100
1459.0,15.0,4.0,<100
882.0,13.0,4.0,<100
3758.0,24.0,1.0,500<=X<1000
1743.0,6.0,1.0,100<=X<500
1136.0,9.0,4.0,>=1000
1236.0,9.0,1.0,<100
959.0,9.0,1.0,<100
3229.0,18.0,2.0,no known savings
6199.0,12.0,4.0,<100
727.0,10.0,4.0,500<=X<1000
1246.0,24.0,4.0,<100
2331.0,12.0,1.0,no known savings
4463.0,36.0,4.0,<100
776.0,12.0,4.0,<100
2406.0,30.0,4.0,<100
1239.0,18.0,4.0,no known savings
3399.0,12.0,2.0,no known savings
2247.0,12.0,2.0,<100
1766.0,6.0,1.0,<100
2473.0,18.0,4.0,<100
1542.0,12.0,2.0,<100
3850.0,18.0,3.0,<100
3650.0,18.0,1.0,<100
3446.0,36.0,4.0,<100
3001.0,18.0,2.0,<100
3079.0,36.0,4.0,no known savings
6070.0,18.0,3.0,<100
2146.0,10.0,1.0,<100
13756.0,60.0,2.0,no known savings
14782.0,60.0,3.0,100<=X<500
7685.0,48.0,2.0,<100
2320.0,18.0,2.0,<100
846.0,7.0,3.0,no known savings
14318.0,36.0,4.0,<100
362.0,6.0,4.0,100<=X<500
2212.0,20.0,4.0,no known savings
12976.0,18.0,3.0,<100
1283.0,22.0,4.0,no known savings
1330.0,12.0,4.0,<100
4272.0,30.0,2.0,100<=X<500
2238.0,18.0,2.0,<100
1126.0,18.0,4.0,no known savings
7374.0,18.0,4.0,<100
2326.0,15.0,2.0,500<=X<1000
1449.0,9.0,3.0,<100
1820.0,18.0,2.0,<100
983.0,12.0,1.0,>=1000
3249.0,36.0,2.0,<100
1957.0,6.0,1.0,<100
2406.0,9.0,2.0,<100
11760.0,39.0,2.0,100<=X<500
2578.0,12.0,3.0,<100
2348.0,36.0,3.0,<100
1223.0,12.0,1.0,<100
1516.0,24.0,4.0,>=1000
1473.0,18.0,3.0,<100
1887.0,18.0,4.0,no known savings
8648.0,24.0,2.0,<100
802.0,14.0,4.0,<100
2899.0,18.0,4.0,no known savings
2039.0,24.0,1.0,<100
2197.0,24.0,4.0,no known savings
1053.0,15.0,4.0,<100
3235.0,24.0,3.0,500<=X<1000
939.0,12.0,4.0,500<=X<1000
1967.0,24.0,4.0,<100
7253.0,33.0,3.0,<100
2292.0,12.0,4.0,<100
1597.0,10.0,3.0,500<=X<1000
1381.0,24.0,4.0,no known savings
5842.0,36.0,2.0,<100
2579.0,12.0,4.0,<100
8471.0,18.0,1.0,no known savings
2782.0,21.0,1.0,500<=X<1000
1042.0,18.0,4.0,no known savings
3186.0,15.0,2.0,>=1000
2028.0,12.0,4.0,no known savings
958.0,12.0,2.0,<100
1591.0,21.0,4.0,100<=X<500
2762.0,12.0,1.0,no known savings
2779.0,18.0,1.0,<100
2743.0,28.0,4.0,<100
1149.0,18.0,4.0,>=1000
1313.0,9.0,1.0,<100
1190.0,18.0,2.0,<100
3448.0,5.0,1.0,<100
11328.0,24.0,2.0,<100
1872.0,6.0,4.0,<100
2058.0,24.0,4.0,<100
2136.0,9.0,3.0,<100
1484.0,12.0,2.0,no known savings
660.0,6.0,2.0,500<=X<1000
1287.0,24.0,4.0,>=1000
3394.0,42.0,4.0,<100
609.0,12.0,4.0,<100
1884.0,12.0,4.0,<100
1620.0,12.0,2.0,<100
2629.0,20.0,2.0,<100
719.0,12.0,4.0,<100
5096.0,48.0,2.0,<100
1244.0,9.0,4.0,no known savings
1842.0,36.0,4.0,<100
2576.0,7.0,2.0,<100
1424.0,12.0,3.0,no known savings
1512.0,15.0,3.0,>=1000
11054.0,36.0,4.0,no known savings
518.0,6.0,3.0,<100
2759.0,12.0,2.0,<100
2670.0,24.0,4.0,<100
4817.0,24.0,2.0,<100
2679.0,24.0,4.0,<100
3905.0,11.0,2.0,<100
3386.0,12.0,3.0,<100
343.0,6.0,4.0,<100
4594.0,18.0,3.0,<100
3620.0,36.0,1.0,<100
1721.0,15.0,2.0,<100
3017.0,12.0,3.0,<100
754.0,12.0,4.0,no known savings
1950.0,18.0,4.0,<100
2924.0,24.0,3.0,<100
1659.0,24.0,4.0,<100
7238.0,48.0,3.0,no known savings
2764.0,33.0,2.0,<100
4679.0,24.0,3.0,<100
3092.0,24.0,3.0,100<=X<500
448.0,6.0,4.0,<100
654.0,9.0,4.0,<100
1238.0,6.0,4.0,no known savings
1245.0,18.0,4.0,<100
3114.0,18.0,1.0,<100
2569.0,39.0,4.0,500<=X<1000
5152.0,24.0,4.0,<100
1037.0,12.0,3.0,100<=X<500
1478.0,15.0,4.0,<100
3573.0,12.0,1.0,<100
1201.0,24.0,4.0,<100
3622.0,30.0,4.0,>=1000
960.0,15.0,3.0,>=1000
1163.0,12.0,4.0,500<=X<1000
1209.0,6.0,4.0,<100
3077.0,12.0,2.0,<100
3757.0,24.0,4.0,<100
1418.0,10.0,3.0,100<=X<500
3518.0,6.0,2.0,<100
1934.0,12.0,2.0,<100
8318.0,27.0,2.0,<100
1237.0,6.0,1.0,100<=X<500
368.0,6.0,4.0,no known savings
2122.0,12.0,3.0,<100
2996.0,24.0,2.0,no known savings
9034.0,36.0,4.0,100<=X<500
1585.0,24.0,4.0,<100
1301.0,18.0,4.0,<100
1323.0,6.0,2.0,100<=X<500
3123.0,24.0,4.0,<100
5493.0,36.0,2.0,<100
1126.0,9.0,2.0,100<=X<500
1216.0,24.0,4.0,100<=X<500
1207.0,24.0,4.0,<100
1309.0,10.0,4.0,no known savings
2360.0,15.0,2.0,500<=X<1000
6850.0,15.0,1.0,100<=X<500
1413.0,24.0,4.0,<100
8588.0,39.0,4.0,100<=X<500
759.0,12.0,4.0,<100
4686.0,36.0,2.0,<100
2687.0,15.0,2.0,<100
585.0,12.0,4.0,<100
2255.0,24.0,4.0,no known savings
609.0,6.0,4.0,<100
1361.0,6.0,2.0,<100
7127.0,36.0,2.0,<100
1203.0,6.0,3.0,100<=X<500
700.0,6.0,4.0,no known savings
5507.0,24.0,3.0,<100
3190.0,18.0,2.0,<100
7119.0,48.0,3.0,<100
3488.0,24.0,3.0,100<=X<500
1113.0,18.0,4.0,<100
7966.0,26.0,2.0,<100
1532.0,15.0,4.0,100<=X<500
1503.0,4.0,2.0,<100
2302.0,36.0,4.0,<100
662.0,6.0,3.0,<100
2273.0,36.0,3.0,<100
2631.0,15.0,2.0,100<=X<500
1503.0,12.0,4.0,<100
1311.0,24.0,4.0,100<=X<500
3105.0,24.0,4.0,no known savings
2319.0,21.0,2.0,<100
1374.0,6.0,4.0,no known savings
3612.0,18.0,3.0,<100
7763.0,48.0,4.0,<100
3049.0,18.0,1.0,<100
1534.0,12.0,1.0,<100
2032.0,24.0,4.0,<100
6350.0,30.0,4.0,no known savings
2864.0,18.0,2.0,<100
1255.0,12.0,4.0,<100
1333.0,24.0,4.0,<100
2022.0,24.0,4.0,<100
1552.0,24.0,3.0,<100
626.0,12.0,4.0,<100
8858.0,48.0,2.0,no known savings
996.0,12.0,4.0,no known savings
1750.0,6.0,2.0,500<=X<1000
6999.0,48.0,1.0,<100
1995.0,12.0,4.0,100<=X<500
1199.0,9.0,4.0,<100
1331.0,12.0,2.0,<100
2278.0,18.0,3.0,100<=X<500
5003.0,21.0,1.0,no known savings
3552.0,24.0,3.0,<100
1928.0,18.0,2.0,<100
2964.0,24.0,4.0,no known savings
1546.0,24.0,4.0,<100
683.0,6.0,2.0,<100
12389.0,36.0,1.0,no known savings
4712.0,24.0,4.0,no known savings
1553.0,24.0,3.0,100<=X<500
1372.0,12.0,2.0,<100
2578.0,24.0,2.0,>=1000
3979.0,48.0,4.0,no known savings
6758.0,48.0,3.0,<100
3234.0,24.0,4.0,<100
5954.0,30.0,3.0,<100
5433.0,24.0,2.0,no known savings
806.0,15.0,4.0,<100
1082.0,9.0,4.0,<100
2788.0,15.0,2.0,<100
2930.0,12.0,2.0,<100
1927.0,24.0,3.0,no known savings
2820.0,36.0,4.0,<100
937.0,24.0,4.0,<100
1056.0,18.0,3.0,<100
3124.0,12.0,1.0,<100
1388.0,9.0,4.0,<100
2384.0,36.0,4.0,<100
2133.0,12.0,4.0,no known savings
2039.0,18.0,1.0,<100
2799.0,9.0,2.0,<100
1289.0,12.0,4.0,<100
1217.0,18.0,4.0,<100
2246.0,12.0,3.0,<100
385.0,12.0,4.0,<100
1965.0,24.0,4.0,no known savings
1572.0,21.0,4.0,>=1000
2718.0,24.0,3.0,<100
1358.0,24.0,4.0,no known savings
931.0,6.0,1.0,100<=X<500
1442.0,24.0,4.0,<100
4241.0,24.0,1.0,<100
2775.0,18.0,2.0,<100
3863.0,24.0,1.0,<100
2329.0,7.0,1.0,<100
918.0,9.0,4.0,<100
1837.0,24.0,4.0,<100
3349.0,36.0,4.0,<100
1275.0,10.0,4.0,<100
2828.0,24.0,4.0,500<=X<1000
4526.0,24.0,3.0,<100
2671.0,36.0,4.0,100<=X<500
2051.0,18.0,4.0,<100
1300.0,15.0,4.0,no known savings
741.0,12.0,4.0,100<=X<500
1240.0,10.0,1.0,100<=X<500
3357.0,21.0,4.0,>=1000
3632.0,24.0,1.0,<100
1808.0,18.0,4.0,<100
12204.0,48.0,2.0,no known savings
9157.0,60.0,2.0,no known savings
3676.0,6.0,1.0,<100
3441.0,30.0,2.0,100<=X<500
640.0,12.0,4.0,<100
3652.0,21.0,2.0,<100
1530.0,18.0,3.0,<100
3914.0,48.0,4.0,no known savings
1858.0,12.0,4.0,<100
2600.0,18.0,4.0,<100
1979.0,15.0,4.0,no known savings
2116.0,6.0,2.0,<100
1437.0,9.0,2.0,100<=X<500
4042.0,42.0,4.0,500<=X<1000
3832.0,9.0,1.0,no known savings
3660.0,24.0,2.0,<100
1553.0,18.0,4.0,<100
1444.0,15.0,4.0,no known savings
1980.0,9.0,2.0,<100
1355.0,24.0,3.0,<100
1393.0,12.0,4.0,<100
1376.0,24.0,4.0,500<=X<1000
15653.0,60.0,2.0,<100
1493.0,12.0,4.0,<100
4370.0,42.0,3.0,<100
750.0,18.0,4.0,<100
1308.0,15.0,4.0,<100
4623.0,15.0,3.0,100<=X<500
1851.0,24.0,4.0,<100
1880.0,18.0,4.0,<100
7980.0,36.0,4.0,no known savings
4583.0,30.0,2.0,<100
1386.0,12.0,2.0,500<=X<1000
947.0,24.0,4.0,<100
684.0,12.0,4.0,<100
7476.0,48.0,4.0,<100
1922.0,12.0,4.0,<100
2303.0,24.0,4.0,<100
8086.0,36.0,2.0,100<=X<500
2346.0,24.0,4.0,<100
3973.0,14.0,1.0,<100
888.0,12.0,4.0,<100
10222.0,48.0,4.0,no known savings
4221.0,30.0,2.0,<100
6361.0,18.0,2.0,<100
1297.0,12.0,3.0,<100
900.0,12.0,4.0,no known savings
2241.0,21.0,4.0,<100
1050.0,6.0,4.0,<100
1047.0,6.0,2.0,<100
6314.0,24.0,4.0,<100
3496.0,30.0,4.0,>=1000
3609.0,48.0,1.0,<100
4843.0,12.0,3.0,<100
3017.0,30.0,4.0,<100
4139.0,24.0,3.0,100<=X<500
5742.0,36.0,2.0,100<=X<500
10366.0,60.0,2.0,<100
2080.0,6.0,1.0,500<=X<1000
2580.0,21.0,4.0,500<=X<1000
4530.0,30.0,4.0,<100
5150.0,24.0,4.0,<100
5595.0,72.0,2.0,100<=X<500
2384.0,24.0,4.0,<100
1453.0,18.0,3.0,<100
1538.0,6.0,1.0,<100
2279.0,12.0,4.0,no known savings
1478.0,15.0,4.0,<100
5103.0,24.0,3.0,<100
9857.0,36.0,1.0,100<=X<500
6527.0,60.0,4.0,no known savings
1347.0,10.0,4.0,no known savings
2862.0,36.0,4.0,100<=X<500
2753.0,9.0,3.0,100<=X<500
3651.0,12.0,1.0,>=1000
975.0,15.0,2.0,<100
2631.0,15.0,3.0,100<=X<500
2896.0,24.0,2.0,100<=X<500
4716.0,6.0,1.0,no known savings
2284.0,24.0,4.0,<100
1236.0,6.0,2.0,500<=X<1000
1103.0,12.0,4.0,<100
926.0,12.0,1.0,<100
1800.0,18.0,4.0,<100
1905.0,15.0,4.0,<100
1123.0,12.0,4.0,500<=X<1000
6331.0,48.0,4.0,<100
1377.0,24.0,4.0,100<=X<500
2503.0,30.0,4.0,100<=X<500
2528.0,27.0,4.0,<100
5324.0,15.0,1.0,500<=X<1000
6560.0,48.0,3.0,100<=X<500
2969.0,12.0,4.0,<100
1206.0,9.0,4.0,<100
2118.0,9.0,2.0,<100
629.0,18.0,4.0,500<=X<1000
1198.0,6.0,4.0,<100
2476.0,21.0,4.0,no known savings
1138.0,9.0,4.0,<100
14027.0,60.0,4.0,<100
7596.0,30.0,1.0,no known savings
3077.0,30.0,3.0,no known savings
1505.0,18.0,4.0,<100
3148.0,24.0,3.0,no known savings
6148.0,20.0,3.0,100<=X<500
1337.0,9.0,4.0,<100
433.0,6.0,4.0,>=1000
1228.0,12.0,4.0,<100
790.0,9.0,4.0,500<=X<1000
2570.0,27.0,3.0,<100
250.0,6.0,2.0,>=1000
1316.0,15.0,2.0,500<=X<1000
1882.0,18.0,4.0,<100
6416.0,48.0,4.0,<100
1275.0,24.0,2.0,>=1000
6403.0,24.0,1.0,<100
1987.0,24.0,2.0,<100
760.0,8.0,4.0,<100
2603.0,24.0,2.0,>=1000
3380.0,4.0,1.0,<100
3990.0,36.0,3.0,no known savings
11560.0,24.0,1.0,<100
4380.0,18.0,3.0,100<=X<500
6761.0,6.0,1.0,<100
4280.0,30.0,4.0,100<=X<500
2325.0,24.0,2.0,100<=X<500
1048.0,10.0,4.0,<100
3160.0,21.0,4.0,no known savings
2483.0,24.0,4.0,500<=X<1000
14179.0,39.0,4.0,no known savings
1797.0,13.0,3.0,<100
2511.0,15.0,1.0,<100
1274.0,12.0,3.0,<100
5248.0,21.0,1.0,no known savings
3029.0,15.0,2.0,<100
428.0,6.0,2.0,<100
976.0,18.0,1.0,<100
841.0,12.0,2.0,100<=X<500
5771.0,30.0,4.0,<100
1555.0,12.0,4.0,>=1000
1285.0,24.0,4.0,no known savings
1299.0,6.0,1.0,<100
1271.0,15.0,3.0,no known savings
1393.0,24.0,2.0,<100
691.0,12.0,4.0,<100
5045.0,15.0,1.0,no known savings
2124.0,18.0,4.0,<100
2214.0,12.0,4.0,<100
12680.0,21.0,4.0,no known savings
2463.0,24.0,4.0,100<=X<500
1155.0,12.0,3.0,<100
3108.0,30.0,2.0,<100
2901.0,10.0,1.0,no known savings
3617.0,12.0,1.0,<100
1655.0,12.0,2.0,<100
2812.0,24.0,2.0,no known savings
8065.0,36.0,3.0,<100
3275.0,21.0,1.0,<100
2223.0,24.0,4.0,100<=X<500
1480.0,12.0,2.0,500<=X<1000
1371.0,24.0,4.0,no known savings
3535.0,36.0,4.0,<100
3509.0,18.0,4.0,<100
5711.0,36.0,4.0,>=1000
3872.0,18.0,2.0,<100
4933.0,39.0,2.0,<100
1940.0,24.0,4.0,>=1000
1410.0,12.0,2.0,<100
836.0,12.0,4.0,100<=X<500
6468.0,20.0,1.0,no known savings
1941.0,18.0,4.0,>=1000
2675.0,22.0,3.0,500<=X<1000
2751.0,48.0,4.0,no known savings
6224.0,48.0,4.0,<100
5998.0,40.0,4.0,<100
1188.0,21.0,2.0,<100
6313.0,24.0,3.0,no known savings
1221.0,6.0,1.0,no known savings
2892.0,24.0,3.0,<100
3062.0,24.0,4.0,500<=X<1000
2301.0,9.0,2.0,100<=X<500
7511.0,18.0,1.0,no known savings
1258.0,12.0,2.0,<100
717.0,24.0,4.0,no known savings
1549.0,9.0,4.0,no known savings
1597.0,24.0,4.0,<100
1795.0,18.0,3.0,<100
4272.0,20.0,1.0,<100
976.0,12.0,4.0,no known savings
7472.0,12.0,1.0,no known savings
9271.0,36.0,2.0,<100
590.0,6.0,3.0,<100
930.0,12.0,4.0,no known savings
9283.0,42.0,1.0,<100
1778.0,15.0,2.0,<100
907.0,8.0,3.0,<100
484.0,6.0,3.0,<100
9629.0,36.0,4.0,<100
3051.0,48.0,3.0,<100
3931.0,48.0,4.0,<100
7432.0,36.0,2.0,<100
