age,credit_amount,other_payment_plans,personal_status
24.0,932.0,none,female div/dep/mar
35.0,1919.0,none,male single
26.0,2445.0,none,male mar/wid
39.0,11938.0,none,male single
39.0,6458.0,bank,male single
32.0,6078.0,none,male single
30.0,7721.0,none,female div/dep/mar
35.0,1410.0,none,male mar/wid
31.0,1449.0,bank,male div/sep
23.0,392.0,none,female div/dep/mar
28.0,6260.0,none,male single
25.0,7855.0,stores,female div/dep/mar
35.0,1680.0,none,male mar/wid
47.0,3578.0,none,male single
30.0,7174.0,none,female div/dep/mar
27.0,2132.0,none,female div/dep/mar
23.0,4281.0,none,female div/dep/mar
36.0,2366.0,none,male div/sep
25.0,1835.0,none,female div/dep/mar
41.0,3868.0,none,female div/dep/mar
24.0,1768.0,none,male single
63.0,781.0,none,male single
27.0,1924.0,none,female div/dep/mar
30.0,2121.0,none,male single
40.0,701.0,none,male mar/wid
30.0,639.0,none,male single
34.0,1860.0,none,male single
29.0,3499.0,none,female div/dep/mar
24.0,8487.0,none,female div/dep/mar
29.0,6887.0,stores,male single
27.0,2708.0,bank,male single
47.0,1984.0,bank,male single
21.0,10144.0,none,female div/dep/mar
38.0,1240.0,none,female div/dep/mar
27.0,8613.0,none,male single
66.0,766.0,none,male single
35.0,2728.0,bank,male single
44.0,1881.0,none,female div/dep/mar
27.0,709.0,none,male mar/wid
30.0,4795.0,none,female div/dep/mar
27.0,3416.0,none,male single
22.0,2462.0,none,male single
23.0,2288.0,none,female div/dep/mar
30.0,3566.0,none,male single
39.0,860.0,none,female div/dep/mar
51.0,682.0,none,female div/dep/mar
28.0,5371.0,none,male single
46.0,1582.0,none,male single
42.0,1346.0,bank,male single
38.0,1924.0,none,male single
24.0,5848.0,none,male single
29.0,7758.0,none,female div/dep/mar
36.0,6967.0,none,male single
20.0,1282.0,none,female div/dep/mar
48.0,1288.0,none,male single
45.0,339.0,bank,male mar/wid
38.0,3512.0,bank,male single
34.0,1898.0,none,male single
36.0,2872.0,none,male single
30.0,1055.0,none,female div/dep/mar
36.0,1262.0,none,male single
70.0,7308.0,bank,male single
36.0,909.0,none,male single
32.0,2978.0,none,male single
33.0,1131.0,none,female div/dep/mar
20.0,1577.0,none,female div/dep/mar
25.0,3972.0,none,female div/dep/mar
31.0,1935.0,none,male div/sep
33.0,950.0,none,male single
26.0,763.0,none,female div/dep/mar
34.0,2064.0,none,female div/dep/mar
33.0,1414.0,none,male single
26.0,3414.0,none,male single
53.0,7485.0,bank,female div/dep/mar
42.0,2577.0,none,male div/sep
52.0,338.0,none,male single
31.0,1963.0,none,male single
65.0,571.0,none,male single
28.0,9572.0,none,male div/sep
30.0,4455.0,stores,male div/sep
40.0,1647.0,none,male single
50.0,3777.0,none,male single
36.0,884.0,bank,male single
31.0,1360.0,none,male single
74.0,5129.0,bank,female div/dep/mar
68.0,1175.0,none,male single
20.0,674.0,none,male mar/wid
33.0,3244.0,bank,female div/dep/mar
54.0,4591.0,none,male single
34.0,3844.0,none,male single
36.0,3915.0,none,male single
29.0,2108.0,none,male mar/wid
21.0,3031.0,none,male single
34.0,1501.0,none,female div/dep/mar
28.0,1382.0,none,female div/dep/mar
27.0,951.0,bank,female div/dep/mar
36.0,2760.0,bank,male single
40.0,4297.0,none,male div/sep
52.0,936.0,none,male single
27.0,1168.0,none,male mar/wid
26.0,5117.0,none,male single
21.0,902.0,none,male mar/wid
38.0,1495.0,none,male single
38.0,10623.0,none,male single
43.0,1935.0,none,male single
26.0,1424.0,none,male single
21.0,6568.0,stores,male mar/wid
55.0,1413.0,none,male single
33.0,3074.0,none,male single
45.0,3835.0,none,female div/dep/mar
50.0,5293.0,stores,male single
66.0,1908.0,none,male single
51.0,3342.0,none,male single
39.0,932.0,none,female div/dep/mar
31.0,3104.0,bank,male single
23.0,3913.0,none,male single
24.0,3021.0,none,male div/sep
64.0,1364.0,none,female div/dep/mar
26.0,625.0,bank,male mar/wid
23.0,1200.0,bank,female div/dep/mar
30.0,707.0,bank,male single
32.0,2978.0,none,male single
30.0,4657.0,none,male single
27.0,2613.0,none,male single
27.0,10961.0,bank,male single
53.0,7865.0,none,male single
22.0,1478.0,none,male single
22.0,3149.0,bank,male single
26.0,4210.0,none,male single
51.0,2507.0,none,male single
35.0,2141.0,none,male single
25.0,866.0,none,male mar/wid
42.0,1544.0,none,male single
30.0,1823.0,stores,male single
23.0,14555.0,none,male single
61.0,2767.0,bank,male div/sep
35.0,1291.0,none,female div/dep/mar
39.0,2522.0,none,male single
29.0,915.0,bank,female div/dep/mar
51.0,1595.0,none,male single
24.0,4605.0,none,male single
27.0,1185.0,none,female div/dep/mar
35.0,3447.0,none,female div/dep/mar
25.0,1258.0,none,male single
52.0,717.0,none,male single
35.0,1204.0,bank,male single
26.0,1925.0,none,male single
22.0,433.0,none,female div/dep/mar
39.0,666.0,none,female div/dep/mar
46.0,2251.0,none,female div/dep/mar
24.0,2150.0,bank,female div/dep/mar
35.0,4151.0,none,male single
24.0,2030.0,none,male single
27.0,7418.0,none,male single
35.0,2684.0,none,male single
29.0,2149.0,none,male div/sep
23.0,3812.0,none,female div/dep/mar
57.0,1154.0,none,female div/dep/mar
27.0,1657.0,none,male single
55.0,1603.0,none,female div/dep/mar
36.0,5302.0,none,male single
57.0,2748.0,bank,female div/dep/mar
32.0,1231.0,none,male single
37.0,802.0,none,male single
36.0,6304.0,none,male single
38.0,1533.0,stores,female div/dep/mar
45.0,8978.0,none,male div/sep
25.0,999.0,none,male single
32.0,2662.0,none,male single
37.0,1402.0,none,female div/dep/mar
36.0,12169.0,none,male single
28.0,3060.0,none,male single
34.0,11998.0,none,male div/sep
32.0,2697.0,none,male single
26.0,2404.0,none,female div/dep/mar
49.0,1262.0,none,male div/sep
32.0,4611.0,none,female div/dep/mar
29.0,1901.0,none,male single
23.0,3368.0,none,male single
50.0,1574.0,none,male single
49.0,1445.0,bank,male single
63.0,1520.0,none,male single
37.0,3878.0,none,male div/sep
35.0,10722.0,none,female div/dep/mar
26.0,4788.0,none,male single
31.0,7582.0,none,male single
49.0,1092.0,none,female div/dep/mar
48.0,1024.0,stores,male mar/wid
26.0,1076.0,none,male mar/wid
28.0,9398.0,none,male mar/wid
44.0,6419.0,none,female div/dep/mar
56.0,4796.0,none,male single
46.0,7629.0,bank,male div/sep
26.0,9960.0,none,female div/dep/mar
20.0,4675.0,none,female div/dep/mar
45.0,1287.0,none,male single
43.0,2515.0,none,male single
32.0,2745.0,none,male single
54.0,672.0,none,female div/dep/mar
42.0,3804.0,none,female div/dep/mar
37.0,1344.0,bank,male single
49.0,1038.0,none,male single
44.0,10127.0,bank,male single
33.0,1543.0,none,male div/sep
24.0,4811.0,stores,female div/dep/mar
33.0,727.0,none,male mar/wid
24.0,1237.0,none,female div/dep/mar
22.0,276.0,none,male mar/wid
40.0,5381.0,bank,male single
25.0,5511.0,stores,male single
26.0,3749.0,none,female div/dep/mar
25.0,685.0,bank,male mar/wid
29.0,1494.0,none,male single
31.0,2746.0,bank,male single
38.0,708.0,none,male single
48.0,4351.0,none,female div/dep/mar
32.0,701.0,none,male single
27.0,3643.0,none,female div/dep/mar
28.0,4249.0,none,male mar/wid
32.0,1938.0,none,male div/sep
34.0,2910.0,none,male single
28.0,2659.0,none,male single
36.0,1028.0,none,female div/dep/mar
39.0,3398.0,none,male single
49.0,5801.0,none,male single
34.0,1525.0,none,female div/dep/mar
31.0,4473.0,none,male single
28.0,1068.0,none,male single
75.0,6615.0,none,male single
30.0,1864.0,none,female div/dep/mar
24.0,7408.0,none,female div/dep/mar
24.0,11590.0,bank,female div/dep/mar
23.0,4110.0,bank,male single
44.0,3384.0,none,male div/sep
23.0,2101.0,none,female div/dep/mar
24.0,1275.0,none,female div/dep/mar
28.0,4169.0,none,male single
31.0,1521.0,none,male div/sep
24.0,5743.0,none,female div/dep/mar
26.0,3599.0,none,female div/dep/mar
25.0,3213.0,none,male mar/wid
33.0,4439.0,bank,male single
37.0,3949.0,none,male single
43.0,1459.0,none,female div/dep/mar
23.0,882.0,none,male single
23.0,3758.0,none,female div/dep/mar
34.0,1743.0,none,male single
32.0,1136.0,none,male single
23.0,1236.0,none,female div/dep/mar
29.0,959.0,none,female div/dep/mar
38.0,3229.0,none,male single
28.0,6199.0,none,male single
46.0,727.0,none,male single
23.0,1246.0,stores,male single
49.0,2331.0,none,male single
26.0,4463.0,none,male single
28.0,776.0,none,male mar/wid
23.0,2406.0,none,female div/dep/mar
61.0,1239.0,none,male single
37.0,3399.0,none,male single
36.0,2247.0,stores,female div/dep/mar
21.0,1766.0,none,male mar/wid
25.0,2473.0,none,male single
36.0,1542.0,none,male single
27.0,3850.0,none,male single
22.0,3650.0,none,female div/dep/mar
42.0,3446.0,none,male single
40.0,3001.0,none,female div/dep/mar
36.0,3079.0,none,male single
33.0,6070.0,none,male single
23.0,2146.0,none,female div/dep/mar
63.0,13756.0,bank,male single
60.0,14782.0,bank,female div/dep/mar
37.0,7685.0,none,female div/dep/mar
34.0,2320.0,none,male mar/wid
36.0,846.0,none,male single
57.0,14318.0,none,male single
52.0,362.0,none,female div/dep/mar
39.0,2212.0,none,male single
38.0,12976.0,none,female div/dep/mar
25.0,1283.0,none,female div/dep/mar
26.0,1330.0,none,male single
26.0,4272.0,none,male single
25.0,2238.0,none,female div/dep/mar
21.0,1126.0,none,female div/dep/mar
40.0,7374.0,stores,male single
27.0,2326.0,bank,male single
27.0,1449.0,none,female div/dep/mar
30.0,1820.0,none,male mar/wid
19.0,983.0,none,female div/dep/mar
39.0,3249.0,bank,male single
31.0,1957.0,none,female div/dep/mar
31.0,2406.0,none,male single
32.0,11760.0,none,male single
55.0,2578.0,none,female div/dep/mar
46.0,2348.0,none,male mar/wid
46.0,1223.0,none,male div/sep
43.0,1516.0,none,female div/dep/mar
39.0,1473.0,none,male mar/wid
28.0,1887.0,bank,male mar/wid
27.0,8648.0,bank,male single
27.0,802.0,none,male single
43.0,2899.0,none,male single
22.0,2039.0,none,male mar/wid
43.0,2197.0,none,male single
27.0,1053.0,none,male mar/wid
26.0,3235.0,none,male div/sep
28.0,939.0,none,male mar/wid
20.0,1967.0,none,female div/dep/mar
35.0,7253.0,none,male single
42.0,2292.0,stores,male single
40.0,1597.0,none,male single
35.0,1381.0,none,female div/dep/mar
35.0,5842.0,none,male single
33.0,2579.0,none,male single
23.0,8471.0,none,female div/dep/mar
31.0,2782.0,bank,female div/dep/mar
33.0,1042.0,none,female div/dep/mar
20.0,3186.0,none,female div/dep/mar
30.0,2028.0,none,male single
47.0,958.0,none,male single
34.0,1591.0,none,male single
25.0,2762.0,bank,female div/dep/mar
21.0,2779.0,none,male mar/wid
29.0,2743.0,none,male single
46.0,1149.0,none,male single
20.0,1313.0,none,male single
55.0,1190.0,none,female div/dep/mar
74.0,3448.0,none,male single
29.0,11328.0,bank,male single
36.0,1872.0,none,male single
33.0,2058.0,none,male div/sep
25.0,2136.0,none,male single
25.0,1484.0,none,male mar/wid
23.0,660.0,none,male mar/wid
37.0,1287.0,none,female div/dep/mar
65.0,3394.0,none,male single
26.0,609.0,none,female div/dep/mar
39.0,1884.0,none,male single
30.0,1620.0,none,female div/dep/mar
29.0,2629.0,bank,male single
41.0,719.0,bank,male single
30.0,5096.0,none,female div/dep/mar
41.0,1244.0,none,female div/dep/mar
34.0,1842.0,none,female div/dep/mar
35.0,2576.0,none,male single
55.0,1424.0,none,female div/dep/mar
61.0,1512.0,stores,male mar/wid
30.0,11054.0,none,male single
29.0,518.0,none,female div/dep/mar
34.0,2759.0,none,male single
35.0,2670.0,none,male single
31.0,4817.0,none,male single
29.0,2679.0,none,female div/dep/mar
36.0,3905.0,none,male single
35.0,3386.0,none,male single
27.0,343.0,none,female div/dep/mar
32.0,4594.0,none,male single
37.0,3620.0,none,male single
36.0,1721.0,none,male single
34.0,3017.0,none,female div/dep/mar
38.0,754.0,none,male single
34.0,1950.0,stores,male single
63.0,2924.0,bank,male single
29.0,1659.0,none,female div/dep/mar
32.0,7238.0,bank,male single
26.0,2764.0,none,female div/dep/mar
35.0,4679.0,none,male single
22.0,3092.0,none,male mar/wid
23.0,448.0,none,female div/dep/mar
28.0,654.0,none,male single
36.0,1238.0,none,male single
33.0,1245.0,none,male mar/wid
26.0,3114.0,none,female div/dep/mar
24.0,2569.0,none,male single
25.0,5152.0,bank,male single
39.0,1037.0,none,male single
44.0,1478.0,none,male single
23.0,3573.0,none,female div/dep/mar
26.0,1201.0,none,male single
57.0,3622.0,none,female div/dep/mar
30.0,960.0,none,female div/dep/mar
44.0,1163.0,none,male single
47.0,1209.0,none,male single
52.0,3077.0,none,male single
62.0,3757.0,none,female div/dep/mar
35.0,1418.0,none,male single
26.0,3518.0,none,male single
26.0,1934.0,none,male single
42.0,8318.0,none,female div/dep/mar
27.0,1237.0,none,female div/dep/mar
38.0,368.0,none,male single
39.0,2122.0,none,male single
20.0,2996.0,none,male mar/wid
29.0,9034.0,none,male single
40.0,1585.0,none,male single
32.0,1301.0,none,male mar/wid
28.0,1323.0,none,male div/sep
27.0,3123.0,none,female div/dep/mar
42.0,5493.0,none,male single
49.0,1126.0,none,male div/sep
38.0,1216.0,bank,male single
24.0,1207.0,none,female div/dep/mar
27.0,1309.0,none,male single
36.0,2360.0,none,male single
34.0,6850.0,none,male single
28.0,1413.0,none,male mar/wid
45.0,8588.0,none,male single
26.0,759.0,none,male single
32.0,4686.0,none,male single
26.0,2687.0,none,male single
20.0,585.0,none,male mar/wid
54.0,2255.0,none,male single
37.0,609.0,none,female div/dep/mar
40.0,1361.0,none,male single
23.0,7127.0,none,female div/dep/mar
43.0,1203.0,none,male single
36.0,700.0,none,male single
44.0,5507.0,none,male single
24.0,3190.0,none,female div/dep/mar
53.0,7119.0,none,male single
23.0,3488.0,none,female div/dep/mar
26.0,1113.0,none,female div/dep/mar
30.0,7966.0,none,male single
31.0,1532.0,none,female div/dep/mar
42.0,1503.0,none,male single
31.0,2302.0,none,male div/sep
41.0,662.0,none,male single
32.0,2273.0,none,male single
28.0,2631.0,none,female div/dep/mar
41.0,1503.0,none,male mar/wid
26.0,1311.0,none,male mar/wid
25.0,3105.0,none,male single
33.0,2319.0,none,male div/sep
75.0,1374.0,none,female div/dep/mar
37.0,3612.0,none,female div/dep/mar
42.0,7763.0,bank,male single
45.0,3049.0,stores,female div/dep/mar
23.0,1534.0,none,male mar/wid
60.0,2032.0,none,male single
31.0,6350.0,none,male single
34.0,2864.0,none,male single
61.0,1255.0,none,male single
43.0,1333.0,none,male single
37.0,2022.0,none,female div/dep/mar
32.0,1552.0,bank,male single
24.0,626.0,bank,female div/dep/mar
35.0,8858.0,none,male single
23.0,996.0,none,female div/dep/mar
45.0,1750.0,bank,male single
34.0,6999.0,none,male mar/wid
27.0,1995.0,none,male single
67.0,1199.0,none,female div/dep/mar
22.0,1331.0,stores,male single
28.0,2278.0,none,female div/dep/mar
29.0,5003.0,bank,female div/dep/mar
27.0,3552.0,bank,male single
31.0,1928.0,none,male single
49.0,2964.0,bank,male single
24.0,1546.0,bank,male single
29.0,683.0,bank,female div/dep/mar
37.0,12389.0,none,male single
37.0,4712.0,bank,male single
23.0,1553.0,none,female div/dep/mar
36.0,1372.0,none,male div/sep
34.0,2578.0,none,male single
41.0,3979.0,none,male single
31.0,6758.0,none,female div/dep/mar
23.0,3234.0,none,female div/dep/mar
38.0,5954.0,none,male single
26.0,5433.0,none,female div/dep/mar
22.0,806.0,none,female div/dep/mar
27.0,1082.0,none,male single
24.0,2788.0,bank,female div/dep/mar
27.0,2930.0,none,female div/dep/mar
33.0,1927.0,none,female div/dep/mar
27.0,2820.0,none,male div/sep
27.0,937.0,none,male mar/wid
30.0,1056.0,bank,male single
49.0,3124.0,bank,male single
26.0,1388.0,none,female div/dep/mar
33.0,2384.0,none,male single
52.0,2133.0,none,female div/dep/mar
20.0,2039.0,bank,female div/dep/mar
36.0,2799.0,none,male single
21.0,1289.0,none,male single
47.0,1217.0,none,male mar/wid
60.0,2246.0,none,male single
58.0,385.0,none,female div/dep/mar
42.0,1965.0,none,female div/dep/mar
36.0,1572.0,bank,female div/dep/mar
20.0,2718.0,none,female div/dep/mar
40.0,1358.0,stores,male single
32.0,931.0,stores,female div/dep/mar
23.0,1442.0,none,female div/dep/mar
36.0,4241.0,none,male single
31.0,2775.0,bank,male single
32.0,3863.0,none,male single
45.0,2329.0,none,female div/dep/mar
30.0,918.0,none,female div/dep/mar
34.0,1837.0,bank,female div/dep/mar
28.0,3349.0,none,female div/dep/mar
23.0,1275.0,none,female div/dep/mar
22.0,2828.0,stores,male single
74.0,4526.0,none,male single
50.0,2671.0,none,female div/dep/mar
33.0,2051.0,none,male single
45.0,1300.0,bank,male single
22.0,741.0,none,female div/dep/mar
48.0,1240.0,none,female div/dep/mar
29.0,3357.0,bank,female div/dep/mar
22.0,3632.0,bank,female div/dep/mar
22.0,1808.0,none,female div/dep/mar
48.0,12204.0,bank,male single
27.0,9157.0,none,male single
37.0,3676.0,none,male single
21.0,3441.0,none,female div/dep/mar
49.0,640.0,none,male div/sep
27.0,3652.0,none,male single
32.0,1530.0,bank,male single
38.0,3914.0,bank,male div/sep
22.0,1858.0,none,female div/dep/mar
65.0,2600.0,none,male single
35.0,1979.0,none,male single
41.0,2116.0,none,male single
29.0,1437.0,none,male single
36.0,4042.0,none,male single
64.0,3832.0,none,male single
28.0,3660.0,none,female div/dep/mar
44.0,1553.0,bank,male single
23.0,1444.0,none,male single
19.0,1980.0,none,female div/dep/mar
25.0,1355.0,none,female div/dep/mar
47.0,1393.0,bank,male single
28.0,1376.0,none,female div/dep/mar
21.0,15653.0,none,male single
34.0,1493.0,none,female div/dep/mar
26.0,4370.0,bank,male single
27.0,750.0,none,female div/dep/mar
38.0,1308.0,none,male single
40.0,4623.0,none,male single
33.0,1851.0,none,male mar/wid
32.0,1880.0,none,male mar/wid
27.0,7980.0,none,male single
32.0,4583.0,none,male div/sep
26.0,1386.0,none,female div/dep/mar
38.0,947.0,bank,male single
40.0,684.0,none,male single
50.0,7476.0,none,male single
37.0,1922.0,none,male single
45.0,2303.0,none,male single
42.0,8086.0,none,male single
35.0,2346.0,none,male single
22.0,3973.0,none,male single
41.0,888.0,bank,male single
37.0,10222.0,stores,male single
28.0,4221.0,none,female div/dep/mar
41.0,6361.0,none,male single
23.0,1297.0,none,male mar/wid
23.0,900.0,none,male mar/wid
50.0,2241.0,none,male single
35.0,1050.0,stores,male single
50.0,1047.0,none,female div/dep/mar
27.0,6314.0,bank,male single
34.0,3496.0,stores,male single
27.0,3609.0,stores,female div/dep/mar
43.0,4843.0,none,male single
47.0,3017.0,none,male single
27.0,4139.0,none,male single
31.0,5742.0,none,male single
42.0,10366.0,none,male single
24.0,2080.0,none,male mar/wid
41.0,2580.0,bank,male single
26.0,4530.0,none,female div/dep/mar
33.0,5150.0,none,male single
24.0,5595.0,none,male mar/wid
64.0,2384.0,bank,male single
26.0,1453.0,none,female div/dep/mar
56.0,1538.0,none,female div/dep/mar
37.0,2279.0,none,male single
33.0,1478.0,bank,male mar/wid
47.0,5103.0,none,male mar/wid
31.0,9857.0,none,male single
34.0,6527.0,none,male single
27.0,1347.0,none,male single
30.0,2862.0,none,male single
35.0,2753.0,none,male single
31.0,3651.0,none,male single
25.0,975.0,none,male div/sep
25.0,2631.0,none,female div/dep/mar
29.0,2896.0,none,male single
44.0,4716.0,none,male single
28.0,2284.0,none,male single
50.0,1236.0,none,male single
29.0,1103.0,none,male single
38.0,926.0,none,female div/dep/mar
24.0,1800.0,none,male single
40.0,1905.0,none,male single
29.0,1123.0,none,female div/dep/mar
46.0,6331.0,none,male single
47.0,1377.0,none,female div/dep/mar
41.0,2503.0,stores,male single
32.0,2528.0,none,female div/dep/mar
35.0,5324.0,none,female div/dep/mar
24.0,6560.0,none,male single
25.0,2969.0,none,female div/dep/mar
25.0,1206.0,none,female div/dep/mar
37.0,2118.0,none,male single
32.0,629.0,bank,male single
35.0,1198.0,none,female div/dep/mar
46.0,2476.0,none,male single
25.0,1138.0,none,male single
27.0,14027.0,none,male single
63.0,7596.0,none,male single
40.0,3077.0,none,male single
32.0,1505.0,none,male single
31.0,3148.0,none,male single
31.0,6148.0,bank,male mar/wid
34.0,1337.0,none,male single
24.0,433.0,bank,female div/dep/mar
24.0,1228.0,none,female div/dep/mar
66.0,790.0,none,female div/dep/mar
21.0,2570.0,none,female div/dep/mar
41.0,250.0,bank,female div/dep/mar
47.0,1316.0,none,male mar/wid
25.0,1882.0,bank,female div/dep/mar
59.0,6416.0,none,female div/dep/mar
36.0,1275.0,none,male div/sep
33.0,6403.0,none,male single
21.0,1987.0,none,male single
44.0,760.0,none,female div/dep/mar
28.0,2603.0,none,female div/dep/mar
37.0,3380.0,none,female div/dep/mar
29.0,3990.0,bank,female div/dep/mar
23.0,11560.0,none,female div/dep/mar
35.0,4380.0,none,male single
45.0,6761.0,none,male single
26.0,4280.0,none,female div/dep/mar
32.0,2325.0,bank,male single
23.0,1048.0,stores,male single
41.0,3160.0,none,male single
22.0,2483.0,stores,male single
30.0,14179.0,none,male single
28.0,1797.0,bank,male single
23.0,2511.0,none,female div/dep/mar
37.0,1274.0,none,female div/dep/mar
26.0,5248.0,none,male single
33.0,3029.0,none,male single
49.0,428.0,bank,female div/dep/mar
23.0,976.0,none,female div/dep/mar
23.0,841.0,none,female div/dep/mar
25.0,5771.0,none,female div/dep/mar
55.0,1555.0,none,male single
32.0,1285.0,none,female div/dep/mar
74.0,1299.0,none,male single
39.0,1271.0,none,male single
31.0,1393.0,none,male single
35.0,691.0,none,male single
59.0,5045.0,none,female div/dep/mar
24.0,2124.0,none,female div/dep/mar
24.0,2214.0,none,male single
30.0,12680.0,none,male single
27.0,2463.0,none,male mar/wid
40.0,1155.0,bank,male mar/wid
31.0,3108.0,none,male div/sep
31.0,2901.0,none,female div/dep/mar
28.0,3617.0,none,male single
63.0,1655.0,none,male single
26.0,2812.0,none,female div/dep/mar
25.0,8065.0,none,female div/dep/mar
36.0,3275.0,none,male single
52.0,2223.0,bank,male single
66.0,1480.0,bank,male single
25.0,1371.0,none,female div/dep/mar
37.0,3535.0,none,male single
25.0,3509.0,none,female div/dep/mar
38.0,5711.0,none,male single
67.0,3872.0,none,female div/dep/mar
25.0,4933.0,none,male single
60.0,1940.0,none,male single
31.0,1410.0,none,male single
23.0,836.0,bank,female div/dep/mar
60.0,6468.0,none,male div/sep
35.0,1941.0,none,male single
40.0,2675.0,none,male single
38.0,2751.0,none,male single
50.0,6224.0,none,male single
27.0,5998.0,bank,male single
39.0,1188.0,none,female div/dep/mar
41.0,6313.0,none,male single
27.0,1221.0,none,male mar/wid
51.0,2892.0,none,male div/sep
32.0,3062.0,none,male single
22.0,2301.0,none,female div/dep/mar
51.0,7511.0,none,male single
22.0,1258.0,none,female div/dep/mar
54.0,717.0,none,male mar/wid
35.0,1549.0,none,male single
54.0,1597.0,none,male single
48.0,1795.0,bank,female div/dep/mar
24.0,4272.0,none,female div/dep/mar
35.0,976.0,none,male single
24.0,7472.0,none,female div/dep/mar
24.0,9271.0,none,male single
26.0,590.0,none,male mar/wid
65.0,930.0,none,male single
55.0,9283.0,bank,male single
26.0,1778.0,none,female div/dep/mar
26.0,907.0,none,male mar/wid
28.0,484.0,bank,male mar/wid
24.0,9629.0,none,male single
54.0,3051.0,none,male single
46.0,3931.0,none,male single
54.0,7432.0,none,female div/dep/mar
62.0,1338.0,none,male div/sep
24.0,1554.0,none,female div/dep/mar
43.0,15857.0,none,male div/sep
26.0,1345.0,bank,male mar/wid
27.0,1101.0,none,male mar/wid
24.0,3016.0,none,male mar/wid
41.0,2712.0,bank,male single
47.0,731.0,none,male single
35.0,3780.0,none,male div/sep
30.0,1602.0,none,male mar/wid
33.0,3966.0,bank,female div/dep/mar
36.0,4165.0,stores,male single
47.0,8335.0,none,male single
38.0,6681.0,none,male single
44.0,2375.0,none,male single
23.0,1216.0,none,female div/dep/mar
29.0,11816.0,none,male single
42.0,5084.0,none,female div/dep/mar
25.0,2327.0,none,female div/dep/mar
48.0,1082.0,bank,male single
21.0,886.0,none,female div/dep/mar
23.0,601.0,none,female div/dep/mar
63.0,2957.0,none,male single
46.0,2611.0,none,male mar/wid
29.0,5179.0,none,male single
28.0,2993.0,stores,male single
23.0,1943.0,none,female div/dep/mar
50.0,1559.0,bank,male single
47.0,3422.0,bank,male single
35.0,3976.0,none,male single
68.0,6761.0,none,male single
