credit/table1.age,credit/table1.checking_status,credit/table1.duration,credit/table1.installment_commitment,credit/table1.property_magnitude,credit/table1.purpose,credit/table1.residence_since,credit_amount
27.0,0<=X<200,12.0,2.0,real estate,radio/tv,1.0,2930.0
23.0,<0,12.0,4.0,car,radio/tv,1.0,1498.0
34.0,no checking,24.0,2.0,car,radio/tv,2.0,2578.0
40.0,<0,24.0,4.0,car,other,3.0,1358.0
32.0,0<=X<200,36.0,3.0,car,education,1.0,2273.0
49.0,0<=X<200,12.0,1.0,real estate,new car,3.0,3124.0
25.0,0<=X<200,12.0,4.0,life insurance,furniture/equipment,3.0,2969.0
55.0,>=200,12.0,3.0,real estate,furniture/equipment,4.0,1424.0
35.0,no checking,24.0,4.0,car,used car,4.0,2670.0
22.0,no checking,9.0,4.0,car,radio/tv,2.0,1478.0
38.0,no checking,18.0,2.0,no known property,used car,4.0,3229.0
59.0,0<=X<200,48.0,4.0,no known property,business,3.0,6416.0
50.0,<0,27.0,2.0,life insurance,business,4.0,5293.0
22.0,0<=X<200,30.0,2.0,life insurance,furniture/equipment,1.0,3832.0
28.0,<0,36.0,3.0,life insurance,furniture/equipment,2.0,5371.0
37.0,>=200,24.0,4.0,real estate,new car,2.0,1344.0
36.0,no checking,42.0,4.0,real estate,furniture/equipment,4.0,4042.0
25.0,<0,18.0,4.0,real estate,radio/tv,1.0,3509.0
36.0,>=200,15.0,2.0,car,used car,2.0,2360.0
25.0,0<=X<200,18.0,1.0,real estate,radio/tv,3.0,3213.0
47.0,0<=X<200,6.0,4.0,life insurance,new car,4.0,1209.0
35.0,<0,6.0,4.0,no known property,education,4.0,1198.0
47.0,no checking,18.0,4.0,no known property,furniture/equipment,4.0,1984.0
41.0,0<=X<200,30.0,4.0,life insurance,business,2.0,2503.0
25.0,no checking,24.0,4.0,car,furniture/equipment,1.0,5511.0
24.0,<0,12.0,4.0,real estate,new car,2.0,1228.0
64.0,no checking,9.0,1.0,real estate,education,4.0,3832.0
67.0,<0,6.0,4.0,real estate,radio/tv,4.0,1169.0
38.0,<0,12.0,2.0,life insurance,furniture/equipment,3.0,708.0
24.0,0<=X<200,48.0,3.0,life insurance,new car,2.0,6560.0
32.0,no checking,24.0,3.0,car,radio/tv,1.0,1552.0
26.0,<0,24.0,4.0,real estate,business,1.0,1382.0
41.0,no checking,12.0,4.0,real estate,used car,4.0,1503.0
25.0,>=200,24.0,4.0,car,radio/tv,2.0,5152.0
43.0,0<=X<200,18.0,4.0,car,new car,4.0,2899.0
34.0,0<=X<200,24.0,3.0,life insurance,furniture/equipment,2.0,2064.0
30.0,<0,12.0,4.0,life insurance,new car,2.0,2121.0
31.0,no checking,9.0,2.0,car,furniture/equipment,3.0,2406.0
20.0,no checking,15.0,2.0,car,new car,3.0,3186.0
34.0,<0,48.0,1.0,real estate,radio/tv,1.0,6999.0
40.0,no checking,15.0,4.0,real estate,radio/tv,2.0,1386.0
56.0,no checking,12.0,4.0,real estate,radio/tv,4.0,618.0
46.0,no checking,24.0,2.0,life insurance,used car,4.0,6842.0
30.0,0<=X<200,36.0,2.0,real estate,business,2.0,4455.0
34.0,<0,30.0,1.0,no known property,repairs,1.0,11998.0
31.0,no checking,36.0,3.0,car,used car,2.0,8947.0
25.0,no checking,36.0,4.0,car,radio/tv,4.0,2394.0
28.0,0<=X<200,36.0,1.0,car,used car,4.0,9398.0
29.0,<0,36.0,4.0,life insurance,education,3.0,6887.0
54.0,no checking,6.0,1.0,real estate,new car,4.0,672.0
25.0,0<=X<200,12.0,1.0,life insurance,furniture/equipment,2.0,2762.0
49.0,no checking,12.0,2.0,life insurance,furniture/equipment,4.0,5801.0
23.0,no checking,21.0,4.0,life insurance,furniture/equipment,4.0,2288.0
34.0,no checking,21.0,4.0,real estate,furniture/equipment,3.0,1591.0
30.0,0<=X<200,18.0,3.0,real estate,new car,3.0,1056.0
38.0,no checking,12.0,4.0,real estate,radio/tv,2.0,1240.0
30.0,no checking,36.0,4.0,car,used car,2.0,11054.0
36.0,no checking,36.0,4.0,life insurance,new car,4.0,909.0
34.0,0<=X<200,7.0,3.0,real estate,radio/tv,2.0,2415.0
52.0,no checking,24.0,4.0,life insurance,radio/tv,4.0,2223.0
29.0,no checking,6.0,2.0,real estate,radio/tv,2.0,2108.0
27.0,0<=X<200,15.0,2.0,car,business,4.0,2326.0
35.0,no checking,15.0,4.0,no known property,radio/tv,4.0,1471.0
31.0,0<=X<200,24.0,4.0,real estate,business,4.0,1935.0
35.0,no checking,15.0,1.0,no known property,new car,4.0,5324.0
27.0,>=200,6.0,2.0,real estate,new car,2.0,709.0
33.0,0<=X<200,8.0,4.0,real estate,radio/tv,2.0,1414.0
53.0,no checking,24.0,3.0,life insurance,furniture/equipment,4.0,2835.0
28.0,<0,13.0,3.0,life insurance,business,1.0,1797.0
39.0,0<=X<200,12.0,3.0,real estate,business,4.0,1037.0
41.0,0<=X<200,42.0,2.0,real estate,business,1.0,5954.0
34.0,no checking,36.0,4.0,real estate,radio/tv,4.0,4454.0
54.0,<0,48.0,3.0,car,domestic appliance,4.0,3051.0
35.0,no checking,12.0,4.0,life insurance,radio/tv,2.0,1291.0
30.0,0<=X<200,48.0,4.0,car,business,2.0,3566.0
27.0,no checking,6.0,1.0,life insurance,furniture/equipment,2.0,1221.0
42.0,no checking,4.0,2.0,real estate,radio/tv,1.0,1544.0
26.0,0<=X<200,12.0,4.0,real estate,radio/tv,1.0,625.0
30.0,0<=X<200,12.0,3.0,life insurance,new car,4.0,2002.0
27.0,<0,24.0,4.0,life insurance,new car,1.0,3123.0
27.0,no checking,15.0,2.0,life insurance,furniture/equipment,3.0,2708.0
37.0,no checking,12.0,2.0,life insurance,education,1.0,3565.0
66.0,>=200,12.0,2.0,no known property,new car,4.0,1480.0
31.0,no checking,15.0,4.0,life insurance,radio/tv,2.0,1360.0
26.0,0<=X<200,12.0,3.0,car,radio/tv,1.0,1158.0
29.0,0<=X<200,12.0,4.0,real estate,radio/tv,3.0,1103.0
30.0,<0,24.0,1.0,life insurance,furniture/equipment,2.0,7721.0
47.0,<0,18.0,4.0,real estate,domestic appliance,3.0,1217.0
52.0,0<=X<200,12.0,2.0,no known property,radio/tv,1.0,6468.0
22.0,0<=X<200,24.0,1.0,life insurance,radio/tv,1.0,2039.0
29.0,0<=X<200,20.0,2.0,car,other,3.0,2629.0
39.0,>=200,15.0,3.0,no known property,radio/tv,4.0,1271.0
38.0,no checking,12.0,4.0,car,radio/tv,4.0,804.0
26.0,no checking,10.0,2.0,car,furniture/equipment,1.0,2069.0
32.0,no checking,48.0,3.0,car,radio/tv,3.0,7238.0
45.0,>=200,18.0,1.0,life insurance,furniture/equipment,1.0,3049.0
28.0,0<=X<200,15.0,2.0,car,new car,4.0,2631.0
21.0,0<=X<200,30.0,2.0,car,furniture/equipment,4.0,3441.0
28.0,no checking,24.0,4.0,car,radio/tv,2.0,2284.0
21.0,<0,18.0,4.0,life insurance,furniture/equipment,4.0,1049.0
28.0,<0,24.0,4.0,life insurance,furniture/equipment,4.0,4169.0
30.0,0<=X<200,27.0,1.0,car,used car,2.0,5965.0
34.0,0<=X<200,15.0,1.0,life insurance,new car,2.0,6850.0
40.0,<0,6.0,2.0,real estate,new car,4.0,1361.0
28.0,no checking,18.0,4.0,no known property,furniture/equipment,2.0,1817.0
60.0,no checking,24.0,4.0,real estate,new car,4.0,1940.0
32.0,no checking,10.0,3.0,real estate,new car,4.0,1231.0
24.0,no checking,6.0,1.0,car,radio/tv,2.0,1554.0
32.0,no checking,18.0,4.0,life insurance,radio/tv,3.0,629.0
33.0,no checking,15.0,4.0,real estate,radio/tv,3.0,1478.0
29.0,<0,45.0,2.0,car,business,4.0,11816.0
43.0,<0,6.0,3.0,life insurance,new car,2.0,1203.0
35.0,0<=X<200,7.0,2.0,real estate,radio/tv,2.0,2576.0
44.0,0<=X<200,24.0,4.0,no known property,used car,2.0,12579.0
63.0,no checking,30.0,1.0,car,used car,4.0,7596.0
30.0,no checking,15.0,3.0,life insurance,furniture/equipment,2.0,960.0
41.0,0<=X<200,48.0,4.0,car,radio/tv,1.0,3979.0
33.0,no checking,24.0,4.0,real estate,repairs,2.0,2058.0
22.0,<0,18.0,1.0,car,furniture/equipment,4.0,3650.0
58.0,<0,24.0,4.0,real estate,other,4.0,1755.0
50.0,0<=X<200,15.0,4.0,real estate,radio/tv,4.0,1537.0
34.0,no checking,12.0,4.0,car,radio/tv,3.0,1493.0
36.0,0<=X<200,48.0,4.0,no known property,new car,4.0,12169.0
35.0,<0,47.0,1.0,real estate,new car,1.0,10722.0
61.0,0<=X<200,18.0,4.0,no known property,education,4.0,1239.0
46.0,no checking,10.0,4.0,no known property,education,4.0,727.0
36.0,<0,11.0,2.0,real estate,new car,2.0,3905.0
32.0,no checking,6.0,1.0,life insurance,furniture/equipment,4.0,4611.0
22.0,0<=X<200,12.0,1.0,car,radio/tv,1.0,1567.0
40.0,<0,21.0,4.0,life insurance,new car,2.0,1647.0
42.0,<0,36.0,4.0,car,furniture/equipment,2.0,3446.0
48.0,no checking,24.0,2.0,no known property,used car,4.0,9277.0
48.0,0<=X<200,48.0,2.0,car,business,2.0,12204.0
32.0,no checking,24.0,4.0,real estate,business,4.0,2978.0
26.0,no checking,24.0,2.0,life insurance,used car,4.0,5433.0
22.0,0<=X<200,15.0,4.0,real estate,repairs,2.0,1514.0
42.0,0<=X<200,36.0,2.0,car,new car,4.0,8086.0
43.0,<0,24.0,4.0,real estate,new car,2.0,1333.0
26.0,no checking,9.0,4.0,real estate,furniture/equipment,2.0,1388.0
19.0,no checking,9.0,2.0,car,furniture/equipment,2.0,1980.0
42.0,<0,12.0,2.0,car,furniture/equipment,1.0,2577.0
27.0,no checking,24.0,4.0,no known property,other,2.0,6314.0
24.0,no checking,6.0,1.0,car,new car,2.0,2080.0
20.0,<0,18.0,1.0,real estate,furniture/equipment,4.0,2039.0
24.0,no checking,15.0,4.0,real estate,domestic appliance,1.0,874.0
31.0,<0,6.0,1.0,car,radio/tv,4.0,1957.0
70.0,0<=X<200,10.0,2.0,no known property,new car,4.0,7308.0
26.0,>=200,24.0,2.0,real estate,furniture/equipment,2.0,1925.0
25.0,0<=X<200,24.0,3.0,car,new car,4.0,1355.0
53.0,<0,12.0,4.0,life insurance,education,4.0,795.0
47.0,>=200,30.0,4.0,life insurance,radio/tv,4.0,3017.0
37.0,<0,48.0,2.0,car,business,4.0,7685.0
42.0,no checking,12.0,4.0,car,business,2.0,2292.0
40.0,<0,36.0,4.0,no known property,education,4.0,1977.0
25.0,no checking,36.0,4.0,real estate,new car,2.0,7855.0
31.0,no checking,18.0,2.0,life insurance,new car,2.0,2775.0
47.0,0<=X<200,21.0,1.0,life insurance,new car,4.0,2353.0
30.0,no checking,18.0,2.0,life insurance,new car,2.0,1820.0
26.0,no checking,12.0,2.0,car,used car,4.0,2445.0
35.0,<0,12.0,3.0,real estate,radio/tv,1.0,1680.0
23.0,<0,18.0,1.0,car,education,2.0,8471.0
30.0,0<=X<200,26.0,2.0,car,used car,3.0,7966.0
35.0,<0,12.0,3.0,no known property,used car,4.0,3386.0
28.0,>=200,12.0,4.0,real estate,new car,2.0,939.0
33.0,no checking,12.0,4.0,life insurance,radio/tv,3.0,797.0
24.0,<0,24.0,4.0,life insurance,furniture/equipment,1.0,1747.0
28.0,<0,12.0,4.0,real estate,repairs,3.0,1108.0
23.0,0<=X<200,13.0,2.0,life insurance,radio/tv,4.0,2101.0
29.0,<0,24.0,4.0,no known property,used car,2.0,6579.0
37.0,no checking,48.0,4.0,car,radio/tv,1.0,12749.0
42.0,no checking,12.0,4.0,life insurance,radio/tv,4.0,522.0
22.0,<0,24.0,4.0,real estate,furniture/equipment,4.0,2828.0
20.0,0<=X<200,24.0,3.0,life insurance,new car,4.0,2718.0
48.0,>=200,10.0,1.0,no known property,new car,4.0,1240.0
54.0,0<=X<200,12.0,4.0,real estate,new car,4.0,1318.0
24.0,<0,48.0,3.0,life insurance,business,4.0,4308.0
55.0,<0,12.0,3.0,no known property,furniture/equipment,4.0,2578.0
26.0,no checking,24.0,4.0,life insurance,radio/tv,3.0,1311.0
24.0,<0,30.0,1.0,car,used car,4.0,6187.0
44.0,0<=X<200,18.0,2.0,real estate,repairs,4.0,6204.0
28.0,0<=X<200,6.0,4.0,car,radio/tv,4.0,1068.0
20.0,0<=X<200,11.0,4.0,real estate,furniture/equipment,1.0,1577.0
40.0,no checking,24.0,4.0,life insurance,furniture/equipment,3.0,1585.0
36.0,<0,18.0,3.0,no known property,radio/tv,4.0,1940.0
36.0,0<=X<200,24.0,1.0,real estate,business,4.0,4241.0
74.0,>=200,6.0,1.0,real estate,new car,1.0,1299.0
41.0,no checking,24.0,4.0,real estate,new car,4.0,1469.0
29.0,no checking,28.0,4.0,car,radio/tv,2.0,2743.0
31.0,no checking,12.0,4.0,car,radio/tv,2.0,1963.0
30.0,0<=X<200,48.0,2.0,car,furniture/equipment,3.0,5096.0
33.0,<0,12.0,4.0,real estate,new car,1.0,2579.0
40.0,no checking,36.0,2.0,car,furniture/equipment,4.0,7678.0
36.0,0<=X<200,30.0,4.0,real estate,new car,4.0,2181.0
56.0,no checking,6.0,1.0,no known property,education,2.0,1538.0
52.0,<0,6.0,4.0,car,radio/tv,4.0,338.0
32.0,0<=X<200,39.0,2.0,no known property,education,3.0,11760.0
25.0,0<=X<200,24.0,2.0,car,furniture/equipment,4.0,4736.0
51.0,>=200,24.0,3.0,no known property,furniture/equipment,4.0,2892.0
30.0,no checking,6.0,2.0,real estate,radio/tv,2.0,1740.0
31.0,0<=X<200,36.0,1.0,life insurance,business,3.0,9857.0
26.0,>=200,12.0,4.0,real estate,new car,1.0,1330.0
49.0,>=200,30.0,4.0,life insurance,radio/tv,4.0,3656.0
23.0,<0,18.0,1.0,car,new car,2.0,976.0
29.0,<0,12.0,4.0,no known property,radio/tv,1.0,2149.0
42.0,<0,48.0,4.0,no known property,new car,4.0,7763.0
44.0,<0,6.0,1.0,real estate,furniture/equipment,4.0,3384.0
32.0,<0,24.0,4.0,car,radio/tv,2.0,1282.0
36.0,no checking,18.0,4.0,real estate,new car,3.0,1028.0
31.0,no checking,24.0,2.0,real estate,new car,2.0,1393.0
30.0,no checking,12.0,4.0,real estate,radio/tv,2.0,707.0
65.0,<0,21.0,4.0,real estate,new car,4.0,571.0
26.0,<0,36.0,2.0,life insurance,used car,2.0,8229.0
48.0,<0,10.0,1.0,real estate,new car,3.0,2241.0
49.0,no checking,12.0,1.0,real estate,radio/tv,4.0,2331.0
34.0,0<=X<200,30.0,4.0,car,furniture/equipment,2.0,3496.0
28.0,no checking,18.0,4.0,car,business,2.0,2169.0
24.0,0<=X<200,24.0,2.0,no known property,education,4.0,5743.0
29.0,0<=X<200,24.0,2.0,car,other,3.0,11328.0
45.0,no checking,6.0,2.0,life insurance,radio/tv,4.0,1750.0
42.0,0<=X<200,24.0,2.0,car,radio/tv,4.0,5084.0
21.0,<0,12.0,4.0,life insurance,retraining,4.0,902.0
28.0,<0,24.0,2.0,car,radio/tv,4.0,3660.0
20.0,>=200,24.0,4.0,no known property,furniture/equipment,4.0,3617.0
27.0,<0,24.0,3.0,car,furniture/equipment,4.0,3552.0
37.0,no checking,36.0,4.0,no known property,education,4.0,1819.0
38.0,no checking,48.0,4.0,real estate,business,2.0,3914.0
37.0,0<=X<200,24.0,4.0,car,new car,2.0,3878.0
47.0,no checking,18.0,4.0,life insurance,furniture/equipment,4.0,3422.0
25.0,<0,9.0,3.0,real estate,furniture/equipment,2.0,2136.0
29.0,0<=X<200,24.0,2.0,no known property,used car,4.0,7758.0
66.0,<0,12.0,4.0,no known property,used car,4.0,1526.0
33.0,0<=X<200,24.0,1.0,car,radio/tv,2.0,6403.0
34.0,<0,36.0,4.0,car,new car,4.0,1842.0
20.0,<0,12.0,4.0,life insurance,radio/tv,1.0,674.0
37.0,no checking,12.0,3.0,car,furniture/equipment,4.0,1402.0
23.0,0<=X<200,6.0,1.0,life insurance,new car,2.0,14555.0
62.0,no checking,24.0,4.0,no known property,new car,4.0,3757.0
27.0,<0,10.0,2.0,real estate,furniture/equipment,3.0,2132.0
42.0,no checking,4.0,2.0,real estate,new car,1.0,1455.0
26.0,>=200,15.0,2.0,life insurance,business,4.0,2687.0
30.0,<0,21.0,4.0,car,new car,3.0,1602.0
42.0,0<=X<200,24.0,4.0,car,new car,4.0,1965.0
40.0,<0,12.0,4.0,real estate,radio/tv,2.0,701.0
30.0,<0,42.0,4.0,car,radio/tv,3.0,7174.0
36.0,no checking,6.0,4.0,life insurance,retraining,4.0,1238.0
44.0,<0,6.0,1.0,real estate,new car,3.0,4716.0
31.0,no checking,36.0,2.0,car,radio/tv,2.0,9566.0
32.0,no checking,27.0,4.0,real estate,furniture/equipment,2.0,4526.0
25.0,0<=X<200,30.0,2.0,car,radio/tv,4.0,2991.0
40.0,0<=X<200,18.0,2.0,real estate,furniture/equipment,4.0,3001.0
45.0,<0,14.0,1.0,life insurance,new car,4.0,8978.0
39.0,no checking,36.0,4.0,car,radio/tv,4.0,2299.0
32.0,0<=X<200,9.0,4.0,no known property,education,3.0,1136.0
34.0,0<=X<200,9.0,2.0,car,education,3.0,1501.0
27.0,0<=X<200,45.0,3.0,car,used car,4.0,4576.0
25.0,>=200,15.0,2.0,real estate,radio/tv,3.0,2327.0
23.0,0<=X<200,24.0,1.0,car,used car,4.0,11560.0
57.0,no checking,12.0,2.0,no known property,education,4.0,2748.0
41.0,no checking,12.0,4.0,car,education,4.0,719.0
26.0,no checking,30.0,4.0,car,radio/tv,4.0,4530.0
44.0,no checking,48.0,2.0,no known property,new car,2.0,10127.0
26.0,<0,21.0,1.0,car,furniture/equipment,4.0,3599.0
23.0,0<=X<200,27.0,4.0,life insurance,radio/tv,2.0,2520.0
46.0,no checking,18.0,4.0,car,radio/tv,4.0,1582.0
27.0,0<=X<200,18.0,4.0,real estate,furniture/equipment,3.0,1924.0
40.0,no checking,22.0,3.0,car,radio/tv,4.0,2675.0
29.0,0<=X<200,24.0,4.0,life insurance,furniture/equipment,2.0,2333.0
28.0,<0,12.0,4.0,life insurance,radio/tv,2.0,6199.0
39.0,<0,48.0,4.0,no known property,used car,4.0,10297.0
27.0,<0,27.0,3.0,car,radio/tv,2.0,3416.0
22.0,0<=X<200,24.0,3.0,car,radio/tv,2.0,3092.0
43.0,no checking,24.0,4.0,real estate,radio/tv,1.0,1516.0
35.0,no checking,15.0,4.0,car,radio/tv,2.0,1979.0
28.0,0<=X<200,30.0,4.0,car,new car,2.0,4249.0
31.0,no checking,24.0,3.0,car,radio/tv,2.0,3430.0
26.0,0<=X<200,15.0,2.0,real estate,new car,1.0,1778.0
39.0,0<=X<200,21.0,2.0,life insurance,business,4.0,1188.0
55.0,0<=X<200,42.0,1.0,no known property,used car,2.0,9283.0
27.0,<0,15.0,4.0,real estate,radio/tv,2.0,1053.0
37.0,0<=X<200,18.0,3.0,life insurance,furniture/equipment,4.0,3612.0
27.0,0<=X<200,21.0,2.0,life insurance,business,3.0,3652.0
37.0,>=200,10.0,2.0,car,domestic appliance,2.0,1225.0
53.0,no checking,30.0,4.0,real estate,used car,1.0,7485.0
25.0,no checking,24.0,4.0,real estate,business,1.0,1258.0
47.0,<0,36.0,3.0,no known property,used car,4.0,8335.0
27.0,no checking,48.0,1.0,real estate,business,1.0,3609.0
55.0,no checking,12.0,4.0,no known property,repairs,4.0,1555.0
29.0,<0,15.0,3.0,life insurance,new car,2.0,3959.0
36.0,0<=X<200,24.0,4.0,car,business,4.0,6967.0
31.0,0<=X<200,48.0,2.0,no known property,other,4.0,7582.0
34.0,0<=X<200,24.0,4.0,no known property,education,4.0,1837.0
31.0,<0,48.0,3.0,car,radio/tv,2.0,6758.0
22.0,<0,24.0,4.0,real estate,furniture/equipment,4.0,2483.0
25.0,<0,30.0,2.0,car,business,3.0,8072.0
30.0,0<=X<200,12.0,4.0,car,repairs,2.0,639.0
34.0,<0,24.0,2.0,no known property,used car,1.0,2910.0
27.0,0<=X<200,60.0,1.0,real estate,radio/tv,1.0,7418.0
37.0,no checking,48.0,4.0,car,radio/tv,3.0,10222.0
22.0,0<=X<200,6.0,3.0,life insurance,repairs,1.0,454.0
54.0,no checking,24.0,2.0,life insurance,business,3.0,4591.0
47.0,no checking,48.0,4.0,real estate,radio/tv,1.0,3578.0
27.0,0<=X<200,60.0,2.0,no known property,radio/tv,2.0,9157.0
74.0,no checking,24.0,3.0,real estate,business,2.0,4526.0
