age,class,credit_amount
28.0,bad,9572.0
30.0,bad,4455.0
40.0,bad,1647.0
50.0,good,3777.0
36.0,bad,884.0
31.0,good,1360.0
74.0,bad,5129.0
68.0,good,1175.0
20.0,bad,674.0
33.0,good,3244.0
54.0,bad,4591.0
34.0,bad,3844.0
36.0,bad,3915.0
29.0,good,2108.0
21.0,bad,3031.0
34.0,bad,1501.0
28.0,good,1382.0
27.0,bad,951.0
36.0,good,2760.0
40.0,bad,4297.0
52.0,good,936.0
27.0,good,1168.0
26.0,good,5117.0
21.0,bad,902.0
38.0,good,1495.0
38.0,good,10623.0
43.0,good,1935.0
26.0,good,1424.0
21.0,good,6568.0
55.0,good,1413.0
33.0,good,3074.0
45.0,good,3835.0
50.0,bad,5293.0
66.0,bad,1908.0
51.0,good,3342.0
39.0,good,932.0
31.0,good,3104.0
23.0,good,3913.0
24.0,good,3021.0
64.0,good,1364.0
26.0,good,625.0
23.0,good,1200.0
30.0,good,707.0
32.0,good,2978.0
30.0,good,4657.0
27.0,good,2613.0
27.0,bad,10961.0
53.0,bad,7865.0
22.0,bad,1478.0
22.0,good,3149.0
26.0,bad,4210.0
51.0,good,2507.0
35.0,good,2141.0
25.0,good,866.0
42.0,good,1544.0
30.0,bad,1823.0
23.0,bad,14555.0
61.0,bad,2767.0
35.0,good,1291.0
39.0,good,2522.0
29.0,bad,915.0
51.0,good,1595.0
24.0,bad,4605.0
27.0,good,1185.0
35.0,good,3447.0
25.0,good,1258.0
52.0,good,717.0
35.0,good,1204.0
26.0,good,1925.0
22.0,bad,433.0
39.0,good,666.0
46.0,good,2251.0
24.0,bad,2150.0
35.0,good,4151.0
24.0,good,2030.0
27.0,good,7418.0
35.0,good,2684.0
29.0,bad,2149.0
23.0,good,3812.0
57.0,good,1154.0
27.0,good,1657.0
55.0,good,1603.0
36.0,good,5302.0
57.0,good,2748.0
32.0,good,1231.0
37.0,bad,802.0
36.0,good,6304.0
38.0,good,1533.0
45.0,bad,8978.0
25.0,good,999.0
32.0,good,2662.0
37.0,good,1402.0
36.0,good,12169.0
28.0,bad,3060.0
34.0,bad,11998.0
32.0,good,2697.0
26.0,good,2404.0
49.0,good,1262.0
32.0,bad,4611.0
29.0,good,1901.0
23.0,good,3368.0
50.0,good,1574.0
49.0,good,1445.0
63.0,good,1520.0
37.0,good,3878.0
35.0,good,10722.0
26.0,good,4788.0
31.0,good,7582.0
49.0,good,1092.0
48.0,bad,1024.0
26.0,good,1076.0
28.0,bad,9398.0
44.0,good,6419.0
56.0,good,4796.0
46.0,good,7629.0
26.0,bad,9960.0
20.0,good,4675.0
45.0,good,1287.0
43.0,good,2515.0
32.0,good,2745.0
54.0,good,672.0
42.0,bad,3804.0
37.0,bad,1344.0
49.0,good,1038.0
44.0,bad,10127.0
33.0,good,1543.0
24.0,good,4811.0
33.0,bad,727.0
24.0,bad,1237.0
22.0,good,276.0
40.0,good,5381.0
25.0,good,5511.0
26.0,good,3749.0
25.0,bad,685.0
29.0,good,1494.0
31.0,bad,2746.0
38.0,good,708.0
48.0,good,4351.0
32.0,good,701.0
27.0,good,3643.0
28.0,bad,4249.0
32.0,bad,1938.0
34.0,good,2910.0
28.0,good,2659.0
36.0,good,1028.0
39.0,good,3398.0
49.0,good,5801.0
34.0,good,1525.0
31.0,good,4473.0
28.0,good,1068.0
75.0,good,6615.0
30.0,bad,1864.0
24.0,bad,7408.0
24.0,bad,11590.0
23.0,bad,4110.0
44.0,bad,3384.0
23.0,good,2101.0
24.0,bad,1275.0
28.0,good,4169.0
31.0,good,1521.0
24.0,good,5743.0
26.0,good,3599.0
25.0,good,3213.0
33.0,good,4439.0
37.0,good,3949.0
43.0,good,1459.0
23.0,good,882.0
23.0,good,3758.0
34.0,good,1743.0
32.0,bad,1136.0
23.0,good,1236.0
29.0,bad,959.0
38.0,good,3229.0
28.0,bad,6199.0
46.0,good,727.0
23.0,bad,1246.0
49.0,good,2331.0
26.0,bad,4463.0
28.0,good,776.0
23.0,bad,2406.0
61.0,good,1239.0
37.0,good,3399.0
36.0,good,2247.0
21.0,good,1766.0
25.0,bad,2473.0
36.0,good,1542.0
27.0,good,3850.0
22.0,good,3650.0
42.0,bad,3446.0
40.0,good,3001.0
36.0,good,3079.0
33.0,good,6070.0
23.0,good,2146.0
63.0,good,13756.0
60.0,bad,14782.0
37.0,bad,7685.0
34.0,good,2320.0
36.0,good,846.0
57.0,bad,14318.0
52.0,good,362.0
39.0,good,2212.0
38.0,bad,12976.0
25.0,good,1283.0
26.0,good,1330.0
26.0,good,4272.0
25.0,good,2238.0
21.0,good,1126.0
40.0,good,7374.0
27.0,good,2326.0
27.0,good,1449.0
30.0,good,1820.0
19.0,good,983.0
39.0,good,3249.0
31.0,good,1957.0
31.0,good,2406.0
32.0,good,11760.0
55.0,good,2578.0
46.0,good,2348.0
46.0,bad,1223.0
43.0,good,1516.0
39.0,good,1473.0
28.0,good,1887.0
27.0,bad,8648.0
27.0,good,802.0
43.0,good,2899.0
22.0,bad,2039.0
43.0,good,2197.0
27.0,good,1053.0
26.0,good,3235.0
28.0,bad,939.0
20.0,good,1967.0
35.0,good,7253.0
42.0,bad,2292.0
40.0,good,1597.0
35.0,bad,1381.0
35.0,good,5842.0
33.0,bad,2579.0
23.0,good,8471.0
31.0,good,2782.0
33.0,bad,1042.0
20.0,good,3186.0
30.0,good,2028.0
47.0,good,958.0
34.0,good,1591.0
25.0,bad,2762.0
21.0,good,2779.0
29.0,good,2743.0
46.0,good,1149.0
20.0,good,1313.0
55.0,bad,1190.0
74.0,good,3448.0
29.0,bad,11328.0
36.0,good,1872.0
33.0,good,2058.0
25.0,good,2136.0
25.0,bad,1484.0
23.0,good,660.0
37.0,good,1287.0
65.0,good,3394.0
26.0,bad,609.0
39.0,good,1884.0
30.0,good,1620.0
29.0,good,2629.0
41.0,bad,719.0
30.0,bad,5096.0
41.0,good,1244.0
34.0,bad,1842.0
35.0,good,2576.0
55.0,good,1424.0
61.0,bad,1512.0
30.0,good,11054.0
29.0,good,518.0
34.0,good,2759.0
35.0,good,2670.0
31.0,bad,4817.0
29.0,good,2679.0
36.0,good,3905.0
35.0,bad,3386.0
27.0,good,343.0
32.0,good,4594.0
37.0,good,3620.0
36.0,good,1721.0
34.0,good,3017.0
38.0,good,754.0
34.0,good,1950.0
63.0,good,2924.0
29.0,bad,1659.0
32.0,good,7238.0
26.0,good,2764.0
35.0,good,4679.0
22.0,bad,3092.0
23.0,bad,448.0
28.0,bad,654.0
36.0,good,1238.0
33.0,bad,1245.0
26.0,bad,3114.0
24.0,good,2569.0
25.0,good,5152.0
39.0,good,1037.0
44.0,good,1478.0
23.0,good,3573.0
26.0,good,1201.0
57.0,good,3622.0
30.0,good,960.0
44.0,good,1163.0
47.0,bad,1209.0
52.0,good,3077.0
62.0,good,3757.0
35.0,good,1418.0
26.0,good,3518.0
26.0,good,1934.0
42.0,bad,8318.0
27.0,good,1237.0
38.0,good,368.0
39.0,good,2122.0
20.0,bad,2996.0
29.0,bad,9034.0
40.0,good,1585.0
32.0,good,1301.0
28.0,good,1323.0
27.0,bad,3123.0
42.0,good,5493.0
49.0,good,1126.0
38.0,bad,1216.0
24.0,bad,1207.0
27.0,bad,1309.0
36.0,good,2360.0
34.0,bad,6850.0
28.0,good,1413.0
45.0,good,8588.0
26.0,bad,759.0
32.0,good,4686.0
26.0,good,2687.0
20.0,good,585.0
54.0,good,2255.0
37.0,good,609.0
40.0,good,1361.0
23.0,bad,7127.0
43.0,good,1203.0
36.0,good,700.0
44.0,good,5507.0
24.0,bad,3190.0
53.0,bad,7119.0
23.0,good,3488.0
26.0,good,1113.0
30.0,good,7966.0
31.0,good,1532.0
42.0,good,1503.0
31.0,bad,2302.0
41.0,good,662.0
32.0,good,2273.0
28.0,bad,2631.0
41.0,good,1503.0
26.0,good,1311.0
25.0,good,3105.0
33.0,bad,2319.0
75.0,good,1374.0
37.0,good,3612.0
42.0,bad,7763.0
45.0,good,3049.0
23.0,bad,1534.0
60.0,good,2032.0
31.0,bad,6350.0
34.0,bad,2864.0
61.0,good,1255.0
43.0,bad,1333.0
37.0,good,2022.0
32.0,good,1552.0
24.0,bad,626.0
35.0,good,8858.0
23.0,good,996.0
45.0,good,1750.0
34.0,bad,6999.0
27.0,good,1995.0
67.0,good,1199.0
22.0,bad,1331.0
28.0,bad,2278.0
29.0,bad,5003.0
27.0,bad,3552.0
31.0,bad,1928.0
49.0,good,2964.0
24.0,bad,1546.0
29.0,good,683.0
37.0,bad,12389.0
37.0,good,4712.0
23.0,good,1553.0
36.0,bad,1372.0
34.0,good,2578.0
41.0,good,3979.0
31.0,bad,6758.0
23.0,bad,3234.0
38.0,good,5954.0
26.0,good,5433.0
22.0,good,806.0
27.0,good,1082.0
24.0,good,2788.0
27.0,good,2930.0
33.0,good,1927.0
27.0,bad,2820.0
27.0,good,937.0
30.0,bad,1056.0
49.0,good,3124.0
26.0,good,1388.0
33.0,bad,2384.0
52.0,good,2133.0
20.0,bad,2039.0
36.0,good,2799.0
21.0,good,1289.0
47.0,bad,1217.0
60.0,bad,2246.0
58.0,good,385.0
42.0,good,1965.0
36.0,good,1572.0
20.0,bad,2718.0
40.0,bad,1358.0
32.0,bad,931.0
23.0,bad,1442.0
36.0,bad,4241.0
31.0,bad,2775.0
32.0,good,3863.0
45.0,good,2329.0
30.0,bad,918.0
34.0,bad,1837.0
28.0,bad,3349.0
23.0,good,1275.0
22.0,good,2828.0
74.0,good,4526.0
50.0,bad,2671.0
33.0,good,2051.0
45.0,good,1300.0
22.0,bad,741.0
48.0,bad,1240.0
29.0,good,3357.0
22.0,good,3632.0
22.0,bad,1808.0
48.0,good,12204.0
27.0,good,9157.0
37.0,good,3676.0
21.0,bad,3441.0
49.0,good,640.0
27.0,good,3652.0
32.0,bad,1530.0
38.0,bad,3914.0
22.0,good,1858.0
65.0,bad,2600.0
35.0,good,1979.0
41.0,good,2116.0
29.0,bad,1437.0
36.0,good,4042.0
64.0,good,3832.0
28.0,good,3660.0
44.0,bad,1553.0
23.0,good,1444.0
19.0,bad,1980.0
25.0,bad,1355.0
47.0,good,1393.0
28.0,good,1376.0
21.0,good,15653.0
34.0,good,1493.0
26.0,bad,4370.0
27.0,bad,750.0
38.0,good,1308.0
40.0,bad,4623.0
33.0,good,1851.0
32.0,good,1880.0
27.0,bad,7980.0
32.0,good,4583.0
26.0,bad,1386.0
38.0,bad,947.0
40.0,bad,684.0
50.0,good,7476.0
37.0,bad,1922.0
45.0,bad,2303.0
42.0,bad,8086.0
35.0,good,2346.0
22.0,good,3973.0
41.0,bad,888.0
37.0,good,10222.0
28.0,good,4221.0
41.0,good,6361.0
23.0,good,1297.0
23.0,bad,900.0
50.0,good,2241.0
35.0,good,1050.0
50.0,good,1047.0
27.0,good,6314.0
34.0,good,3496.0
27.0,good,3609.0
43.0,bad,4843.0
47.0,good,3017.0
27.0,good,4139.0
31.0,good,5742.0
42.0,good,10366.0
24.0,good,2080.0
41.0,bad,2580.0
26.0,good,4530.0
33.0,good,5150.0
24.0,bad,5595.0
64.0,good,2384.0
26.0,good,1453.0
56.0,good,1538.0
37.0,good,2279.0
33.0,good,1478.0
47.0,good,5103.0
31.0,good,9857.0
34.0,good,6527.0
27.0,good,1347.0
30.0,good,2862.0
35.0,good,2753.0
31.0,good,3651.0
25.0,good,975.0
25.0,good,2631.0
29.0,good,2896.0
44.0,good,4716.0
28.0,good,2284.0
50.0,good,1236.0
29.0,good,1103.0
38.0,good,926.0
24.0,good,1800.0
40.0,good,1905.0
29.0,bad,1123.0
46.0,bad,6331.0
47.0,good,1377.0
41.0,good,2503.0
32.0,good,2528.0
35.0,good,5324.0
24.0,bad,6560.0
25.0,bad,2969.0
25.0,good,1206.0
37.0,good,2118.0
32.0,good,629.0
35.0,bad,1198.0
46.0,good,2476.0
25.0,good,1138.0
27.0,bad,14027.0
63.0,good,7596.0
40.0,good,3077.0
32.0,good,1505.0
31.0,good,3148.0
31.0,good,6148.0
34.0,bad,1337.0
24.0,bad,433.0
24.0,bad,1228.0
66.0,good,790.0
21.0,bad,2570.0
41.0,good,250.0
47.0,good,1316.0
25.0,bad,1882.0
59.0,bad,6416.0
36.0,good,1275.0
33.0,good,6403.0
21.0,bad,1987.0
44.0,good,760.0
28.0,good,2603.0
37.0,good,3380.0
29.0,good,3990.0
23.0,bad,11560.0
35.0,good,4380.0
45.0,good,6761.0
26.0,bad,4280.0
32.0,good,2325.0
23.0,good,1048.0
41.0,good,3160.0
22.0,good,2483.0
30.0,good,14179.0
28.0,good,1797.0
23.0,good,2511.0
37.0,bad,1274.0
26.0,good,5248.0
33.0,good,3029.0
49.0,good,428.0
23.0,bad,976.0
23.0,good,841.0
25.0,good,5771.0
55.0,bad,1555.0
32.0,bad,1285.0
74.0,good,1299.0
39.0,bad,1271.0
31.0,good,1393.0
35.0,bad,691.0
59.0,good,5045.0
24.0,bad,2124.0
24.0,good,2214.0
30.0,bad,12680.0
27.0,good,2463.0
40.0,good,1155.0
31.0,bad,3108.0
31.0,good,2901.0
28.0,good,3617.0
63.0,good,1655.0
26.0,good,2812.0
25.0,bad,8065.0
36.0,good,3275.0
52.0,good,2223.0
66.0,good,1480.0
25.0,bad,1371.0
37.0,good,3535.0
25.0,good,3509.0
38.0,good,5711.0
67.0,good,3872.0
25.0,bad,4933.0
60.0,good,1940.0
31.0,good,1410.0
23.0,bad,836.0
60.0,good,6468.0
35.0,good,1941.0
40.0,good,2675.0
38.0,good,2751.0
50.0,bad,6224.0
27.0,bad,5998.0
39.0,bad,1188.0
41.0,good,6313.0
27.0,good,1221.0
51.0,good,2892.0
32.0,good,3062.0
22.0,good,2301.0
51.0,bad,7511.0
22.0,good,1258.0
54.0,good,717.0
35.0,good,1549.0
54.0,good,1597.0
48.0,good,1795.0
24.0,good,4272.0
35.0,good,976.0
24.0,good,7472.0
24.0,bad,9271.0
26.0,good,590.0
65.0,good,930.0
55.0,good,9283.0
26.0,bad,1778.0
26.0,good,907.0
28.0,good,484.0
24.0,bad,9629.0
54.0,bad,3051.0
46.0,bad,3931.0
54.0,good,7432.0
62.0,good,1338.0
24.0,good,1554.0
43.0,good,15857.0
26.0,bad,1345.0
27.0,good,1101.0
24.0,good,3016.0
41.0,bad,2712.0
47.0,good,731.0
35.0,good,3780.0
30.0,good,1602.0
33.0,bad,3966.0
36.0,bad,4165.0
47.0,bad,8335.0
38.0,good,6681.0
44.0,good,2375.0
23.0,bad,1216.0
29.0,bad,11816.0
42.0,good,5084.0
25.0,bad,2327.0
48.0,bad,1082.0
21.0,good,886.0
23.0,good,601.0
63.0,good,2957.0
46.0,good,2611.0
29.0,bad,5179.0
28.0,good,2993.0
23.0,bad,1943.0
50.0,good,1559.0
47.0,good,3422.0
35.0,good,3976.0
68.0,bad,6761.0
28.0,good,1249.0
59.0,good,1364.0
57.0,bad,709.0
33.0,bad,2235.0
43.0,good,4042.0
35.0,good,1471.0
32.0,bad,1442.0
45.0,good,10875.0
33.0,good,1474.0
40.0,good,894.0
28.0,good,3343.0
29.0,bad,3959.0
26.0,good,3577.0
27.0,good,5804.0
28.0,bad,2169.0
35.0,bad,2439.0
32.0,good,4526.0
25.0,bad,2210.0
20.0,good,2221.0
27.0,good,2389.0
42.0,good,3331.0
37.0,good,7409.0
24.0,good,652.0
40.0,good,7678.0
46.0,good,1343.0
26.0,good,1382.0
24.0,good,874.0
29.0,good,3590.0
40.0,good,1322.0
36.0,good,1940.0
28.0,good,3595.0
27.0,bad,1422.0
36.0,good,6742.0
38.0,good,7814.0
48.0,good,9277.0
36.0,good,2181.0
65.0,good,1098.0
43.0,bad,4057.0
53.0,bad,795.0
34.0,good,2825.0
23.0,bad,15672.0
34.0,good,6614.0
40.0,good,7824.0
43.0,good,2442.0
46.0,good,1829.0
38.0,good,2171.0
34.0,good,5800.0
29.0,good,1169.0
31.0,good,8947.0
28.0,good,2606.0
35.0,good,1592.0
33.0,good,2186.0
42.0,bad,4153.0
43.0,bad,2625.0
44.0,good,3485.0
42.0,good,10477.0
40.0,good,1386.0
36.0,good,1278.0
20.0,good,1107.0
24.0,good,3763.0
27.0,good,3711.0
46.0,good,3594.0
33.0,good,3195.0
34.0,good,4454.0
25.0,bad,4736.0
25.0,good,2991.0
28.0,good,2142.0
31.0,bad,3161.0
32.0,bad,18424.0
32.0,good,2848.0
68.0,bad,14896.0
33.0,bad,2359.0
39.0,bad,3345.0
28.0,good,1817.0
37.0,good,12749.0
22.0,bad,1366.0
30.0,good,2002.0
55.0,bad,6872.0
46.0,bad,697.0
21.0,good,1049.0
39.0,bad,10297.0
58.0,good,1867.0
43.0,good,1344.0
24.0,good,1747.0
22.0,bad,1670.0
30.0,good,1224.0
42.0,good,522.0
23.0,good,1498.0
30.0,bad,1919.0
28.0,bad,745.0
30.0,good,2063.0
42.0,bad,6288.0
46.0,good,6842.0
45.0,good,3527.0
31.0,good,1546.0
31.0,good,929.0
42.0,good,1455.0
46.0,good,1845.0
30.0,good,8358.0
30.0,bad,3349.0
38.0,good,2859.0
43.0,bad,1533.0
31.0,bad,3621.0
40.0,good,3590.0
24.0,bad,2145.0
28.0,bad,4113.0
26.0,bad,10974.0
29.0,good,1893.0
57.0,good,1231.0
49.0,good,3656.0
37.0,good,1154.0
45.0,bad,4006.0
30.0,good,3069.0
30.0,good,1740.0
47.0,good,2353.0
29.0,good,3556.0
35.0,bad,2397.0
22.0,good,454.0
26.0,good,1715.0
23.0,bad,2520.0
54.0,good,3568.0
29.0,good,7166.0
40.0,good,3939.0
22.0,good,1514.0
43.0,good,7393.0
29.0,bad,1193.0
36.0,bad,7297.0
33.0,good,2831.0
57.0,good,1258.0
64.0,good,753.0
42.0,good,2427.0
47.0,bad,2538.0
25.0,bad,1264.0
49.0,bad,8386.0
33.0,bad,4844.0
28.0,good,2923.0
26.0,bad,8229.0
30.0,good,2028.0
25.0,good,1433.0
33.0,good,6289.0
64.0,good,1409.0
29.0,good,6579.0
48.0,good,1743.0
37.0,good,3565.0
34.0,good,1569.0
23.0,good,1936.0
30.0,good,3959.0
50.0,good,2390.0
31.0,good,1736.0
40.0,good,3857.0
38.0,good,804.0
23.0,bad,1845.0
27.0,good,4576.0
