age,checking_status,credit_amount,duration,installment_commitment,property_magnitude,purpose,residence_since
29.0,no checking,2171.0,12.0,2.0,car,radio/tv,2.0
22.0,0<=X<200,1007.0,12.0,4.0,real estate,new car,1.0
37.0,no checking,1819.0,36.0,4.0,no known property,education,4.0
25.0,no checking,2394.0,36.0,4.0,car,radio/tv,4.0
30.0,no checking,8133.0,36.0,1.0,life insurance,used car,2.0
46.0,no checking,730.0,7.0,4.0,life insurance,radio/tv,2.0
51.0,<0,1164.0,8.0,3.0,no known property,other,4.0
41.0,0<=X<200,5954.0,42.0,2.0,real estate,business,1.0
40.0,<0,1977.0,36.0,4.0,no known property,education,4.0
66.0,<0,1526.0,12.0,4.0,no known property,used car,4.0
34.0,<0,3965.0,42.0,4.0,car,radio/tv,3.0
51.0,0<=X<200,4771.0,11.0,2.0,life insurance,radio/tv,4.0
39.0,no checking,9436.0,54.0,2.0,life insurance,used car,2.0
22.0,0<=X<200,3832.0,30.0,2.0,life insurance,furniture/equipment,1.0
44.0,no checking,5943.0,24.0,1.0,car,radio/tv,1.0
47.0,no checking,1213.0,15.0,4.0,life insurance,radio/tv,3.0
24.0,no checking,1568.0,18.0,3.0,life insurance,business,4.0
58.0,<0,1755.0,24.0,4.0,real estate,other,4.0
52.0,<0,2315.0,10.0,3.0,real estate,radio/tv,4.0
29.0,no checking,1412.0,12.0,4.0,real estate,business,2.0
27.0,0<=X<200,1295.0,18.0,4.0,life insurance,furniture/equipment,1.0
47.0,0<=X<200,12612.0,36.0,1.0,no known property,education,4.0
30.0,<0,2249.0,18.0,4.0,car,new car,3.0
28.0,<0,1108.0,12.0,4.0,real estate,repairs,3.0
56.0,no checking,618.0,12.0,4.0,real estate,radio/tv,4.0
54.0,<0,1409.0,12.0,4.0,real estate,used car,3.0
33.0,no checking,797.0,12.0,4.0,life insurance,radio/tv,3.0
20.0,>=200,3617.0,24.0,4.0,no known property,furniture/equipment,4.0
54.0,0<=X<200,1318.0,12.0,4.0,real estate,new car,4.0
58.0,0<=X<200,15945.0,54.0,3.0,no known property,business,4.0
61.0,no checking,2012.0,12.0,4.0,car,education,2.0
34.0,0<=X<200,2622.0,18.0,4.0,car,business,4.0
36.0,0<=X<200,2337.0,36.0,4.0,real estate,radio/tv,4.0
36.0,0<=X<200,7057.0,20.0,3.0,life insurance,used car,4.0
41.0,no checking,1469.0,24.0,4.0,real estate,new car,4.0
24.0,0<=X<200,2323.0,36.0,4.0,car,radio/tv,4.0
24.0,no checking,932.0,6.0,3.0,real estate,radio/tv,2.0
35.0,0<=X<200,1919.0,9.0,4.0,car,furniture/equipment,3.0
26.0,no checking,2445.0,12.0,2.0,car,used car,4.0
39.0,0<=X<200,11938.0,24.0,2.0,car,other,3.0
39.0,no checking,6458.0,18.0,2.0,no known property,new car,4.0
32.0,0<=X<200,6078.0,12.0,2.0,car,new car,2.0
30.0,<0,7721.0,24.0,1.0,life insurance,furniture/equipment,2.0
35.0,0<=X<200,1410.0,14.0,1.0,real estate,business,2.0
31.0,0<=X<200,1449.0,6.0,1.0,car,business,2.0
23.0,>=200,392.0,15.0,4.0,life insurance,education,4.0
28.0,0<=X<200,6260.0,18.0,3.0,real estate,new car,3.0
25.0,no checking,7855.0,36.0,4.0,real estate,new car,2.0
35.0,<0,1680.0,12.0,3.0,real estate,radio/tv,1.0
47.0,no checking,3578.0,48.0,4.0,real estate,radio/tv,1.0
30.0,<0,7174.0,42.0,4.0,car,radio/tv,3.0
27.0,<0,2132.0,10.0,2.0,real estate,furniture/equipment,3.0
23.0,<0,4281.0,33.0,1.0,car,furniture/equipment,4.0
36.0,0<=X<200,2366.0,12.0,3.0,car,new car,3.0
25.0,<0,1835.0,21.0,3.0,real estate,radio/tv,2.0
41.0,no checking,3868.0,24.0,4.0,car,used car,2.0
24.0,no checking,1768.0,12.0,3.0,real estate,furniture/equipment,2.0
63.0,>=200,781.0,10.0,4.0,no known property,new car,4.0
27.0,0<=X<200,1924.0,18.0,4.0,real estate,furniture/equipment,3.0
30.0,<0,2121.0,12.0,4.0,life insurance,new car,2.0
40.0,<0,701.0,12.0,4.0,real estate,radio/tv,2.0
30.0,0<=X<200,639.0,12.0,4.0,car,repairs,2.0
34.0,0<=X<200,1860.0,12.0,4.0,car,used car,2.0
29.0,<0,3499.0,12.0,3.0,real estate,new car,2.0
24.0,0<=X<200,8487.0,48.0,1.0,car,new car,2.0
29.0,<0,6887.0,36.0,4.0,life insurance,education,3.0
27.0,no checking,2708.0,15.0,2.0,life insurance,furniture/equipment,3.0
47.0,no checking,1984.0,18.0,4.0,no known property,furniture/equipment,4.0
21.0,no checking,10144.0,60.0,2.0,real estate,radio/tv,4.0
38.0,no checking,1240.0,12.0,4.0,real estate,radio/tv,2.0
27.0,no checking,8613.0,27.0,2.0,car,used car,2.0
66.0,0<=X<200,766.0,12.0,4.0,real estate,radio/tv,3.0
35.0,0<=X<200,2728.0,15.0,4.0,real estate,radio/tv,2.0
44.0,>=200,1881.0,12.0,2.0,car,radio/tv,2.0
27.0,>=200,709.0,6.0,2.0,real estate,new car,2.0
30.0,0<=X<200,4795.0,36.0,4.0,no known property,radio/tv,1.0
27.0,<0,3416.0,27.0,3.0,car,radio/tv,2.0
22.0,<0,2462.0,18.0,2.0,car,furniture/equipment,2.0
23.0,no checking,2288.0,21.0,4.0,life insurance,furniture/equipment,4.0
30.0,0<=X<200,3566.0,48.0,4.0,car,business,2.0
39.0,<0,860.0,6.0,1.0,no known property,new car,4.0
51.0,no checking,682.0,12.0,4.0,car,new car,3.0
28.0,<0,5371.0,36.0,3.0,life insurance,furniture/equipment,2.0
46.0,no checking,1582.0,18.0,4.0,car,radio/tv,4.0
42.0,no checking,1346.0,6.0,2.0,no known property,radio/tv,4.0
38.0,no checking,1924.0,10.0,1.0,life insurance,radio/tv,4.0
24.0,>=200,5848.0,36.0,4.0,car,radio/tv,1.0
29.0,0<=X<200,7758.0,24.0,2.0,no known property,used car,4.0
36.0,0<=X<200,6967.0,24.0,4.0,car,business,4.0
20.0,<0,1282.0,12.0,2.0,car,furniture/equipment,4.0
48.0,<0,1288.0,9.0,3.0,real estate,repairs,4.0
45.0,<0,339.0,12.0,4.0,car,retraining,1.0
38.0,0<=X<200,3512.0,24.0,2.0,car,new car,3.0
34.0,no checking,1898.0,6.0,1.0,real estate,radio/tv,2.0
36.0,no checking,2872.0,24.0,3.0,real estate,radio/tv,4.0
30.0,no checking,1055.0,18.0,4.0,life insurance,new car,1.0
36.0,no checking,1262.0,15.0,4.0,life insurance,domestic appliance,3.0
70.0,0<=X<200,7308.0,10.0,2.0,no known property,new car,4.0
36.0,no checking,909.0,36.0,4.0,life insurance,new car,4.0
32.0,no checking,2978.0,6.0,1.0,car,furniture/equipment,2.0
33.0,<0,1131.0,18.0,4.0,car,furniture/equipment,2.0
20.0,0<=X<200,1577.0,11.0,4.0,real estate,furniture/equipment,1.0
25.0,no checking,3972.0,24.0,2.0,life insurance,furniture/equipment,4.0
31.0,0<=X<200,1935.0,24.0,4.0,real estate,business,4.0
33.0,<0,950.0,15.0,4.0,car,new car,3.0
26.0,no checking,763.0,12.0,4.0,real estate,furniture/equipment,1.0
34.0,0<=X<200,2064.0,24.0,3.0,life insurance,furniture/equipment,2.0
33.0,0<=X<200,1414.0,8.0,4.0,real estate,radio/tv,2.0
26.0,<0,3414.0,21.0,2.0,life insurance,education,1.0
53.0,no checking,7485.0,30.0,4.0,real estate,used car,1.0
42.0,<0,2577.0,12.0,2.0,car,furniture/equipment,1.0
52.0,<0,338.0,6.0,4.0,car,radio/tv,4.0
31.0,no checking,1963.0,12.0,4.0,car,radio/tv,2.0
65.0,<0,571.0,21.0,4.0,real estate,new car,4.0
28.0,no checking,9572.0,36.0,1.0,car,business,1.0
30.0,0<=X<200,4455.0,36.0,2.0,real estate,business,2.0
40.0,<0,1647.0,21.0,4.0,life insurance,new car,2.0
50.0,no checking,3777.0,24.0,4.0,real estate,furniture/equipment,4.0
36.0,0<=X<200,884.0,18.0,4.0,car,new car,4.0
31.0,no checking,1360.0,15.0,4.0,life insurance,radio/tv,2.0
74.0,0<=X<200,5129.0,9.0,2.0,no known property,used car,4.0
68.0,0<=X<200,1175.0,16.0,2.0,car,new car,3.0
20.0,<0,674.0,12.0,4.0,life insurance,radio/tv,1.0
33.0,0<=X<200,3244.0,18.0,1.0,car,furniture/equipment,4.0
54.0,no checking,4591.0,24.0,2.0,life insurance,business,3.0
34.0,0<=X<200,3844.0,48.0,4.0,no known property,business,4.0
36.0,0<=X<200,3915.0,27.0,4.0,car,business,2.0
29.0,no checking,2108.0,6.0,2.0,real estate,radio/tv,2.0
21.0,0<=X<200,3031.0,45.0,4.0,life insurance,radio/tv,4.0
34.0,0<=X<200,1501.0,9.0,2.0,car,education,3.0
28.0,no checking,1382.0,6.0,1.0,car,radio/tv,1.0
27.0,0<=X<200,951.0,12.0,4.0,car,furniture/equipment,4.0
36.0,0<=X<200,2760.0,24.0,4.0,no known property,used car,4.0
40.0,0<=X<200,4297.0,18.0,4.0,no known property,furniture/equipment,3.0
52.0,no checking,936.0,9.0,4.0,car,education,2.0
27.0,<0,1168.0,12.0,4.0,real estate,new car,3.0
26.0,no checking,5117.0,27.0,3.0,car,business,4.0
21.0,<0,902.0,12.0,4.0,life insurance,retraining,4.0
38.0,no checking,1495.0,12.0,4.0,real estate,new car,1.0
38.0,<0,10623.0,30.0,3.0,no known property,used car,4.0
43.0,no checking,1935.0,12.0,4.0,real estate,furniture/equipment,4.0
26.0,0<=X<200,1424.0,12.0,4.0,life insurance,domestic appliance,3.0
21.0,<0,6568.0,24.0,2.0,car,business,2.0
55.0,no checking,1413.0,12.0,3.0,life insurance,used car,2.0
33.0,no checking,3074.0,9.0,1.0,real estate,radio/tv,2.0
45.0,no checking,3835.0,36.0,2.0,real estate,radio/tv,4.0
50.0,<0,5293.0,27.0,2.0,life insurance,business,4.0
66.0,>=200,1908.0,30.0,4.0,real estate,business,4.0
51.0,no checking,3342.0,36.0,4.0,car,radio/tv,2.0
39.0,0<=X<200,932.0,6.0,1.0,life insurance,retraining,3.0
31.0,<0,3104.0,18.0,3.0,life insurance,business,1.0
23.0,>=200,3913.0,36.0,2.0,real estate,radio/tv,2.0
24.0,<0,3021.0,24.0,2.0,real estate,furniture/equipment,2.0
64.0,no checking,1364.0,10.0,2.0,car,new car,4.0
26.0,0<=X<200,625.0,12.0,4.0,real estate,radio/tv,1.0
23.0,<0,1200.0,12.0,4.0,life insurance,education,4.0
30.0,no checking,707.0,12.0,4.0,real estate,radio/tv,2.0
32.0,no checking,2978.0,24.0,4.0,real estate,business,4.0
30.0,no checking,4657.0,15.0,3.0,car,used car,2.0
27.0,no checking,2613.0,36.0,4.0,car,repairs,2.0
27.0,0<=X<200,10961.0,48.0,1.0,no known property,radio/tv,2.0
53.0,<0,7865.0,12.0,4.0,no known property,furniture/equipment,4.0
22.0,no checking,1478.0,9.0,4.0,car,radio/tv,2.0
22.0,<0,3149.0,24.0,4.0,no known property,furniture/equipment,1.0
26.0,>=200,4210.0,36.0,4.0,car,radio/tv,2.0
51.0,no checking,2507.0,9.0,2.0,no known property,new car,4.0
35.0,no checking,2141.0,12.0,3.0,no known property,radio/tv,1.0
25.0,0<=X<200,866.0,18.0,4.0,real estate,radio/tv,2.0
42.0,no checking,1544.0,4.0,2.0,real estate,radio/tv,1.0
30.0,<0,1823.0,24.0,4.0,car,radio/tv,2.0
23.0,0<=X<200,14555.0,6.0,1.0,life insurance,new car,2.0
61.0,0<=X<200,2767.0,21.0,4.0,car,business,2.0
35.0,no checking,1291.0,12.0,4.0,life insurance,radio/tv,2.0
39.0,<0,2522.0,30.0,1.0,life insurance,radio/tv,3.0
29.0,<0,915.0,24.0,4.0,car,new car,2.0
51.0,no checking,1595.0,6.0,3.0,life insurance,radio/tv,2.0
24.0,<0,4605.0,48.0,3.0,no known property,used car,4.0
27.0,no checking,1185.0,12.0,3.0,real estate,business,2.0
35.0,no checking,3447.0,12.0,4.0,real estate,retraining,3.0
25.0,no checking,1258.0,24.0,4.0,real estate,business,1.0
52.0,no checking,717.0,12.0,4.0,real estate,radio/tv,4.0
35.0,no checking,1204.0,6.0,4.0,no known property,new car,1.0
26.0,>=200,1925.0,24.0,2.0,real estate,furniture/equipment,2.0
22.0,no checking,433.0,18.0,3.0,real estate,radio/tv,4.0
39.0,<0,666.0,6.0,3.0,real estate,new car,4.0
46.0,>=200,2251.0,12.0,1.0,car,furniture/equipment,2.0
24.0,0<=X<200,2150.0,30.0,4.0,no known property,new car,2.0
35.0,no checking,4151.0,24.0,2.0,life insurance,furniture/equipment,3.0
24.0,0<=X<200,2030.0,9.0,2.0,car,furniture/equipment,1.0
27.0,0<=X<200,7418.0,60.0,1.0,real estate,radio/tv,1.0
35.0,no checking,2684.0,24.0,4.0,real estate,radio/tv,2.0
29.0,<0,2149.0,12.0,4.0,no known property,radio/tv,1.0
23.0,no checking,3812.0,15.0,1.0,car,used car,4.0
57.0,no checking,1154.0,11.0,4.0,real estate,radio/tv,4.0
27.0,<0,1657.0,12.0,2.0,real estate,furniture/equipment,2.0
55.0,<0,1603.0,24.0,4.0,car,radio/tv,4.0
36.0,<0,5302.0,18.0,2.0,no known property,new car,4.0
57.0,no checking,2748.0,12.0,2.0,no known property,education,4.0
32.0,no checking,1231.0,10.0,3.0,real estate,new car,4.0
37.0,0<=X<200,802.0,15.0,4.0,car,radio/tv,3.0
36.0,no checking,6304.0,36.0,4.0,real estate,business,4.0
38.0,no checking,1533.0,24.0,4.0,car,radio/tv,3.0
45.0,<0,8978.0,14.0,1.0,life insurance,new car,4.0
25.0,no checking,999.0,24.0,4.0,car,radio/tv,2.0
32.0,no checking,2662.0,18.0,4.0,life insurance,new car,3.0
37.0,no checking,1402.0,12.0,3.0,car,furniture/equipment,4.0
36.0,0<=X<200,12169.0,48.0,4.0,no known property,new car,4.0
28.0,0<=X<200,3060.0,48.0,4.0,real estate,radio/tv,4.0
34.0,<0,11998.0,30.0,1.0,no known property,repairs,1.0
32.0,no checking,2697.0,9.0,1.0,real estate,radio/tv,2.0
26.0,no checking,2404.0,18.0,2.0,car,radio/tv,2.0
49.0,<0,1262.0,12.0,2.0,life insurance,furniture/equipment,4.0
32.0,no checking,4611.0,6.0,1.0,life insurance,furniture/equipment,4.0
29.0,no checking,1901.0,24.0,4.0,car,radio/tv,4.0
23.0,no checking,3368.0,15.0,3.0,no known property,used car,4.0
50.0,no checking,1574.0,12.0,4.0,real estate,furniture/equipment,2.0
49.0,>=200,1445.0,18.0,4.0,car,radio/tv,4.0
63.0,no checking,1520.0,15.0,4.0,life insurance,furniture/equipment,4.0
37.0,0<=X<200,3878.0,24.0,4.0,car,new car,2.0
35.0,<0,10722.0,47.0,1.0,real estate,new car,1.0
26.0,<0,4788.0,48.0,4.0,life insurance,used car,3.0
31.0,0<=X<200,7582.0,48.0,2.0,no known property,other,4.0
49.0,0<=X<200,1092.0,12.0,4.0,real estate,radio/tv,4.0
48.0,<0,1024.0,24.0,4.0,real estate,radio/tv,4.0
26.0,no checking,1076.0,12.0,2.0,real estate,business,2.0
28.0,0<=X<200,9398.0,36.0,1.0,car,used car,4.0
44.0,<0,6419.0,24.0,2.0,no known property,used car,4.0
56.0,>=200,4796.0,42.0,4.0,no known property,used car,4.0
46.0,no checking,7629.0,48.0,4.0,car,business,2.0
26.0,0<=X<200,9960.0,48.0,1.0,car,furniture/equipment,2.0
20.0,no checking,4675.0,12.0,1.0,car,used car,4.0
45.0,no checking,1287.0,10.0,4.0,life insurance,new car,2.0
43.0,no checking,2515.0,18.0,3.0,real estate,furniture/equipment,4.0
32.0,0<=X<200,2745.0,21.0,3.0,car,furniture/equipment,2.0
54.0,no checking,672.0,6.0,1.0,real estate,new car,4.0
42.0,0<=X<200,3804.0,36.0,4.0,car,radio/tv,1.0
37.0,>=200,1344.0,24.0,4.0,real estate,new car,2.0
49.0,<0,1038.0,10.0,4.0,life insurance,new car,3.0
44.0,no checking,10127.0,48.0,2.0,no known property,new car,2.0
33.0,no checking,1543.0,6.0,4.0,real estate,furniture/equipment,2.0
24.0,no checking,4811.0,30.0,2.0,life insurance,used car,4.0
33.0,<0,727.0,12.0,4.0,no known property,radio/tv,3.0
24.0,0<=X<200,1237.0,8.0,3.0,real estate,furniture/equipment,4.0
22.0,0<=X<200,276.0,9.0,4.0,real estate,new car,4.0
40.0,0<=X<200,5381.0,48.0,3.0,no known property,other,4.0
25.0,no checking,5511.0,24.0,4.0,car,furniture/equipment,1.0
26.0,>=200,3749.0,24.0,2.0,car,furniture/equipment,4.0
25.0,0<=X<200,685.0,12.0,2.0,car,new car,3.0
29.0,>=200,1494.0,4.0,1.0,real estate,new car,2.0
31.0,<0,2746.0,36.0,4.0,car,furniture/equipment,4.0
38.0,<0,708.0,12.0,2.0,life insurance,furniture/equipment,3.0
48.0,0<=X<200,4351.0,24.0,1.0,life insurance,furniture/equipment,4.0
32.0,no checking,701.0,12.0,4.0,car,education,2.0
27.0,<0,3643.0,15.0,1.0,life insurance,furniture/equipment,4.0
28.0,0<=X<200,4249.0,30.0,4.0,car,new car,2.0
32.0,<0,1938.0,24.0,4.0,life insurance,radio/tv,3.0
34.0,<0,2910.0,24.0,2.0,no known property,used car,1.0
28.0,<0,2659.0,18.0,4.0,car,furniture/equipment,2.0
36.0,no checking,1028.0,18.0,4.0,real estate,new car,3.0
39.0,<0,3398.0,8.0,1.0,real estate,new car,4.0
49.0,no checking,5801.0,12.0,2.0,life insurance,furniture/equipment,4.0
34.0,no checking,1525.0,24.0,4.0,car,new car,3.0
31.0,>=200,4473.0,36.0,4.0,car,radio/tv,2.0
28.0,0<=X<200,1068.0,6.0,4.0,car,radio/tv,4.0
75.0,<0,6615.0,24.0,2.0,no known property,used car,4.0
30.0,no checking,1864.0,18.0,4.0,real estate,education,2.0
24.0,0<=X<200,7408.0,60.0,4.0,life insurance,new car,2.0
24.0,no checking,11590.0,48.0,2.0,car,used car,4.0
23.0,<0,4110.0,24.0,3.0,no known property,furniture/equipment,4.0
44.0,<0,3384.0,6.0,1.0,real estate,furniture/equipment,4.0
23.0,0<=X<200,2101.0,13.0,2.0,life insurance,radio/tv,4.0
24.0,<0,1275.0,15.0,4.0,car,domestic appliance,2.0
28.0,<0,4169.0,24.0,4.0,life insurance,furniture/equipment,4.0
31.0,0<=X<200,1521.0,10.0,4.0,car,furniture/equipment,2.0
24.0,0<=X<200,5743.0,24.0,2.0,no known property,education,4.0
26.0,<0,3599.0,21.0,1.0,car,furniture/equipment,4.0
25.0,0<=X<200,3213.0,18.0,1.0,real estate,radio/tv,3.0
33.0,0<=X<200,4439.0,18.0,1.0,real estate,business,1.0
37.0,>=200,3949.0,10.0,1.0,life insurance,new car,1.0
43.0,no checking,1459.0,15.0,4.0,car,radio/tv,2.0
23.0,0<=X<200,882.0,13.0,4.0,real estate,radio/tv,4.0
23.0,0<=X<200,3758.0,24.0,1.0,no known property,radio/tv,4.0
34.0,no checking,1743.0,6.0,1.0,real estate,business,2.0
32.0,0<=X<200,1136.0,9.0,4.0,no known property,education,3.0
23.0,no checking,1236.0,9.0,1.0,real estate,domestic appliance,4.0
29.0,0<=X<200,959.0,9.0,1.0,car,furniture/equipment,2.0
38.0,no checking,3229.0,18.0,2.0,no known property,used car,4.0
28.0,<0,6199.0,12.0,4.0,life insurance,radio/tv,2.0
46.0,no checking,727.0,10.0,4.0,no known property,education,4.0
23.0,0<=X<200,1246.0,24.0,4.0,real estate,new car,2.0
49.0,no checking,2331.0,12.0,1.0,real estate,radio/tv,4.0
26.0,no checking,4463.0,36.0,4.0,car,radio/tv,2.0
28.0,no checking,776.0,12.0,4.0,real estate,radio/tv,2.0
23.0,<0,2406.0,30.0,4.0,real estate,furniture/equipment,4.0
61.0,0<=X<200,1239.0,18.0,4.0,no known property,education,4.0
37.0,>=200,3399.0,12.0,2.0,car,radio/tv,3.0
36.0,>=200,2247.0,12.0,2.0,car,new car,2.0
21.0,no checking,1766.0,6.0,1.0,life insurance,furniture/equipment,2.0
25.0,<0,2473.0,18.0,4.0,car,furniture/equipment,1.0
36.0,no checking,1542.0,12.0,2.0,car,business,4.0
27.0,no checking,3850.0,18.0,3.0,car,used car,1.0
22.0,<0,3650.0,18.0,1.0,car,furniture/equipment,4.0
42.0,<0,3446.0,36.0,4.0,car,furniture/equipment,2.0
40.0,0<=X<200,3001.0,18.0,2.0,real estate,furniture/equipment,4.0
36.0,no checking,3079.0,36.0,4.0,real estate,new car,4.0
33.0,no checking,6070.0,18.0,3.0,car,radio/tv,4.0
23.0,no checking,2146.0,10.0,1.0,real estate,furniture/equipment,3.0
63.0,no checking,13756.0,60.0,2.0,no known property,new car,4.0
60.0,0<=X<200,14782.0,60.0,3.0,no known property,other,4.0
37.0,<0,7685.0,48.0,2.0,car,business,4.0
34.0,no checking,2320.0,18.0,2.0,real estate,radio/tv,3.0
36.0,no checking,846.0,7.0,3.0,no known property,radio/tv,4.0
57.0,0<=X<200,14318.0,36.0,4.0,no known property,new car,2.0
52.0,no checking,362.0,6.0,4.0,car,new car,4.0
39.0,<0,2212.0,20.0,4.0,car,furniture/equipment,4.0
38.0,0<=X<200,12976.0,18.0,3.0,no known property,used car,4.0
25.0,no checking,1283.0,22.0,4.0,life insurance,new car,4.0
26.0,>=200,1330.0,12.0,4.0,real estate,new car,1.0
26.0,no checking,4272.0,30.0,2.0,life insurance,business,2.0
25.0,no checking,2238.0,18.0,2.0,car,radio/tv,1.0
21.0,no checking,1126.0,18.0,4.0,real estate,radio/tv,2.0
40.0,0<=X<200,7374.0,18.0,4.0,life insurance,furniture/equipment,4.0
27.0,0<=X<200,2326.0,15.0,2.0,car,business,4.0
27.0,no checking,1449.0,9.0,3.0,car,business,2.0
30.0,no checking,1820.0,18.0,2.0,life insurance,new car,2.0
19.0,0<=X<200,983.0,12.0,1.0,real estate,furniture/equipment,4.0
39.0,<0,3249.0,36.0,2.0,no known property,new car,4.0
31.0,<0,1957.0,6.0,1.0,car,radio/tv,4.0
31.0,no checking,2406.0,9.0,2.0,car,furniture/equipment,3.0
32.0,0<=X<200,11760.0,39.0,2.0,no known property,education,3.0
55.0,<0,2578.0,12.0,3.0,no known property,furniture/equipment,4.0
46.0,<0,2348.0,36.0,3.0,life insurance,furniture/equipment,2.0
46.0,0<=X<200,1223.0,12.0,1.0,real estate,new car,1.0
43.0,no checking,1516.0,24.0,4.0,real estate,radio/tv,1.0
39.0,no checking,1473.0,18.0,3.0,real estate,radio/tv,4.0
28.0,0<=X<200,1887.0,18.0,4.0,real estate,business,4.0
27.0,no checking,8648.0,24.0,2.0,car,business,2.0
27.0,no checking,802.0,14.0,4.0,car,new car,2.0
43.0,0<=X<200,2899.0,18.0,4.0,car,new car,4.0
22.0,0<=X<200,2039.0,24.0,1.0,life insurance,radio/tv,1.0
43.0,no checking,2197.0,24.0,4.0,car,used car,4.0
27.0,<0,1053.0,15.0,4.0,real estate,radio/tv,2.0
26.0,no checking,3235.0,24.0,3.0,car,radio/tv,2.0
28.0,>=200,939.0,12.0,4.0,real estate,new car,2.0
20.0,0<=X<200,1967.0,24.0,4.0,car,radio/tv,4.0
35.0,no checking,7253.0,33.0,3.0,car,used car,2.0
