Date Reported As Of,Description,Current Phase,Design Start,Forecast Completion
01/2019,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Construction,04/01/2005,07/19/2021
05/2019,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Construction,04/01/2005,03/25/2022
09/2019,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Construction,04/01/2005,
01/2020,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Construction,04/01/2005,
05/2020,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Construction,04/01/2005,07/19/2021
10/2020,"Replace deteriorated members of lift span superstructure, concrete deck, lift electrical and mechanical systems, and fenders.",Construction,04/01/2005,02/01/2023
09/2013,"The existing bridge was a 4 span structure that was replaced with a single span concrete and steel structure, widened to 109.5 feet from 84 feet, to accommodate 3 travel lanes with shoulders and a median.  Four access ramps were also reconstructed.",Construction,06/30/2004,10/24/2014
01/2014,This project includes installation of a new single span concrete and steel structure to carry the Belt Parkway and reconstruction of four access ramps .,Construction,06/30/2004,10/24/2014
05/2014,This project includes installation of a new single span concrete and steel structure to carry the Belt Parkway and reconstruction of four access ramps .,Construction,06/30/2004,10/24/2014
02/2015,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Construction,06/30/2004,06/24/2015
08/2015,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Construction,06/30/2004,12/31/2015
01/2016,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Construction,06/30/2004,06/30/2016
06/2016,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Construction,06/30/2004,06/15/2016
11/2016,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Construction,06/30/2004,06/30/2017
04/2017,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Construction,06/30/2004,06/30/2017
09/2017,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Construction,06/30/2004,06/30/2018
03/2018,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Construction,06/30/2004,12/31/2018
08/2018,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Construction,06/30/2004,12/31/2018
01/2019,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Construction,06/30/2004,06/30/2019
05/2019,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Construction,06/30/2004,12/31/2019
09/2019,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Construction,06/30/2004,12/31/2019
01/2020,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Construction,06/30/2004,03/03/2020
05/2020,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Construction,06/30/2004,
10/2020,Install a new single-span concrete and steel structure to carry the Belt Parkway and reconstruct four access ramps.,Close-Out,06/30/2004,04/15/2015
09/2013,Rehabilitation of Henry Hudson Parkway Viaduct from west 72nd street to west 82nd street.,Design,08/02/2011,09/05/2017
01/2014,This project will rehabilitate the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,Design,08/02/2011,09/05/2017
05/2014,This project will rehabilitate the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,Design,08/02/2011,02/26/2019
02/2015,Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,Design,08/02/2011,01/22/2019
08/2015,Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,Design,08/02/2011,01/22/2019
01/2016,Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,Design,08/02/2011,01/22/2019
06/2016,Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,Design,08/02/2011,04/08/2019
11/2016,Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,Construction Procurement,08/02/2011,04/19/2019
04/2017,Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,Construction Procurement,08/02/2011,04/28/2019
09/2017,Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,Construction Procurement,08/02/2011,06/17/2022
03/2018,Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,Construction Procurement,08/02/2011,06/17/2022
08/2018,Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,Construction,08/02/2011,06/27/2020
01/2019,Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,Construction,08/02/2011,06/28/2020
05/2019,Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,Construction,08/02/2011,06/28/2020
09/2019,Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,Construction,08/02/2011,06/28/2020
01/2020,Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,Construction,08/02/2011,06/28/2020
05/2020,Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,Construction,08/02/2011,
10/2020,Reconstruct the Henry Hudson Parkway Viaduct from W 72nd to W 82nd Streets.,Construction,08/02/2011,04/21/2021
09/2013,"Rehabilitation of abutments, piers, approaches, and steel superstructure and replace reinforced concrete deck.",Design,01/17/1995,03/22/2019
01/2014,"Westchester Avenue Bridge over Hutch River Parkway Rehabilitation. Rehabilitation of abutments, piers, approaches, and steel superstructure and replace reinforced concrete deck.",Design,01/17/1995,07/06/2019
05/2014,"Rehabilitation of abutments, piers, approaches, and steel superstructure and replacement of reinforced concrete deck.",Design,01/17/1995,05/01/2020
02/2015,"Repair abutments, piers, approaches, and the steel superstructure. Replace reinforced concrete deck.",Design,01/17/1995,07/01/2019
08/2015,"Repair abutments, piers, approaches, and the steel superstructure. Replace reinforced concrete deck.",Design,01/17/1995,05/01/2020
01/2016,"Repair abutments, piers, approaches, and the steel superstructure. Replace reinforced concrete deck.",Design,01/17/1995,05/01/2020
06/2016,"Repair abutments, piers, approaches, and the steel superstructure. Replace reinforced concrete deck.",Design,01/17/1995,11/01/2020
11/2016,"Repair abutments, piers, approaches, and the steel superstructure; replace reinforced concrete deck.",Construction,01/17/1995,09/13/2021
04/2017,"Repair abutments, piers, approaches, and steel superstructure located in Pelham Bay, Bronx; replace reinforced concrete deck.",Construction,01/17/1995,09/13/2021
09/2017,"Repair abutments, piers, approaches, and steel superstructure located in Pelham Bay, Bronx; replace reinforced concrete deck.",Construction,01/17/1995,09/13/2021
03/2018,"Repair abutments, piers, approaches, and steel superstructure located in Pelham Bay, Bronx; replace reinforced concrete deck.",Construction,01/17/1995,09/13/2021
08/2018,"Repair abutments, piers, approaches, and steel superstructure located in Pelham Bay, Bronx; replace reinforced concrete deck.",Construction,01/17/1995,09/13/2021
01/2019,"Repair abutments, piers, approaches, and steel superstructure located in Pelham Bay, Bronx; replace reinforced concrete deck.",Construction,01/17/1995,09/13/2021
05/2019,"Repair abutments, piers, approaches, and steel superstructure located in Pelham Bay, Bronx; replace reinforced concrete deck.",Construction,01/17/1995,09/13/2021
09/2019,"Repair abutments, piers, approaches, and steel superstructure located in Pelham Bay, Bronx; replace reinforced concrete deck.",Construction,01/17/1995,
01/2020,"Repair abutments, piers, approaches, and steel superstructure located in Pelham Bay, Bronx; replace reinforced concrete deck.",Construction,01/17/1995,
05/2020,"Repair abutments, piers, approaches, and steel superstructure located in Pelham Bay, Bronx; replace reinforced concrete deck.",Construction,01/17/1995,
10/2020,"Repair abutments, piers, approaches, and steel superstructure located in Pelham Bay, Bronx; replace reinforced concrete deck.",Construction,01/17/1995,07/23/2022
02/2015,Deck replacement of the Riverside Drive Viaduct / Bridge over W. 158th Street.,Design,10/22/2014,12/17/2021
08/2015,Deck replacement of the Riverside Drive Viaduct / Bridge over W. 158th Street.,Design,10/22/2014,12/17/2021
01/2016,Deck replacement of the Riverside Drive Viaduct / Bridge over W. 158th Street.,Design,10/22/2014,07/13/2020
06/2016,Deck replacement of the Riverside Drive Viaduct / Bridge over W. 158th Street.,Design,10/22/2014,12/17/2021
11/2016,Deck replacement of the Riverside Drive Viaduct / Bridge over W. 158th Street.,Design,10/22/2014,12/17/2021
04/2017,Replace deck of the Riverside Drive viaduct/ bridge over West 158th Street.,Design,10/22/2014,12/17/2021
09/2017,Replace deck of the Riverside Drive viaduct/ bridge over West 158th Street.,Design,10/22/2014,12/02/2021
03/2018,Replace deck of the Riverside Drive viaduct/ bridge over West 158th Street.,Design,10/22/2014,12/16/2021
08/2018,Replace deck of the Riverside Drive viaduct/ bridge over West 158th Street.,Construction Procurement,10/22/2014,01/17/2022
01/2019,Replace deck of the Riverside Drive viaduct/ bridge over West 158th Street.,Construction,10/22/2014,06/27/2022
05/2019,Replace deck of the Riverside Drive viaduct/ bridge over West 158th Street.,Construction,10/22/2014,06/27/2022
09/2019,Replace deck of the Riverside Drive viaduct/ bridge over West 158th Street.,Construction,10/22/2014,
01/2020,Replace deck of the Riverside Drive viaduct/ bridge over West 158th Street.,Construction,10/22/2014,06/27/2022
05/2020,Replace deck of the Riverside Drive viaduct/ bridge over West 158th Street.,Construction,10/22/2014,06/27/2022
10/2020,Replace deck of the Riverside Drive viaduct/ bridge over West 158th Street.,Construction,10/22/2014,06/27/2022
01/2016,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Design,02/14/2011,07/03/2019
06/2016,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Design,02/14/2011,07/03/2019
11/2016,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Design,02/14/2011,07/03/2019
04/2017,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Design,02/14/2011,07/03/2019
09/2017,Replace the electrical and mechanical systems of the Madison Avenue Bridge.,Design,02/14/2011,08/18/2020
