Title Code,Title Description,Standard Hours,Assignment Level,Union Code,Bargaining Unit Short Name
06835,DEPUTY EXECUTIVE DIRECTOR (BOA,35.0,00,775,N/U
06836,DIRECTOR OF CORRECTIONAL STAND,35.0,00,775,N/U
06837,SPECIAL ASSISTANT (CULTURAL AF,35.0,00,775,N/U
06845,First Deputy Commissioner,35.0,00,772,N/U
06846,"Deputy Commissioner, Film Offi",35.0,00,772,N/U
06847,Chief Operating Officer (COO),35.0,00,772,N/U
06848,"Chief Advisor, Public Space Po",35.0,00,772,N/U
06849,DEPUTY COMMISSIONER (TLC),35.0,00,773,N/U
06850,RESEARCH AND LIAISON COORDINAT,35.0,00,772,N/U
09273,SPECIAL ASSISTANT TO THE BOROU,35.0,00,775,N/U
09288,SPECIAL ASSISTANT TO THE BOROU,35.0,00,665,N/U
09708,SERVICE INSPECTOR (PROJECT SCO,35.0,00,665,N/U
09708,SERVICE INSPECTOR (PROJECT SCO,40.0,00,665,N/U
09709,SENIOR SERVICE INSPECTOR (PROJ,40.0,00,665,N/U
09749,COMMUNITY SERVICE AIDE (SCSP),35.0,00,993,N/U
09776,DIRECTOR OF CLINICAL LABORATOR,35.0,00,775,N/U
09909,RESEARCH & LIAISON COORDINATOR,35.0,00,665,N/U
09959,ASSISTANT TO THE PRESIDENT (BK,35.0,00,993,N/U
09963,EXECUTIVE ASSISTANT TO THE COM,35.0,00,775,N/U
09989,EXECUTIVE COOK (MAYOR),35.0,00,775,N/U
10001,ADMINISTRATIVE ACCOUNTANT,35.0,00,771,N/U
10003,ADMINISTRATIVE GRAPHIC ARTIST,35.0,00,771,N/U
10004,ADMINISTRATIVE ARCHITECT,35.0,00,771,N/U
10005,ADMINISTRATIVE ASSESSOR,35.0,00,771,N/U
10006,*ADMINISTRATIVE ATTORNEY,35.0,00,771,N/U
10007,ADMINISTRATIVE BOROUGH SUPERIN,35.0,00,771,N/U
10009,ADMINISTRATIVE BUSINESS PROMOT,35.0,00,771,N/U
1000A,ADMIN ARCHITECT (NON MGRL) M-1,35.0,00,4,DC37
1000B,ADMINISTRATIVE ACCOUNTANT (NON,35.0,00,129,DC37
1000C,ADMINISTRATIVE BUSINESS PROMOT,35.0,00,129,DC37
1000D,ADMINISTRATIVE GRAPHIC ARTIST,35.0,00,4,DC37
10010,ADMINISTRATIVE MANAGEMENT AUDI,35.0,00,771,N/U
10014,ADMINISTRATIVE CONSULTANT (EAR,35.0,00,771,N/U
10015,ADMINISTRATIVE ENGINEER,35.0,00,771,N/U
10016,ADMINISTRATIVE DIRECTOR OF RES,35.0,00,771,N/U
10018,ADMINISTRATIVE HOUSING MANAGER,35.0,00,790,N/U
10019,ADMINISTRATIVE HOUSING SUPERIN,35.0,00,790,N/U
1001A,ADM ENGINEER (NON MGRL),35.0,00,4,DC37
1001B,ADMINISTRATIVE DIRECTOR OF RES,35.0,00,3,DC37
1001C,ADMINISTRATIVE MANAGEMENT AUDI,35.0,00,129,DC37
10020,ADMINISTRATIVE INVESTIGATOR,35.0,00,771,N/U
10022,ADMINISTRATIVE COMMUNITY RELAT,35.0,00,771,N/U
10023,ADMINISTRATIVE LANDSCAPE ARCHI,35.0,00,771,N/U
10024,ADMINISTRATIVE FIRE PROTECTION,35.0,00,771,N/U
10025,ADMINISTRATIVE MANAGER,35.0,00,771,N/U
10026,ADMINISTRATIVE STAFF ANALYST (,35.0,00,771,N/U
10028,ADMINISTRATIVE NUTRITIONIST,35.0,00,771,N/U
10029,ADMINISTRATIVE PROBATION OFFIC,35.0,00,771,N/U
1002A,ADMINISTRATIVE STAFF ANALYST (,35.0,00,180,OSA
1002C,ADM MANAGER-NON-MGRL FRM M1/M2,35.0,01,23,CWA
1002C,ADM MANAGER-NON-MGRL FRM M1/M2,35.0,02,23,CWA
1002C,ADM MANAGER-NON-MGRL FRM M1/M2,35.0,03,23,CWA
1002D,ADMINISTRATIVE STAFF ANALYST (,35.0,00,180,OSA
1002E,ADMINISTRATIVE STAFF ANALYST (,35.0,00,180,OSA
1002F,ADMIN COMMUNITY RELATIONS SPEC,35.0,00,180,OSA
1002G,ADM LANDSCAPE ARCHITECT (NM),35.0,00,4,DC37
1002H,ADMINISTRATIVE FIRE PROTECTION,40.0,00,177,DC37
1002I,ADMINISTRATIVE INVESTIGATOR (N,35.0,00,3,DC37
10031,ADMINISTRATIVE EDUCATION ANALY,35.0,00,771,N/U
10032,ADMINISTRATIVE PUBLIC HEALTH N,35.0,00,771,N/U
10033,ADMINISTRATIVE PUBLIC INFORMAT,35.0,00,771,N/U
10034,ADMINISTRATIVE LANDMARKS PRESE,35.0,00,771,N/U
10035,ADMINISTRATIVE SUPERVISOR OF B,35.0,00,771,N/U
10037,ADMINISTRATIVE SPACE ANALYST,35.0,00,771,N/U
10038,ADMINISTRATIVE STOREKEEPER,35.0,00,771,N/U
10039,ADMINISTRATIVE SUPERINTENDENT,35.0,00,771,N/U
1003A,ADM LNDMRK PRESERVATIONIST NM,35.0,00,4,DC37
1003B,ADMINISTRATIVE EDUCATION ANALY,35.0,00,430,N/U
1003C,ADMINISTRATIVE PUBLIC HEALTH N,35.0,00,130,DC37
1003D,ADMINISTRATIVE SPACE ANALYST (,35.0,00,4,DC37
10041,ADMINISTRATIVE PUBLIC RECORDS,35.0,00,771,N/U
10042,ADMINISTRATIVE TRAFFIC ENFORCE,37.5,00,183,N/U
10044,ADMINISTRATIVE CLAIM EXAMINER,35.0,00,771,N/U
10045,ADMINISTRATIVE SUPERVISOR OF S,35.0,00,790,N/U
10047,ADMINISTRATIVE REAL PROPERTY M,35.0,00,771,N/U
10049,ADMINISTRATIVE TAX AUDITOR,35.0,00,771,N/U
1004A,ADM TRAFFIC ENFRCMNT AGENT-DIR,35.0,00,771,N/U
1004B,ADMIN TRAFFIC ENFRCMNT AGENT (,35.0,00,771,N/U
1004C,ADMINISTRATIVE TAX AUDITOR (NO,35.0,00,129,DC37
1004D,ADMINISTRATIVE REAL PROPERTY M,35.0,00,133,DC37
1004E,ADMINISTRATIVE CLAIM EXAMINER,35.0,00,3,DC37
10050,COMPUTER SYSTEMS MANAGER,35.0,00,771,N/U
10053,ADMINISTRATIVE CITY PLANNER,35.0,00,771,N/U
10054,ADMINISTRATIVE BLASTING INSPEC,35.0,00,771,N/U
10055,ADMINISTRATIVE DIRECTOR OF LAB,35.0,00,771,N/U
10056,ADMINISTRATIVE DIRECTOR OF SOC,35.0,00,771,N/U
1005A,ADM CITY PLANNER (NON MGRL),35.0,00,4,DC37
1005B,ADMIN DIR OF LABORATORY (WATER,35.0,00,4,DC37
1005C,ADMINISTRATIVE DIRECTOR OF SOC,35.0,00,3,DC37
1005D,COMPUTER SYSTEMS MANAGER,35.0,00,129,DC37
10061,ADMINISTRATIVE TRANSPORTATION,35.0,00,771,N/U
10062,ADMINISTRATIVE EDUCATION OFFIC,35.0,00,771,N/U
10064,ADMINISTRATIVE TESTS & MEASURE,35.0,00,180,OSA
10065,ADMINISTRATIVE SCHOOL FOOD SER,35.0,00,771,N/U
10069,HEALTH SERVICES MANAGER,35.0,00,771,N/U
1006A,ADMIN TESTS & MEAS SPEC (MGRL),35.0,00,771,N/U
1006B,ADMINISTRATIVE EDUCATION OFFI,35.0,00,430,N/U
1006C,HEALTH SERVICES MANAGER NON MA,35.0,00,180,OSA
1006D,HEALTH SERVICES MANAGER NON MA,35.0,00,180,OSA
10071,ADMINISTRATIVE HORTICULTURIST,35.0,00,771,N/U
10072,ADMINISTRATIVE PARKS & RECREAT,35.0,00,771,N/U
10073,ADMINISTRATIVE INSPECTOR (BUIL,35.0,00,771,N/U
10074,COMPUTER OPERATIONS MANAGER (S,35.0,00,771,N/U
10076,SUPERVISOR OF ELEVATOR MAINTEN,35.0,00,790,N/U
10077,ADMINISTRATIVE INSPECTOR (ELEC,35.0,00,771,N/U
10078,ADMINISTRATIVE INSPECTOR (HOUS,35.0,00,771,N/U
10079,ADMINISTRATIIVE TAXI & LIMOUSI,35.0,00,771,N/U
1007A,ADM INSPECTOR (BUILDINGS) NM,35.0,00,4,DC37
1007B,ADMIN INSPECTOR (ELECTRICAL)NM,35.0,00,45,IBEW
1007C,ADMINISTRATIVE HORTICULTURIST,35.0,00,4,DC37
1007D,ADMINISTRATIVE PARKS & RECREA,35.0,00,131,DC37
1007E,COMPUTER OPERATIONS MANAGER,35.0,00,129,DC37
10080,ADMINISTRATIVE QUALITY ASSURAN,35.0,00,771,N/U
10081,SUPERINTENDENT OF WATER AND SE,35.0,00,771,N/U
10083,*ADMINISTRATIVE SCHOOLSECURITY,37.5,00,183,N/U
10084,ADMINISTRATIVE  PROGRAM OFFICE,35.0,00,771,N/U
10089,DIRECTOR OF TECHNICAL SERVICES,35.0,00,771,N/U
1008A,*ADMINSTRATIVE SCHOOL SECURITY,35.0,00,771,N/U
1008B,ADMINISTRATIVE QUALITY ASSURAN,35.0,00,97,SEIU
10095,ADMIN CONTRACT SPECIALIST (PYR,35.0,00,771,N/U
10096,ADMINISTRATIVE PRINTING SERVIC,35.0,00,771,N/U
1009A,ADMINISTRATIVE CONTRACT SPECIA,35.0,00,3,DC37
10100,CONFIDENTIAL ASST OFFICE,35.0,00,773,N/U
10101,STUDENT AIDE,35.0,00,992,N/U
10102,COLLEGE ASSISTANT (NO LEAVE AC,35.0,00,128,DC37
10103,EXECUTIVE ASSISTANT,35.0,00,991,N/U
10104,ELIGIBILITY SPECIALIST,35.0,01,128,DC37
10104,ELIGIBILITY SPECIALIST,35.0,02,128,DC37
10104,ELIGIBILITY SPECIALIST,35.0,03,128,DC37
10115,OFFICE ASSISTANT,35.0,00,128,DC37
10115,OFFICE ASSISTANT,40.0,00,128,DC37
10116,COOPERATIVE EDUCATIONAL TRAINE,35.0,00,668,N/U
10117,LEGISLATIVE CLERICAL ASSISTANT,35.0,00,883,N/U
10118,CHIEF OFFICE ASSISTANT,35.0,00,128,DC37
10118,CHIEF OFFICE ASSISTANT,40.0,00,128,DC37
10119,COOPERATIVE EDUCATION TRAINEE,35.0,00,668,N/U
10124,PRINCIPAL ADMINISTRATIVE ASSOC,35.0,01,23,CWA
10124,PRINCIPAL ADMINISTRATIVE ASSOC,35.0,02,23,CWA
10124,PRINCIPAL ADMINISTRATIVE ASSOC,35.0,03,23,CWA
10135,ADMINISTRATIVE CHIEF,35.0,00,679,N/U
10135,ADMINISTRATIVE CHIEF,35.0,00,679,N/U
10136,DEPUTY DIRECTOR OF ADMINISTRAT,35.0,00,772,N/U
10137,"DIRECTOR,CITYWIDE OCCUPATIONAL",35.0,00,772,N/U
10138,CHIEF CLERK,35.0,00,673,N/U
10139,DEPUTY PUBLIC ADMINISTATOR,35.0,00,991,N/U
10140,PRECINCT RECEPTIONIST (PER HOU,35.0,00,128,DC37
10142,DECEDENT PROPERTY AGENT,35.0,00,3,DC37
10144,POLICE ADMINISTRATIVE AIDE,35.0,00,128,DC37
10146,ADMINISTRATIVE ASSISTANT TO TH,35.0,00,773,N/U
10147,SENIOR POLICE ADMINISTRATIVE A,35.0,00,128,DC37
10152,Director of Admin (DSS only),35.0,00,772,N/U
10154,DEPUTY EXECUTIVE DIRECTOR (HA),35.0,00,791,N/U
10158,DEPUTY DIRECTOR OF COUNCIL SER,35.0,00,774,N/U
10159,DIRECTOR OF COUNCIL SERVICES B,35.0,00,774,N/U
10164,EXECUTIVE DIRECTOR OF STANDARD,35.0,00,772,N/U
10173,EXECUTIVE DIRECTOR,35.0,00,773,N/U
10174,ASSISTANT EXECUTIVE DIRECTOR (,35.0,00,791,N/U
10175,EXECUTIVE DIRECTOR (TEACHERS R,35.0,00,773,N/U
10176,EXECUTIVE DIRECTOR (PERSONNEL),35.0,00,780,N/U
10179,EXECUTIVE DIRECTOR (BOE RETIRE,35.0,00,772,N/U
10181,EXECUTIVE DIRECTOR (LABOR RELA,35.0,00,780,N/U
10184,DEPUTY EXECUTIVE DIRECTOR (TEA,35.0,00,772,N/U
10185,ASSISTANT EXECUTIVE DIRECTOR (,35.0,00,772,N/U
10188,EXECUTIVE DIRECTOR (NYC EMPLOY,35.0,00,772,N/U
10189,DEPUTY EXECUTIVE DIRECTOR (NYC,35.0,00,772,N/U
10190,EXECUTIVE DIRECTOR (CITY PLANN,35.0,00,772,N/U
10193,DEPUTY ASSISTANT DIRECTOR (CIV,35.0,00,772,N/U
10194,EXECUTIVE DIRECTOR (CIVILIAN C,35.0,00,773,N/U
10196,DEPUTY EXECUTIVE DIRECTOR (CIT,35.0,00,772,N/U
1019A,DEPUTY ASSISTANT DIRECTOR (NON,35.0,00,180,OSA
10200,DISTRICT MANAGER OF ADMINISTRA,35.0,00,414,CWA
10201,COOPERATIVE EDUCATION TRAINEE-,35.0,00,668,N/U
10202,PRIVATE SECRETARY,35.0,00,991,N/U
10203,SECRETARY TO DISTRICT ATTORNEY,35.0,00,991,N/U
10204,CONFIDENTIAL SECRETARY,35.0,00,128,DC37
10204,CONFIDENTIAL SECRETARY,40.0,00,128,DC37
10208,NEW YORK CITY URBAN FELLOW,35.0,00,660,N/U
10209,COLLEGE AIDE (ALL CITY DEPTS),35.0,01,660,N/U
1020B,COLLEGE AIDE - ASSIGNMENT LEVE,35.0,02,129,DC37
1020B,COLLEGE AIDE - ASSIGNMENT LEVE,35.0,03,129,DC37
10212,REPORTER/STENOGRAPHER,35.0,01,128,DC37
10212,REPORTER/STENOGRAPHER,35.0,02,128,DC37
10212,REPORTER/STENOGRAPHER,35.0,1A,128,DC37
10212,REPORTER/STENOGRAPHER,40.0,01,128,DC37
10212,REPORTER/STENOGRAPHER,40.0,02,128,DC37
10212,REPORTER/STENOGRAPHER,40.0,1A,128,DC37
10214,DEPUTY EXECUTIVE DIRECTOR (CIV,35.0,00,773,N/U
10216,SECRETARY,35.0,00,128,DC37
10216,SECRETARY,40.0,00,128,DC37
10217,STENOGRAPHIC SPECIALIST,35.0,01,23,CWA
10217,STENOGRAPHIC SPECIALIST,35.0,02,23,CWA
