Key_0_0,own_telephone,existing_credits,other_payment_plans,Key_1_2
807,none,1.0,none,5
735,yes,1.0,none,270
134,yes,2.0,none,542
573,yes,1.0,none,919
41,none,1.0,stores,211
515,yes,1.0,none,812
625,yes,2.0,none,380
395,none,1.0,none,168
341,none,1.0,none,798
435,none,1.0,none,498
627,none,1.0,none,417
903,yes,2.0,stores,866
383,none,1.0,none,688
82,none,1.0,none,581
310,yes,1.0,none,341
556,none,2.0,none,738
158,none,1.0,none,533
250,none,1.0,none,521
989,none,1.0,none,284
812,none,1.0,none,331
974,yes,2.0,none,677
90,none,2.0,none,780
739,yes,1.0,bank,207
23,yes,2.0,bank,428
532,none,1.0,none,960
524,none,2.0,none,700
862,none,1.0,none,759
96,yes,1.0,none,279
626,none,2.0,none,94
722,yes,1.0,none,706
45,yes,1.0,none,289
872,none,1.0,none,648
116,none,1.0,none,363
421,none,2.0,none,194
917,none,2.0,none,470
130,yes,1.0,none,963
376,yes,2.0,stores,891
115,none,1.0,bank,720
547,none,2.0,none,488
993,yes,1.0,none,890
790,none,1.0,none,159
126,yes,1.0,bank,918
474,none,1.0,none,487
870,none,1.0,none,882
852,yes,1.0,none,162
498,none,1.0,none,85
9,yes,2.0,none,196
143,none,2.0,none,322
294,none,2.0,none,361
759,yes,1.0,none,520
526,none,2.0,bank,154
232,yes,2.0,bank,201
481,none,2.0,none,255
66,none,1.0,none,608
866,yes,1.0,none,309
64,yes,2.0,none,90
74,none,1.0,none,678
432,yes,1.0,none,750
753,yes,3.0,none,429
904,yes,1.0,none,89
813,yes,2.0,none,112
394,yes,2.0,stores,295
302,none,1.0,none,271
664,none,1.0,none,195
362,yes,2.0,none,790
67,none,1.0,none,320
478,yes,2.0,none,329
222,none,1.0,bank,444
408,none,1.0,none,401
185,none,1.0,none,362
879,none,1.0,none,788
527,none,2.0,none,33
21,none,2.0,none,724
86,yes,1.0,bank,537
680,yes,1.0,none,609
152,none,2.0,none,675
477,none,2.0,none,80
137,none,1.0,none,74
487,none,3.0,none,416
416,none,1.0,none,461
62,yes,2.0,bank,203
543,yes,3.0,none,561
663,yes,2.0,none,199
800,none,1.0,none,556
172,yes,1.0,none,278
662,none,1.0,none,531
566,yes,2.0,none,824
808,none,2.0,none,267
356,none,1.0,none,649
814,yes,1.0,none,939
101,none,1.0,none,874
909,yes,2.0,bank,503
301,none,1.0,bank,83
193,yes,1.0,none,530
682,none,2.0,none,233
584,yes,1.0,none,150
442,none,1.0,none,242
988,yes,1.0,none,769
469,none,2.0,stores,590
434,yes,1.0,none,949
399,none,1.0,none,639
220,none,2.0,none,106
763,yes,1.0,none,477
871,yes,1.0,none,905
28,yes,1.0,none,805
950,none,2.0,none,813
218,yes,1.0,none,14
746,none,1.0,none,544
539,yes,1.0,none,841
306,none,1.0,none,213
613,none,1.0,none,592
413,none,1.0,none,220
239,none,2.0,none,38
791,yes,2.0,stores,239
36,yes,1.0,bank,980
483,yes,1.0,none,985
19,none,2.0,bank,744
765,yes,2.0,none,555
212,yes,2.0,none,617
128,yes,1.0,none,346
778,none,1.0,none,669
298,none,1.0,none,109
711,yes,1.0,none,545
901,none,1.0,none,451
43,none,1.0,none,936
760,none,1.0,none,350
473,none,1.0,bank,888
757,none,1.0,none,538
843,yes,2.0,none,67
786,none,1.0,none,940
858,none,1.0,none,894
801,yes,2.0,none,178
44,none,2.0,none,822
816,yes,1.0,none,253
880,yes,1.0,none,99
230,yes,1.0,none,437
225,yes,1.0,none,529
300,none,1.0,none,715
773,none,1.0,none,258
389,none,2.0,none,77
129,yes,2.0,none,87
285,none,2.0,none,379
495,none,1.0,none,56
956,none,2.0,none,72
40,none,1.0,none,286
845,yes,1.0,none,91
768,none,2.0,none,340
494,none,1.0,none,327
617,yes,2.0,none,156
691,none,1.0,none,53
796,none,1.0,none,956
347,none,1.0,none,536
103,none,2.0,bank,877
653,none,1.0,none,785
898,none,1.0,none,44
287,yes,1.0,none,821
854,yes,1.0,none,684
345,none,1.0,none,922
933,yes,1.0,none,450
228,none,1.0,none,692
666,yes,1.0,none,930
339,yes,1.0,none,360
378,none,2.0,none,974
502,none,1.0,none,615
992,none,2.0,none,299
447,none,1.0,none,748
267,yes,2.0,none,774
785,yes,1.0,none,4
396,none,2.0,none,710
85,none,2.0,none,646
793,none,1.0,none,319
986,none,2.0,none,252
253,none,1.0,none,440
296,none,1.0,none,95
997,none,2.0,none,695
959,none,1.0,none,835
788,none,2.0,none,506
89,none,1.0,none,867
764,yes,1.0,none,404
186,none,2.0,none,135
522,yes,2.0,none,365
516,none,1.0,none,535
636,yes,1.0,none,314
867,none,2.0,none,517
363,none,1.0,none,374
403,yes,1.0,none,825
821,yes,1.0,none,236
649,none,1.0,bank,348
738,none,1.0,stores,224
161,none,1.0,none,227
425,yes,2.0,none,398
221,none,1.0,none,61
581,none,1.0,none,907
548,none,2.0,none,75
576,none,2.0,none,21
6,yes,1.0,none,205
32,none,1.0,bank,130
694,none,1.0,bank,445
269,yes,2.0,none,272
710,none,2.0,none,599
730,none,1.0,bank,489
655,yes,2.0,none,624
787,none,1.0,none,550
774,yes,2.0,none,158
541,none,1.0,stores,578
377,none,2.0,none,650
633,yes,2.0,bank,126
837,none,1.0,bank,689
598,none,2.0,none,663
529,yes,1.0,bank,873
274,none,1.0,bank,208
139,none,1.0,bank,69
455,yes,1.0,none,18
441,yes,2.0,bank,422
745,yes,2.0,none,682
905,none,1.0,none,978
930,none,1.0,none,123
568,yes,2.0,none,510
828,yes,1.0,none,702
887,yes,1.0,none,204
780,none,1.0,none,859
14,yes,1.0,none,532
975,none,1.0,none,906
72,none,2.0,none,423
657,none,2.0,bank,741
333,none,1.0,none,142
102,yes,2.0,none,779
245,none,2.0,none,955
484,none,2.0,none,921
247,none,2.0,bank,784
92,none,2.0,bank,400
109,none,1.0,none,24
156,none,1.0,none,29
733,yes,1.0,none,576
472,none,1.0,bank,483
2,none,2.0,none,405
58,none,1.0,none,834
428,yes,1.0,none,983
718,none,2.0,none,388
56,yes,4.0,none,107
199,yes,2.0,none,705
619,none,1.0,bank,871
806,yes,1.0,none,3
743,yes,1.0,stores,125
628,none,1.0,stores,293
908,none,2.0,none,524
145,yes,3.0,none,238
318,none,2.0,bank,640
519,none,1.0,none,11
892,none,1.0,none,838
354,none,1.0,none,887
464,none,1.0,bank,408
233,yes,1.0,none,635
69,none,1.0,none,527
404,yes,1.0,stores,46
559,yes,1.0,none,954
53,none,1.0,none,226
830,none,1.0,none,776
224,none,1.0,bank,569
776,none,1.0,none,951
321,none,1.0,none,103
456,none,1.0,bank,27
168,none,1.0,bank,161
725,none,1.0,none,305
525,yes,1.0,bank,523
895,none,1.0,none,471
124,none,3.0,none,729
223,none,1.0,none,666
953,none,1.0,none,697
841,none,2.0,none,165
317,none,2.0,bank,655
831,none,1.0,bank,820
703,none,1.0,none,660
911,none,2.0,none,454
454,none,1.0,none,30
582,yes,1.0,none,566
537,none,1.0,none,586
338,yes,2.0,none,369
835,none,1.0,none,375
180,none,1.0,none,621
762,none,1.0,bank,215
549,none,1.0,none,108
508,none,2.0,none,995
437,yes,1.0,none,495
189,yes,3.0,bank,652
11,none,1.0,none,146
463,yes,2.0,none,393
157,none,1.0,none,133
393,yes,2.0,bank,614
457,none,1.0,none,541
853,none,2.0,none,837
615,yes,1.0,none,42
305,yes,2.0,none,184
251,yes,2.0,none,653
165,yes,2.0,none,15
888,none,2.0,none,707
414,none,1.0,none,623
466,none,1.0,bank,64
865,none,1.0,none,641
361,yes,1.0,none,763
981,none,1.0,none,48
240,none,1.0,none,9
561,yes,4.0,none,752
980,yes,2.0,none,427
458,none,1.0,none,839
789,none,1.0,bank,961
214,yes,1.0,stores,39
68,none,2.0,none,990
475,yes,1.0,none,70
731,none,1.0,none,997
276,none,1.0,none,392
724,none,2.0,none,986
501,yes,2.0,stores,611
271,none,1.0,none,148
392,yes,2.0,bank,385
779,yes,1.0,stores,182
61,none,1.0,stores,419
196,yes,2.0,none,145
118,none,1.0,none,827
252,yes,2.0,none,739
687,yes,2.0,none,493
39,yes,1.0,none,140
352,none,1.0,none,333
263,none,1.0,bank,602
678,yes,1.0,none,731
146,yes,1.0,none,664
467,none,1.0,none,198
640,none,1.0,bank,407
839,none,1.0,none,185
327,none,1.0,none,115
875,yes,1.0,none,861
635,none,2.0,bank,276
632,yes,3.0,none,823
587,yes,2.0,none,152
417,yes,1.0,none,745
881,yes,2.0,none,191
948,none,1.0,none,519
851,yes,1.0,none,787
443,none,1.0,none,0
87,none,2.0,none,282
606,none,1.0,none,463
462,none,1.0,none,817
804,none,2.0,none,467
685,yes,1.0,none,50
509,none,1.0,none,938
961,none,2.0,none,850
560,none,1.0,none,864
291,none,2.0,none,263
677,yes,1.0,none,574
696,none,1.0,none,585
826,yes,2.0,none,994
987,yes,1.0,none,248
976,none,2.0,stores,355
260,yes,1.0,none,439
622,none,1.0,none,430
604,none,1.0,none,410
50,none,2.0,none,438
900,none,1.0,none,10
832,none,1.0,none,760
874,yes,2.0,bank,515
609,none,1.0,none,92
641,yes,1.0,none,317
114,none,2.0,none,266
219,yes,1.0,none,377
49,none,2.0,none,354
856,yes,2.0,none,98
676,yes,1.0,none,339
12,yes,2.0,none,869
326,yes,2.0,bank,534
372,yes,2.0,none,32
388,none,1.0,bank,492
207,none,1.0,none,200
744,none,1.0,none,514
919,none,1.0,none,782
838,none,2.0,bank,988
94,none,2.0,none,497
195,none,2.0,bank,114
864,none,1.0,none,240
138,yes,2.0,none,725
110,none,1.0,none,20
750,none,1.0,none,772
966,none,1.0,none,971
781,yes,1.0,none,804
771,none,1.0,none,469
530,none,1.0,bank,366
35,none,2.0,none,844
998,yes,1.0,none,358
629,yes,2.0,none,764
17,none,2.0,none,945
661,none,1.0,bank,754
945,none,1.0,stores,976
514,yes,1.0,none,426
257,yes,1.0,stores,298
480,yes,2.0,none,996
315,none,2.0,bank,136
614,none,1.0,none,397
226,none,1.0,none,570
52,none,1.0,none,857
886,none,1.0,none,786
612,yes,1.0,bank,55
712,none,1.0,none,260
884,none,1.0,none,474
732,none,2.0,none,584
707,none,2.0,none,732
379,none,1.0,none,491
713,none,3.0,none,806
451,yes,2.0,none,508
314,yes,1.0,none,593
135,none,2.0,none,296
729,yes,1.0,none,391
202,none,2.0,none,138
397,none,1.0,none,773
674,yes,1.0,none,153
991,yes,2.0,none,749
960,none,2.0,bank,251
336,none,1.0,none,828
817,none,1.0,none,334
659,yes,3.0,none,800
211,yes,2.0,none,802
147,none,1.0,none,982
603,yes,2.0,none,323
112,yes,1.0,none,504
91,none,2.0,bank,687
499,none,3.0,bank,681
170,none,1.0,none,757
963,yes,2.0,none,753
18,none,1.0,none,336
822,yes,2.0,none,257
969,yes,1.0,none,654
73,none,2.0,none,381
332,yes,1.0,none,151
107,yes,1.0,none,472
784,none,1.0,bank,883
545,yes,1.0,none,959
513,yes,1.0,none,600
855,none,1.0,none,634
488,yes,2.0,none,88
431,none,1.0,none,26
805,yes,1.0,bank,613
277,none,1.0,none,382
248,yes,1.0,none,967
246,none,2.0,none,721
882,none,1.0,none,43
652,yes,1.0,none,512
141,none,1.0,none,775
630,yes,1.0,none,7
518,none,2.0,none,424
517,yes,2.0,none,924
902,none,1.0,none,552
46,none,2.0,none,475
485,yes,2.0,bank,411
893,none,2.0,none,597
599,none,2.0,none,751
286,none,1.0,none,432
105,yes,1.0,none,670
13,none,1.0,none,448
175,none,4.0,none,644
365,yes,1.0,bank,49
702,none,2.0,none,116
113,yes,1.0,none,846
536,none,1.0,bank,387
203,yes,2.0,none,845
200,none,1.0,none,662
80,none,1.0,none,855
648,none,1.0,none,618
59,none,1.0,none,183
850,yes,2.0,none,357
187,none,1.0,none,852
273,none,1.0,bank,485
829,yes,2.0,none,505
81,none,1.0,none,13
555,none,1.0,bank,730
577,none,2.0,none,807
307,yes,2.0,none,620
907,yes,2.0,none,141
47,yes,3.0,bank,931
178,none,2.0,stores,443
971,none,1.0,none,872
174,yes,1.0,none,312
27,yes,2.0,none,583
322,yes,1.0,none,840
650,none,2.0,none,637
489,yes,1.0,none,132
123,none,1.0,none,476
846,none,2.0,bank,816
84,none,1.0,none,394
544,none,1.0,none,143
227,yes,2.0,none,118
861,none,2.0,none,45
809,none,1.0,none,604
658,none,2.0,stores,953
748,none,1.0,none,969
348,yes,1.0,bank,335
337,yes,3.0,bank,587
149,yes,1.0,none,733
644,none,2.0,none,513
937,none,1.0,none,176
205,none,1.0,none,453
899,none,1.0,stores,304
63,none,2.0,bank,579
380,yes,2.0,none,249
708,yes,2.0,none,86
259,none,2.0,none,588
406,yes,2.0,none,155
125,yes,1.0,none,898
705,yes,1.0,none,981
756,yes,1.0,none,326
179,yes,1.0,none,500
695,none,1.0,none,932
947,none,2.0,none,413
242,yes,1.0,none,947
885,yes,1.0,none,433
868,yes,2.0,stores,691
410,none,1.0,bank,324
279,none,1.0,none,737
153,none,1.0,stores,714
946,none,1.0,stores,863
261,none,2.0,none,868
799,none,1.0,none,944
935,yes,2.0,none,481
749,none,2.0,none,582
329,yes,2.0,none,899
465,none,1.0,none,803
51,none,1.0,none,819
965,none,2.0,none,884
292,yes,1.0,bank,415
303,none,1.0,none,658
215,yes,1.0,none,459
916,none,2.0,none,23
448,yes,1.0,none,76
154,yes,1.0,none,308
926,none,2.0,none,853
737,none,2.0,none,777
579,yes,1.0,none,683
985,none,1.0,none,434
155,yes,2.0,none,645
33,yes,1.0,none,259
528,yes,2.0,none,901
121,yes,2.0,bank,352
208,yes,4.0,stores,848
325,yes,2.0,none,797
818,none,2.0,bank,124
98,yes,2.0,none,442
127,yes,2.0,none,17
897,yes,1.0,stores,210
131,yes,1.0,none,166
446,none,1.0,none,353
602,none,1.0,bank,525
847,none,1.0,none,964
667,yes,1.0,bank,449
538,yes,2.0,none,858
268,none,2.0,none,28
26,yes,1.0,none,399
600,yes,1.0,none,911
883,yes,1.0,none,716
503,none,1.0,none,163
29,none,1.0,none,625
313,none,2.0,none,421
304,none,1.0,none,347
569,none,2.0,none,300
360,none,1.0,bank,384
197,none,1.0,none,332
836,yes,1.0,none,174
531,yes,1.0,none,601
534,yes,1.0,bank,815
689,none,1.0,none,172
20,yes,1.0,bank,768
673,none,1.0,none,285
929,yes,1.0,none,680
249,none,2.0,none,547
554,yes,1.0,none,139
923,none,1.0,none,418
962,yes,1.0,none,734
995,yes,1.0,bank,789
231,yes,2.0,bank,712
597,none,1.0,none,765
978,yes,3.0,stores,885
944,yes,1.0,none,466
520,none,2.0,none,934
594,none,1.0,none,610
994,yes,1.0,none,302
939,none,2.0,none,598
967,yes,2.0,none,280
262,none,1.0,bank,406
496,none,2.0,stores,119
4,none,1.0,none,490
934,yes,1.0,none,638
24,none,1.0,none,225
958,yes,2.0,none,878
670,yes,1.0,none,728
359,none,1.0,none,612
169,yes,1.0,stores,879
390,none,3.0,none,630
595,none,1.0,none,929
280,none,2.0,none,303
505,yes,1.0,none,851
353,yes,1.0,none,836
364,none,1.0,none,679
275,none,2.0,none,82
938,yes,3.0,none,795
558,yes,2.0,none,144
546,none,1.0,none,897
422,yes,2.0,none,2
716,yes,1.0,none,627
610,yes,2.0,none,628
119,none,2.0,stores,631
792,none,3.0,none,900
500,none,1.0,none,330
31,none,1.0,none,842
324,none,2.0,none,231
265,none,2.0,none,71
510,none,1.0,none,989
163,yes,2.0,bank,478
583,none,1.0,none,968
358,none,1.0,none,632
878,none,2.0,none,359
10,yes,1.0,bank,218
521,yes,1.0,none,801
255,none,2.0,none,502
355,none,1.0,none,562
150,none,1.0,none,554
747,none,2.0,none,97
309,none,1.0,none,351
562,yes,1.0,none,926
734,none,1.0,none,458
932,none,1.0,none,181
349,none,2.0,none,113
721,none,2.0,none,935
914,none,1.0,none,175
913,none,1.0,none,659
681,yes,1.0,bank,134
204,yes,1.0,bank,288
949,none,1.0,none,551
209,none,2.0,none,567
820,none,2.0,none,180
889,none,2.0,none,915
698,none,1.0,none,59
22,yes,1.0,none,913
601,none,2.0,none,228
433,none,2.0,none,742
371,none,1.0,bank,558
859,none,2.0,none,121
783,yes,1.0,none,102
100,yes,1.0,none,414
438,none,1.0,none,431
243,yes,1.0,none,84
419,none,1.0,none,51
429,yes,1.0,none,694
951,none,1.0,none,948
