Key_1_1,personal_status,age,credit_history
162,male single,63.0,critical/other existing credit
292,female div/dep/mar,60.0,all paid
853,female div/dep/mar,37.0,all paid
402,male mar/wid,34.0,delayed previously
163,male single,36.0,delayed previously
543,male single,57.0,existing paid
138,female div/dep/mar,52.0,critical/other existing credit
789,male single,39.0,existing paid
550,female div/dep/mar,38.0,existing paid
473,female div/dep/mar,25.0,existing paid
599,male single,26.0,existing paid
0,male single,26.0,delayed previously
976,female div/dep/mar,25.0,critical/other existing credit
625,female div/dep/mar,21.0,existing paid
531,male single,40.0,critical/other existing credit
160,male single,27.0,critical/other existing credit
248,female div/dep/mar,27.0,existing paid
966,male mar/wid,30.0,existing paid
260,female div/dep/mar,19.0,existing paid
366,male single,39.0,existing paid
475,female div/dep/mar,31.0,critical/other existing credit
184,male single,31.0,critical/other existing credit
742,male single,32.0,delayed previously
17,female div/dep/mar,55.0,existing paid
485,male mar/wid,46.0,critical/other existing credit
151,male div/sep,46.0,existing paid
334,female div/dep/mar,43.0,critical/other existing credit
590,male mar/wid,39.0,existing paid
454,male mar/wid,28.0,critical/other existing credit
797,male single,27.0,delayed previously
910,male single,27.0,delayed previously
848,male single,43.0,delayed previously
979,male mar/wid,22.0,existing paid
557,male single,43.0,critical/other existing credit
506,male mar/wid,27.0,existing paid
565,male div/sep,26.0,existing paid
393,male mar/wid,28.0,critical/other existing credit
161,female div/dep/mar,20.0,existing paid
387,male single,35.0,critical/other existing credit
299,male single,42.0,critical/other existing credit
934,male single,40.0,existing paid
670,female div/dep/mar,35.0,existing paid
768,male single,35.0,critical/other existing credit
728,male single,33.0,existing paid
613,female div/dep/mar,23.0,delayed previously
846,female div/dep/mar,31.0,existing paid
720,female div/dep/mar,33.0,existing paid
211,female div/dep/mar,20.0,existing paid
174,male single,30.0,existing paid
939,male single,47.0,critical/other existing credit
603,male single,34.0,delayed previously
178,female div/dep/mar,25.0,existing paid
246,male mar/wid,21.0,existing paid
363,male single,29.0,critical/other existing credit
782,male single,46.0,critical/other existing credit
301,male single,20.0,existing paid
137,female div/dep/mar,55.0,critical/other existing credit
306,male single,74.0,existing paid
114,male single,29.0,existing paid
199,male single,36.0,critical/other existing credit
869,male div/sep,33.0,critical/other existing credit
989,male single,25.0,existing paid
3,male mar/wid,25.0,existing paid
622,male mar/wid,23.0,existing paid
36,female div/dep/mar,37.0,critical/other existing credit
894,male single,65.0,critical/other existing credit
14,female div/dep/mar,26.0,all paid
5,male single,39.0,existing paid
679,female div/dep/mar,30.0,existing paid
437,male single,29.0,delayed previously
98,male single,41.0,existing paid
356,female div/dep/mar,30.0,critical/other existing credit
701,female div/dep/mar,41.0,critical/other existing credit
521,female div/dep/mar,34.0,existing paid
771,male single,35.0,existing paid
242,female div/dep/mar,55.0,existing paid
323,male mar/wid,61.0,delayed previously
385,male single,30.0,critical/other existing credit
906,female div/dep/mar,29.0,existing paid
439,male single,34.0,no credits/all paid
29,male single,35.0,existing paid
350,male single,31.0,existing paid
880,female div/dep/mar,29.0,existing paid
97,male single,36.0,critical/other existing credit
761,male single,35.0,existing paid
255,female div/dep/mar,27.0,existing paid
820,male single,32.0,existing paid
331,male single,37.0,existing paid
226,male single,36.0,existing paid
76,female div/dep/mar,34.0,existing paid
605,male single,38.0,existing paid
89,male single,34.0,existing paid
969,male single,63.0,existing paid
189,female div/dep/mar,29.0,delayed previously
835,male single,32.0,delayed previously
164,female div/dep/mar,26.0,delayed previously
8,male single,35.0,delayed previously
224,male mar/wid,22.0,existing paid
63,female div/dep/mar,23.0,existing paid
732,male single,28.0,existing paid
888,male single,36.0,existing paid
955,male mar/wid,33.0,critical/other existing credit
973,female div/dep/mar,26.0,no credits/all paid
217,male single,24.0,existing paid
218,male single,25.0,existing paid
96,male single,39.0,existing paid
750,male single,44.0,critical/other existing credit
376,female div/dep/mar,23.0,critical/other existing credit
345,male single,26.0,existing paid
569,female div/dep/mar,57.0,existing paid
471,female div/dep/mar,30.0,delayed previously
751,male single,44.0,critical/other existing credit
59,male single,47.0,delayed previously
700,male single,52.0,existing paid
716,female div/dep/mar,62.0,existing paid
176,male single,35.0,existing paid
446,male single,26.0,existing paid
737,male single,26.0,critical/other existing credit
168,female div/dep/mar,42.0,no credits/all paid
401,female div/dep/mar,27.0,critical/other existing credit
416,male single,38.0,existing paid
372,male single,39.0,critical/other existing credit
898,male mar/wid,20.0,existing paid
718,male single,29.0,existing paid
55,male single,40.0,critical/other existing credit
361,male mar/wid,32.0,existing paid
551,male div/sep,28.0,critical/other existing credit
294,female div/dep/mar,27.0,existing paid
190,male single,42.0,existing paid
608,male div/sep,49.0,existing paid
527,male single,38.0,critical/other existing credit
462,female div/dep/mar,24.0,existing paid
457,male single,27.0,existing paid
478,male single,36.0,critical/other existing credit
913,male single,34.0,all paid
794,male mar/wid,28.0,existing paid
611,male single,45.0,existing paid
411,male single,26.0,existing paid
504,male single,32.0,existing paid
758,male single,26.0,existing paid
157,male mar/wid,20.0,delayed previously
819,male single,54.0,existing paid
496,female div/dep/mar,37.0,critical/other existing credit
48,male single,40.0,critical/other existing credit
799,female div/dep/mar,23.0,critical/other existing credit
713,male single,43.0,existing paid
258,male single,36.0,critical/other existing credit
412,male single,44.0,critical/other existing credit
42,female div/dep/mar,24.0,existing paid
968,male single,53.0,no credits/all paid
495,female div/dep/mar,23.0,existing paid
418,female div/dep/mar,26.0,existing paid
326,male single,30.0,existing paid
546,female div/dep/mar,31.0,critical/other existing credit
332,male single,42.0,critical/other existing credit
832,male div/sep,31.0,existing paid
172,male single,41.0,existing paid
970,male single,32.0,existing paid
568,female div/dep/mar,28.0,existing paid
528,male mar/wid,41.0,delayed previously
170,male mar/wid,26.0,existing paid
433,male single,25.0,existing paid
51,male div/sep,33.0,critical/other existing credit
56,female div/dep/mar,75.0,existing paid
335,female div/dep/mar,37.0,critical/other existing credit
619,male single,42.0,existing paid
930,female div/dep/mar,45.0,existing paid
542,male mar/wid,23.0,existing paid
544,male single,60.0,delayed previously
352,male single,31.0,existing paid
683,male single,34.0,existing paid
863,male single,61.0,critical/other existing credit
654,male single,43.0,delayed previously
133,female div/dep/mar,37.0,critical/other existing credit
484,male single,32.0,existing paid
795,female div/dep/mar,24.0,all paid
64,male single,35.0,critical/other existing credit
263,female div/dep/mar,23.0,critical/other existing credit
606,male single,45.0,all paid
633,male mar/wid,34.0,existing paid
158,male single,27.0,critical/other existing credit
250,female div/dep/mar,67.0,existing paid
491,male single,22.0,existing paid
383,female div/dep/mar,28.0,no credits/all paid
529,female div/dep/mar,29.0,no credits/all paid
747,male single,27.0,all paid
267,male single,31.0,critical/other existing credit
127,male single,49.0,existing paid
297,male single,24.0,all paid
360,female div/dep/mar,29.0,delayed previously
596,male single,37.0,existing paid
855,male single,37.0,delayed previously
141,female div/dep/mar,23.0,delayed previously
636,male div/sep,36.0,existing paid
891,male single,34.0,critical/other existing credit
902,male single,41.0,existing paid
368,female div/dep/mar,31.0,existing paid
311,female div/dep/mar,23.0,existing paid
961,male single,38.0,critical/other existing credit
254,female div/dep/mar,26.0,existing paid
681,female div/dep/mar,22.0,existing paid
682,male single,27.0,existing paid
282,female div/dep/mar,24.0,critical/other existing credit
204,female div/dep/mar,27.0,existing paid
933,female div/dep/mar,33.0,critical/other existing credit
722,male div/sep,27.0,critical/other existing credit
430,male mar/wid,27.0,existing paid
346,male single,30.0,critical/other existing credit
859,male single,49.0,critical/other existing credit
626,female div/dep/mar,26.0,existing paid
950,male single,33.0,existing paid
959,female div/dep/mar,52.0,existing paid
895,female div/dep/mar,20.0,existing paid
6,male single,36.0,critical/other existing credit
320,male single,21.0,existing paid
11,male mar/wid,47.0,existing paid
666,male single,60.0,critical/other existing credit
630,female div/dep/mar,58.0,critical/other existing credit
287,female div/dep/mar,42.0,delayed previously
779,female div/dep/mar,36.0,existing paid
20,female div/dep/mar,20.0,existing paid
960,male single,40.0,all paid
560,female div/dep/mar,32.0,all paid
494,female div/dep/mar,23.0,existing paid
364,male single,36.0,no credits/all paid
616,male single,31.0,critical/other existing credit
793,male single,32.0,delayed previously
862,female div/dep/mar,45.0,existing paid
941,female div/dep/mar,30.0,existing paid
181,female div/dep/mar,34.0,all paid
943,female div/dep/mar,28.0,existing paid
333,female div/dep/mar,23.0,existing paid
203,male single,22.0,all paid
764,male single,74.0,critical/other existing credit
754,female div/dep/mar,50.0,existing paid
81,male single,33.0,existing paid
18,male single,45.0,existing paid
773,female div/dep/mar,22.0,existing paid
618,female div/dep/mar,48.0,existing paid
357,female div/dep/mar,29.0,existing paid
281,female div/dep/mar,22.0,all paid
842,female div/dep/mar,22.0,delayed previously
962,male single,48.0,no credits/all paid
893,male single,27.0,delayed previously
875,male single,37.0,critical/other existing credit
802,female div/dep/mar,21.0,existing paid
760,male div/sep,49.0,existing paid
288,male single,27.0,critical/other existing credit
804,male single,32.0,critical/other existing credit
767,male div/sep,38.0,existing paid
945,female div/dep/mar,22.0,existing paid
355,male single,65.0,existing paid
774,male single,35.0,existing paid
261,male single,41.0,existing paid
453,male single,29.0,all paid
927,male single,36.0,critical/other existing credit
805,male single,64.0,existing paid
662,female div/dep/mar,28.0,existing paid
374,male single,44.0,all paid
828,male single,23.0,existing paid
461,female div/dep/mar,19.0,existing paid
727,female div/dep/mar,25.0,existing paid
525,male single,47.0,existing paid
743,female div/dep/mar,28.0,existing paid
135,male single,21.0,delayed previously
749,female div/dep/mar,34.0,existing paid
328,male single,26.0,delayed previously
635,female div/dep/mar,27.0,existing paid
474,male single,38.0,existing paid
90,male single,40.0,existing paid
532,male mar/wid,33.0,critical/other existing credit
67,male mar/wid,32.0,critical/other existing credit
482,male single,27.0,delayed previously
644,male div/sep,32.0,no credits/all paid
290,female div/dep/mar,26.0,existing paid
319,male single,38.0,existing paid
822,male single,40.0,existing paid
548,male single,50.0,existing paid
4,male single,37.0,existing paid
999,male single,45.0,existing paid
399,male single,42.0,delayed previously
171,male single,35.0,critical/other existing credit
325,male single,22.0,existing paid
937,male single,41.0,existing paid
816,male single,37.0,existing paid
392,female div/dep/mar,28.0,no credits/all paid
213,male single,41.0,critical/other existing credit
698,male mar/wid,23.0,existing paid
102,male mar/wid,23.0,existing paid
206,male single,50.0,existing paid
303,male single,35.0,delayed previously
47,female div/dep/mar,50.0,critical/other existing credit
502,male single,27.0,critical/other existing credit
378,male single,34.0,all paid
312,female div/dep/mar,27.0,all paid
812,male single,43.0,critical/other existing credit
657,male single,47.0,critical/other existing credit
200,male single,27.0,critical/other existing credit
327,male single,31.0,existing paid
358,male single,42.0,existing paid
573,male mar/wid,24.0,critical/other existing credit
563,male single,41.0,delayed previously
692,female div/dep/mar,26.0,critical/other existing credit
957,male single,33.0,critical/other existing credit
66,male mar/wid,24.0,existing paid
309,male single,64.0,existing paid
556,female div/dep/mar,26.0,existing paid
814,female div/dep/mar,56.0,existing paid
831,male single,37.0,existing paid
497,male mar/wid,33.0,delayed previously
752,male mar/wid,47.0,critical/other existing credit
940,male single,31.0,delayed previously
140,male single,34.0,existing paid
594,male single,27.0,critical/other existing credit
740,male single,30.0,delayed previously
567,male single,35.0,existing paid
289,male single,31.0,existing paid
483,male div/sep,25.0,critical/other existing credit
410,female div/dep/mar,25.0,existing paid
919,male single,29.0,existing paid
256,male single,44.0,critical/other existing credit
362,male single,28.0,existing paid
575,male single,50.0,existing paid
500,male single,29.0,existing paid
922,female div/dep/mar,38.0,critical/other existing credit
53,male single,24.0,critical/other existing credit
95,male single,40.0,existing paid
436,female div/dep/mar,29.0,existing paid
381,male single,46.0,critical/other existing credit
824,female div/dep/mar,47.0,existing paid
947,male single,41.0,delayed previously
588,female div/dep/mar,32.0,existing paid
881,female div/dep/mar,35.0,existing paid
490,male single,24.0,existing paid
792,female div/dep/mar,25.0,no credits/all paid
524,female div/dep/mar,25.0,existing paid
996,male single,37.0,existing paid
673,male single,32.0,critical/other existing credit
609,female div/dep/mar,35.0,all paid
628,male single,46.0,existing paid
65,male single,25.0,critical/other existing credit
688,male single,27.0,existing paid
896,male single,63.0,critical/other existing credit
517,male single,40.0,critical/other existing credit
68,male single,32.0,existing paid
105,male single,31.0,critical/other existing credit
687,male mar/wid,31.0,no credits/all paid
38,male single,34.0,no credits/all paid
876,female div/dep/mar,24.0,all paid
191,female div/dep/mar,24.0,existing paid
396,female div/dep/mar,66.0,existing paid
192,female div/dep/mar,21.0,existing paid
310,female div/dep/mar,41.0,critical/other existing credit
675,male mar/wid,47.0,critical/other existing credit
980,female div/dep/mar,25.0,existing paid
982,female div/dep/mar,59.0,all paid
935,male div/sep,36.0,critical/other existing credit
62,male single,33.0,delayed previously
232,male single,21.0,existing paid
541,female div/dep/mar,44.0,existing paid
815,female div/dep/mar,28.0,existing paid
50,female div/dep/mar,37.0,critical/other existing credit
572,female div/dep/mar,29.0,all paid
533,female div/dep/mar,23.0,existing paid
235,male single,35.0,existing paid
511,male single,45.0,critical/other existing credit
647,female div/dep/mar,26.0,no credits/all paid
445,male single,32.0,all paid
574,male single,23.0,all paid
827,male single,41.0,existing paid
685,male single,22.0,all paid
422,male single,30.0,critical/other existing credit
963,male single,28.0,critical/other existing credit
122,female div/dep/mar,23.0,existing paid
339,female div/dep/mar,37.0,existing paid
407,male single,26.0,existing paid
375,male single,33.0,existing paid
212,female div/dep/mar,49.0,existing paid
998,female div/dep/mar,23.0,existing paid
925,female div/dep/mar,23.0,existing paid
388,female div/dep/mar,25.0,critical/other existing credit
394,male single,55.0,delayed previously
865,female div/dep/mar,32.0,existing paid
195,male single,74.0,critical/other existing credit
94,male single,39.0,critical/other existing credit
887,male single,31.0,existing paid
791,male single,35.0,critical/other existing credit
143,female div/dep/mar,59.0,critical/other existing credit
280,female div/dep/mar,24.0,critical/other existing credit
7,male single,24.0,existing paid
663,male single,30.0,critical/other existing credit
210,male mar/wid,27.0,critical/other existing credit
778,male mar/wid,40.0,existing paid
386,male div/sep,31.0,existing paid
678,female div/dep/mar,31.0,existing paid
936,male single,28.0,critical/other existing credit
367,male single,63.0,critical/other existing credit
641,female div/dep/mar,26.0,existing paid
806,female div/dep/mar,25.0,critical/other existing credit
861,male single,36.0,critical/other existing credit
615,male single,52.0,critical/other existing credit
704,male single,66.0,critical/other existing credit
54,female div/dep/mar,25.0,existing paid
753,male single,37.0,critical/other existing credit
909,female div/dep/mar,25.0,existing paid
91,male single,38.0,critical/other existing credit
856,female div/dep/mar,67.0,existing paid
167,male single,25.0,critical/other existing credit
993,male single,60.0,critical/other existing credit
627,male single,31.0,no credits/all paid
44,female div/dep/mar,23.0,existing paid
850,male div/sep,60.0,existing paid
28,male single,35.0,existing paid
