credit/table_1_2.own_telephone,credit/table_1_2.existing_credits,credit/table_1_2.other_payment_plans,credit/table_1_2.Key_1_2,Key_0_0
yes,1.0,none,63,580
none,2.0,none,814,834
yes,1.0,none,930,666
none,2.0,none,128,589
none,1.0,none,554,150
yes,1.0,none,728,670
none,2.0,none,299,992
none,1.0,none,897,546
none,1.0,none,940,786
none,1.0,none,117,940
yes,2.0,none,869,12
none,1.0,none,658,303
none,2.0,none,202,647
none,1.0,none,186,896
yes,1.0,none,627,716
yes,2.0,none,824,566
yes,2.0,none,144,558
none,1.0,none,581,82
none,1.0,bank,1,504
none,1.0,stores,486,411
none,1.0,none,632,358
yes,2.0,bank,428,23
yes,2.0,none,617,212
yes,1.0,bank,218,10
none,2.0,bank,579,63
yes,1.0,none,439,260
none,2.0,stores,953,658
none,1.0,none,957,840
yes,2.0,none,155,406
none,1.0,bank,324,410
none,2.0,bank,877,103
none,2.0,none,502,255
yes,2.0,none,583,27
none,2.0,none,921,484
yes,1.0,none,801,521
yes,2.0,none,273,430
none,2.0,none,421,313
none,1.0,none,22,83
yes,2.0,bank,411,485
yes,1.0,none,102,783
none,1.0,none,491,379
yes,1.0,none,206,452
yes,2.0,bank,657,120
yes,1.0,none,787,851
yes,1.0,none,987,382
none,1.0,none,788,879
none,1.0,none,401,408
yes,1.0,bank,55,612
none,2.0,none,405,2
none,2.0,none,381,73
yes,1.0,none,140,39
yes,1.0,none,557,335
yes,1.0,none,849,206
yes,1.0,none,188,869
none,2.0,none,255,481
none,2.0,none,303,280
none,1.0,none,771,982
none,2.0,none,990,68
yes,1.0,bank,335,348
none,1.0,none,773,397
none,1.0,none,221,668
none,4.0,none,644,175
yes,1.0,bank,886,402
none,2.0,none,106,220
none,1.0,none,48,981
none,2.0,none,462,979
yes,2.0,none,337,445
none,1.0,none,397,614
none,1.0,none,859,780
none,1.0,none,660,703
none,1.0,none,971,966
yes,2.0,none,797,325
yes,3.0,none,977,706
none,1.0,none,951,776
none,1.0,none,78,244
none,1.0,none,195,664
yes,1.0,bank,916,873
none,1.0,none,26,431
none,1.0,none,541,457
yes,2.0,bank,352,121
none,2.0,none,599,710
yes,2.0,none,645,155
none,1.0,none,715,300
yes,2.0,none,261,38
yes,2.0,none,690,460
yes,2.0,none,32,372
yes,1.0,none,302,994
none,2.0,none,945,17
yes,1.0,none,70,475
none,2.0,none,245,493
none,2.0,none,38,239
none,2.0,none,943,142
yes,1.0,bank,549,507
yes,2.0,none,993,574
none,2.0,none,588,259
none,1.0,none,776,830
none,1.0,none,831,191
none,1.0,none,330,500
none,4.0,bank,594,876
none,1.0,bank,569,224
yes,1.0,none,766,550
none,1.0,none,496,675
yes,1.0,none,520,759
none,1.0,none,301,697
yes,1.0,none,799,3
none,2.0,none,672,201
none,2.0,none,267,808
none,3.0,none,73,88
yes,2.0,none,790,362
none,2.0,none,598,939
none,2.0,bank,251,960
none,1.0,none,163,503
none,2.0,bank,816,846
yes,1.0,none,259,33
none,2.0,none,792,162
yes,2.0,none,393,463
yes,2.0,bank,201,232
yes,1.0,none,959,545
none,1.0,none,982,147
none,1.0,bank,366,530
yes,1.0,none,174,836
yes,1.0,none,306,471
none,2.0,none,837,853
yes,1.0,bank,815,534
none,1.0,none,474,884
none,1.0,none,448,13
yes,1.0,none,680,929
none,2.0,none,454,911
none,1.0,none,819,51
yes,1.0,none,391,729
yes,1.0,none,963,130
none,2.0,none,97,747
yes,1.0,none,450,933
yes,1.0,stores,830,387
none,1.0,bank,485,273
none,1.0,none,874,101
yes,1.0,none,91,845
none,1.0,none,16,990
none,1.0,none,463,606
none,1.0,none,390,293
none,1.0,none,944,799
none,1.0,none,226,53
yes,2.0,none,493,687
yes,1.0,bank,207,739
yes,1.0,bank,134,681
none,1.0,none,969,748
none,1.0,none,455,924
yes,1.0,none,600,513
yes,1.0,none,664,146
yes,1.0,none,281,823
none,1.0,bank,64,466
yes,1.0,none,89,904
none,1.0,bank,525,602
none,1.0,none,760,832
none,1.0,none,168,395
yes,1.0,none,167,344
yes,2.0,none,996,480
none,1.0,none,586,537
none,1.0,none,108,549
none,1.0,bank,912,427
none,2.0,none,700,524
none,2.0,none,194,421
yes,1.0,none,232,540
yes,2.0,none,2,422
none,1.0,none,855,80
none,1.0,none,109,298
none,1.0,none,950,16
none,1.0,none,44,898
yes,2.0,bank,614,393
none,1.0,none,59,698
yes,1.0,none,466,944
yes,1.0,none,716,883
none,1.0,none,697,953
yes,1.0,none,898,125
none,2.0,none,751,599
yes,2.0,none,15,165
none,2.0,none,513,644
none,2.0,none,650,377
none,3.0,none,900,792
yes,2.0,none,779,102
none,1.0,none,775,141
yes,2.0,none,131,284
none,2.0,none,403,688
none,2.0,none,263,291
none,2.0,none,110,106
none,1.0,none,95,296
none,2.0,none,809,450
none,1.0,none,227,161
none,2.0,none,40,972
yes,2.0,none,427,980
yes,4.0,stores,848,208
yes,1.0,none,326,756
none,1.0,none,176,937
none,1.0,none,929,595
yes,1.0,none,804,781
yes,1.0,none,292,42
yes,1.0,none,18,455
none,1.0,bank,892,182
yes,1.0,none,426,514
none,2.0,none,423,72
none,2.0,none,282,87
none,1.0,none,213,306
none,1.0,none,550,787
yes,2.0,none,901,528
yes,3.0,none,244,572
yes,1.0,bank,918,126
yes,1.0,none,512,652
yes,2.0,none,196,9
none,1.0,none,828,336
none,1.0,none,453,205
yes,1.0,none,626,342
none,2.0,none,412,1
yes,3.0,none,800,659
yes,1.0,none,42,615
none,2.0,none,934,520
none,1.0,bank,27,456
yes,2.0,none,764,629
yes,1.0,none,205,6
none,2.0,bank,988,838
yes,3.0,none,823,632
none,1.0,none,984,148
none,1.0,none,432,286
none,2.0,bank,114,195
none,1.0,none,906,975
yes,2.0,none,90,64
none,1.0,none,536,347
yes,1.0,none,925,171
yes,2.0,none,865,557
yes,1.0,none,654,969
none,2.0,none,45,861
yes,2.0,none,35,374
yes,1.0,none,409,968
none,2.0,none,927,57
yes,1.0,none,76,448
none,1.0,none,880,684
none,1.0,none,258,773
yes,1.0,none,504,112
yes,1.0,none,279,96
yes,2.0,none,674,375
none,1.0,bank,444,222
none,1.0,bank,602,263
none,1.0,none,159,790
none,1.0,bank,871,619
none,1.0,none,327,494
yes,3.0,bank,747,241
yes,1.0,none,441,591
none,1.0,none,669,778
none,1.0,none,623,414
yes,2.0,none,881,192
none,1.0,none,181,932
none,2.0,none,646,85
yes,2.0,none,118,227
none,1.0,none,989,510
yes,1.0,none,318,264
yes,2.0,none,845,203
none,1.0,none,810,699
none,2.0,none,8,34
none,1.0,bank,395,824
none,2.0,none,379,285
none,2.0,none,94,626
yes,3.0,none,698,104
yes,1.0,none,153,674
yes,1.0,bank,464,936
yes,1.0,none,967,248
none,1.0,none,372,311
yes,1.0,none,459,215
none,1.0,none,367,571
none,1.0,none,857,52
yes,2.0,bank,534,326
none,1.0,none,782,919
yes,1.0,none,708,942
yes,2.0,none,994,826
none,1.0,none,246,611
none,2.0,none,497,94
none,1.0,none,592,613
yes,1.0,none,805,28
yes,1.0,none,84,243
none,1.0,none,618,648
yes,1.0,none,433,885
none,2.0,none,673,401
none,1.0,none,958,693
none,2.0,none,539,254
none,1.0,stores,578,541
yes,2.0,none,725,138
none,2.0,bank,154,526
yes,1.0,none,248,987
none,1.0,none,350,760
none,1.0,none,13,81
yes,2.0,none,323,603
yes,2.0,none,526,894
yes,2.0,none,682,745
none,2.0,none,488,547
none,1.0,none,170,825
yes,1.0,none,638,934
yes,1.0,bank,288,204
none,1.0,bank,208,274
yes,2.0,none,889,715
yes,3.0,none,250,491
yes,1.0,bank,755,194
none,1.0,none,757,170
none,1.0,none,922,345
none,2.0,none,80,477
yes,1.0,none,905,871
none,2.0,none,738,556
none,1.0,none,895,122
none,1.0,none,41,453
none,1.0,none,353,446
yes,2.0,bank,422,441
none,1.0,none,970,656
yes,2.0,none,753,963
none,1.0,none,229,184
none,2.0,none,832,111
none,1.0,bank,452,761
none,1.0,none,838,892
yes,2.0,stores,891,376
none,2.0,none,767,308
none,1.0,none,991,769
none,1.0,none,604,809
none,2.0,none,121,859
none,2.0,none,707,888
none,1.0,none,852,187
yes,1.0,none,253,816
none,1.0,none,659,913
none,1.0,none,785,653
yes,1.0,none,840,322
none,2.0,none,58,381
none,1.0,none,978,905
none,2.0,none,884,965
none,1.0,bank,69,139
yes,2.0,none,191,881
yes,2.0,bank,762,567
yes,1.0,none,472,107
yes,1.0,none,574,677
none,1.0,none,936,43
yes,1.0,none,861,875
none,1.0,none,692,228
none,1.0,none,908,651
none,1.0,none,451,901
yes,1.0,bank,873,529
yes,1.0,none,981,705
none,1.0,none,570,226
none,1.0,bank,909,646
none,1.0,none,770,357
none,1.0,bank,328,367
yes,1.0,none,841,539
yes,1.0,none,389,592
none,2.0,none,808,229
yes,2.0,none,628,610
none,1.0,none,709,334
none,2.0,none,470,917
yes,1.0,none,670,105
none,1.0,none,271,302
yes,2.0,none,87,129
yes,1.0,bank,189,634
yes,2.0,none,802,211
none,1.0,none,274,60
none,1.0,none,392,276
none,1.0,none,190,234
yes,2.0,stores,611,501
none,2.0,none,582,749
yes,2.0,bank,212,590
none,2.0,none,780,90
yes,1.0,none,778,398
none,1.0,none,544,746
yes,2.0,none,499,412
yes,1.0,none,793,535
yes,1.0,none,985,483
yes,2.0,none,79,671
none,1.0,none,305,725
yes,3.0,none,565,79
none,1.0,none,585,696
yes,2.0,none,283,340
yes,2.0,bank,96,278
none,1.0,none,480,928
none,2.0,none,413,947
yes,1.0,none,278,172
none,1.0,none,580,692
