Key_1_2,savings_status,purpose,credit_amount,duration,checking_status
833,500<=X<1000,radio/tv,1158.0,12.0,0<=X<200
973,<100,repairs,6204.0,18.0,0<=X<200
726,100<=X<500,used car,6187.0,30.0,<0
315,<100,used car,6143.0,48.0,<0
553,<100,new car,1393.0,11.0,no checking
546,500<=X<1000,radio/tv,2299.0,36.0,no checking
925,500<=X<1000,used car,1352.0,6.0,<0
128,<100,new car,7228.0,11.0,no checking
723,100<=X<500,radio/tv,2073.0,12.0,no checking
209,no known savings,furniture/equipment,2333.0,24.0,0<=X<200
484,<100,used car,5965.0,27.0,0<=X<200
372,<100,radio/tv,1262.0,12.0,no checking
849,no known savings,used car,3378.0,18.0,no checking
972,<100,new car,2225.0,36.0,0<=X<200
575,no known savings,new car,783.0,6.0,no checking
746,no known savings,radio/tv,6468.0,12.0,0<=X<200
171,<100,radio/tv,9566.0,36.0,no checking
908,<100,new car,1961.0,18.0,>=200
291,<100,furniture/equipment,6229.0,36.0,<0
157,<100,business,1391.0,9.0,0<=X<200
607,no known savings,radio/tv,1537.0,15.0,0<=X<200
441,<100,business,1953.0,36.0,0<=X<200
122,<100,business,14421.0,48.0,0<=X<200
318,<100,radio/tv,3181.0,24.0,no checking
37,no known savings,repairs,5190.0,27.0,no checking
781,<100,radio/tv,2171.0,12.0,no checking
633,>=1000,new car,1007.0,12.0,0<=X<200
111,<100,education,1819.0,36.0,no checking
696,no known savings,radio/tv,2394.0,36.0,no checking
402,<100,used car,8133.0,36.0,no checking
283,no known savings,radio/tv,730.0,7.0,no checking
735,<100,other,1164.0,8.0,<0
711,<100,business,5954.0,42.0,0<=X<200
386,no known savings,education,1977.0,36.0,<0
479,<100,used car,1526.0,12.0,<0
685,<100,radio/tv,3965.0,42.0,<0
605,<100,radio/tv,4771.0,11.0,0<=X<200
230,no known savings,used car,9436.0,54.0,no checking
277,<100,furniture/equipment,3832.0,30.0,0<=X<200
889,no known savings,radio/tv,5943.0,24.0,no checking
796,500<=X<1000,radio/tv,1213.0,15.0,no checking
717,100<=X<500,business,1568.0,18.0,no checking
378,<100,other,1755.0,24.0,<0
313,<100,radio/tv,2315.0,10.0,<0
131,<100,business,1412.0,12.0,no checking
60,<100,furniture/equipment,1295.0,18.0,0<=X<200
778,100<=X<500,education,12612.0,36.0,0<=X<200
722,100<=X<500,new car,2249.0,18.0,<0
622,<100,repairs,1108.0,12.0,<0
999,<100,radio/tv,618.0,12.0,no checking
895,<100,used car,1409.0,12.0,<0
105,no known savings,radio/tv,797.0,12.0,no checking
743,no known savings,furniture/equipment,3617.0,24.0,>=200
701,>=1000,new car,1318.0,12.0,0<=X<200
292,<100,business,15945.0,54.0,0<=X<200
668,no known savings,education,2012.0,12.0,no checking
941,100<=X<500,business,2622.0,18.0,0<=X<200
984,<100,radio/tv,2337.0,36.0,0<=X<200
212,no known savings,used car,7057.0,20.0,0<=X<200
914,100<=X<500,new car,1469.0,24.0,no checking
338,<100,radio/tv,2323.0,36.0,0<=X<200
580,<100,radio/tv,932.0,6.0,no checking
987,<100,furniture/equipment,1919.0,9.0,0<=X<200
577,no known savings,used car,2445.0,12.0,no checking
526,<100,other,11938.0,24.0,0<=X<200
96,<100,new car,6458.0,18.0,no checking
507,<100,new car,6078.0,12.0,0<=X<200
447,no known savings,furniture/equipment,7721.0,24.0,<0
287,500<=X<1000,business,1410.0,14.0,0<=X<200
811,100<=X<500,business,1449.0,6.0,0<=X<200
206,<100,education,392.0,15.0,>=200
16,<100,new car,6260.0,18.0,0<=X<200
920,<100,new car,7855.0,36.0,no checking
736,500<=X<1000,radio/tv,1680.0,12.0,<0
68,no known savings,radio/tv,3578.0,48.0,no checking
516,no known savings,radio/tv,7174.0,42.0,<0
294,no known savings,furniture/equipment,2132.0,10.0,<0
36,500<=X<1000,furniture/equipment,4281.0,33.0,<0
557,500<=X<1000,new car,2366.0,12.0,0<=X<200
127,<100,radio/tv,1835.0,21.0,<0
79,<100,used car,3868.0,24.0,no checking
301,<100,furniture/equipment,1768.0,12.0,no checking
993,<100,new car,781.0,10.0,>=200
826,no known savings,furniture/equipment,1924.0,18.0,0<=X<200
316,<100,new car,2121.0,12.0,<0
979,<100,radio/tv,701.0,12.0,<0
818,<100,repairs,639.0,12.0,0<=X<200
881,<100,used car,1860.0,12.0,0<=X<200
792,<100,new car,3499.0,12.0,<0
190,no known savings,new car,8487.0,48.0,0<=X<200
219,<100,education,6887.0,36.0,<0
568,<100,furniture/equipment,2708.0,15.0,no checking
876,<100,furniture/equipment,1984.0,18.0,no checking
409,100<=X<500,radio/tv,10144.0,60.0,no checking
34,no known savings,radio/tv,1240.0,12.0,no checking
902,>=1000,used car,8613.0,27.0,no checking
137,500<=X<1000,radio/tv,766.0,12.0,0<=X<200
747,no known savings,radio/tv,2728.0,15.0,0<=X<200
656,<100,radio/tv,1881.0,12.0,>=200
235,>=1000,new car,709.0,6.0,>=200
616,<100,radio/tv,4795.0,36.0,0<=X<200
349,<100,radio/tv,3416.0,27.0,<0
831,<100,furniture/equipment,2462.0,18.0,<0
686,<100,furniture/equipment,2288.0,21.0,no checking
47,100<=X<500,business,3566.0,48.0,0<=X<200
690,<100,new car,860.0,6.0,<0
261,100<=X<500,new car,682.0,12.0,no checking
975,<100,furniture/equipment,5371.0,36.0,<0
903,>=1000,radio/tv,1582.0,18.0,no checking
916,100<=X<500,radio/tv,1346.0,6.0,no checking
188,<100,radio/tv,1924.0,10.0,no checking
22,<100,radio/tv,5848.0,36.0,>=200
740,>=1000,used car,7758.0,24.0,0<=X<200
854,100<=X<500,business,6967.0,24.0,0<=X<200
482,<100,furniture/equipment,1282.0,12.0,<0
8,100<=X<500,repairs,1288.0,9.0,<0
446,<100,retraining,339.0,12.0,<0
756,100<=X<500,new car,3512.0,24.0,0<=X<200
110,no known savings,radio/tv,1898.0,6.0,no checking
389,100<=X<500,radio/tv,2872.0,24.0,no checking
539,<100,new car,1055.0,18.0,no checking
273,500<=X<1000,domestic appliance,1262.0,15.0,no checking
310,<100,new car,7308.0,10.0,0<=X<200
376,500<=X<1000,new car,909.0,36.0,no checking
933,500<=X<1000,furniture/equipment,2978.0,6.0,no checking
991,<100,furniture/equipment,1131.0,18.0,<0
149,>=1000,furniture/equipment,1577.0,11.0,0<=X<200
847,<100,furniture/equipment,3972.0,24.0,no checking
100,<100,business,1935.0,24.0,0<=X<200
40,<100,new car,950.0,15.0,<0
63,<100,furniture/equipment,763.0,12.0,no checking
636,<100,furniture/equipment,2064.0,24.0,0<=X<200
237,<100,radio/tv,1414.0,8.0,0<=X<200
548,<100,education,3414.0,21.0,<0
243,no known savings,used car,7485.0,30.0,no checking
343,<100,furniture/equipment,2577.0,12.0,<0
719,500<=X<1000,radio/tv,338.0,6.0,<0
572,<100,radio/tv,1963.0,12.0,no checking
223,<100,new car,571.0,21.0,<0
31,<100,business,9572.0,36.0,no checking
522,<100,business,4455.0,36.0,0<=X<200
364,no known savings,new car,1647.0,21.0,<0
799,>=1000,furniture/equipment,3777.0,24.0,no checking
19,<100,new car,884.0,18.0,0<=X<200
665,<100,radio/tv,1360.0,15.0,no checking
549,<100,used car,5129.0,9.0,0<=X<200
698,<100,new car,1175.0,16.0,0<=X<200
671,100<=X<500,radio/tv,674.0,12.0,<0
762,<100,furniture/equipment,3244.0,18.0,0<=X<200
179,>=1000,business,4591.0,24.0,no checking
709,100<=X<500,business,3844.0,48.0,0<=X<200
247,<100,business,3915.0,27.0,0<=X<200
952,<100,radio/tv,2108.0,6.0,no checking
957,100<=X<500,radio/tv,3031.0,45.0,0<=X<200
465,<100,education,1501.0,9.0,0<=X<200
297,<100,radio/tv,1382.0,6.0,no checking
594,100<=X<500,furniture/equipment,951.0,12.0,0<=X<200
25,no known savings,used car,2760.0,24.0,0<=X<200
693,<100,furniture/equipment,4297.0,18.0,0<=X<200
35,500<=X<1000,education,936.0,9.0,no checking
958,<100,new car,1168.0,12.0,<0
672,<100,business,5117.0,27.0,no checking
435,<100,retraining,902.0,12.0,<0
6,<100,new car,1495.0,12.0,no checking
250,<100,used car,10623.0,30.0,<0
244,<100,furniture/equipment,1935.0,12.0,no checking
771,<100,domestic appliance,1424.0,12.0,0<=X<200
560,<100,business,6568.0,24.0,<0
325,>=1000,used car,1413.0,12.0,no checking
718,no known savings,radio/tv,3074.0,9.0,no checking
164,no known savings,radio/tv,3835.0,36.0,no checking
862,<100,business,5293.0,27.0,<0
216,<100,business,1908.0,30.0,>=200
793,no known savings,radio/tv,3342.0,36.0,no checking
518,no known savings,retraining,932.0,6.0,0<=X<200
464,<100,business,3104.0,18.0,<0
626,<100,radio/tv,3913.0,36.0,>=200
676,<100,furniture/equipment,3021.0,24.0,<0
306,<100,new car,1364.0,10.0,no checking
192,<100,radio/tv,625.0,12.0,0<=X<200
727,no known savings,education,1200.0,12.0,<0
101,<100,radio/tv,707.0,12.0,no checking
264,no known savings,business,2978.0,24.0,no checking
232,<100,used car,4657.0,15.0,no checking
202,<100,repairs,2613.0,36.0,no checking
657,>=1000,radio/tv,10961.0,48.0,0<=X<200
703,<100,furniture/equipment,7865.0,12.0,<0
62,<100,radio/tv,1478.0,9.0,no checking
1,<100,furniture/equipment,3149.0,24.0,<0
880,<100,radio/tv,4210.0,36.0,>=200
52,500<=X<1000,new car,2507.0,9.0,no checking
390,100<=X<500,radio/tv,2141.0,12.0,no checking
455,<100,radio/tv,866.0,18.0,0<=X<200
928,<100,radio/tv,1544.0,4.0,no checking
564,<100,radio/tv,1823.0,24.0,<0
290,no known savings,new car,14555.0,6.0,0<=X<200
619,100<=X<500,business,2767.0,21.0,0<=X<200
699,<100,radio/tv,1291.0,12.0,no checking
713,<100,radio/tv,2522.0,30.0,<0
892,no known savings,new car,915.0,24.0,<0
229,<100,radio/tv,1595.0,6.0,no checking
403,<100,used car,4605.0,48.0,<0
58,<100,business,1185.0,12.0,no checking
794,500<=X<1000,retraining,3447.0,12.0,no checking
373,<100,business,1258.0,24.0,no checking
73,<100,radio/tv,717.0,12.0,no checking
81,100<=X<500,new car,1204.0,6.0,no checking
571,<100,furniture/equipment,1925.0,24.0,>=200
651,<100,radio/tv,433.0,18.0,no checking
93,>=1000,new car,666.0,6.0,<0
246,<100,furniture/equipment,2251.0,12.0,>=200
909,<100,new car,2150.0,30.0,0<=X<200
462,100<=X<500,furniture/equipment,4151.0,24.0,no checking
356,no known savings,furniture/equipment,2030.0,9.0,0<=X<200
104,no known savings,radio/tv,7418.0,60.0,0<=X<200
595,<100,radio/tv,2684.0,24.0,no checking
629,<100,radio/tv,2149.0,12.0,<0
167,100<=X<500,used car,3812.0,15.0,no checking
321,100<=X<500,radio/tv,1154.0,11.0,no checking
169,<100,furniture/equipment,1657.0,12.0,<0
946,<100,radio/tv,1603.0,24.0,<0
977,<100,new car,5302.0,18.0,<0
606,<100,education,2748.0,12.0,no checking
425,<100,new car,1231.0,10.0,no checking
758,<100,radio/tv,802.0,15.0,0<=X<200
589,no known savings,business,6304.0,36.0,no checking
830,<100,radio/tv,1533.0,24.0,no checking
254,<100,new car,8978.0,14.0,<0
673,no known savings,radio/tv,999.0,24.0,no checking
480,no known savings,new car,2662.0,18.0,no checking
193,500<=X<1000,furniture/equipment,1402.0,12.0,no checking
528,no known savings,new car,12169.0,48.0,0<=X<200
767,<100,radio/tv,3060.0,48.0,0<=X<200
540,<100,repairs,11998.0,30.0,<0
829,<100,radio/tv,2697.0,9.0,no checking
808,<100,radio/tv,2404.0,18.0,no checking
843,no known savings,furniture/equipment,1262.0,12.0,<0
66,<100,furniture/equipment,4611.0,6.0,no checking
766,100<=X<500,radio/tv,1901.0,24.0,no checking
494,>=1000,used car,3368.0,15.0,no checking
643,<100,furniture/equipment,1574.0,12.0,no checking
912,no known savings,radio/tv,1445.0,18.0,>=200
117,no known savings,furniture/equipment,1520.0,15.0,no checking
559,100<=X<500,new car,3878.0,24.0,0<=X<200
923,<100,new car,10722.0,47.0,<0
704,<100,used car,4788.0,48.0,<0
457,100<=X<500,other,7582.0,48.0,0<=X<200
674,<100,radio/tv,1092.0,12.0,0<=X<200
761,<100,radio/tv,1024.0,24.0,<0
473,<100,business,1076.0,12.0,no checking
368,<100,used car,9398.0,36.0,0<=X<200
468,<100,used car,6419.0,24.0,<0
496,<100,used car,4796.0,42.0,>=200
573,no known savings,business,7629.0,48.0,no checking
708,<100,furniture/equipment,9960.0,48.0,0<=X<200
875,no known savings,used car,4675.0,12.0,no checking
78,no known savings,new car,1287.0,10.0,no checking
12,<100,furniture/equipment,2515.0,18.0,no checking
596,>=1000,furniture/equipment,2745.0,21.0,0<=X<200
222,<100,new car,672.0,6.0,no checking
870,<100,radio/tv,3804.0,36.0,0<=X<200
642,no known savings,new car,1344.0,24.0,>=200
337,<100,new car,1038.0,10.0,<0
370,500<=X<1000,new car,10127.0,48.0,no checking
275,>=1000,furniture/equipment,1543.0,6.0,no checking
54,no known savings,used car,4811.0,30.0,no checking
942,100<=X<500,radio/tv,727.0,12.0,<0
274,<100,furniture/equipment,1237.0,8.0,0<=X<200
661,<100,new car,276.0,9.0,0<=X<200
147,no known savings,other,5381.0,48.0,0<=X<200
667,100<=X<500,furniture/equipment,5511.0,24.0,no checking
345,<100,furniture/equipment,3749.0,24.0,>=200
328,<100,new car,685.0,12.0,0<=X<200
420,no known savings,new car,1494.0,4.0,>=200
452,<100,furniture/equipment,2746.0,36.0,<0
214,<100,furniture/equipment,708.0,12.0,<0
281,no known savings,furniture/equipment,4351.0,24.0,0<=X<200
965,<100,education,701.0,12.0,no checking
160,<100,furniture/equipment,3643.0,15.0,<0
860,<100,new car,4249.0,30.0,0<=X<200
177,<100,radio/tv,1938.0,24.0,<0
992,<100,used car,2910.0,24.0,<0
256,>=1000,furniture/equipment,2659.0,18.0,<0
966,<100,new car,1028.0,18.0,no checking
943,<100,new car,3398.0,8.0,<0
501,no known savings,furniture/equipment,5801.0,12.0,no checking
791,>=1000,new car,1525.0,24.0,no checking
383,<100,radio/tv,4473.0,36.0,>=200
65,<100,radio/tv,1068.0,6.0,0<=X<200
499,<100,used car,6615.0,24.0,<0
603,100<=X<500,education,1864.0,18.0,no checking
460,100<=X<500,new car,7408.0,60.0,0<=X<200
904,100<=X<500,used car,11590.0,48.0,no checking
311,<100,furniture/equipment,4110.0,24.0,<0
783,<100,furniture/equipment,3384.0,6.0,<0
120,<100,radio/tv,2101.0,13.0,0<=X<200
367,no known savings,domestic appliance,1275.0,15.0,<0
57,<100,furniture/equipment,4169.0,24.0,<0
41,<100,furniture/equipment,1521.0,10.0,0<=X<200
241,<100,education,5743.0,24.0,0<=X<200
456,<100,furniture/equipment,3599.0,21.0,<0
543,500<=X<1000,radio/tv,3213.0,18.0,0<=X<200
189,<100,business,4439.0,18.0,0<=X<200
197,<100,new car,3949.0,10.0,>=200
970,<100,radio/tv,1459.0,15.0,no checking
647,<100,radio/tv,882.0,13.0,0<=X<200
950,500<=X<1000,radio/tv,3758.0,24.0,0<=X<200
245,100<=X<500,business,1743.0,6.0,no checking
962,>=1000,education,1136.0,9.0,0<=X<200
262,<100,domestic appliance,1236.0,9.0,no checking
5,<100,furniture/equipment,959.0,9.0,0<=X<200
270,no known savings,used car,3229.0,18.0,no checking
542,<100,radio/tv,6199.0,12.0,<0
919,500<=X<1000,education,727.0,10.0,no checking
211,<100,new car,1246.0,24.0,0<=X<200
812,no known savings,radio/tv,2331.0,12.0,no checking
380,<100,radio/tv,4463.0,36.0,no checking
168,<100,radio/tv,776.0,12.0,no checking
798,<100,furniture/equipment,2406.0,30.0,<0
498,no known savings,education,1239.0,18.0,0<=X<200
417,no known savings,radio/tv,3399.0,12.0,>=200
866,<100,new car,2247.0,12.0,>=200
688,<100,furniture/equipment,1766.0,6.0,no checking
581,<100,furniture/equipment,2473.0,18.0,<0
341,<100,business,1542.0,12.0,no checking
738,<100,used car,3850.0,18.0,no checking
533,<100,furniture/equipment,3650.0,18.0,<0
521,<100,furniture/equipment,3446.0,36.0,<0
284,<100,furniture/equipment,3001.0,18.0,0<=X<200
331,no known savings,new car,3079.0,36.0,no checking
677,<100,radio/tv,6070.0,18.0,no checking
780,<100,furniture/equipment,2146.0,10.0,no checking
207,no known savings,new car,13756.0,60.0,no checking
428,100<=X<500,other,14782.0,60.0,0<=X<200
960,<100,business,7685.0,48.0,<0
700,<100,radio/tv,2320.0,18.0,no checking
759,no known savings,radio/tv,846.0,7.0,no checking
279,<100,new car,14318.0,36.0,0<=X<200
94,100<=X<500,new car,362.0,6.0,no checking
706,no known savings,furniture/equipment,2212.0,20.0,<0
289,<100,used car,12976.0,18.0,0<=X<200
648,no known savings,new car,1283.0,22.0,no checking
363,<100,new car,1330.0,12.0,>=200
194,100<=X<500,business,4272.0,30.0,no checking
470,<100,radio/tv,2238.0,18.0,no checking
963,no known savings,radio/tv,1126.0,18.0,no checking
891,<100,furniture/equipment,7374.0,18.0,0<=X<200
720,500<=X<1000,business,2326.0,15.0,0<=X<200
488,<100,business,1449.0,9.0,no checking
890,<100,new car,1820.0,18.0,no checking
159,>=1000,furniture/equipment,983.0,12.0,0<=X<200
918,<100,new car,3249.0,36.0,<0
487,<100,radio/tv,1957.0,6.0,<0
882,<100,furniture/equipment,2406.0,9.0,no checking
162,100<=X<500,education,11760.0,39.0,0<=X<200
85,<100,furniture/equipment,2578.0,12.0,<0
196,<100,furniture/equipment,2348.0,36.0,<0
322,<100,new car,1223.0,12.0,0<=X<200
361,>=1000,radio/tv,1516.0,24.0,no checking
520,<100,radio/tv,1473.0,18.0,no checking
154,no known savings,business,1887.0,18.0,0<=X<200
201,<100,business,8648.0,24.0,no checking
255,<100,new car,802.0,14.0,no checking
608,no known savings,new car,2899.0,18.0,0<=X<200
309,<100,radio/tv,2039.0,24.0,0<=X<200
90,no known savings,used car,2197.0,24.0,no checking
678,<100,radio/tv,1053.0,15.0,<0
750,500<=X<1000,radio/tv,3235.0,24.0,no checking
429,500<=X<1000,new car,939.0,12.0,>=200
89,<100,radio/tv,1967.0,24.0,0<=X<200
112,<100,used car,7253.0,33.0,no checking
295,<100,business,2292.0,12.0,no checking
271,500<=X<1000,new car,1597.0,10.0,no checking
195,no known savings,new car,1381.0,24.0,<0
790,<100,used car,5842.0,36.0,no checking
320,<100,new car,2579.0,12.0,<0
329,no known savings,education,8471.0,18.0,<0
444,500<=X<1000,new car,2782.0,21.0,no checking
401,no known savings,new car,1042.0,18.0,0<=X<200
362,>=1000,new car,3186.0,15.0,no checking
788,no known savings,used car,2028.0,12.0,0<=X<200
33,<100,new car,958.0,12.0,0<=X<200
724,100<=X<500,furniture/equipment,1591.0,21.0,no checking
537,no known savings,furniture/equipment,2762.0,12.0,0<=X<200
609,<100,used car,2779.0,18.0,0<=X<200
675,<100,radio/tv,2743.0,28.0,no checking
80,>=1000,radio/tv,1149.0,18.0,no checking
74,<100,furniture/equipment,1313.0,9.0,no checking
416,<100,repairs,1190.0,18.0,<0
461,<100,business,3448.0,5.0,no checking
203,<100,other,11328.0,24.0,0<=X<200
561,<100,furniture/equipment,1872.0,6.0,<0
199,<100,repairs,2058.0,24.0,no checking
556,<100,furniture/equipment,2136.0,9.0,<0
278,no known savings,radio/tv,1484.0,12.0,0<=X<200
531,500<=X<1000,repairs,660.0,6.0,no checking
824,>=1000,new car,1287.0,24.0,no checking
267,<100,repairs,3394.0,42.0,<0
649,<100,business,609.0,12.0,>=200
939,<100,new car,1884.0,12.0,no checking
874,<100,furniture/equipment,1620.0,12.0,<0
503,<100,other,2629.0,20.0,0<=X<200
83,<100,education,719.0,12.0,no checking
530,<100,furniture/equipment,5096.0,48.0,0<=X<200
233,no known savings,education,1244.0,9.0,no checking
150,<100,new car,1842.0,36.0,<0
242,<100,radio/tv,2576.0,7.0,0<=X<200
769,no known savings,furniture/equipment,1424.0,12.0,>=200
590,>=1000,repairs,1512.0,15.0,0<=X<200
949,no known savings,used car,11054.0,36.0,no checking
639,<100,radio/tv,518.0,6.0,no checking
106,<100,furniture/equipment,2759.0,12.0,no checking
477,<100,used car,2670.0,24.0,no checking
905,<100,new car,4817.0,24.0,<0
805,<100,used car,2679.0,24.0,no checking
813,<100,new car,3905.0,11.0,<0
14,<100,used car,3386.0,12.0,<0
544,<100,domestic appliance,343.0,6.0,<0
841,<100,radio/tv,4594.0,18.0,no checking
213,<100,furniture/equipment,3620.0,36.0,<0
592,<100,new car,1721.0,15.0,<0
220,<100,furniture/equipment,3017.0,12.0,0<=X<200
38,no known savings,retraining,754.0,12.0,0<=X<200
239,<100,business,1950.0,18.0,no checking
980,<100,used car,2924.0,24.0,<0
985,<100,radio/tv,1659.0,24.0,<0
744,no known savings,radio/tv,7238.0,48.0,no checking
555,<100,business,2764.0,33.0,no checking
617,<100,used car,4679.0,24.0,no checking
346,100<=X<500,radio/tv,3092.0,24.0,0<=X<200
669,<100,education,448.0,6.0,<0
109,<100,new car,654.0,9.0,<0
545,no known savings,retraining,1238.0,6.0,no checking
451,<100,radio/tv,1245.0,18.0,0<=X<200
936,<100,furniture/equipment,3114.0,18.0,<0
350,500<=X<1000,used car,2569.0,39.0,no checking
888,<100,radio/tv,5152.0,24.0,>=200
538,100<=X<500,business,1037.0,12.0,0<=X<200
67,<100,furniture/equipment,1478.0,15.0,<0
940,<100,radio/tv,3573.0,12.0,0<=X<200
894,<100,new car,1201.0,24.0,0<=X<200
178,>=1000,furniture/equipment,3622.0,30.0,<0
822,>=1000,furniture/equipment,960.0,15.0,no checking
253,500<=X<1000,new car,1163.0,12.0,no checking
99,<100,new car,1209.0,6.0,0<=X<200
437,<100,radio/tv,3077.0,12.0,no checking
529,<100,new car,3757.0,24.0,no checking
715,100<=X<500,new car,1418.0,10.0,no checking
258,<100,new car,3518.0,6.0,no checking
77,<100,radio/tv,1934.0,12.0,no checking
87,<100,business,8318.0,27.0,0<=X<200
379,100<=X<500,radio/tv,1237.0,6.0,no checking
56,no known savings,radio/tv,368.0,6.0,0<=X<200
72,<100,new car,2122.0,12.0,<0
286,no known savings,furniture/equipment,2996.0,24.0,<0
91,100<=X<500,furniture/equipment,9034.0,36.0,0<=X<200
340,<100,furniture/equipment,1585.0,24.0,no checking
327,<100,radio/tv,1301.0,18.0,0<=X<200
156,100<=X<500,new car,1323.0,6.0,>=200
53,<100,new car,3123.0,24.0,<0
956,<100,used car,5493.0,36.0,<0
536,100<=X<500,radio/tv,1126.0,9.0,>=200
877,100<=X<500,radio/tv,1216.0,24.0,0<=X<200
785,<100,new car,1207.0,24.0,<0
44,no known savings,new car,1309.0,10.0,no checking
821,500<=X<1000,used car,2360.0,15.0,>=200
684,100<=X<500,new car,6850.0,15.0,0<=X<200
922,<100,radio/tv,1413.0,24.0,no checking
450,100<=X<500,used car,8588.0,39.0,no checking
692,<100,new car,759.0,12.0,<0
930,<100,used car,4686.0,36.0,no checking
360,<100,business,2687.0,15.0,>=200
974,<100,radio/tv,585.0,12.0,0<=X<200
615,no known savings,new car,2255.0,24.0,no checking
299,<100,new car,609.0,6.0,<0
748,<100,new car,1361.0,6.0,<0
774,<100,furniture/equipment,7127.0,36.0,no checking
4,100<=X<500,new car,1203.0,6.0,<0
710,no known savings,radio/tv,700.0,6.0,no checking
646,<100,repairs,5507.0,24.0,no checking
319,<100,radio/tv,3190.0,18.0,<0
252,<100,furniture/equipment,7119.0,48.0,<0
440,100<=X<500,used car,3488.0,24.0,no checking
95,<100,radio/tv,1113.0,18.0,0<=X<200
695,<100,used car,7966.0,26.0,0<=X<200
835,100<=X<500,education,1532.0,15.0,no checking
506,<100,radio/tv,1503.0,4.0,no checking
867,<100,radio/tv,2302.0,36.0,<0
404,<100,new car,662.0,6.0,<0
135,<100,education,2273.0,36.0,0<=X<200
365,100<=X<500,new car,2631.0,15.0,0<=X<200
535,<100,used car,1503.0,12.0,no checking
314,100<=X<500,radio/tv,1311.0,24.0,no checking
517,no known savings,radio/tv,3105.0,24.0,no checking
374,<100,education,2319.0,21.0,>=200
825,no known savings,new car,1374.0,6.0,<0
236,<100,furniture/equipment,3612.0,18.0,0<=X<200
348,<100,new car,7763.0,48.0,<0
224,<100,furniture/equipment,3049.0,18.0,>=200
227,<100,radio/tv,1534.0,12.0,0<=X<200
398,<100,new car,2032.0,24.0,no checking
61,no known savings,furniture/equipment,6350.0,30.0,<0
907,<100,furniture/equipment,2864.0,18.0,>=200
75,<100,new car,1255.0,12.0,no checking
21,<100,new car,1333.0,24.0,<0
205,<100,new car,2022.0,24.0,no checking
130,<100,radio/tv,1552.0,24.0,no checking
445,<100,radio/tv,626.0,12.0,<0
272,no known savings,used car,8858.0,48.0,no checking
599,no known savings,repairs,996.0,12.0,no checking
489,500<=X<1000,radio/tv,1750.0,6.0,no checking
624,<100,radio/tv,6999.0,48.0,<0
550,100<=X<500,new car,1995.0,12.0,0<=X<200
158,<100,education,1199.0,9.0,0<=X<200
578,<100,radio/tv,1331.0,12.0,0<=X<200
650,100<=X<500,new car,2278.0,18.0,0<=X<200
126,no known savings,new car,5003.0,21.0,no checking
689,<100,furniture/equipment,3552.0,24.0,<0
663,<100,furniture/equipment,1928.0,18.0,0<=X<200
873,no known savings,used car,2964.0,24.0,<0
208,<100,radio/tv,1546.0,24.0,<0
69,<100,radio/tv,683.0,6.0,>=200
18,no known savings,new car,12389.0,36.0,0<=X<200
422,no known savings,business,4712.0,24.0,0<=X<200
682,100<=X<500,radio/tv,1553.0,24.0,0<=X<200
978,<100,new car,1372.0,12.0,<0
123,>=1000,radio/tv,2578.0,24.0,no checking
510,no known savings,radio/tv,3979.0,48.0,0<=X<200
702,<100,radio/tv,6758.0,48.0,<0
204,<100,furniture/equipment,3234.0,24.0,<0
859,<100,radio/tv,5954.0,30.0,no checking
