credit/table_0_0.class,credit/table_0_0.residence_since,credit/table_0_0.num_dependents,credit/table_0_0.employment,Key_0_0
good,4.0,1.0,1<=X<4,338
good,1.0,1.0,4<=X<7,18
good,2.0,1.0,1<=X<4,287
good,3.0,1.0,<1,497
bad,4.0,1.0,unemployed,880
bad,4.0,1.0,>=7,609
good,4.0,1.0,1<=X<4,54
good,2.0,1.0,>=7,976
good,1.0,1.0,1<=X<4,669
bad,2.0,1.0,1<=X<4,207
good,4.0,1.0,>=7,835
good,4.0,1.0,>=7,941
good,3.0,2.0,1<=X<4,565
bad,2.0,1.0,4<=X<7,604
good,1.0,2.0,4<=X<7,32
good,1.0,1.0,4<=X<7,329
good,4.0,1.0,1<=X<4,516
good,2.0,1.0,4<=X<7,473
good,4.0,2.0,>=7,66
bad,2.0,1.0,unemployed,690
good,2.0,1.0,1<=X<4,78
good,3.0,1.0,unemployed,870
good,3.0,1.0,4<=X<7,185
bad,1.0,1.0,4<=X<7,655
good,2.0,1.0,1<=X<4,26
good,4.0,1.0,>=7,660
good,4.0,2.0,1<=X<4,958
bad,2.0,1.0,1<=X<4,400
bad,1.0,1.0,<1,316
good,2.0,2.0,4<=X<7,897
good,4.0,1.0,1<=X<4,952
bad,4.0,1.0,<1,506
bad,3.0,1.0,1<=X<4,299
good,4.0,1.0,unemployed,621
bad,2.0,1.0,>=7,86
good,4.0,1.0,>=7,810
good,4.0,1.0,<1,449
good,3.0,1.0,4<=X<7,21
bad,3.0,1.0,>=7,247
good,2.0,1.0,>=7,470
good,2.0,1.0,1<=X<4,434
good,4.0,1.0,>=7,970
good,2.0,1.0,1<=X<4,8
good,4.0,1.0,>=7,91
good,2.0,1.0,4<=X<7,409
good,4.0,1.0,1<=X<4,115
good,4.0,1.0,1<=X<4,708
bad,4.0,1.0,>=7,542
good,4.0,1.0,>=7,622
good,2.0,1.0,<1,857
good,2.0,1.0,1<=X<4,728
good,4.0,1.0,>=7,770
good,1.0,1.0,<1,315
good,4.0,1.0,4<=X<7,757
good,1.0,1.0,4<=X<7,288
good,4.0,1.0,1<=X<4,569
bad,4.0,1.0,1<=X<4,200
good,2.0,1.0,1<=X<4,741
good,2.0,1.0,4<=X<7,415
good,2.0,1.0,1<=X<4,246
good,1.0,2.0,4<=X<7,93
good,1.0,1.0,<1,37
good,4.0,2.0,4<=X<7,962
bad,1.0,1.0,<1,691
good,3.0,1.0,<1,312
good,1.0,2.0,<1,433
good,4.0,1.0,unemployed,499
good,2.0,1.0,1<=X<4,585
good,1.0,1.0,1<=X<4,99
good,3.0,1.0,4<=X<7,961
good,2.0,1.0,<1,553
bad,3.0,1.0,1<=X<4,428
bad,1.0,1.0,unemployed,256
bad,1.0,1.0,<1,866
good,3.0,1.0,1<=X<4,909
bad,4.0,1.0,1<=X<4,451
good,4.0,1.0,>=7,419
good,1.0,1.0,1<=X<4,373
good,3.0,2.0,>=7,19
good,1.0,1.0,<1,738
bad,4.0,1.0,1<=X<4,522
bad,4.0,1.0,1<=X<4,223
good,2.0,1.0,4<=X<7,685
good,4.0,1.0,<1,597
good,4.0,1.0,1<=X<4,48
good,2.0,1.0,>=7,860
bad,2.0,2.0,unemployed,854
good,4.0,2.0,<1,447
good,2.0,1.0,1<=X<4,249
good,4.0,1.0,>=7,332
good,4.0,2.0,>=7,492
good,2.0,1.0,4<=X<7,850
good,3.0,1.0,>=7,874
good,3.0,1.0,1<=X<4,635
bad,4.0,1.0,>=7,650
good,2.0,1.0,>=7,785
good,2.0,1.0,1<=X<4,442
bad,2.0,1.0,>=7,915
good,4.0,1.0,>=7,49
good,2.0,1.0,4<=X<7,44
good,1.0,2.0,4<=X<7,568
good,2.0,1.0,1<=X<4,663
good,4.0,1.0,<1,158
good,4.0,1.0,>=7,665
good,4.0,1.0,>=7,523
good,3.0,2.0,<1,157
good,4.0,1.0,unemployed,65
good,1.0,1.0,<1,637
good,4.0,1.0,1<=X<4,435
good,4.0,1.0,>=7,573
good,2.0,2.0,1<=X<4,950
bad,4.0,1.0,<1,533
good,1.0,1.0,1<=X<4,679
bad,2.0,2.0,1<=X<4,426
bad,2.0,2.0,>=7,250
good,4.0,1.0,1<=X<4,154
good,2.0,1.0,1<=X<4,525
good,4.0,2.0,1<=X<4,833
good,4.0,1.0,unemployed,14
good,2.0,1.0,1<=X<4,355
bad,4.0,1.0,>=7,561
bad,2.0,2.0,unemployed,576
good,2.0,1.0,1<=X<4,109
bad,2.0,1.0,<1,508
good,1.0,1.0,1<=X<4,368
good,2.0,1.0,unemployed,392
good,2.0,1.0,1<=X<4,352
bad,4.0,1.0,1<=X<4,472
good,1.0,1.0,<1,465
good,4.0,1.0,4<=X<7,474
good,4.0,1.0,unemployed,973
good,2.0,1.0,1<=X<4,709
bad,4.0,1.0,<1,437
bad,4.0,1.0,<1,985
good,4.0,1.0,>=7,118
bad,4.0,1.0,4<=X<7,532
bad,2.0,1.0,unemployed,394
bad,4.0,1.0,>=7,133
bad,2.0,1.0,1<=X<4,955
bad,2.0,1.0,4<=X<7,318
good,4.0,1.0,1<=X<4,265
good,2.0,1.0,1<=X<4,993
good,4.0,1.0,<1,849
good,1.0,1.0,>=7,385
good,2.0,1.0,1<=X<4,478
good,3.0,1.0,<1,997
bad,4.0,1.0,>=7,218
bad,2.0,1.0,4<=X<7,753
bad,3.0,2.0,>=7,420
good,1.0,1.0,<1,594
bad,3.0,1.0,4<=X<7,996
good,4.0,1.0,<1,740
good,2.0,1.0,unemployed,22
good,1.0,1.0,4<=X<7,554
good,4.0,2.0,>=7,967
good,4.0,1.0,1<=X<4,404
bad,4.0,1.0,1<=X<4,806
bad,4.0,2.0,>=7,321
good,4.0,1.0,>=7,848
bad,4.0,1.0,<1,330
good,4.0,1.0,unemployed,498
good,3.0,1.0,4<=X<7,636
good,4.0,1.0,4<=X<7,282
good,4.0,2.0,1<=X<4,906
good,4.0,2.0,>=7,490
good,1.0,1.0,<1,476
good,3.0,1.0,4<=X<7,768
good,4.0,1.0,<1,292
bad,4.0,1.0,1<=X<4,145
good,1.0,2.0,1<=X<4,713
good,4.0,1.0,>=7,177
good,2.0,1.0,>=7,152
good,2.0,2.0,4<=X<7,575
bad,3.0,1.0,1<=X<4,193
bad,1.0,2.0,<1,67
good,4.0,1.0,4<=X<7,935
good,4.0,1.0,>=7,926
good,2.0,1.0,<1,327
good,4.0,1.0,>=7,30
good,3.0,1.0,4<=X<7,852
bad,4.0,1.0,<1,360
good,4.0,1.0,>=7,882
good,2.0,1.0,>=7,324
good,3.0,2.0,4<=X<7,587
good,1.0,1.0,<1,116
good,4.0,1.0,>=7,119
bad,2.0,1.0,<1,712
bad,1.0,1.0,1<=X<4,639
bad,4.0,1.0,>=7,649
bad,4.0,1.0,1<=X<4,999
bad,2.0,1.0,1<=X<4,701
good,3.0,1.0,1<=X<4,755
good,2.0,1.0,1<=X<4,314
good,2.0,1.0,1<=X<4,297
good,4.0,1.0,>=7,213
bad,2.0,2.0,1<=X<4,949
good,3.0,2.0,<1,5
good,4.0,1.0,>=7,515
good,2.0,2.0,1<=X<4,779
bad,2.0,1.0,1<=X<4,242
good,4.0,1.0,<1,289
bad,3.0,1.0,1<=X<4,62
good,4.0,2.0,>=7,730
good,4.0,1.0,>=7,489
bad,4.0,1.0,4<=X<7,136
good,4.0,1.0,1<=X<4,180
good,4.0,1.0,>=7,166
bad,4.0,1.0,4<=X<7,837
bad,4.0,1.0,1<=X<4,7
bad,2.0,1.0,1<=X<4,831
good,2.0,1.0,<1,727
good,4.0,2.0,>=7,337
good,2.0,1.0,1<=X<4,800
good,4.0,1.0,>=7,842
good,4.0,1.0,>=7,55
good,2.0,1.0,<1,110
bad,4.0,1.0,<1,584
bad,1.0,1.0,4<=X<7,181
good,4.0,1.0,4<=X<7,108
bad,2.0,1.0,unemployed,984
good,4.0,1.0,>=7,225
good,3.0,1.0,<1,71
good,1.0,2.0,4<=X<7,390
good,4.0,1.0,4<=X<7,339
good,3.0,1.0,>=7,907
good,4.0,1.0,1<=X<4,199
good,2.0,1.0,1<=X<4,551
bad,3.0,1.0,4<=X<7,216
good,4.0,2.0,unemployed,711
good,3.0,2.0,<1,804
good,2.0,1.0,1<=X<4,95
good,2.0,2.0,<1,868
good,4.0,1.0,>=7,197
good,4.0,1.0,4<=X<7,989
bad,4.0,1.0,>=7,891
good,4.0,1.0,>=7,151
bad,3.0,2.0,>=7,618
bad,3.0,1.0,>=7,70
good,4.0,1.0,unemployed,951
bad,3.0,1.0,<1,123
bad,4.0,1.0,1<=X<4,35
good,4.0,1.0,>=7,159
bad,4.0,2.0,>=7,301
good,4.0,1.0,4<=X<7,678
bad,2.0,1.0,1<=X<4,563
good,4.0,1.0,4<=X<7,167
bad,2.0,1.0,1<=X<4,878
good,4.0,1.0,>=7,672
bad,3.0,1.0,<1,511
good,4.0,1.0,>=7,855
good,2.0,1.0,<1,418
bad,2.0,1.0,1<=X<4,134
bad,4.0,2.0,4<=X<7,978
good,2.0,1.0,1<=X<4,391
bad,2.0,1.0,<1,128
good,1.0,1.0,1<=X<4,294
good,2.0,1.0,>=7,454
bad,2.0,1.0,unemployed,797
good,2.0,2.0,>=7,802
bad,1.0,1.0,<1,702
bad,4.0,2.0,>=7,277
good,2.0,1.0,unemployed,365
good,2.0,1.0,<1,74
good,4.0,1.0,>=7,821
good,3.0,1.0,4<=X<7,841
good,2.0,1.0,1<=X<4,319
bad,1.0,1.0,unemployed,977
good,1.0,1.0,4<=X<7,323
bad,4.0,1.0,>=7,971
good,1.0,1.0,1<=X<4,61
bad,4.0,2.0,>=7,707
bad,2.0,1.0,1<=X<4,179
good,4.0,1.0,4<=X<7,645
good,4.0,1.0,unemployed,552
bad,4.0,1.0,4<=X<7,464
bad,2.0,1.0,1<=X<4,828
good,4.0,1.0,1<=X<4,257
good,3.0,1.0,<1,140
bad,2.0,1.0,1<=X<4,819
good,1.0,1.0,4<=X<7,459
good,1.0,1.0,1<=X<4,877
good,3.0,1.0,4<=X<7,214
good,1.0,1.0,<1,583
bad,3.0,1.0,1<=X<4,0
good,1.0,1.0,>=7,440
good,2.0,1.0,1<=X<4,895
good,2.0,1.0,1<=X<4,559
bad,1.0,1.0,<1,424
bad,1.0,1.0,1<=X<4,132
bad,3.0,1.0,>=7,135
good,4.0,1.0,>=7,641
good,3.0,1.0,1<=X<4,744
good,4.0,2.0,1<=X<4,417
bad,2.0,1.0,1<=X<4,914
bad,4.0,1.0,<1,267
good,2.0,1.0,4<=X<7,209
good,4.0,1.0,<1,173
good,2.0,1.0,1<=X<4,304
good,1.0,1.0,>=7,890
good,4.0,1.0,4<=X<7,380
good,1.0,1.0,1<=X<4,580
good,4.0,1.0,>=7,834
good,2.0,1.0,1<=X<4,666
good,4.0,1.0,1<=X<4,589
good,4.0,2.0,1<=X<4,150
good,3.0,2.0,<1,670
good,3.0,1.0,4<=X<7,992
bad,4.0,1.0,<1,546
good,1.0,1.0,1<=X<4,786
good,4.0,1.0,>=7,940
good,2.0,1.0,1<=X<4,12
good,2.0,1.0,>=7,303
good,2.0,1.0,1<=X<4,647
good,4.0,1.0,>=7,896
good,4.0,1.0,1<=X<4,716
good,4.0,1.0,>=7,566
bad,1.0,1.0,4<=X<7,558
bad,1.0,1.0,unemployed,82
good,1.0,1.0,<1,504
bad,2.0,1.0,1<=X<4,411
good,1.0,1.0,1<=X<4,358
bad,4.0,1.0,>=7,23
good,3.0,1.0,4<=X<7,212
good,2.0,1.0,>=7,10
bad,2.0,1.0,1<=X<4,63
good,1.0,2.0,<1,260
good,2.0,1.0,1<=X<4,658
bad,4.0,1.0,1<=X<4,840
good,2.0,2.0,>=7,406
bad,2.0,1.0,1<=X<4,410
bad,4.0,2.0,<1,103
good,2.0,2.0,1<=X<4,255
good,2.0,2.0,1<=X<4,27
good,3.0,1.0,<1,484
good,4.0,1.0,4<=X<7,521
good,3.0,1.0,4<=X<7,430
good,2.0,1.0,<1,313
good,1.0,1.0,1<=X<4,83
good,4.0,1.0,>=7,485
good,3.0,1.0,unemployed,783
bad,4.0,1.0,4<=X<7,379
good,4.0,1.0,<1,452
bad,2.0,1.0,4<=X<7,120
good,4.0,1.0,>=7,851
good,3.0,1.0,4<=X<7,382
good,2.0,1.0,1<=X<4,879
bad,2.0,1.0,1<=X<4,408
good,1.0,1.0,>=7,612
good,2.0,2.0,1<=X<4,2
bad,2.0,1.0,4<=X<7,73
good,4.0,1.0,>=7,39
good,3.0,1.0,4<=X<7,335
good,1.0,1.0,1<=X<4,206
good,4.0,1.0,1<=X<4,869
good,2.0,1.0,1<=X<4,481
good,1.0,1.0,<1,280
good,3.0,1.0,4<=X<7,982
good,1.0,1.0,1<=X<4,68
good,4.0,1.0,4<=X<7,348
good,3.0,1.0,1<=X<4,397
good,4.0,1.0,4<=X<7,668
good,4.0,1.0,>=7,175
good,3.0,1.0,1<=X<4,402
good,4.0,1.0,>=7,220
bad,2.0,1.0,1<=X<4,981
good,3.0,1.0,1<=X<4,979
good,3.0,1.0,4<=X<7,445
good,4.0,1.0,unemployed,614
good,2.0,1.0,4<=X<7,780
good,1.0,1.0,<1,703
good,2.0,1.0,4<=X<7,966
good,4.0,1.0,>=7,325
good,4.0,1.0,>=7,706
bad,3.0,1.0,unemployed,776
good,2.0,1.0,>=7,244
bad,2.0,1.0,1<=X<4,664
good,4.0,2.0,>=7,873
bad,4.0,1.0,>=7,431
bad,1.0,1.0,unemployed,457
good,4.0,2.0,<1,121
good,4.0,1.0,4<=X<7,710
good,3.0,2.0,4<=X<7,155
good,2.0,1.0,1<=X<4,300
good,3.0,1.0,4<=X<7,38
good,4.0,1.0,>=7,460
bad,2.0,1.0,<1,372
bad,2.0,1.0,<1,994
bad,4.0,1.0,1<=X<4,17
good,1.0,1.0,>=7,475
good,2.0,1.0,1<=X<4,493
good,4.0,1.0,>=7,239
good,4.0,1.0,4<=X<7,142
bad,4.0,2.0,>=7,507
good,4.0,1.0,>=7,574
bad,4.0,2.0,4<=X<7,259
good,1.0,1.0,<1,830
bad,2.0,1.0,1<=X<4,191
bad,2.0,1.0,1<=X<4,500
bad,4.0,1.0,<1,876
good,4.0,2.0,>=7,224
good,4.0,1.0,1<=X<4,550
good,4.0,1.0,>=7,675
good,4.0,1.0,<1,759
good,2.0,1.0,1<=X<4,697
good,4.0,1.0,1<=X<4,3
good,4.0,1.0,4<=X<7,201
good,4.0,1.0,unemployed,808
good,4.0,1.0,>=7,88
good,2.0,2.0,>=7,362
good,1.0,1.0,1<=X<4,939
good,3.0,1.0,>=7,960
good,2.0,1.0,4<=X<7,503
bad,4.0,1.0,1<=X<4,846
bad,2.0,1.0,1<=X<4,33
bad,2.0,1.0,1<=X<4,162
good,4.0,1.0,4<=X<7,463
bad,2.0,1.0,<1,232
good,4.0,1.0,unemployed,545
good,4.0,1.0,>=7,147
good,2.0,1.0,<1,530
good,2.0,1.0,>=7,836
good,4.0,1.0,1<=X<4,471
good,4.0,1.0,>=7,853
bad,2.0,1.0,1<=X<4,534
good,4.0,1.0,4<=X<7,884
good,3.0,1.0,<1,13
bad,2.0,1.0,>=7,929
bad,4.0,1.0,1<=X<4,911
good,2.0,2.0,1<=X<4,51
good,4.0,1.0,>=7,729
good,2.0,1.0,<1,130
bad,4.0,1.0,unemployed,747
good,2.0,1.0,>=7,933
good,3.0,1.0,<1,387
bad,3.0,1.0,1<=X<4,273
good,3.0,1.0,1<=X<4,101
bad,1.0,1.0,<1,845
good,3.0,1.0,4<=X<7,990
good,2.0,1.0,1<=X<4,606
good,1.0,1.0,4<=X<7,293
good,4.0,1.0,>=7,799
bad,4.0,1.0,1<=X<4,53
good,2.0,1.0,4<=X<7,687
good,4.0,1.0,>=7,739
bad,2.0,1.0,unemployed,681
bad,4.0,1.0,<1,748
good,2.0,1.0,1<=X<4,924
good,2.0,1.0,1<=X<4,513
good,4.0,1.0,>=7,146
good,4.0,1.0,1<=X<4,823
bad,3.0,2.0,4<=X<7,466
good,4.0,1.0,>=7,904
good,4.0,1.0,4<=X<7,602
good,2.0,2.0,1<=X<4,832
good,2.0,1.0,1<=X<4,395
good,4.0,1.0,<1,344
good,4.0,1.0,4<=X<7,480
bad,3.0,1.0,4<=X<7,537
good,1.0,1.0,<1,549
good,4.0,1.0,4<=X<7,427
good,3.0,1.0,unemployed,524
good,2.0,1.0,1<=X<4,421
good,2.0,1.0,1<=X<4,540
bad,2.0,1.0,unemployed,422
bad,4.0,2.0,4<=X<7,80
bad,3.0,1.0,1<=X<4,298
good,4.0,1.0,unemployed,16
bad,4.0,1.0,1<=X<4,898
bad,2.0,2.0,4<=X<7,393
good,4.0,1.0,unemployed,698
good,4.0,1.0,>=7,944
good,2.0,2.0,1<=X<4,883
good,2.0,1.0,1<=X<4,953
good,3.0,1.0,<1,125
good,4.0,1.0,>=7,599
bad,4.0,1.0,<1,165
bad,4.0,1.0,1<=X<4,644
bad,3.0,1.0,<1,377
good,4.0,1.0,>=7,792
good,2.0,1.0,1<=X<4,102
good,4.0,1.0,<1,141
good,2.0,1.0,1<=X<4,284
bad,4.0,2.0,>=7,688
good,2.0,1.0,1<=X<4,291
good,2.0,2.0,1<=X<4,106
good,4.0,2.0,1<=X<4,296
bad,2.0,1.0,<1,450
bad,1.0,1.0,<1,161
bad,3.0,2.0,>=7,972
good,3.0,1.0,4<=X<7,980
good,4.0,2.0,>=7,208
good,2.0,1.0,1<=X<4,756
good,2.0,1.0,<1,937
good,1.0,1.0,<1,595
good,4.0,1.0,1<=X<4,781
bad,4.0,1.0,<1,42
bad,4.0,1.0,1<=X<4,455
bad,2.0,1.0,>=7,182
good,3.0,1.0,>=7,514
good,4.0,1.0,>=7,72
good,3.0,1.0,1<=X<4,87
good,2.0,2.0,1<=X<4,306
good,1.0,1.0,<1,787
good,4.0,1.0,>=7,528
good,4.0,1.0,>=7,572
good,4.0,2.0,4<=X<7,126
good,3.0,1.0,>=7,652
good,2.0,1.0,1<=X<4,9
bad,4.0,1.0,<1,336
good,4.0,1.0,4<=X<7,205
good,2.0,1.0,1<=X<4,342
bad,4.0,2.0,1<=X<4,1
good,4.0,1.0,>=7,659
bad,2.0,1.0,1<=X<4,615
good,2.0,2.0,1<=X<4,520
good,2.0,1.0,<1,456
good,3.0,2.0,4<=X<7,629
good,4.0,1.0,1<=X<4,6
good,2.0,1.0,1<=X<4,838
good,3.0,1.0,<1,632
good,4.0,1.0,>=7,148
good,2.0,1.0,unemployed,286
bad,4.0,1.0,1<=X<4,195
good,4.0,1.0,1<=X<4,975
good,4.0,2.0,4<=X<7,64
good,4.0,1.0,>=7,347
good,2.0,1.0,unemployed,171
good,2.0,1.0,1<=X<4,557
good,4.0,1.0,unemployed,969
good,3.0,1.0,>=7,861
good,2.0,1.0,>=7,374
good,4.0,1.0,4<=X<7,968
good,3.0,1.0,1<=X<4,57
good,3.0,1.0,4<=X<7,448
bad,2.0,1.0,1<=X<4,684
good,3.0,1.0,1<=X<4,773
good,4.0,1.0,>=7,112
bad,2.0,1.0,>=7,96
good,4.0,1.0,1<=X<4,375
good,2.0,1.0,4<=X<7,222
bad,2.0,2.0,<1,263
good,4.0,1.0,<1,790
good,4.0,1.0,>=7,619
good,2.0,1.0,>=7,494
good,2.0,1.0,4<=X<7,241
bad,4.0,1.0,>=7,591
bad,4.0,1.0,<1,778
bad,2.0,1.0,1<=X<4,414
good,2.0,1.0,unemployed,192
good,3.0,1.0,1<=X<4,932
good,4.0,1.0,>=7,85
good,4.0,1.0,>=7,227
good,2.0,1.0,1<=X<4,510
good,4.0,1.0,<1,264
bad,4.0,1.0,4<=X<7,203
good,4.0,1.0,1<=X<4,699
good,4.0,2.0,>=7,34
good,2.0,1.0,>=7,824
good,1.0,1.0,1<=X<4,285
good,4.0,1.0,1<=X<4,626
good,3.0,1.0,unemployed,104
bad,4.0,1.0,>=7,674
good,1.0,1.0,4<=X<7,936
good,4.0,2.0,>=7,248
good,2.0,1.0,1<=X<4,311
bad,2.0,1.0,<1,215
bad,2.0,1.0,1<=X<4,571
good,3.0,1.0,1<=X<4,52
good,4.0,1.0,>=7,326
bad,3.0,1.0,1<=X<4,919
bad,2.0,1.0,<1,942
bad,4.0,1.0,>=7,826
good,2.0,1.0,1<=X<4,611
good,2.0,1.0,1<=X<4,94
good,3.0,1.0,<1,613
good,1.0,1.0,<1,28
good,4.0,1.0,1<=X<4,243
good,2.0,1.0,1<=X<4,648
bad,4.0,1.0,<1,885
good,2.0,1.0,>=7,401
good,3.0,1.0,1<=X<4,693
good,1.0,1.0,<1,254
bad,1.0,1.0,<1,541
good,4.0,1.0,1<=X<4,138
good,4.0,1.0,1<=X<4,526
good,2.0,1.0,>=7,987
good,4.0,1.0,1<=X<4,760
good,1.0,1.0,1<=X<4,81
bad,2.0,1.0,1<=X<4,603
bad,3.0,2.0,1<=X<4,894
good,2.0,1.0,4<=X<7,745
good,2.0,1.0,4<=X<7,547
bad,2.0,1.0,1<=X<4,825
good,3.0,1.0,<1,934
good,1.0,1.0,1<=X<4,204
bad,4.0,1.0,4<=X<7,274
bad,1.0,1.0,<1,715
good,4.0,2.0,>=7,491
good,1.0,1.0,<1,194
bad,4.0,1.0,1<=X<4,170
good,2.0,1.0,1<=X<4,345
good,3.0,1.0,1<=X<4,477
bad,3.0,1.0,4<=X<7,871
good,1.0,1.0,4<=X<7,556
good,3.0,1.0,>=7,122
good,2.0,1.0,1<=X<4,453
good,2.0,1.0,4<=X<7,446
good,2.0,1.0,1<=X<4,441
good,2.0,1.0,1<=X<4,656
good,4.0,1.0,4<=X<7,963
good,2.0,2.0,4<=X<7,184
bad,4.0,1.0,>=7,111
bad,4.0,1.0,>=7,761
good,1.0,1.0,<1,892
good,4.0,1.0,unemployed,376
bad,4.0,1.0,4<=X<7,308
bad,2.0,1.0,unemployed,769
bad,2.0,1.0,4<=X<7,809
good,4.0,1.0,4<=X<7,859
good,2.0,1.0,1<=X<4,888
good,3.0,1.0,unemployed,187
good,4.0,1.0,1<=X<4,816
bad,2.0,1.0,4<=X<7,913
bad,4.0,1.0,<1,653
bad,3.0,1.0,<1,322
good,2.0,1.0,1<=X<4,381
bad,3.0,1.0,4<=X<7,905
good,4.0,1.0,1<=X<4,965
good,1.0,1.0,<1,139
good,2.0,1.0,4<=X<7,881
good,4.0,1.0,1<=X<4,567
good,2.0,1.0,1<=X<4,107
good,4.0,1.0,>=7,677
bad,4.0,1.0,<1,43
good,4.0,1.0,1<=X<4,875
bad,2.0,1.0,4<=X<7,228
good,2.0,1.0,>=7,651
bad,2.0,1.0,1<=X<4,901
good,4.0,2.0,>=7,529
good,3.0,1.0,4<=X<7,705
bad,1.0,1.0,<1,226
bad,2.0,1.0,1<=X<4,646
good,3.0,2.0,1<=X<4,357
bad,3.0,1.0,4<=X<7,367
good,2.0,1.0,<1,539
good,4.0,2.0,>=7,592
good,2.0,1.0,1<=X<4,229
good,4.0,1.0,>=7,610
bad,4.0,2.0,4<=X<7,334
good,1.0,1.0,1<=X<4,917
bad,1.0,1.0,4<=X<7,105
good,2.0,2.0,1<=X<4,302
bad,4.0,1.0,>=7,129
good,1.0,1.0,>=7,634
good,4.0,1.0,>=7,211
bad,4.0,1.0,1<=X<4,60
bad,2.0,1.0,1<=X<4,276
good,2.0,1.0,4<=X<7,234
good,1.0,1.0,unemployed,501
