Key_1_1,property_magnitude,installment_commitment,foreign_worker
719,car,2.0,yes
291,car,2.0,yes
208,real estate,1.0,no
468,car,4.0,yes
405,life insurance,2.0,yes
658,life insurance,1.0,yes
780,car,4.0,yes
883,life insurance,1.0,yes
24,car,4.0,yes
115,life insurance,4.0,yes
581,no known property,2.0,yes
788,car,4.0,yes
640,real estate,4.0,yes
987,real estate,1.0,no
763,life insurance,2.0,yes
344,car,4.0,yes
507,car,4.0,yes
796,car,4.0,yes
173,no known property,2.0,yes
481,real estate,4.0,yes
765,life insurance,4.0,yes
586,car,2.0,yes
197,no known property,3.0,yes
674,real estate,1.0,yes
783,life insurance,2.0,yes
810,car,4.0,yes
106,life insurance,4.0,yes
649,car,4.0,yes
610,no known property,2.0,yes
438,car,1.0,yes
634,real estate,1.0,yes
347,real estate,1.0,yes
264,life insurance,1.0,yes
912,car,4.0,yes
249,real estate,4.0,yes
526,no known property,1.0,yes
270,real estate,1.0,yes
905,no known property,4.0,yes
949,real estate,1.0,yes
222,car,1.0,no
285,no known property,2.0,yes
843,life insurance,4.0,yes
145,no known property,4.0,yes
650,real estate,4.0,yes
428,real estate,1.0,yes
516,car,4.0,yes
229,real estate,4.0,yes
83,real estate,4.0,yes
429,no known property,4.0,yes
992,car,2.0,yes
623,car,2.0,yes
776,life insurance,1.0,yes
549,car,4.0,yes
139,car,2.0,yes
513,car,3.0,yes
467,car,1.0,yes
476,car,4.0,yes
233,real estate,2.0,yes
21,real estate,4.0,yes
188,car,3.0,yes
108,real estate,1.0,yes
162,no known property,2.0,yes
292,no known property,3.0,yes
853,car,2.0,yes
402,real estate,2.0,yes
163,no known property,3.0,yes
543,no known property,4.0,yes
138,car,4.0,yes
789,car,4.0,yes
550,no known property,3.0,yes
473,life insurance,4.0,yes
599,real estate,4.0,yes
0,life insurance,2.0,yes
976,car,2.0,yes
625,real estate,4.0,yes
531,life insurance,4.0,yes
160,car,2.0,yes
248,car,3.0,yes
966,life insurance,2.0,yes
260,real estate,1.0,yes
366,no known property,2.0,yes
475,car,1.0,yes
184,car,2.0,yes
742,no known property,2.0,yes
17,no known property,3.0,yes
485,life insurance,3.0,yes
151,real estate,1.0,yes
334,real estate,4.0,yes
590,real estate,3.0,yes
454,real estate,4.0,yes
797,car,2.0,yes
910,car,4.0,yes
848,car,4.0,yes
979,life insurance,1.0,yes
557,car,4.0,yes
506,real estate,4.0,no
565,car,3.0,yes
393,real estate,4.0,yes
161,car,4.0,yes
387,car,3.0,yes
299,car,4.0,yes
934,no known property,3.0,no
670,life insurance,4.0,yes
768,life insurance,2.0,yes
728,real estate,4.0,yes
613,car,1.0,yes
846,car,1.0,yes
720,life insurance,4.0,yes
211,car,2.0,yes
174,car,4.0,yes
939,real estate,2.0,yes
603,real estate,4.0,yes
178,life insurance,1.0,yes
246,car,1.0,yes
363,car,4.0,yes
782,real estate,4.0,yes
301,car,1.0,yes
137,no known property,2.0,yes
306,real estate,1.0,yes
114,car,2.0,yes
199,no known property,4.0,yes
869,real estate,4.0,yes
989,real estate,3.0,yes
3,real estate,2.0,yes
622,real estate,2.0,yes
36,real estate,4.0,yes
894,car,4.0,yes
14,real estate,4.0,yes
5,car,4.0,yes
679,life insurance,2.0,yes
437,car,2.0,yes
98,car,4.0,yes
356,car,2.0,yes
701,life insurance,4.0,yes
521,car,4.0,yes
771,real estate,2.0,yes
242,real estate,3.0,yes
323,life insurance,3.0,yes
385,car,4.0,yes
906,real estate,3.0,yes
439,life insurance,2.0,yes
29,car,4.0,yes
350,life insurance,2.0,yes
880,no known property,4.0,yes
97,real estate,2.0,yes
761,no known property,3.0,yes
255,real estate,4.0,yes
820,car,3.0,yes
331,life insurance,1.0,yes
226,real estate,2.0,yes
76,real estate,3.0,yes
605,life insurance,4.0,yes
89,car,4.0,yes
969,no known property,3.0,yes
189,car,4.0,yes
835,car,3.0,yes
164,car,2.0,yes
8,car,3.0,yes
224,car,3.0,yes
63,life insurance,4.0,yes
732,car,4.0,yes
888,life insurance,4.0,yes
955,car,4.0,yes
973,life insurance,1.0,yes
217,car,4.0,yes
218,car,4.0,yes
96,real estate,3.0,yes
750,car,4.0,yes
376,real estate,1.0,yes
345,life insurance,4.0,yes
569,life insurance,4.0,yes
471,life insurance,3.0,yes
751,real estate,4.0,yes
59,life insurance,4.0,yes
700,car,2.0,yes
716,no known property,4.0,yes
176,real estate,3.0,no
446,life insurance,2.0,yes
737,no known property,2.0,yes
168,no known property,2.0,yes
401,life insurance,1.0,yes
416,life insurance,4.0,yes
372,real estate,3.0,no
898,car,2.0,yes
718,no known property,4.0,yes
55,life insurance,4.0,yes
361,real estate,4.0,yes
551,car,2.0,yes
294,life insurance,4.0,yes
190,no known property,2.0,yes
608,real estate,2.0,yes
527,no known property,4.0,yes
462,life insurance,4.0,yes
457,life insurance,4.0,yes
478,car,2.0,yes
913,life insurance,1.0,yes
794,life insurance,4.0,yes
611,car,4.0,yes
411,real estate,4.0,yes
504,no known property,2.0,yes
758,life insurance,2.0,yes
157,real estate,4.0,yes
819,life insurance,4.0,yes
496,life insurance,4.0,no
48,real estate,2.0,no
799,life insurance,2.0,yes
713,life insurance,3.0,yes
258,no known property,4.0,yes
412,no known property,3.0,yes
42,real estate,2.0,yes
968,no known property,3.0,yes
495,car,3.0,yes
418,real estate,4.0,yes
326,car,2.0,yes
546,car,4.0,yes
332,real estate,2.0,yes
832,car,4.0,yes
172,real estate,3.0,yes
970,car,3.0,yes
568,car,2.0,yes
528,real estate,4.0,yes
170,life insurance,4.0,yes
433,car,4.0,yes
51,car,2.0,yes
56,life insurance,4.0,yes
335,life insurance,3.0,yes
619,no known property,4.0,yes
930,life insurance,1.0,yes
542,real estate,1.0,yes
544,no known property,4.0,yes
352,life insurance,4.0,yes
683,real estate,2.0,yes
863,real estate,4.0,yes
654,real estate,4.0,yes
133,car,4.0,yes
484,car,3.0,yes
795,real estate,4.0,yes
64,no known property,2.0,yes
263,real estate,4.0,yes
606,life insurance,2.0,yes
633,real estate,1.0,yes
158,car,4.0,yes
250,life insurance,4.0,yes
491,car,2.0,yes
383,car,3.0,yes
529,life insurance,1.0,yes
747,car,3.0,yes
267,real estate,2.0,yes
127,no known property,4.0,yes
297,car,4.0,yes
360,life insurance,2.0,yes
596,no known property,1.0,yes
855,life insurance,4.0,yes
141,life insurance,3.0,yes
636,car,2.0,yes
891,car,2.0,yes
902,car,4.0,yes
368,car,3.0,yes
311,real estate,4.0,yes
961,car,3.0,yes
254,life insurance,2.0,yes
681,life insurance,4.0,yes
682,car,4.0,yes
282,car,2.0,yes
204,real estate,2.0,yes
933,car,3.0,yes
722,car,4.0,yes
430,car,4.0,yes
346,real estate,3.0,yes
859,real estate,1.0,yes
626,real estate,4.0,yes
950,no known property,4.0,yes
959,no known property,4.0,yes
895,real estate,1.0,yes
6,real estate,2.0,yes
320,life insurance,4.0,yes
11,real estate,4.0,yes
666,life insurance,3.0,yes
630,real estate,4.0,yes
287,car,4.0,yes
779,real estate,4.0,yes
20,life insurance,3.0,yes
960,car,4.0,yes
560,life insurance,1.0,yes
494,car,4.0,yes
364,real estate,1.0,yes
616,life insurance,2.0,yes
793,no known property,1.0,yes
862,real estate,1.0,yes
941,life insurance,4.0,yes
181,no known property,4.0,yes
943,car,4.0,yes
333,life insurance,4.0,yes
203,real estate,4.0,yes
764,real estate,3.0,yes
754,no known property,4.0,yes
81,real estate,4.0,yes
18,no known property,4.0,yes
773,life insurance,4.0,yes
618,no known property,1.0,yes
357,car,4.0,yes
281,car,1.0,no
842,real estate,4.0,yes
962,car,2.0,yes
893,no known property,2.0,yes
875,real estate,1.0,yes
802,car,2.0,yes
760,real estate,4.0,yes
288,life insurance,2.0,yes
804,life insurance,3.0,yes
767,real estate,4.0,yes
945,car,4.0,yes
355,no known property,4.0,yes
774,car,4.0,yes
261,real estate,2.0,yes
453,no known property,2.0,yes
927,real estate,4.0,yes
805,real estate,1.0,yes
662,car,2.0,yes
374,car,4.0,yes
828,life insurance,4.0,yes
461,car,2.0,yes
727,car,3.0,yes
525,life insurance,4.0,yes
743,car,4.0,yes
135,car,2.0,yes
749,car,4.0,yes
328,life insurance,3.0,yes
635,real estate,4.0,yes
474,car,4.0,yes
90,life insurance,3.0,yes
532,car,4.0,yes
67,life insurance,4.0,yes
482,car,4.0,yes
644,real estate,2.0,yes
290,life insurance,2.0,yes
319,no known property,4.0,yes
822,car,4.0,yes
548,no known property,4.0,yes
4,life insurance,4.0,yes
999,real estate,4.0,yes
399,car,2.0,yes
171,car,4.0,yes
325,no known property,1.0,yes
937,car,4.0,yes
816,car,4.0,yes
392,car,2.0,yes
213,no known property,2.0,yes
698,real estate,3.0,yes
102,car,4.0,yes
206,real estate,4.0,yes
303,life insurance,4.0,yes
47,life insurance,2.0,yes
502,no known property,4.0,yes
378,car,4.0,yes
312,real estate,1.0,yes
812,life insurance,3.0,yes
657,life insurance,4.0,yes
200,life insurance,3.0,yes
327,car,2.0,yes
358,life insurance,2.0,yes
573,car,1.0,yes
563,real estate,4.0,yes
692,car,4.0,yes
957,car,4.0,yes
66,car,2.0,yes
309,real estate,4.0,yes
556,real estate,3.0,yes
814,no known property,1.0,yes
831,no known property,4.0,yes
497,real estate,4.0,yes
752,no known property,3.0,yes
940,life insurance,1.0,yes
140,no known property,4.0,yes
594,life insurance,4.0,yes
740,no known property,4.0,yes
567,car,3.0,yes
289,life insurance,1.0,yes
483,life insurance,2.0,yes
410,real estate,3.0,yes
919,car,2.0,yes
256,real estate,1.0,yes
362,car,4.0,yes
575,life insurance,2.0,yes
500,real estate,4.0,no
922,life insurance,1.0,yes
53,car,4.0,yes
95,car,4.0,yes
436,car,4.0,yes
381,no known property,4.0,yes
824,no known property,4.0,yes
947,life insurance,4.0,yes
588,life insurance,4.0,yes
881,no known property,1.0,yes
490,life insurance,3.0,yes
792,life insurance,4.0,yes
524,real estate,4.0,yes
996,real estate,2.0,yes
673,life insurance,4.0,yes
609,no known property,4.0,yes
628,real estate,4.0,yes
65,real estate,4.0,yes
688,no known property,4.0,yes
896,car,1.0,yes
517,car,3.0,yes
68,no known property,4.0,yes
105,car,3.0,yes
687,car,3.0,yes
38,car,4.0,yes
876,life insurance,4.0,yes
191,real estate,4.0,yes
396,real estate,4.0,yes
192,real estate,3.0,yes
310,real estate,2.0,yes
675,life insurance,2.0,yes
980,car,4.0,yes
982,no known property,4.0,yes
935,real estate,2.0,yes
62,car,1.0,yes
232,real estate,2.0,yes
541,real estate,4.0,yes
815,car,2.0,yes
50,real estate,1.0,yes
572,no known property,3.0,yes
533,car,1.0,yes
235,car,3.0,yes
511,no known property,1.0,yes
647,car,4.0,yes
445,car,2.0,yes
574,real estate,4.0,yes
827,life insurance,4.0,yes
685,real estate,4.0,yes
422,life insurance,4.0,yes
963,life insurance,3.0,yes
122,car,1.0,yes
339,real estate,3.0,yes
407,car,1.0,yes
375,car,2.0,yes
212,life insurance,2.0,yes
998,car,1.0,yes
925,real estate,2.0,yes
388,car,4.0,yes
394,no known property,4.0,yes
865,no known property,4.0,yes
195,real estate,1.0,no
94,no known property,3.0,yes
887,real estate,2.0,yes
791,life insurance,4.0,yes
143,car,1.0,yes
280,real estate,4.0,yes
7,life insurance,4.0,yes
663,no known property,4.0,yes
210,life insurance,4.0,yes
778,real estate,3.0,yes
386,life insurance,2.0,yes
678,real estate,1.0,yes
936,car,1.0,yes
367,real estate,2.0,yes
641,real estate,2.0,yes
806,no known property,3.0,yes
861,car,1.0,yes
615,life insurance,4.0,yes
704,no known property,2.0,yes
54,real estate,4.0,yes
753,car,4.0,yes
909,real estate,4.0,yes
91,car,4.0,yes
856,car,2.0,yes
167,real estate,2.0,yes
993,real estate,4.0,yes
627,real estate,2.0,yes
44,life insurance,4.0,yes
850,real estate,1.0,yes
28,life insurance,4.0,yes
803,car,3.0,yes
829,car,4.0,yes
456,no known property,4.0,yes
916,no known property,4.0,yes
539,life insurance,2.0,yes
15,car,3.0,yes
614,life insurance,1.0,yes
985,no known property,3.0,yes
318,no known property,4.0,yes
648,life insurance,2.0,yes
286,life insurance,1.0,yes
651,life insurance,2.0,yes
600,car,4.0,yes
591,real estate,4.0,yes
435,no known property,4.0,yes
71,real estate,3.0,yes
748,life insurance,1.0,yes
444,car,4.0,yes
554,real estate,1.0,yes
536,car,2.0,yes
901,real estate,3.0,no
510,real estate,4.0,yes
837,no known property,1.0,yes
762,real estate,2.0,yes
669,real estate,3.0,yes
715,real estate,3.0,yes
577,car,4.0,yes
540,car,3.0,yes
307,no known property,4.0,yes
538,life insurance,2.0,yes
946,real estate,1.0,yes
870,car,1.0,yes
193,car,2.0,yes
872,real estate,4.0,yes
448,real estate,3.0,yes
460,car,3.0,yes
159,life insurance,2.0,yes
353,real estate,4.0,yes
988,car,3.0,yes
693,car,4.0,yes
964,real estate,1.0,yes
305,car,2.0,yes
406,no known property,3.0,yes
186,no known property,4.0,yes
120,car,4.0,yes
545,car,4.0,yes
561,car,2.0,yes
566,car,2.0,yes
733,real estate,2.0,yes
809,car,4.0,yes
22,car,4.0,yes
75,real estate,1.0,yes
739,life insurance,4.0,yes
562,real estate,4.0,yes
744,life insurance,4.0,yes
458,real estate,3.0,yes
995,real estate,4.0,yes
709,car,4.0,yes
604,life insurance,4.0,yes
920,car,2.0,yes
202,car,2.0,yes
321,real estate,4.0,yes
515,real estate,3.0,yes
879,real estate,4.0,yes
967,life insurance,4.0,no
878,life insurance,3.0,yes
857,no known property,4.0,yes
107,no known property,4.0,yes
116,car,2.0,yes
46,real estate,4.0,yes
234,life insurance,4.0,yes
123,no known property,4.0,yes
555,life insurance,3.0,yes
890,real estate,1.0,no
808,real estate,4.0,yes
150,car,4.0,yes
253,real estate,4.0,yes
117,real estate,4.0,yes
169,real estate,2.0,yes
620,car,2.0,yes
665,car,4.0,yes
198,life insurance,2.0,yes
466,life insurance,3.0,yes
645,life insurance,4.0,yes
271,car,2.0,yes
652,real estate,1.0,no
646,real estate,4.0,yes
834,real estate,4.0,yes
655,life insurance,2.0,yes
434,car,4.0,yes
951,no known property,3.0,yes
26,car,4.0,yes
88,no known property,3.0,yes
35,life insurance,2.0,yes
300,car,3.0,yes
295,no known property,2.0,yes
535,real estate,4.0,yes
952,car,4.0,yes
931,car,3.0,yes
349,life insurance,4.0,yes
296,no known property,4.0,yes
449,car,2.0,yes
283,car,4.0,yes
317,real estate,3.0,yes
479,car,4.0,yes
729,car,4.0,yes
721,life insurance,4.0,no
523,car,3.0,yes
653,life insurance,4.0,yes
336,car,3.0,yes
442,life insurance,4.0,yes
769,life insurance,3.0,no
153,real estate,1.0,yes
440,car,2.0,yes
661,life insurance,2.0,yes
9,real estate,2.0,yes
113,no known property,2.0,yes
450,real estate,4.0,yes
464,real estate,4.0,yes
907,real estate,2.0,yes
322,real estate,2.0,no
637,car,2.0,yes
452,life insurance,1.0,yes
981,real estate,1.0,yes
852,real estate,4.0,yes
414,car,2.0,yes
864,car,2.0,yes
660,real estate,1.0,yes
631,life insurance,4.0,yes
974,life insurance,1.0,no
592,real estate,1.0,yes
424,no known property,1.0,yes
32,life insurance,1.0,yes
92,life insurance,4.0,yes
13,no known property,4.0,yes
371,car,4.0,yes
518,life insurance,3.0,yes
315,life insurance,3.0,yes
711,life insurance,2.0,yes
101,car,4.0,yes
755,life insurance,4.0,yes
304,no known property,4.0,yes
583,car,4.0,yes
900,real estate,4.0,yes
129,life insurance,4.0,no
886,car,4.0,yes
971,real estate,3.0,yes
904,life insurance,4.0,yes
638,car,4.0,yes
391,no known property,4.0,yes
639,real estate,3.0,yes
39,car,4.0,yes
873,no known property,4.0,yes
777,life insurance,2.0,yes
239,life insurance,2.0,yes
918,real estate,3.0,no
707,car,4.0,yes
994,real estate,2.0,yes
93,life insurance,4.0,yes
152,car,1.0,yes
714,no known property,4.0,yes
380,no known property,4.0,yes
868,life insurance,4.0,yes
593,car,2.0,yes
148,car,3.0,yes
734,car,2.0,yes
926,car,3.0,yes
786,car,4.0,yes
790,life insurance,4.0,yes
109,life insurance,4.0,yes
60,life insurance,4.0,yes
132,real estate,2.0,yes
420,car,3.0,yes
337,no known property,4.0,yes
717,real estate,2.0,yes
986,life insurance,1.0,yes
667,no known property,3.0,yes
61,car,3.0,yes
112,life insurance,3.0,yes
811,car,4.0,yes
607,life insurance,4.0,yes
932,car,4.0,yes
602,life insurance,2.0,yes
266,real estate,1.0,yes
183,real estate,4.0,yes
259,life insurance,1.0,yes
57,no known property,1.0,yes
221,no known property,4.0,yes
238,car,4.0,yes
74,car,3.0,yes
766,real estate,2.0,yes
19,life insurance,4.0,yes
27,car,4.0,yes
840,life insurance,2.0,yes
632,life insurance,2.0,yes
677,car,3.0,yes
247,car,1.0,yes
948,life insurance,2.0,yes
130,life insurance,2.0,yes
798,life insurance,4.0,yes
530,life insurance,2.0,yes
702,real estate,2.0,yes
553,no known property,4.0,yes
225,life insurance,4.0,yes
144,life insurance,2.0,yes
223,car,4.0,yes
867,car,2.0,yes
787,life insurance,4.0,yes
486,car,4.0,yes
621,real estate,3.0,yes
978,life insurance,4.0,yes
216,car,4.0,yes
953,no known property,4.0,yes
706,car,3.0,yes
