V19,V24,V25,V26,V3,V4,V5,V6,V7,V8,V9
0.6154,1.2305,0.5294,-0.133,161967,161984,103,13,17,11430,97
0.7273,0.8451,-0.125,-0.216,126951,126958,40,11,7,4014,89
0.0645,2.776,0.9481,-0.2153,417618,418215,10914,481,604,1096282,21
0.6667,1.2041,0.25,-0.3683,33796,33812,135,18,16,10915,55
0.6429,1.2041,0.4375,-0.0972,638468,638484,114,14,17,13173,94
0.5385,1.301,0.65,-0.0786,837868,837888,82,13,20,9671,106
0.6316,1.5051,0.625,-0.1765,3496093,3496125,275,19,32,28986,78
0.44,1.5563,0.6944,-0.1313,3980733,3980769,289,25,36,32134,92
0.4167,1.5911,0.6154,-0.1263,4178002,4178041,313,36,39,35005,68
0.3611,1.716,0.75,-0.1976,4383724,4383776,437,36,52,44883,63
0.3778,1.8389,0.7536,-0.3003,132507,132576,759,45,69,67978,44
0.2955,1.8261,0.806,-0.2199,273320,273387,677,44,67,67597,72
0.7222,1.3424,0.4091,-0.3402,31580,31602,211,18,22,17820,49
1.0,0.8451,-0.2222,-0.2414,106512,106519,52,9,7,5049,87
0.4643,1.4624,0.5517,-0.1541,2425687,2425716,261,28,29,28261,91
0.4444,1.415,0.6923,-0.1097,367429,367455,135,18,26,15385,103
0.2414,1.6335,0.8372,-0.1253,1044544,1044587,181,29,43,20264,99
0.5333,1.2787,0.5789,-0.1247,1246698,1246717,109,15,19,12212,100
0.7273,1.2041,0.5,-0.128,2670756,2670772,102,11,16,11385,95
0.875,1.0792,0.4167,-0.081,2928247,2928259,51,8,12,5999,111
0.7692,1.3222,0.5238,-0.2213,3375744,3375765,134,13,21,13356,89
0.6087,1.4472,0.5,-0.279,1280228,1280256,266,23,28,24547,49
0.2105,2.0128,0.8835,-0.2146,333332,333435,970,57,103,97514,66
0.4063,1.7559,0.7719,-0.3686,562576,562633,515,32,57,41622,46
0.5882,1.1761,0.3333,-0.215,719009,719024,116,17,15,11656,71
0.1438,2.2945,0.8934,-0.112,1837263,1837460,2490,146,197,283038,19
0.5909,1.4472,0.5357,-0.1269,2094748,2094776,251,22,28,28050,89
0.5454,1.3802,0.5,-0.1126,2124816,2124840,165,22,26,18742,87
0.5625,1.2305,0.4706,-0.2021,1959035,1959052,112,16,17,11439,84
0.4583,1.5051,0.6563,-0.1557,552783,552815,208,24,32,22478,84
0.5,1.5441,0.6286,-0.2262,702370,702405,337,26,35,33379,68
0.375,1.4472,0.6786,-0.5528,150712,150740,167,24,28,9559,23
0.375,1.5051,0.7188,-0.1527,188768,188800,200,24,32,21691,90
0.2069,1.9243,0.9286,-0.5816,247330,247414,359,29,84,19226,30
0.2121,1.8451,0.9,-0.4471,297096,297166,349,33,70,24697,45
0.5833,1.4771,0.7667,-0.4836,348227,348257,140,12,30,9253,38
0.3429,1.6532,0.7333,-0.223,435871,435916,379,35,45,37695,80
0.6923,1.301,0.55,-0.1384,487568,487588,121,13,20,13345,89
0.2381,1.9294,0.8235,-0.1956,564536,564621,762,63,86,78455,88
0.1795,1.9912,0.8571,-0.182,689792,689890,861,78,98,90154,91
0.3784,1.6233,0.6667,-0.2359,815462,815504,335,37,42,32766,86
0.4583,1.5185,0.6667,-0.2035,939827,939860,242,24,33,24672,90
0.4615,1.4771,0.6,-0.2445,1108752,1108782,264,26,30,25531,64
0.4,1.4314,0.7037,-0.1485,1137189,1137216,134,20,27,14605,94
0.2143,1.8389,0.8261,-0.2034,1208774,1208843,372,56,70,37930,77
0.2712,1.9395,0.8161,-0.1694,1594430,1594517,794,59,87,84410,62
0.4286,1.5051,0.625,-0.1841,1678200,1678232,227,28,32,23706,77
0.2308,2.0086,0.8529,-0.2456,1724027,1724129,927,65,103,89508,68
0.4091,1.4914,0.7097,-0.2475,1743219,1743250,227,22,31,21864,74
0.2571,1.6435,0.7954,-0.1851,1751260,1751304,271,35,45,28268,85
0.36,1.9494,0.7977,-0.2261,1771553,1771642,771,50,89,76380,63
0.3514,1.7324,0.7593,-0.2722,1809470,1809524,471,37,54,43880,62
0.625,1.5051,0.5313,-0.1805,1823955,1823987,285,24,32,29895,81
0.4706,1.3617,0.6522,-0.2033,1120157,1120180,120,17,23,12238,84
0.0717,2.6294,0.9578,-0.2424,1511165,1511591,4686,251,427,454421,30
0.3333,1.2553,0.7222,-0.1015,458923,458941,70,15,18,8051,106
0.5,1.415,0.6539,-0.1702,3528981,3529007,180,18,26,19118,80
0.6111,1.3617,0.5217,-0.1704,1063504,1063527,170,18,23,18052,79
0.4286,1.301,0.7,-0.0666,1421726,1421746,83,14,20,9917,110
0.0657,2.5515,0.9607,-0.4283,2550845,2551201,2705,213,359,197957,28
0.3333,1.699,0.9,-0.2325,4270168,4270218,177,15,50,17388,65
0.4231,1.4914,0.6452,-0.2043,212157,212188,221,26,31,22508,66
0.5,1.2553,0.5556,-0.1705,2277670,2277688,109,16,18,11573,89
0.7143,1.1461,0.2857,-0.1175,5427410,5427424,104,14,14,11748,84
0.0724,2.5527,0.9552,-0.1436,11741476,11741833,3319,221,357,363821,37
0.3939,1.7243,0.7547,-0.2746,12577343,12577396,501,33,53,46520,49
0.65,1.5185,0.6061,-0.2292,12725281,12725314,291,20,33,28711,68
0.2558,1.7853,0.8197,-0.2035,12917033,12917094,444,43,61,45269,78
0.4444,1.4914,0.6129,-0.1854,12987661,12987692,258,27,31,26902,75
0.3333,1.4472,0.7143,-0.0575,471253,471281,168,24,28,20267,102
0.5263,1.2787,0.4737,-0.0481,786881,786900,136,19,19,16571,99
0.3462,1.415,0.6539,-0.05,808173,808199,119,26,26,14471,97
0.4762,1.5315,0.7059,-0.0559,1377748,1377782,257,21,34,31058,91
0.1915,1.7404,0.8364,0.004,1461247,1461302,265,47,56,34055,106
0.4444,1.3802,0.6667,0.0374,1488612,1488636,105,18,24,13943,120
0.45,1.3424,0.5909,0.0,1620686,1620708,154,20,22,19711,103
0.5,1.3222,0.5714,0.0073,1651888,1651909,145,18,21,18695,101
0.5758,1.1461,-0.2632,0.0072,2258648,2258662,123,33,17,15858,116
0.9231,0.7782,-0.5,-0.0748,21512,21518,56,13,6,6632,108
0.4848,1.3979,0.36,-0.1163,50442,50467,226,33,31,25563,100
0.2927,1.7482,0.7857,-0.3004,66522,66578,436,41,56,39043,71
0.6316,1.0414,-0.0833,-0.1485,82308,82319,84,19,11,9155,99
0.7,1.0792,-0.1429,-0.0387,102099,102111,63,20,15,7752,109
0.1469,2.2279,0.8757,-0.2431,118073,118242,1590,143,172,154035,80
0.204,2.1644,0.7192,-0.1426,133683,133829,2267,201,161,248809,96
0.3889,1.6628,0.2391,-0.0564,149046,149092,521,90,54,62926,104
0.2407,1.7404,0.7636,-0.1797,162885,162940,395,54,59,41476,92
0.3207,1.699,0.66,-0.2844,177337,177387,353,53,56,32335,79
0.3636,1.5441,0.6571,-0.1268,190885,190920,205,33,36,22913,98
0.6875,1.301,0.45,-0.4918,204933,204953,135,16,23,8781,46
0.3429,1.6233,0.7143,-0.4515,221100,221142,294,35,42,20642,47
0.6667,1.1139,0.3846,-0.2496,240377,240390,71,12,13,6820,86
0.375,1.2553,0.6667,-0.0802,254652,254670,56,16,19,6593,109
0.5294,1.1461,0.3571,-0.1447,274230,274244,54,17,15,5912,97
0.3878,1.5315,0.4412,-0.3081,287835,287869,400,49,42,35427,78
0.3636,1.2553,0.5556,-0.098,303149,303167,82,22,21,9467,105
0.7143,1.1461,0.2857,-0.1328,319303,319317,69,14,14,7659,98
0.5263,1.0792,-0.4,-0.0683,334304,334316,114,38,21,13595,106
0.5714,1.2787,0.1579,-0.2228,350481,350500,158,28,19,15719,89
0.8,1.0792,0.0,-0.3754,362724,362736,57,15,12,4557,70
0.6,1.0414,0.1818,-0.5411,374580,374591,74,15,11,4347,36
0.6087,1.0792,-0.1429,-0.1109,387402,387414,75,23,12,8535,104
0.234,1.9395,0.7471,-0.1535,411630,411717,787,94,94,85268,94
0.1805,2.1847,0.1177,-0.0496,425023,425176,5027,748,403,611544,93
0.3539,1.5051,0.2813,-0.2424,439180,439212,353,65,40,34230,84
0.6154,1.0792,0.3333,-0.2574,451067,451079,59,13,12,5608,85
0.6842,1.0792,-0.0769,-0.0588,463836,463848,74,19,13,8915,109
1.0,0.8451,-0.4167,-0.1327,477075,477082,55,12,7,6106,101
0.3,1.7243,0.717,-0.5678,494893,494946,397,50,56,21964,33
0.6786,1.0414,-0.4211,-0.1649,506783,506794,123,28,16,13148,95
0.4583,1.0414,0.0,-0.1599,518261,518272,78,24,12,8388,95
0.3529,1.2305,0.6471,-0.2096,530968,530985,63,17,17,6374,90
0.4643,1.3802,0.4583,-0.0809,548929,548953,170,28,25,20000,105
0.6667,1.301,0.4,-0.1464,560425,560445,124,18,20,13549,97
0.2076,1.8389,0.6812,-0.2601,573049,573118,884,106,98,83716,77
0.4762,1.4314,0.6296,-0.5373,585861,585888,139,21,27,8233,40
0.3103,1.699,0.64,-0.091,604478,604528,444,58,50,51661,97
0.6522,1.2041,0.0625,-0.222,618132,618148,112,23,17,11154,87
0.7333,0.9542,-0.1818,-0.0291,634279,634288,71,15,10,8824,113
0.4667,1.301,0.65,-0.1645,646729,646749,77,15,20,8235,97
0.1505,2.0792,0.8833,-0.4202,677297,677417,812,93,120,60260,51
0.1624,2.3096,0.8431,-0.6096,697885,698089,2904,197,207,145129,22
0.2076,1.9823,0.7708,-0.5644,718425,718521,964,106,103,53750,29
0.3771,1.8062,0.6406,-0.5274,751592,751656,521,61,67,31515,43
0.2906,1.8751,0.5467,-0.0828,763872,763947,938,117,94,110127,102
0.2234,2.4829,0.6546,-0.1328,776120,776424,4315,470,380,479002,82
0.3286,1.9445,0.7386,-0.1285,791161,791249,995,70,90,110993,95
0.198,1.7076,0.6078,-0.1561,802771,802822,585,101,56,63194,96
0.0794,2.5922,0.9054,-0.3475,814236,814627,7292,466,536,608995,43
0.2604,1.9445,0.7159,-0.5282,830707,830795,1014,96,102,61231,40
0.3556,1.9685,0.6559,-0.113,851460,851553,1784,90,99,202537,95
0.2985,1.7559,0.6491,-0.1819,874488,874545,573,67,62,60005,90
0.1931,2.1239,0.7068,-0.1407,896899,897032,2875,202,161,316233,82
0.271,2.0934,0.7661,-0.3758,908862,908986,2483,107,129,198389,44
0.369,1.6128,0.2439,-0.0785,923170,923211,709,84,55,83627,105
0.2353,1.9294,0.7647,-0.1725,936743,936828,1148,85,94,121595,89
0.1957,2.2718,0.754,-0.2498,949306,949493,3811,235,230,365943,78
0.2737,1.6628,0.4348,-0.191,961682,961728,613,95,77,63480,90
0.1884,1.8389,0.8116,-0.0425,973635,973704,540,69,70,66181,110
0.55,1.7076,0.3529,-0.1254,983776,983827,694,60,53,77691,94
0.6667,1.0792,0.1667,-0.0115,1009876,1009888,67,15,13,8477,113
0.2551,1.9868,0.7423,-0.2654,1025376,1025473,1348,98,100,126759,81
0.3617,1.5441,0.5143,-0.213,1036126,1036161,265,47,40,26694,86
0.5667,1.1461,-0.1765,-0.0209,1048818,1048832,138,30,16,17295,114
0.52,1.3424,0.4091,-0.0968,1060291,1060313,109,25,22,12602,102
0.3684,1.301,0.65,-0.1525,1072228,1072248,74,19,20,8027,98
0.1252,2.3463,0.6667,-0.0538,1082731,1082953,7579,591,431,917886,95
0.6129,1.1761,-0.2105,-0.1737,1093477,1093492,184,31,15,19460,96
0.3273,1.4472,0.3571,-0.3908,1105359,1105387,252,55,36,19650,52
0.7143,1.1461,0.2857,-0.1408,1116878,1116892,62,14,14,6819,98
0.9286,0.8451,-0.4615,-0.1296,1127920,1127927,60,14,8,6685,102
0.5,1.0,0.0,-0.0791,1137747,1137757,55,20,14,6483,109
0.5556,1.2787,-0.24,-0.5178,1148345,1148364,241,45,35,14875,42
0.7222,0.8451,-0.4615,-0.1124,1159125,1159132,54,18,7,6135,102
0.3636,1.4624,0.7241,-0.0298,1172603,1172632,128,22,30,15896,111
0.3529,1.1461,0.5714,-0.3108,1184511,1184525,51,17,14,4499,51
0.5833,1.1461,0.5,-0.2706,1196901,1196915,61,12,14,5695,81
0.217,1.8261,0.6567,-0.154,1211728,1211795,780,106,83,84461,96
0.4286,1.5315,0.2941,-0.0508,1226170,1226204,493,56,38,59901,105
0.9,1.0414,0.1818,-0.1879,1266537,1266548,65,10,12,6757,95
0.5,1.2787,0.2632,-0.1646,1285730,1285749,138,28,21,14757,93
0.6956,1.1139,-0.1875,-0.2127,1301932,1301945,85,23,16,8566,93
0.4,1.2041,0.625,-0.5902,1312116,1312132,59,15,16,3095,41
0.56,1.4472,0.5,-0.097,1323717,1323745,222,25,29,25660,104
0.8,0.9031,-0.5,-0.1088,1335585,1335593,73,20,11,8327,103
0.6296,1.3979,-0.2647,-0.1664,1346996,1347021,286,54,33,30518,95
0.5,1.5563,0.5833,-0.2253,1359784,1359820,390,30,36,38672,80
0.6471,1.0414,0.0,-0.1923,1373431,1373442,52,17,13,5376,95
0.4783,1.1461,0.2143,-0.2241,1385900,1385914,98,23,14,9733,89
0.9167,1.0,-0.0909,-0.1247,1398904,1398914,61,12,11,6834,102
0.5789,1.1461,0.2143,-0.2308,1411801,1411815,75,19,16,7384,89
0.2895,1.8692,0.7027,-0.296,1427809,1427883,705,76,76,63525,73
0.5577,1.2553,-0.3793,-0.1018,1457758,1457776,196,52,35,22534,104
0.75,1.0414,-0.0833,-0.1191,1471277,1471288,64,16,13,7216,102
0.5,1.3424,0.4091,-0.2076,1483879,1483901,130,26,25,13185,90
0.4722,1.3222,0.1905,-0.1111,1495862,1495883,215,36,22,24463,103
0.44,1.4472,0.6071,-0.176,1508012,1508040,178,25,28,18774,92
0.4167,1.4314,0.6296,-0.1594,1536604,1536631,155,24,27,16678,96
0.2361,1.959,0.8132,-0.455,1549800,1549891,1030,72,92,71852,49
0.7407,1.3222,0.0476,-0.1325,1564536,1564557,140,27,22,15545,99
0.4524,1.8692,0.4865,-0.2935,1578055,1578129,1470,84,82,132939,70
0.7,1.0792,-0.1429,-0.1408,1589431,1589443,69,20,19,7588,100
0.6452,1.2787,-0.05,0.0111,1602180,1602199,231,31,23,29896,117
0.6364,1.3222,0.0,-0.0944,1622697,1622718,169,33,28,19591,105
0.2639,1.7076,0.6274,-0.1883,1647143,1647194,445,72,55,46236,91
0.4054,1.4314,0.4444,-0.1199,1658742,1658769,245,37,33,27599,100
0.875,1.0792,-0.1429,-0.0486,1671098,1671110,99,16,13,12056,111
0.4737,1.2041,0.4375,-0.127,1686794,1686810,55,19,17,6146,104
0.4138,1.6532,-0.375,-0.0702,1699784,1699829,873,174,100,103898,106
0.625,1.0792,0.1667,-0.1106,1713172,1713184,64,16,13,7286,102
0.65,1.0,-0.2308,-0.1849,1723382,1723392,60,20,11,6260,96
0.8387,1.0414,-0.5769,-0.1645,1736811,1736822,120,31,18,12834,90
0.4167,1.5441,0.0,-0.0397,1747625,1747660,314,84,50,38597,110
0.8235,1.0414,-0.2143,-0.0639,1761692,1761703,61,17,11,7309,112
0.56,1.1461,-0.5,-0.1129,1772722,1772736,253,50,26,28728,86
0.4384,1.4624,-0.0938,-0.2362,1785901,1785930,509,73,60,49765,80
0.52,1.301,0.35,-0.2356,1798152,1798172,170,25,21,16633,84
1.0,0.7782,-0.7273,-0.1741,1810277,1810283,78,22,10,8246,95
0.5882,1.1139,0.2308,-0.3039,1821904,1821917,77,17,13,6861,76
0.8333,1.0414,-0.2667,0.0073,1835338,1835349,83,18,12,10702,116
0.8333,0.9542,-0.1,-0.1688,1846280,1846289,61,12,10,6490,96
0.4348,1.2305,0.4118,-0.5185,1859616,1859633,80,23,17,4931,41
0.6667,1.0,0.0,-0.1504,1889430,1889440,51,15,10,5546,99
0.9546,0.699,-0.7619,-0.0504,1901970,1901975,58,22,7,7050,111
0.7692,1.0414,0.0909,-0.0418,1913635,1913646,58,13,11,7114,112
0.5,1.1139,-0.3158,-0.02,1924923,1924936,130,38,25,16308,115
0.6818,1.0792,-0.2,-0.2223,1939590,1939602,117,22,14,11647,89
0.4211,1.6335,0.6279,-0.189,1951256,1951299,490,38,44,50867,86
0.5278,1.4771,0.3667,-0.219,1964561,1964591,318,36,33,31789,85
0.5862,1.3222,0.1905,-0.218,1978821,1978842,185,29,24,18517,88
0.8461,1.0,-0.0909,-0.2112,1990021,1990031,59,13,11,5957,89
0.6,1.2553,0.3333,-0.244,2001776,2001794,119,20,18,11516,84
0.9,1.0414,0.1818,-0.331,2012938,2012949,66,10,11,5652,75
0.5714,1.3617,0.3043,-0.2317,2023127,2023150,268,28,25,26356,84
0.5862,1.0,-0.4118,-0.0654,2032900,2032910,99,29,17,11843,109
0.3684,1.4314,0.4815,-0.241,2044448,2044475,197,38,29,19139,86
0.6667,1.1461,0.4286,-0.3041,2058002,2058016,91,12,14,8106,79
0.4,1.4314,0.5556,-0.3142,2070769,2070796,142,30,29,12465,72
0.6923,1.0414,0.1818,-0.2014,2082327,2082338,60,13,11,6133,91
0.6,1.1139,0.3077,-0.2743,2097257,2097270,60,15,13,5573,81
0.9259,1.0,-0.6,-0.1971,2109314,2109324,149,27,17,15313,93
0.6842,1.1139,0.0,-0.0576,2126449,2126462,103,19,13,12424,112
0.6316,1.2041,0.25,-0.226,2153394,2153410,93,19,17,9214,90
0.7727,1.0792,-0.2941,-0.2019,2216544,2216556,115,22,17,11748,87
0.3088,1.9494,0.764,-0.3705,2280779,2280868,1203,68,89,96937,48
0.4545,1.301,0.5,-0.1906,2293926,2293946,109,22,20,11293,90
0.1667,2.1553,0.8671,-0.1429,2381257,2381400,1371,114,144,150413,85
0.6154,1.1761,0.4667,-0.2788,2409503,2409518,88,13,15,8123,81
0.3281,1.7853,0.6557,-0.1397,2433660,2433721,566,64,70,62326,89
0.6842,1.2305,0.2353,-0.5216,2445033,2445050,97,19,17,5940,47
0.4737,1.3802,0.625,-0.192,2457919,2457943,145,19,26,14997,91
0.5833,1.301,0.3,0.01,2535272,2535292,205,24,21,26503,108
0.75,1.0,0.1,-0.5217,2550643,2550653,60,12,10,3673,48
0.6364,1.3424,0.3636,-0.2278,2563219,2563241,173,22,23,17100,85
0.8421,0.9542,-0.4375,-0.2423,2583771,2583780,71,19,12,6886,84
0.3836,1.6812,0.4167,-0.2906,2595595,2595643,578,73,68,52482,76
0.7692,0.9542,-0.1,-0.2236,2632520,2632529,53,13,9,5267,90
0.52,1.3222,0.381,-0.1388,2644076,2644097,153,25,21,16865,90
0.5714,1.0,-0.375,-0.0777,2656857,2656867,78,28,17,9208,105
0.7083,1.0792,-0.2941,-0.0985,2669665,2669677,94,24,16,10847,104
0.375,1.6128,0.6342,-0.2402,2682394,2682435,376,40,43,36566,81
0.8,1.0792,-0.25,-0.555,2724583,2724595,111,20,21,6323,41
0.1867,2.1072,0.7813,-0.188,2787299,2787427,1543,150,151,160372,81
0.2571,1.5563,0.75,-0.2529,2811785,2811821,192,35,36,18361,80
0.6667,1.0792,0.1667,-0.5227,2824729,2824741,76,15,12,4643,43
0.7,1.3617,0.3913,-0.2651,2837245,2837268,199,20,23,18720,80
0.6364,1.1139,0.4615,-0.2675,2857887,2857900,71,11,13,6657,81
0.4286,1.2305,0.6471,-0.1903,2939205,2939222,69,14,18,7151,92
0.6364,1.0792,0.4167,-0.1125,750387,750399,52,11,13,5907,105
0.3571,1.3222,-0.16,-0.0178,639972,639993,339,70,35,42620,119
0.5405,1.1761,-0.25,-0.0195,843822,843837,155,37,23,19453,120
0.4862,1.3222,-0.6038,-0.008,909471,909492,618,109,59,78470,119
0.76,1.0792,-0.3684,-0.0258,1136912,1136924,142,25,15,17707,119
0.4643,1.4914,-0.4038,0.0031,1317364,1317395,508,112,59,65223,120
0.4667,1.2041,-0.2381,0.0044,1346248,1346264,158,45,30,20312,122
0.6122,1.0792,-0.6,0.0082,1417276,1417288,156,49,17,20131,122
0.6712,1.415,-0.4694,0.0159,1566427,1566453,312,73,48,40573,122
0.4583,1.415,0.5769,-0.2402,9007,9033,180,24,27,17505,87
0.2857,1.4771,0.7333,-0.1014,737538,737568,147,28,31,16908,105
0.0874,2.4683,0.9388,-0.1628,840091,840385,1733,206,294,185716,93
0.2,1.5798,0.8158,-0.0212,882674,882712,120,35,39,15035,118
0.1143,2.3181,0.9039,-0.0722,971714,971922,1804,175,211,214243,101
0.3846,1.301,0.5,-0.0976,1062881,1062901,124,26,21,14323,107
0.5417,1.2787,0.3158,-0.1031,1127580,1127599,119,24,20,13662,106
0.4286,1.3979,0.64,-0.0897,1170194,1170219,130,21,26,15147,109
0.1266,2.4487,0.8968,-0.2039,1183612,1183893,3883,229,289,395668,78
0.2619,1.7482,0.8036,-0.1431,1246188,1246244,295,42,56,32358,96
0.7692,1.0414,0.0909,0.4208,28542,28553,72,13,12,13094,168
0.8889,1.0414,0.2727,0.5237,31984,31995,66,9,11,12872,178
0.9,1.0792,0.25,0.3902,35152,35164,61,10,12,10855,168
1.0,1.0414,0.2727,0.46,40184,40195,75,8,11,14016,157
0.2857,1.7708,0.7288,0.4058,48480,48539,443,56,60,79713,77
1.0,0.9542,-0.1,0.5916,117715,117724,76,10,9,15483,195
1.0,1.1761,0.1333,0.4946,125025,125040,150,13,15,28697,172
0.322,2.0086,0.8137,0.5917,135196,135298,892,59,104,181730,68
0.9375,0.9542,-0.4,0.5909,155584,155593,74,16,11,15069,196
1.0,1.0414,-0.3889,0.5613,177076,177087,136,18,11,27180,192
0.8125,1.1139,0.0,0.5799,185575,185588,108,16,17,21840,195
0.6667,1.0792,0.3333,0.3751,198764,198776,74,12,12,13025,163
1.0,1.0,0.2,0.4976,211983,211993,52,8,10,9968,178
