steel/table11.V13,steel/table11.V14,steel/table11.V27,steel/table11.V28,steel/table11.V29,steel/table11.V32,V3,Class
0,70,0.3285,0,0,0,639361,2
1,40,0.1773,0,0,0,639848,1
0,69,0.8778,0,0,0,1283513,2
1,125,0.266,1,0,0,719009,1
1,90,0.9993,1,0,0,1594430,1
1,40,0.9996,0,0,0,2839568,1
1,50,0.1441,0,0,0,1013642,1
1,40,1.0,0,0,0,135196,1
1,40,0.9806,0,0,0,79360,2
1,40,1.0,0,0,0,2740809,1
1,50,0.1262,0,0,0,203197,1
0,80,0.1773,0,0,0,4726828,1
0,70,1.0,0,1,0,814236,1
0,100,0.6236,0,0,0,4194670,1
0,80,1.0,1,0,0,2550845,1
1,40,0.3601,0,0,0,2304542,2
0,70,0.3977,0,0,0,1539081,2
0,80,0.4219,0,0,0,2650780,2
0,150,0.2928,0,0,0,456531,2
1,40,0.6574,0,0,0,1002562,2
0,69,0.2253,0,0,1,5996730,1
1,40,1.0,0,0,0,7275798,1
0,80,0.9549,0,0,0,3967177,1
1,50,0.1322,0,0,0,1819724,1
1,40,0.3882,0,0,0,2312033,2
1,150,0.8612,1,0,0,813452,1
1,40,0.7659,0,0,0,587412,2
1,40,0.1892,0,0,0,281944,1
0,70,0.2928,0,1,0,1859616,1
0,70,0.2173,0,1,0,1990021,1
1,50,0.2061,0,0,0,1398169,1
1,40,1.0,0,0,0,1786253,1
0,80,1.0,0,0,0,5331249,2
1,50,0.1622,0,0,0,1733269,1
1,90,0.4613,1,0,0,1743219,1
0,80,0.5951,0,0,0,3981657,1
0,70,1.0,0,1,0,2787299,1
0,70,0.1822,0,0,0,1589161,1
1,50,0.14,0,0,0,1110856,1
0,60,0.1622,0,0,0,1168986,1
1,60,0.1622,0,0,0,142256,2
1,50,0.14,0,0,0,1962342,1
1,50,0.9915,0,0,1,128854,1
1,40,1.0,0,0,0,2943077,1
0,70,0.9984,0,1,0,923170,1
1,40,0.417,0,0,0,701105,2
0,100,0.4399,0,1,0,2258648,1
0,60,0.2173,0,0,0,625577,1
1,40,1.0,0,0,0,1889165,1
1,40,1.0,0,0,0,2431945,1
1,40,0.9549,0,0,0,2161400,2
1,40,1.0,0,0,0,1445593,1
0,70,0.9997,0,1,0,573049,1
1,70,0.266,0,0,0,385532,2
0,80,0.8778,0,0,0,3522485,1
1,40,1.0,0,0,0,702679,1
1,70,0.3479,1,0,0,367429,1
0,60,0.3419,0,0,0,1635847,1
1,50,0.4465,0,0,0,1099506,1
0,70,0.3329,1,0,0,1620686,1
1,40,1.0,0,0,0,919301,1
1,185,0.2195,0,0,0,7851,1
1,40,1.0,0,0,0,1711137,1
1,40,0.5659,0,0,0,732308,2
1,40,1.0,0,0,0,2350467,1
0,100,0.6189,0,0,0,1276792,1
0,100,0.2583,0,0,0,2426501,2
0,100,0.4366,0,0,0,1313692,2
1,40,1.0,0,0,0,1316989,1
1,40,0.2739,0,0,0,2673603,2
0,70,0.3977,0,1,0,334304,1
0,80,0.9685,0,0,0,676623,1
1,40,1.0,0,0,0,622372,1
0,60,0.1954,0,0,0,2921961,1
1,70,0.9997,0,0,0,2008592,2
0,80,0.4399,0,0,0,2338856,1
1,40,0.3241,0,0,0,1302051,2
0,80,0.5822,0,0,0,2750749,1
1,40,0.4057,0,0,1,1581921,1
0,80,0.2739,0,0,0,2506147,1
0,60,0.7955,0,0,0,328431,1
0,100,0.2901,0,0,0,3178549,1
1,40,1.0,0,0,0,2290146,1
1,40,0.5642,1,0,0,212157,1
0,80,0.99,0,0,0,3866538,2
1,40,0.5659,0,0,0,2184746,2
1,40,0.9437,0,0,0,947849,1
1,40,1.0,0,0,0,1914002,1
1,40,0.9979,0,0,0,942520,2
1,50,0.1483,0,0,0,1593115,1
1,175,0.8579,0,0,0,701399,2
1,40,1.0,0,0,0,1658501,1
0,70,0.6079,0,1,0,2023127,1
1,40,0.4366,0,0,0,189673,2
0,100,0.2116,0,0,0,1299250,2
1,100,0.5362,0,0,0,189105,2
1,40,0.6514,1,0,0,3980733,1
1,70,0.7037,1,0,0,1918092,1
1,40,1.0,0,0,0,2066548,2
0,70,0.2359,0,0,0,4104160,2
1,90,0.9998,1,0,0,1771553,1
0,60,0.2195,0,0,0,1757997,1
0,60,0.1892,0,0,0,800126,1
1,175,0.9312,0,0,0,419384,2
0,300,0.2195,0,0,0,581539,2
1,40,0.7966,0,0,0,1058240,2
1,40,0.266,0,0,0,4443762,2
0,70,1.0,0,1,0,118073,1
1,50,1.0,0,0,0,29657,1
0,70,0.5903,0,1,0,1978821,1
1,175,0.2408,0,0,0,724192,1
1,300,0.9999,0,0,0,182093,2
1,100,0.2792,0,0,0,15755,2
0,80,0.2583,0,0,0,238008,2
1,50,0.14,0,0,0,818584,1
1,100,0.3154,0,0,1,1934306,1
1,40,0.2173,0,0,0,28542,1
0,150,0.1852,0,0,0,570234,2
1,40,0.7966,0,0,0,533732,1
1,70,0.8806,0,0,0,149538,2
1,200,0.1687,0,0,0,48235,2
0,70,0.5822,0,0,0,1066700,2
1,40,0.257,0,0,0,4025551,2
1,70,0.5757,0,0,0,1229599,2
1,40,0.9312,0,0,0,70457,2
1,40,1.0,0,0,0,1469673,1
1,40,0.1753,0,0,0,612662,1
1,40,0.3787,0,1,0,1136912,1
1,40,0.3419,0,0,0,2294295,1
1,220,1.0,0,0,0,263975,2
1,100,0.4138,0,0,0,219220,2
1,120,0.9998,0,0,1,143784,1
1,50,0.2173,0,0,0,1759941,1
0,60,0.4089,0,0,0,2274364,1
0,300,0.2469,0,0,0,902188,2
1,40,0.3241,0,0,0,2497122,2
0,70,0.2061,0,0,0,2860158,2
1,40,0.2432,0,0,0,1279980,1
0,70,0.2083,0,1,0,2939205,1
0,69,0.3241,0,0,0,1715283,1
0,70,0.4514,0,1,0,2644076,1
1,40,0.3787,0,0,0,28972,2
1,185,0.3359,0,0,0,308931,2
1,40,0.8894,0,0,0,9670837,2
0,70,0.94,0,1,0,162885,1
1,150,0.9093,1,0,0,179258,1
0,70,0.2083,0,0,0,2555025,2
0,70,0.7933,0,1,0,221100,1
1,40,1.0,0,0,0,2087881,1
0,70,0.6868,0,1,0,1564536,1
0,70,0.3285,0,0,0,778450,1
1,60,0.2173,0,0,0,119026,2
0,60,0.1954,0,0,0,1199744,1
1,40,1.0,0,0,0,2449833,1
0,70,0.4465,0,1,0,1536604,1
1,100,1.0,0,0,1,2003323,1
0,80,1.0,0,0,0,355940,1
0,80,1.0,0,0,0,881709,2
1,60,0.4187,1,0,0,1063504,1
0,60,0.1551,0,0,0,731417,1
1,40,0.9996,0,0,0,161008,2
1,40,1.0,0,0,0,281656,1
0,69,0.1753,0,0,0,1581945,1
1,185,0.3663,0,0,0,252936,2
0,80,0.5063,0,0,0,571986,1
1,40,0.7079,0,0,0,1151809,2
1,40,1.0,0,0,0,377537,1
1,60,0.2288,1,0,0,1421726,1
1,200,1.0,0,0,0,60056,2
1,40,1.0,0,0,0,47299,1
0,70,0.3945,0,1,0,1048818,1
1,50,1.0,0,0,0,19000,1
1,50,0.1449,0,0,0,983183,1
0,200,1.0,0,0,0,4313950,2
0,60,0.2195,0,0,0,2488268,1
1,40,1.0,0,0,0,695578,1
0,70,0.2288,0,1,0,2824729,1
1,175,0.4106,0,0,0,1154994,2
0,70,0.2051,0,1,0,2082327,1
0,80,0.8612,0,0,0,3632953,1
1,175,0.2482,0,0,0,639490,1
1,40,0.3464,1,0,0,2128884,1
0,300,0.1773,0,0,0,945549,2
1,40,1.0,0,0,0,7318386,1
0,60,0.2432,0,0,0,2946689,1
0,70,0.5162,0,1,0,548929,1
1,40,1.0,0,0,0,1253069,1
1,40,1.0,0,0,0,554961,1
1,40,1.0,0,0,0,2240199,1
1,40,1.0,0,0,0,1541496,1
1,40,0.2469,0,0,0,877413,1
1,40,0.5967,0,0,0,337093,1
1,40,0.3834,0,0,0,1214727,2
1,100,1.0,0,0,1,2020002,1
1,290,0.5212,1,0,0,369370,1
1,100,0.4366,0,0,0,395408,1
1,40,1.0,0,0,0,9831578,2
1,40,1.0,0,0,0,1586862,1
0,70,0.8894,0,1,0,2682394,1
1,40,0.9874,1,0,0,100250,1
0,70,1.0,0,1,0,1025376,1
1,40,0.6236,0,0,0,856766,2
1,40,1.0,0,0,0,260349,1
0,70,0.4713,0,1,0,1093477,1
1,250,0.4564,1,0,0,183688,1
1,40,1.0,0,0,0,189330,1
0,70,0.3479,0,1,0,1301932,1
0,60,0.156,0,0,0,1074269,1
1,40,0.7512,0,0,0,1115618,2
1,40,0.1954,1,0,0,458923,1
0,150,0.4913,0,0,0,663138,2
1,220,0.9999,0,0,0,134103,2
1,70,0.9254,0,0,0,889681,2
1,40,0.2116,0,0,0,1709640,1
1,40,0.215,0,0,1,2413168,1
1,40,1.0,0,0,0,1299230,1
1,100,0.9869,0,0,1,1981388,1
0,70,0.257,0,0,0,1439661,1
0,80,0.2482,0,0,0,2293200,2
0,70,0.2051,0,0,0,800963,2
1,50,0.9947,0,0,0,735496,2
1,40,1.0,0,0,0,686245,1
1,70,0.5951,0,0,0,214065,2
1,40,0.3419,0,0,0,283416,2
1,40,1.0,0,0,0,2254664,1
1,40,0.9999,0,0,0,1206989,1
0,300,0.2173,0,0,0,828904,2
1,40,0.1715,0,0,0,625664,1
0,69,0.4779,0,0,0,4212846,2
0,70,0.7955,0,0,0,728281,1
1,40,0.9999,0,0,0,903475,2
0,70,0.5096,0,1,0,2563219,1
1,200,0.1934,0,0,0,259240,2
1,40,1.0,0,0,0,1277926,1
1,100,0.976,0,0,0,189519,1
0,70,0.2792,0,1,0,2656857,1
0,70,0.1954,0,1,0,1846280,1
1,40,1.0,0,0,0,2854357,1
0,60,0.2288,0,0,0,3467552,2
1,40,0.9919,0,0,0,422497,2
1,40,1.0,0,0,0,990300,1
1,40,1.0,0,0,0,327823,1
1,40,1.0,0,0,0,1413654,1
0,143,0.6173,0,0,0,895625,2
1,40,0.2253,0,0,0,435870,1
1,70,0.4366,0,0,0,422864,2
1,60,0.8153,0,0,0,1294504,2
1,40,1.0,0,0,0,1740121,1
1,70,0.9999,0,0,0,360880,2
0,80,0.5789,0,0,0,1388373,2
1,175,0.1773,0,0,0,54896,2
0,70,1.0,0,1,0,1082731,1
1,40,1.0,0,0,0,3928519,1
1,40,0.2288,0,0,0,726664,1
1,40,0.3125,0,0,0,1370789,2
1,130,0.1892,0,0,0,745366,2
0,100,0.2792,1,0,0,1060712,1
1,40,1.0,0,0,0,333373,1
1,40,1.0,0,0,0,633023,1
1,200,0.4913,1,0,0,184350,1
0,70,1.0,0,1,0,851460,1
1,300,0.9457,0,0,0,184455,2
1,40,0.2532,1,0,0,5427410,1
1,40,1.0,0,0,0,114768,1
1,120,0.7065,0,0,1,30207,1
1,40,0.1753,0,0,0,4022585,1
0,100,0.1551,0,0,0,287964,1
1,220,0.2583,1,0,0,638468,1
1,200,0.1822,0,0,0,106169,2
0,70,0.4729,0,1,0,1736811,1
0,70,1.0,0,0,0,2961860,1
1,40,0.3241,0,0,0,5916473,1
1,130,0.1965,0,0,0,1319063,2
0,80,0.3945,0,0,0,880521,2
0,70,0.1954,0,0,0,2368336,2
1,40,0.6015,0,0,0,762911,2
0,80,0.2051,0,0,0,838654,2
1,40,0.204,0,0,0,236266,1
0,80,1.0,0,0,0,1470973,2
1,100,0.5162,0,0,0,530471,1
0,80,0.2469,0,0,0,3681237,1
0,80,0.2288,0,0,0,4072432,1
0,70,0.4763,0,0,0,1928741,1
1,120,0.8705,0,0,0,86773,2
0,100,0.1449,0,0,0,496422,1
1,40,1.0,0,0,0,2300789,1
1,40,0.1773,0,0,0,270702,1
0,80,0.3464,1,0,0,1334420,1
1,40,0.215,1,0,0,5202306,1
1,40,0.4796,0,0,0,2295428,2
1,40,1.0,0,0,0,2605918,1
1,40,0.9932,0,0,0,88783,2
0,69,0.4025,1,0,0,5437033,1
1,40,1.0,0,0,0,1945941,1
0,70,0.2914,0,1,0,2126449,1
1,40,1.0,0,0,0,7754878,1
1,40,1.0,0,0,0,1761412,1
1,150,0.3359,1,0,0,210936,1
1,50,0.14,0,0,0,1681980,1
0,70,0.2173,0,0,0,1067161,1
1,40,0.5951,0,1,0,1417276,1
0,60,0.2083,1,0,0,3550754,1
0,150,0.156,0,0,0,322285,2
1,125,1.0,1,0,0,1837263,1
1,40,0.1934,0,0,0,31984,1
0,70,0.9997,0,1,0,1211728,1
0,70,1.0,0,1,0,896899,1
0,80,0.3509,0,0,0,4364066,1
1,175,0.5951,0,0,0,424082,1
1,50,0.1417,0,0,0,1156107,1
0,70,0.2432,0,0,0,334988,1
0,70,0.9648,0,0,0,1446788,2
1,40,1.0,0,0,0,2584705,1
0,70,0.2061,0,1,0,1137747,1
1,40,1.0,0,0,0,2013457,1
1,40,0.9104,0,0,0,294065,2
1,40,0.9491,0,0,0,75758,1
0,80,0.4498,0,0,0,96252,2
1,40,1.0,0,0,0,1516553,1
0,70,0.2583,0,0,0,563227,1
0,200,0.6559,0,0,0,3824786,1
0,100,0.1753,1,0,0,807870,1
