V22,V5
2.7324,540
2.8414,694
1.8261,67
3.1297,1348
2.4232,265
2.1399,138
2.0374,109
1.8692,74
3.8796,7579
2.2648,184
2.4014,252
1.7924,62
1.7781,60
1.7404,55
2.382,241
1.7324,54
2.1072,128
1.7076,51
1.7853,61
2.8921,780
2.6929,493
1.8129,65
2.1399,138
1.9294,85
1.7708,59
2.3463,222
1.8633,73
2.4564,286
2.5911,390
1.716,52
1.9912,98
1.7853,61
1.8751,75
2.8482,705
2.2923,196
1.8062,64
2.1139,130
2.3324,215
2.2504,178
2.1903,155
3.0128,1030
2.1461,140
3.1673,1470
1.8389,69
2.3636,231
2.2279,169
2.6484,445
2.3892,245
1.9956,99
1.7404,55
2.941,873
1.8062,64
1.7781,60
2.0792,120
2.4969,314
1.7853,61
2.4031,253
2.7067,509
2.2304,170
1.8921,78
1.8865,77
1.9191,83
1.7853,61
1.9031,80
1.7076,51
1.7634,58
1.7634,58
2.1139,130
2.0682,117
2.6902,490
2.5024,318
2.2672,185
1.7708,59
2.0756,119
1.8195,66
2.4281,268
1.9956,99
2.2945,197
1.959,91
2.1523,142
1.7781,60
1.7781,60
2.1732,149
2.0128,103
1.9685,93
2.0607,115
3.0803,1203
2.0374,109
3.137,1371
1.9445,88
2.7528,566
1.9868,97
2.1614,145
2.3117,205
1.7781,60
2.238,173
1.8513,71
2.7619,578
1.7243,53
2.1847,153
1.8921,78
1.9731,94
2.5752,376
2.0453,111
3.1884,1543
2.2833,192
1.8808,76
2.2989,199
1.8513,71
1.8389,69
1.716,52
2.5302,339
2.1903,155
2.791,618
2.1523,142
2.7059,508
2.1987,158
2.1931,156
2.4941,312
2.2553,180
2.1673,147
3.2388,1733
2.0792,120
3.2562,1804
2.0934,124
2.0756,119
2.1139,130
3.5892,3883
2.4698,295
1.8573,72
1.8195,66
1.7853,61
1.8751,75
2.6464,443
1.8808,76
2.1761,150
2.9504,892
1.8692,74
2.1335,136
2.0334,108
1.8692,74
1.716,52
1.8389,69
1.7781,60
1.8325,68
1.8451,70
2.7024,504
2.1461,140
2.0334,108
1.9823,96
1.9085,81
1.9294,85
1.7559,57
1.8751,75
1.9445,88
1.9445,88
1.716,52
1.716,52
1.8129,65
1.7993,63
2.0043,101
1.9638,92
1.7243,53
3.3725,2358
3.3239,2108
2.356,227
2.3636,231
2.2878,194
2.3927,247
2.243,175
2.7528,566
2.8162,655
5.1837,152655
4.4035,25323
4.3245,21110
4.4061,25473
4.3868,24365
4.32,20894
4.3165,20726
4.3532,22554
4.3422,21987
4.323,21036
4.2242,16759
4.2547,17977
4.2929,19629
4.2525,17887
4.2676,18517
4.251,17825
4.2224,16686
4.218,16521
4.2481,17706
4.257,18071
4.2766,18908
4.2764,18896
4.3078,20313
4.2601,18203
4.2395,17357
4.2777,18954
4.1746,14949
4.2167,16469
4.2507,17810
2.0,100
2.549,354
4.2259,16821
4.2024,15937
4.2013,15896
2.1072,128
4.2101,16220
4.175,14963
4.1775,15050
4.115,13033
4.2296,16968
4.2197,16584
4.1752,14969
4.1336,13601
4.1267,13387
4.2085,16164
2.9708,935
4.1932,15601
4.0549,11348
4.1879,15414
4.1453,13975
4.0564,11388
4.132,13553
4.196,15704
4.0796,12012
4.0746,11875
4.052,11271
4.0868,12212
2.7316,539
2.8306,677
4.0118,10276
4.062,11535
2.8998,794
4.0604,11492
4.0376,10904
4.1483,14069
4.093,12388
4.0831,12108
4.1445,13946
4.1241,13309
4.1048,12729
4.1556,14309
4.1567,14346
4.0885,12260
4.1201,13185
4.1177,13114
4.0333,10796
4.0609,11505
4.1339,13612
4.0961,12477
4.1044,12718
4.1158,13057
4.1367,13699
4.0972,12509
4.0449,11089
4.0686,11711
4.1153,13041
4.0379,10913
4.081,12051
4.0552,11355
4.0564,11388
4.0724,11813
4.1207,13203
4.0722,11809
4.0496,11211
4.0366,10880
4.1152,13037
4.0965,12489
4.0974,12515
4.0611,11510
4.1084,12834
4.0182,10429
3.9812,9576
4.0311,10743
4.0573,11411
4.0391,10941
4.0343,10821
3.9708,9349
4.0623,11542
3.9968,9927
3.7419,5519
3.6885,4881
3.977,9484
4.0408,10986
3.6985,4995
3.756,5702
3.9785,9518
3.775,5957
3.7495,5617
3.9815,9582
3.963,9183
3.9408,8726
3.9953,9892
3.9272,8457
3.3068,2027
3.7476,5593
3.94,8709
3.7463,5576
3.7289,5357
3.666,4635
3.9522,8957
3.7211,5261
3.7582,5731
3.2808,1909
3.4458,2791
3.8049,6381
3.9214,8344
3.903,7998
3.7388,5480
3.806,6397
3.6915,4915
3.7602,5757
3.6504,4471
2.5843,384
2.4409,276
3.6144,4115
3.5931,3918
3.6256,4223
3.6437,4403
3.3915,2463
3.5924,3912
2.0043,101
3.616,4130
3.6247,4214
3.652,4487
3.5217,3324
3.56,3631
3.5636,3661
3.5782,3786
3.5686,3703
3.5951,3936
3.5168,3287
3.5648,3671
3.5362,3437
3.6152,4123
3.5642,3666
3.6366,4331
3.6072,4048
3.6004,3985
3.6041,4019
3.6443,4409
3.5933,3920
3.6992,5003
3.8045,6376
3.7933,6213
3.7903,6170
3.7946,6232
2.3598,229
3.7692,5877
3.756,5702
3.7673,5852
2.316,207
2.301,200
3.776,5970
3.7823,6057
3.7884,6143
3.7624,5786
3.7739,5941
3.7977,6277
3.7787,6008
3.7989,6293
3.7943,6227
3.7824,6059
3.7865,6117
3.7911,6181
3.3813,2406
3.7555,5695
3.332,2148
3.7647,5817
3.2925,1961
3.284,1923
3.7776,5993
3.7698,5885
3.3239,2108
3.8033,6357
3.8064,6404
3.8245,6676
3.7989,6294
3.8061,6399
3.8461,7017
3.8019,6337
3.8603,7250
3.8125,6494
3.845,6999
3.8235,6661
3.2634,1834
3.817,6562
3.7931,6210
3.803,6353
3.7794,6017
3.8082,6430
3.7977,6276
3.7563,5706
3.7928,6206
3.813,6501
3.8343,6828
3.8077,6422
3.8142,6519
3.8247,6679
3.8212,6625
3.8193,6596
0.301,2
3.836,6855
3.8158,6543
3.831,6776
3.8252,6686
3.8236,6662
3.8335,6816
3.8146,6525
3.8199,6605
3.8224,6644
3.8118,6484
3.2655,1843
3.8084,6432
3.8122,6490
3.8375,6878
3.8205,6615
3.8124,6493
3.8475,7038
3.8443,6987
3.8197,6603
3.8649,7327
3.845,6998
3.8416,6944
3.4464,2795
3.819,6592
3.8128,6499
3.8113,6476
3.8061,6399
3.8139,6515
3.8412,6937
3.8301,6763
3.78,6025
3.7977,6277
0.301,2
3.7789,6010
3.7733,5933
3.7958,6249
3.798,6281
3.8,6310
3.8342,6827
3.7907,6176
3.7913,6185
3.8098,6454
3.7599,5753
3.7979,6279
3.3345,2160
3.7577,5724
3.811,6472
3.8049,6381
3.7951,6239
3.7438,5544
3.7646,5816
3.7948,6234
3.7836,6075
3.7754,5962
3.2266,1685
3.8,6309
3.8237,6664
3.8012,6327
3.7992,6298
3.7859,6108
3.815,6532
3.798,6280
2.3997,251
3.7904,6172
3.7759,5969
3.7669,5846
2.3404,219
3.8079,6426
3.8131,6503
3.8096,6450
3.7981,6282
3.7911,6182
3.8135,6509
3.8377,6882
3.823,6653
2.2304,170
3.8453,7003
3.8176,6570
3.788,6137
3.7989,6294
3.8006,6318
3.7403,5499
3.743,5533
3.7906,6175
3.755,5688
3.7655,5828
3.7645,5814
3.7657,5830
3.6107,4080
3.6273,4239
3.6802,4788
3.6451,4417
3.6097,4071
3.6381,4346
3.5978,3961
3.5385,3455
3.6431,4396
3.6399,4364
3.5825,3824
3.5911,3900
3.5884,3876
4.1579,14386
4.2055,16052
4.1255,13349
4.1945,15650
4.1821,15208
3.5228,3333
3.5169,3288
3.5238,3340
3.5599,3630
3.7532,5665
3.5089,3228
3.7863,6114
3.883,7639
3.85,7080
3.7316,5390
2.42,263
1.7924,62
1.3424,22
1.9345,86
1.6233,42
1.2305,17
1.2553,18
1.0792,12
1.0792,12
1.0792,12
1.0792,12
1.0792,12
1.1461,14
1.0792,12
1.1761,15
1.0792,12
1.8129,65
1.0792,12
1.0792,12
1.0414,11
1.2305,17
1.1761,15
1.0792,12
0.9542,9
0.9031,8
0.9031,8
0.9542,9
0.7782,6
0.7782,6
1.0,10
1.2041,16
1.2305,17
1.4472,28
1.2041,16
1.8261,67
1.2041,16
1.2553,18
1.2305,17
1.415,26
1.2553,18
1.2305,17
1.2041,16
1.2305,17
1.2041,16
1.2305,17
1.2553,18
1.2553,18
1.2553,18
1.2305,17
1.2041,16
1.2041,16
1.5051,32
1.2041,16
1.2041,16
1.2041,16
1.3222,21
1.2305,17
1.3424,22
1.6902,49
1.2041,16
1.2305,17
1.2553,18
1.2041,16
1.2041,16
1.2305,17
1.2787,19
1.3222,21
1.415,26
1.415,26
1.2787,19
1.2305,17
1.2041,16
1.2041,16
2.4281,268
2.5682,370
2.5185,330
2.316,207
2.7738,594
2.7619,578
2.8965,788
2.1614,145
1.9868,97
2.143,139
2.243,175
2.1584,144
1.8633,73
1.9494,89
1.8573,72
1.8062,64
2.0607,115
1.7634,58
1.7781,60
2.1271,134
1.716,52
2.0899,123
1.9085,81
1.7482,56
1.8325,68
1.8976,79
3.3071,2028
1.8921,78
2.1038,127
2.7324,540
2.8549,716
2.7566,571
3.0342,1082
3.0017,1004
2.6785,477
2.842,695
2.5038,319
2.7672,585
2.6946,495
2.692,492
2.9863,969
2.8651,733
2.989,975
2.8488,706
2.9666,926
2.8149,653
2.017,104
2.0212,105
1.9138,82
1.7559,57
2.0453,111
2.2068,161
1.8325,68
1.9395,87
1.9395,87
2.0531,113
3.2582,1812
1.6128,41
2.7694,588
2.0253,106
2.7868,612
2.1903,155
2.3927,247
2.1303,135
2.5752,376
2.3054,202
2.1206,132
2.2967,198
2.1072,128
2.1553,143
2.3444,221
2.0569,114
2.2455,176
2.2455,176
2.7101,513
2.1761,150
2.2577,181
2.4456,279
2.0253,106
2.1038,127
1.699,50
1.9445,88
1.5315,34
1.6628,46
1.5798,38
1.5441,35
1.8195,66
1.5911,39
1.5798,38
1.5051,32
1.8261,67
1.8062,64
2.0607,115
2.1271,134
1.8389,69
2.0043,101
2.7903,617
1.9685,93
1.8325,68
1.8261,67
2.2201,166
1.8751,75
1.9138,82
1.9085,81
1.7404,55
2.3181,208
2.1703,148
2.1004,126
2.2095,162
2.0,100
2.5172,329
1.716,52
2.1399,138
1.9395,87
1.9395,87
1.7482,56
2.8189,659
1.8195,66
2.2648,184
2.8209,662
2.2648,184
1.8451,70
2.0294,107
1.9243,84
2.1004,126
1.9542,90
2.1584,144
1.8261,67
1.9731,94
2.2122,163
2.3096,204
1.8921,78
1.7924,62
2.0414,110
1.8129,65
1.7634,58
1.8325,68
2.9149,822
1.8325,68
1.7708,59
1.8513,71
3.0531,1130
3.0512,1125
1.8195,66
1.8389,69
2.4065,255
1.8921,78
1.7324,54
1.8692,74
2.3979,250
1.7076,51
1.9345,86
1.7404,55
2.0414,110
2.574,375
1.8261,67
2.1004,126
1.8808,76
2.9445,880
1.716,52
2.0492,112
1.7708,59
1.9243,84
1.7404,55
1.8325,68
1.8921,78
2.0864,122
1.8261,67
1.7482,56
2.0043,101
1.8261,67
1.8865,77
1.9494,89
1.716,52
2.0212,105
1.7324,54
2.2856,193
2.3483,223
1.9345,86
2.0414,110
1.9085,81
2.0645,116
2.0414,110
1.9494,89
1.7076,51
1.8808,76
1.7076,51
2.4014,252
2.0086,102
2.9908,979
1.716,52
2.4624,290
1.7482,56
1.7482,56
2.3541,226
2.2718,187
2.233,171
2.5832,383
2.0792,120
2.6284,425
2.0453,111
1.9823,96
2.1239,133
1.7993,63
1.8389,69
2.2175,165
2.3892,245
1.9445,88
2.0253,106
2.1875,154
1.9445,88
2.2279,169
1.9031,80
1.7993,63
1.9243,84
1.8976,79
1.8195,66
2.5441,350
1.9294,85
1.9138,82
1.7781,60
2.0334,108
1.7559,57
1.5315,34
1.7076,51
2.0645,116
1.8976,79
2.0569,114
1.5798,38
1.5051,32
1.3979,25
1.6532,45
2.3483,223
1.7924,62
1.9243,84
2.1367,137
2.1703,148
1.716,52
1.8325,68
1.7781,60
2.0531,113
1.7076,51
1.8451,70
1.8195,66
2.017,104
2.1461,140
1.8062,64
1.7559,57
2.0569,114
1.7634,58
2.8848,767
1.8195,66
1.7708,59
1.9685,93
1.9243,84
1.8808,76
1.7993,63
1.716,52
1.9243,84
2.0828,121
1.7853,61
1.8751,75
1.8573,72
1.699,50
1.9445,88
2.0294,107
2.1673,147
1.9243,84
1.5051,32
1.7924,62
2.4362,273
3.0704,1176
3.3802,2400
2.248,177
1.7853,61
2.3424,220
1.8261,67
2.5327,341
1.7559,57
1.9031,80
2.0453,111
1.9912,98
2.2253,168
2.2355,172
2.8,631
3.0065,1015
2.749,561
3.9238,8391
2.1987,158
1.7781,60
1.7076,51
1.9542,90
2.3263,212
2.3365,217
1.9085,81
2.3784,239
1.7708,59
1.7993,63
2.3324,215
2.5441,350
2.0492,112
2.2304,170
2.1847,153
2.1461,140
2.2253,168
2.3541,226
2.0645,116
2.017,104
2.1931,156
2.1335,136
2.5763,377
2.3503,224
2.2122,163
2.2355,172
2.2648,184
2.4829,304
2.1461,140
2.4183,262
2.4166,261
2.0043,101
2.1584,144
2.0645,116
2.7505,563
3.5034,3187
2.3222,210
2.0492,112
2.0569,114
2.6493,446
2.143,139
2.2504,178
2.1072,128
2.6628,460
2.0492,112
2.0086,102
2.415,260
2.0253,106
2.2504,178
2.749,561
2.2695,186
2.1173,131
3.5097,3234
3.6687,4663
3.0394,1095
2.7033,505
2.7566,571
2.8976,790
2.9557,903
2.7411,551
2.5159,328
2.4314,270
2.3222,210
2.3636,231
2.0374,109
2.4048,254
2.0212,105
2.2201,166
2.0969,125
2.525,335
2.0043,101
2.1553,143
2.0569,114
2.0414,110
2.0569,114
2.0607,115
2.0934,124
2.0569,114
2.1206,132
2.4502,282
2.0969,125
2.42,263
2.2833,192
2.0828,121
2.3944,248
2.0334,108
2.0607,115
2.6107,408
2.6656,463
2.0828,121
1.8751,75
1.8129,65
2.0334,108
2.1239,133
1.7993,63
1.699,50
1.7924,62
2.3096,204
2.017,104
2.2923,196
2.2577,181
2.1106,129
2.1553,143
2.1004,126
2.0414,110
2.0043,101
2.2577,181
2.0864,122
2.0212,105
2.0531,113
2.1903,155
2.0294,107
2.0719,118
2.1673,147
2.1673,147
2.0212,105
2.0086,102
2.2068,161
2.2253,168
2.0969,125
2.0719,118
2.2923,196
2.4885,308
2.4378,274
2.1106,129
2.2878,194
2.4955,313
2.0569,114
2.1818,152
2.0682,117
2.1644,146
2.0253,106
2.243,175
2.3181,208
2.3766,238
2.5855,385
2.4609,289
2.5611,364
2.2279,169
2.0086,102
2.7589,574
2.2878,194
2.8921,780
2.5263,336
2.1106,129
2.1553,143
2.1492,141
2.1239,133
2.0043,101
2.1673,147
2.2122,163
2.3766,238
2.8445,699
2.7566,571
2.2455,176
2.1523,142
2.0756,119
2.0899,123
2.2095,162
2.5428,349
2.0864,122
2.3636,231
2.4579,287
2.1553,143
2.7152,519
2.0414,110
2.1461,140
2.3636,231
3.0149,1035
2.1367,137
2.7202,525
3.3915,2463
3.6333,4298
3.4221,2643
2.4297,269
2.574,375
1.1761,15
3.7507,5632
3.7746,5951
1.8389,69
2.1399,138
2.0645,116
2.4885,308
2.0645,116
2.1818,152
2.0334,108
2.5465,352
2.2787,190
2.0453,111
2.3243,211
3.8229,6652
2.4031,253
3.0512,1125
2.0414,110
2.0969,125
2.1761,150
2.1461,140
2.2989,199
2.0414,110
2.2923,196
2.1614,145
2.3284,213
2.2068,161
2.4829,304
2.2068,161
2.1367,137
2.0969,125
2.2765,189
2.0934,124
1.959,91
1.7482,56
1.9191,83
2.1173,131
2.4955,313
2.9499,891
2.1271,134
2.3617,230
2.0792,120
2.1239,133
2.0128,103
2.2304,170
2.2253,168
2.0969,125
2.3032,201
2.2279,169
2.1761,150
2.0128,103
2.1644,146
2.4683,294
2.2967,198
2.2833,192
2.2553,180
2.0294,107
2.2601,182
2.4216,264
2.3284,213
2.4885,308
2.4232,265
2.3598,229
2.4314,270
2.5911,390
2.3365,217
1.7482,56
2.0569,114
1.9956,99
2.3874,244
1.7482,56
2.4814,303
2.4885,308
2.143,139
2.2718,187
2.9405,872
2.2304,170
3.2438,1753
1.6902,49
2.5832,383
2.2095,162
3.0442,1107
2.2504,178
2.1173,131
2.8195,660
1.4624,29
3.0892,1228
2.7292,536
3.2292,1695
2.98,955
1.8751,75
1.7924,62
1.8325,68
1.8921,78
1.6902,49
1.7559,57
1.716,52
1.8865,77
1.6628,46
1.7708,59
3.6342,4307
4.0718,11797
4.0072,10166
2.5551,359
3.8241,6670
2.9917,981
3.1861,1535
4.198,15775
3.2674,1851
2.5353,343
2.2878,194
2.7218,527
2.5659,368
2.1139,130
2.3541,226
3.5127,3256
2.3054,202
2.0864,122
2.0756,119
2.0453,111
1.7404,55
3.0457,1111
2.8228,665
2.7093,512
3.3508,2243
2.2577,181
2.1584,144
2.1004,126
2.2945,197
2.2355,172
1.8195,66
1.8325,68
1.8062,64
1.7781,60
1.6812,48
1.4914,31
1.8389,69
1.9395,87
1.8451,70
1.9294,85
1.7324,54
1.6128,41
1.7559,57
2.2304,170
2.4116,258
2.2967,198
2.1072,128
1.8325,68
2.0531,113
2.3263,212
1.7781,60
1.9956,99
1.8692,74
2.0043,101
2.3345,216
1.7559,57
1.9345,86
2.3222,210
2.0414,110
1.8195,66
1.5185,33
1.9638,92
2.0453,111
2.1461,140
1.8692,74
2.6776,476
1.7708,59
2.0934,124
2.0756,119
3.0871,1222
1.8062,64
2.0,100
2.1903,155
3.1086,1284
1.9138,82
1.8389,69
1.8325,68
2.281,191
2.659,456
2.0569,114
1.7404,55
1.9294,85
1.7324,54
2.0719,118
1.7324,54
1.9912,98
2.2624,183
2.7604,576
2.6542,451
2.2878,194
1.8633,73
1.9345,86
2.1367,137
1.8513,71
1.5185,33
1.8751,75
1.7708,59
2.8048,638
2.0253,106
2.1553,143
2.2504,178
2.2787,190
2.4843,305
2.0969,125
2.6803,479
3.2292,1695
2.5132,326
2.3096,204
2.8537,714
2.4728,297
2.4786,301
2.3385,218
2.8716,744
2.2406,174
2.2253,168
2.847,703
2.6628,460
2.7067,509
2.2833,192
2.4843,305
2.5092,323
2.0899,123
2.301,200
2.9207,833
2.2923,196
2.6335,430
2.7396,549
3.1959,1570
3.3604,2293
3.6866,4860
3.7855,6102
2.0864,122
2.4456,279
2.6637,461
1.9395,87
1.9956,99
3.1526,1421
1.9395,87
2.1367,137
2.233,171
2.3598,229
3.4716,2962
2.5024,318
2.5478,353
2.0607,115
2.0043,101
3.2865,1934
2.1703,148
2.415,260
3.5218,3325
2.49,309
2.3927,247
2.0086,102
2.4728,297
3.7262,5323
1.716,52
2.301,200
2.6702,468
2.8142,652
1.9685,93
3.8429,6965
2.3874,244
1.7076,51
1.9031,80
2.0828,121
1.9956,99
2.4014,252
1.7404,55
3.5356,3432
2.433,271
1.9494,89
2.1173,131
2.1399,138
1.8325,68
1.9542,90
1.8573,72
1.7559,57
1.7993,63
2.0212,105
1.9345,86
1.8692,74
1.9138,82
1.8751,75
1.9138,82
2.1004,126
1.2553,18
1.5441,35
2.1106,129
1.9542,90
2.9159,824
3.2876,1939
2.5933,392
2.9222,836
2.2014,159
2.0531,113
2.0569,114
2.0645,116
2.2279,169
3.5543,3583
3.2076,1613
2.8722,745
3.2898,1949
2.9063,806
2.8507,709
2.9773,949
3.073,1183
2.9983,996
2.8774,754
2.9355,862
1.7853,61
2.2279,169
1.7324,54
2.5224,333
2.567,369
2.5563,360
2.2672,185
2.3541,226
4.5721,37334
2.3617,230
3.1664,1467
3.1082,1283
2.0294,107
2.8965,788
2.6222,419
2.2648,184
2.415,260
2.8733,747
3.0009,1002
2.1399,138
2.281,191
3.0233,1055
1.8062,64
2.0374,109
1.7993,63
2.1673,147
1.8865,77
2.1367,137
2.0043,101
3.4444,2782
2.4669,293
1.8921,78
1.8692,74
3.7795,6019
1.9191,83
1.8573,72
1.8633,73
2.444,278
1.9031,80
1.9191,83
2.6117,409
2.0086,102
1.7404,55
2.1903,155
1.7559,57
1.8692,74
2.1614,145
1.9138,82
1.7243,53
1.8513,71
1.8921,78
1.9494,89
2.1732,149
2.8943,784
1.716,52
1.9445,88
2.1761,150
2.0414,110
1.6233,42
1.8195,66
1.6902,49
2.4609,289
2.8176,657
1.6532,45
1.3979,25
1.9085,81
1.8325,68
2.5635,366
2.2856,193
2.6181,415
1.7324,54
1.8633,73
2.3503,224
2.5378,345
2.42,263
1.8325,68
2.0828,121
2.0128,103
2.143,139
2.143,139
2.2068,161
2.2253,168
2.9912,980
2.1761,150
4.2971,19818
2.3962,249
2.3139,206
2.4502,282
2.3139,206
2.3979,250
2.2304,170
1.8513,71
3.0938,1241
1.7781,60
1.8129,65
2.4232,265
3.2945,1970
2.3711,235
1.959,91
3.4832,3042
3.4299,2691
3.0515,1126
1.7076,51
1.8389,69
3.4506,2822
1.7924,62
3.905,8035
1.8062,64
3.2455,1760
3.0682,1170
3.7893,6156
2.017,104
2.617,414
2.2041,160
2.9722,938
2.6096,407
2.699,500
2.2742,188
2.7259,532
2.9786,952
3.1758,1499
3.0026,1006
3.1055,1275
3.2997,1994
3.5181,3297
3.3581,2281
3.0245,1058
2.0128,103
2.2041,160
2.2601,182
2.5403,347
2.0414,110
2.1614,145
2.1644,146
2.1461,140
2.3117,205
2.3541,226
2.0531,113
2.179,151
2.1206,132
2.3617,230
2.0414,110
2.1987,158
2.2201,166
2.1239,133
2.1072,128
2.3365,217
2.1038,127
2.0682,117
2.0569,114
2.1461,140
2.1492,141
2.1139,130
2.1072,128
1.8129,65
2.0253,106
2.3856,243
2.4683,294
2.5717,373
2.3075,203
2.1818,152
2.5551,359
1.7324,54
2.2095,162
3.3137,2059
3.2969,1981
1.8261,67
2.9232,838
1.7708,59
2.7952,624
1.9031,80
1.7404,55
1.7924,62
1.8451,70
1.8865,77
2.7348,543
1.9345,86
2.7235,529
2.6656,463
2.7505,563
2.4609,289
2.5635,366
2.3139,206
2.4297,269
2.3729,236
2.3766,238
2.3856,243
2.5276,337
2.4048,254
2.3263,212
2.5575,361
2.1072,128
2.1072,128
2.8122,649
2.4594,288
2.6375,434
2.5832,383
2.3075,203
3.2217,1666
2.7903,617
2.3096,204
2.2041,160
2.1644,146
2.3711,235
2.0253,106
1.7324,54
1.7482,56
3.0726,1182
1.8195,66
3.6774,4758
1.9243,84
1.8261,67
1.5441,35
1.7243,53
1.7708,59
1.8692,74
1.8692,74
1.8325,68
1.8633,73
1.7924,62
1.716,52
1.7853,61
1.9823,96
1.7853,61
2.3802,240
2.3424,220
1.5315,34
2.1703,148
2.0128,103
1.7404,55
2.5623,365
2.0374,109
1.5563,36
1.8325,68
1.9294,85
2.1004,126
2.0043,101
2.7657,583
1.9638,92
2.1173,131
2.1303,135
1.9191,83
1.5911,39
1.5051,32
1.6233,42
2.0756,119
1.5563,36
1.8062,64
1.6233,42
1.7559,57
1.5315,34
1.5911,39
2.4786,301
2.0212,105
2.1004,126
2.0086,102
2.3522,225
2.1139,130
2.0828,121
2.0645,116
2.0043,101
2.1903,155
2.1367,137
2.356,227
2.1614,145
2.0453,111
2.0682,117
2.0334,108
2.0645,116
1.7243,53
1.7781,60
1.9912,98
1.7993,63
1.716,52
1.9638,92
1.9345,86
1.9777,95
1.9085,81
1.7324,54
2.9004,795
1.716,52
1.8325,68
1.7076,51
1.8129,65
1.9345,86
1.7404,55
2.238,173
1.8808,76
1.7482,56
1.7634,58
1.7243,53
1.7708,59
1.8062,64
1.7324,54
2.3201,209
2.1931,156
1.7404,55
1.8692,74
1.7076,51
1.8865,77
1.9191,83
1.959,91
1.5441,35
2.2227,167
2.2878,194
1.5441,35
2.1239,133
3.2951,1973
1.8389,69
2.1553,143
2.1004,126
2.316,207
2.9345,860
2.5302,339
1.7404,55
2.5809,381
1.7243,53
1.8261,67
1.8808,76
1.8633,73
2.0086,102
1.3802,24
1.7781,60
1.9777,95
1.7993,63
2.1367,137
1.7781,60
2.1732,149
2.4281,268
1.9731,94
1.8261,67
1.7324,54
1.9191,83
1.8751,75
2.5024,318
2.3096,204
2.3201,209
2.5172,329
2.4487,281
2.2304,170
2.4425,277
2.3032,201
1.8325,68
1.9868,97
2.6551,452
2.3802,240
2.3711,235
2.3201,209
2.4757,299
2.5502,355
2.4829,304
2.8267,671
2.4362,273
2.4579,287
2.4654,292
2.6222,419
2.0128,103
