steel/table4.V18,steel/table4.V19,steel/table4.V5,steel/table4.V6,steel/table4.V9
0.0066,0.75,80,12,100
0.1311,0.5071,6625,351,42
0.0257,0.6604,175,53,104
0.0074,0.6667,77,15,104
0.0287,0.1096,2281,365,113
0.014,0.3878,400,49,78
0.1,0.8193,3920,166,45
0.0737,0.9091,368,110,111
0.0148,0.3065,747,62,85
0.0066,0.25,891,36,70
0.0382,0.4643,508,112,120
0.0322,0.803,784,66,67
0.0077,0.8667,81,15,91
0.0081,0.6471,144,17,88
0.006,0.7692,88,13,88
0.1274,0.6223,6525,278,38
0.006,0.4,193,25,78
0.0029,1.0,12,4,112
0.028,0.7451,229,51,116
0.0111,0.6522,112,23,87
0.0089,0.2542,1097,59,50
0.014,0.2639,445,72,91
0.0178,0.7073,206,41,104
0.0037,1.0,16,5,120
0.0047,0.8889,70,9,94
0.0066,0.75,54,12,79
0.0243,0.3235,2822,102,79
0.0103,0.7,143,20,96
0.0036,0.5454,52,11,86
0.0121,0.7692,56,26,116
0.0083,0.9333,137,15,109
0.0125,0.6539,194,26,99
0.1086,0.2459,13114,618,33
0.0102,0.5152,126,33,116
0.0081,0.7333,71,15,113
0.0124,0.3333,390,51,110
0.0052,0.875,45,8,93
0.0089,1.0,143,15,61
0.0237,1.0,60,40,102
0.0483,0.597,1973,134,105
0.0259,0.1862,4298,188,6
0.0126,0.8095,198,21,54
0.1177,0.2615,12051,631,33
0.0187,0.1215,1994,214,104
0.0112,1.0,55,19,114
0.0102,0.875,114,16,110
0.0071,0.2857,745,42,56
0.0071,0.7059,138,17,91
0.1027,0.8968,1107,155,107
0.0073,0.8571,110,14,73
0.0037,0.8333,17,6,113
0.1051,0.5766,4471,248,39
0.0061,0.3333,340,30,88
0.0103,0.8235,61,17,112
0.0059,0.7692,134,13,89
0.0074,0.2083,330,48,90
0.0071,0.3636,87,33,108
0.0059,0.6667,65,12,113
0.008,0.5909,251,22,89
0.0037,0.3125,89,16,110
0.1041,0.2216,9349,659,38
0.0228,0.5082,329,61,115
0.0089,0.8333,109,18,71
0.0147,0.8696,67,23,92
0.0089,0.7895,221,19,97
0.0564,0.2984,3432,258,92
0.0123,0.9444,132,18,105
0.1149,0.7723,5786,202,41
0.0071,0.48,148,25,91
0.0048,0.5333,81,15,99
0.0066,0.4737,148,19,101
0.0101,0.4595,282,37,61
0.0118,0.8421,116,19,82
0.1186,0.7523,5993,214,132
0.1114,0.264,11813,591,27
0.006,0.5882,79,17,115
0.1106,0.2086,9518,743,41
0.0087,1.0,106,12,107
0.003,0.8,12,5,125
0.0184,0.6944,235,36,119
0.008,0.9286,61,14,102
0.0061,0.7143,66,14,97
0.0066,0.4737,145,19,91
0.0073,0.6667,87,15,106
0.1602,0.2194,18517,1021,25
0.011,0.6522,54,23,125
0.0212,0.6042,129,48,112
0.0155,0.3281,566,64,89
0.0052,0.3684,74,19,98
0.0059,0.7273,81,11,107
0.1532,0.8703,1535,239,97
0.0236,0.6809,529,47,91
0.0096,0.8125,181,16,78
0.0081,0.1642,495,67,99
0.0081,0.2558,444,43,78
0.056,0.329,2406,231,116
0.0066,0.6429,72,14,82
0.0037,0.7143,17,7,114
0.0199,0.8182,305,33,80
0.0044,1.0,18,6,117
0.0978,0.7472,4048,178,50
0.0545,0.6789,563,109,107
0.0117,0.32,136,50,119
0.0065,0.9167,161,12,96
0.012,0.625,456,32,92
0.0131,0.6207,78,29,111
0.014,0.5,130,38,115
0.0141,1.0,82,23,123
0.1291,0.5932,6182,295,42
0.0052,1.0,15,7,123
0.0065,0.275,194,40,35
0.0123,0.8095,252,21,87
0.0073,0.5,102,24,118
0.0061,0.381,63,21,107
0.0067,0.9,63,10,111
0.0191,0.6047,281,43,104
0.0148,0.8929,73,28,111
0.0091,0.7895,56,19,120
0.1031,0.7568,3876,185,70
0.0066,0.3913,226,23,93
0.0096,0.52,375,25,48
0.0309,0.5317,359,79,130
0.0154,0.6364,519,33,65
0.1084,0.2331,10743,652,38
0.0123,0.9444,133,18,77
0.0096,0.52,170,25,84
0.0066,0.9,66,10,101
0.0094,0.8125,108,16,195
0.0079,0.7857,85,14,111
0.0044,0.3529,51,17,51
0.0859,0.7178,3287,163,50
0.0052,0.5385,55,13,107
0.0081,0.1487,716,74,97
0.0148,0.198,585,101,96
0.0088,0.5714,114,21,90
0.0066,0.3214,171,28,95
0.0047,0.8,67,10,94
0.0136,0.9583,80,24,103
0.0132,0.6,61,30,86
0.0077,0.5652,200,23,77
0.005,0.875,68,8,177
0.1106,0.7243,5702,214,47
0.1237,0.7534,6484,223,40
0.0066,0.8182,67,11,96
0.0218,1.0,75,30,104
0.0041,0.7778,36,9,64
0.0184,0.3677,204,68,114
0.0095,0.3636,192,44,112
0.003,1.0,10,4,119
0.0053,0.6923,121,13,89
0.011,0.4688,118,32,78
0.0912,0.6108,3900,203,71
0.1,0.4308,5731,325,41
0.1086,0.239,8457,636,38
0.0048,0.6154,103,13,97
0.0067,0.9,52,10,83
0.02,0.1436,2463,188,42
0.0079,0.9167,92,12,128
0.0095,0.9412,88,17,111
0.0088,0.6667,135,18,55
0.0042,0.5833,74,12,76
0.0052,0.6364,52,11,105
0.0196,0.1435,9052,230,23
0.1268,0.6056,6137,284,48
0.0055,0.75,80,12,91
0.0088,0.4,239,30,100
0.0044,0.2609,145,23,108
0.1307,0.2414,11535,758,23
0.1129,0.2772,12834,570,37
0.0059,0.625,92,16,71
0.0111,0.6818,117,22,89
0.0081,0.5789,119,19,179
0.0073,0.3846,68,26,120
0.0116,0.3404,150,47,120
0.0095,0.4815,216,27,93
0.1235,0.6537,4788,257,63
0.0066,1.0,32,9,191
0.0088,0.6316,193,19,66
0.0083,0.8235,115,17,67
0.0077,0.8667,114,15,71
0.0044,0.4,87,15,109
0.0047,0.8889,169,9,87
0.0061,0.5882,138,17,101
0.0052,0.6364,71,11,81
0.0074,0.5,52,20,130
0.0162,0.5789,282,38,77
0.0066,0.5294,105,17,151
0.0178,0.566,617,53,70
0.0443,0.239,6102,251,87
0.0074,0.7143,69,14,98
0.1283,0.5273,6282,330,41
0.0066,0.36,169,25,96
0.005,0.5385,82,13,106
0.0654,0.8015,955,136,99
0.0081,0.9167,51,12,107
0.1077,0.2459,12108,614,34
0.0206,0.549,361,51,121
0.0055,0.45,188,20,95
0.0066,0.75,54,12,101
0.1303,0.6914,6944,256,41
0.0074,0.6667,67,15,113
0.0053,0.375,200,24,90
0.0088,0.5,244,24,66
0.0081,0.44,140,25,103
0.0047,0.6667,90,12,93
0.0066,0.5294,54,17,97
0.0714,0.2419,7080,492,43
0.0494,0.3045,1961,220,115
0.0096,0.65,59,20,87
0.0041,0.875,137,8,92
0.128,0.2403,15937,745,31
0.0065,0.8461,145,13,111
0.0074,0.7692,58,13,112
0.0115,0.9048,51,21,102
0.1257,0.203,15050,867,21
0.0059,0.9091,73,11,70
0.1259,0.6429,6175,266,46
0.1267,0.587,6381,293,46
0.0094,0.6842,527,19,47
0.0148,0.8333,204,30,95
0.0089,0.6522,184,23,82
0.0214,0.271,2483,107,44
0.0022,1.0,6,3,107
0.0104,0.7,199,20,80
0.1035,0.7382,4409,191,47
0.0052,0.7778,84,9,107
0.1239,0.5833,5533,288,43
0.0037,0.3125,250,16,106
0.0051,0.2,120,35,118
0.1327,0.5806,6605,310,38
0.0096,0.65,291,20,68
0.0124,0.5122,210,41,119
0.0058,1.0,52,8,178
0.0228,0.0645,10914,481,21
0.0071,0.8571,90,14,67
0.1064,0.2573,13612,579,30
0.0059,0.4444,105,18,120
0.6226,0.9965,15208,861,22
0.0168,0.8235,207,34,114
0.0113,0.7308,254,26,89
0.0554,1.0,131,68,54
0.008,0.2895,201,38,123
0.0083,0.3784,862,37,63
0.1106,0.4859,5519,319,34
0.0066,0.6429,84,14,105
0.0118,0.5714,158,28,89
0.0155,0.75,425,28,48
0.0065,1.0,86,11,90
0.0068,0.5625,133,16,105
0.0089,0.5909,54,22,110
0.0125,0.1615,3583,130,65
0.0986,0.6,5480,230,53
0.0213,0.1266,3883,229,78
0.0074,0.6667,99,15,92
0.0095,0.5517,67,29,102
0.0205,0.6364,112,44,120
0.0183,0.8333,94,30,117
0.0053,0.8182,58,11,97
0.132,0.6679,7250,268,40
0.0065,0.7333,101,15,66
0.0044,0.4,59,15,41
0.0041,0.5833,318,12,19
0.0065,0.6111,116,18,64
0.0088,0.8,86,15,91
0.0103,0.5833,205,24,108
0.1264,0.2056,16164,861,23
0.0222,0.9091,130,33,192
0.0091,0.4688,278,32,68
0.0059,0.6154,88,13,81
0.1243,0.2597,16968,670,26
0.1274,0.6268,6827,276,40
0.0079,0.9167,85,12,139
0.1099,0.596,6232,250,48
0.0083,0.6087,208,23,61
0.0066,0.6,74,15,36
0.0221,0.5882,299,51,116
0.0015,1.0,2,2,126
0.0081,0.5,227,22,135
0.0054,0.5294,116,17,65
0.0053,0.75,110,12,71
0.014,0.76,146,25,105
0.0029,0.2222,83,18,71
0.0103,0.3684,197,38,86
0.0081,0.1341,477,82,96
0.1113,0.1967,14309,793,31
0.0088,0.9231,122,13,65
0.0095,0.7222,128,18,132
0.0058,0.8889,65,9,161
0.0157,0.6667,244,39,113
0.0061,0.5882,116,17,71
0.0094,0.2712,794,59,62
0.0191,0.5306,1015,49,76
0.0052,0.7778,16,9,115
0.0137,0.322,892,59,68
0.0243,0.4342,434,76,97
0.1267,0.4832,6532,356,43
0.0029,1.0,9,4,107
0.0055,0.9,57,10,101
0.0274,0.0794,7292,466,43
0.0199,0.5745,169,47,107
0.0103,0.0657,2705,213,28
0.0199,0.9,119,30,110
0.011,0.5556,101,27,128
0.0103,0.85,144,20,84
0.0059,0.7143,91,14,64
0.0116,0.6154,211,26,102
0.0079,0.6842,79,19,116
0.0913,0.8267,4239,150,65
0.0278,0.5278,313,72,106
0.0037,1.0,16,5,111
0.0287,0.8667,111,45,109
0.0071,0.9231,442,13,76
0.0087,0.3429,289,35,75
0.0044,0.75,57,8,110
0.0074,0.4348,80,23,41
0.0081,0.8461,59,13,89
0.0074,0.8333,65,12,89
0.1237,0.6316,6662,266,41
0.0231,0.5588,1284,68,42
0.0059,0.6154,26,13,123
0.0053,0.4091,227,22,74
0.0132,0.5806,114,31,104
0.0207,0.1867,1543,150,81
0.0068,0.9167,57,12,103
0.0044,1.0,16,6,111
0.0041,0.7778,32,9,85
0.0103,1.0,34,14,121
0.0044,0.6667,16,9,123
0.0047,0.1026,788,78,86
0.1289,0.6387,6882,274,48
0.0229,0.369,709,84,105
0.0088,0.6316,183,19,91
0.0111,0.5758,123,33,116
0.0059,0.625,87,16,84
0.1327,0.6383,6490,282,36
0.1113,0.2699,8709,578,47
0.07,0.8962,343,106,105
0.1244,0.645,6294,262,45
0.0162,0.2076,884,106,77
0.0044,0.4615,107,13,96
0.0191,0.6842,196,38,84
0.1336,0.2297,18071,814,27
0.0047,0.4444,135,18,103
0.0071,0.75,144,16,84
0.02,1.0,150,27,96
0.0066,0.45,154,20,103
0.133,0.2438,17810,763,25
0.0059,0.6154,60,13,86
0.1091,0.2413,10913,634,25
0.0131,0.5,146,36,114
0.1291,0.7202,6472,243,44
0.0091,0.75,252,20,92
0.0047,0.5333,109,15,103
0.0074,0.375,126,32,125
0.1327,0.3015,12212,617,27
0.0088,0.75,118,16,103
0.0148,0.5263,114,38,106
0.0142,0.7273,655,33,54
0.1156,0.8177,6277,192,43
0.0059,0.9091,62,11,80
0.0319,0.6279,345,86,123
0.0085,0.7,169,20,64
0.0087,0.9231,130,13,61
0.0161,0.7097,122,31,82
0.0052,0.2593,139,27,110
0.0095,0.8125,101,16,74
0.0136,0.8846,329,26,58
0.0088,0.8571,133,14,84
0.1267,0.5911,5753,291,40
0.0081,0.4231,221,26,66
0.0227,0.7046,638,44,53
0.042,0.9828,194,58,105
0.0179,0.3731,354,67,120
0.1289,0.7172,6615,244,36
0.0611,0.8644,536,118,106
0.0059,0.8889,18,9,117
0.0081,0.2683,352,41,92
0.1318,0.6027,6828,297,42
0.0118,0.5714,268,28,84
0.0088,0.48,103,25,122
0.0088,0.75,53,20,113
0.0066,0.5,145,18,132
0.0081,0.44,289,25,92
0.0089,0.4,324,30,65
0.0944,0.5982,1981,219,104
0.0248,1.0,59,42,97
0.0106,0.36,771,50,63
0.0047,0.6154,67,13,86
0.0041,0.7,56,10,104
0.0243,0.5156,289,64,109
0.0118,0.8421,74,19,79
0.0095,0.4483,308,29,113
0.006,0.7143,114,14,102
0.0155,0.1469,1590,143,80
0.1649,0.2783,16052,805,26
0.0126,0.5862,185,29,88
0.0096,0.8667,59,15,112
0.0171,0.2358,703,123,63
0.0118,0.9412,102,17,162
0.0071,1.0,113,12,86
0.0044,0.8571,17,7,129
0.0044,0.3158,127,19,99
0.0072,0.7692,72,13,168
0.0047,0.5714,35,14,51
0.0288,0.975,207,40,115
0.0254,0.5811,265,74,114
0.0052,0.875,36,8,172
0.0117,0.8,212,20,77
0.008,0.7857,89,14,125
0.0089,0.5454,269,22,71
0.0243,0.5323,288,62,84
0.1091,0.2598,13946,589,33
0.005,0.7778,52,9,161
0.0139,0.76,142,25,119
0.0088,0.8571,172,14,91
0.0301,0.1144,3297,367,113
0.0185,0.7576,116,33,150
0.0155,0.2877,578,73,100
0.0081,1.0,62,11,93
0.0077,0.7222,163,18,93
0.0066,0.75,73,12,80
0.0087,0.9231,137,13,85
0.0059,0.7692,76,13,79
0.0088,0.8,111,15,84
0.0044,0.4286,69,14,92
0.0049,0.4,110,20,100
0.0096,0.52,153,25,90
0.014,0.6552,128,29,96
0.0059,0.6667,134,12,100
0.011,0.3488,235,43,106
0.0096,0.2407,395,54,92
0.0071,0.8,480,15,102
0.0201,1.0,86,34,52
0.0088,0.3429,294,35,47
0.1289,0.7883,6515,222,39
0.0148,0.7407,140,27,99
0.0077,0.8125,132,16,68
0.0065,0.7333,86,15,73
0.0059,0.8333,67,12,87
0.1259,0.6264,5816,273,51
0.0074,0.4167,155,24,96
0.0117,0.1616,1004,99,109
0.0569,0.8067,1812,119,82
0.0125,0.3088,1949,68,56
0.0065,0.6111,170,18,79
0.0047,0.8,34,10,91
0.0177,0.192,617,125,113
0.0896,0.6524,3703,187,37
0.006,0.8333,54,12,123
0.0073,0.4167,97,24,123
0.0124,0.7391,196,23,82
0.0109,0.4688,217,32,107
0.0947,0.7771,3985,166,41
0.0035,0.4286,83,14,110
0.0463,0.3182,3042,198,70
0.1105,0.625,5757,240,38
0.0125,0.5667,138,30,114
0.5692,0.9083,14386,851,27
0.0044,0.6667,17,9,122
0.1723,0.2586,19818,905,46
0.0047,0.8,78,10,79
0.1318,0.2307,17706,802,24
0.0074,0.6667,76,15,43
0.0059,0.3636,190,22,95
0.0066,0.6923,60,13,91
0.0117,0.3636,308,44,82
0.0059,0.4706,81,17,113
0.0066,1.0,171,9,77
0.0066,0.8182,52,11,81
0.0956,0.7345,4071,177,56
0.0071,0.8,110,15,83
0.0096,0.4643,170,28,105
0.1229,0.2164,13975,795,29
0.115,0.8298,5970,188,43
0.1111,0.2066,10986,755,44
0.0589,0.3306,1834,242,114
0.0069,0.6429,114,14,81
0.014,0.9048,262,21,88
0.008,0.8461,140,13,82
0.0125,0.1717,695,99,111
0.0052,0.5385,176,13,99
0.0162,0.5116,140,43,118
0.022,0.1299,2962,231,101
0.1091,0.2652,11505,577,27
0.0111,0.375,376,40,81
0.0079,0.55,630,20,64
0.0184,0.2551,1348,98,81
0.0153,0.6364,180,33,119
0.0928,0.6848,3661,184,43
0.014,0.6129,184,31,96
0.0074,0.5454,201,22,79
0.0971,0.6701,4130,197,37
0.0118,0.6956,85,23,93
0.0041,0.7778,39,9,101
0.0095,0.3823,270,34,96
0.0037,0.3333,70,15,106
0.0053,0.3913,167,23,35
0.0143,0.2532,952,79,77
0.0126,0.3696,247,46,121
0.0037,0.3846,76,13,118
0.0044,0.375,60,16,110
0.1238,0.2633,11875,657,32
0.0073,0.1471,571,68,98
0.0068,0.6875,104,16,110
0.0125,0.8095,59,21,97
0.0081,0.8461,68,13,91
0.025,0.5965,337,57,119
0.1141,0.7561,6227,205,38
0.0213,0.9,160,40,117
0.0125,0.7391,60,23,124
0.1276,0.5635,6176,307,36
0.025,0.2448,935,143,119
0.0081,0.7857,68,14,77
0.0043,0.6667,52,9,159
0.0103,0.9444,210,18,48
0.0161,0.6875,375,32,48
0.0234,0.5652,1228,69,55
0.0103,0.6364,173,22,85
0.0081,0.7333,51,15,117
0.125,0.2472,13553,708,30
0.0484,0.6168,350,107,125
0.0118,0.5714,78,28,105
0.0074,0.8333,61,12,96
0.1303,0.6413,6450,276,43
0.0047,0.5714,64,14,91
0.0243,0.3402,419,97,117
0.1293,0.2394,15896,756,22
0.0875,0.7301,3437,163,45
0.1274,0.6732,6357,257,41
0.013,0.5238,102,42,114
0.0065,1.0,96,9,128
0.0089,0.5714,184,21,85
0.0088,0.5,308,30,79
0.1274,0.7269,6855,238,38
0.0236,0.8649,1467,37,83
0.0083,0.56,159,25,105
0.0059,0.8,55,10,100
0.0546,0.1252,7579,591,95
0.0258,0.4479,2400,96,69
0.0059,0.5,75,16,104
0.0059,0.5,111,16,110
0.0044,0.4,68,15,106
0.0049,0.6154,110,13,84
0.1569,0.1933,21110,1138,21
0.1154,0.785,6008,200,45
0.0053,0.5294,201,17,123
0.0236,0.3556,1784,90,95
0.01,0.3469,460,49,86
0.0073,0.7143,104,14,84
0.1035,0.8198,3918,172,39
0.0104,0.4828,268,29,79
0.0042,0.7,61,10,91
0.0035,0.6667,32,9,105
0.0065,0.6429,114,14,94
0.0052,0.7778,34,9,167
0.0192,0.8387,120,31,90
0.0142,0.2353,1130,102,77
0.0088,0.8,141,15,99
0.0052,0.6364,68,11,97
0.0103,0.8947,155,19,71
0.0074,0.9091,59,11,86
0.0102,0.3333,198,42,118
0.0065,0.8461,68,13,80
0.005,0.875,60,8,178
0.0887,0.7813,1939,192,109
0.0191,0.8125,116,32,121
0.0055,0.75,79,12,86
0.0091,0.9375,82,16,100
0.0053,0.375,192,24,82
0.01,0.2414,279,58,118
0.0035,1.0,25,6,105
0.1237,0.549,6279,306,36
0.0058,1.0,70,8,143
0.0067,0.45,156,20,101
0.0037,0.6667,85,9,97
0.0428,1.0,122,58,116
0.0971,0.4857,6381,280,41
0.031,0.4615,383,91,114
0.0055,0.45,146,20,88
0.1303,0.6756,7038,262,42
0.0096,0.6842,103,19,112
0.1016,0.771,4396,179,68
0.1289,0.6757,6776,259,37
0.0059,0.9091,132,11,124
0.0044,0.8571,19,7,120
0.0068,0.7857,68,14,96
0.0221,0.6122,156,49,122
0.0036,0.5454,71,11,91
0.0041,0.875,33,8,102
0.0128,0.1438,2490,146,19
0.0058,0.8889,66,9,178
0.017,0.217,780,106,96
0.0289,0.1931,2875,202,82
0.0154,0.6,106,35,89
0.0088,0.3158,212,38,90
0.0059,1.0,21,8,120
0.0065,0.9167,101,12,81
0.0103,0.2615,409,65,103
0.0443,0.3543,1909,175,120
0.0074,0.5,55,20,109
0.0692,0.3013,2795,312,115
0.0185,0.7576,451,33,25
0.0287,0.5571,384,70,115
0.0094,0.9412,194,17,77
0.1326,0.6316,6999,285,43
0.0071,0.8571,114,14,79
0.0139,0.7037,287,27,27
0.0052,0.7,53,10,81
0.0242,0.7174,274,46,101
0.0096,0.2955,677,44,72
0.0449,0.2355,2160,259,116
0.0111,0.8333,83,18,116
0.0044,1.0,32,6,98
0.0058,0.6667,74,12,163
0.0103,0.5833,172,24,105
0.0544,0.3413,3187,208,87
0.0066,0.2903,319,31,101
0.0087,0.3158,264,38,106
0.0082,0.4583,208,24,84
0.0074,0.6,234,20,66
0.0071,0.2143,372,56,77
0.0169,0.3771,521,61,43
0.0053,0.45,182,20,72
0.089,0.7707,3324,157,42
0.0048,0.5333,63,15,73
0.0071,0.8,102,15,77
0.0095,0.2963,549,54,94
0.0162,0.234,787,94,94
0.0066,0.5,180,18,80
0.0053,0.8182,38,11,96
0.0088,0.6316,49,19,118
0.0077,0.3514,471,37,62
0.0156,0.1831,1421,142,47
0.0086,0.2857,407,42,84
0.0161,0.7097,101,31,118
0.0059,0.6154,90,13,114
0.0081,0.7857,89,14,108
0.0303,0.204,2267,201,96
0.0081,0.6471,52,17,95
0.122,0.2575,11271,664,27
0.0206,0.4828,153,58,118
0.0051,0.4375,105,16,106
0.0077,0.7647,124,17,81
0.0041,0.2414,181,29,99
0.0125,0.7727,67,22,120
0.0308,0.1414,5390,297,9
0.0285,0.6964,271,56,112
0.0086,0.6087,266,23,49
0.1238,0.2267,13387,763,29
0.0047,0.8889,60,9,62
0.0066,0.5789,106,19,63
0.0071,0.8,105,15,59
0.0053,0.6,126,15,84
0.0052,0.5,139,14,108
0.0073,0.8,83,15,101
0.0119,0.1923,1613,104,72
0.0022,1.0,8,3,108
0.0055,0.5625,86,16,100
0.0095,1.0,175,13,61
0.0059,0.3636,128,22,111
0.0088,0.6316,150,19,81
0.0103,0.875,99,16,111
0.0514,0.4394,3234,198,75
0.0071,0.3429,379,35,80
0.0024,1.0,18,4,102
0.1244,0.7717,6234,219,43
0.0081,0.4783,98,23,89
0.0144,0.8696,226,23,86
0.036,0.5385,671,91,119
0.0066,1.0,52,9,87
0.0072,1.0,214,10,70
0.0111,0.75,258,20,77
0.0073,0.8571,73,14,86
0.0207,0.3085,539,94,119
0.0941,0.7314,3961,175,66
0.0154,0.525,129,40,84
0.0074,0.8333,106,12,107
0.0047,0.4706,267,17,76
0.0073,0.5556,107,18,110
0.0051,0.7,51,10,93
0.0052,0.7778,63,9,115
0.0059,0.7273,40,11,89
0.0052,0.4118,86,17,102
0.0427,0.3204,1685,181,115
0.0059,0.8333,64,12,97
0.008,0.8125,137,16,81
0.0081,1.0,28,11,120
0.0071,0.8571,125,14,73
0.0184,0.7143,574,35,89
0.0074,0.5882,150,17,105
0.0254,0.5454,1222,77,36
0.1293,0.2539,17887,713,21
0.043,0.388,1241,183,0
0.0088,0.75,119,16,56
0.0102,0.5385,120,26,117
0.008,0.4063,515,32,46
0.025,0.7907,219,43,109
0.0088,0.8,143,15,56
0.0044,0.4286,64,14,111
0.0066,0.6429,76,14,84
0.0081,0.1467,733,75,98
0.0059,0.7273,56,11,90
0.0125,0.3617,265,47,86
0.0118,0.0724,3319,221,37
0.0088,0.3077,341,39,121
0.0079,1.0,88,11,134
0.4698,0.905,11797,705,78
0.0195,0.6346,460,52,103
0.0227,0.5536,212,56,119
0.0065,0.9167,69,12,99
0.0022,0.25,74,12,112
0.0184,0.5682,146,44,102
0.0095,0.3478,1506,46,53
0.0236,0.2895,677,114,120
0.1215,0.6298,5814,262,44
0.0096,0.5,130,26,90
0.0071,0.8,114,15,80
0.0137,0.6786,566,28,70
0.0077,0.9286,93,14,75
0.0059,0.6667,87,15,82
0.0066,0.75,54,12,114
0.0174,0.8,99,30,125
0.1107,0.2445,12729,634,29
0.0132,0.7826,117,23,89
0.0142,0.6154,335,39,82
0.0053,0.9,54,10,90
0.1054,0.6192,4881,239,40
0.0184,0.8065,62,31,114
0.0052,0.5,111,14,144
0.0048,0.875,41,8,100
0.075,0.7225,3630,173,35
0.0426,0.2214,2463,262,116
0.0184,0.8929,170,28,114
0.2537,0.9557,4307,361,64
0.0147,0.5263,204,38,105
0.01,0.7083,260,24,52
0.0043,0.6364,60,11,102
0.0065,1.0,75,9,150
0.1224,0.5993,5724,277,37
0.0077,0.3714,326,35,87
0.013,1.0,136,18,192
0.0081,0.7333,126,15,104
0.0044,0.75,18,8,127
0.0762,0.2749,7639,462,40
0.0142,0.96,51,25,77
0.0059,0.8889,52,9,101
0.0266,0.3103,1695,145,80
0.0072,1.0,124,12,85
0.0112,0.6786,103,28,95
0.0067,0.8461,100,13,77
0.0044,0.6667,49,9,115
0.0465,0.7875,980,80,24
0.0266,0.8571,513,42,105
0.013,0.1343,2145,134,16
0.0077,0.8125,110,16,75
0.0066,0.36,207,25,93
0.0104,1.0,197,14,89
0.1259,0.5797,5544,295,43
0.0148,0.3472,744,72,77
0.0073,0.48,184,25,85
0.0088,0.625,285,24,81
0.0089,0.9375,178,16,69
0.0077,0.8667,107,15,65
0.006,0.8333,89,12,78
0.003,0.2667,73,15,109
0.011,0.7143,105,21,85
0.1063,0.6422,4995,232,39
0.0143,0.3771,373,61,107
0.0081,0.2619,295,42,96
0.0109,0.9375,194,16,68
0.0043,0.5833,63,12,104
0.0047,1.0,46,8,97
0.0044,0.4,58,15,116
0.0192,0.6842,301,38,160
0.1077,0.2807,11711,538,30
0.008,1.0,71,13,84
0.1664,0.9076,1753,249,101
0.1265,0.6078,6025,283,39
0.0059,0.6667,71,12,86
0.0136,0.6571,186,35,87
0.0075,0.2778,210,36,73
0.1016,0.7841,4417,176,68
0.0095,0.3611,437,36,63
0.0197,0.4355,209,62,121
0.0169,0.6053,181,38,82
0.0079,0.8461,376,13,91
0.0048,0.5,124,16,97
0.0088,0.8,168,15,105
0.0242,0.7069,571,58,73
0.0073,0.4348,170,23,118
0.0277,0.5165,381,91,111
0.1049,0.2352,9927,625,39
0.0081,0.4583,180,24,87
0.0066,0.75,121,12,97
0.0153,0.2283,3214,92,33
0.0198,0.6136,168,44,86
0.006,0.4,308,25,55
0.0249,0.6939,269,49,109
0.0071,0.8571,65,14,103
