steel/table13.V22,steel/table13.V5
2.574,375
2.5551,359
2.7152,519
4.0311,10743
2.1239,133
2.2304,170
1.8195,66
2.0334,108
1.9294,85
1.7076,51
3.5168,3287
1.7404,55
2.8549,716
2.7672,585
2.0569,114
2.233,171
1.8261,67
1.9031,80
1.7853,61
2.301,200
1.8325,68
3.756,5702
3.8118,6484
1.8261,67
1.8751,75
1.5563,36
2.3096,204
2.2833,192
1.0,10
2.0828,121
2.0719,118
3.5911,3900
3.7582,5731
3.9272,8457
2.0128,103
1.716,52
3.3915,2463
1.9638,92
1.9445,88
2.1303,135
1.8692,74
1.716,52
3.9567,9052
3.788,6137
1.9031,80
2.3784,239
2.1614,145
4.062,11535
4.1084,12834
1.9638,92
2.0682,117
2.0756,119
1.8325,68
2.1761,150
2.3345,216
3.6802,4788
1.5051,32
2.2856,193
2.0607,115
2.0569,114
1.9395,87
2.2279,169
2.1399,138
1.8513,71
1.716,52
2.4502,282
2.0212,105
2.7903,617
3.7855,6102
1.8389,69
3.7981,6282
2.2279,169
1.9138,82
2.98,955
1.7076,51
4.0831,12108
2.5575,361
2.2742,188
1.7324,54
3.8416,6944
1.8261,67
2.301,200
2.3874,244
2.1461,140
1.9542,90
1.7324,54
3.85,7080
3.2925,1961
1.7708,59
2.1367,137
4.2024,15937
2.1614,145
1.7634,58
1.7076,51
4.1775,15050
1.8633,73
3.7906,6175
3.8049,6381
2.7218,527
2.3096,204
2.2648,184
3.395,2483
0.7782,6
2.2989,199
3.6443,4409
1.9243,84
3.743,5533
2.3979,250
2.0792,120
3.8199,6605
2.4639,291
2.3222,210
1.716,52
4.038,10914
1.9542,90
4.1339,13612
2.0212,105
4.1821,15208
2.316,207
2.4048,254
2.1173,131
2.3032,201
2.9355,862
3.7419,5519
1.9243,84
2.1987,158
2.6284,425
1.9345,86
2.1239,133
1.7324,54
3.5543,3583
3.7388,5480
3.5892,3883
1.9956,99
1.8261,67
2.0492,112
1.9731,94
1.7634,58
3.8603,7250
2.0043,101
1.7708,59
2.5024,318
2.0645,116
1.9345,86
2.3117,205
4.2085,16164
2.1139,130
2.444,278
1.9445,88
4.2296,16968
3.8342,6827
1.9294,85
3.7946,6232
2.3181,208
1.8692,74
2.4757,299
0.301,2
2.356,227
2.0645,116
2.0414,110
2.1644,146
1.9191,83
2.2945,197
2.6785,477
4.1556,14309
2.0864,122
2.1072,128
1.8129,65
2.3874,244
2.0645,116
2.8998,794
3.0065,1015
1.2041,16
2.9504,892
2.6375,434
3.815,6532
0.9542,9
1.7559,57
3.8628,7292
2.2279,169
3.4322,2705
2.0756,119
2.0043,101
2.1584,144
1.959,91
2.3243,211
1.8976,79
3.6273,4239
2.4955,313
1.2041,16
2.0453,111
2.6454,442
2.4609,289
1.7559,57
1.9031,80
1.7708,59
1.8129,65
3.8236,6662
3.1086,1284
1.415,26
2.356,227
2.0569,114
3.1884,1543
1.7559,57
1.2041,16
1.5051,32
1.5315,34
1.2041,16
2.8965,788
3.8377,6882
2.8507,709
2.2624,183
2.0899,123
1.9395,87
3.8122,6490
3.94,8709
2.5353,343
3.7989,6294
2.9464,884
2.0294,107
2.2923,196
4.257,18071
2.1303,135
2.1584,144
2.1761,150
2.1875,154
4.2507,17810
1.7781,60
4.0379,10913
2.1644,146
3.811,6472
2.4014,252
2.0374,109
2.1004,126
4.0868,12212
2.0719,118
2.0569,114
2.8162,655
3.7977,6277
1.7924,62
2.5378,345
2.2279,169
2.1139,130
2.0864,122
2.143,139
2.0043,101
2.5172,329
2.1239,133
3.7599,5753
2.3444,221
2.8048,638
2.2878,194
2.549,354
3.8205,6615
2.7292,536
1.2553,18
2.5465,352
3.8343,6828
2.4281,268
2.0128,103
1.7243,53
2.1614,145
2.4609,289
2.5106,324
3.2969,1981
1.7708,59
2.887,771
1.8261,67
1.7482,56
2.4609,289
1.8692,74
2.4885,308
2.0569,114
3.2014,1590
4.2055,16052
2.2672,185
1.7708,59
2.847,703
2.0086,102
2.0531,113
1.2305,17
2.1038,127
1.8573,72
1.5441,35
2.316,207
2.4232,265
1.5563,36
2.3263,212
1.9494,89
2.4297,269
2.4594,288
4.1445,13946
1.716,52
2.1523,142
2.2355,172
3.5181,3297
2.0645,116
2.7619,578
1.7924,62
2.2122,163
1.8633,73
2.1367,137
1.8808,76
2.0453,111
1.8389,69
2.0414,110
2.1847,153
2.1072,128
2.1271,134
2.3711,235
2.5966,395
2.6812,480
1.9345,86
2.4683,294
3.8139,6515
2.1461,140
2.1206,132
1.9345,86
1.8261,67
3.7646,5816
2.1903,155
3.0017,1004
3.2582,1812
3.2898,1949
2.2304,170
1.5315,34
2.7903,617
3.5686,3703
1.7324,54
1.9868,97
2.2923,196
2.3365,217
3.6004,3985
1.9191,83
3.4832,3042
3.7602,5757
2.1399,138
4.1579,14386
1.2305,17
4.2971,19818
1.8921,78
4.2481,17706
1.8808,76
2.2787,190
1.7781,60
2.4885,308
1.9085,81
2.233,171
1.716,52
3.6097,4071
2.0414,110
2.2304,170
4.1453,13975
3.776,5970
4.0408,10986
3.2634,1834
2.0569,114
2.4183,262
2.1461,140
2.842,695
2.2455,176
2.1461,140
3.4716,2962
4.0609,11505
2.5752,376
2.7993,630
3.1297,1348
2.2553,180
3.5636,3661
2.2648,184
2.3032,201
3.616,4130
1.9294,85
1.5911,39
2.4314,270
1.8451,70
2.2227,167
2.9786,952
2.3927,247
1.8808,76
1.7781,60
4.0746,11875
2.7566,571
2.017,104
1.7708,59
1.8325,68
2.5276,337
3.7943,6227
2.2041,160
1.7781,60
3.7907,6176
2.9708,935
1.8325,68
1.716,52
2.3222,210
2.574,375
3.0892,1228
2.238,173
1.7076,51
4.132,13553
2.5441,350
1.8921,78
1.7853,61
3.8096,6450
1.8062,64
2.6222,419
4.2013,15896
3.5362,3437
3.8033,6357
2.0086,102
1.9823,96
2.2648,184
2.4885,308
3.836,6855
3.1664,1467
2.2014,159
1.7404,55
3.8796,7579
3.3802,2400
1.8751,75
2.0453,111
1.8325,68
2.0414,110
4.3245,21110
3.7787,6008
2.3032,201
3.2514,1784
2.6628,460
2.017,104
3.5931,3918
2.4281,268
1.7853,61
1.5051,32
2.0569,114
1.5315,34
2.0792,120
3.0531,1130
2.1492,141
1.8325,68
2.1903,155
1.7708,59
2.2967,198
1.8325,68
1.7781,60
3.2876,1939
2.0645,116
1.8976,79
1.9138,82
2.2833,192
2.4456,279
1.3979,25
3.7979,6279
1.8451,70
2.1931,156
1.9294,85
2.0864,122
3.8049,6381
2.5832,383
2.1644,146
3.8475,7038
2.0128,103
3.6431,4396
3.831,6776
2.1206,132
1.2787,19
1.8325,68
2.1931,156
1.8513,71
1.5185,33
3.3962,2490
1.8195,66
2.8921,780
3.4586,2875
2.0253,106
2.3263,212
1.3222,21
2.0043,101
2.6117,409
3.2808,1909
1.7404,55
3.4464,2795
2.6542,451
2.5843,384
2.2878,194
3.845,6999
2.0569,114
2.4579,287
1.7243,53
2.4378,274
2.8306,677
3.3345,2160
1.9191,83
1.5051,32
1.8692,74
2.2355,172
3.5034,3187
2.5038,319
2.4216,264
2.3181,208
2.3692,234
2.5705,372
2.7168,521
2.2601,182
3.5217,3324
1.7993,63
2.0086,102
2.7396,549
2.896,787
2.2553,180
1.5798,38
1.6902,49
2.673,471
3.1526,1421
2.6096,407
2.0043,101
1.9542,90
1.9494,89
3.3554,2267
1.716,52
4.052,11271
2.1847,153
2.0212,105
2.0934,124
2.2577,181
1.8261,67
3.7316,5390
2.433,271
2.4249,266
4.1267,13387
1.7781,60
2.0253,106
2.0212,105
2.1004,126
2.143,139
1.9191,83
3.2076,1613
0.9031,8
1.9345,86
2.243,175
2.1072,128
2.1761,150
1.9956,99
3.5097,3234
2.5786,379
1.2553,18
3.7948,6234
1.9912,98
2.3541,226
2.8267,671
1.716,52
2.3304,214
2.4116,258
1.8633,73
2.7316,539
3.5978,3961
2.1106,129
2.0253,106
2.4265,267
2.0294,107
1.7076,51
1.7993,63
1.6021,40
1.9345,86
3.2266,1685
1.8062,64
2.1367,137
1.4472,28
2.0969,125
2.7589,574
2.1761,150
3.0871,1222
4.2525,17887
3.0938,1241
2.0756,119
2.0792,120
2.7118,515
2.3404,219
2.1553,143
1.8062,64
1.8808,76
2.8651,733
1.7482,56
2.4232,265
3.521,3319
2.5327,341
1.9445,88
4.0718,11797
2.6628,460
2.3263,212
1.8389,69
1.8692,74
2.1644,146
3.1778,1506
2.8306,677
3.7645,5814
2.1139,130
2.0569,114
2.7528,566
1.9685,93
1.9395,87
1.7324,54
1.9956,99
4.1048,12729
2.0682,117
2.525,335
1.7324,54
3.6885,4881
1.7924,62
2.0453,111
1.6128,41
3.5599,3630
3.3915,2463
2.2304,170
3.6342,4307
2.3096,204
2.415,260
1.7781,60
1.8751,75
3.7577,5724
2.5132,326
2.1335,136
2.1004,126
1.2553,18
3.883,7639
1.7076,51
1.716,52
3.2292,1695
2.0934,124
2.0128,103
2.0,100
1.6902,49
2.9912,980
2.7101,513
3.3314,2145
2.0414,110
2.316,207
2.2945,197
3.7438,5544
2.8716,744
2.2648,184
2.4548,285
2.2504,178
2.0294,107
1.9494,89
1.8633,73
2.0212,105
3.6985,4995
2.5717,373
2.4698,295
2.2878,194
1.7993,63
1.6628,46
1.7634,58
2.4786,301
4.0686,11711
1.8513,71
3.2438,1753
3.78,6025
1.8513,71
2.2695,186
2.3222,210
3.6451,4417
2.6405,437
2.3201,209
2.2577,181
2.5752,376
2.0934,124
2.2253,168
2.7566,571
2.2304,170
2.5809,381
3.9968,9927
2.2553,180
2.0828,121
3.5071,3214
2.2253,168
2.4885,308
2.4297,269
1.8129,65
2.3117,205
1.4624,29
2.017,104
2.2455,176
1.8751,75
4.0182,10429
3.0512,1125
2.749,561
2.0334,108
3.332,2148
1.1461,14
3.7958,6249
1.7324,54
3.7532,5665
2.3802,240
1.7993,63
2.8976,790
1.7781,60
2.9917,981
2.9983,996
1.9243,84
2.1903,155
1.9243,84
2.2175,165
4.5721,37334
3.7692,5877
2.0969,125
2.0607,115
2.1038,127
1.8325,68
1.716,52
2.2355,172
3.7795,6019
2.1004,126
2.2455,176
2.0086,102
2.692,492
3.7863,6114
3.5385,3455
4.0376,10904
2.2279,169
1.4771,30
1.8865,77
4.0796,12012
4.3868,24365
1.9138,82
1.6532,45
3.4299,2691
2.2504,178
2.4232,265
3.8064,6404
1.7781,60
2.2989,199
2.1903,155
2.7348,543
1.9638,92
1.8921,78
2.5052,320
1.7708,59
3.7913,6185
2.7952,624
2.3117,205
2.0864,122
2.49,309
2.42,263
1.8921,78
2.2095,162
4.093,12388
3.7754,5962
1.0792,12
1.9031,80
1.9138,82
3.5228,3333
4.2764,18896
3.9238,8391
1.8573,72
2.281,191
3.8077,6422
2.5551,359
4.1746,14949
1.7243,53
2.9445,880
3.8235,6661
1.9777,95
2.4955,313
2.7672,585
2.2504,178
1.9345,86
1.0792,12
4.0623,11542
3.7507,5632
2.0128,103
2.4533,284
4.32,20894
1.7634,58
1.8808,76
2.0334,108
3.0682,1170
3.8131,6503
1.8808,76
2.1004,126
3.8079,6426
2.9863,969
1.7482,56
1.5798,38
2.1987,158
2.2504,178
2.1987,158
2.1173,131
1.5798,38
3.7476,5593
2.143,139
1.8389,69
1.2041,16
2.2742,188
0.9542,9
2.1239,133
2.0414,110
2.0531,113
2.4425,277
3.7211,5261
2.0253,106
1.8692,74
3.7746,5951
2.4955,313
1.8921,78
3.2388,1733
4.2197,16584
4.0972,12509
3.581,3811
2.2201,166
2.1818,152
1.8573,72
2.0453,111
2.1239,133
2.3243,211
2.5832,383
2.0828,121
1.9912,98
2.1173,131
1.959,91
3.823,6653
2.3856,243
1.8808,76
2.4099,257
2.1987,158
2.3962,249
2.4654,292
1.5051,32
3.7989,6293
3.7403,5499
2.1673,147
2.1461,140
1.9191,83
2.3636,231
4.0965,12489
3.6041,4019
2.1072,128
2.1931,156
1.2041,16
3.9953,9892
3.8084,6432
3.0245,1058
2.1492,141
2.5302,339
2.1173,131
1.2041,16
2.1461,140
1.3424,22
2.0414,110
2.4362,273
2.1271,134
2.8819,762
3.7733,5933
2.0682,117
3.8375,6878
1.9085,81
1.7404,55
3.7789,6010
2.1004,126
2.1584,144
2.0531,113
1.7482,56
1.6628,46
1.8325,68
1.9085,81
2.3054,202
1.2041,16
2.0719,118
2.0128,103
3.3818,2409
1.7482,56
2.3139,206
2.3636,231
2.415,260
2.1072,128
4.196,15704
2.4624,290
2.1673,147
3.3071,2028
1.8129,65
2.0607,115
1.8751,75
3.1526,1421
1.7781,60
2.4116,258
2.749,561
2.1673,147
3.7823,6057
1.7634,58
2.0864,122
4.1945,15650
1.9085,81
4.0072,10166
2.2253,168
2.2201,166
4.1044,12718
2.0492,112
3.7977,6277
4.3422,21987
3.9408,8726
1.9731,94
2.3201,209
2.3997,251
2.5647,367
1.8062,64
2.0607,115
2.1818,152
4.2224,16686
2.0,100
3.6256,4223
1.2305,17
1.8195,66
2.2577,181
1.8633,73
1.6128,41
2.1461,140
1.2553,18
1.8062,64
4.0611,11510
2.4232,265
1.7076,51
2.989,975
2.1173,131
3.8252,6686
3.7904,6172
1.9191,83
3.756,5702
2.0334,108
2.7419,552
2.356,227
2.4814,303
2.1399,138
2.1367,137
2.8189,659
2.0043,101
1.3802,24
2.0899,123
2.143,139
2.0645,116
2.9345,860
2.1673,147
3.817,6562
1.7559,57
2.1732,149
4.0343,10821
2.8176,657
2.0828,121
2.4669,293
2.3541,226
3.7463,5576
2.3032,201
1.9243,84
4.1153,13041
2.1614,145
2.1106,129
1.7924,62
3.7028,5044
3.8429,6965
1.8751,75
2.4281,268
3.56,3631
2.0828,121
3.798,6281
2.3365,217
2.0253,106
1.8921,78
3.6866,4860
1.8692,74
1.9191,83
1.7076,51
1.2041,16
3.073,1183
2.0374,109
2.5966,395
2.1461,140
4.1932,15601
1.5441,35
2.1139,130
2.4014,252
2.5775,378
1.0792,12
1.9243,84
2.7093,512
4.0961,12477
2.1038,127
1.7993,63
3.7669,5846
1.7324,54
3.8443,6987
2.2201,166
2.0969,125
2.7411,551
1.7324,54
2.0086,102
1.7993,63
2.3284,213
2.3766,238
1.2041,16
2.3541,226
2.4065,255
2.6107,408
2.243,175
2.42,263
2.1206,132
1.9138,82
2.0756,119
3.2217,1666
2.4829,304
3.9815,9582
2.3222,210
2.3766,238
1.8692,74
2.9868,970
1.8062,64
2.0756,119
3.7555,5695
2.1614,145
2.0492,112
2.1875,154
2.1335,136
4.2929,19629
1.9191,83
2.9978,995
2.1004,126
2.3503,224
1.7924,62
2.4216,264
1.7993,63
2.3075,203
1.7634,58
2.8998,794
2.2923,196
2.4683,294
1.5441,35
1.959,91
2.1553,143
3.1082,1283
1.6233,42
3.8158,6543
2.1139,130
2.6181,415
1.8389,69
2.0969,125
2.1461,140
2.2253,168
4.1367,13699
3.8197,6603
2.2304,170
1.5911,39
3.5951,3936
1.8195,66
4.0974,12515
1.8865,77
2.0569,114
2.6998,501
1.8633,73
2.238,173
4.2547,17977
1.8195,66
2.7657,583
3.8,6310
1.8865,77
4.0885,12260
2.2718,187
1.7708,59
2.2504,178
2.2878,194
3.803,6353
2.0374,109
1.0792,12
1.9685,93
1.8261,67
2.6474,444
1.8513,71
2.2455,176
1.8865,77
1.8195,66
2.3856,243
4.323,21036
2.3838,242
2.0212,105
3.463,2904
2.7604,576
1.8325,68
2.4564,286
1.8692,74
2.0043,101
2.1303,135
3.0394,1095
2.0128,103
1.9956,99
2.356,227
3.1055,1275
2.8488,706
2.5563,360
2.7324,540
3.8649,7327
2.0334,108
2.2227,167
3.8453,7003
1.716,52
1.8513,71
1.3979,25
2.1732,149
2.2041,160
1.4914,31
1.6812,48
2.8142,652
3.0512,1125
1.7404,55
4.0564,11388
2.0043,101
2.0492,112
2.0899,123
2.3424,220
1.9138,82
2.017,104
2.8228,665
3.8098,6454
2.3075,203
2.2095,162
2.0531,113
2.699,500
1.7243,53
3.8061,6399
1.8195,66
2.6803,479
3.7657,5830
4.198,15775
2.0645,116
1.7708,59
3.8335,6816
3.2655,1843
2.2765,189
2.2577,181
1.7781,60
2.1673,147
2.1553,143
2.1523,142
2.0899,123
1.716,52
3.7262,5323
2.143,139
2.5832,383
1.8129,65
2.0645,116
1.8195,66
1.9243,84
1.3424,22
3.819,6592
1.9823,96
2.2041,160
3.6366,4331
3.7859,6108
3.7739,5941
2.3324,215
2.3636,231
2.179,151
2.3944,248
3.4458,2791
2.0569,114
3.5924,3912
1.699,50
1.8129,65
1.0792,12
1.7243,53
1.7559,57
4.0496,11211
2.4166,261
2.1875,154
3.8045,6376
2.0414,110
1.6233,42
1.8325,68
2.6222,419
2.5403,347
2.4728,297
1.699,50
2.9063,806
2.0569,114
3.635,4315
4.4035,25323
1.2305,17
2.0253,106
4.3165,20726
0.7782,6
2.3711,235
2.8921,780
2.5441,350
3.845,6998
1.5911,39
3.7563,5706
2.6656,463
2.3979,250
2.0569,114
4.1255,13349
3.798,6280
2.0374,109
1.3222,21
2.9232,838
2.8965,788
4.251,17825
3.977,9484
1.7853,61
2.1461,140
2.2648,184
1.2041,16
1.8865,77
2.0792,120
2.0531,113
2.5866,386
2.3892,245
1.7924,62
2.1367,137
1.5441,35
1.7993,63
2.6902,490
4.2167,16469
2.9722,938
5.1837,152655
3.7698,5885
2.1703,148
2.3636,231
2.3424,220
2.5092,323
3.8113,6476
3.6687,4663
1.8325,68
3.9522,8957
1.8451,70
2.8621,728
2.42,263
1.9685,93
3.9812,9576
2.0043,101
1.8692,74
0.9031,8
3.0599,1148
1.2041,16
2.0294,107
2.2967,198
2.4941,312
2.4048,254
3.6399,4364
3.3137,2059
1.9956,99
2.0414,110
2.2175,165
1.1761,15
1.8261,67
2.4786,301
4.1483,14069
2.4579,287
2.7738,594
2.941,873
1.7076,51
2.9096,812
2.6395,436
2.9773,949
3.5169,3288
4.2242,16759
3.8006,6318
2.6335,430
2.1903,155
1.8261,67
2.4166,261
3.7903,6170
1.8451,70
1.9445,88
1.9243,84
1.8389,69
2.2279,169
2.3365,217
2.9722,938
2.9974,994
1.2305,17
3.7495,5617
1.8325,68
2.0969,125
2.1732,149
3.5127,3256
2.8802,759
3.2292,1695
1.8195,66
3.7933,6213
1.6902,49
1.415,26
2.1399,138
2.6365,433
1.8513,71
3.8019,6337
2.3927,247
2.0414,110
2.7168,521
2.7324,540
2.4533,284
3.8128,6499
2.0828,121
2.6637,461
2.7033,505
2.4728,297
1.716,52
3.0149,1035
2.2672,185
3.6992,5003
1.8389,69
3.7759,5969
1.8921,78
2.5988,397
1.9823,96
1.8325,68
3.8176,6570
2.2923,196
3.0026,1006
3.963,9183
3.0704,1176
4.0449,11089
1.7853,61
2.8149,653
1.0792,12
2.8482,705
2.1847,153
2.3598,229
4.1241,13309
2.0334,108
2.7067,509
1.8389,69
2.0086,102
2.3636,231
1.415,26
2.0453,111
2.3598,229
2.0934,124
1.2305,17
2.2601,182
3.0515,1126
2.433,271
1.8389,69
2.7868,612
2.2122,163
3.0457,1111
2.4393,275
2.3096,204
2.5302,339
2.0086,102
4.0333,10796
2.525,335
1.716,52
1.7924,62
2.3617,230
2.8,631
2.0043,101
2.1761,150
1.7559,57
1.7324,54
2.4829,304
