steel/table3.V19,steel/table3.V24,steel/table3.V25,steel/table3.V26,steel/table3.V4,steel/table3.V5,steel/table3.V6,steel/table3.V7,steel/table3.V8,steel/table3.V9,V3
0.2672,2.1703,-0.1732,-0.0838,965599,16821,670,425,1972773,29,965451
0.8,0.9542,0.1111,0.3498,519266,57,10,11,9848,161,519257
0.75,1.0792,0.25,-0.1078,603608,80,12,12,9136,100,603596
0.5071,1.8325,-0.618,-0.1906,1704704,6625,351,173,686356,42,1704636
0.6604,1.1461,-0.6,-0.0778,4387862,175,53,32,20658,104,4387848
0.6667,1.1461,0.2857,-0.1317,4118372,77,15,14,8558,104,4118358
0.1096,2.2455,0.7727,-0.0161,310797,2281,365,268,287273,113,310621
0.3878,1.5315,0.4412,-0.3081,287869,400,49,42,35427,78,287835
0.8193,1.6812,-0.6471,-0.1885,409539,3920,166,88,407163,45,409491
0.9091,0.9031,-0.92,-0.0666,2212608,368,110,35,43968,111,2212600
0.3065,1.8513,0.7324,-0.1986,2527390,747,62,72,76627,85,2527319
0.25,2.1903,0.9419,-0.3298,281513,891,36,155,76438,70,281358
0.4643,1.4914,-0.4038,0.0031,1317395,508,112,59,65223,120,1317364
0.803,1.7243,0.0,-0.1772,5367377,784,66,54,82565,67,5367324
0.8667,1.0,-0.2308,-0.1323,3378474,81,15,10,8996,91,3378464
0.6471,1.2787,0.4211,-0.1436,261732,144,17,19,15785,88,261713
0.7692,1.0414,0.0909,-0.1903,1248687,88,13,11,9120,88,1248676
0.6223,1.8195,-0.6185,-0.1926,1814708,6525,278,134,674367,38,1814642
0.4,1.4771,0.6667,-0.2625,1612870,193,25,30,18218,78,1612840
1.0,0.6021,0.0,0.0007,1292296,12,4,4,1537,112,1292292
0.7451,1.2041,-0.5789,-0.0436,473430,229,51,31,28034,116,473414
0.6522,1.2041,0.0625,-0.222,618148,112,23,17,11154,87,618132
0.2542,2.1206,0.8864,-0.1487,491684,1097,59,133,119540,50,491552
0.2639,1.7076,0.6274,-0.1883,1647194,445,72,55,46236,91,1647143
0.7073,1.1761,-0.4828,-0.045,5060316,206,41,21,25181,104,5060301
1.0,0.7782,0.1667,-0.0283,1028219,16,5,6,1990,120,1028213
0.8889,1.0414,0.2727,-0.1112,1294979,70,9,11,7964,94,1294968
0.75,1.0,0.1,-0.3112,344829,54,12,11,4761,79,344819
0.3235,2.1004,0.7381,-0.2372,313218,2822,102,127,275539,79,313092
0.7,1.1461,0.0,-0.1101,11066424,143,20,14,16288,96,11066410
0.5454,1.0792,0.5,-0.2114,414931,52,11,12,5249,86,414919
0.7692,0.6021,-0.8,-0.0035,5948472,56,26,6,7143,116,5948468
0.9333,1.1461,0.0,-0.0481,289543,137,15,15,16692,109,289529
0.6539,1.3802,0.2917,-0.1282,4625136,194,26,24,21649,99,4625112
0.2459,2.1703,-0.0263,-0.1019,1565703,13114,618,381,1507625,33,1565555
0.5152,1.2041,-0.0588,0.0229,2128956,126,33,22,16498,116,2128940
0.7333,0.9542,-0.1818,-0.0291,634288,71,15,10,8824,113,634279
0.3333,1.6812,0.6458,-0.074,1125024,390,51,50,46226,110,1124976
0.875,1.0,0.3,-0.2097,66328,45,8,10,4552,93,66318
1.0,1.0792,-0.2,-0.1986,433198,143,15,12,14669,61,433186
1.0,0.301,-0.95,0.0091,1292100,60,40,4,7750,102,1292098
0.597,1.6628,-0.425,-0.0493,1506552,1973,134,80,240091,105,1506506
0.1862,2.2624,0.8087,-0.0622,401951,4298,188,189,515942,6,401768
0.8095,1.2305,0.0,-0.2769,1198188,198,21,18,18327,54,1198171
0.2615,2.2553,0.0833,-0.1028,1721968,12051,631,390,1383987,33,1721788
0.1215,2.3096,0.8726,-0.0753,233671,1994,214,220,236010,104,233467
1.0,0.6021,-0.7895,0.0243,664883,55,19,6,7211,114,664879
0.875,1.1139,-0.0714,-0.0959,1143429,114,16,15,13193,110,1143416
0.2857,2.0934,0.9032,-0.4207,865043,745,42,125,55239,56,864919
0.7059,1.1761,0.2,-0.1225,484208,138,17,16,15501,91,484193
0.8968,1.301,-0.8561,-0.0904,1019497,1107,155,85,128883,107,1019477
0.8571,1.0792,0.0,-0.1709,6042292,110,14,12,11674,73,6042280
0.8333,0.6021,-0.2,-0.0087,888676,17,6,4,2157,113,888672
0.5766,1.7924,-0.5664,-0.1785,65121,4471,248,116,470165,39,65059
0.3333,1.699,0.8,-0.2037,3884461,340,30,50,34655,88,3884411
0.8235,1.0414,-0.2143,-0.0639,1761703,61,17,11,7309,112,1761692
0.7692,1.3222,0.5238,-0.2213,3375765,134,13,21,13356,89,3375744
0.2083,1.7853,0.8361,-0.2081,68506,330,48,61,33449,90,68445
0.3636,1.2041,0.25,-0.0957,3051391,87,33,19,10070,108,3051375
0.6667,1.2305,0.5294,-0.0416,801889,65,12,17,7974,113,801872
0.5909,1.4472,0.5357,-0.1269,2094776,251,22,28,28050,89,2094748
0.3125,1.4472,0.8214,-0.0709,1682947,89,16,28,10584,110,1682919
0.2216,2.2175,0.1151,-0.1072,2112542,9349,659,387,1068391,38,2112377
0.5082,1.3424,-0.2903,-0.0251,1563499,329,61,37,41053,115,1563477
0.8333,1.0,-0.3333,-0.1811,75234,109,18,11,11425,71,75224
0.8696,1.0792,-0.4,-0.1144,483808,67,23,13,7595,92,483796
0.7895,1.3424,0.3182,-0.1435,70241,221,19,22,24230,97,70219
0.2984,2.3222,0.6333,-0.1135,3998180,3432,258,330,389429,92,3997970
0.9444,1.2787,0.1053,-0.1166,1003594,132,18,20,14926,105,1003575
0.7723,1.7924,-0.6026,-0.1887,601148,5786,202,106,600867,41,601086
0.48,1.3424,0.4545,-0.1522,3581267,148,25,23,16061,91,3581245
0.5333,1.301,0.6,-0.16,11430416,81,15,20,8709,99,11430396
0.4737,1.3802,0.625,-0.1147,74519,148,19,24,16771,101,74495
0.4595,1.5051,0.4688,-0.0698,850745,282,37,33,33577,61,850713
0.8421,1.0,-0.375,-0.1801,409918,116,19,10,12174,82,409908
0.7523,1.7924,-0.6149,-0.2309,920489,5993,214,130,589956,132,920427
0.264,2.2253,0.0714,-0.0993,1810727,11813,591,367,1361903,27,1810559
0.5882,1.1761,0.3333,0.0075,1219077,79,17,15,10188,115,1219062
0.2086,2.2175,0.0606,-0.1099,2290079,9518,743,453,1084425,41,2289914
1.0,1.0792,0.0,-0.0983,2150452,106,12,13,12235,107,2150440
0.8,0.7782,0.3333,0.0176,1311535,12,5,6,1563,125,1311529
0.6944,1.2787,-0.24,-0.0056,244067,235,36,22,29911,119,244048
0.9286,0.9031,-0.3846,-0.1181,1314902,61,14,10,6886,102,1314894
0.7143,1.0,0.0,-0.11,3706306,66,14,10,7519,97,3706296
0.4737,1.3802,0.625,-0.192,2457943,145,19,26,14997,91,2457919
0.6667,1.1761,0.3333,-0.0999,2237099,87,15,15,10024,106,2237084
0.2194,2.3541,0.0088,-0.0589,653195,18517,1021,696,2230510,25,652969
0.6522,0.9542,-0.4,0.0337,531693,54,23,16,7145,125,531684
0.6042,1.2553,-0.3793,-0.0124,1312217,129,48,35,16308,112,1312199
0.3281,1.7853,0.6557,-0.1397,2433721,566,64,70,62326,89,2433660
0.3684,1.301,0.65,-0.1525,1072248,74,19,20,8027,98,1072228
0.7273,1.1761,0.4667,-0.0874,945807,81,11,15,9462,107,945792
0.8703,1.2787,-0.9086,-0.1171,4689414,1535,239,120,173468,97,4689395
0.6809,1.4624,-0.0938,-0.1421,2978933,529,47,32,58088,91,2978904
0.8125,1.301,0.35,-0.1567,2922536,181,16,20,19537,78,2922516
0.1642,1.9494,0.8764,-0.1046,2046183,495,67,90,56735,99,2046094
0.2558,1.7853,0.8197,-0.2035,12917094,444,43,61,45269,78,12917033
0.329,1.9191,0.0843,-0.0222,728995,2406,231,168,301138,116,728912
0.6429,1.0,0.1,-0.1807,2702164,72,14,10,7551,82,2702154
0.7143,0.6021,-0.2,0.0175,858608,17,7,4,2214,114,858604
0.8182,1.2787,-0.2963,-0.1143,12416473,305,33,27,34579,80,12416454
1.0,0.6021,-0.3333,0.0287,972388,18,6,4,2370,117,972384
0.7472,1.7076,-0.6165,-0.1865,366932,4048,178,96,421512,50,366881
0.6789,1.415,-0.6486,-0.0705,338716,563,109,59,66987,107,338690
0.32,1.2787,0.1579,0.0014,594771,136,50,27,17433,119,594752
0.9167,1.3222,0.4762,-0.1243,444169,161,12,21,18047,96,444148
0.625,1.4914,0.3548,-0.146,4373312,456,32,31,49848,92,4373281
0.6207,1.0792,-0.3333,-0.0473,2195707,78,29,18,9512,111,2195695
0.5,1.1139,-0.3158,-0.02,1924936,130,38,25,16308,115,1924923
1.0,0.699,-0.7826,0.0315,1215749,82,23,6,10827,123,1215744
0.5932,1.8129,-0.6286,-0.1969,2886367,6182,295,138,635475,42,2886302
1.0,0.4771,-0.5714,0.0016,1378588,15,7,3,1923,123,1378585
0.275,1.4771,0.6333,-0.4856,702267,194,40,33,12773,35,702237
0.8095,1.3617,0.2609,-0.1489,3780044,252,21,23,27453,87,3780021
0.5,1.1461,0.1429,0.0313,1592247,102,24,15,13464,118,1592233
0.381,1.2787,0.5789,-0.0981,1225405,63,21,19,7273,107,1225386
0.9,1.0414,0.1818,-0.0366,893649,63,10,11,7769,111,893638
0.6047,1.3802,-0.0769,-0.1148,2867513,281,43,28,31838,104,2867489
0.8929,0.699,-0.8,-0.0104,883640,73,28,14,9247,111,883635
0.7895,0.9542,-0.4,0.031,3597517,56,19,11,7390,120,3597508
0.7568,1.7076,-0.6357,-0.1535,7818807,3876,185,102,419968,70,7818756
0.3913,1.6435,0.7954,-0.1415,595245,226,23,44,24834,93,595201
0.52,1.5682,0.6486,-0.2,1314195,375,25,37,38401,48,1314158
0.5317,1.2553,-0.5714,0.1044,4639402,359,79,49,50750,130,4639384
0.6364,1.6128,0.4878,-0.2728,3948253,519,33,41,48309,65,3948212
0.2331,2.1553,-0.0592,-0.0983,1945637,10743,652,418,1239926,38,1945494
0.9444,1.1139,-0.2353,-0.1699,1074485,133,18,14,14132,77,1074472
0.52,1.301,0.35,-0.2356,1798172,170,25,21,16633,84,1798152
0.9,0.9542,0.0,-0.0905,1338453,66,10,9,7683,101,1338444
0.8125,1.1139,0.0,0.5799,185588,108,16,17,21840,195,185575
0.7857,1.0414,0.0,-0.0615,866302,85,14,11,10211,111,866291
0.3529,1.1461,0.5714,-0.3108,1184525,51,17,14,4499,51,1184511
0.7178,1.6721,-0.5983,-0.1866,310112,3287,163,87,342248,50,310065
0.5385,1.1139,0.4615,-0.1048,1465433,55,13,13,6302,107,1465420
0.1487,2.0128,0.8932,-0.1212,1970877,716,74,103,80541,97,1970774
0.198,1.7076,0.6078,-0.1561,802822,585,101,56,63194,96,802771
0.5714,1.1461,0.1429,-0.1301,114444,114,21,14,12693,90,114430
0.3214,1.4472,0.6786,-0.1901,9737771,171,28,28,17727,95,9737743
0.8,1.0792,0.3333,-0.1353,1094629,67,10,12,7416,94,1094617
0.9583,0.8451,-0.6956,-0.0451,276554,80,24,12,9778,103,276547
0.6,1.0414,-0.3889,-0.2167,960202,61,30,17,6116,86,960191
0.5652,1.3802,0.4583,-0.2939,2629668,200,23,24,18075,77,2629644
0.875,1.0414,0.3636,0.4504,251880,68,8,11,12624,177,251869
0.7243,1.7482,-0.6387,-0.1757,2265115,5702,214,118,601643,47,2265059
0.7534,1.8451,-0.5833,-0.1975,1853744,6484,223,117,666047,40,1853674
0.8182,1.0,0.1,-0.1382,455881,67,11,10,7391,96,455871
1.0,0.6021,-0.8667,-0.0046,2634039,75,30,7,9556,104,2634035
0.7778,1.1139,0.4615,-0.4,766976,36,9,13,2765,64,766963
0.3677,1.3979,0.0,-0.0238,172592,204,68,38,25491,114,172567
0.3636,1.4314,0.4074,-0.0206,195188,192,44,28,24070,112,195161
1.0,0.6021,0.0,-0.0367,249740,10,4,5,1233,119,249736
0.6923,1.301,0.55,-0.1384,487588,121,13,20,13345,89,487568
0.4688,1.3222,0.2857,-0.1825,3134249,118,32,21,12348,78,3134228
0.6108,1.716,-0.5806,-0.147,7797516,3900,203,90,425840,71,7797464
0.4308,1.9085,-0.4214,-0.1562,2574054,5731,325,186,618954,41,2573973
0.239,2.1931,0.0256,-0.103,2400148,8457,636,383,971036,38,2399992
0.6154,1.2305,0.5294,-0.133,161984,103,13,17,11430,97,161967
0.9,0.9031,-0.1111,-0.1995,1204136,52,10,8,5328,83,1204128
0.1436,2.29,0.8615,-0.059,374925,2463,188,212,296673,42,374730
0.9167,1.0792,0.0833,0.2486,908176,92,12,12,14703,128,908164
0.9412,1.0,-0.375,-0.0665,2077074,88,17,11,10515,111,2077064
0.6667,1.2041,0.25,-0.3683,33812,135,18,16,10915,55,33796
0.5833,1.1139,0.4615,-0.3077,176567,74,12,13,6557,76,176554
0.6364,1.0792,0.4167,-0.1125,750399,52,11,13,5907,105,750387
0.1435,2.6181,0.9205,0.2791,138883,9052,230,432,1481991,23,138468
0.6056,1.8513,-0.5872,-0.1736,4348321,6137,284,145,649137,48,4348250
0.75,1.1139,0.3077,-0.2099,2591841,80,12,13,8091,91,2591828
0.4,1.6233,0.7143,-0.1055,697905,239,30,43,27364,100,697863
0.2609,1.5563,0.8333,-0.0884,1543689,145,23,36,16920,108,1543653
0.2414,2.2148,-0.1038,-0.101,1370411,11535,758,419,1327403,23,1370247
0.2772,2.1703,-0.0633,-0.0944,1913670,12834,570,356,1487763,37,1913522
0.625,1.0792,0.1667,-0.176,348568,92,16,12,9704,71,348556
0.6818,1.0792,-0.2,-0.2223,1939602,117,22,14,11647,89,1939590
0.5789,1.2553,0.3889,0.4573,31164,119,19,19,22198,179,31146
0.3846,1.2553,0.4444,0.0015,173226,68,26,18,8717,120,173208
0.3404,1.3802,0.3333,0.0058,707600,150,47,28,19311,120,707576
0.4815,1.4771,0.5667,-0.1892,1974206,216,27,30,22418,93,1974176
0.6537,1.7404,-0.6726,-0.1575,7300696,4788,257,136,516343,63,7300641
1.0,0.6021,-0.5556,0.5518,18328,32,9,4,6356,191,18324
0.6316,1.3222,0.4286,-0.2298,456249,193,19,21,19028,66,456228
0.8235,1.0792,-0.1429,-0.3128,2115330,115,17,12,10115,67,2115318
0.8667,1.0414,-0.1539,-0.1928,699365,114,15,11,11778,71,699354
0.4,1.301,0.7,-0.0844,2224928,87,15,20,10196,109,2224908
0.8889,1.3802,0.6667,-0.1648,508224,169,9,24,18067,87,508200
0.5882,1.3979,0.6,-0.0632,220146,138,17,25,16548,101,220121
0.6364,1.1139,0.4615,-0.2675,2857900,71,11,13,6657,81,2857887
0.5,0.9031,-0.2,0.0515,4186988,52,20,8,6999,130,4186980
0.5789,1.3617,0.0435,-0.1482,5071831,282,38,27,30746,77,5071808
0.5294,1.301,0.55,0.2407,80500,105,17,21,16675,151,80480
0.566,1.5315,0.1177,-0.1698,2455644,617,53,43,65563,70,2455610
0.239,2.4594,0.7917,-0.1602,508656,6102,251,303,655912,87,508368
0.7143,1.1461,0.2857,-0.1328,319317,69,14,14,7659,98,319303
0.5273,1.8633,-0.5805,-0.1794,2875730,6282,330,175,659881,41,2875657
0.36,1.415,0.6539,-0.187,696006,169,25,26,17587,96,695980
0.5385,1.301,0.65,-0.0786,837888,82,13,20,9671,106,837868
0.8015,1.2305,-0.844,-0.1447,982049,955,136,80,104555,99,982032
0.9167,0.9031,-0.2727,-0.0513,1146879,51,12,9,6193,107,1146871
0.2459,2.2095,0.0679,-0.0948,1448535,12108,614,359,1402972,34,1448373
0.549,1.4314,-0.0357,0.0051,1410896,361,51,35,46442,121,1410869
0.45,1.5315,0.7353,-0.1469,4157620,188,20,34,20528,95,4157586
0.75,0.9542,0.0,-0.1175,2382651,54,12,9,6100,101,2382642
0.6914,1.8062,-0.6384,-0.1858,2002782,6944,256,113,723643,41,2002718
0.6667,1.0792,0.1667,-0.0115,1009888,67,15,13,8477,113,1009876
0.375,1.5051,0.7188,-0.1527,188800,200,24,32,21691,90,188768
0.5,1.5185,0.6364,-0.2633,165281,244,24,33,23009,66,165248
0.44,1.4472,0.6071,-0.1029,4085344,140,25,28,16076,103,4085316
0.6667,1.1761,0.4667,-0.1288,1593992,90,12,15,10036,93,1593977
0.5294,1.1461,0.3571,-0.1447,274244,54,17,15,5912,97,274230
0.2419,2.143,0.1439,-0.1463,3711800,7080,492,293,773694,43,3711661
0.3045,1.8808,0.1184,-0.0193,899307,1961,220,142,246168,115,899231
0.65,1.1139,0.0,-0.2332,428235,59,20,15,5791,87,428222
0.875,1.3979,0.72,-0.1499,844729,137,8,25,14907,92,844704
0.2403,2.1732,-0.1676,-0.0945,979800,15937,745,463,1847157,31,979651
0.8461,1.3802,0.5417,-0.0615,402418,145,13,24,17419,111,402394
0.7692,1.0414,0.0909,-0.0418,1913646,58,13,11,7114,112,1913635
0.9048,0.699,-0.7368,-0.1049,1312948,51,21,9,5843,102,1312943
0.203,2.2529,0.0168,-0.0907,1040199,15050,867,541,1751637,21,1040020
0.9091,1.0,0.0,-0.2793,94672,73,11,10,6734,70,94662
0.6429,1.7708,-0.655,-0.1751,4419287,6175,266,144,652005,46,4419228
0.587,1.7993,-0.6337,-0.1744,2364730,6381,293,142,674326,46,2364667
0.6842,1.7993,0.7936,-0.2767,2378236,527,19,63,48793,47,2378173
0.8333,1.1139,-0.48,-0.1426,2315030,204,30,17,22388,95,2315017
0.6522,1.3222,0.2857,-0.1455,1250629,184,23,21,20124,82,1250608
0.271,2.0934,0.7661,-0.3758,908986,2483,107,129,198389,44,908862
1.0,0.4771,0.0,-0.0651,224243,6,3,3,718,107,224240
0.7,1.3617,0.3913,-0.2651,2837268,199,20,23,18720,80,2837245
0.7382,1.716,-0.6312,-0.1904,398889,4409,191,102,456908,47,398837
0.7778,1.1761,0.5333,-0.0729,1264403,84,9,15,9968,107,1264388
0.5833,1.7634,-0.6548,-0.175,4401544,5533,288,155,584291,43,4401486
0.3125,1.8129,0.9231,-0.0994,1689336,250,16,65,28818,106,1689271
0.2,1.5798,0.8158,-0.0212,882712,120,35,39,15035,118,882674
0.5806,1.8325,-0.6222,-0.1901,1825355,6605,310,151,684731,38,1825287
0.65,1.5185,0.6061,-0.2292,12725314,291,20,33,28711,68,12725281
0.5122,1.4472,0.25,0.0328,1044283,210,41,29,27761,119,1044255
1.0,1.0,0.2,0.4976,211993,52,8,10,9968,178,211983
0.0645,2.776,0.9481,-0.2153,418215,10914,481,604,1096282,21,417618
0.8571,1.0792,0.0,-0.3468,43048,90,14,12,7525,67,43036
0.2573,2.2253,0.1131,-0.0949,1597679,13612,579,357,1577022,30,1597511
0.4444,1.3802,0.6667,0.0374,1488636,105,18,24,13943,120,1488612
0.9965,2.1903,-0.8194,-0.1053,140094,15208,861,501,1741571,22,139939
0.8235,1.1139,-0.5357,0.0102,2240422,207,34,23,26766,114,2240409
0.7308,1.301,0.05,-0.1094,96225,254,26,20,28955,89,96205
1.0,0.301,-0.9706,-0.0157,548050,131,68,3,16504,54,548048
0.2895,1.5315,0.6765,0.0182,657502,201,38,35,26197,123,657468
0.3784,2.0492,0.875,-0.3712,1042036,862,37,113,69375,63,1041924
0.4859,1.8751,-0.5161,-0.1761,2204771,5519,319,173,582040,34,2204696
0.6429,1.1461,0.3571,-0.0916,2039135,84,14,14,9767,105,2039121
0.5714,1.2787,0.1579,-0.2228,350500,158,28,19,15719,89,350481
0.75,1.415,0.1923,-0.3194,2134950,425,28,26,37025,48,2134924
1.0,1.0,-0.0909,-0.196,4048602,86,11,10,8851,90,4048592
0.5625,1.3222,0.5714,-0.1263,964360,133,16,21,14874,105,964339
0.5909,1.0792,-0.0769,-0.064,652766,54,22,22,6470,110,652754
0.1615,2.4928,0.9325,-0.2371,808480,3583,130,314,349860,65,808169
0.6,1.8325,-0.5073,-0.1606,2641500,5480,230,119,588758,53,2641432
0.1266,2.4487,0.8968,-0.2039,1183893,3883,229,289,395668,78,1183612
0.6667,1.1761,0.3333,-0.1424,210843,99,15,15,10868,92,210828
0.5517,0.9542,-0.4375,-0.0508,712446,67,29,12,8140,102,712437
0.6364,0.9542,-0.6786,0.0047,288161,112,44,16,14403,120,288152
0.8333,1.0,-0.6,-0.0129,473272,94,30,18,11877,117,473262
0.8182,0.9542,0.0,-0.1363,3426590,58,11,9,6412,97,3426581
0.6679,1.8389,-0.6145,-0.1955,1495336,7250,268,141,746545,40,1495267
0.7333,1.0792,0.0833,-0.2141,3149629,101,15,12,10160,66,3149617
0.4,1.2041,0.625,-0.5902,1312132,59,15,16,3095,41,1312116
0.5833,1.7924,0.8871,-0.4698,111213,318,12,62,21582,19,111151
0.6111,1.1461,0.2143,-0.2052,1134921,116,18,14,11801,64,1134907
0.8,1.0414,-0.0833,-0.164,3096632,86,15,11,9203,91,3096621
0.5833,1.301,0.3,0.01,2535292,205,24,21,26503,108,2535272
0.2056,2.3054,0.1238,-0.097,1196445,16164,861,522,1868220,23,1196243
0.9091,0.9542,-0.7,0.5591,33425,130,33,36,25944,192,33416
0.4688,1.4914,0.5161,-0.3307,1378057,278,32,33,23817,68,1378026
0.6154,1.1761,0.4667,-0.2788,2409518,88,13,15,8123,81,2409503
0.2597,2.2175,-0.0517,-0.09,1150255,16968,670,399,1976551,26,1150090
0.6268,1.8633,-0.578,-0.1856,2244082,6827,276,141,711671,40,2244009
0.9167,1.0,-0.0909,0.2905,508650,85,12,10,14041,139,508640
0.596,1.8865,-0.4832,-0.1874,462786,6232,250,130,648220,48,462709
0.6087,1.301,0.3,-0.3382,3457651,208,23,21,17619,61,3457631
0.6,1.0414,0.1818,-0.5411,374591,74,15,11,4347,36,374580
0.5882,1.2553,-0.4,-0.0118,276047,299,51,22,37820,116,276029
1.0,0.0,-0.5,-0.0039,1729557,2,2,1,255,126,1729556
0.5,1.5798,0.7105,0.133,183331,227,22,38,32920,135,183293
