steel/table_1_2.V26,steel/table_1_2.V25,steel/table_1_2.Key_1_2,Key_0_0
-0.2728,0.4878,210,74
-0.0983,-0.0592,929,809
-0.1699,-0.2353,64,1693
-0.2356,0.35,512,354
-0.0905,0.0,410,648
0.5799,0.0,1313,1652
-0.0615,0.0,1567,1749
-0.3108,0.5714,1601,343
-0.1866,-0.5983,1520,1293
-0.1048,0.4615,945,1840
-0.1212,0.8932,151,451
-0.1561,0.6078,1381,1345
-0.1301,0.1429,844,1001
-0.1901,0.6786,1245,52
-0.1353,0.3333,1104,1297
-0.0451,-0.6956,1824,1768
-0.2167,-0.3889,276,57
-0.2939,0.4583,287,139
0.4504,0.3636,228,1561
-0.1757,-0.6387,933,1433
-0.1975,-0.5833,1720,656
-0.1382,0.1,203,848
-0.0046,-0.8667,411,31
-0.4,0.4615,451,913
-0.0238,0.0,1620,1306
-0.0206,0.4074,145,1363
-0.0367,0.0,961,1506
-0.1384,0.55,1035,1378
-0.1825,0.2857,941,1335
-0.147,-0.5806,70,765
-0.1562,-0.4214,1447,1628
-0.103,0.0256,1892,1394
-0.133,0.5294,1773,1764
-0.1995,-0.1111,602,639
-0.059,0.8615,1938,942
0.2486,0.0833,1809,766
-0.0665,-0.375,1917,768
-0.3683,0.25,1175,1772
-0.3077,0.4615,492,78
-0.1125,0.4167,820,1002
0.2791,0.9205,181,268
-0.1736,-0.5872,227,580
-0.2099,0.3077,1921,1779
-0.1055,0.7143,718,1554
-0.0884,0.8333,731,896
-0.101,-0.1038,1577,1620
-0.0944,-0.0633,383,424
-0.176,0.1667,139,1558
-0.2223,-0.2,329,336
0.4573,0.3889,312,70
0.0015,0.4444,1859,1133
0.0058,0.3333,1935,1595
-0.1892,0.5667,1243,1120
-0.1575,-0.6726,1876,921
0.5518,-0.5556,1503,962
-0.2298,0.4286,998,143
-0.3128,-0.1429,644,252
-0.1928,-0.1539,1496,448
-0.0844,0.7,1669,1654
-0.1648,0.6667,358,1721
-0.0632,0.6,1116,601
-0.2675,0.4615,1188,371
0.0515,-0.2,1519,1485
-0.1482,0.0435,1728,1104
0.2407,0.55,1442,455
-0.1698,0.1177,1334,119
-0.1602,0.7917,523,210
-0.1328,0.2857,1576,391
-0.1794,-0.5805,412,1538
-0.187,0.6539,1015,907
-0.0786,0.65,76,1408
-0.1447,-0.844,324,1000
-0.0513,-0.2727,445,1432
-0.0948,0.0679,1119,71
0.0051,-0.0357,772,38
-0.1469,0.7353,473,1005
-0.1175,0.0,1256,1172
-0.1858,-0.6384,959,1735
-0.0115,0.1667,1764,1256
-0.1527,0.7188,1488,934
-0.2633,0.6364,1573,1145
-0.1029,0.6071,1236,1420
-0.1288,0.4667,1012,1571
-0.1447,0.3571,1744,926
-0.1463,0.1439,1250,434
-0.0193,0.1184,1490,1220
-0.2332,0.0,1893,1565
-0.1499,0.72,564,112
-0.0945,-0.1676,1205,1376
-0.0615,0.5417,467,1142
-0.0418,0.0909,511,423
-0.1049,-0.7368,1528,972
-0.0907,0.0168,159,1518
-0.2793,0.0,1048,817
-0.1751,-0.655,905,377
-0.1744,-0.6337,296,491
-0.2767,0.7936,1181,338
-0.1426,-0.48,405,605
-0.1455,0.2857,174,1312
-0.3758,0.7661,1587,1466
-0.0651,0.0,1219,816
-0.2651,0.3913,388,808
-0.1904,-0.6312,486,196
-0.0729,0.5333,1667,1068
-0.175,-0.6548,579,1898
-0.0994,0.9231,636,690
-0.0212,0.8158,765,1718
-0.1901,-0.6222,1240,467
-0.2292,0.6061,1397,1503
0.0328,0.25,1479,633
0.4976,0.2,1639,1105
-0.2153,0.9481,666,598
-0.3468,0.0,188,1455
-0.0949,0.1131,101,1224
0.0374,0.6667,279,1590
-0.1053,-0.8194,17,1702
0.0102,-0.5357,1726,1225
-0.1094,0.05,890,671
-0.0157,-0.9706,694,796
0.0182,0.6765,1513,1298
-0.3712,0.875,84,466
-0.1761,-0.5161,581,0
-0.0916,0.3571,931,359
-0.2228,0.1579,1934,219
-0.3194,0.1923,1548,109
-0.196,-0.0909,1264,1670
-0.1263,0.5714,32,829
-0.064,-0.0769,1110,526
-0.2371,0.9325,781,470
-0.1606,-0.5073,310,1032
-0.2039,0.8968,217,1175
-0.1424,0.3333,8,1892
-0.0508,-0.4375,1100,1831
0.0047,-0.6786,1359,1325
-0.0129,-0.6,52,29
-0.1363,0.0,925,1440
-0.1955,-0.6145,360,267
-0.2141,0.0833,1113,578
-0.5902,0.625,1003,82
-0.4698,0.8871,1721,1241
-0.2052,0.2143,858,1423
-0.164,-0.0833,1289,966
0.01,0.3,769,1229
-0.097,0.1238,1505,1139
0.5591,-0.7,390,831
-0.3307,0.5161,1388,16
-0.2788,0.4667,716,1428
-0.09,-0.0517,241,563
-0.1856,-0.578,722,1288
0.2905,-0.0909,231,804
-0.1874,-0.4832,1912,1362
-0.3382,0.3,688,1641
-0.5411,0.1818,842,554
-0.0118,-0.4,1518,981
-0.0039,-0.5,397,1869
0.133,0.7105,1004,1465
-0.3868,0.5263,1805,501
-0.2656,0.55,1622,887
-0.1129,-0.2632,1643,1357
-0.2991,0.8667,1169,1660
-0.241,0.4815,394,577
-0.1232,0.8972,1634,1807
-0.0927,0.1789,934,1483
-0.3025,0.2,832,1759
0.0865,0.1333,1186,839
0.338,0.1111,1530,64
-0.0148,-0.1154,379,1659
-0.215,0.3333,328,170
-0.1694,0.8161,74,1478
-0.1875,0.5439,1641,967
-0.0395,-0.2857,826,1780
0.5917,0.8137,1687,1526
-0.146,-0.1818,1590,724
-0.1799,-0.5349,1136,1832
-0.0807,-0.25,1140,54
-0.0839,-0.1111,573,92
-0.3475,0.9054,1555,1093
-0.0633,-0.4815,1578,1577
-0.4283,0.9607,1299,158
-0.079,-0.7037,176,1174
0.0726,0.0625,462,33
-0.2313,-0.1177,133,624
-0.3765,0.4118,470,672
-0.1153,0.36,1232,1673
0.0075,-0.3077,670,1079
-0.159,-0.5645,1300,146
-0.065,-0.4737,1878,969
-0.0098,-0.2,586,1751
-0.0931,-0.8461,552,833
-0.1093,0.75,1761,480
-0.1828,0.7,362,1242
-0.087,0.5714,1873,1136
-0.5185,0.4118,453,1636
-0.2112,-0.0909,703,781
-0.1461,0.0,1868,1880
-0.1956,-0.6012,1611,1703
-0.2904,0.3667,743,1771
0.031,-0.125,376,1066
-0.2475,0.7097,301,1021
-0.0891,0.1,1326,611
-0.188,0.7813,1201,236
-0.1053,-0.3636,343,412
-0.0161,-0.1667,1403,1253
-0.2446,0.125,365,513
0.0076,-0.7143,71,638
0.0137,-0.1667,267,77
-0.177,0.937,1531,1097
-0.179,-0.6171,466,1763
-0.0785,0.2439,1695,661
-0.161,0.4286,1084,155
0.0072,-0.2632,283,1821
-0.1445,0.0909,734,575
-0.1939,-0.65,1659,1059
-0.1057,0.0602,708,1392
-0.1064,-0.9158,1343,558
-0.1854,-0.6272,1052,1655
-0.2601,0.6812,1462,1248
-0.205,0.76,975,1287
-0.2415,-0.1154,1635,98
-0.066,0.0361,1812,1496
-0.1097,0.6923,544,395
-0.1582,0.2941,1309,1586
-0.1212,-0.6296,1493,1330
0.0,0.5909,112,1600
-0.0812,0.0461,170,659
-0.2738,0.4286,350,1521
-0.1063,-0.0588,155,866
-0.0302,0.0526,1047,1017
-0.1871,-0.6057,391,1482
-0.1301,0.4,667,1037
-0.0978,0.5556,54,1092
0.0376,0.4545,1757,1108
-0.1052,-0.1129,1191,922
-0.0652,0.0769,673,1669
-0.0683,-0.4,601,133
-0.4119,0.2941,808,964
-0.189,-0.586,1336,85
-0.2069,-0.1,1487,1084
0.0343,-0.4815,1810,985
-0.321,0.2632,680,945
-0.25,0.25,1292,1637
-0.248,-0.2727,142,366
-0.0759,0.8,124,1331
-0.2019,-0.0769,1803,1885
-0.2112,-0.0435,1147,924
-0.1681,0.1429,79,1826
-0.1823,-0.6163,1579,348
-0.2043,0.6452,325,84
-0.3087,0.0313,1834,1611
-0.1014,-0.8947,1080,1842
-0.0184,0.1379,1419,834
-0.1919,-0.6114,1651,856
-0.1078,-0.8824,255,1065
-0.0369,-0.375,251,1649
-0.12,0.7885,1927,288
-0.1933,-0.5363,595,1921
-0.2317,0.3043,15,1527
0.0087,0.4545,1466,1903
-0.0339,-0.5333,797,1442
0.1076,0.75,404,36
-0.1313,0.6944,1320,1729
-0.2701,0.6667,167,1177
-0.0902,0.0368,366,915
-0.0359,-0.9286,1348,237
-0.2261,0.7977,751,1165
-0.2244,0.4286,715,342
-0.0989,0.4167,94,453
-0.0764,-0.3636,605,28
-0.3158,-0.5625,848,1603
-0.0548,0.6667,92,825
-0.1223,0.3333,1167,1123
-0.2431,0.8757,1454,61
-0.224,-0.3973,1109,1802
-0.218,0.1905,239,1162
-0.0294,-0.2308,1599,1608
-0.2095,0.5246,1214,691
0.3643,-0.375,1296,1388
-0.214,0.0,588,694
0.0418,-0.1667,1863,728
-0.1451,0.8065,1156,478
0.4208,0.0909,1722,1026
-0.467,0.2,1755,535
-0.0448,-0.6667,1702,1056
-0.0521,-0.6744,1244,1803
0.3954,0.2222,213,1107
-0.225,0.2727,1794,459
0.0322,0.1539,1274,390
-0.2233,0.5862,517,1867
-0.2463,-0.3636,575,224
-0.084,0.1105,1153,823
0.3307,0.3,1716,1468
-0.0258,-0.3684,171,1462
-0.1162,0.2941,978,774
-0.0184,0.773,59,707
0.2394,-0.6,1684,822
-0.0822,0.7162,13,522
-0.1326,-0.0909,1283,1757
-0.1279,0.3158,1090,608
-0.2513,0.4,1476,523
-0.1063,0.25,55,402
-0.1835,0.0,1467,1816
-0.1652,-0.0833,292,1472
-0.1903,0.6471,518,1582
-0.1184,0.6667,1557,528
-0.1388,0.381,735,843
-0.1851,-0.3684,558,269
-0.1349,0.68,1342,512
-0.0979,0.6342,419,620
-0.1797,0.7636,855,1830
0.0086,0.7778,431,1848
0.0002,-0.9118,1312,1723
-0.4515,0.7143,123,1278
-0.1808,-0.6286,189,1375
-0.1325,0.0476,1614,1425
-0.1832,0.1333,134,718
-0.2744,-0.0909,805,1589
-0.141,-0.1,1909,1346
-0.1694,-0.6491,1061,206
-0.1594,0.6296,593,1814
-0.0247,0.8806,1574,408
-0.1549,-0.2083,88,259
-0.4218,0.8571,624,714
-0.1704,0.5217,1217,266
-0.1836,-0.25,117,327
-0.0488,0.6066,363,1316
-0.1893,-0.6148,1769,949
0.093,-0.3,993,651
0.0289,0.5454,775,737
-0.2432,0.0556,1252,341
-0.0916,0.4828,907,458
-0.1903,-0.6279,1655,1694
-0.0666,0.7,1906,1117
-0.3257,0.7782,270,870
-0.1848,-0.4867,1179,102
-0.0209,-0.1765,1439,1596
-0.2148,-0.8409,1390,889
0.0101,0.0,642,1222
-0.2248,0.2618,606,370
-0.2601,0.4286,946,1398
-0.0525,0.1191,257,1397
-0.5227,0.1667,1285,1314
-0.1231,0.7419,1335,936
-0.2014,0.1818,681,1350
-0.2489,0.5556,1932,27
-0.0263,0.5294,1284,1004
-0.2395,0.6087,1780,1197
-0.2435,-0.1111,119,1906
-0.1558,-0.5846,382,1101
-0.1562,-0.0833,375,86
-0.0809,0.4583,1494,10
-0.0886,-0.0058,1436,65
-0.19,-0.6154,886,1714
-0.0944,0.0602,952,1332
-0.0292,-0.025,757,1908
-0.2159,0.4,247,541
-0.1248,0.0,1914,250
-0.1722,0.4762,348,307
-0.0101,0.8522,1902,125
-0.1568,0.8444,1372,441
-0.0012,-0.4545,1690,221
-0.0974,0.8921,1027,100
-0.1035,-0.0261,5,1849
-0.2402,0.6342,1903,607
-0.2267,0.8736,879,628
-0.2654,0.7423,1089,1159
-0.0195,-0.1429,1195,1206
-0.1879,-0.627,416,1438
-0.1737,-0.2105,1037,422
-0.184,0.4783,1756,901
-0.1819,-0.5909,344,1740
-0.2127,-0.1875,913,761
-0.1102,0.0,432,362
-0.1769,0.6389,841,1698
-0.1015,0.7222,1768,1135
-0.5076,0.7273,632,301
-0.3131,0.7701,950,439
0.0066,0.575,67,1812
-0.0236,0.7619,437,1776
-0.074,0.6667,1607,1850
-0.0951,-0.0058,1765,855
-0.1147,0.8947,1162,1552
-0.071,0.1539,168,1786
-0.1634,-0.5294,651,976
-0.1433,-0.1818,1440,975
0.0096,-0.0588,75,845
-0.1911,-0.6194,1303,731
-0.0137,-0.7222,138,1245
0.0305,-0.2941,567,1940
-0.1911,-0.6243,447,11
-0.0197,0.3137,576,1379
-0.305,-0.0909,1098,411
0.3223,0.4545,1173,1077
-0.2397,0.0,827,1677
-0.2816,0.0435,646,1283
-0.2066,0.1522,536,1140
-0.2278,0.3636,476,417
-0.0296,-0.2727,1020,1612
-0.0962,-0.0686,1708,382
0.0353,-0.803,957,700
-0.0777,-0.375,349,1933
-0.1688,-0.1,528,1784
-0.1895,-0.5876,883,1795
-0.1747,0.4667,148,293
-0.0171,-0.0606,454,1497
-0.092,-0.0442,384,94
-0.1948,-0.605,42,1916
-0.1902,-0.6185,1665,742
-0.0087,-0.2273,994,644
0.1693,0.3077,169,754
-0.2787,0.4545,874,1891
-0.1962,0.5714,859,489
-0.2,-0.6127,549,270
-0.2199,0.4286,235,698
-0.0903,0.44,1841,590
-0.117,0.1111,1429,1269
-0.0538,0.6667,91,971
-0.153,0.5376,25,735
-0.056,0.4667,12,1233
-0.0587,0.6522,930,174
-0.0971,0.5714,762,479
-0.2098,0.6,100,83
-0.0545,-0.0773,863,917
-0.1902,-0.6242,510,544
0.063,0.7273,733,1689
-0.113,0.6559,1929,938
-0.2022,0.6047,1709,736
-0.1175,0.2857,947,1682
-0.1857,-0.6667,633,807
-0.2476,0.5484,1075,940
-0.1563,0.3,551,495
-0.0791,0.25,1355,272
-0.0972,0.4375,178,1857
0.3654,0.3636,196,1131
-0.1645,-0.5769,951,1054
-0.3109,0.7419,1459,12
-0.1403,0.25,1228,1888
-0.144,0.4615,583,50
-0.2576,-0.1765,1351,177
-0.2536,-0.1,766,904
-0.0221,0.4615,108,484
-0.2858,-0.1818,1135,1464
0.4569,0.5,917,5
-0.0336,-0.5667,464,779
0.0043,-0.5385,332,987
-0.1958,0.4,1826,1134
-0.1015,-0.4667,949,999
-0.2268,0.7188,225,232
-0.0085,0.6667,1940,1365
-0.0881,0.0,129,1871
-0.1926,-0.6012,1819,1469
0.2561,0.1111,1078,687
-0.0658,0.6087,570,542
-0.1776,0.6667,478,357
-0.0473,-0.9138,1495,1658
-0.169,-0.3529,1242,1351
-0.0371,-0.4048,1937,1578
-0.1667,0.6667,1827,693
-0.1837,-0.6271,330,777
-0.0576,0.0,1523,1794
-0.1563,-0.6159,1344,406
-0.1925,-0.6114,806,485
0.1841,0.5,574,1508
-0.0049,-0.1667,1082,1626
-0.1229,-0.0909,1664,1711
0.0082,-0.6,1916,1426
-0.1745,0.6471,359,1720
-0.099,0.0,1596,1255
-0.112,0.8934,1072,1851
0.5237,0.2727,659,369
-0.154,0.6567,825,305
-0.1407,0.7068,1354,1563
-0.2079,-0.5238,1626,1557
-0.1187,0.6,902,1385
-0.0205,-0.5,728,324
-0.1127,0.0833,618,442
-0.0924,0.6383,1886,1699
0.0029,0.1143,402,1499
-0.0791,0.0,1404,1291
-0.024,-0.1064,798,657
-0.2575,0.0385,4,421
-0.034,-0.5128,1346,941
-0.154,0.0588,1617,1209
-0.1827,-0.5833,1786,1783
-0.1733,0.0,1811,1407
-0.4119,0.0952,1076,1656
-0.2572,0.3,1468,46
-0.1004,-0.3939,224,1128
-0.2199,0.806,698,1733
-0.0259,0.2907,619,1356
0.0073,-0.2667,1603,1371
-0.1809,0.1429,233,1285
0.3751,0.3333,677,257
-0.112,0.44,839,723
-0.175,0.2828,706,500
-0.105,0.82,1094,81
-0.0836,0.7143,795,298
-0.1557,0.6563,732,1715
-0.2252,0.5385,1501,1489
-0.2034,0.8261,1504,794
-0.5274,0.6406,620,68
-0.2987,0.6667,1808,4
-0.1938,-0.6116,1774,211
-0.3512,0.4286,172,586
-0.2826,-0.0833,498,516
-0.1339,0.7193,1823,511
-0.1535,0.7471,875,947
-0.1702,0.6539,543,980
-0.1151,-0.1111,1282,449
-0.0341,-0.3333,2,243
-0.2722,0.7593,1291,353
-0.2246,0.8434,1568,970
-0.2663,0.8065,244,1144
-0.0307,-0.6364,146,222
-0.0085,0.5,1210,344
-0.078,0.0833,111,374
-0.1426,0.7192,1506,1769
-0.1923,0.0,493,1179
-0.1008,-0.0409,1725,172
0.0016,-0.4643,102,813
-0.1001,0.6818,1463,1890
-0.1724,0.0,1798,1634
-0.1253,0.8372,1613,1813
0.0023,-0.4706,891,564
-0.0786,0.815,578,697
-0.0643,-0.5641,553,1516
-0.279,0.5,246,958
-0.0977,-0.1329,1237,1237
-0.403,0.3333,533,18
-0.366,0.2667,1766,461
-0.2359,-0.0833,1213,413
-0.2189,0.5,702,1411
-0.0674,0.72,678,715
-0.0629,0.1429,880,1406
-0.2988,0.875,1670,844
-0.0645,0.25,1580,702
-0.1054,0.3571,1896,1171
-0.1685,0.3158,1067,1047
-0.0298,0.7241,234,147
-0.1857,0.4,374,110
-0.0486,-0.1429,699,1894
-0.157,0.3696,1230,1678
-0.223,0.7333,1582,1374
-0.1172,0.2,1128,1281
-0.1865,-0.6154,1825,1752
-0.2241,0.2143,98,346
-0.1846,-0.05,1120,1386
0.0062,-0.4286,491,883
-0.2414,-0.2222,541,979
-0.2785,0.6429,1799,1185
-0.1906,0.4231,1030,788
-0.2251,0.0,610,156
-0.0083,0.0938,1029,136
-0.1497,-0.6172,26,180
-0.2387,-0.1905,1259,853
-0.0926,0.375,1482,1550
-0.2913,0.8182,831,903
-0.0842,0.4737,1437,950
-0.2125,0.3,28,627
-0.038,0.4167,352,540
-0.216,-0.125,409,1182
-0.1197,0.6316,1253,186
-0.0332,0.0645,1777,72
-0.1094,-0.2,1069,1736
-0.1711,0.0,1793,230
-0.0022,-0.4545,1054,337
-0.2471,0.1429,1767,1419
-0.125,0.2647,1704,1872
-0.0746,0.5833,811,403
-0.2824,0.1429,1322,239
-0.058,0.1171,1486,1086
-0.8603,-0.2394,1856,646
-0.3205,0.0,1686,1706
-0.0139,0.1765,1828,1124
-0.3686,0.7719,1174,1313
-0.0481,-0.5882,1668,604
-0.3339,0.2,1046,1310
-0.0862,0.6667,744,622
-0.1712,0.1818,691,932
-0.13,0.9018,637,1184
-0.2007,0.2727,1115,587
-0.213,0.5143,1729,465
-0.1436,0.9552,1836,1602
0.0192,0.7209,1058,747
0.2907,-0.0909,1159,641
-0.1454,-0.9514,692,1633
-0.0774,-0.303,403,410
0.0035,-0.0968,164,1663
-0.0704,-0.1818,1143,59
-0.0504,0.9091,829,1861
-0.0978,-0.28,290,1530
-0.0651,0.9024,1472,1352
-0.0028,0.0571,1551,1127
-0.17,-0.6242,850,763
-0.2076,0.4091,918,1865
-0.1625,0.1429,1619,519
-0.3117,0.6042,1378,1343
-0.2135,-0.1539,438,649
-0.2774,0.1667,1775,48
-0.0402,0.0,243,1436
0.0362,-0.6667,970,1344
-0.0899,0.1484,1050,1924
-0.2067,-0.1667,194,863
-0.1822,0.2,612,1164
-0.1279,-0.1111,1718,1204
-0.1781,-0.6622,57,635
-0.0576,-0.72,408,1727
0.1774,0.7308,1357,900
-0.1362,0.3636,1330,1382
-0.3703,-0.616,697,1081
-0.0092,0.4727,1366,1366
-0.0481,-0.48,147,689
-0.3442,-0.9478,401,1490
-0.1132,-0.05,1063,1033
-0.343,0.15,195,931
-0.1033,0.3636,835,878
0.3118,0.1818,58,87
-0.197,-0.5843,436,1221
-0.2511,0.7292,1106,1319
0.5613,-0.3889,639,1052
-0.1115,0.3889,615,609
0.0347,0.0,790,1183
-0.162,0.0993,1887,1717
-0.3013,-0.75,630,1827
-0.1262,0.1111,1431,199
-0.2629,0.5213,1138,331
-0.1588,0.0769,1633,621
-0.2053,-0.5263,1238,1112
-0.2611,0.0833,1460,1622
-0.0582,0.5,1038,440
-0.2606,-0.5556,843,914
-0.0524,-0.2222,78,677
-0.166,0.9096,1096,1211
-0.1555,-0.1539,463,240
-0.1941,0.7692,1747,695
-0.1236,0.1765,937,1271
-0.1827,-0.6257,115,1116
-0.2329,0.5614,1164,669
-0.2106,0.6,884,892
-0.1805,0.5313,1930,44
-0.2418,0.1177,1339,739
-0.2395,-0.0769,685,75
-0.2808,0.0909,1648,1877
-0.0851,0.8667,1118,115
-0.2348,-0.3333,741,762
-0.1743,-0.6242,1751,595
-0.1081,0.1786,207,1632
-0.1431,0.8036,684,790
-0.2267,0.1177,1316,1413
-0.1069,0.5,1362,1560
-0.1124,-0.125,1911,1645
-0.0052,0.7,1514,1196
0.3283,-0.2308,1040,216
-0.1271,0.1065,39,165
-0.2007,-0.1539,489,1247
-0.0958,-0.5265,1925,215
-0.1906,-0.657,1701,1805
-0.2496,0.3846,1272,1151
-0.1964,-0.3913,687,1340
-0.3522,0.7917,1706,1018
-0.1557,-0.6159,1881,1680
-0.1976,0.75,974,555
0.0688,-0.3333,97,847
-0.2409,-0.2609,1920,727
-0.2166,0.7609,1869,1427
-0.079,0.6364,597,3
-0.0745,0.4,1918,1424
-0.1405,-0.1707,547,1674
-0.0099,0.5833,1710,176
-0.0049,-0.5957,1629,405
-0.1077,0.1091,149,1901
-0.2402,0.5769,1529,965
-0.093,0.55,1740,1158
-0.1045,0.9163,1389,1672
-0.2171,-0.3333,1178,472
-0.4168,0.7619,1638,1038
-0.084,-0.2059,1198,1359
-0.1113,-0.1667,531,1210
