school/pe.Borough,school/pe.Admin District,school/pe.Geographical District,school/pe.Location Code,school/pe.School Level ,school/pe.Student Enrollment,school/pe.Full Time Licensed PE Teachers,school/pe.F Status PE Teachers*,school/pe.Itinerant PE Teachers*,school/pe.Sum of F Status and Itinerant*,school/pe.Total Part Time and Full Time PE Teachers*,school/pe.Shared PE teachers with another school*,school/pe.Ratio of Full Time Licensed PE Teachers to Students*,DBN
Queens,24,24,Q049,K-8                                ,1112,2,0,0,0,2,0,1:556,24Q049
Manhattan,75,2,M721,Secondary School                   ,146,3,0,0,0,3,0,1:49,75M721
Bronx,7,7,X381,High School                        ,145,1,0,0,0,1,0,1:145,07X381
Manhattan,6,6,M018,K-8                                ,344,1,0,0,0,1,0,1:344,06M018
Bronx,7,7,X334,High School                        ,395,1,0,0,0,1,0,1:395,07X334
Queens,25,25,Q021,Elementary                         ,1268,0,0,0,0,0,0,0,25Q021
Bronx,11,11,X253,High School                        ,292,1,0,0,0,1,0,1:292,11X253
Bronx,12,12,X190,Junior High-Intermediate-Middle    ,236,1,0,0,0,1,0,1:236,12X190
Brooklyn,21,21,K559,High School                        ,256,1,0,0,0,1,0,1:256,21K559
Bronx,12,12,X067,Elementary                         ,517,1,0,0,0,1,0,1:517,12X067
Bronx,10,10,X095,K-8                                ,1273,2,0,0,0,2,0,1:637,10X095
Brooklyn,20,20,K105,Elementary                         ,1518,0,0,0,0,0,0,0,20K105
Bronx,9,9,X126,Elementary                         ,528,1,0,0,0,1,0,1:528,09X126
Bronx,9,9,X145,Junior High-Intermediate-Middle    ,265,1,0,0,0,1,0,1:265,09X145
Manhattan,2,2,M347,K-8                                ,130,0,0,0,0,0,0,0,02M347
Queens,27,27,Q137,Junior High-Intermediate-Middle    ,1885,5,0,0,0,5,0,1:377,27Q137
Staten Island,31,31,R861,K-8                                ,887,2,0,0,0,2,0,1:444,31R861
Bronx,8,8,X301,Junior High-Intermediate-Middle    ,215,1,0,0,0,1,0,1:215,08X301
Manhattan,6,6,M153,Elementary                         ,584,0,0,0,0,0,0,0,06M153
Manhattan,6,6,M349,Junior High-Intermediate-Middle    ,143,0,0,0,0,0,0,0,06M349
Staten Island,75,31,R025,K-12 All Grades                    ,390,2,0,0,0,2,0,1:195,75R025
Bronx,8,8,X140,Elementary                         ,583,0,0,0,0,0,0,0,08X140
Manhattan,2,2,M151,Elementary                         ,498,1,0,0,0,1,0,1:498,02M151
Brooklyn,23,23,K668,Junior High-Intermediate-Middle    ,104,1,0,0,0,1,0,1:104,23K668
Queens,25,25,Q525,High School                        ,1101,6,0,0,0,6,0,1:184,25Q525
Brooklyn,18,18,K642,High School                        ,274,2,0,0,0,2,1,1:137,18K642
Queens,28,28,Q190,Junior High-Intermediate-Middle    ,994,4,0,0,0,4,0,1:249,28Q190
Queens,27,27,Q064,Elementary                         ,626,1,0,0,0,1,0,1:626,27Q064
Queens,26,26,Q415,High School                        ,3617,15,0,0,0,15,0,1:241,26Q415
Manhattan,4,4,M964,K-8                                ,362,1,0,0,0,1,0,1:362,04M964
Manhattan,2,2,M449,High School                        ,422,0,0,0,0,0,0,0,02M449
Bronx,75,7,X754,High School                        ,403,6,0,0,0,6,0,1:67,75X754
Bronx,12,12,X479,High School                        ,245,1,0,0,0,1,0,1:245,12X479
Manhattan,3,3,M334,K-8                                ,550,1,0,0,0,1,0,1:550,03M334
Brooklyn,19,19,K013,Elementary                         ,405,0,0,0,0,0,0,0,19K013
Bronx,11,11,X468,Junior High-Intermediate-Middle    ,323,1,0,0,0,1,0,1:323,11X468
Brooklyn,16,16,K393,High School                        ,47,1,0,0,0,1,0,1:47,16K393
Queens,28,28,Q167,Secondary School                   ,814,5,0,0,0,5,0,1:163,28Q167
Manhattan,1,1,M364,Elementary                         ,287,0,0,0,0,0,0,0,01M364
Queens,26,26,Q205,Elementary                         ,281,0,0,0,0,0,0,0,26Q205
Brooklyn,22,22,K381,Junior High-Intermediate-Middle    ,284,2,0,0,0,2,0,1:142,22K381
Manhattan,6,6,M346,Secondary School                   ,651,3,0,0,0,3,0,1:217,06M346
Bronx,9,9,X236,Elementary                         ,287,1,0,0,0,1,0,1:287,09X236
Brooklyn,20,20,K505,High School                        ,2919,15,1,0,1,16,0,1:195,20K505
Brooklyn,13,13,K595,High School                        ,347,2,0,0,0,2,0,1:174,13K595
Queens,27,27,Q253,Elementary                         ,538,1,0,0,0,1,0,1:538,27Q253
Manhattan,2,2,M003,Elementary                         ,712,0,0,0,0,0,0,0,02M003
Bronx,12,12,X057,Elementary                         ,473,1,0,0,0,1,0,1:473,12X057
Manhattan,4,4,M375,Elementary                         ,262,1,0,0,0,1,0,1:262,04M375
Bronx,9,9,X311,Elementary                         ,387,1,0,0,0,1,0,1:387,09X311
Bronx,11,11,X481,Elementary                         ,95,0,0,0,0,0,0,0,11X481
Bronx,12,12,X458,Elementary                         ,125,0,0,0,0,0,0,0,12X458
Manhattan,4,4,M435,High School                        ,1576,6,0,0,0,6,0,1:263,04M435
Bronx,10,10,X391,Junior High-Intermediate-Middle    ,488,3,0,0,0,3,0,1:163,10X391
Brooklyn,19,19,K224,Elementary                         ,361,1,0,0,0,1,0,1:361,19K224
Brooklyn,15,15,K058,Elementary                         ,911,0,0,0,0,0,0,0,15K058
Bronx,7,7,X379,High School                        ,142,1,0,0,0,1,0,1:142,07X379
Queens,30,30,Q228,Early Childhood                    ,285,0,0,0,0,0,0,0,30Q228
Brooklyn,19,19,K108,Elementary                         ,839,0,0,0,0,0,0,0,19K108
Manhattan,3,3,M859,K-12 All Grades                    ,309,1,0,0,0,1,0,1:309,03M859
Bronx,10,10,X008,Elementary                         ,1025,1,0,0,0,1,0,1:1025,10X008
Bronx,8,8,X036,Elementary                         ,662,1,0,0,0,1,0,1:662,08X036
Brooklyn,19,19,K639,High School                        ,269,1,0,1,1,2,1,1:269,19K639
Manhattan,3,3,M054,Junior High-Intermediate-Middle    ,835,2,0,0,0,2,0,1:418,03M054
Brooklyn,20,20,K227,Junior High-Intermediate-Middle    ,1339,5,0,0,0,5,0,1:268,20K227
Bronx,8,8,X152,Elementary                         ,800,0,0,0,0,0,0,0,08X152
Manhattan,2,2,M316,High School                        ,252,1,0,0,0,1,0,1:252,02M316
Brooklyn,15,15,K094,Elementary                         ,1356,0,0,0,0,0,0,0,15K094
Queens,25,25,Q032,Elementary                         ,910,0,0,0,0,0,0,0,25Q032
Manhattan,2,2,M126,K-8                                ,729,1,0,0,0,1,0,1:729,02M126
Queens,25,25,Q219,K-8                                ,607,2,0,0,0,2,0,1:304,25Q219
Manhattan,3,3,M165,K-8                                ,632,2,0,0,0,2,0,1:316,03M165
Bronx,10,10,X226,Elementary                         ,419,0,0,0,0,0,0,0,10X226
Queens,26,26,Q094,Elementary                         ,355,1,0,0,0,1,0,1:355,26Q094
Bronx,10,10,X209,Early Childhood                    ,234,1,0,0,0,1,0,1:234,10X209
Queens,24,24,Q081,Elementary                         ,655,0,0,0,0,0,0,0,24Q081
Brooklyn,19,19,K214,Elementary                         ,792,0,0,0,0,0,0,0,19K214
Queens,28,28,Q086,Elementary                         ,926,0,0,0,0,0,0,0,28Q086
Queens,75,28,Q752,High School                        ,272,4,0,0,0,4,0,1:68,75Q752
Queens,30,30,Q127,K-8                                ,1168,3,0,0,0,3,0,1:389,30Q127
Manhattan,3,3,M417,High School                        ,389,2,0,0,0,2,0,1:195,03M417
Staten Island,31,31,R032,Elementary                         ,608,0,0,0,0,0,0,0,31R032
Bronx,10,10,X206,Junior High-Intermediate-Middle    ,181,1,0,0,0,1,0,1:181,10X206
Queens,28,28,Q217,Junior High-Intermediate-Middle    ,1589,3,0,0,0,3,0,1:530,28Q217
Bronx,10,10,X307,Elementary                         ,381,0,0,0,0,0,0,0,10X307
Bronx,11,11,X178,Elementary                         ,457,0,0,0,0,0,0,0,11X178
Brooklyn,19,19,K345,Elementary                         ,553,0,0,0,0,0,0,0,19K345
Bronx,8,8,X282,High School                        ,275,2,0,0,0,2,0,1:138,08X282
Brooklyn,19,19,K089,K-8                                ,432,1,0,0,0,1,0,1:432,19K089
Bronx,9,9,X231,Secondary School                   ,481,3,0,0,0,3,0,1:160,09X231
Queens,27,27,Q097,Elementary                         ,682,0,0,0,0,0,0,0,27Q097
Queens,27,27,Q261,High School                        ,238,1,0,0,0,1,0,1:238,27Q261
Bronx,8,8,X072,Elementary                         ,743,0,0,0,0,0,0,0,08X072
Queens,24,24,Q012,Elementary                         ,1203,1,0,0,0,1,0,1:1203,24Q012
Manhattan,75,2,M226,K-12 All Grades                    ,221,4,0,0,0,4,0,1:55,75M226
Bronx,12,12,X318,Junior High-Intermediate-Middle    ,272,1,0,0,0,1,0,1:272,12X318
Brooklyn,17,17,K398,Elementary                         ,274,0,0,0,0,0,0,0,17K398
Brooklyn,22,22,K207,K-8                                ,1247,2,0,0,0,2,0,1:624,22K207
Queens,29,29,Q243,High School                        ,387,2,0,0,0,2,0,1:194,29Q243
Staten Island,31,31,R013,Elementary                         ,832,1,0,0,0,1,0,1:832,31R013
Manhattan,75,1,M751,High School                        ,118,2,0,0,0,2,0,1:59,75M751
Brooklyn,14,14,K031,Elementary                         ,493,0,1,0,1,1,0,0,14K031
Manhattan,5,5,M362,Secondary School                   ,679,1,0,0,0,1,0,1:679,05M362
Queens,29,29,Q138,K-8                                ,698,1,0,0,0,1,0,1:698,29Q138
Bronx,11,11,X508,High School                        ,416,2,0,0,0,2,0,1:208,11X508
Brooklyn,13,13,K483,High School                        ,440,2,0,0,0,2,0,1:220,13K483
Brooklyn,17,17,K722,Junior High-Intermediate-Middle    ,239,1,0,0,0,1,0,1:239,17K722
Queens,25,25,Q165,Elementary                         ,686,0,0,0,0,0,0,0,25Q165
Bronx,7,7,X161,Elementary                         ,418,0,0,0,0,0,0,0,07X161
Bronx,9,9,X276,High School                        ,133,1,0,0,0,1,0,1:133,09X276
Staten Island,31,31,R605,High School                        ,1309,6,0,0,0,6,0,1:218,31R605
Brooklyn,15,15,K039,Elementary                         ,386,0,0,0,0,0,0,0,15K039
Bronx,7,7,X065,Elementary                         ,358,1,0,0,0,1,0,1:358,07X065
Queens,28,28,Q505,High School                        ,3151,17,0,0,0,17,0,1:185,28Q505
Bronx,9,9,X250,High School                        ,403,2,0,0,0,2,0,1:202,09X250
Queens,25,25,Q460,High School                        ,1596,9,0,0,0,9,0,1:177,25Q460
Bronx,9,9,X022,Junior High-Intermediate-Middle    ,401,2,0,0,0,2,0,1:201,09X022
Bronx,9,9,X219,Junior High-Intermediate-Middle    ,292,0,0,0,0,0,0,0,09X219
Bronx,8,8,X320,High School                        ,418,4,0,0,0,4,0,1:105,08X320
Queens,28,28,Q040,Elementary                         ,425,0,0,0,0,0,0,0,28Q040
Manhattan,3,3,M452,Elementary                         ,310,1,0,0,0,1,0,1:310,03M452
Brooklyn,22,22,K277,Elementary                         ,408,1,0,0,0,1,0,1:408,22K277
Queens,26,26,Q566,High School                        ,1074,6,0,0,0,6,0,1:179,26Q566
Brooklyn,15,15,K462,High School                        ,386,1,0,0,0,1,0,1:386,15K462
Staten Island,31,31,R030,Elementary                         ,791,0,0,0,0,0,0,0,31R030
Manhattan,6,6,M528,Junior High-Intermediate-Middle    ,193,0,0,0,0,0,0,0,06M528
Bronx,11,11,X326,Junior High-Intermediate-Middle    ,380,1,0,0,0,1,0,1:380,11X326
Bronx,9,9,X525,High School                        ,549,4,0,0,0,4,0,1:137,09X525
Brooklyn,22,22,K193,Elementary                         ,754,0,0,0,0,0,0,0,22K193
Brooklyn,16,16,K628,Elementary                         ,200,0,0,0,0,0,0,0,16K628
Bronx,8,8,X367,Secondary School                   ,643,2,0,0,0,2,0,1:322,08X367
Brooklyn,18,18,K635,High School                        ,158,1,0,0,0,1,0,1:158,18K635
Manhattan,2,2,M542,High School                        ,502,1,0,0,0,1,0,1:502,02M542
Brooklyn,17,17,K006,Elementary                         ,684,1,0,0,0,1,0,1:684,17K006
Bronx,10,10,X549,High School                        ,422,2,0,0,0,2,0,1:211,10X549
Bronx,8,8,X130,Elementary                         ,452,1,0,0,0,1,0,1:452,08X130
Queens,27,27,Q480,High School                        ,2000,17,0,0,0,17,0,1:118,27Q480
Manhattan,4,4,M372,Secondary School                   ,557,2,0,0,0,2,0,1:279,04M372
Manhattan,2,2,M605,High School                        ,190,0,0,0,0,0,0,0,02M605
Queens,24,24,Q330,Elementary                         ,560,1,0,0,0,1,0,1:560,24Q330
Brooklyn,22,22,K326,Early Childhood                    ,165,0,0,0,0,0,0,0,22K326
Brooklyn,14,14,K449,High School                        ,711,3,0,0,0,3,0,1:237,14K449
Queens,27,27,Q183,K-8                                ,498,1,0,0,0,1,0,1:498,27Q183
Brooklyn,15,15,K429,Secondary School                   ,177,2,0,0,0,2,0,1:89,15K429
Bronx,11,11,X556,Junior High-Intermediate-Middle    ,381,2,0,0,0,2,0,1:191,11X556
Queens,24,24,Q485,High School                        ,1614,9,0,0,0,9,0,1:179,24Q485
Bronx,11,11,X096,Elementary                         ,929,1,0,0,0,1,0,1:929,11X096
Manhattan,1,1,M184,K-8                                ,621,2,0,0,0,2,0,1:311,01M184
Brooklyn,16,16,K594,High School                        ,173,1,0,0,0,1,0,1:173,16K594
Manhattan,6,6,M324,Junior High-Intermediate-Middle    ,409,2,0,0,0,2,0,1:205,06M324
Manhattan,6,6,M462,High School                        ,400,2,0,0,0,2,0,1:200,06M462
Bronx,12,12,X066,Elementary                         ,587,1,0,0,0,1,0,1:587,12X066
Queens,30,30,Q069,Elementary                         ,948,0,0,0,0,0,0,0,30Q069
Manhattan,2,2,M545,High School                        ,396,1,1,0,1,2,0,1:396,02M545
Bronx,7,7,X343,Junior High-Intermediate-Middle    ,296,0,0,1,1,1,1,0,07X343
Brooklyn,15,15,K169,Elementary                         ,1534,1,0,0,0,1,0,1:1534,15K169
Bronx,11,11,X019,K-8                                ,502,1,0,0,0,1,0,1:502,11X019
Bronx,12,12,X214,K-8                                ,972,1,0,0,0,1,0,1:972,12X214
Bronx,11,11,X111,Elementary                         ,590,1,0,0,0,1,0,1:590,11X111
Brooklyn,15,15,K107,Elementary                         ,561,0,0,0,0,0,0,0,15K107
Queens,25,25,Q189,Junior High-Intermediate-Middle    ,697,2,0,0,0,2,0,1:349,25Q189
Brooklyn,32,32,K086,Elementary                         ,375,0,0,0,0,0,0,0,32K086
Manhattan,3,3,M185,Early Childhood                    ,164,0,0,0,0,0,0,0,03M185
Bronx,12,12,X550,High School                        ,400,2,0,0,0,2,0,1:200,12X550
Bronx,10,10,X310,Elementary                         ,690,1,0,0,0,1,0,1:690,10X310
Queens,30,30,Q111,K-8                                ,232,0,0,0,0,0,0,0,30Q111
Manhattan,4,4,M050,K-8                                ,219,1,0,0,0,1,0,1:219,04M050
Queens,28,28,Q174,Elementary                         ,625,0,0,0,0,0,0,0,28Q174
Brooklyn,13,13,K067,Elementary                         ,194,0,0,0,0,0,0,0,13K067
Bronx,9,9,X110,Elementary                         ,401,0,0,0,0,0,0,0,09X110
Manhattan,2,2,M408,Secondary School                   ,534,0,0,0,0,0,0,0,02M408
Brooklyn,20,20,K229,K-8                                ,1173,1,2,0,2,3,0,1:1173,20K229
Brooklyn,20,20,K201,Junior High-Intermediate-Middle    ,1499,4,0,0,0,4,0,1:375,20K201
Manhattan,3,3,M166,Elementary                         ,611,1,0,0,0,1,0,1:611,03M166
Bronx,9,9,X199,Elementary                         ,713,2,0,0,0,2,0,1:357,09X199
Queens,27,27,Q351,High School                        ,316,1,0,0,0,1,0,1:316,27Q351
Bronx,10,10,X045,Junior High-Intermediate-Middle    ,679,2,0,0,0,2,0,1:340,10X045
Queens,27,27,Q065,Elementary                         ,440,0,0,0,0,0,0,0,27Q065
Queens,24,24,Q058,Elementary                         ,967,1,0,0,0,1,0,1:967,24Q058
Brooklyn,22,22,K139,Elementary                         ,870,1,0,0,0,1,0,1:870,22K139
Bronx,9,9,X339,Junior High-Intermediate-Middle    ,454,2,0,0,0,2,0,1:227,09X339
Brooklyn,16,16,K021,Elementary                         ,517,0,0,0,0,0,0,0,16K021
Manhattan,3,3,M415,Secondary School                   ,278,2,0,0,0,2,0,1:139,03M415
Bronx,8,8,X530,High School                        ,139,1,0,0,0,1,0,1:139,08X530
Bronx,11,11,X181,Junior High-Intermediate-Middle    ,830,1,0,0,0,1,0,1:830,11X181
Queens,29,29,Q195,Elementary                         ,498,0,0,0,0,0,0,0,29Q195
Brooklyn,14,14,K147,Elementary                         ,252,0,0,0,0,0,0,0,14K147
Queens,28,28,Q175,Elementary                         ,714,1,0,0,0,1,0,1:714,28Q175
Brooklyn,13,13,K266,Junior High-Intermediate-Middle    ,156,1,0,0,0,1,0,1:156,13K266
Queens,30,30,Q166,Elementary                         ,1093,2,0,0,0,2,0,1:547,30Q166
Brooklyn,14,14,K157,K-8                                ,470,1,0,0,0,1,0,1:470,14K157
Brooklyn,20,20,K490,High School                        ,4220,19,1,0,1,20,1,1:222,20K490
Queens,26,26,Q133,Elementary                         ,464,0,0,0,0,0,0,0,26Q133
Brooklyn,18,18,K576,High School                        ,313,2,0,0,0,2,0,1:157,18K576
Brooklyn,75,17,K141,K-12 All Grades                    ,310,3,0,0,0,3,0,1:103,75K141
Brooklyn,14,14,K558,High School                        ,545,2,0,0,0,2,0,1:273,14K558
Manhattan,6,6,M468,High School                        ,410,2,1,0,1,3,0,1:205,06M468
Queens,29,29,Q156,Elementary                         ,246,1,0,0,0,1,0,1:246,29Q156
Queens,25,25,Q263,High School                        ,413,2,0,0,0,2,0,1:207,25Q263
Manhattan,2,2,M376,High School                        ,437,1,0,0,0,1,0,1:437,02M376
Manhattan,2,2,M077,Elementary                         ,358,0,0,0,0,0,0,0,02M077
Manhattan,2,2,M550,High School                        ,357,1,0,0,0,1,0,1:357,02M550
Queens,25,25,Q201,Elementary                         ,427,1,0,0,0,1,0,1:427,25Q201
Brooklyn,75,14,K368,K-12 All Grades                    ,195,3,0,0,0,3,0,1:65,75K368
Brooklyn,14,14,K610,High School                        ,291,2,0,0,0,2,0,1:146,14K610
Brooklyn,32,32,K377,K-8                                ,316,1,0,0,0,1,0,1:316,32K377
Brooklyn,15,15,K519,High School                        ,541,3,0,0,0,3,0,1:180,15K519
Manhattan,3,3,M243,Junior High-Intermediate-Middle    ,232,0,0,0,0,0,0,0,03M243
Manhattan,6,6,M423,High School                        ,179,2,0,0,0,2,0,1:90,06M423
Staten Island,31,31,R470,High School                        ,104,1,0,0,0,1,0,1:104,31R470
Brooklyn,13,13,K011,Elementary                         ,794,1,0,0,0,1,0,1:794,13K011
Bronx,8,8,X093,Elementary                         ,273,1,0,0,0,1,0,1:273,08X093
Bronx,11,11,X144,Junior High-Intermediate-Middle    ,467,1,0,0,0,1,0,1:467,11X144
Bronx,12,12,X271,Secondary School                   ,621,1,0,0,0,1,0,1:621,12X271
Staten Island,31,31,R078,Elementary                         ,773,1,0,0,0,1,0,1:773,31R078
Brooklyn,32,32,K556,High School                        ,259,2,0,0,0,2,0,1:130,32K556
Brooklyn,19,19,K618,High School                        ,375,2,0,0,0,2,0,1:188,19K618
Brooklyn,22,22,K222,Elementary                         ,863,1,0,0,0,1,0,1:863,22K222
Brooklyn,13,13,K054,Elementary                         ,189,0,0,0,0,0,0,0,13K054
Bronx,9,9,X457,Elementary                         ,534,2,0,0,0,2,0,1:267,09X457
Bronx,8,8,X348,High School                        ,338,1,0,0,0,1,0,1:338,08X348
Bronx,7,7,X527,High School                        ,468,2,0,0,0,2,0,1:234,07X527
Brooklyn,17,17,K539,High School                        ,332,2,0,0,0,2,0,1:166,17K539
Queens,30,30,Q122,K-8                                ,1293,4,0,0,0,4,0,1:323,30Q122
Queens,25,25,Q025,Junior High-Intermediate-Middle    ,937,2,0,0,0,2,0,1:469,25Q025
Queens,28,28,Q050,Elementary                         ,710,0,0,0,0,0,0,0,28Q050
Brooklyn,20,20,K971,Elementary                         ,356,1,0,0,0,1,0,1:356,20K971
Staten Island,31,31,R048,K-8                                ,947,3,0,0,0,3,0,1:316,31R048
Bronx,12,12,X267,Secondary School                   ,541,1,0,0,0,1,0,1:541,12X267
Bronx,7,7,X427,High School                        ,268,1,0,0,0,1,0,1:268,07X427
Brooklyn,13,13,K439,High School                        ,338,1,0,0,0,1,0,1:338,13K439
Bronx,7,7,X259,High School                        ,427,1,0,0,0,1,0,1:427,07X259
Queens,26,26,Q213,Elementary                         ,377,0,0,0,0,0,0,0,26Q213
Queens,25,25,Q164,K-8                                ,646,1,0,0,0,1,0,1:646,25Q164
Manhattan,3,3,M250,Junior High-Intermediate-Middle    ,183,0,0,0,0,0,0,0,03M250
Manhattan,1,1,M292,High School                        ,132,2,0,0,0,2,0,1:66,01M292
Manhattan,3,3,M299,High School                        ,402,2,0,0,0,2,0,1:201,03M299
