school/oss.LOCATION NAME,school/oss.LOCATION CATEGORY,school/oss.ADMINISTRATIVE DISTRICT,school/oss.AMERICAN INDIAN/ALASKAN NATIVE STUDENTS With 2 or More Suspensions or Removals,school/oss.ASIAN STUDENTS With 2 or More Suspensions or Removals,school/oss.BLACK STUDENTS With 2 or More Suspensions or Removals,school/oss.HISPANIC STUDENTS With 2 or More Suspensions or Removals,school/oss.WHITE STUDENTS With 2 or More Suspensions or Removals,school/oss.MULTI-RACIAL STUDENTS With 2 or More Suspensions or Removals,school/oss.UNKNOWN STUDENTS With 2 or More Suspensions or Removals,school/oss.TOTAL STUDENTS With 2 or More Suspensions or Removals,DBN
Long Island City High School,High school,30.0,*,*,12,8,*,*,*,26,30Q450
I.S. 171 Abraham Lincoln,Junior High-Intermediate-Middle,19.0,*,*,*,13,*,*,*,16,19K171
M.S. 442 Carroll Gardens School for Innovation,Junior High-Intermediate-Middle,15.0,*,*,*,*,*,*,*,9,15K442
Cornerstone Academy for Social Action,Elementary,11.0,*,*,*,*,*,*,*,6,11X189
A.C.E. Academy for Scholars at the Geraldine Ferra,Elementary,24.0,*,*,*,*,*,*,*,*,24Q290
Kingsborough Early College School,Secondary School,21.0,*,*,9,*,*,*,*,17,21K468
Foundations Academy,High school,14.0,*,*,9,*,*,*,*,10,14K322
P.S./I.S. 208,K-8,29.0,*,*,*,*,*,*,*,*,29Q208
Dos Puentes Elementary School,Elementary,6.0,*,*,*,*,*,*,*,*,06M103
M.S. 053 Brian Piccolo,Junior High-Intermediate-Middle,27.0,*,*,*,*,*,*,*,6,27Q053
P.S. 057 Hubert H. Humphrey,Elementary,31.0,*,*,*,*,*,*,*,6,31R057
Bronx Design and Construction Academy,High school,7.0,*,*,*,*,*,*,*,7,07X522
Medgar Evers College Preparatory School,Secondary School,17.0,*,*,*,*,*,*,*,*,17K590
P.S. 030 Hernandez/Hughes,Elementary,5.0,*,*,*,*,*,*,*,*,05M030
P.S. 220 Edward Mandel,Elementary,28.0,*,*,*,*,*,*,*,*,28Q220
P.S. 185 Walter Kassenbrock,Elementary,20.0,*,*,*,*,*,*,*,*,20K185
M.S. 358,Junior High-Intermediate-Middle,28.0,*,*,6,*,*,*,*,7,28Q358
,,,81,279,4802,3230,685,43,19,9139,CITYWIDE
P.S. 038 Rosedale,Elementary,29.0,*,*,*,*,*,*,*,*,29Q038
P.S. 014 Fairview,Elementary,24.0,*,*,*,*,*,*,*,*,24Q014
I.S. 250 The Robert F. Kennedy Community Middle Sc,Junior High-Intermediate-Middle,25.0,*,*,6,*,*,*,*,11,25Q250
James Weldon Johnson,K-8,4.0,*,*,*,*,*,*,*,*,04M057
J.H.S. 201 The Dyker Heights,Junior High-Intermediate-Middle,20.0,*,*,*,*,*,*,*,7,20K201
P.S. 106,Elementary,27.0,*,*,*,*,*,*,*,*,27Q106
P.S. 098 The Douglaston School,Elementary,26.0,*,*,*,*,*,*,*,*,26Q098
P.S. 158 Bayard Taylor,Elementary,2.0,*,*,*,*,*,*,*,*,02M158
Park Slope Collegiate,Secondary School,15.0,*,*,8,*,*,*,*,17,15K464
Hawtree Creek Middle School,Junior High-Intermediate-Middle,27.0,*,*,*,*,*,*,*,*,27Q297
J.H.S. 088 Peter Rouget,Junior High-Intermediate-Middle,15.0,*,*,*,*,*,*,*,*,15K088
P.S. 228 Early Childhood Magnet School of the Arts,Early Childhood,30.0,*,*,*,*,*,*,*,*,30Q228
P.S. 254 - The Rosa Parks School,Elementary,27.0,*,*,*,*,*,*,*,*,27Q254
The Urban Assembly Bronx Academy of Letters,Secondary School,7.0,*,*,14,10,*,*,*,25,07X551
DeWitt Clinton High School,High school,10.0,*,*,7,*,*,*,*,9,10X440
Mott Haven Village Preparatory High School,High school,7.0,*,*,*,16,*,*,*,21,07X473
P.S. 011 Highbridge,Elementary,9.0,*,*,*,*,*,*,*,*,09X011
Brooklyn School of Inquiry,K-8,20.0,*,*,*,*,*,*,*,*,20K686
Hospital Schools - Bronx,Ungraded,75.0,*,*,*,*,*,*,*,*,75X402
P.S. 029 Bardwell,Elementary,31.0,*,*,*,*,*,*,*,*,31R029
P.S. 036 J. C. Drumgoole,Elementary,31.0,*,*,*,*,*,*,*,*,31R036
Home Schooling,Central-HQ-Citywide,31.0,*,*,*,*,*,*,*,*,31R444
Samara Community School,Elementary,12.0,*,*,*,*,*,*,*,*,12X458
I.S. 218 Salome Urena,Junior High-Intermediate-Middle,6.0,*,*,*,*,*,*,*,*,06M218
Queens High School for Language Studies,High school,25.0,*,*,*,*,*,*,*,*,25Q241
Business Technology Early College High School,High school,26.0,*,*,*,*,*,*,*,7,26Q315
School of Diplomacy,Junior High-Intermediate-Middle,11.0,*,*,*,*,*,*,*,7,11X370
Home Schooling,Central-HQ-Citywide,2.0,*,*,*,*,*,*,*,*,02M444
P.S. 209 Margaret Mead,K-8,21.0,*,*,*,*,*,*,*,*,21K209
P.S. 312 Bergen Beach,Elementary,22.0,*,*,*,*,*,*,*,*,22K312
P.S. 78,Elementary,31.0,*,*,26,*,*,*,*,33,31R078
"Heritage School, The",High school,4.0,*,*,13,13,*,*,*,27,04M680
Bedford Academy High School,High school,13.0,*,*,*,*,*,*,*,*,13K595
Redwood Middle School,Junior High-Intermediate-Middle,28.0,*,*,*,*,*,*,*,*,28Q332
"High School for Law, Advocacy and Community Justic",High school,3.0,*,*,*,*,*,*,*,*,03M492
I.S. 075 Frank D. Paulo,Junior High-Intermediate-Middle,31.0,*,*,*,*,*,*,*,*,31R075
P.S. 040 Samuel Huntington,Elementary,28.0,*,*,*,*,*,*,*,*,28Q040
High School for Law Enforcement and Public Safety,High school,28.0,*,*,*,*,*,*,*,6,28Q690
"Facing History School, The",High school,2.0,*,*,*,*,*,*,*,*,02M303
Staten Island School of Civic Leadership,K-8,31.0,*,*,9,6,*,*,*,16,31R861
P.S. 104 The Bays Water,Elementary,27.0,*,*,*,*,*,*,*,*,27Q104
Francis Lewis High School,High school,26.0,*,*,*,*,*,*,*,17,26Q430
P.S. 124 Osmond A Church,K-8,27.0,*,*,*,*,*,*,*,*,27Q124
J.H.S. 123 James M. Kieran,Junior High-Intermediate-Middle,8.0,*,*,*,6,*,*,*,9,08X123
P.S. 134 Hollis,Elementary,29.0,*,*,*,*,*,*,*,*,29Q134
New York City Lab Middle School for Collaborative,Junior High-Intermediate-Middle,2.0,*,*,*,*,*,*,*,*,02M312
Cynthia Jenkins School,Elementary,29.0,*,*,*,*,*,*,*,6,29Q037
Victory Collegiate High School,High school,18.0,*,*,*,*,*,*,*,*,18K576
P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,K-8,16.0,*,*,*,*,*,*,*,*,16K262
P.S. 001 The Bergen,Elementary,15.0,*,*,*,*,*,*,*,*,15K001
Dewitt Clinton Campus YABC,High school,10.0,*,*,*,*,*,*,*,*,10X668
P.S. 154 Queens,Elementary,25.0,*,*,*,*,*,*,*,*,25Q154
Hospital Schools,K-12 all grades,75.0,*,*,*,*,*,*,*,*,75M401
P.S. 204 Morris Heights,Elementary,9.0,*,*,*,*,*,*,*,*,09X204
Grant Avenue Elementary School,Elementary,9.0,*,*,*,*,*,*,*,*,09X449
Veritas Academy,High school,25.0,*,*,*,*,*,*,*,9,25Q240
P.S. 189,Elementary,6.0,*,*,*,*,*,*,*,*,06M189
P.S. 003 The Bedford Village,Elementary,13.0,*,*,*,*,*,*,*,*,13K003
Home Schooling,Central-HQ-Citywide,75.0,*,*,*,*,*,*,*,*,75X444
Kappa V (Knowledge and Power Preparatory Academy),Junior High-Intermediate-Middle,23.0,*,*,*,*,*,*,*,*,23K518
P.S. 051,Early Childhood,27.0,*,*,*,*,*,*,*,*,27Q051
Pelham Academy of Academics and Community Engageme,Junior High-Intermediate-Middle,11.0,*,*,*,*,*,*,*,*,11X468
P.S. 234,Elementary,30.0,*,*,*,*,*,*,*,*,30Q234
P.S. 006,Elementary,17.0,*,*,*,*,*,*,*,*,17K006
P.S. 189 The Bilingual Center,K-8,17.0,*,*,*,*,*,*,*,*,17K189
Forest Hills High School,High school,28.0,*,*,*,6,*,*,*,15,28Q440
P.S./M.S. 031 The William Lloyd Garrison,K-8,7.0,*,*,*,*,*,*,*,*,07X031
P.S. 058 The Carroll,Elementary,15.0,*,*,*,*,*,*,*,*,15K058
BOYS AND GIRLS YABC,High school,16.0,*,*,*,*,*,*,*,*,16K959
Multicultural High School,High school,19.0,*,*,*,*,*,*,*,*,19K583
P.S. 046 Edward C. Blum,Elementary,13.0,*,*,*,*,*,*,*,*,13K046
P.S. 084 Steinway,Elementary,30.0,*,*,*,*,*,*,*,*,30Q084
M.S. M247 Dual Language Middle School,Junior High-Intermediate-Middle,3.0,*,*,*,*,*,*,*,15,03M247
Bronx High School for Law and Community Service,High school,10.0,*,*,*,*,*,*,*,7,10X439
P.S. 306,Elementary,10.0,*,*,*,*,*,*,*,*,10X306
"James Baldwin School, The: A School for Expedition",High school,2.0,*,*,*,*,*,*,*,*,02M313
P.S./I.S. 113 Anthony J. Pranzo,K-8,24.0,*,*,*,*,*,*,*,*,24Q113
P.S. 377 Alejandrina B. De Gautier,K-8,32.0,*,*,*,*,*,*,*,*,32K377
P.S. 230 Dr Roland N. Patterson,Elementary,9.0,*,*,*,*,*,*,*,*,09X230
The Urban Assembly School for Emergency Management,High school,2.0,*,*,7,*,*,*,*,13,02M135
Flushing Evening High Schl M/W,Ungraded,25.0,*,*,*,*,*,*,*,*,25Q901
Esperanza Preparatory Academy,Secondary School,4.0,*,*,*,*,*,*,*,*,04M372
Murray Hill Academy,High school,2.0,*,*,*,*,*,*,*,15,02M432
P.S. 017 Henry D. Woodworth,Elementary,14.0,*,*,*,*,*,*,*,*,14K017
P.S. 748 Brooklyn School for Global Scholars,Elementary,20.0,*,*,*,*,*,*,*,*,20K748
P.S./I.S. 157 The Benjamin Franklin Health & Scien,K-8,14.0,*,*,*,*,*,*,*,*,14K157
P.S. 242 - The Young Diplomats Magnet Academy,Elementary,3.0,*,*,*,*,*,*,*,*,03M242
P.S. 111 Seton Falls,Elementary,11.0,*,*,*,*,*,*,*,*,11X111
P.S. 105 The Bay School,K-8,27.0,*,*,24,*,*,*,*,29,27Q105
The Children's Workshop School,Elementary,1.0,*,*,*,*,*,*,*,*,01M361
School for Tourism and Hospitality,High school,8.0,*,*,9,*,*,*,*,14,08X559
Professional Pathways High School,High school,22.0,*,*,*,*,*,*,*,*,22K630
Professor Juan Bosch Public School,Elementary,6.0,*,*,*,*,*,*,*,*,06M178
Knowledge and Power Preparatory Academy VI,Junior High-Intermediate-Middle,27.0,*,*,*,*,*,*,*,*,27Q282
J.H.S. 022 Jordan L. Mott,Junior High-Intermediate-Middle,9.0,*,*,*,*,*,*,*,*,09X022
P.S. 094 David D. Porter,Elementary,26.0,*,*,*,*,*,*,*,*,26Q094
Kennedy Yabc,High school,10.0,*,*,*,*,*,*,*,*,10X504
Tompkins Square Middle School,Junior High-Intermediate-Middle,1.0,*,*,*,*,*,*,*,*,01M839
P.S. 041 Francis White,K-8,23.0,*,*,*,*,*,*,*,*,23K041
P.S. 120 Carlos Tapia,Elementary,14.0,*,*,*,*,*,*,*,*,14K120
P.S. 112 Jose Celso Barbosa,Early Childhood,4.0,*,*,*,*,*,*,*,*,04M112
The Active Learning Elementary School,Elementary,25.0,*,*,*,*,*,*,*,*,25Q244
P.S. 030 Wilton,Elementary,7.0,*,*,*,*,*,*,*,*,07X030
World View High School,High school,10.0,*,*,*,6,*,*,*,10,10X353
New Heights Middle School,Junior High-Intermediate-Middle,17.0,*,*,8,*,*,*,*,9,17K722
Walton Yabc,High school,10.0,*,*,*,*,*,*,*,*,10X503
P.S. 127 Mckinley Park,Elementary,20.0,*,*,*,*,*,*,*,*,20K127
South Bronx Academy for Applied Media,Junior High-Intermediate-Middle,7.0,*,*,*,*,*,*,*,20,07X296
Humanities Preparatory Academy,High school,2.0,*,*,*,*,*,*,*,*,02M605
Learning through Play Pre-K Center,District Pre-K Center,7.0,*,*,*,*,*,*,*,*,07X533
Lower Manhattan Arts Academy,High school,2.0,*,*,*,*,*,*,*,8,02M308
East Side Middle School,Junior High-Intermediate-Middle,2.0,*,*,*,*,*,*,*,*,02M114
The Walton Avenue School,Elementary,9.0,*,*,*,*,*,*,*,*,09X294
City Knoll Middle School,Junior High-Intermediate-Middle,2.0,*,*,*,*,*,*,*,*,02M933
William Cullen Bryant High School,High school,30.0,*,*,8,23,*,*,*,35,30Q445
Epic High School - South,High school,27.0,*,*,*,*,*,*,*,*,27Q314
P.S. 200 Benson School,Elementary,20.0,*,*,*,*,6,*,*,8,20K200
J.H.S. 157 Stephen A. Halsey,Junior High-Intermediate-Middle,28.0,*,*,*,*,*,*,*,*,28Q157
Garden of Learning and Discovery Pre-K Center,District Pre-K Center,9.0,*,*,*,*,*,*,*,*,09X582
M.S. 256 Academic & Athletic Excellence,Junior High-Intermediate-Middle,3.0,*,*,15,*,*,*,*,20,03M256
Secondary School for Law,High school,15.0,*,*,*,*,*,*,*,*,15K462
P.S. 013 Clement C. Moore,Elementary,24.0,*,*,*,*,*,*,*,*,24Q013
P.S. Q004,K-8,75.0,*,*,*,*,*,*,*,*,75Q004
P.S. 159 Luis Munoz Marin Biling,Elementary,10.0,*,*,*,*,*,*,*,*,10X159
Concourse Village Elementary School,Elementary,7.0,*,*,*,*,*,*,*,*,07X359
P.S. Q016 The Nancy DeBenedittis School,Elementary,24.0,*,*,*,*,*,*,*,*,24Q016
P.S. Q256,K-12 all grades,75.0,*,*,*,*,*,*,*,*,75Q256
P.S. 055 Henry M. Boehm,Elementary,31.0,*,*,*,*,*,*,*,*,31R055
P.S. 056 Harry Eichler,Elementary,27.0,*,*,*,*,*,*,*,*,27Q056
The School for the Urban Environment,Junior High-Intermediate-Middle,14.0,*,*,*,*,*,*,*,*,14K330
Sunset Park Avenues Elementary School,Elementary,15.0,*,*,*,*,*,*,*,*,15K516
P.S. 133 Fred R Moore,Elementary,5.0,*,*,*,*,*,*,*,*,05M133
Port Richmond High School,High school,31.0,*,*,8,*,*,*,*,13,31R445
P.S. 209 Clearview Gardens,Elementary,25.0,*,*,*,*,*,*,*,*,25Q209
George Washington Yabc,High school,6.0,*,*,*,*,*,*,*,*,06M457
P.S. 063 Author's Academy,Elementary,9.0,*,*,*,*,*,*,*,*,09X063
P.S. 376,Elementary,32.0,*,*,*,*,*,*,*,*,32K376
P.S. 306 Ethan Allen,K-8,19.0,*,*,9,*,*,*,*,10,19K306
Washington Heights Academy,K-8,6.0,*,*,*,*,*,*,*,*,06M366
P.S. 035 Franz Siegel,Elementary,9.0,*,*,*,*,*,*,*,*,09X035
P.S. 062 Inocensio Casanova,Elementary,8.0,*,*,*,*,*,*,*,*,08X062
School for Environmental Citizenship,Elementary,10.0,*,*,*,*,*,*,*,*,10X386
Civic Leadership Academy,High school,24.0,*,*,*,*,*,*,*,*,24Q293
West End Secondary School,Secondary School,3.0,*,*,*,*,*,*,*,*,03M291
P.S. 102 The Bayview,Elementary,20.0,*,*,*,*,*,*,*,*,20K102
P.S. 052 Queens,Elementary,29.0,*,*,*,*,*,*,*,*,29Q052
I.S. 093 Ridgewood,Junior High-Intermediate-Middle,24.0,*,*,*,30,*,*,*,38,24Q093
"Brooklyn Community High School of Communication, A",High school,13.0,*,*,*,*,*,*,*,*,13K412
I.S. 051 Edwin Markham,Junior High-Intermediate-Middle,31.0,*,*,24,10,*,*,*,38,31R051
Amistad Dual Language School,K-8,6.0,*,*,*,*,*,*,*,*,06M311
The Metropolitan Soundview High School,High school,12.0,*,*,*,*,*,*,*,16,12X521
Urban Assembly School for Applied Math and Science,Secondary School,9.0,*,*,*,*,*,*,*,*,09X241
P.S. 197 - The Kings Highway Academy,Elementary,22.0,*,*,*,*,*,*,*,*,22K197
The Academy of Talented Scholars,Elementary,20.0,*,*,*,*,*,*,*,*,20K682
M.S. X101 Edward R. Byrne,Junior High-Intermediate-Middle,8.0,*,*,*,*,*,*,*,*,08X101
Ronald Edmonds Learning Center II,Junior High-Intermediate-Middle,17.0,*,*,*,*,*,*,*,*,17K484
Olympus Academy,High school,18.0,*,*,*,*,*,*,*,*,18K635
Talent Unlimited High School,High school,2.0,*,*,*,*,*,*,*,*,02M519
P.S. 101 The Verrazano,Elementary,21.0,*,*,*,*,*,*,*,*,21K101
Fort Greene Preparatory Academy,Junior High-Intermediate-Middle,13.0,*,*,13,*,*,*,*,17,13K691
University Heights Secondary School,High school,7.0,*,*,*,*,*,*,*,*,07X495
P.S. 085 Judge Charles Vallone,Elementary,30.0,*,*,*,*,*,*,*,*,30Q085
P.S. 169 Bay Terrace,Elementary,25.0,*,*,*,*,*,*,*,*,25Q169
Erasmus Yabc,High school,17.0,*,*,*,*,*,*,*,*,17K467
The Lexington Academy,K-8,4.0,*,*,*,*,*,*,*,*,04M072
Accion Academy,Junior High-Intermediate-Middle,12.0,*,*,*,*,*,*,*,*,12X341
High School M560 - City As School,High school,2.0,*,*,*,*,*,*,*,*,02M560
H.S. Arts & Business Yabc,High school,24.0,*,*,*,*,*,*,*,*,24Q457
Sheepshead Bay High School,High school,22.0,*,*,*,*,*,*,*,*,22K495
P.S. 040 George W. Carver,Elementary,16.0,*,*,*,*,*,*,*,*,16K040
East Elmhurst Community School,Elementary,30.0,*,*,*,*,*,*,*,*,30Q329
P.S. 182 Samantha Smith,Elementary,28.0,*,*,*,*,*,*,*,7,28Q182
Arturo A. Schomburg Satellite Academy Bronx,High school,12.0,*,*,*,*,*,*,*,*,12X446
I.S. 303 Herbert S. Eisenberg,Junior High-Intermediate-Middle,21.0,*,*,*,*,*,*,*,*,21K303
E.S.M.T- I.S. 190,Junior High-Intermediate-Middle,12.0,*,*,*,*,*,*,*,*,12X190
P.S. 092 Bronx,Elementary,12.0,*,*,*,*,*,*,*,*,12X092
P.S. 142 Amalia Castro,Elementary,1.0,*,*,*,*,*,*,*,*,01M142
P.S. 064 Joseph P. Addabbo,Elementary,27.0,*,*,*,*,*,*,*,*,27Q064
P.S. 152 Dyckman Valley,Elementary,6.0,*,*,*,*,*,*,*,*,06M152
Inwood Early College for Health and Information Te,High school,6.0,*,*,*,*,*,*,*,*,06M211
