school/ap.SchoolName,school/ap.AP Test Takers ,school/ap.Total Exams Taken,school/ap.Number of Exams with scores 3 4 or 5,DBN
FREDRICK DOUGLAS SEC. SCHOOL,163.0,226.0,159.0,05M499
GEORGE WESTINGHOUSE,35.0,35.0,,13K605
Preparatory Academy for Writers,40.0,43.0,,29Q283
Astor Collegiate Academy,36.0,48.0,12.0,11X299
South Bronx Preparatory: A College Board School,63.0,89.0,24.0,07X221
BROOKLYN TECHNICAL HS,2117.0,3692.0,2687.0,13K430
Urban Assembly Academy for History and Citizenship,9.0,9.0,,09X239
RICHMOND HILL HS,142.0,170.0,55.0,27Q475
Williamsburg High School for Architecture and Desi,30.0,48.0,,14K558
High School for Dual Language and Asian Studies,61.0,96.0,89.0,02M545
BARUCH COLLEGE CAMPUS HS,78.0,115.0,88.0,02M411
HS FOR FASHION INDUSTRIES,70.0,87.0,26.0,02M600
MURRY BERGTRAUM H.S.,118.0,157.0,76.0,02M520
LOUIS D. BRANDEIS HS,48.0,70.0,6.0,03M470
HIGH SCHOOL OF AMERICAN STUDIES At Lehman College,194.0,302.0,243.0,10X696
DEWITT CLINTON HS,366.0,540.0,262.0,10X440
HS FOR HUMANITIES,6.0,6.0,,02M440
AVIATION CAREER & TECHNICAL H.S.,130.0,140.0,61.0,24Q610
Academy for Language and Technology,20.0,20.0,20.0,09X365
FRANKLIN K LANE HIGH SCHOOL,10.0,10.0,,19K420
"Celia Cruz Bronx High School of Music, The",31.0,35.0,8.0,10X442
THE YOUNG WOMEN'S LEADERSHIP SCHOOL OF EAST HARLEM,41.0,55.0,29.0,04M610
BRONX HS OF LAW & COMM SERVICE,44.0,65.0,9.0,10X439
High School of Computers and Technology,,,,11X275
J. LEVIN HS FOR MEDIA & COMM.,18.0,18.0,,09X414
WM CULLEN BRYANT HS,243.0,330.0,97.0,30Q445
JOHN ADAMS HS,140.0,168.0,33.0,27Q480
Renaissance High School for Musical Theater & Tech,22.0,29.0,14.0,08X293
WADLEIGH ARTS HIGH SCHOOL,65.0,73.0,,03M415
CHRISTOPHER COLUMBUS HS,34.0,34.0,6.0,11X415
SCHOOL FOR INTERNATL.STUDIES,30.0,34.0,,15K497
Pablo Neruda Academy for Architecture and World St,,,,08X305
BOYS AND GIRLS HS,22.0,32.0,,16K455
HS OF ECONOMICS & FINANCE,101.0,176.0,78.0,02M489
RAPLH MCKEE VHS,,,,31R600
R F KENNEDY COLLABORATIVE H S,77.0,112.0,43.0,25Q670
Bronx Theatre High School,34.0,34.0,,10X546
JAMES MADISON HS,323.0,463.0,188.0,22K425
ACORN COMMUNITY HIGH SCHOOL,64.0,95.0,,13K499
UNIVERSITY NEIGHBORHOOD H.S.,39.0,49.0,10.0,01M448
Bronx Engineering and Technology Academy,107.0,228.0,10.0,10X213
FORT HAMILTON HS,357.0,576.0,331.0,20K490
Cypress Hills Collegiate Preparatory School,21.0,21.0,10.0,19K659
BRONX LEADERSHIP ACADEMY HS,40.0,42.0,8.0,09X525
CHELSEA VHS,52.0,97.0,13.0,02M615
H.S. LAW & PUBLIC SERVICE,141.0,212.0,82.0,06M467
AUGUST MARTIN HS,19.0,28.0,,27Q400
LAFAYETTE HS,,,,21K400
PROFESSIONAL PERFORMING ARTS,20.0,20.0,15.0,02M408
Academy of Urban Planning,76.0,100.0,10.0,32K552
HIGH SCHOOL FOR ARTS & BUSINESS,198.0,320.0,73.0,24Q550
TALENT UNLIMITED,30.0,34.0,21.0,02M519
GATEWAY TO HEALTH SCIENCES,89.0,136.0,57.0,28Q680
High School of Hospitality Management,,,,02M296
Bronx High School for Writing and Communication Ar,28.0,30.0,,11X253
HARBOR HIGH SCHOOL,7.0,7.0,,02M551
PROGRESS HIGH SCHOOL,50.0,66.0,,14K474
HS OF TELECOMMUNICATIONS,251.0,413.0,123.0,20K485
Dr Susan S McKinney Secondary School of the Arts,17.0,22.0,,13K265
H.S. HEALTH CAREERS & SCIENCE,32.0,38.0,17.0,06M468
FANNIE LOU HAMER FREEDOM HS,,,,12X682
BRONX HS FOR THE VISUAL ARTS,26.0,41.0,9.0,11X418
SPRINGFIELD GARDENS HS,,,,29Q420
SHEEPSHEAD BAY HS,37.0,59.0,27.0,22K495
Urban Assembly School for Careers in Sports,,,,07X548
Frederick Douglass Academy VII High School,39.0,40.0,,23K514
GREGORIO LUPERON HS SCI & MATH,88.0,138.0,73.0,06M552
FIORELLO H.LAGUARDIA HS,691.0,1236.0,790.0,03M485
Brooklyn Academy of Science and the  Environment,49.0,59.0,,17K547
EL PUENTE ACADEMY,,,,14K685
LIFE SCIENCES SECONDARY SCHL,50.0,90.0,10.0,02M655
Academy for Scholarship and Entrepreneurship: A Co,24.0,24.0,,11X270
Brooklyn Preparatory High School,28.0,46.0,7.0,14K488
CES-MANHATTAN INTERNATIONAL,12.0,12.0,6.0,02M459
MIDWOOD HS,745.0,1223.0,758.0,22K405
"Young  Women's Leadership School, Queens",6.0,6.0,,28Q896
HERBERT LEHMAN HS,430.0,532.0,197.0,08X405
HS OF ART AND DESIGN,84.0,100.0,33.0,02M630
BAYSIDE HS,480.0,686.0,413.0,26Q495
COALITION SCHL FOR SOCIAL CHG,18.0,18.0,,04M409
BRONX HIGH SCHOOL OF BUSINESS,26.0,31.0,9.0,09X412
LEON GOLDSTEIN HS SCIENCES,367.0,575.0,382.0,22K535
BROOKLYN H.S. FOR THE ARTS,,,,15K656
BEACON SCHOOL,166.0,197.0,140.0,03M479
Bedford Academy High School,43.0,57.0,16.0,13K595
Performing Arts and Technology High School,,,,19K507
"NEW EXPLORATIONS SCI,TECH,MATH",255.0,377.0,191.0,01M539
Bronx School of Law and Finance,21.0,27.0,,10X284
Mott Hall High School,11.0,11.0,,05M304
East Bronx Academy for the Future,32.0,37.0,,12X271
MATH/SCIENCE RESEARCH TECH CTR,22.0,31.0,8.0,29Q492
TEACHERS PREPARATORY SCHOOL,33.0,37.0,,23K697
INFORMATION TECHNOLOGY HS,51.0,74.0,13.0,30Q502
PARK EAST H.S.,,,,04M495
Acorn High School for Social Justice,49.0,80.0,,16K498
Holcombe L. Rucker School of Community Research,20.0,28.0,,08X332
R.R.GREEN HS OF TEACHING,67.0,117.0,40.0,02M580
CURTIS HS,247.0,295.0,90.0,31R450
"Facing History School, The",42.0,44.0,,02M303
CLARA BARTON VHS,135.0,211.0,63.0,17K600
Scholars' Academy,55.0,121.0,57.0,27Q323
FORDHAM HS FOR THE ARTS,,,,10X437
Leadership Institute,17.0,17.0,7.0,09X276
JANE ADDAMS VHS,44.0,69.0,8.0,08X650
Queens Preparatory Academy,15.0,15.0,,29Q248
BUSINESS/COMPUTER APPLICATIONS,,,,29Q496
Bronx Center for Science and Mathematics,62.0,80.0,35.0,09X260
"Urban Assembly Academy of Government and Law, The",25.0,37.0,15.0,02M305
NYC LAB HS FOR COLL. STUDIES,114.0,140.0,97.0,02M412
H.S. INT'L BUSINESS & FINANCE,108.0,135.0,43.0,06M462
FOREST HILLS HS,733.0,1116.0,526.0,28Q440
"Metropolitan High School, The",25.0,25.0,,12X248
Millennium High School,86.0,95.0,67.0,02M418
High School for Youth and Community Development at,21.0,37.0,,17K537
ALFRED E. SMITH VHS,11.0,11.0,,07X600
Queens HS for Science York Colllege,215.0,338.0,275.0,28Q687
Peace and Diversity Academy,8.0,8.0,,12X278
TOWNSEND HARRIS HS,613.0,796.0,625.0,25Q525
LONG ISLAND CITY HS,406.0,805.0,169.0,30Q450
A PHILIP RANDOLPH CAMPUS,165.0,222.0,72.0,06M540
Academy for Social Action: A College Board School,17.0,17.0,,05M367
MS/HS 368 INFO & NETWORK TECH,40.0,54.0,17.0,10X368
CENTRAL PARK EAST H.S.,,,,04M555
FRANCIS LEWIS HS,697.0,1033.0,583.0,26Q430
CANARSIE HS,11.0,14.0,,18K500
MARTIN VAN BUREN HS,71.0,101.0,15.0,26Q435
High School of Sports Management,10.0,10.0,,21K348
SCHOOL OF THE FUTURE,11.0,11.0,,02M413
QUEENS VHS,27.0,27.0,20.0,24Q600
High School for Law Enforcement and Public Safety,19.0,19.0,,28Q690
Channel View School for Research,43.0,69.0,18.0,27Q262
Brooklyn School for Music & Theatre,37.0,41.0,9.0,17K548
HIGH SCHOOL FOR MATH SCIENCE ENGINEERING @ CCNY,114.0,124.0,71.0,05M692
"Queens High School of Teaching, Liberal Arts and t",,,,26Q566
MANHATTAN CENTER-SCIENCE&MATH,328.0,426.0,261.0,04M435
Eximius College Preparatory Academy: A College Boa,90.0,146.0,11.0,09X250
MANHATTAN VILLAGE ACADEMY HS,42.0,69.0,29.0,02M439
THURGOOD MARSHALL ACADEMY,37.0,38.0,,05M670
High School of Applied Communication,46.0,48.0,,24Q267
METROPOLITAN CORP. ACADEMY,14.0,14.0,,15K530
STATEN ISLAND TECHNICAL HS,528.0,905.0,809.0,31R605
F.D. ROOSEVELT HS,228.0,340.0,186.0,20K505
ABRAHAM LINCOLN HS,133.0,193.0,18.0,21K410
New World High School,12.0,12.0,,11X513
NORMAN THOMAS H.S.,34.0,34.0,14.0,02M620
Secondary School for Journalism,22.0,22.0,,15K463
George Washington Carver High School for the Scien,14.0,21.0,,29Q272
PS 080 MICHAEL J. PETRIDES,162.0,243.0,66.0,31R080
EAST SIDE COMMUNITY HS,19.0,21.0,,01M450
YOUNG WOMEN'S LEADERSHIP SCH,,,,04M610
Foundations Academy,42.0,53.0,,14K322
Pelham Preparatory Academy,46.0,57.0,17.0,11X542
HIGH SCHOOL OF LEGAL STUDIES,24.0,27.0,,14K477
West Bronx Academy for the Future,25.0,29.0,14.0,10X243
MS/HS 141 D A STEIN RIV/KINGSB,133.0,184.0,119.0,10X141
JOHN F KENNEDY HS,46.0,48.0,19.0,10X475
Urban Assembly School for Applied Math and Science,16.0,16.0,,09X241
Academy of Finance and  Enterprise,95.0,137.0,40.0,24Q264
HEALTH OPPORTUNITIES PROGRAM,61.0,117.0,29.0,07X670
BENJAMIN N. CARDOZO,676.0,1145.0,796.0,26Q415
JOHN BOWNE HS,176.0,229.0,116.0,25Q425
Bronx Health Sciences High School,,,,11X249
Bushwick Leaders High School for Academic Excellen,34.0,35.0,18.0,32K556
LEGACY SCHOOL,22.0,26.0,,02M429
Rachel Carson High School for Coastal Studies,34.0,64.0,,21K344
Bronx Academy of Letters,53.0,92.0,37.0,07X551
International School for Liberal Arts,55.0,73.0,45.0,10X342
"The Marie Curie School for Medicine, Nursing, and",15.0,15.0,,10X237
