school/qr.School Year,school/qr.Overall Rating,DBN
SY06-07,P,07X343
SY07-08,P,31R030
SY08-09,UPF,09X505
SY07-08,WD,04M096
SY06-07,WD,31R455
SY07-08,P,09X229
SY06-07,P,19K273
SY08-09,P,23K178
SY07-08,WD,21K101
SY09-10,P,23K514
SY07-08,P,13K003
SY07-08,P,20K227
SY10-11,P,16K385
SY07-08,P,30Q204
SY10-11,WD,12X066
SY06-07,P,09X126
SY06-07,P,17K489
SY07-08,WD,02M605
SY06-07,WD,13K499
SY07-08,WD,25Q025
SY07-08,WD,09X412
SY05-06,P,20K485
SY08-09,P,02M655
SY06-07,WD,26Q203
SY07-08,P,09X276
SY 11-12,P,14K157
SY06-07,P,16K308
SY 11-12,D,75X721
SY07-08,P,13K256
SY 11-12,P,03M860
SY07-08,WD,20K186
SY08-09,WD,13K595
SY07-08,WD,15K130
SY09-10,P,09X276
SY 11-12,WD,19K065
SY09-10,P,29Q147
SY06-07,U,14K558
SY06-07,WD,25Q107
SY09-10,P,14K297
SY07-08,WD,03M541
SY07-08,P,19K504
SY07-08,P,07X224
SY06-07,P,12X691
SY06-07,P,21K620
SY07-08,WD,75X017
SY07-08,P,75K396
SY07-08,P,21K329
SY07-08,UPF,17K334
SY08-09,P,10X037
SY09-10,P,07X670
SY06-07,P,16K455
SY09-10,WD,26Q566
SY10-11,WD,21K468
SY06-07,U,08X201
SY10-11,P,29Q037
SY07-08,WD,02M051
SY10-11,P,18K276
SY06-07,WD,31R450
SY06-07,WD,08X302
SY09-10,WD,30Q002
SY06-07,P,13K067
SY07-08,P,09X505
SY07-08,WD,23K156
SY10-11,D,19K660
SY06-07,WD,03M242
SY 11-12,D,05M670
SY06-07,P,31R030
SY10-11,WD,21K177
SY10-11,P,16K335
SY10-11,P,04M610
SY09-10,P,21K090
SY06-07,P,23K271
SY07-08,WD,10X279
SY07-08,WD,04M171
SY08-09,P,21K226
SY06-07,P,01M188
SY 11-12,D,03M076
SY09-10,P,21K099
SY07-08,P,07X298
SY08-09,P,13K256
SY07-08,P,22K193
SY07-08,P,10X054
SY06-07,P,05M670
SY06-07,P,75K771
SY09-10,WD,02M400
SY08-09,P,15K027
SY09-10,P,15K038
SY06-07,P,02M580
SY07-08,U,05M344
SY07-08,P,29Q136
SY10-11,D,11X462
SY07-08,WD,17K539
SY06-07,P,24Q019
SY07-08,WD,25Q252
SY06-07,WD,20K160
SY06-07,P,28Q101
SY07-08,WD,27Q096
SY06-07,P,17K394
SY06-07,WD,21K090
SY06-07,WD,02M033
SY07-08,WD,03M479
SY07-08,O,30Q555
SY 11-12,P,02M394
SY07-08,P,31R605
SY08-09,P,08X282
SY08-09,P,09X088
SY06-07,P,09X064
SY07-08,P,17K547
SY 11-12,P,27Q282
SY 11-12,D,06M368
SY06-07,P,08X650
SY06-07,P,10X226
SY09-10,P,11X272
SY06-07,WD,04M083
SY09-10,WD,13K056
SY10-11,D,29Q035
SY07-08,P,20K179
SY07-08,P,04M045
SY08-09,WD,22K134
SY09-10,P,15K519
SY07-08,P,09X329
SY09-10,WD,13K499
SY07-08,P,30Q222
SY07-08,WD,22K195
SY06-07,P,11X078
SY06-07,P,12X195
SY06-07,P,13K266
SY06-07,WD,31R007
SY 11-12,D,12X372
SY08-09,P,28Q040
SY06-07,U,04M695
SY 11-12,D,09X323
SY06-07,U,08X107
SY06-07,P,01M184
SY06-07,P,10X660
SY08-09,P,10X438
SY06-07,P,11X097
SY06-07,WD,22K269
SY08-09,P,10X396
SY06-07,WD,27Q146
SY09-10,P,15K462
SY06-07,P,75X017
SY07-08,WD,22K555
SY 11-12,P,13K003
SY10-11,WD,03M180
SY07-08,WD,02M011
SY08-09,P,29Q231
SY 11-12,D,13K509
SY09-10,WD,08X530
SY 11-12,WD,25Q281
SY09-10,P,29Q037
SY 11-12,P,19K290
SY08-09,P,75K004
SY07-08,O,06M153
SY06-07,U,28Q048
SY06-07,P,24Q239
SY07-08,WD,11X144
SY07-08,WD,07X031
SY07-08,WD,13K056
SY09-10,P,08X333
SY06-07,P,11X160
SY07-08,WD,27Q197
SY09-10,P,11X270
SY07-08,WD,07X221
SY07-08,WD,21K281
SY06-07,WD,15K094
SY07-08,P,29Q192
SY07-08,WD,17K352
SY06-07,WD,08X269
SY07-08,WD,06M322
SY06-07,WD,15K146
SY09-10,P,29Q498
SY09-10,P,18K642
SY06-07,P,01M363
SY 11-12,D,11X322
SY09-10,WD,02M289
SY10-11,D,13K301
SY06-07,WD,31R600
SY06-07,P,07X321
SY10-11,P,16K081
SY06-07,P,11X322
SY10-11,D,10X440
SY 11-12,P,14K071
SY09-10,P,23K631
SY06-07,P,01M110
SY08-09,WD,25Q294
SY10-11,D,09X329
SY06-07,P,09X088
SY06-07,U,29Q136
SY10-11,P,19K364
SY 11-12,P,24Q061
SY07-08,WD,09X004
SY06-07,WD,24Q058
SY08-09,P,04M680
SY06-07,P,18K135
SY06-07,WD,20K229
SY06-07,U,75X012
SY10-11,P,15K230
SY07-08,P,29Q147
SY06-07,P,10X206
SY06-07,P,24Q264
SY 11-12,P,02M225
SY08-09,P,06M314
SY06-07,P,13K301
SY08-09,P,27Q104
SY08-09,P,14K126
SY07-08,WD,26Q495
SY 11-12,P,21K226
SY06-07,WD,08X152
SY 11-12,D,09X443
SY06-07,P,10X307
SY08-09,P,27Q475
SY 11-12,P,75Q177
SY09-10,UPF,29Q492
SY08-09,P,09X517
SY05-06,P,05M692
SY09-10,WD,31R065
SY07-08,WD,22K222
SY06-07,U,08X174
SY 11-12,P,03M084
SY07-08,P,08X146
SY10-11,D,12X195
SY06-07,WD,24Q610
SY06-07,WD,31R075
SY08-09,P,75Q721
SY10-11,P,21K620
SY07-08,WD,18K276
SY10-11,P,19K452
SY05-06,WD,06M187
SY06-07,P,03M505
SY09-10,P,26Q435
SY07-08,WD,30Q234
SY06-07,P,15K464
SY07-08,P,27Q207
SY06-07,WD,28Q161
SY10-11,WD,06M311
SY10-11,P,19K504
SY 11-12,P,31R072
SY10-11,D,31R044
SY07-08,P,31R031
SY10-11,D,08X377
SY06-07,P,09X163
SY06-07,P,30Q152
SY08-09,UPF,32K545
SY06-07,P,17K625
SY08-09,P,02M217
SY06-07,WD,20K104
SY07-08,WD,26Q178
SY10-11,P,15K154
SY06-07,P,19K260
SY 11-12,WD,31R026
SY07-08,P,26Q115
SY07-08,P,32K162
SY07-08,WD,17K221
SY07-08,WD,02M531
SY10-11,D,09X339
SY06-07,WD,12X047
SY07-08,P,13K605
SY05-06,P,02M459
SY09-10,P,16K028
SY10-11,P,02M300
SY10-11,P,25Q107
SY07-08,WD,14K147
SY06-07,P,32K403
SY10-11,P,10X080
SY07-08,P,24Q600
SY06-07,P,29Q038
SY06-07,P,10X237
SY07-08,WD,02M400
SY10-11,D,08X452
SY 11-12,D,16K594
SY10-11,WD,02M089
SY06-07,WD,17K191
SY07-08,WD,01M450
SY07-08,WD,20K062
SY06-07,P,09X053
SY07-08,WD,29Q034
SY06-07,WD,03M247
SY 11-12,P,13K113
SY07-08,WD,16K081
SY08-09,P,30Q502
SY09-10,P,05M285
SY06-07,P,10X284
SY07-08,P,04M680
SY07-08,WD,75K369
SY07-08,WD,27Q202
SY07-08,WD,01M839
SY07-08,WD,08X302
SY10-11,D,02M586
SY08-09,UPF,23K518
SY06-07,P,22K198
SY 11-12,D,75K077
SY06-07,U,10X094
SY07-08,P,28Q086
SY05-06,P,28Q072
SY06-07,P,11X275
SY06-07,P,04M409
SY07-08,WD,22K361
SY07-08,WD,22K269
SY 11-12,WD,06M348
SY10-11,P,27Q105
SY08-09,UPF,09X236
SY07-08,P,26Q018
SY06-07,WD,03M334
SY08-09,WD,75M169
SY08-09,U,12X690
SY08-09,P,11X326
SY07-08,WD,10X237
SY06-07,WD,22K222
SY07-08,WD,32K549
SY07-08,WD,11X121
SY07-08,P,25Q237
SY07-08,WD,21K095
SY 11-12,P,16K393
SY 11-12,D,17K537
SY10-11,D,04M680
SY06-07,P,02M543
SY 11-12,P,30Q151
SY06-07,WD,22K278
SY07-08,P,24Q119
SY07-08,P,09X126
SY07-08,P,31R057
SY10-11,P,09X163
SY06-07,WD,31R034
SY07-08,P,25Q022
SY 11-12,D,10X046
SY09-10,WD,31R080
SY07-08,WD,75K372
SY10-11,D,19K158
SY09-10,WD,24Q600
SY08-09,P,24Q485
SY06-07,P,16K584
SY10-11,P,31R035
SY07-08,WD,11X016
SY07-08,P,29Q498
SY07-08,P,24Q073
SY10-11,P,27Q137
SY08-09,UPF,21K095
SY08-09,WD,04M112
SY07-08,WD,31R061
SY07-08,UPF,05M302
SY06-07,P,29Q498
SY 11-12,D,01M140
SY 11-12,D,23K646
SY07-08,WD,17K394
SY09-10,P,14K019
SY07-08,P,15K462
SY06-07,P,02M303
SY09-10,WD,24Q744
SY07-08,WD,31R054
SY06-07,P,27Q475
SY07-08,WD,25Q154
SY07-08,WD,29Q132
SY06-07,WD,11X121
SY09-10,P,24Q455
SY10-11,P,12X061
SY08-09,P,10X091
SY06-07,P,20K179
SY06-07,P,12X066
SY06-07,WD,20K201
SY07-08,WD,27Q100
SY06-07,P,10X007
SY05-06,P,25Q252
SY 11-12,P,10X319
SY09-10,P,09X073
SY07-08,P,11X108
SY07-08,P,12X692
SY08-09,P,13K301
SY07-08,P,06M552
SY08-09,UPF,29Q496
SY07-08,P,01M696
SY10-11,D,17K547
SY07-08,P,17K167
SY06-07,U,07X162
SY06-07,P,17K006
SY10-11,D,17K167
SY07-08,WD,30Q002
SY06-07,U,18K500
SY 11-12,D,11X299
SY 11-12,D,31R056
SY07-08,WD,22K381
SY06-07,P,30Q112
SY07-08,WD,25Q165
SY06-07,WD,28Q157
SY07-08,WD,05M092
SY09-10,P,24Q307
SY08-09,P,75K140
SY06-07,WD,24Q077
SY06-07,P,19K306
SY 11-12,P,15K464
SY06-07,P,18K235
SY06-07,WD,27Q323
SY06-07,P,32K347
SY06-07,WD,24Q199
SY09-10,P,12X092
SY06-07,P,75M751
SY07-08,WD,06M328
SY07-08,WD,09X022
SY10-11,D,11X189
SY07-08,WD,17K590
SY07-08,WD,13K595
SY07-08,WD,19K615
SY06-07,P,07X527
SY10-11,P,29Q033
SY10-11,P,23K493
SY10-11,P,09X110
SY07-08,WD,09X413
SY06-07,P,11X096
SY09-10,WD,31R032
SY09-10,P,08X062
SY10-11,D,11X142
SY08-09,UPF,11X087
SY06-07,P,13K011
SY07-08,WD,24Q093
SY07-08,P,75K231
SY05-06,P,29Q109
SY05-06,WD,31R006
SY06-07,P,29Q033
SY06-07,WD,15K321
SY07-08,WD,02M077
SY06-07,WD,25Q021
SY 11-12,D,02M520
SY07-08,WD,21K348
SY08-09,UPF,24Q267
SY07-08,P,03M075
SY08-09,UPF,07X379
SY 11-12,D,16K455
SY06-07,WD,15K024
SY10-11,P,75X168
SY07-08,WD,27Q104
SY 11-12,WD,27Q232
SY06-07,WD,26Q159
SY06-07,P,14K033
SY07-08,WD,09X260
SY07-08,WD,03M470
SY08-09,UPF,12X092
SY10-11,WD,02M051
SY08-09,P,28Q896
SY06-07,WD,10X086
SY08-09,P,09X218
SY07-08,WD,24Q068
SY05-06,P,21K400
SY07-08,P,13K287
SY 11-12,D,17K181
SY06-07,P,75Q177
SY09-10,WD,10X397
SY10-11,P,11X097
SY06-07,P,07X547
SY09-10,P,13K571
SY07-08,WD,14K132
SY07-08,WD,06M189
SY06-07,P,07X151
SY 11-12,D,16K688
SY10-11,D,25Q460
SY10-11,P,20K185
SY06-07,P,13K265
SY 11-12,P,03M402
SY07-08,WD,12X300
SY07-08,WD,10X368
SY 11-12,P,15K088
SY08-09,P,22K078
SY07-08,P,14K084
SY07-08,WD,21K090
SY06-07,P,27Q410
SY10-11,WD,02M041
SY07-08,WD,08X062
SY08-09,P,10X340
SY07-08,WD,15K038
SY06-07,P,08X146
SY 11-12,P,19K292
SY07-08,WD,17K399
SY06-07,U,09X132
SY09-10,P,08X100
SY07-08,P,13K336
SY08-09,P,07X031
SY06-07,U,15K027
SY06-07,P,26Q186
SY06-07,U,14K474
SY06-07,WD,10X280
SY06-07,WD,06M328
SY07-08,P,14K330
SY08-09,P,07X029
SY07-08,WD,03M862
SY 11-12,D,08X332
SY07-08,O,02M130
SY07-08,WD,24Q877
SY07-08,WD,26Q173
SY08-09,WD,26Q495
SY08-09,WD,75K036
SY10-11,P,24Q016
SY07-08,P,08X131
SY07-08,P,31R056
SY06-07,U,13K117
SY07-08,WD,20K048
SY08-09,U,12X692
SY06-07,U,11X127
SY07-08,WD,26Q172
SY07-08,WD,12X044
SY10-11,P,09X413
SY 11-12,D,08X123
SY07-08,WD,24Q061
SY09-10,UPF,05M367
SY06-07,P,07X025
SY07-08,WD,20K030
SY06-07,WD,21K212
SY07-08,WD,01M515
SY07-08,WD,27Q065
SY08-09,P,19K214
SY06-07,P,09X263
SY07-08,WD,25Q263
SY06-07,P,21K153
SY10-11,P,02M397
SY07-08,P,02M586
SY06-07,P,04M102
SY06-07,WD,07X161
SY08-09,P,10X475
SY07-08,P,05M154
SY06-07,WD,10X306
SY07-08,P,25Q193
SY06-07,P,21K410
SY07-08,O,20K485
SY06-07,WD,31R460
SY06-07,WD,20K192
SY06-07,P,75K231
SY07-08,WD,29Q095
SY09-10,WD,03M334
SY 11-12,WD,08X048
SY07-08,UPF,02M615
SY10-11,P,25Q670
SY07-08,WD,75M079
SY07-08,WD,20K220
SY10-11,P,08X093
SY07-08,WD,17K161
SY07-08,WD,06M028
SY07-08,P,02M183
SY06-07,WD,06M462
SY08-09,UPF,23K041
SY07-08,P,29Q283
SY08-09,WD,18K066
SY09-10,WD,31R035
SY06-07,WD,09X241
SY06-07,P,22K495
SY10-11,P,20K048
SY07-08,WD,12X129
SY06-07,WD,28Q217
SY09-10,P,10X386
SY06-07,P,05M285
SY10-11,P,13K527
SY07-08,P,17K408
SY08-09,WD,17K249
SY07-08,WD,10X091
SY07-08,WD,21K540
SY06-07,P,17K398
SY07-08,P,02M416
SY07-08,WD,27Q114
SY07-08,WD,31R041
SY10-11,D,25Q250
SY07-08,P,02M305
SY07-08,WD,24Q199
SY10-11,P,06M189
SY09-10,P,23K041
SY06-07,P,14K449
SY09-10,WD,04M435
SY06-07,P,10X390
SY07-08,P,32K403
SY07-08,P,09X232
SY06-07,WD,11X083
SY08-09,P,27Q226
SY07-08,WD,15K051
SY08-09,P,18K569
SY07-08,WD,19K507
SY06-07,P,16K005
SY07-08,WD,26Q098
SY10-11,D,11X270
SY06-07,WD,10X205
SY07-08,P,11X275
SY 11-12,P,05M046
SY07-08,P,02M460
SY08-09,UPF,18K588
SY 11-12,P,05M362
SY09-10,P,28Q505
SY08-09,WD,13K605
SY07-08,WD,10X475
SY07-08,WD,22K251
SY10-11,P,06M322
SY07-08,WD,04M072
SY07-08,WD,17K181
SY10-11,D,07X277
SY10-11,WD,32K162
SY06-07,U,08X335
SY08-09,UPF,31R030
SY08-09,P,05M367
SY08-09,P,11X270
SY06-07,U,17K375
SY08-09,P,12X262
SY06-07,WD,75R025
SY09-10,P,10X141
SY07-08,P,01M509
SY06-07,P,29Q059
SY 11-12,WD,15K029
SY07-08,P,23K150
SY08-09,P,14K454
SY06-07,WD,27Q056
SY07-08,WD,19K171
SY09-10,P,24Q305
SY 11-12,D,29Q035
SY06-07,P,19K346
SY09-10,P,02M520
SY07-08,WD,26Q026
SY08-09,P,10X310
SY08-09,WD,08X293
SY07-08,P,09X328
SY07-08,P,25Q164
SY06-07,P,30Q111
SY08-09,P,17K012
SY 11-12,P,24Q068
SY06-07,P,06M052
SY06-07,P,08X062
SY06-07,P,12X129
SY07-08,WD,20K490
SY08-09,P,30Q127
SY05-06,WD,02M519
SY07-08,WD,75X188
SY07-08,WD,05M197
SY06-07,U,02M260
SY06-07,U,02M615
SY07-08,O,15K024
SY 11-12,P,04M072
SY 11-12,WD,10X032
SY07-08,P,27Q226
SY06-07,P,24Q113
SY06-07,U,04M635
SY07-08,WD,21K253
SY05-06,P,09X403
SY07-08,WD,10X205
SY08-09,P,75K368
SY10-11,P,21K329
SY09-10,WD,17K543
SY07-08,WD,20K069
SY07-08,WD,10X291
SY07-08,WD,24Q125
SY06-07,WD,06M528
SY07-08,WD,09X063
SY07-08,WD,29Q208
SY07-08,P,02M580
SY 11-12,D,15K519
SY08-09,UPF,75M721
SY08-09,P,12X267
SY06-07,P,10X003
SY08-09,P,25Q242
SY 11-12,D,12X050
SY10-11,D,14K454
SY06-07,U,32K291
SY 11-12,P,22K315
SY09-10,P,12X271
SY07-08,P,13K103
SY 11-12,P,27Q319
SY06-07,WD,04M112
SY05-06,WD,24Q877
SY06-07,P,75X723
SY09-10,UPF,23K137
SY10-11,D,10X306
SY 11-12,D,13K605
SY 11-12,P,31R080
SY10-11,P,04M012
SY06-07,P,21K098
SY07-08,P,07X296
SY10-11,D,07X600
SY08-09,P,20K503
SY09-10,P,22K198
SY07-08,WD,26Q415
SY07-08,O,27Q108
SY06-07,WD,04M155
SY09-10,P,02M305
SY05-06,P,04M045
SY06-07,WD,02M290
SY 11-12,D,06M005
SY08-09,UPF,17K382
SY06-07,P,13K093
SY07-08,P,21K215
SY06-07,P,21K468
SY06-07,P,18K272
SY08-09,P,22K361
SY07-08,P,14K023
SY06-07,P,13K287
SY08-09,P,04M096
SY07-08,P,25Q460
SY06-07,WD,31R054
SY06-07,P,17K544
SY06-07,P,01M515
SY 11-12,D,75M138
SY06-07,P,25Q237
SY07-08,P,17K484
SY07-08,P,07X500
SY07-08,WD,15K039
SY06-07,P,09X145
SY08-09,P,05M036
SY 11-12,D,03M403
SY06-07,P,10X254
SY10-11,P,10X360
SY 11-12,P,10X447
SY06-07,P,06M293
SY07-08,WD,30Q127
SY10-11,D,16K243
SY07-08,WD,07X495
SY09-10,WD,02M560
SY09-10,P,19K311
SY08-09,P,19K171
SY06-07,P,19K202
SY07-08,WD,12X047
SY08-09,WD,09X252
SY07-08,WD,06M468
SY10-11,P,28Q206
SY09-10,P,13K419
SY08-09,UPF,02M312
SY08-09,P,03M054
SY06-07,P,07X223
SY 11-12,P,28Q284
SY09-10,WD,31R061
SY07-08,P,21K225
SY10-11,D,18K268
SY07-08,WD,12X242
SY09-10,P,30Q580
SY08-09,P,17K340
SY05-06,P,26Q495
SY07-08,WD,09X327
SY07-08,P,01M137
SY06-07,P,32K151
SY10-11,D,03M166
SY07-08,WD,11X455
SY09-10,P,01M363
SY10-11,D,18K581
SY06-07,P,12X150
SY07-08,WD,05M036
SY05-06,P,12X271
SY07-08,WD,31R042
SY10-11,D,22K278
SY07-08,P,12X217
SY10-11,D,03M505
SY 11-12,P,11X106
SY07-08,P,08X093
SY07-08,WD,31R003
SY10-11,D,32K296
SY 11-12,D,08X467
SY10-11,D,29Q118
SY10-11,D,14K059
SY06-07,WD,12X044
SY06-07,P,32K376
SY08-09,UPF,01M301
SY07-08,P,05M133
SY07-08,WD,09X303
SY10-11,WD,25Q209
SY07-08,WD,09X110
SY06-07,P,09X517
SY07-08,P,18K272
SY09-10,WD,10X023
SY06-07,WD,31R072
SY09-10,P,09X414
SY07-08,P,17K397
SY06-07,P,09X327
SY07-08,WD,31R006
SY06-07,WD,25Q242
SY06-07,WD,18K219
SY07-08,P,16K385
SY06-07,P,11X253
SY07-08,WD,75M811
SY06-07,P,29Q147
SY10-11,P,23K646
SY10-11,P ,22K119
SY05-06,P,09X231
SY07-08,WD,07X030
SY09-10,P,03M087
SY06-07,P,22K585
SY09-10,P,05M318
SY08-09,P,19K660
SY07-08,WD,24Q485
SY06-07,P,13K430
SY10-11,P,31R011
SY 11-12,D,05M410
SY08-09,P,29Q283
SY07-08,WD,20K163
SY09-10,WD,10X009
SY10-11,P,02M151
SY09-10,P,02M580
SY06-07,P,24Q081
SY06-07,U,17K587
SY06-07,WD,75M169
SY06-07,WD,20K048
SY08-09,P,15K520
SY06-07,WD,02M059
SY06-07,P,29Q134
SY06-07,WD,07X427
SY07-08,WD,15K230
SY09-10,P,15K592
SY07-08,P,11X322
SY06-07,WD,14K147
SY08-09,WD,09X241
SY10-11,WD,19K273
SY07-08,WD,15K448
SY06-07,WD,08X036
SY06-07,U,15K136
SY08-09,P,15K656
SY07-08,P,24Q455
SY07-08,WD,20K505
SY07-08,WD,24Q550
SY06-07,WD,05M046
SY06-07,U,12X690
SY09-10,WD,29Q131
SY07-08,WD,09X543
SY09-10,UPF,19K171
SY06-07,WD,28Q206
SY07-08,WD,16K262
SY07-08,P,75M721
SY07-08,WD,09X404
SY06-07,WD,02M011
SY10-11,D,08X560
SY10-11,P,07X334
SY07-08,WD,14K582
SY 11-12,D,03M185
SY09-10,P,29Q156
SY08-09,UPF,17K587
SY07-08,WD,20K205
SY08-09,WD,10X228
SY06-07,P,02M225
SY 11-12,D,05M197
SY07-08,WD,16K498
SY06-07,WD,30Q227
SY05-06,WD,20K062
SY10-11,P,15K821
SY10-11,WD,22K251
SY 11-12,D,15K462
SY08-09,P,08X335
SY07-08,P,75Q075
SY07-08,WD,06M152
SY06-07,P,17K181
SY06-07,WD,12X197
SY10-11,D,24Q088
SY06-07,WD,31R055
SY09-10,P,75K396
SY 11-12,P,02M896
SY10-11,P,31R041
SY06-07,P,19K224
SY06-07,WD,25Q184
SY08-09,P,15K463
SY08-09,P,02M500
SY08-09,P,21K329
SY07-08,WD,27Q333
SY10-11,WD,20K186
SY07-08,WD,27Q066
SY06-07,WD,22K207
SY 11-12,P,10X439
SY09-10,P,04M375
SY08-09,WD,10X342
SY06-07,P,19K214
SY06-07,P,27Q210
SY10-11,D,07X203
SY07-08,WD,24Q102
SY08-09,UPF,28Q030
SY09-10,UPF,18K637
SY09-10,P,29Q195
SY09-10,P,29Q109
SY09-10,WD,01M364
SY 11-12,P,11X181
SY07-08,P,23K323
SY 11-12,P,27Q262
SY08-09,P,09X011
SY07-08,P,12X273
SY10-11,D,04M013
SY 11-12,P,29Q176
SY06-07,WD,18K066
SY07-08,UPF,12X251
SY06-07,WD,75Q255
SY07-08,WD,11X127
SY10-11,P,01M539
SY07-08,P,02M520
SY 11-12,P,02M276
SY06-07,P,25Q250
SY07-08,WD,30Q230
SY07-08,U,13K419
SY10-11,P,01M063
SY07-08,WD,31R072
SY 11-12,D,07X547
SY09-10,WD,20K505
SY06-07,P,25Q200
SY07-08,WD,10X360
SY10-11,D,14K016
SY06-07,P,07X520
SY07-08,P,22K198
SY06-07,U,23K137
SY09-10,P,29Q035
SY07-08,WD,16K026
SY07-08,P,21K097
SY06-07,P,09X505
SY06-07,WD,21K199
SY09-10,P,18K617
SY07-08,WD,32K086
SY06-07,P,02M416
SY07-08,WD,25Q129
SY06-07,WD,03M243
SY 11-12,D,29Q238
SY06-07,U,11X541
SY09-10,P,31R055
SY06-07,WD,27Q183
SY08-09,P,21K215
SY 11-12,WD,25Q029
SY06-07,P,22K119
SY 11-12,P,20K505
SY09-10,P,32K552
SY07-08,WD,10X033
SY07-08,WD,06M008
SY07-08,WD,13K553
SY 11-12,P,10X246
SY06-07,P,20K180
SY09-10,P,21K128
SY07-08,WD,20K445
SY 11-12,P,28Q080
SY07-08,WD,11X181
SY06-07,WD,28Q175
SY07-08,WD,30Q078
SY06-07,U,08X093
SY06-07,WD,22K203
SY06-07,P,06M314
SY07-08,P,15K154
SY 11-12,D,05M367
SY07-08,P,01M292
SY10-11,P,75M811
SY07-08,P,09X525
SY07-08,O,06M319
SY 11-12,P,09X449
SY07-08,P,02M111
SY07-08,P,07X547
SY 11-12,P,27Q155
SY08-09,P,11X175
SY06-07,WD,03M250
SY06-07,P,05M036
SY10-11,U,02M620
SY09-10,P,30Q222
SY07-08,WD,27Q400
SY07-08,P,02M550
SY09-10,WD,14K614
SY06-07,WD,22K194
SY08-09,P,75X186
SY10-11,D,07X001
SY07-08,WD,09X517
SY07-08,WD,05M123
SY06-07,P,29Q181
SY06-07,WD,04M171
SY07-08,P,23K137
SY06-07,WD,30Q501
SY07-08,WD,28Q139
SY06-07,U,10X054
SY06-07,P,19K149
SY 11-12,P,02M615
SY06-07,U,32K552
SY10-11,P,29Q181
SY07-08,WD,04M083
SY07-08,WD,20K259
SY 11-12,WD,02M116
SY06-07,U,22K193
SY10-11,P,30Q126
SY06-07,P,17K353
SY06-07,WD,27Q090
SY09-10,P,31R003
SY07-08,WD,31R024
SY08-09,P,17K528
SY07-08,WD,22K052
SY 11-12,P,24Q028
SY10-11,WD,20K200
SY06-07,WD,02M051
SY08-09,U,05M344
SY06-07,P,09X022
SY10-11,WD,10X340
SY07-08,P,03M208
SY10-11,P,19K089
SY10-11,D,02M570
SY09-10,P,30Q450
SY10-11,P,21K100
SY06-07,WD,31R069
SY07-08,WD,19K224
SY06-07,P,17K469
SY09-10,P,02M047
SY06-07,P,11X290
SY 11-12,D,13K256
SY05-06,P,21K337
SY08-09,P,75M751
SY09-10,WD,04M610
SY07-08,UPF,14K019
SY09-10,P,11X108
SY07-08,P,17K548
SY06-07,P,75Q009
SY06-07,P,26Q435
