school/gender.chool Name,school/gender.Grade,school/gender.Year,school/gender.Category,school/gender.Number Tested,school/gender.Mean Scale Score,school/gender.Level1_N,school/gender.Level1_%,school/gender.Level2_N,school/gender.Level2_%,school/gender.Level3_N,school/gender.Level3_%,school/gender.Level4_N,school/gender.Level4_%,school/gender.Level3+4_N,school/gender.Level3+4_%,DBN
PS 066 SCHOOL OF HIGHER EXPECTATIONS,4,2014,Female,33,291.0,11.0,33.3,18.0,54.5,4.0,12.1,0.0,0.0,4.0,12.1,12X066
PS 179 KENSINGTON,All Grades,2017,Female,181,297.0,64.0,35.4,57.0,31.5,51.0,28.2,9.0,5.0,60.0,33.1,20K179
PSIS 323,8,2016,Female,33,309.0,4.0,12.1,16.0,48.5,8.0,24.2,5.0,15.2,13.0,39.4,23K323
JUAN MOREL CAMPOS SECONDARY SCHOOL,All Grades,2013,Male,179,266.0,131.0,73.2,44.0,24.6,4.0,2.2,0.0,0.0,4.0,2.2,14K071
THE ACADEMY OF TALENTED SCHOLARS,5,2016,Male,26,326.0,4.0,15.4,0.0,0.0,15.0,57.7,7.0,26.9,22.0,84.6,20K682
PSMS 147 RONALD MCNAIR,6,2013,Female,43,290.0,17.0,39.5,17.0,39.5,7.0,16.3,2.0,4.7,9.0,20.9,29Q147
PS 084 STEINWAY,All Grades,2013,Female,112,306.0,24.0,21.4,56.0,50.0,28.0,25.0,4.0,3.6,32.0,28.6,30Q084
PS 145 ANDREW JACKSON,3,2017,Male,57,290.0,29.0,50.9,11.0,19.3,17.0,29.8,0.0,0.0,17.0,29.8,32K145
PS 90 EDNA COHEN SCHOOL,3,2017,Male,50,281.0,33.0,66.0,13.0,26.0,4.0,8.0,0.0,0.0,4.0,8.0,21K090
URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS,6,2013,Female,18,277.0,9.0,50.0,7.0,38.9,2.0,11.1,0.0,0.0,2.0,11.1,05M286
PS K225  THE EILEEN E ZAGLIN,3,2014,Female,35,297.0,15.0,42.9,9.0,25.7,11.0,31.4,0.0,0.0,11.0,31.4,21K225
PS 111 JACOB BLACKWELL,6,2013,Female,30,285.0,10.0,33.3,18.0,60.0,2.0,6.7,0.0,0.0,2.0,6.7,30Q111
PS 290 MANHATTAN NEW SCHOOL,3,2015,Male,40,321.0,5.0,12.5,11.0,27.5,22.0,55.0,2.0,5.0,24.0,60.0,02M290
IS 227 LOUIS ARMSTRONG,All Grades,2015,Male,692,311.0,88.0,12.7,307.0,44.4,222.0,32.1,75.0,10.8,297.0,42.9,30Q227
PS 042 CLAREMONT,3,2016,Male,30,280.0,17.0,56.7,12.0,40.0,0.0,0.0,1.0,3.3,1.0,3.3,09X042
PS 004 MAURICE WOLLIN,5,2016,Female,52,324.0,2.0,3.8,19.0,36.5,22.0,42.3,9.0,17.3,31.0,59.6,31R004
TEACHERS PREPARATORY HS,6,2013,Female,16,275.0,12.0,75.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,23K697
JHS 067 LOUIS PASTEUR,All Grades,2013,Female,441,327.0,28.0,6.3,124.0,28.1,148.0,33.6,141.0,32.0,289.0,65.5,26Q067
PS 221 TOUSSAINT L OUVERTURE,4,2015,Female,34,294.0,11.0,32.4,14.0,41.2,8.0,23.5,1.0,2.9,9.0,26.5,17K221
PS 250 GEORGE H LINDSAY,5,2013,Female,50,296.0,20.0,40.0,22.0,44.0,7.0,14.0,1.0,2.0,8.0,16.0,14K250
BRONX WRITING ACADEMY,8,2015,Female,69,292.0,21.0,30.4,29.0,42.0,16.0,23.2,3.0,4.3,19.0,27.5,09X323
PSMS 20 POGEORGE J WERDANN III,3,2014,Female,59,284.0,36.0,61.0,16.0,27.1,5.0,8.5,2.0,3.4,7.0,11.9,10X020
THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,All Grades,2017,Male,120,280.0,69.0,57.5,41.0,34.2,9.0,7.5,1.0,0.8,10.0,8.3,07X551
PS 159,5,2013,Male,42,320.0,5.0,11.9,15.0,35.7,13.0,31.0,9.0,21.4,22.0,52.4,26Q159
HAWTREE CREEK MIDDLE SCHOOL,All Grades,2015,Male,132,290.0,54.0,40.9,57.0,43.2,17.0,12.9,4.0,3.0,21.0,15.9,27Q297
IS 339,6,2017,Female,63,268.0,43.0,68.3,19.0,30.2,1.0,1.6,0.0,0.0,1.0,1.6,09X339
PS 047 CHRIS GALAS,4,2013,Male,5,,,,,,,,,,,,27Q047
EAST BRONX ACADEMY FOR THE FUTURE,7,2017,Female,42,305.0,7.0,16.7,24.0,57.1,7.0,16.7,4.0,9.5,11.0,26.2,12X271
PS 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOOL,All Grades,2016,Male,123,289.0,49.0,39.8,48.0,39.0,21.0,17.1,5.0,4.1,26.0,21.1,16K262
PS 163 ALFRED E SMITH,3,2017,Female,54,318.0,9.0,16.7,13.0,24.1,28.0,51.9,4.0,7.4,32.0,59.3,03M163
PS 238 ANNE SULLIVAN,4,2015,Female,23,305.0,8.0,34.8,6.0,26.1,5.0,21.7,4.0,17.4,9.0,39.1,21K238
PS 052 JOHN C THOMPSON,4,2017,Male,30,313.0,2.0,6.7,13.0,43.3,10.0,33.3,5.0,16.7,15.0,50.0,31R052
PS 076 THE BENNINGTON SCHOOL,All Grades,2015,Female,258,291.0,109.0,42.2,97.0,37.6,44.0,17.1,8.0,3.1,52.0,20.2,11X076
PS 092 BRONX,All Grades,2013,Male,118,264.0,86.0,72.9,26.0,22.0,6.0,5.1,0.0,0.0,6.0,5.1,12X092
REDWOOD MIDDLE SCHOOL,8,2017,Male,43,295.0,11.0,25.6,21.0,48.8,8.0,18.6,3.0,7.0,11.0,25.6,28Q332
PS 277,All Grades,2016,Female,98,307.0,22.0,22.4,40.0,40.8,29.0,29.6,7.0,7.1,36.0,36.7,07X277
PS 001 THE BERGEN,All Grades,2014,Male,222,288.0,93.0,41.9,96.0,43.2,29.0,13.1,4.0,1.8,33.0,14.9,15K001
PS 5 PORT MORRIS,6,2014,Male,39,281.0,17.0,43.6,19.0,48.7,3.0,7.7,0.0,0.0,3.0,7.7,07X005
QUEENS UNITED MIDDLE SCHOOL,6,2015,Female,39,298.0,9.0,23.1,24.0,61.5,3.0,7.7,3.0,7.7,6.0,15.4,29Q289
LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,8,2017,Female,56,337.0,2.0,3.6,10.0,17.9,20.0,35.7,24.0,42.9,44.0,78.6,02M896
BRONX LATIN,All Grades,2016,Female,83,301.0,15.0,18.1,42.0,50.6,17.0,20.5,9.0,10.8,26.0,31.3,12X267
PS 165 EDITH K BERGTRAUM,5,2013,Male,52,312.0,13.0,25.0,17.0,32.7,12.0,23.1,10.0,19.2,22.0,42.3,25Q165
PS 050 VITO MARCANTONIO,All Grades,2017,Female,70,289.0,32.0,45.7,24.0,34.3,13.0,18.6,1.0,1.4,14.0,20.0,04M050
PS 009 TEUNIS G BERGEN,4,2013,Male,33,310.0,7.0,21.2,12.0,36.4,9.0,27.3,5.0,15.2,14.0,42.4,13K009
PS 346 ABE STARK,3,2017,Male,42,295.0,18.0,42.9,18.0,42.9,5.0,11.9,1.0,2.4,6.0,14.3,19K346
PS 084 JOSE DE DIEGO,All Grades,2013,Male,67,287.0,39.0,58.2,16.0,23.9,10.0,14.9,2.0,3.0,12.0,17.9,14K084
PS 209 MARGARET MEAD,6,2017,Female,24,311.0,5.0,20.8,7.0,29.2,7.0,29.2,5.0,20.8,12.0,50.0,21K209
PS 046 ALBERT V MANISCALCO,All Grades,2013,Male,76,288.0,34.0,44.7,37.0,48.7,3.0,3.9,2.0,2.6,5.0,6.6,31R046
CHOOL OF SCIENCE & TECHNOLOGY,3,2017,Male,44,294.0,22.0,50.0,11.0,25.0,11.0,25.0,0.0,0.0,11.0,25.0,22K152
PS K225  THE EILEEN E ZAGLIN,All Grades,2014,Male,300,289.0,118.0,39.3,131.0,43.7,43.0,14.3,8.0,2.7,51.0,17.0,21K225
UPPER SCHOOL @ PS 25,6,2015,Female,17,282.0,9.0,52.9,7.0,41.2,1.0,5.9,0.0,0.0,1.0,5.9,16K534
PSIS 323,5,2013,Female,23,309.0,6.0,26.1,8.0,34.8,6.0,26.1,3.0,13.0,9.0,39.1,23K323
PS 065 MOTHER HALE ACADEMY,All Grades,2015,Female,80,281.0,50.0,62.5,21.0,26.3,9.0,11.3,0.0,0.0,9.0,11.3,07X065
PS 084 STEINWAY,All Grades,2016,Female,65,313.0,9.0,13.8,24.0,36.9,23.0,35.4,9.0,13.8,32.0,49.2,30Q084
PS 217 COLONEL DAVID MARCUS SCHOOL,3,2017,Female,83,319.0,11.0,13.3,30.0,36.1,31.0,37.3,11.0,13.3,42.0,50.6,22K217
PS 219 KENNEDY KING,All Grades,2017,Male,104,292.0,46.0,44.2,39.0,37.5,13.0,12.5,6.0,5.8,19.0,18.3,18K219
PS 380 JOHN WAYNE ELEMENTARY,4,2014,Male,32,301.0,6.0,18.8,17.0,53.1,8.0,25.0,1.0,3.1,9.0,28.1,14K380
PS X037  MULTIPLE INTELLIGENCE SCHOOL,3,2016,Female,48,304.0,13.0,27.1,22.0,45.8,11.0,22.9,2.0,4.2,13.0,27.1,10X037
DR SUSAN S MCKINNEY SECONDARY SCHOOL OF THE ARTS,6,2014,Female,19,279.0,9.0,47.4,8.0,42.1,2.0,10.5,0.0,0.0,2.0,10.5,13K265
GOLDIE MAPLE ACADEMY,8,2013,Female,14,297.0,2.0,14.3,11.0,78.6,1.0,7.1,0.0,0.0,1.0,7.1,27Q333
PS 162 JOHN GOLDEN,All Grades,2017,Male,186,321.0,24.0,12.9,58.0,31.2,65.0,34.9,39.0,21.0,104.0,55.9,26Q162
PS 046 ARTHUR TAPPAN,7,2014,Male,39,270.0,28.0,71.8,8.0,20.5,3.0,7.7,0.0,0.0,3.0,7.7,05M046
THE JERMAINE L GREEN STEM INSTITUTE OF QUEENS,All Grades,2015,Male,136,284.0,75.0,55.1,46.0,33.8,13.0,9.6,2.0,1.5,15.0,11.0,28Q354
IS 145 JOSEPH PULITZER,8,2014,Female,334,295.0,90.0,26.9,168.0,50.3,59.0,17.7,17.0,5.1,76.0,22.8,30Q145
THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,7,2013,Female,25,285.0,12.0,48.0,11.0,44.0,2.0,8.0,0.0,0.0,2.0,8.0,03M191
PS 226 ALFRED DE BMASON,5,2014,Female,48,303.0,12.0,25.0,21.0,43.8,9.0,18.8,6.0,12.5,15.0,31.3,21K226
BAYCHESTER ACADEMY,3,2015,Male,39,289.0,19.0,48.7,14.0,35.9,5.0,12.8,1.0,2.6,6.0,15.4,11X169
PS 011 WILLIAM T HARRIS,4,2015,Male,78,319.0,8.0,10.3,24.0,30.8,23.0,29.5,23.0,29.5,46.0,59.0,02M011
PS 316 ELIJAH STROUD,3,2016,Male,31,309.0,5.0,16.1,14.0,45.2,12.0,38.7,0.0,0.0,12.0,38.7,17K316
BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL  BEES,All Grades,2016,Female,52,288.0,18.0,34.6,28.0,53.8,6.0,11.5,0.0,0.0,6.0,11.5,23K664
PS 399 STANLEY EUGENE CLARK,3,2014,Female,40,293.0,21.0,52.5,12.0,30.0,5.0,12.5,2.0,5.0,7.0,17.5,17K399
BATTERY PARK CITY SCHOOL,8,2014,Male,40,318.0,1.0,2.5,15.0,37.5,21.0,52.5,3.0,7.5,24.0,60.0,02M276
PS 200 THE JAMES MCCUNE SMITH SCHOOL,All Grades,2016,Female,96,293.0,38.0,39.6,37.0,38.5,21.0,21.9,0.0,0.0,21.0,21.9,05M200
PS 124 OSMOND A CHURCH,4,2016,Male,86,305.0,16.0,18.6,41.0,47.7,20.0,23.3,9.0,10.5,29.0,33.7,27Q124
PS 129 JOHN H FINLEY,8,2013,Female,26,265.0,22.0,84.6,2.0,7.7,2.0,7.7,0.0,0.0,2.0,7.7,05M129
PS 018 JOHN G WHITTIER,4,2014,Female,43,293.0,15.0,34.9,20.0,46.5,8.0,18.6,0.0,0.0,8.0,18.6,31R018
IS 285 MEYER LEVIN,7,2016,Male,110,289.0,36.0,32.7,67.0,60.9,7.0,6.4,0.0,0.0,7.0,6.4,18K285
PS 084 LILLIAN WEBER,4,2017,Female,39,333.0,3.0,7.7,10.0,25.6,7.0,17.9,19.0,48.7,26.0,66.7,03M084
PSIS 116 WILLIAM C HUGHLEY,3,2015,Male,41,284.0,25.0,61.0,10.0,24.4,6.0,14.6,0.0,0.0,6.0,14.6,29Q116
PS 020 PORT RICHMOND,All Grades,2017,Male,125,285.0,60.0,48.0,49.0,39.2,14.0,11.2,2.0,1.6,16.0,12.8,31R020
PS 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,5,2017,Male,32,315.0,6.0,18.8,10.0,31.3,13.0,40.6,3.0,9.4,16.0,50.0,20K264
THE SCHOOL OF INTEGRATED LEARNING,7,2017,Female,27,321.0,2.0,7.4,10.0,37.0,12.0,44.4,3.0,11.1,15.0,55.6,17K354
PS 130 ABRAM STEVENS HEWITT,3,2014,Male,40,281.0,22.0,55.0,18.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,08X130
PSIS 157 THE BENJAMIN FRANKLIN HEALTH & SCIENCE ACADEMY,6,2013,Male,34,274.0,21.0,61.8,9.0,26.5,4.0,11.8,0.0,0.0,4.0,11.8,14K157
PS 032 SAMUEL MILLS SPROLE,4,2017,Male,46,316.0,10.0,21.7,10.0,21.7,15.0,32.6,11.0,23.9,26.0,56.5,15K032
QUEENS SCHOOL OF INQUIRY THE,7,2017,Female,31,315.0,3.0,9.7,10.0,32.3,17.0,54.8,1.0,3.2,18.0,58.1,25Q252
CIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,8,2015,Female,61,306.0,6.0,9.8,35.0,57.4,17.0,27.9,3.0,4.9,20.0,32.8,09X454
PS 158 BAYARD TAYLOR,All Grades,2017,Male,152,338.0,5.0,3.3,25.0,16.4,57.0,37.5,65.0,42.8,122.0,80.3,02M158
PS 327 DR ROSE B ENGLISH,8,2016,Female,36,294.0,9.0,25.0,18.0,50.0,8.0,22.2,1.0,2.8,9.0,25.0,23K327
PS 134 GEORGE F BRISTOW,5,2017,Female,54,299.0,21.0,38.9,18.0,33.3,10.0,18.5,5.0,9.3,15.0,27.8,12X134
THE LEXINGTON ACADEMY,6,2015,Female,33,293.0,12.0,36.4,15.0,45.5,4.0,12.1,2.0,6.1,6.0,18.2,04M072
KNOWLEDGE AND POWER PREPARATORY ACADEMY VI,All Grades,2013,Male,119,301.0,20.0,16.8,75.0,63.0,21.0,17.6,3.0,2.5,24.0,20.2,27Q282
PSIS 137 RACHEL JEAN MITCHELL,7,2013,Male,11,275.0,6.0,54.5,4.0,36.4,1.0,9.1,0.0,0.0,1.0,9.1,23K137
PS 026 RUFUS KING,4,2015,Female,37,321.0,1.0,2.7,16.0,43.2,14.0,37.8,6.0,16.2,20.0,54.1,26Q026
PS 050 VITO MARCANTONIO,7,2015,Female,16,280.0,10.0,62.5,6.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,04M050
PS 092 MARY MCLEOD BETHUNE,3,2013,Male,13,293.0,6.0,46.2,5.0,38.5,2.0,15.4,0.0,0.0,2.0,15.4,05M092
PS IS 384 FRANCES E CARTER,8,2017,Male,29,305.0,6.0,20.7,9.0,31.0,11.0,37.9,3.0,10.3,14.0,48.3,32K384
PS 134 HOLLIS,3,2017,Female,24,305.0,5.0,20.8,14.0,58.3,3.0,12.5,2.0,8.3,5.0,20.8,29Q134
PS 310 MARBLE HILL,5,2013,Male,57,278.0,30.0,52.6,20.0,35.1,7.0,12.3,0.0,0.0,7.0,12.3,10X310
CHRISTOPHER AVENUE COMMUNITY SCHOOL,5,2016,Female,14,283.0,9.0,64.3,3.0,21.4,0.0,0.0,2.0,14.3,2.0,14.3,23K401
PS 287 BAILEY K ASHFORD,4,2013,Male,14,263.0,11.0,78.6,3.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,13K287
ESMT IS 190,7,2014,Male,48,280.0,30.0,62.5,13.0,27.1,5.0,10.4,0.0,0.0,5.0,10.4,12X190
PS 174 DUMONT,4,2015,Male,29,251.0,24.0,82.8,4.0,13.8,1.0,3.4,0.0,0.0,1.0,3.4,19K174
PS 198 ISADOR E IDA STRAUS,5,2016,Female,44,320.0,12.0,27.3,9.0,20.5,11.0,25.0,12.0,27.3,23.0,52.3,02M198
PS 56 THE LOUIS DESARIO SCHOOL,4,2015,Female,61,324.0,1.0,1.6,25.0,41.0,22.0,36.1,13.0,21.3,35.0,57.4,31R056
PS 186 DR IRVING A GLADSTONE,All Grades,2015,Female,241,310.0,54.0,22.4,89.0,36.9,55.0,22.8,43.0,17.8,98.0,40.7,20K186
PACE SHUTTLE COLUMBIA SCHOOL,4,2017,Female,52,316.0,6.0,11.5,16.0,30.8,22.0,42.3,8.0,15.4,30.0,57.7,31R058
THE ANDERSON SCHOOL,5,2013,Male,19,348.0,0.0,0.0,5.0,26.3,4.0,21.1,10.0,52.6,14.0,73.7,03M334
IS 024 MYRA S BARNES,6,2013,Female,211,316.0,25.0,11.8,85.0,40.3,51.0,24.2,50.0,23.7,101.0,47.9,31R024
MS K394,3,2013,Female,24,307.0,5.0,20.8,12.0,50.0,6.0,25.0,1.0,4.2,7.0,29.2,17K394
PS 075 MAYDA CORTIELLA,3,2016,Male,30,294.0,12.0,40.0,13.0,43.3,5.0,16.7,0.0,0.0,5.0,16.7,32K075
ACADEMY OF ARTS AND LETTERS,8,2015,Female,5,,,,,,,,,,,,13K492
IS 181 PABLO CASALS,7,2015,Male,148,295.0,51.0,34.5,58.0,39.2,34.0,23.0,5.0,3.4,39.0,26.4,11X181
ROBERT F WAGNER JR SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY,8,2017,Female,19,328.0,2.0,10.5,3.0,15.8,8.0,42.1,6.0,31.6,14.0,73.7,24Q560
PS 150,All Grades,2015,Female,39,340.0,1.0,2.6,5.0,12.8,17.0,43.6,16.0,41.0,33.0,84.6,02M150
PS 244 RICHARD R GREEN,5,2016,Female,57,303.0,14.0,24.6,22.0,38.6,20.0,35.1,1.0,1.8,21.0,36.8,18K244
IS 229 ROLAND PATTERSON,6,2015,Female,35,280.0,19.0,54.3,13.0,37.1,2.0,5.7,1.0,2.9,3.0,8.6,09X229
PS 064 ROBERT SIMON,All Grades,2014,Male,59,284.0,33.0,55.9,19.0,32.2,7.0,11.9,0.0,0.0,7.0,11.9,01M064
PS 121 NELSON A ROCKEFELLER,5,2015,Male,8,315.0,0.0,0.0,5.0,62.5,2.0,25.0,1.0,12.5,3.0,37.5,21K121
PS 089 CYPRESS HILLS,All Grades,2017,Male,124,284.0,53.0,42.7,57.0,46.0,12.0,9.7,2.0,1.6,14.0,11.3,19K089
PS 256 BENJAMIN BANNEKER,4,2016,Male,21,304.0,5.0,23.8,9.0,42.9,5.0,23.8,2.0,9.5,7.0,33.3,13K256
PS 165 IDA POSNER,5,2017,Male,20,274.0,13.0,65.0,6.0,30.0,1.0,5.0,0.0,0.0,1.0,5.0,23K165
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,8,2016,Male,21,289.0,8.0,38.1,9.0,42.9,4.0,19.0,0.0,0.0,4.0,19.0,17K382
BRONX LITTLE SCHOOL,3,2014,Male,37,292.0,14.0,37.8,12.0,32.4,11.0,29.7,0.0,0.0,11.0,29.7,12X691
PS 002 MEYER LONDON,5,2017,Female,45,318.0,9.0,20.0,11.0,24.4,12.0,26.7,13.0,28.9,25.0,55.6,02M002
PS 092 BRONX,5,2016,Female,31,274.0,20.0,64.5,8.0,25.8,3.0,9.7,0.0,0.0,3.0,9.7,12X092
PS 194 RAOUL WALLENBERG,4,2017,Female,43,311.0,11.0,25.6,14.0,32.6,8.0,18.6,10.0,23.3,18.0,41.9,22K194
LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,6,2016,Female,59,312.0,3.0,5.1,35.0,59.3,12.0,20.3,9.0,15.3,21.0,35.6,02M896
PS 112 BRONXWOOD,All Grades,2014,Female,112,284.0,63.0,56.3,39.0,34.8,9.0,8.0,1.0,0.9,10.0,8.9,11X112
PS 084 JOSE DE DIEGO,4,2014,Female,30,302.0,10.0,33.3,9.0,30.0,9.0,30.0,2.0,6.7,11.0,36.7,14K084
JHS 050 JOHN D WELLS,6,2016,Female,23,298.0,6.0,26.1,9.0,39.1,6.0,26.1,2.0,8.7,8.0,34.8,14K050
PS 116 MARY LINDLEY MURRAY,All Grades,2013,Female,184,329.0,15.0,8.2,36.0,19.6,84.0,45.7,49.0,26.6,133.0,72.3,02M116
PS 122 MAMIE FAY,All Grades,2014,Female,402,337.0,36.0,9.0,67.0,16.7,109.0,27.1,190.0,47.3,299.0,74.4,30Q122
PSIS 116 WILLIAM C HUGHLEY,6,2016,Female,38,299.0,7.0,18.4,21.0,55.3,9.0,23.7,1.0,2.6,10.0,26.3,29Q116
PS 399 STANLEY EUGENE CLARK,All Grades,2013,Female,121,310.0,32.0,26.4,44.0,36.4,32.0,26.4,13.0,10.7,45.0,37.2,17K399
CHOLARS  ACADEMY,All Grades,2014,Male,338,335.0,1.0,0.3,52.0,15.4,174.0,51.5,111.0,32.8,285.0,84.3,27Q323
PSMS 029 MELROSE SCHOOL,5,2016,Female,26,273.0,14.0,53.8,10.0,38.5,2.0,7.7,0.0,0.0,2.0,7.7,07X029
PS 269 NOSTRAND,3,2014,Female,59,279.0,38.0,64.4,14.0,23.7,7.0,11.9,0.0,0.0,7.0,11.9,22K269
PS 97 THE HIGHLAWN,5,2016,Male,62,305.0,19.0,30.6,21.0,33.9,14.0,22.6,8.0,12.9,22.0,35.5,21K097
PS 131 ABIGAIL ADAMS,All Grades,2014,Male,219,311.0,43.0,19.6,85.0,38.8,63.0,28.8,28.0,12.8,91.0,41.6,29Q131
VILLAGE ACADEMY,6,2016,Female,46,304.0,7.0,15.2,23.0,50.0,12.0,26.1,4.0,8.7,16.0,34.8,27Q319
PSMS 004 CROTONA PARK WEST,4,2013,Female,33,294.0,14.0,42.4,11.0,33.3,7.0,21.2,1.0,3.0,8.0,24.2,09X004
PS 023 RICHMONDTOWN,5,2015,Male,38,314.0,6.0,15.8,16.0,42.1,10.0,26.3,6.0,15.8,16.0,42.1,31R023
IS 119 THE GLENDALE,6,2016,Female,107,326.0,18.0,16.8,27.0,25.2,14.0,13.1,48.0,44.9,62.0,57.9,24Q119
PS 054 HILLSIDE,3,2015,Male,49,289.0,29.0,59.2,9.0,18.4,11.0,22.4,0.0,0.0,11.0,22.4,28Q054
IS 254,8,2014,Female,61,283.0,27.0,44.3,28.0,45.9,6.0,9.8,0.0,0.0,6.0,9.8,10X254
THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,7,2017,Male,13,293.0,3.0,23.1,8.0,61.5,2.0,15.4,0.0,0.0,2.0,15.4,03M191
PS 3 RAUL JULIA MICRO SOCIETY,5,2017,Male,13,304.0,4.0,30.8,5.0,38.5,4.0,30.8,0.0,0.0,4.0,30.8,10X003
PS 184M SHUANG WEN,3,2014,Female,36,325.0,5.0,13.9,6.0,16.7,21.0,58.3,4.0,11.1,25.0,69.4,01M184
