school/base.School Name,school/base.School Type,school/base.Total Parent Response Rate (%),school/base.Total Teacher Response Rate (%),school/base.Total Student Response Rate (%),school/base.class,DBN
Excellence Boys Charter School,ES/MS,68,96,99.0,True,84K593
Crotona Academy High School,HST,50,91,82.0,False,07X321
Grace Dodge Career and Technical Education High School,HS,14,70,72.0,True,10X660
P.S. 346 Abe Stark,ES,60,93,,False,19K346
High School of Computers and Technology,HS,41,89,96.0,False,11X275
Queens Preparatory Academy,HS,26,96,83.0,True,29Q248
New Explorers High School,HS,23,81,57.0,True,07X547
P.S. 075 Emily Dickinson,ES,47,93,,False,03M075
P.S. 107,ES,84,92,,True,08X107
NYC iSchool,HS,41,100,70.0,False,02M376
P.S. 116 Mary Lindley Murray,ES,52,89,,False,02M116
SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,MS,77,97,100.0,False,09X454
P.S. 166 The Richard Rodgers School of The Arts and Technology,ES,74,90,,False,03M166
P.S. 090 Horace Mann,ES,68,56,,False,27Q090
Icahn Charter School 4,ES,90,100,,False,84X496
J.H.S. 383 Philippa Schuyler,MS,41,94,96.0,True,32K383
P.S. 228 Early Childhood Magnet School of the Arts,ECC,92,63,,False,30Q228
P.S. 095 Sheila Mencher,ES/MS,81,46,97.0,True,10X095
WEST PREP ACADEMY,MS,92,93,96.0,False,03M421
M.S. 246 Walt Whitman,MS,41,82,97.0,True,17K246
P.S. 044 David C. Farragut,ES,72,100,,True,12X044
P.S. 307 Daniel Hale Williams,ES,52,72,,False,13K307
The Bronx School of Young Leaders,MS,68,100,99.0,False,10X331
Herbert H. Lehman High School,HS,12,74,71.0,True,08X405
BELL Academy,MS,50,100,99.0,False,25Q294
Bronx Lighthouse Charter School,ES/MS/HS,90,100,93.0,True,84X185
"Metropolitan High School, The",HS,27,89,71.0,False,12X248
Broome Street Academy Charter School,HS,27,83,70.0,True,84M522
School for International Studies,MS/HS,7,78,62.0,True,15K497
Collegiate Institute for Math and Science,HS,57,88,91.0,False,11X288
P.S. 233 Langston Hughes,ES,46,93,,False,18K233
KAPPA IV,MS,49,57,98.0,True,05M302
P.S. 208 Elsa Ebeling,ES,44,100,,False,18K208
P.S. 273,ECC,77,100,,False,27Q273
P.S. 065 Mother Hale Academy,ES,100,93,,False,07X065
P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,ES/MS,75,88,96.0,True,09X218
Neighborhood Charter School of Harlem,ECC,79,93,,False,84M100
"Science, Technology and Research Early College High School at Erasmus",MS/HS,96,72,91.0,False,17K543
P.S./M.S. 029 Melrose School,ES/MS,62,92,91.0,False,07X029
P.S. 163 Arthur A. Schomburg,ES,56,35,,True,09X163
P.S. 182,ES,34,90,,True,08X182
P.S. 041 Gun Hill Road,ES,88,90,,True,11X041
P.S. 058 The Carroll,ES,58,90,,False,15K058
Beacon High School,HS,34,84,83.0,False,03M479
P.S. 328 Phyllis Wheatley,ES/MS,20,63,87.0,True,19K328
Global Enterprise High School,HS,17,42,77.0,True,11X541
"Mathematics, Science Research and Technology Magnet High School",HS,66,90,81.0,True,29Q492
P.S. 149 Danny Kaye,ES,41,72,,True,19K149
P.S. K053,D75,63,95,99.0,False,75K053
New Dawn Charter High School,HS,29,89,49.0,True,84K486
The College Academy,HS,52,97,78.0,True,06M462
North Queens Community High School,HST,61,100,84.0,False,25Q792
Bronx International High School,HS,36,84,95.0,False,09X403
P.S. 116 Elizabeth L Farrell,ES,70,74,,False,32K116
"I.S. 349 Math, Science & Tech.",MS,58,86,83.0,True,32K349
P.S. 304 Early Childhood School,ES,75,100,,False,08X304
I.S. 171 Abraham Lincoln,MS,66,88,91.0,True,19K171
The SEEALL Academy,ES/MS,57,74,99.0,False,20K180
Independence High School,HST,19,91,31.0,False,02M544
Ralph A. Fabrizio School,ES,93,98,,True,20K170
"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",HS,56,88,87.0,True,19K683
P.S. 072 Dr. William Dorney,ES,58,100,,False,08X072
P.S. K231,D75,59,68,100.0,False,75K231
P.S. 013 Clement C. Moore,ES,91,90,,False,24Q013
P.S. 270 Johann DeKalb,ES,39,92,,True,13K270
P.S. 206 Jose Celso Barbosa,ES/MS,86,100,100.0,False,04M206
Brooklyn International High School,HS,85,100,95.0,False,13K439
Norman Thomas High School,HS,20,100,64.0,True,02M620
M.S. 053 Brian Piccolo,MS,64,65,90.0,True,27Q053
Middle College High School at LaGuardia Community College,HS,45,72,81.0,True,24Q520
High School for Service & Learning at Erasmus,HS,26,96,76.0,True,17K539
P.S. 195 William Haberle,ES,100,93,,False,29Q195
South Shore Educational Complex Yabc,YABC,41,62,49.0,False,18K922
Bushwick Ascend Charter School,ECC,27,32,,False,84K793
Riverdale Avenue Community School,ECC,47,53,,False,23K446
P.S. 093 William H. Prescott,ES,68,88,,False,13K093
William E. Grady Career and Technical Education High School,HS,58,84,73.0,False,21K620
P.S. 142 Amalia Castro,ES,90,100,,False,01M142
P.S. 057 Hubert H. Humphrey,ES,49,58,,True,31R057
P.S. 048 Mapleton,ES,93,100,,False,20K048
Muscota,ES,56,100,,False,06M314
Harbor Heights,MS,100,92,100.0,False,06M349
Pelham Gardens Middle School,MS,99,100,96.0,False,11X566
"Brooklyn Latin School, The",HS,24,86,94.0,False,14K449
MS 596 Peace Academy,MS,40,87,97.0,True,13K596
Liberty High School Academy for Newcomers,HST,59,79,93.0,True,02M550
P.S. 277,ES,60,49,,False,07X277
Middle School for Art and Philosophy,MS,55,94,95.0,True,18K588
High School of World Cultures,HS,89,89,75.0,False,12X550
P.S. 121 Nelson A. Rockefeller,ES/MS,82,88,99.0,False,21K121
Summit Academy Charter School,MS/HS,38,83,79.0,True,84K730
Satellite Three,MS,70,92,99.0,False,13K103
P.S. 282 Park Slope,ES/MS,35,39,97.0,True,13K282
New Heights Middle School,MS,74,86,95.0,False,17K722
J.H.S. 162 The Willoughby,MS,37,88,92.0,True,32K162
P.S. 191 Amsterdam,ES/MS,91,95,98.0,True,03M191
P.S. 124 Osmond A Church,ES/MS,59,88,100.0,False,27Q124
P.S. 066 School of Higher Expectations,ES,93,83,,True,12X066
I.S. 254,MS,30,88,91.0,True,10X254
Bayside High School,HS,13,87,38.0,True,26Q495
Academy for Scholarship and Entrepreneurship: A College Board School,MS/HS,29,77,74.0,True,11X270
P.S. 38 Roberto Clemente,ES,39,93,,True,04M038
Academy of American Studies,HS,37,90,98.0,True,30Q575
Middle School for the Arts,MS,12,95,82.0,True,17K587
J.H.S. 022 Jordan L. Mott,MS,12,47,82.0,True,09X022
Eleanor Roosevelt High School,HS,53,93,97.0,False,02M416
P.S. 001 Tottenville,ES,55,100,,False,31R001
School for Legal Studies,HS,21,97,54.0,True,14K477
P.S. 180 Hugo Newman,ES/MS,65,98,100.0,False,03M180
P.S. 070 Max Schoenfeld,ES,51,79,,True,09X070
P.S. 045 John Tyler,ES,59,79,,True,31R045
P.S. 3 Raul Julia Micro Society,ES/MS,64,92,95.0,True,10X003
P.S. 038 Rosedale,ES,93,44,,True,29Q038
Arturo A. Schomburg Satellite Academy Bronx,HST,53,100,55.0,True,12X446
P.S. 234,ES,95,71,,False,30Q234
Ronald Edmonds Learning Center II,MS,14,92,96.0,True,17K484
I.S. 077,MS,81,97,95.0,True,24Q077
Bronx Center for Science and Mathematics,HS,61,84,97.0,False,09X260
BOYS AND GIRLS YABC,YABC,3,58,25.0,False,16K959
FRANK McCOURT HIGH SCHOOL,HS,43,96,96.0,True,03M417
P.S. M226,D75,36,59,95.0,False,75M226
P.S. 108 Philip J. Abinanti,ES,54,78,,True,11X108
International High School at Prospect Heights,HS,41,100,85.0,False,17K524
The Michael J. Petrides School,ES/MS/HS,58,85,97.0,False,31R080
M.S. K394,ES/MS,59,82,96.0,False,17K394
Bronx Charter School for Better Learning,ES,66,100,,False,84X718
International High School at Lafayette,HS,52,96,91.0,False,21K337
Queens Satellite High School for Opportunity,HST,20,86,55.0,False,28Q338
P.S. 202 Ernest S. Jenkyns,ES/MS,71,50,86.0,True,19K202
P.S. 316 Elijah Stroud,ES,75,96,,False,17K316
Emolior Academy,MS,93,79,91.0,True,12X383
Art and Design High School,HS,22,41,54.0,True,02M630
J.H.S. 157 Stephen A. Halsey,MS/HS,51,98,98.0,True,28Q157
"Queens High School of Teaching, Liberal Arts and the Sciences",HS,23,92,80.0,True,26Q566
P.S. 506: The School of Journalism & Technology,ES,64,84,,False,20K506
P.S. 092 Bronx,ES,76,95,,True,12X092
KIPP AMP Charter School,MS,55,85,93.0,True,84K357
Aspirations Diploma Plus High School,HST,30,100,62.0,False,23K646
Bronxdale High School,HS,44,95,80.0,True,11X508
High School for Excellence and Innovation,HST,61,100,77.0,False,06M423
P.S. 157 Benjamin Franklin,ES/MS,79,79,96.0,False,14K157
Harlem Link Charter School,ES,61,87,,False,84M329
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,HS,6,61,47.0,True,02M399
P.S. 051 Elias Howe,ES,81,96,,False,02M051
Harlem Prep Charter School,ES,80,100,93.0,True,84M708
High School M560 - City As School,HST,17,92,56.0,False,02M560
P.S. 197 The Ocean School,ES,60,83,,True,27Q197
Channel View School for Research,MS/HS,41,100,90.0,False,27Q262
P.S. 345 Patrolman Robert Bolden,ES,57,57,,True,19K345
Brooklyn Charter School,ES,60,91,,False,84K701
P.S. 190 Sheffield,ES,65,68,,False,19K190
M.S. M245 The Computer School,MS,43,96,95.0,False,03M245
Brooklyn High School for Leadership and Community Service,HST,14,88,62.0,False,13K616
Washington Heights Expeditionary Learning School,MS/HS,49,83,90.0,False,06M348
Manhattan Charter School II,ECC,73,100,,False,84M080
P.S. 327 Dr. Rose B. English,ES/MS,45,66,94.0,False,23K327
Health Opportunities High School,HS,84,100,72.0,True,07X670
P.S. 087 Bronx,ES,62,79,,True,11X087
P.S. 038 The Pacific,ES,68,56,,True,15K038
Lefferts Gardens Charter School,ECC,72,52,,True,84K796
P.S. 089 Cypress Hills,ES/MS,58,76,99.0,False,19K089
New Heights Academy Charter School,MS/HS,48,69,89.0,True,84M353
"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",ES/MS,61,88,97.0,False,24Q128
P.S. 021 Crispus Attucks,ES,91,95,,False,16K021
DreamYard Preparatory School,HS,37,100,87.0,False,09X329
M.S. 301 Paul L. Dunbar,MS,9,87,36.0,True,08X301
Community School for Social Justice,HS,46,100,93.0,False,07X427
P.S. 150 Christopher,ES,76,100,,True,23K150
P.S. K140,D75,35,62,66.0,True,75K140
M.S. 137 America's School of Heroes,MS,44,85,93.0,True,27Q137
P.S. 060 Woodhaven,ES,92,96,,True,27Q060
P.S. 272 Curtis Estabrook,ES,60,78,,True,18K272
Beginning With Children Charter School,ES/MS,62,71,98.0,True,84K703
P.S. 032 Samuels Mills Sprole,ES,74,93,,False,15K032
Academy of Applied Mathematics and Technology,MS,47,90,97.0,False,07X343
Madiba Prep Middle School,MS,69,100,96.0,False,16K681
P.S. 179,ES,52,81,,False,07X179
P.S. M721 - Manhattan Occupational Training Center,D75,51,66,99.0,False,75M721
Queens Gateway to Health Sciences Secondary School,MS/HS,23,63,95.0,True,28Q680
P.S. 274 Kosciusko,ES,60,93,,False,32K274
M.S. 256 Academic & Athletic Excellence,MS,95,94,94.0,True,03M256
P.S. 188 The Island School,ES/MS,59,61,81.0,False,01M188
"Urban Assembly School for Media Studies, The",HS,23,96,90.0,True,03M307
Mott Hall V,MS/HS,81,100,85.0,False,12X242
P.S. 018 Park Terrace,ES/MS,76,94,100.0,False,06M018
P.S. 007 Louis F. Simeone,ECC,94,70,,True,24Q007
M.S. 158 Marie Curie,MS,36,42,96.0,True,26Q158
Bronx Regional High School,HST,25,82,68.0,False,12X480
P.S. 005 Ellen Lurie,ES,78,86,,False,06M005
Civic Leadership Academy,HS,56,88,97.0,False,24Q293
Humanities Preparatory Academy,HST,42,100,81.0,False,02M605
Bronx High School of Science,HS,32,88,95.0,True,10X445
Gotham Professional Arts Academy,HS,23,87,88.0,False,16K594
P.S. 206 The Horace Harding School,ES,63,100,,False,28Q206
P.S. 361 East Flatbush Early Childhood School,ECC,58,78,,True,22K361
P.S. Q004,D75,66,94,96.0,False,75Q004
Discovery High School,HS,10,73,48.0,True,10X549
Chelsea Career and Technical Education High School,HS,29,82,95.0,True,02M615
I.S. 296 - The Anna Gonzalez Community School,MS,34,77,83.0,True,32K296
Ampark Neighborhood,ES,76,100,,False,10X344
Isaac Newton Middle School for Math & Science,MS,22,96,97.0,False,04M825
George Westinghouse Career and Technical Education High School,HS,34,94,77.0,True,13K605
P.S. 130 The Parkside,ES,83,62,,False,15K130
Urban Dove Charter School,HST,19,63,59.0,True,84K417
P.S. 011 Highbridge,ES,67,61,,False,09X011
Academy of Public Relations,MS,86,60,99.0,False,07X298
P.S. 065,ES,89,100,,False,19K065
High School for Health Careers and Sciences,HS,42,100,84.0,True,06M468
P.S. 332 Charles H. Houston,ES/MS,55,100,82.0,True,23K332
P.S. 063 Old South,ES,61,68,,False,27Q063
P.S. 276 Louis Marshall,ES,74,83,,True,18K276
Explore Charter School,ES/MS,80,96,93.0,True,84K704
Academy of Arts and Letters,ES/MS,69,81,91.0,False,13K492
J.H.S. 013 Jackie Robinson,MS,10,91,1.0,True,04M013
