eyemove/table_0_0.label,eyemove/table_0_0.meanFixDur,eyemove/table_0_0.timePrtctg,eyemove/table_0_0.firstfixDur,Key_0_0
1,139.0,0.0195,139.0,6745
1,239.0,0.0429,239.0,3780
1,179.0,0.0255,417.0,2250
0,80.0,0.0095,139.0,5426
0,119.5,0.0255,80.0,4418
1,189.0,0.0195,139.0,581
0,159.0,0.0163,159.0,997
0,200.0,0.0123,199.0,202
0,119.0,0.0212,119.0,1377
0,208.5,0.0507,159.0,3574
0,129.0,0.032,219.0,2660
0,258.0,0.0264,258.0,3620
1,298.0,0.0311,298.0,2664
0,239.0,0.0654,239.0,1996
0,149.0,0.0432,99.0,7580
0,139.0,0.0337,139.0,2974
1,179.0,0.0158,179.0,3596
0,149.0,0.0545,159.0,3775
0,199.0,0.0356,199.0,5933
0,99.0,0.0088,99.0,6768
0,219.0,0.0152,119.0,3883
1,278.0,0.063,278.0,2995
1,179.0,0.0332,179.0,5005
0,159.0,0.014,159.0,3310
0,99.0,0.043,99.0,6522
0,80.0,0.0136,80.0,6879
0,139.0,0.01,139.0,3692
1,139.0,0.0169,139.0,5694
1,179.0,0.0539,219.0,5867
1,145.6667,0.0319,99.0,6698
1,139.0,0.0143,139.0,6531
1,139.0,0.0274,139.0,1488
0,139.0,0.0167,139.0,5934
0,258.0,0.0545,258.0,832
1,99.0,0.0509,99.0,4868
0,139.0,0.0169,139.0,644
0,179.0,0.0161,159.0,4009
1,159.0,0.0267,159.0,2735
0,298.0,0.0274,298.0,6195
1,139.0,0.0359,139.0,3505
0,179.0,0.012,179.0,5866
1,80.0,0.008,99.0,714
0,99.0,0.01,99.0,2209
0,239.0,0.0271,179.0,982
1,119.0,0.0127,80.0,1558
1,199.0,0.0198,80.0,7054
0,179.0,0.0457,179.0,5303
1,219.0,0.0152,80.0,4678
1,179.0,0.0249,179.0,4494
1,478.0,0.012,339.0,7431
1,179.0,0.0355,179.0,3921
0,239.0,0.026,239.0,4800
0,179.0,0.0067,199.0,3058
1,80.0,0.0116,80.0,2975
1,139.0,0.0369,139.0,7398
1,119.0,0.0349,139.0,3974
1,80.0,0.0253,80.0,5398
0,189.0,0.038,239.0,6757
0,299.0,0.0299,299.0,2147
1,179.0,0.0362,179.0,1069
1,219.0,0.0702,199.0,7184
1,99.0,0.0114,99.0,389
0,119.0,0.027,119.0,3040
1,279.0,0.0359,279.0,385
1,139.0,0.0235,139.0,5797
1,109.0,0.0439,99.0,2960
1,99.0,0.0089,99.0,7528
0,179.0,0.0441,179.0,1036
0,139.0,0.0258,99.0,185
0,518.0,0.032,777.0,5307
0,189.5,0.0234,259.0,3824
1,378.0,0.0348,378.0,6605
0,99.0,0.0095,99.0,7420
1,239.0,0.0253,239.0,7552
0,139.0,0.0443,139.0,5587
1,219.0,0.0312,219.0,6035
0,139.0,0.026,119.0,3255
1,159.0,0.037,159.0,2931
1,139.0,0.0161,139.0,1391
0,199.0,0.0123,199.0,5936
0,99.0,0.0143,159.0,320
0,239.0,0.0318,239.0,3968
1,179.0,0.0192,179.0,6519
0,278.0,0.0522,119.0,2515
1,259.0,0.0233,259.0,2514
0,129.0,0.0521,99.0,5122
1,20.0,0.0005,279.0,6015
0,80.0,0.008,119.0,1412
0,159.0,0.0098,159.0,2404
0,179.0,0.0192,179.0,5169
1,219.0,0.0181,139.0,5636
0,258.0,0.0353,258.0,6940
1,278.0,0.0316,278.0,13
1,139.0,0.0434,139.0,1941
1,159.0,0.0142,159.0,2231
1,219.0,0.0498,219.0,6815
0,239.0,0.0496,239.0,5276
1,159.0,0.0381,179.0,5809
0,99.0,0.0106,99.0,4222
0,239.0,0.0746,239.0,6427
1,149.0,0.0943,80.0,5182
1,159.0,0.0364,179.0,3593
1,179.0,0.0639,239.0,5173
1,199.0,0.0169,199.0,5190
1,139.0,0.0237,100.0,3174
1,179.0,0.0322,179.0,2882
1,119.0,0.0133,99.0,2903
1,99.0,0.008,199.0,4374
0,109.0,0.0483,119.0,2186
0,119.0,0.0239,139.0,5308
0,199.0,0.0415,199.0,6623
0,179.0,0.0092,179.0,5923
0,100.0,0.0103,99.0,1564
1,179.0,0.0382,159.0,6886
0,139.0,0.0112,139.0,1283
0,169.5,0.0379,20.0,1447
1,358.0,0.0444,358.0,6609
1,259.0,0.0385,259.0,552
0,199.0,0.0365,199.0,5736
0,139.0,0.0281,139.0,1039
0,139.0,0.0125,199.0,3506
0,139.0,0.0312,139.0,818
0,99.0,0.0074,99.0,5911
1,139.0,0.0318,139.0,1861
0,89.5,0.0312,99.0,7027
1,199.0,0.0303,120.0,5373
1,99.0,0.0109,99.0,1875
1,179.0,0.0218,119.0,3516
1,80.0,0.0209,80.0,3218
1,139.0,0.0182,139.0,1058
1,139.0,0.076,159.0,6430
0,239.0,0.0246,239.0,2595
0,20.0,0.0022,20.0,5737
0,298.0,0.0401,298.0,7405
0,199.0,0.0169,20.0,1099
1,199.0,0.0351,199.0,2355
1,100.0,0.0102,100.0,60
1,179.0,0.016,179.0,1552
0,159.0,0.0364,159.0,5202
0,139.0,0.0177,139.0,5700
0,119.5,0.0377,100.0,5496
1,100.0,0.02,100.0,4210
0,119.0,0.0315,159.0,3995
0,99.0,0.0085,179.0,5893
0,179.0,0.0111,99.0,1227
0,139.0,0.0112,139.0,7000
0,99.0,0.0202,99.0,4500
0,99.0,0.013,99.0,4653
1,179.0,0.0171,179.0,5108
0,99.0,0.0495,99.0,7095
0,20.0,0.0047,20.0,7272
1,99.0,0.0215,99.0,7453
0,219.0,0.0154,219.0,5136
1,100.0,0.0057,100.0,6520
0,258.0,0.0256,258.0,2576
1,80.0,0.0068,80.0,3731
1,149.0,0.0383,139.0,7197
0,268.5,0.0498,179.0,3130
1,139.0,0.0318,139.0,1202
1,139.0,0.0112,139.0,4884
0,179.0,0.0212,139.0,1792
0,139.0,0.0083,139.0,5441
1,106.3333,0.0412,80.0,2838
1,119.0,0.0209,119.0,6396
0,219.0,0.0196,219.0,943
0,139.0,0.0128,139.0,1782
0,139.0,0.0119,139.0,4870
0,238.0,0.0123,238.0,5330
0,298.0,0.017,298.0,3855
0,119.0,0.0285,119.0,1224
0,179.0,0.0216,179.0,1569
1,99.0,0.0048,99.0,3754
0,119.0,0.0372,119.0,6601
1,99.0,0.0225,99.0,517
0,139.0,0.0139,159.0,2865
0,278.0,0.0603,278.0,2351
1,168.5,0.0336,199.0,1020
0,159.0,0.0346,139.0,2858
1,358.0,0.1118,358.0,6702
1,199.0,0.0223,199.0,1727
1,219.0,0.0197,219.0,1327
0,119.0,0.0135,119.0,1877
1,159.0,0.0248,159.0,913
0,99.0,0.0061,99.0,7379
1,139.0,0.0573,139.0,6921
1,179.0,0.0301,139.0,5350
1,100.0,0.0423,100.0,1739
0,99.0,0.0306,99.0,1032
0,99.0,0.0223,99.0,6999
1,338.0,0.105,338.0,561
0,119.0,0.0215,119.0,4339
1,109.5,0.0209,99.0,4269
0,109.5,0.0693,119.0,2550
0,199.0,0.0334,199.0,4430
1,185.6667,0.0829,119.0,3441
0,139.0,0.0156,139.0,5579
1,179.0,0.0265,179.0,6592
0,219.0,0.0234,219.0,1024
1,159.0,0.034,179.0,3628
0,139.0,0.0714,139.0,133
1,119.0,0.0187,119.0,4488
1,89.5,0.0515,80.0,5687
1,159.0,0.0362,159.0,3617
1,89.5,0.0368,80.0,2752
1,437.0,0.0547,437.0,2642
0,378.0,0.0271,378.0,4411
1,129.0,0.0314,139.0,2447
1,209.0,0.0258,239.0,2456
0,139.0,0.0179,139.0,7576
0,159.0,0.0213,219.0,2509
1,199.0,0.0223,199.0,2310
1,140.0,0.0211,140.0,7129
0,119.0,0.0287,139.0,6902
1,99.0,0.0123,99.0,7327
1,219.0,0.0338,219.0,7225
0,139.0,0.0118,139.0,7533
0,239.0,0.0475,239.0,4019
1,238.0,0.0276,238.0,4420
0,100.0,0.0192,100.0,6722
0,80.0,0.0191,80.0,3206
1,199.0,0.0184,199.0,1298
0,80.0,0.0071,80.0,2559
1,179.0,0.0365,179.0,4318
0,298.0,0.0344,298.0,956
0,179.0,0.0662,179.0,7455
0,139.0,0.0142,139.0,1398
0,358.0,0.1085,358.0,5047
0,139.0,0.0161,139.0,267
1,99.0,0.0236,99.0,4030
1,298.0,0.0144,80.0,1860
1,139.0,0.0207,139.0,1977
1,199.0,0.0252,199.0,690
1,179.0,0.028,179.0,5842
0,159.0,0.0229,219.0,3601
0,139.0,0.0093,179.0,4346
0,189.0,0.0679,179.0,5309
0,119.0,0.0223,119.0,1850
0,179.0,0.0179,179.0,5999
1,418.0,0.144,418.0,6672
0,99.0,0.0099,99.0,4275
1,139.0,0.0118,139.0,2689
0,239.0,0.0516,239.0,6951
0,20.0,0.0018,140.0,793
1,139.0,0.0149,139.0,328
0,139.0,0.0242,139.0,6839
0,119.0,0.0135,119.0,3641
1,199.0,0.0251,199.0,4741
1,159.0,0.0215,139.0,5324
0,179.0,0.0292,219.0,3089
1,457.0,0.0807,457.0,2500
1,299.0,0.0443,299.0,4150
1,129.0,0.1119,99.0,1883
0,99.0,0.0178,99.0,990
1,139.0,0.0128,139.0,1257
0,238.0,0.0334,238.0,6566
1,20.0,0.003,20.0,4334
0,139.0,0.0372,139.0,6130
1,319.0,0.0537,319.0,181
1,398.0,0.053,80.0,6502
1,99.0,0.0147,99.0,1071
0,179.0,0.0157,119.0,683
1,80.0,0.0118,80.0,4129
1,99.0,0.0084,99.0,1936
0,139.0,0.0492,139.0,6053
0,278.0,0.04,278.0,309
1,179.0,0.0553,179.0,5846
0,100.0,0.0179,100.0,206
0,139.0,0.0175,139.0,4132
1,179.0,0.0165,179.0,5215
0,219.0,0.025,219.0,1127
0,139.0,0.0079,139.0,774
0,278.0,0.0869,278.0,5079
1,99.0,0.0142,99.0,5130
1,80.0,0.006,80.0,5221
0,139.0,0.0211,139.0,4756
0,99.0,0.0099,139.0,3502
0,99.0,0.0192,99.0,897
0,279.0,0.0253,279.0,6036
0,99.0,0.0509,99.0,4655
1,319.0,0.0341,319.0,6567
0,159.0,0.034,159.0,1101
1,219.0,0.0232,219.0,2020
0,219.0,0.0312,219.0,7015
0,99.0,0.0105,99.0,6061
0,159.0,0.0163,159.0,2364
1,339.0,0.0085,339.0,3234
0,119.0,0.0231,119.0,3422
1,139.0,0.026,139.0,4948
1,99.0,0.0105,99.0,71
0,100.0,0.0133,100.0,1979
0,259.0,0.0304,259.0,3896
1,139.0,0.0139,139.0,7547
1,139.0,0.0258,139.0,6330
1,80.0,0.0122,80.0,7044
0,99.0,0.0141,99.0,3023
1,239.0,0.0299,239.0,6486
0,119.0,0.0096,119.0,2274
1,119.0,0.0177,119.0,3320
0,80.0,0.008,239.0,5929
1,139.0,0.0097,139.0,6530
0,119.0,0.017,119.0,3247
0,139.0,0.0124,219.0,4596
0,139.0,0.0283,139.0,5530
1,179.0,0.012,179.0,5959
1,139.0,0.0275,139.0,3378
1,338.0,0.0313,199.0,6415
0,149.0,0.03,159.0,2827
0,159.0,0.0497,159.0,722
0,109.5,0.0266,119.0,776
1,109.0,0.0437,99.0,3222
1,119.0,0.0135,119.0,1465
1,238.0,0.032,238.0,4944
1,259.0,0.0274,259.0,1848
1,179.0,0.0165,179.0,4286
0,159.0,0.0107,159.0,1106
0,219.0,0.0186,219.0,4645
0,139.0,0.014,139.0,5197
0,159.0,0.0116,159.0,4298
1,139.0,0.0248,139.0,5913
1,149.0,0.0761,199.0,425
0,119.0,0.0099,119.0,170
0,239.0,0.0215,239.0,6858
1,219.0,0.0297,219.0,4453
1,159.0,0.006,159.0,368
1,159.0,0.0197,159.0,1410
1,258.0,0.0294,258.0,6371
0,279.0,0.0172,379.0,5055
0,139.0,0.0255,139.0,4866
0,179.0,0.0227,179.0,4234
0,80.0,0.006,80.0,2586
0,179.0,0.0215,199.0,1627
1,179.0,0.04,179.0,5630
1,99.0,0.0066,179.0,2709
1,199.0,0.0351,199.0,2977
1,199.0,0.02,199.0,3625
0,219.0,0.0275,219.0,5359
0,119.0,0.0118,119.0,5057
0,139.0,0.0139,139.0,4247
1,259.0,0.0182,259.0,2674
0,228.5,0.0261,238.0,2533
0,139.0,0.0133,139.0,7268
0,298.0,0.02,139.0,4717
1,457.0,0.0236,457.0,1360
1,179.0,0.0161,179.0,902
1,99.0,0.0175,99.0,3743
0,80.0,0.0116,80.0,801
0,119.0,0.0158,119.0,7195
1,129.5,0.0259,119.0,2804
0,179.0,0.0221,179.0,651
1,359.0,0.0359,359.0,7521
1,219.0,0.0202,219.0,3083
0,119.0,0.0133,159.0,1699
1,378.0,0.039,378.0,2914
1,259.0,0.0752,259.0,7329
0,139.0,0.0229,139.0,1258
1,139.0,0.0207,139.0,3350
1,80.0,0.0149,80.0,6296
0,99.5,0.0237,100.0,4419
1,119.0,0.0379,139.0,4726
1,119.0,0.0102,259.0,5550
0,279.0,0.0367,279.0,3511
1,80.0,0.0093,80.0,4438
0,298.0,0.0675,298.0,113
0,80.0,0.015,80.0,3201
0,99.0,0.0125,99.0,5590
0,219.0,0.0055,219.0,6981
0,278.0,0.0391,179.0,3030
1,258.0,0.0462,258.0,5187
1,99.0,0.0131,139.0,7230
0,209.0,0.0349,199.0,3688
1,159.0,0.0336,159.0,2057
0,139.0,0.0072,139.0,5902
0,119.0,0.1711,159.0,6674
1,298.0,0.0316,298.0,6557
1,179.0,0.0559,179.0,3917
1,99.0,0.0306,99.0,3680
1,99.0,0.031,99.0,4468
1,239.0,0.0416,199.0,837
1,239.0,0.0271,239.0,2877
0,179.0,0.0067,179.0,5813
0,179.0,0.0312,179.0,3288
0,298.0,0.02,298.0,1882
0,179.0,0.0222,179.0,1538
0,367.5,0.1185,159.0,2765
0,259.0,0.0728,99.0,4328
0,139.0,0.022,139.0,466
1,20.0,0.0026,419.0,3339
1,99.0,0.008,99.0,3518
0,159.0,0.0364,159.0,4044
0,119.0,0.0338,119.0,4233
0,199.0,0.0199,278.0,3105
1,99.0,0.012,99.0,2064
0,179.0,0.0272,179.0,6205
1,80.0,0.0142,99.0,2578
1,278.0,0.0298,99.0,1789
1,169.0,0.028,99.0,2256
1,99.0,0.0126,99.0,3212
1,199.0,0.0387,199.0,1172
0,139.0,0.0101,139.0,2126
0,139.0,0.0133,139.0,2412
1,199.0,0.0334,199.0,2382
1,258.0,0.0417,258.0,527
0,259.0,0.0274,319.0,6887
1,199.0,0.0311,99.0,2760
0,119.0,0.0153,119.0,600
1,159.0,0.0479,159.0,3392
0,80.0,0.0428,80.0,251
0,179.0,0.0192,179.0,3685
0,20.0,0.003,20.0,1093
1,159.0,0.0262,159.0,5356
0,139.0,0.0163,139.0,5856
0,219.0,0.0245,219.0,249
1,159.0,0.0362,159.0,6298
1,139.0,0.0147,139.0,5862
1,129.0,0.0509,119.0,3863
0,100.0,0.0091,100.0,7425
1,209.0,0.0635,239.0,1499
1,179.0,0.0388,179.0,1927
0,139.0,0.0152,139.0,40
0,80.0,0.015,80.0,2981
1,278.0,0.0357,179.0,7442
1,179.0,0.0208,179.0,4692
0,159.0,0.0435,159.0,4507
1,109.5,0.0226,20.0,299
0,80.0,0.0171,80.0,4090
1,139.0,0.0318,139.0,749
0,159.0,0.0392,159.0,3075
0,99.0,0.0072,278.0,3795
1,179.0,0.0404,99.0,5209
0,139.0,0.0288,139.0,153
1,139.0,0.0619,139.0,5657
1,139.0,0.0093,139.0,5353
0,179.0,0.0211,179.0,1989
0,159.0,0.0229,159.0,3703
1,99.0,0.016,99.0,3025
0,139.0,0.0211,139.0,6788
1,119.0,0.0284,119.0,5946
0,199.0,0.0277,159.0,1179
1,239.0,0.0373,239.0,2417
1,159.0,0.0133,159.0,4396
0,80.0,0.022,80.0,7458
0,139.0,0.0141,139.0,6824
1,219.0,0.0238,219.0,4838
1,199.0,0.0237,199.0,1946
0,99.0,0.0285,99.0,278
0,119.5,0.058,20.0,6480
1,99.6667,0.0771,139.0,754
1,169.0,0.028,199.0,7155
0,169.0,0.0243,199.0,3835
1,119.0,0.0261,119.0,5647
1,219.0,0.021,219.0,861
1,119.0,0.0057,80.0,1796
1,258.0,0.0133,258.0,6207
0,139.0,0.0143,139.0,6510
0,119.0,0.0089,139.0,4649
1,99.0,0.0227,99.0,2638
0,179.0,0.0134,99.0,3293
0,318.0,0.0501,258.0,2913
0,178.6667,0.1199,119.0,4544
0,99.0,0.0118,99.0,4771
0,259.0,0.0402,259.0,5246
0,199.0,0.0256,199.0,4012
1,139.0,0.0193,179.0,4436
1,139.0,0.0571,159.0,4496
0,139.0,0.0093,199.0,6552
1,149.0,0.0374,199.0,1154
1,258.0,0.0322,258.0,6614
0,139.0,0.0116,139.0,4394
1,159.0,0.0177,99.0,5461
1,119.0,0.0123,119.0,2399
0,99.0,0.011,99.0,6627
1,139.0,0.0149,139.0,6420
1,99.0,0.0106,99.0,6162
0,139.0,0.0221,139.0,2949
1,179.0,0.019,179.0,4197
1,109.0,0.0187,99.0,396
0,179.0,0.0126,179.0,576
1,199.0,0.0161,100.0,1432
1,259.0,0.0408,259.0,6683
0,199.0,0.0415,199.0,6799
0,159.0,0.0238,139.0,6249
0,99.0,0.0124,219.0,5082
1,179.0,0.091,179.0,6642
0,178.5,0.1123,99.0,2875
0,80.0,0.008,139.0,2128
1,89.5,0.0539,80.0,6692
0,80.0,0.0222,80.0,6960
0,199.0,0.0145,199.0,4304
1,139.0,0.0261,139.0,7259
0,179.0,0.0393,179.0,5907
0,139.0,0.017,139.0,4309
0,129.5,0.0174,179.0,1052
0,129.0,0.0396,159.0,4311
0,179.0,0.0128,179.0,4131
1,279.0,0.007,20.0,456
0,319.0,0.008,399.0,599
0,139.0,0.0245,139.0,5888
1,459.0,0.0116,339.0,4302
0,80.0,0.0115,219.0,7175
1,119.0,0.0127,119.0,102
1,258.0,0.0258,258.0,370
1,298.0,0.0302,298.0,4293
0,80.0,0.0181,80.0,2867
1,139.0,0.0139,99.0,2383
1,179.0,0.1079,179.0,584
0,99.0,0.0069,99.0,6173
1,179.0,0.0171,179.0,7502
0,199.0,0.0322,199.0,4988
1,159.0,0.016,159.0,935
0,139.0,0.0781,99.0,5127
0,379.0,0.0561,379.0,4598
1,99.0,0.0167,99.0,4499
0,179.0,0.012,179.0,4428
1,159.0,0.0159,159.0,3914
1,109.5,0.0267,139.0,3542
1,159.0,0.0193,159.0,6687
1,99.0,0.0226,99.0,20
1,258.0,0.0125,139.0,579
0,179.0,0.0208,179.0,6731
0,129.0,0.0472,119.0,1959
1,99.0,0.0198,99.0,7471
0,239.0,0.0089,239.0,260
1,80.0,0.0056,80.0,7069
0,149.0,0.0262,139.0,6662
1,20.0,0.0021,20.0,1743
0,159.0,0.0256,258.0,2565
0,238.5,0.0554,219.0,2823
1,80.0,0.0183,80.0,6100
0,179.0,0.0296,179.0,1965
1,219.0,0.0226,219.0,2644
0,199.0,0.028,199.0,5259
0,238.0,0.016,238.0,1153
1,219.0,0.0317,219.0,7034
0,139.0,0.0184,139.0,6750
0,139.0,0.0274,139.0,2306
1,119.0,0.0102,119.0,3180
0,179.0,0.0296,179.0,2413
1,179.0,0.0136,179.0,3984
1,139.0,0.0139,139.0,4682
1,159.0,0.0285,258.0,7478
1,298.0,0.0679,298.0,5710
0,99.0,0.0219,99.0,487
1,119.0,0.0138,119.0,4474
0,139.0,0.0218,179.0,544
0,338.0,0.029,338.0,3633
1,179.0,0.0497,179.0,6975
0,179.0,0.0153,179.0,2637
0,99.0,0.0181,99.0,6320
1,179.0,0.0224,179.0,7324
1,199.0,0.0357,199.0,6944
1,278.0,0.0557,278.0,1333
1,259.0,0.0277,259.0,4080
0,228.5,0.0521,238.0,1560
0,179.0,0.0467,179.0,2360
1,169.0,0.0401,159.0,1302
1,139.0,0.0172,139.0,6751
0,199.0,0.0183,199.0,2397
1,100.0,0.0171,100.0,3120
1,139.0,0.0333,139.0,3301
1,179.0,0.0467,179.0,3876
1,149.0,0.0338,159.0,6045
1,268.0,0.057,179.0,2061
0,199.0,0.0447,100.0,3248
0,179.0,0.0045,179.0,3267
0,278.0,0.0203,278.0,5540
0,199.0,0.0179,179.0,2499
0,99.0,0.0094,99.0,77
1,278.0,0.0573,298.0,6135
1,179.0,0.0322,179.0,5739
0,139.0,0.0524,99.0,2440
1,278.0,0.0338,278.0,1440
1,278.0,0.0363,278.0,4556
0,298.0,0.0266,397.0,6934
0,139.0,0.0233,139.0,5074
0,119.5,0.0318,159.0,2319
1,80.0,0.0155,80.0,3183
0,219.0,0.0402,219.0,5698
1,179.0,0.0219,119.0,6374
0,199.0,0.0133,199.0,7591
1,179.0,0.0153,179.0,4378
0,80.0,0.0127,80.0,1281
0,238.0,0.0204,238.0,5708
0,109.5,0.0358,139.0,248
0,239.0,0.0245,239.0,4106
0,99.0,0.0218,99.0,4202
1,179.0,0.0166,179.0,2546
1,179.0,0.028,179.0,649
1,219.0,0.0454,219.0,5134
1,99.0,0.0132,99.0,3166
0,139.0,0.0274,139.0,367
1,119.0,0.0119,119.0,4905
0,188.5,0.0379,139.0,3137
1,239.0,0.0283,239.0,461
1,199.0,0.0074,199.0,3544
0,99.5,0.0236,80.0,2163
0,139.0,0.0139,139.0,695
1,179.0,0.0092,179.0,6853
0,119.0,0.0096,119.0,2130
1,179.0,0.0401,219.0,2260
1,179.0,0.0382,179.0,5909
1,238.0,0.0372,238.0,1529
0,80.0,0.04,80.0,316
1,139.0,0.0105,139.0,703
0,169.0,0.07,159.0,2309
0,199.0,0.0329,298.0,7280
1,179.0,0.023,179.0,3815
1,279.0,0.007,279.0,3017
0,119.0,0.0141,119.0,7080
0,99.0,0.0306,99.0,4798
1,99.0,0.0091,99.0,7407
1,179.0,0.012,139.0,6104
1,119.0,0.0188,119.0,3681
1,99.0,0.0305,99.0,978
0,169.0,0.0961,199.0,1816
0,219.0,0.0291,219.0,2583
0,139.0,0.0457,159.0,5346
0,139.0,0.0786,139.0,6787
1,139.0,0.0199,159.0,5025
1,139.0,0.0244,119.0,5392
0,99.0,0.0084,99.0,6994
1,239.0,0.0505,239.0,7517
1,179.0,0.0399,179.0,5528
1,219.0,0.0226,219.0,797
1,99.0,0.0285,99.0,3565
1,139.0,0.0119,139.0,1606
1,99.0,0.016,80.0,1942
1,119.0,0.0271,99.0,5747
1,497.0,0.0186,418.0,3153
0,139.0,0.0093,159.0,384
1,119.0,0.0089,119.0,2986
0,119.0,0.0219,119.0,3345
1,119.0,0.0132,119.0,5775
1,80.0,0.0115,80.0,1149
0,238.5,0.0179,199.0,15
1,198.5,0.1921,298.0,7058
0,258.0,0.0227,139.0,2414
0,159.0,0.0139,159.0,4664
1,219.0,0.0342,219.0,1910
0,119.0,0.0407,139.0,4513
1,139.0,0.0079,139.0,4822
1,139.0,0.0079,139.0,6707
1,99.0,0.0095,99.0,652
1,159.0,0.0283,159.0,2947
0,159.0,0.0291,100.0,4765
0,179.0,0.0397,179.0,1157
0,80.0,0.0049,199.0,1459
0,259.0,0.0182,259.0,6262
1,238.0,0.0136,238.0,2954
1,109.5,0.0176,139.0,4631
1,99.0,0.0272,99.0,5978
0,90.0,0.018,139.0,6093
0,179.0,0.0128,179.0,3008
1,219.0,0.0147,139.0,1707
0,139.0,0.0225,139.0,2153
1,139.0,0.0156,99.0,723
0,80.0,0.0076,80.0,2956
