Key_1_1,landingPos,firstSaccLen,P2stFixation
4694,63.6946,217.0052,0
6990,6.3246,107.5186,0
803,57.8662,278.2175,1
822,6.0828,149.1208,0
6077,95.0842,385.5208,0
4236,82.609,91.4289,1
7369,50.0849,110.5271,0
5902,37.0742,181.0532,0
6970,89.405,252.2623,0
7151,65.0,181.5991,0
1956,97.7663,701.9238,1
335,21.6391,100.3606,0
7546,57.0548,215.0145,0
1288,69.3542,177.5028,0
21,109.8954,124.0363,0
4899,85.8836,243.4184,0
1678,88.1036,47.8539,0
349,61.7191,142.5175,0
4073,76.6551,577.1449,1
1885,51.9351,494.3099,1
2185,39.6989,670.9257,0
1124,59.6657,67.9283,0
6688,75.71,324.2873,0
3212,75.898,254.9338,1
6329,93.0013,120.2341,0
507,115.0174,146.1677,0
4579,44.2069,94.0479,1
6699,51.0906,95.4005,0
6221,38.7072,236.9346,0
748,39.6138,101.2978,1
1185,126.5948,217.7918,0
6339,20.1556,133.3604,1
267,35.3058,904.0781,1
917,66.9104,111.809,0
5687,80.878,87.4786,1
4570,75.2861,322.8258,1
3404,118.7824,132.0947,0
3596,72.4707,108.0104,1
1568,103.2727,147.2175,0
7316,100.1212,699.2582,0
2518,32.5346,131.0467,0
811,63.287,0.0,0
1804,38.6005,61.1249,0
3958,56.0357,118.4789,0
6871,33.5596,292.0616,0
1402,55.7584,449.2029,0
7276,25.4608,119.6046,0
5141,71.2215,719.9905,0
3333,53.0212,133.1362,0
6660,67.0019,290.0845,0
1131,76.5506,119.8593,0
985,86.1423,727.8958,1
5144,73.0565,170.8106,0
5278,77.429,381.147,0
3620,24.8294,211.6512,0
1180,37.8319,527.8582,0
5509,55.617,110.4095,0
595,122.2385,330.8266,0
6770,37.6464,59.5525,0
3436,86.8058,192.5104,1
1265,8.0623,124.291,0
197,50.5964,133.7881,0
4576,63.2456,285.0952,0
3917,21.3776,0.0,1
2999,39.2237,108.1665,0
4559,107.4209,125.2557,1
1178,54.8293,100.08,0
611,46.9574,129.3136,1
6268,84.4408,147.0077,0
7292,101.7767,151.5074,0
2752,58.5235,258.0237,0
3397,22.2991,0.0,0
6087,69.5288,200.3902,1
662,85.0015,159.8132,1
5082,41.2311,288.8706,0
4299,74.6324,178.9839,1
4673,53.912,90.118,0
3884,44.0454,152.0206,1
1893,73.1095,112.641,1
4134,76.1183,157.2657,0
6178,137.3909,201.1523,0
1905,56.932,185.0547,0
1624,66.6202,97.6371,0
7522,93.2269,139.0081,0
5374,55.0091,215.3073,0
527,125.7945,321.5603,0
4245,51.7904,245.7931,0
102,71.8766,162.5,0
4929,20.4022,103.5809,1
7097,24.6678,197.31,0
5685,26.6833,226.7355,1
2057,39.1472,230.9248,1
3054,70.7407,74.8081,1
2926,121.062,206.5871,0
6652,66.0095,382.0239,0
6564,75.5844,95.0118,1
1771,62.1772,338.6333,0
1838,44.7269,581.5325,0
4401,114.4225,159.7537,0
6074,99.5013,100.9022,0
1137,41.3824,100.7782,1
259,90.5207,0.0,1
5799,79.511,134.0009,0
1024,65.5534,183.807,0
6053,70.445,269.5116,1
5828,89.0056,408.5893,0
6495,87.0776,213.7341,1
5913,62.5799,231.0779,0
6335,69.7209,387.3296,0
1645,29.3002,413.2242,1
2909,33.6823,181.8193,0
6305,8.5,133.515,1
2572,81.8917,144.0139,0
5733,19.6787,109.859,1
189,85.9956,266.9724,0
1398,27.8657,653.3062,0
5058,124.7528,846.3879,0
6874,18.3576,272.1659,0
2399,90.5014,147.5305,0
2146,38.8233,199.01,0
7005,93.7723,150.3105,1
6437,57.6758,92.5662,0
7261,143.9601,169.105,1
5781,53.584,437.0309,1
3685,44.95,380.5,1
7248,60.531,125.3236,1
1533,10.0623,227.0666,0
5217,57.7235,86.4653,0
6114,30.6472,91.9837,1
1345,125.2248,598.7088,0
6982,80.8857,276.0041,0
4099,34.5579,281.2708,1
6977,77.0211,534.4083,0
3969,67.3238,310.8641,1
1996,82.0549,153.4829,0
7187,38.8973,161.3459,0
6002,31.3129,152.5524,0
5378,47.5184,287.007,0
6858,25.9326,175.6822,1
2137,45.8939,167.5,1
578,4.0311,42.0268,0
2200,40.3268,0.0,1
2978,166.6208,207.2981,0
4207,21.7083,11.5974,0
3471,51.6624,312.9077,0
912,102.1494,244.2396,1
6661,51.2957,251.2195,0
216,32.28,212.9941,1
5437,69.0,0.0,0
7592,44.365,40.5278,1
5814,26.2488,94.5939,0
5079,128.0625,268.0532,0
1561,72.092,163.833,0
3414,35.8504,28.6356,1
4477,118.0519,596.4229,0
377,96.251,264.8703,0
3675,11.7047,125.03,0
1512,91.444,159.8624,0
1384,99.1476,254.6566,0
7576,87.9318,66.191,1
5745,58.9428,99.8624,0
6088,169.5361,178.1327,1
241,79.6571,84.8896,0
2708,91.6106,144.8447,1
2683,92.5122,183.5824,0
1591,45.722,58.5085,0
4255,73.0548,114.4749,0
301,70.7107,186.6936,0
1089,43.2695,87.0919,1
3157,40.5247,64.438,0
1021,89.405,609.5697,0
5646,35.3871,114.6571,1
5331,31.9453,213.7832,1
2905,85.1499,251.584,1
3020,38.7072,536.28,0
4751,25.5441,108.4735,0
1690,204.925,138.067,1
6391,54.9181,145.0078,0
6929,115.5692,331.3174,0
2322,115.5725,372.9786,1
3959,47.8017,103.7654,1
873,52.024,65.5477,0
1951,98.6534,180.2776,0
11,29.0689,243.6658,0
6172,29.4364,249.1154,0
1397,34.442,221.6529,0
6773,46.6181,147.5686,0
3925,53.5023,133.291,1
1210,47.1832,260.0562,1
5070,35.5563,100.005,0
1447,35.3553,143.3954,1
3642,12.7475,142.4588,0
5453,55.0023,745.7883,0
572,206.1941,166.3348,1
5476,41.6473,81.2527,0
6986,73.2683,101.8148,0
5096,44.643,374.9567,0
3980,70.8308,105.5107,0
1003,51.7349,102.6158,1
881,25.1794,225.0,1
4528,60.5743,79.0,0
3563,19.3132,136.2654,0
3921,123.584,203.0185,0
3775,18.1728,72.6722,1
2578,129.6389,697.87,0
5914,45.1774,92.0666,0
3343,14.8408,157.0199,1
1112,156.0032,220.1113,1
6142,92.662,228.2898,0
5338,55.084,285.9204,0
6416,108.5288,119.0378,1
5046,59.6343,103.5338,0
4251,65.025,159.695,1
524,56.6789,685.4331,0
353,98.2357,684.4043,1
1992,28.1824,716.2096,0
7383,46.7386,178.0204,0
411,83.006,335.0302,0
5086,151.5033,433.9484,0
2516,51.5388,577.0366,0
6544,14.5774,57.0351,0
4258,110.8434,194.1449,0
2293,6.265,101.5111,0
746,40.651,103.9639,0
3044,102.9393,0.0,1
2755,53.8911,696.6208,0
3215,9.7082,166.1994,0
7414,65.7647,36.0555,0
185,43.5029,229.0851,0
416,50.0025,153.5814,0
937,91.2318,129.0475,0
6500,18.7417,122.3622,0
854,60.1103,108.0012,0
989,82.7103,0.0,0
654,79.5692,142.4649,0
7502,27.0647,698.8737,1
2084,72.892,110.7892,0
6631,67.7422,242.7396,0
6271,126.8,559.3954,0
83,46.8241,116.1034,0
4705,39.5,495.0253,0
5270,4.6098,188.5239,1
2647,80.7233,134.1538,1
7062,45.6426,116.5172,1
5410,108.7486,155.9623,0
4551,74.0827,176.5453,0
4902,88.285,89.1586,1
2160,125.6344,303.5927,1
1260,74.3808,44.3086,0
3355,62.6279,146.7762,1
6811,89.0084,273.4273,1
512,70.5284,263.5043,0
5667,120.5529,257.7023,1
413,28.9871,225.2204,1
1319,105.6835,246.3341,0
4053,31.5357,89.0056,0
5295,47.0106,802.0399,1
2745,33.989,70.0874,0
3356,75.6637,189.5554,0
5743,23.0489,188.0957,0
4431,131.4772,280.2789,0
6866,87.4714,671.1758,0
1917,1.118,62.5,1
2178,127.5353,78.729,0
6347,48.2131,194.1262,0
7387,138.6984,540.8597,1
4038,53.2658,107.7868,0
4879,9.3005,153.5985,0
6973,51.1297,69.5072,0
6011,52.6047,239.852,0
4681,156.2706,246.6577,1
4786,44.365,129.2256,0
176,37.6198,516.6297,0
5047,73.1198,176.8679,1
7155,31.3249,909.0903,1
5801,89.8735,129.8124,1
6144,48.013,444.8508,0
6957,187.131,176.5007,1
4278,67.3238,189.1593,0
4735,25.6125,415.5193,1
4581,14.6031,29.5169,0
2440,70.0071,0.0,0
2331,35.6721,89.7622,0
6069,48.0885,325.6662,0
1674,27.9732,261.4273,0
942,86.8936,228.6329,0
4758,102.0012,129.1908,0
3799,11.4018,490.4921,1
1914,44.5253,250.0125,0
4503,86.5592,494.2277,1
2504,38.6846,328.328,0
4708,60.0021,176.1817,0
5982,36.3456,59.3001,0
7357,11.9269,141.0035,0
7431,180.8183,0.0,0
205,84.8248,220.6111,1
6979,31.3249,117.0438,0
6427,103.7413,134.1827,0
6212,89.6354,548.7304,1
2316,77.0146,197.7321,0
7256,16.7705,129.4025,0
3873,85.8094,361.8304,1
4021,12.3491,154.0811,1
425,40.8044,88.8651,0
7422,17.7341,24.4591,0
1152,68.9366,304.9004,0
659,41.1461,106.6314,0
4295,51.87,121.1652,1
2723,97.2137,169.4993,0
1441,38.0296,114.7966,1
7411,24.026,103.1855,0
429,69.857,417.0432,0
6836,34.0037,102.2754,0
5380,97.5103,722.4586,0
3364,71.1425,184.808,0
5307,45.5439,283.5,0
2892,107.0946,258.2562,0
1206,46.0679,0.0,0
6055,76.5016,145.9495,0
7085,50.2842,106.0212,0
1499,30.9919,89.2749,1
4098,58.0345,182.1984,1
4002,26.6317,70.8978,0
5640,71.044,105.1594,0
5402,92.5864,118.0858,1
4996,12.1655,143.7228,0
6303,178.956,193.3966,0
2990,41.488,128.6283,0
7168,127.3548,155.7731,1
5487,68.4288,120.3007,1
505,35.8504,58.2151,0
209,63.2653,75.0267,0
6803,1.118,151.6344,0
1532,16.5076,129.0349,0
6242,20.7966,578.1544,0
5385,63.0496,110.9516,0
59,64.1892,278.6472,0
4840,50.2021,230.8533,1
4534,38.5519,138.1774,0
3662,69.0398,164.6853,0
3868,11.4018,177.5,1
2911,14.3265,174.0065,0
5075,78.9177,324.389,0
1908,112.8207,673.8043,1
3586,6.7082,224.5089,0
3641,72.3136,142.8504,1
5741,135.2793,242.8482,0
6083,24.4387,52.7873,0
2107,11.0114,195.9656,0
5931,46.5672,59.1714,1
1072,63.4232,204.6277,1
3773,96.1769,77.1524,1
4036,38.461,140.322,0
5235,40.5031,162.8381,0
4266,12.1037,49.0408,1
7093,16.6208,190.217,0
4776,89.4455,524.1612,1
5290,50.448,785.2625,1
2144,91.2688,128.2078,1
3189,57.3149,180.6557,1
173,69.1466,74.783,1
936,73.7869,147.1436,0
3362,91.0082,184.6652,0
7236,42.8077,146.113,0
5182,78.7813,224.6892,1
916,38.5519,470.0234,0
2380,47.9818,624.1194,0
7480,102.8944,165.9164,1
616,73.4983,177.5063,1
6417,54.6123,70.8414,0
4523,73.7309,255.5117,0
2467,69.9893,120.8139,1
4460,52.5095,85.0235,0
294,58.9513,369.3457,0
6807,83.6212,440.702,1
1797,71.36,111.4462,1
1195,63.6965,114.5524,1
1603,111.298,256.5239,1
5351,20.8387,0.0,1
6468,72.0069,58.826,1
5063,26.2774,216.0579,0
3079,44.0284,205.2182,0
3709,93.1585,215.0913,0
7124,49.1859,101.0371,1
641,84.7732,286.9203,0
6611,117.3456,0.0,0
6028,37.353,90.7662,0
826,29.4151,299.5004,0
1067,51.6575,480.837,0
4857,46.0353,166.554,0
751,76.0148,288.4441,1
5541,20.0998,83.5853,0
3038,116.0269,511.2128,0
1807,49.7041,111.8794,0
3273,45.7056,87.7055,0
390,2.0616,153.138,0
2952,53.7448,369.4117,0
1328,93.3769,373.5482,1
5775,85.0706,149.541,0
4616,47.7127,242.9532,1
5250,2.0616,0.0,1
4457,20.5244,476.5315,1
3924,69.9732,87.5857,1
263,121.4547,0.0,0
2475,46.7172,65.7742,0
4630,135.271,79.7762,1
3955,27.5045,134.3503,0
7013,80.3757,165.0273,0
3806,92.5122,262.3738,1
7068,63.1506,310.7129,0
3081,50.4876,139.3592,0
7069,60.5392,100.71,0
775,50.2021,136.5229,1
7495,192.0527,307.2344,0
6647,54.4518,112.641,0
3132,81.4632,157.0645,0
7192,24.3824,153.8343,0
1057,44.1192,347.5245,0
5099,60.1041,103.0837,0
5591,59.4243,401.2995,1
975,85.9069,338.634,1
7358,55.2268,791.207,1
2672,174.1845,788.9899,0
94,49.6488,133.3304,0
506,58.5769,193.9001,0
3377,11.5109,176.4086,0
2248,80.5248,103.3102,1
7497,48.1508,120.0333,0
5681,70.0161,146.5486,0
5147,14.7054,203.9314,1
6068,16.1941,221.338,1
273,64.3933,593.6449,0
2433,415.7193,0.0,0
455,51.1566,100.1299,0
3871,83.5374,0.0,0
6993,40.302,79.267,0
1365,79.0569,80.514,0
2227,73.7835,232.6414,0
409,106.0955,306.6537,0
6241,46.7386,122.5122,0
5651,10.1119,433.5049,1
1476,38.513,99.5452,0
2474,66.7083,106.5106,1
4741,68.1799,617.2773,1
196,61.5833,260.1216,0
2166,91.1112,451.1998,1
953,61.6117,109.7235,1
7459,27.5045,158.2561,0
776,15.9452,191.0792,0
4515,81.2604,117.1292,1
733,72.2772,418.0108,0
5863,40.3609,65.4083,0
1840,107.6952,331.0748,0
6821,100.9009,560.5644,0
2055,34.442,0.0,1
6509,89.3784,410.4878,1
2770,68.7314,183.5824,0
2019,46.2871,108.074,1
4042,23.3452,162.4815,0
4672,34.1797,153.9683,0
5354,45.3018,114.2147,1
1573,36.2836,178.9728,0
2831,121.7631,140.1508,0
750,60.7454,102.8324,1
5525,35.7526,563.1174,1
7071,18.7216,0.0,0
3937,101.0309,128.9079,0
4238,144.1284,503.0002,1
1474,45.412,192.7343,1
4160,70.2638,130.9599,1
2344,47.2705,609.3673,1
2023,38.6394,151.1101,1
1778,1262.7076,49.3077,0
7055,78.1937,198.1067,0
3117,75.3741,150.1408,0
2823,65.416,527.5192,0
5013,42.2966,282.16,0
3940,49.5202,85.9215,0
2387,76.0805,151.7243,1
744,50.1597,170.6436,0
2413,110.5226,130.0,0
6201,42.3232,147.6025,0
7587,45.6207,50.0,1
2351,64.0078,0.0,0
5045,20.3039,163.1908,0
3233,35.0143,109.0046,0
6790,64.0956,178.1579,0
1702,51.4782,112.5278,0
4296,76.6322,211.5325,1
3025,55.2381,420.4608,0
6511,34.5615,131.244,1
964,75.5017,53.3385,1
6435,66.3042,148.054,0
2724,112.7885,262.7304,0
6397,45.5,225.2521,0
5054,79.456,93.0658,0
4684,123.1463,181.6989,0
5512,69.7585,273.6585,0
4129,61.4858,145.555,0
6702,67.1193,186.6936,1
2102,25.224,127.0157,0
1971,44.9472,70.8308,1
1531,32.9621,55.0091,0
3373,83.8824,409.2007,0
2301,46.8855,164.0564,1
4348,73.2427,261.7007,0
5570,107.4477,220.5499,1
6493,19.3197,159.0786,0
1415,127.6411,268.3398,1
245,86.539,56.7979,1
7305,71.5629,206.8139,0
4034,32.6382,62.3699,0
6875,59.6091,423.317,1
53,25.8312,384.5208,0
6787,41.7612,124.0343,0
6935,69.9232,506.2964,0
5173,50.0899,113.1106,1
2611,41.003,79.6994,1
6413,56.7208,112.0379,0
7079,180.025,231.7159,1
4664,119.3241,277.6698,1
2032,65.5172,144.4896,0
6942,97.1867,197.7758,0
5088,98.8243,226.1084,0
6081,66.5451,220.0119,0
3922,42.7463,84.7835,1
3974,68.7841,90.0888,1
5191,16.3478,261.0306,0
6580,59.5504,165.7181,0
5567,96.2094,105.5746,0
6854,45.7957,147.7176,1
2967,38.3275,224.0006,1
6200,84.429,127.8329,1
4926,41.7642,79.5393,0
1632,54.0833,190.2374,1
5761,50.8035,52.2398,1
3982,87.0359,111.4955,0
436,17.2047,293.3586,0
5542,47.6471,73.7462,0
7081,56.0357,229.7401,1
4006,56.9956,201.3864,0
2099,8.7321,153.0033,0
7231,65.2323,439.848,0
124,110.7362,180.7374,1
6543,40.6356,101.3817,1
4017,42.8019,108.2647,1
3254,26.6552,583.1063,0
7131,12.51,134.6124,0
5851,34.0037,276.2413,1
3360,39.08,57.1183,0
5696,102.3536,591.0763,1
6617,82.5015,667.003,1
217,33.0492,261.1384,1
6633,37.0473,80.6489,0
4859,128.7643,437.907,1
4190,90.1027,180.2505,0
7266,49.135,355.777,0
1405,59.8874,68.2092,0
4957,41.6473,110.269,0
4279,27.7354,98.0778,0
3546,51.6236,194.2897,1
7160,47.8017,94.5,1
6797,27.0416,337.0059,0
2864,67.8122,306.6602,0
5787,54.0208,126.3576,0
341,82.4924,0.0,1
581,50.1423,1500.8852,0
1619,47.4236,830.1581,1
5451,32.9317,172.605,1
1463,97.4064,216.6576,1
6008,87.4371,217.6293,0
1666,62.5979,432.2962,1
5734,24.3824,202.8725,0
3500,57.4674,184.7444,0
1395,74.9833,95.5667,1
2955,41.1461,333.1625,0
716,49.1554,174.0065,0
140,17.5,192.7706,1
4958,80.5388,121.2642,1
7418,35.0143,560.7069,1
2278,81.3173,113.5099,0
7201,63.502,122.084,0
5080,85.5249,87.7909,1
188,84.5015,282.0044,1
6257,52.0865,77.5145,1
7110,35.107,102.5,0
6754,65.0308,160.5942,0
6793,50.4505,337.7965,0
1479,92.2198,104.2029,0
3538,64.7785,93.409,0
6363,45.3542,290.0108,0
5140,79.3426,81.9421,1
4323,45.2355,173.6412,0
1587,93.4933,569.4974,0
1117,89.6172,279.732,0
4332,48.2597,293.6707,1
6597,50.6285,240.9243,0
872,84.0372,164.5919,0
895,34.9285,306.6178,1
6627,18.6078,137.1313,1
6370,59.6091,171.2921,0
7060,43.5488,97.1249,0
1075,72.5155,103.5978,1
1115,72.9932,111.0011,1
7252,78.0,143.0079,1
3240,46.9521,156.4265,0
828,59.4811,85.0368,0
882,67.4166,62.2977,0
6657,65.025,72.7496,0
2174,88.1419,100.7,0
948,38.6588,93.7083,0
4059,75.1864,173.2404,0
1875,46.9814,152.618,0
5862,48.1923,63.6965,0
4240,40.8167,150.7987,0
3129,50.2195,69.9214,1
5942,190.5531,165.5483,0
5372,84.9264,107.5291,1
1450,43.3417,160.8112,0
4736,92.0122,160.5125,1
842,109.0562,424.5027,0
6834,17.2409,469.5905,0
6538,93.2872,52.0048,0
782,38.1477,38.513,1
1935,44.1814,281.7024,0
1261,33.6341,261.5134,1
6996,57.2451,0.0,0
6219,69.0453,95.1381,1
3308,37.9638,100.4502,0
4730,81.6854,119.501,0
3656,69.4262,345.0815,0
2914,44.4325,72.0347,0
1635,81.1542,53.0377,0
450,91.5492,353.5127,1
532,30.6023,357.0224,1
770,32.9014,273.7417,1
4626,23.9635,336.9054,0
2657,66.7701,320.3514,0
300,17.4642,251.8358,0
4093,52.5024,94.4696,1
2887,32.7758,156.5799,1
5463,116.9284,650.5115,1
1064,40.2492,208.6295,0
3877,90.8089,303.5807,0
7600,86.0145,535.1479,0
4037,33.5596,153.5489,0
2074,35.0321,140.1749,1
1963,88.6143,153.0033,1
4243,46.9574,105.6468,1
4410,36.5274,515.2439,1
518,105.0964,517.3918,1
1811,112.3054,99.7309,1
6662,57.6585,169.0067,1
785,63.6946,75.738,0
1376,128.0156,108.2243,0
7020,74.5268,67.3146,1
4520,31.1849,114.7661,0
2252,65.0308,200.3578,0
1471,139.5081,589.1657,1
3368,15.5724,200.7212,0
5911,111.6356,293.8388,0
711,63.502,106.0389,1
2451,8.0777,277.0451,1
2110,88.5508,220.096,1
4153,118.5116,297.1855,1
3320,96.5635,170.6605,1
728,98.2815,316.9941,0
1768,28.7141,132.8345,1
3017,34.0037,96.8104,0
5997,30.104,131.595,0
5067,15.7003,101.1558,0
4465,100.1761,142.7839,0
7478,26.1964,192.5234,0
1216,55.084,117.031,0
2503,40.4042,201.0025,0
295,55.0205,111.7229,1
6901,34.1211,178.5343,1
7413,89.5126,222.7128,0
5445,37.1652,291.8604,0
4507,48.0416,172.1228,1
218,16.5605,187.5167,1
7562,119.3838,241.0332,1
3230,94.921,104.0637,1
7043,44.5702,187.3533,1
7002,57.4282,168.2624,0
2793,51.5485,130.1816,0
4793,29.5296,72.8097,0
1626,61.5508,145.2902,0
310,83.4416,105.5616,0
1059,108.6393,565.0179,1
934,43.9318,213.5,1
7505,43.0116,724.0451,1
4490,61.9879,294.3234,0
586,33.1851,249.6643,1
6653,56.0803,169.9301,1
6513,74.3303,250.3003,0
4033,76.6975,208.4448,1
1616,65.4083,141.4929,1
19,58.1936,170.5029,0
1618,14.3265,169.713,0
6317,51.5388,527.2732,0
332,2.0616,236.0095,0
7518,17.6777,158.0008,0
5323,50.1224,75.634,1
305,36.5274,116.9027,1
1696,36.1836,86.338,1
2815,95.2169,70.0874,1
7048,66.4267,606.7967,0
4405,62.5,551.8066,1
6078,125.4402,177.7308,1
3894,63.3285,104.6721,1
6976,42.9214,66.5676,1
3528,85.4283,709.8204,1
5269,71.9253,130.6379,1
104,30.5941,190.1328,0
2327,20.8926,121.5504,1
6379,80.8409,120.204,0
2463,64.5329,346.061,1
2560,69.7298,364.6385,1
3239,49.8121,231.3115,1
1495,42.1545,265.4642,0
4633,94.6071,86.2235,0
3422,64.9788,263.6001,1
3509,111.9308,179.3941,1
1919,26.4008,74.8415,0
1459,110.7215,69.916,0
6892,28.8531,145.1043,0
664,42.8544,255.7953,1
5980,40.3887,170.5007,1
3527,48.7468,358.0,1
2450,77.6418,69.8033,1
2907,78.2943,214.9244,1
7484,91.6542,263.1316,0
6408,66.2118,166.4227,0
4588,100.2821,300.0504,1
1549,106.5106,119.7884,1
1362,54.8293,128.7808,0
5955,35.0036,127.7204,1
1143,34.1321,248.7217,1
2983,83.7929,82.1523,0
3792,53.5584,184.6957,0
2877,51.8773,100.505,0
2339,83.8287,214.3648,1
4256,41.5752,241.6676,1
78,10.5119,270.2041,0
5037,39.9406,62.9682,1
5262,40.4753,190.3004,0
3084,28.6225,41.3401,0
5419,23.2863,110.3913,1
736,30.6961,218.5967,0
6036,51.2445,86.9253,0
7548,21.2426,206.1965,0
417,103.64,645.9106,0
1281,87.9119,579.4588,1
2033,39.0512,188.6379,0
6987,1105.6322,949.6416,0
1341,121.0806,463.0432,1
673,79.1865,321.3973,0
3932,51.3517,168.1071,0
3927,36.0035,336.7911,0
7423,148.5842,140.8918,1
1422,75.6257,98.9949,1
4748,62.8908,88.5692,0
1648,46.8855,98.256,1
1244,45.6207,177.1899,0
6157,65.7742,151.2457,1
1113,28.3593,694.1623,0
6226,54.4541,69.3001,0
3861,89.4343,74.2428,0
4697,131.9185,222.3044,1
3271,20.3039,538.5165,1
3152,10.6888,582.5019,0
3080,74.4748,98.6268,1
5631,40.7922,65.1556,0
5460,66.2288,96.6049,0
491,125.501,245.5249,0
660,32.5,103.646,1
4353,28.0713,140.0143,1
5641,199.332,209.3735,1
6071,26.4433,60.92,0
2432,72.7083,276.7716,0
1670,74.7429,184.674,0
1876,95.3231,471.9476,0
2126,65.4866,109.8203,0
7216,66.1098,81.6241,1
4110,77.4661,102.5597,1
1078,148.6422,307.033,1
3999,81.3465,148.9178,1
395,76.0805,102.5,1
3169,78.7036,173.572,0
1246,70.8467,104.7485,0
3133,10.4043,120.6451,1
7487,53.033,92.0666,0
3382,41.6083,71.0634,0
7494,115.6601,125.4472,1
6861,12.3693,61.4919,0
1419,32.1753,387.6509,1
2883,47.8357,194.5045,0
1278,6.1033,1146.5217,0
5139,22.561,196.5407,0
3780,67.2625,227.5791,1
2970,85.4181,175.9638,1
5238,42.8077,144.5701,1
5927,78.9003,98.2306,1
4128,37.3263,96.791,1
4716,77.3175,127.3862,0
2917,107.5558,17.5285,1
1084,48.585,145.994,0
4763,40.1123,808.5303,0
6098,60.5991,338.0237,1
4517,25.6564,130.1768,0
3437,61.7454,226.7692,1
1985,165.5362,121.7508,1
1665,29.5169,131.344,0
2273,38.5,81.8917,1
6022,45.025,172.5493,1
7370,58.2495,68.5456,0
3520,100.0725,217.297,0
1457,101.5591,451.2084,0
6782,49.5429,129.387,0
6679,52.024,197.784,1
5564,75.2629,657.164,0
2635,55.3624,176.0007,1
2304,21.5523,76.4232,0
5887,116.9626,26.0048,1
5115,32.9014,191.9642,1
1649,88.6848,373.9923,0
7420,9.8995,117.6287,0
7009,39.538,392.3853,0
1159,18.8481,208.5599,0
3617,95.6831,123.0864,0
707,73.4864,0.0,1
3281,73.2888,600.4759,0
6673,110.0023,774.717,1
5500,49.1172,581.0491,1
5848,66.5902,287.4182,0
2235,36.2215,107.3231,0
1719,78.4761,444.1725,1
1257,118.0265,309.9823,1
2491,72.0642,550.8223,0
