eyemove/table_1_3.pupilDiamMax,eyemove/table_1_3.P1stFixation,eyemove/table_1_3.leavingPos,eyemove/table_1_3.Key_1_3,Key_0_0
0.3553,1,81.5245,252,3968
-0.0793,1,75.5265,6999,6519
0.0301,0,23.0054,1312,2515
0.2116,0,49.023,3264,2514
0.1085,1,24.6678,5256,5122
1.192,1,135.595,39,6015
0.0653,1,128.041,7362,1412
0.1205,1,33.0643,213,2404
0.0122,1,86.7828,2391,5169
0.0262,1,92.0272,6953,5636
0.2298,1,63.4606,4306,6940
0.2986,1,81.0386,3868,13
0.0565,1,75.8238,1561,1941
0.1215,0,6.5192,7179,2231
0.3303,1,63.9727,4656,6815
1.4802,1,45.0694,1212,5276
0.4109,1,14.5086,4479,5809
0.1427,0,90.7965,6164,4222
0.287,1,59.036,1019,6427
0.0369,1,87.0919,3343,5182
0.0941,1,100.6032,2034,3593
-0.0835,1,87.3284,1521,5173
-0.0018,1,53.7331,2363,5190
0.0368,1,54.2079,829,3174
0.0835,1,71.1126,7093,2882
0.1308,0,56.0089,4772,2903
0.1155,1,37.6431,5278,4374
0.0331,1,114.5698,1280,2186
0.2216,1,12.6491,1379,5308
0.2168,1,37.6431,7036,6623
0.1885,1,100.0425,4883,5923
-0.0331,1,48.5412,2009,1564
0.0462,0,69.5,1685,6886
0.0509,0,81.8551,7565,1283
0.3472,1,47.8566,6847,1447
0.0526,1,42.7551,2986,6609
0.0578,1,77.5403,131,552
0.0289,1,114.2464,1634,5736
0.122,1,32.249,3101,1039
0.0996,1,72.8869,4954,3506
-0.0162,0,4.7434,6924,818
0.275,1,72.2669,5764,5911
0.1816,1,187.7711,584,1861
0.4267,1,59.7537,2215,7027
0.9212,1,119.3995,4204,5373
0.1566,1,38.5811,5790,1875
0.2524,1,65.5172,2332,3516
0.0571,1,98.5609,2775,3218
0.123,0,10.5475,2648,1058
-0.0429,1,59.7181,5881,6430
0.1168,0,152.2145,3642,2595
1.3177,1,6.1847,2579,5737
0.029,1,129.001,5026,7405
-0.8588,1,96.6087,2972,1099
0.053,1,46.0109,3791,2355
0.3167,1,76.7919,424,60
-0.055,0,60.531,5183,1552
0.2418,1,21.36,1712,5202
0.1802,1,2.5495,4299,5700
0.1741,1,58.7388,4970,5496
0.1766,1,62.6618,6292,4210
0.1136,1,63.5472,4863,3995
0.2359,1,48.5232,491,5893
0.1165,0,106.2132,2326,1227
0.1029,0,71.0634,5312,7000
0.117,1,98.2344,1164,4500
0.1224,1,69.8176,6584,4653
0.1456,1,24.5051,1124,5108
0.2705,1,93.3916,1077,7095
0.5789,1,7.8102,3404,7272
0.1748,1,57.1074,5573,7453
-0.4219,1,106.9871,392,5136
-0.0104,1,37.8319,1742,6520
0.0212,1,60.2433,2612,2576
0.2222,1,100.0,2633,3731
0.0759,1,54.6443,6390,7197
0.0651,1,205.6557,3493,3130
0.1043,1,55.1543,2033,1202
0.2584,1,43.8634,4011,4884
0.263,1,77.3596,5668,1792
0.2051,1,17.088,6929,5441
0.2948,0,128.3793,3082,2838
0.2015,1,60.7968,4509,6396
0.074,0,76.6322,1988,943
0.2446,1,39.0512,2661,1782
0.028,1,47.289,1787,4870
0.2625,1,63.9414,2409,5330
0.3006,1,56.4845,3504,3855
0.066,0,73.8817,4879,1224
-0.1383,0,51.7929,6724,1569
0.1217,0,58.7388,7395,3754
0.1425,1,34.7635,385,6601
0.2061,1,66.1532,4831,517
0.1879,1,84.1724,7367,2865
0.1063,1,68.0165,3116,2351
0.1612,1,24.9098,4655,1020
0.1102,1,54.9409,4807,2858
0.1925,1,68.6385,6496,6702
0.0891,1,53.8934,92,1727
0.2116,0,61.0266,4320,1327
0.1096,1,104.3552,4232,1877
0.1126,0,39.0032,5263,913
0.231,0,130.0038,1261,7379
0.0088,0,6.5765,1611,6921
0.1912,0,122.0256,6401,5350
0.1529,1,65.307,7131,1739
0.3245,0,33.8711,5471,1032
0.0756,1,116.7101,5926,6999
0.3768,1,54.7403,5775,561
0.1615,0,69.527,1207,4339
0.0787,1,62.0181,1110,4269
0.0449,1,88.3233,6223,2550
0.3191,1,126.223,1638,4430
0.1138,1,72.0781,3079,3441
0.3276,1,32.6497,2307,5579
0.4446,1,102.4719,2642,6592
0.9595,1,67.1007,4786,1024
0.2347,1,65.1556,6531,3628
0.1038,1,20.7966,274,133
0.2953,1,80.4254,2809,4488
0.2011,1,78.1025,4154,5687
0.1348,1,40.3268,2401,3617
0.1556,1,79.6053,880,2752
0.0097,1,41.4276,4379,2642
0.0395,0,17.1026,1603,4411
0.1609,1,98.5812,6934,2447
2.1322,0,955.6627,5937,2456
0.2642,1,56.6613,7107,7576
0.1386,1,42.6058,5134,2509
0.4057,0,78.9335,3262,2310
-0.4376,1,41.6083,1278,7129
0.0699,0,103.0194,3378,6902
0.0708,1,127.548,3020,7327
0.1396,1,46.4866,3090,7225
0.0257,1,51.0221,1065,7533
0.3002,1,45.1054,4694,4019
0.2312,1,65.3644,2510,4420
0.1548,0,107.6894,6108,6722
0.023,1,83.0738,893,3206
0.0571,1,40.7063,6787,1298
0.17,0,81.4448,3702,2559
-0.0576,1,52.9646,1624,4318
0.1065,1,87.9119,2270,956
0.0342,1,77.1184,6535,7455
0.0882,1,82.8734,6864,1398
0.0319,1,53.0024,4932,5047
0.3163,1,20.9404,2829,267
0.1055,1,105.1309,3563,4030
0.1792,0,84.3282,2825,1860
0.0886,1,64.3758,2213,1977
0.0568,0,39.8121,1328,690
0.3381,1,35.8504,3390,5842
0.2337,0,212.5376,5053,3601
0.1875,1,71.044,4155,4346
0.2565,1,69.161,4474,5309
0.0406,1,56.7539,2042,1850
0.19,1,108.9151,3069,5999
0.3946,1,76.4739,4471,6672
0.0372,1,138.1611,3254,4275
0.0972,1,12.53,4356,2689
0.1303,0,87.5129,6886,6951
-0.9505,1,100.221,501,793
-0.0043,1,40.2492,2450,328
0.0987,0,57.0636,7204,6839
-0.0969,0,67.862,6405,3641
0.147,1,131.8048,7111,4741
0.0883,1,69.5288,7348,5324
0.3884,1,52.7684,6740,3089
0.2915,1,101.1496,332,2500
2.2779,1,84.5355,1089,4150
0.1279,1,72.0278,3500,1883
0.2583,1,86.977,6979,990
0.1576,1,67.8178,1456,1257
0.3507,1,46.5242,1547,6566
0.4262,1,65.025,5,4334
-0.0457,1,96.7846,1169,6130
1.1616,1,54.555,2701,181
-0.0072,1,107.379,5927,6502
0.0528,1,135.8354,1449,1071
0.0766,0,10.7935,7226,683
0.0761,1,110.7655,1105,4129
0.1437,1,15.6605,4673,1936
-0.0188,1,96.2873,5954,6053
0.0282,1,68.0147,646,309
-0.0595,1,51.923,2991,5846
0.5104,0,25.4951,6242,206
0.1217,1,64.8787,3386,4132
0.0139,0,90.8983,113,5215
0.0596,1,59.0021,909,1127
0.2776,1,47.8539,2468,774
0.0425,1,5.3151,932,5079
0.1177,1,2.5495,4903,5130
0.1805,1,85.4942,6907,5221
0.2718,1,64.3273,3586,4756
0.0724,0,34.4093,1585,3502
0.1861,1,27.7218,728,897
-0.2753,0,73.6817,349,6036
0.1038,1,58.1055,2342,4655
0.4215,1,86.885,4140,6567
0.2484,1,65.4599,359,1101
0.0073,1,36.1836,5510,2020
0.2556,1,31.8904,5455,7015
0.1468,1,130.5613,5011,6061
0.0674,0,126.0248,545,2364
1.0915,1,89.0351,1924,3234
0.1271,1,33.4701,3324,3422
0.1319,1,35.6931,1448,4948
0.0088,1,164.6489,6264,71
0.1043,1,32.5346,4618,1979
0.0756,1,38.4708,3928,3896
0.1713,1,73.3655,2651,7547
0.1698,1,58.1936,5094,6330
0.4189,1,28.6356,251,7044
0.0411,1,78.2304,4777,3023
0.1722,1,71.5489,1399,6486
0.0844,0,17.1026,6780,2274
0.0713,0,52.5595,1997,3320
0.1494,0,63.673,1876,5929
0.1271,1,60.6671,94,6530
0.213,1,83.0136,1874,3247
0.0345,1,52.9009,749,4596
0.0815,1,77.9295,3250,5530
0.0141,1,12.3794,6303,5959
0.1612,1,91.6106,7305,3378
-0.0544,1,47.3128,462,6415
0.2235,1,169.0362,3172,2827
0.0375,1,78.2192,1780,722
0.2524,1,123.8406,6926,776
0.2456,1,36.0902,4849,3222
0.2676,1,34.9857,7117,1465
-0.0065,1,65.5515,535,4944
-0.7115,1,55.581,1747,1848
0.0829,1,87.9119,5388,4286
0.114,1,91.571,5267,1106
0.9047,1,80.4006,2196,4645
0.1505,1,109.1662,4363,5197
0.1433,1,91.7347,365,4298
0.3265,1,11.2805,4720,5913
0.1039,1,70.9454,1354,425
0.2806,1,74.3135,2293,170
0.0736,0,83.8048,2931,6858
0.098,1,58.1808,5528,4453
0.0942,1,99.1426,1482,368
0.089,1,83.4341,447,1410
0.2386,1,60.1041,1686,6371
4.4917,1,59.8206,5173,5055
0.0559,1,84.7127,1141,4866
0.0803,1,59.5063,1327,4234
0.0901,1,30.7937,1869,2586
0.2401,1,2.5,5734,1627
0.0227,1,48.3994,2262,5630
0.1975,1,113.9265,5781,2709
0.038,1,30.6023,3532,2977
0.0085,1,63.6946,4947,3625
0.0997,1,30.9556,6330,5359
0.1097,1,45.853,1306,5057
0.1554,0,97.0271,6184,4247
0.3036,0,30.1081,591,2674
0.3006,0,19.5064,4012,2533
0.1456,1,14.0801,3017,7268
0.1906,1,101.1496,3306,4717
0.1275,1,27.0185,5300,1360
0.0158,1,57.9828,993,902
0.2727,0,54.8293,7532,3743
0.0343,0,75.1482,520,801
0.2313,1,71.332,2090,7195
0.1649,1,45.2217,5413,2804
0.2081,1,62.46,5527,651
0.4335,1,40.3268,6669,7521
0.1081,1,55.563,4985,3083
0.0166,1,175.3147,6220,1699
0.1128,1,69.5647,647,2914
0.5794,1,83.4086,702,7329
0.2544,1,110.7305,6227,1258
0.1763,1,34.2126,4191,3350
0.1278,1,85.4942,7044,6296
0.1327,0,92.716,5910,4419
0.0697,1,25.1098,4215,4726
0.1254,0,149.4021,7016,5550
0.7296,1,83.86,1835,3511
0.0333,1,31.9766,4018,4438
0.5071,1,72.3671,1700,113
0.1686,0,42.2966,755,3201
0.0805,1,112.0413,5659,5590
-0.3515,1,77.9006,4060,6981
0.1052,1,45.9619,471,3030
0.2004,1,27.0185,4536,5187
0.4466,1,20.7966,5610,7230
0.1001,1,34.2527,3633,3688
0.3855,1,97.0387,2865,2057
0.095,1,76.6437,4096,5902
0.1139,1,110.8197,1766,6674
0.1383,1,80.1265,426,6557
0.0268,1,17.4642,1391,3917
0.3245,1,80.5062,472,3680
0.1563,1,89.5391,2914,4468
0.0837,1,36.4177,3569,837
0.6462,1,87.5571,4552,2877
-0.0408,1,56.0201,4817,5813
0.1637,0,34.5254,614,3288
0.3155,1,34.2126,7527,1882
0.0158,1,48.5,3727,1538
0.374,1,101.4852,5077,2765
0.1882,1,20.4267,5067,4328
0.124,1,51.0882,777,466
0.7296,1,47.5395,3270,3339
0.0765,1,104.0156,5654,3518
0.2126,1,149.9483,7236,4044
0.1776,1,112.5389,4619,4233
0.1801,1,216.7793,6389,3105
0.0964,0,61.0,7350,2064
0.4262,1,40.9664,4576,6205
0.0057,1,86.5924,6894,2578
0.0954,1,94.2404,2567,1789
0.1332,0,101.5972,5821,2256
0.1852,1,12.0934,2708,3212
0.1166,1,79.511,4608,1172
0.0688,1,87.0919,1166,2126
0.106,1,13.2098,3166,2412
0.1761,1,129.5116,2993,2382
0.0925,1,67.0075,7336,527
-0.5825,0,66.6108,1115,6887
0.1216,1,63.6965,2111,2760
0.1572,1,78.1553,2329,600
0.3513,0,51.0025,7558,3392
0.0298,1,85.0368,4685,251
0.0359,0,41.1886,572,3685
-0.5261,0,75.1415,7018,1093
0.0853,1,68.4288,6409,5356
0.1617,1,15.1327,7137,5856
1.2217,1,71.1425,2703,249
0.0563,1,78.9715,1173,6298
0.1318,1,65.797,66,5862
0.0614,1,41.8629,2037,3863
0.1722,1,62.8828,464,7425
0.2228,1,78.0577,3472,1499
0.1023,1,26.5,7023,1927
0.1227,1,53.584,2675,40
0.1054,1,63.3344,3149,2981
0.1059,1,41.9076,5633,7442
0.1213,1,44.0028,4027,4692
0.0831,1,48.2312,1084,4507
-0.5668,1,167.5858,4624,299
0.1427,0,79.9062,2302,4090
0.0716,1,59.203,6579,749
0.3796,1,57.7256,105,3075
0.0798,1,119.9854,5101,3795
0.1682,1,65.4618,3804,5209
-0.0372,1,26.6317,5602,153
0.1829,1,13.0384,6171,5657
0.0431,1,21.4767,660,5353
0.1523,0,77.6032,1937,1989
0.1927,1,91.5669,3170,3703
0.1395,1,59.3633,5422,3025
0.1074,0,48.5412,7546,6788
0.1055,1,291.0017,562,5946
0.3585,1,76.0608,7013,1179
0.1321,1,47.2652,1473,2417
0.0531,0,63.2949,6423,4396
-0.0342,1,68.8204,7267,7458
0.1785,1,45.2355,5516,6824
0.0152,0,56.8001,6156,4838
0.0667,1,29.7532,2451,1946
0.3645,1,113.0542,2876,278
1.4612,1,85.8793,3698,6480
0.245,1,57.8014,7052,754
0.2327,0,99.4082,4329,7155
-0.0328,1,58.1055,3045,3835
0.0785,1,57.1424,5630,5647
0.1995,1,21.9659,2052,861
0.3877,1,161.28,6765,1796
0.0705,1,75.0417,5468,6207
0.1458,1,46.2196,4169,6510
0.1501,1,992.9363,3072,4649
-0.0044,1,28.9007,3728,2638
0.2667,1,85.5,1595,3293
0.1361,1,111.8939,7533,2913
0.0642,1,182.0391,1288,4544
0.1837,1,82.6075,2895,4771
0.9162,0,80.8084,1190,5246
0.2192,0,43.1393,7069,4012
0.3051,1,1228.9772,1652,4436
0.2496,1,85.4283,6620,4496
0.1386,1,36.5274,5884,6552
0.1822,1,28.5044,7037,1154
0.0802,1,194.4287,6181,6614
0.0971,1,67.6702,4688,4394
0.1729,1,65.3491,4348,5461
0.1753,1,91.5014,5846,2399
0.1129,1,39.6548,2520,6627
0.0796,0,61.6644,6280,6420
0.0007,1,67.4036,5511,6162
0.0776,1,10.6066,626,2949
0.1673,1,29.7321,6095,4197
0.1294,1,71.0862,4173,396
0.4221,1,30.3727,6664,576
0.0915,1,82.6514,6783,1432
0.0606,1,6.5192,6107,6683
0.3223,1,52.8607,5086,6799
0.106,1,148.0034,1178,6249
0.0997,1,24.5204,967,5082
0.211,1,23.3077,4098,6642
-0.0672,1,51.1004,1387,2875
0.0861,0,36.0035,6585,2128
0.2878,0,76.0805,6815,6692
0.2218,1,31.753,4791,6960
-0.0557,1,36.6231,2020,4304
0.115,0,45.2769,4477,7259
0.1876,1,46.6181,1649,5907
-0.0127,0,51.6841,4797,4309
0.3776,1,63.2001,899,1052
0.0258,1,47.8592,2613,4311
0.1385,1,77.1038,1551,4131
0.5345,0,380.1079,2912,456
1.748,1,34.5145,7397,599
0.0825,1,13.6473,803,5888
-0.0635,1,74.1485,7319,4302
-0.0143,1,51.6769,5359,7175
0.1167,0,57.7256,7446,102
0.0529,1,79.7621,2810,370
0.179,1,46.6503,4728,4293
0.4981,1,48.1923,1932,2867
0.1514,1,75.0417,811,2383
0.2943,1,37.0844,5740,584
0.1351,1,13.6015,4919,6173
0.0572,1,81.8566,214,7502
0.0825,1,72.6395,5715,4988
-0.007,1,46.9601,4462,935
0.1882,1,26.7301,2016,5127
1.4619,0,44.2945,6464,4598
0.2327,0,44.6794,6186,4499
-0.0395,1,51.0221,7497,4428
0.0513,1,39.2173,4877,3914
0.0188,1,61.0942,1202,3542
0.1814,1,103.6967,3793,6687
0.1031,1,56.8001,1484,20
0.2977,1,94.6956,4285,579
0.2167,1,93.6923,7581,6731
0.0507,1,66.5902,6636,1959
0.1961,1,40.2647,2698,7471
0.4192,1,74.6358,1489,260
0.1261,1,87.9673,260,7069
0.0766,1,70.0874,5488,6662
0.422,1,69.6024,4908,1743
0.8115,1,36.4177,5982,2565
0.0752,0,158.0388,2403,2823
-0.0574,0,49.5707,1203,6100
0.25,1,22.6991,2234,1965
0.9107,0,86.7078,4405,2644
0.0927,0,127.2331,7063,5259
0.052,1,87.5728,2077,1153
0.2431,1,62.1953,2599,7034
0.2141,1,49.6488,6032,6750
0.2284,1,12.2577,4674,2306
0.1294,1,161.868,5531,3180
0.054,1,40.0031,2145,2413
0.5216,1,126.7517,7484,3984
0.1871,1,64.9942,1254,4682
0.2839,1,171.8284,4013,7478
0.2213,1,88.0738,1515,5710
-0.0029,0,53.1154,4488,487
0.0807,1,63.0099,4724,4474
0.1753,1,13.4629,5634,544
0.0194,1,65.6601,3450,3633
0.3238,1,77.1038,1773,6975
0.1059,1,89.3784,609,2637
0.0437,0,28.0446,2668,6320
0.0427,1,21.587,2371,7324
0.2813,1,17.7553,5690,6944
0.0639,1,79.0142,3219,1333
2.336,1,11.7686,685,4080
0.0596,1,199.7261,6627,1560
-0.0563,1,68.4105,6296,2360
0.0787,1,65.0308,1205,1302
-0.0422,1,69.464,1748,6751
0.3241,1,23.585,6059,2397
0.1593,1,93.9388,6977,3120
0.0245,0,27.5772,2092,3301
0.1211,1,53.4439,2155,3876
0.2306,1,53.5023,2669,6045
0.0407,1,161.5193,4015,2061
0.0738,1,70.6045,6387,3248
0.7725,0,38.5519,2313,3267
0.0798,1,177.1278,7501,5540
0.1196,1,43.1567,901,2499
0.0327,0,105.1867,2235,77
0.1553,1,67.574,5507,6135
0.0763,1,152.0296,3462,5739
0.2562,1,210.9988,736,2440
0.2119,1,27.6632,7154,1440
0.0095,1,86.2279,139,4556
0.074,1,103.3247,4099,6934
0.0812,0,105.4336,540,5074
0.3553,1,43.5574,1946,2319
0.1047,1,49.4975,7331,3183
0.0734,1,31.5159,126,5698
-0.1532,1,32.423,3095,6374
0.1446,1,87.1966,1459,7591
0.223,1,1343.5316,2312,4378
0.0886,1,54.6717,2514,1281
0.1274,1,71.0282,6251,5708
0.0714,1,36.225,5663,248
0.0954,0,39.0032,4464,4106
0.2246,1,77.1524,2935,4202
0.0601,1,19.0919,442,2546
0.2091,1,10.5948,4809,649
0.0637,1,33.989,1557,5134
0.1788,0,2.8284,1853,3166
0.1401,1,1185.2396,5693,367
0.0799,0,46.8615,1659,4905
0.2235,1,52.7376,2940,3137
-0.0703,1,30.104,513,461
0.0487,1,85.92,2576,3544
-0.1413,1,107.5512,57,2163
0.2176,1,36.3077,4427,695
0.133,0,59.7599,6344,6853
0.065,1,57.3847,371,2130
0.1206,0,292.4111,813,2260
0.3512,1,99.9525,5141,5909
-0.0239,1,23.1625,3748,1529
0.4645,1,72.7616,5815,316
-0.1259,1,65.622,4957,703
0.2458,1,50.5099,7195,2309
0.0945,1,20.5061,1330,7280
0.1994,1,46.2871,4050,3815
-0.006,1,73.6817,1051,3017
0.0265,1,54.2333,7298,7080
0.3665,1,102.1225,2261,4798
0.0949,1,11.6726,7536,7407
0.0825,1,15.0,1576,6104
0.0686,1,64.0176,531,3681
-0.0013,1,75.8238,1877,978
0.1166,1,62.9325,5220,1816
0.3448,1,37.6962,6915,2583
0.1432,1,17.2192,1623,5346
0.2218,0,82.5121,1492,6787
0.117,0,49.5,1819,5025
0.1871,1,41.7433,4555,5392
0.1722,1,59.2558,6782,6994
0.342,1,51.5097,3570,7517
0.1395,0,32.311,5947,5528
0.0353,1,58.4123,1750,797
0.3645,1,24.3311,5074,3565
0.3329,0,48.8697,1688,1606
0.4255,1,113.554,2006,1942
0.3426,1,56.2005,6169,5747
0.3587,0,37.9111,3940,3153
0.033,1,66.4116,5249,384
0.1365,1,165.1802,4262,2986
0.1326,0,73.2547,336,3345
0.0681,0,31.0,4663,5775
0.2302,1,19.3132,7030,1149
-0.0408,1,44.0114,4395,15
0.1824,1,106.0,4803,7058
0.1696,1,81.0586,4911,2414
0.3011,0,111.0101,5892,4664
0.2122,1,126.2785,96,1910
0.0751,1,24.3824,758,4513
0.1426,1,136.0753,5716,4822
0.1436,1,111.5404,6998,6707
0.139,1,386.2062,3288,652
-0.0873,0,34.7131,6160,2947
0.0182,1,117.5936,6982,4765
0.1793,1,79.577,3238,1157
0.107,1,70.1142,7054,1459
-0.4219,1,53.782,3537,6262
0.1241,1,77.1654,6653,2954
0.0759,1,51.7035,5560,4631
0.3528,1,63.6573,196,5978
0.0208,1,81.5874,3126,6093
0.1955,1,78.7464,6347,3008
0.1681,0,58.2344,911,1707
0.0825,1,48.5412,2337,2153
0.1471,1,176.3094,2182,723
0.0261,1,95.7131,559,2956
-0.0122,1,55.4279,2383,3668
0.2891,1,70.6435,7352,2548
-0.0308,1,112.6144,6103,197
0.023,1,70.2567,6557,4529
