firstPassFixDur,meanFixDur,pupilDiamLag,pupilDiamMax,timePrtctg
199.0,199.0,0.9383,-0.0272,0.0432
139.0,139.0,0.2395,0.1525,0.0272
219.0,219.0,0.1396,0.1351,0.0338
139.0,80.0,0.3776,0.2671,0.0054
99.0,99.0,0.1968,0.1618,0.0214
199.0,159.0,1.011,1.3035,0.0159
338.0,169.0,0.0073,0.2458,0.07
298.0,298.0,0.0823,0.0143,0.0351
80.0,99.0,0.3266,0.2636,0.0138
139.0,139.0,0.0949,0.0073,0.0209
159.0,159.0,1.1726,0.7921,0.0307
99.0,99.0,0.8872,0.1812,0.0106
339.0,339.0,-0.3184,0.1386,0.0436
359.0,359.0,0.972,0.4335,0.0359
298.0,298.0,0.2546,0.1711,0.0466
278.0,159.0,0.2486,0.1331,0.0107
139.0,159.0,0.1875,0.143,0.0106
80.0,80.0,0.1352,-0.0088,0.0132
199.0,139.0,0.2076,0.1386,0.0093
139.0,159.0,0.1205,0.0915,0.0129
139.0,139.0,0.3931,0.014,0.0315
536.0,159.0,0.2802,0.2802,0.1067
99.0,99.0,0.2232,0.1507,0.0278
139.0,139.0,0.2322,0.1787,0.0115
337.0,112.3333,0.2485,0.2135,0.0686
199.0,199.0,0.1458,0.1168,0.0205
80.0,80.0,0.2037,0.1952,0.0039
219.0,219.0,0.3768,0.3623,0.0681
279.0,319.0,0.6525,0.4825,0.008
139.0,139.0,0.4533,0.1023,0.0234
120.0,120.0,0.0316,1.1076,0.0107
119.0,119.0,0.2729,0.2184,0.0122
139.0,139.0,0.253,0.25,0.023
278.0,139.0,0.4321,0.1636,0.0128
119.0,119.0,0.3083,0.2658,0.0215
159.0,159.0,0.2497,0.1537,0.0248
219.0,219.0,0.2141,0.1886,0.029
179.0,179.0,0.3516,0.2841,0.0192
99.0,139.0,0.1898,0.3988,0.0258
179.0,179.0,0.1595,-0.014,0.0249
80.0,80.0,0.1984,0.1054,0.015
397.0,219.0,0.1215,0.1855,0.0196
20.0,219.0,-0.1013,0.8257,0.0249
139.0,139.0,0.2002,0.1752,0.0142
159.0,159.0,0.2908,0.2923,0.0479
278.0,139.0,0.409,0.254,0.0144
99.0,119.0,-0.1019,0.0781,0.0114
139.0,139.0,0.1462,0.2052,0.0154
139.0,139.0,0.1315,0.0835,0.0119
139.0,80.0,0.1335,0.1625,0.0118
139.0,99.0,0.1306,0.1446,0.0069
99.0,99.0,0.2743,0.1129,0.011
199.0,199.0,0.4338,0.0313,0.0618
219.0,219.0,0.1296,0.1296,0.0338
99.0,139.0,0.7263,0.1978,0.0229
239.0,239.0,0.0997,0.1347,0.0172
159.0,159.0,0.2302,0.1107,0.0228
119.0,119.0,-0.0316,0.0184,0.0097
179.0,179.0,0.1711,0.1816,0.028
278.0,278.0,0.0681,0.1566,0.0307
159.0,129.0,0.0418,0.0258,0.0396
239.0,199.0,0.1649,0.1224,0.0199
219.0,109.5,0.188,0.231,0.0135
80.0,139.0,0.3931,0.125,0.0315
179.0,179.0,0.2416,0.1731,0.0192
219.0,219.0,0.8115,0.247,0.0353
139.0,159.0,0.419,0.162,0.0322
100.0,159.0,0.0437,0.0182,0.0291
119.0,119.0,0.2388,0.4038,0.0264
99.0,99.0,0.1347,0.0602,0.0071
318.0,159.0,0.1433,-0.0077,0.0232
99.0,99.0,0.0128,0.2083,0.0214
139.0,139.0,0.1978,0.0668,0.0125
219.0,219.0,2.7591,1.6561,0.0282
159.0,159.0,0.1644,0.2914,0.0204
219.0,219.0,0.2298,0.1853,0.0299
80.0,80.0,0.1989,0.0854,0.0163
139.0,139.0,0.162,0.275,0.0104
139.0,139.0,0.1787,0.0057,0.0118
179.0,179.0,0.2206,0.0841,0.0221
358.0,179.0,0.1802,0.0812,0.0448
139.0,139.0,0.7781,0.3716,0.0163
218.0,139.0,0.1033,0.1113,0.0139
279.0,279.0,0.7176,0.8061,0.0211
398.0,199.0,0.3085,0.3675,0.0211
159.0,159.0,0.1366,-0.0094,0.0186
139.0,139.0,0.1448,0.0533,0.0244
80.0,119.0,0.295,0.2165,0.012
398.0,199.0,0.1212,-0.0093,0.0572
199.0,199.0,0.6206,0.0936,0.0544
338.0,112.6667,0.1102,0.1102,0.036
179.0,109.0,0.3344,0.3104,0.0187
239.0,199.0,0.6206,0.1091,0.0544
99.0,99.0,0.1082,0.2812,0.0155
99.0,99.0,0.3438,0.2718,0.056
179.0,179.0,0.409,0.2525,0.0092
279.0,139.5,0.0387,0.0412,0.0231
298.0,298.0,0.3006,0.3006,0.017
258.0,258.0,0.0766,0.1986,0.0227
179.0,179.0,0.1955,0.1955,0.0128
159.0,119.0,0.2226,0.1136,0.0315
119.0,119.0,0.248,0.0845,0.0166
278.0,278.0,0.1469,-0.0096,0.0647
298.0,298.0,0.4978,0.0713,0.0444
119.0,99.0,0.419,0.1426,0.01
119.0,139.0,0.1432,-0.0073,0.02
99.0,99.0,0.1558,-0.1087,0.0143
99.0,99.0,0.2032,0.1572,0.0127
318.0,159.0,0.1643,0.2288,0.0571
99.0,99.0,0.3783,0.2178,0.0143
99.0,99.0,0.2949,0.2949,0.0419
179.0,179.0,0.1525,0.128,0.0351
199.0,199.0,0.1507,0.0682,0.0559
119.0,119.0,0.3464,0.2779,0.0246
99.0,139.0,0.147,0.116,0.0175
159.0,159.0,0.1433,0.0533,0.0116
239.0,239.0,-0.0422,-0.0422,0.0296
139.0,139.0,0.356,0.1661,0.1167
99.0,99.0,0.2895,0.066,0.0145
99.0,99.0,0.2213,0.1043,0.0225
80.0,80.0,0.2091,0.0345,0.015
278.0,278.0,0.1802,0.2297,0.0353
179.0,179.0,0.1206,0.0386,0.0201
219.0,219.0,0.2616,0.1856,0.022
397.0,132.3333,0.2891,0.2986,0.0451
238.0,219.0,0.2911,0.2891,0.0249
278.0,139.0,0.1518,0.1903,0.0286
99.0,99.0,0.1586,0.1556,0.0157
278.0,278.0,0.374,0.152,0.0448
139.0,139.0,0.0672,0.0957,0.0165
298.0,149.0,0.1212,0.0637,0.0528
99.0,99.0,0.3413,0.1458,0.0102
219.0,219.0,0.1741,0.1436,0.0345
238.0,238.0,0.1212,0.0637,0.0422
417.0,208.5,0.0803,0.2028,0.0734
240.0,99.5,0.2729,0.1719,0.0204
139.0,139.0,0.043,0.043,0.0301
179.0,89.5,0.3438,0.3438,0.1012
179.0,179.0,0.3161,0.2671,0.0102
259.0,259.0,1.2396,0.0736,0.0182
119.0,119.5,0.196,0.404,0.0354
199.0,199.0,0.2128,0.2338,0.0441
159.0,159.0,0.2327,0.0892,0.0132
159.0,159.0,0.2125,0.0375,0.0497
100.0,100.0,0.1378,0.3323,0.0225
80.0,80.0,0.4452,0.4267,0.0139
179.0,199.0,0.127,0.127,0.02
258.0,258.0,0.2418,0.1348,0.059
99.0,99.0,-0.0945,-0.0945,0.0306
159.0,159.0,0.663,0.023,0.0379
99.0,99.0,0.2492,0.2927,0.0166
199.0,179.0,0.4061,0.2521,0.0919
258.0,129.0,0.1247,0.1127,0.0742
80.0,80.0,0.4265,0.1325,0.0054
139.0,109.5,0.7263,0.1128,0.0361
139.0,99.0,0.0016,0.1201,0.0094
179.0,179.0,0.0047,-0.0408,0.0067
139.0,139.0,0.0293,-0.0107,0.017
99.0,99.0,0.29,0.2535,0.0309
99.0,99.0,0.0903,0.1433,0.0072
139.0,139.0,0.3507,0.0482,0.0195
199.0,199.0,-0.0433,-0.0433,0.0394
159.0,159.0,0.1053,0.0778,0.0215
159.0,159.0,0.3178,0.3523,0.0295
80.0,80.0,0.0971,0.2651,0.0118
80.0,80.0,0.4063,0.1268,0.0144
139.0,139.0,0.556,0.28,0.0175
119.0,119.0,0.1698,-0.0312,0.0374
119.0,119.0,0.0642,0.1097,0.0118
139.0,159.0,0.2768,0.3508,0.0206
258.0,258.0,0.1128,0.1728,0.0266
198.0,99.0,0.3547,0.2672,0.0385
139.0,139.0,0.314,0.314,0.031
159.0,159.0,0.6131,0.2126,0.0364
139.0,139.0,0.2449,0.0854,0.0446
259.0,259.0,0.2672,0.1452,0.0503
139.0,139.0,0.2083,0.1968,0.03
99.0,99.0,0.1023,0.1708,0.0123
238.0,139.0,0.3791,0.1846,0.0139
298.0,149.0,0.199,0.086,0.0655
139.0,139.0,0.0825,0.114,0.0093
238.0,238.0,0.2253,0.1818,0.0276
119.0,119.0,0.1786,0.1856,0.0235
559.0,458.0,0.6732,0.2482,0.0473
258.0,159.0,0.2685,0.8115,0.0256
139.0,139.0,0.3547,0.1422,0.027
179.0,119.0,0.1843,0.1838,0.0252
179.0,179.0,0.1946,0.1536,0.0172
99.0,99.0,0.2988,0.1038,0.0509
199.0,199.0,0.1033,-0.0092,0.0199
199.0,99.5,0.2198,0.1708,0.0339
80.0,99.0,0.2091,-0.0019,0.0186
219.0,219.0,0.2583,0.2343,0.0395
258.0,239.0,0.1174,0.0774,0.0245
139.0,259.0,0.126,0.062,0.0348
99.0,99.0,0.2482,0.1427,0.0106
139.0,139.0,0.1013,0.1123,0.0317
278.0,139.0,0.1665,0.0265,0.0329
80.0,80.0,0.3008,0.1493,0.0154
278.0,278.0,0.2671,0.1921,0.0186
120.0,120.0,2.1322,1.2322,0.0074
199.0,199.0,0.2777,0.1082,0.0231
438.0,438.0,1.8132,0.6347,0.027
159.0,159.0,0.1821,0.3791,0.0159
80.0,159.0,0.2265,0.1445,0.0106
119.0,119.0,0.3061,0.3301,0.0239
159.0,159.0,0.2636,0.0571,0.014
258.0,80.0,0.0753,0.0183,0.0119
238.0,238.0,0.0959,-0.0881,0.0477
99.0,99.0,0.327,0.154,0.0095
179.0,179.0,0.2271,0.1391,0.0107
219.0,219.0,0.3076,0.0506,0.0983
139.0,139.0,0.2703,0.2168,0.0267
99.0,99.0,0.147,0.0805,0.0125
99.0,99.0,0.1822,0.0822,0.0124
119.0,119.0,0.1327,0.1837,0.0142
219.0,219.0,0.494,0.106,0.0164
139.0,139.0,0.1136,0.2556,0.0198
139.0,109.0,0.0216,0.1006,0.0162
219.0,219.0,0.2085,-0.3515,0.0055
80.0,179.0,0.3394,0.2689,0.0218
99.0,99.0,0.1446,0.0646,0.0069
179.0,179.0,0.2647,0.0962,0.0178
80.0,80.0,0.1476,0.1761,0.0155
199.0,80.0,0.1167,0.1032,0.0085
358.0,179.0,0.2967,0.3222,0.0381
179.0,119.0,0.212,0.179,0.012
80.0,80.0,0.0411,0.0091,0.0114
199.0,199.0,0.1127,0.1187,0.0572
179.0,179.0,0.1621,0.1606,0.0102
239.0,239.0,0.1682,0.1467,0.0539
139.0,139.0,0.1787,0.0257,0.0118
99.0,99.0,0.3642,0.1437,0.0084
119.0,119.0,0.2133,0.2133,0.0159
139.0,139.0,0.0915,0.0415,0.0112
258.0,129.0,0.2487,0.1437,0.022
119.0,119.0,-0.1907,-0.1907,0.0126
99.0,99.0,0.2754,0.1104,0.0085
279.0,139.5,0.1356,0.0621,0.0313
80.0,80.0,0.3464,0.2449,0.0166
179.0,179.0,0.205,0.1955,0.0128
119.0,219.0,0.2056,0.0251,0.0152
179.0,219.0,0.2758,0.1653,0.0361
179.0,279.0,0.8442,0.9212,0.0424
238.0,238.0,0.8872,0.1427,0.0254
179.0,179.0,0.1708,0.1288,0.0222
99.0,99.0,0.1307,0.1442,0.0143
139.0,139.0,0.1871,0.2011,0.04
119.0,119.0,0.3797,0.2357,0.0139
338.0,169.0,0.1946,-0.0449,0.0325
119.0,119.0,0.1367,0.0427,0.0218
219.0,219.0,0.1729,0.0238,0.0244
338.0,169.0,0.4497,0.3317,0.0588
179.0,179.0,0.0592,0.0652,0.0195
258.0,258.0,0.2094,0.1309,0.0265
199.0,199.0,0.3768,0.3093,0.0618
179.0,179.0,-0.0406,-0.0406,0.0777
179.0,89.5,0.3207,0.1852,0.03
199.0,199.0,0.2758,0.1653,0.0328
119.0,119.0,0.1397,0.1852,0.0434
199.0,99.5,0.1872,-0.1413,0.0236
179.0,179.0,0.2487,0.2487,0.0662
139.0,139.0,0.2727,0.3302,0.0246
99.0,99.0,0.0869,0.1279,0.043
119.0,119.0,0.2198,0.0978,0.0203
159.0,159.0,0.3684,0.0289,0.0292
139.0,139.0,0.285,0.285,0.0348
179.0,179.0,0.3684,0.1289,0.0329
199.0,99.5,0.1752,0.1462,0.028
219.0,259.0,0.734,0.734,0.0065
99.0,99.0,0.2927,0.3047,0.0166
259.0,259.0,0.4215,0.272,0.0277
219.0,219.0,0.2769,0.0774,0.0559
119.0,119.0,0.2781,0.068,0.012
219.0,219.0,0.0617,-0.2753,0.0226
438.0,219.0,0.1821,0.2966,0.0293
159.0,159.0,0.1671,0.0321,0.0095
139.0,139.0,0.3045,0.1695,0.0182
857.0,428.5,0.3257,0.8252,0.1332
99.0,99.0,0.2388,0.4563,0.0219
139.0,199.0,0.55,0.3335,0.0235
338.0,159.5,0.2539,0.3339,0.0521
179.0,179.0,0.0795,0.052,0.012
80.0,80.0,0.0951,0.1916,0.0181
397.0,132.3333,0.3443,0.1538,0.0655
298.0,298.0,0.1166,0.0866,0.0261
139.0,139.0,0.3344,0.2659,0.0119
99.0,99.0,0.419,0.191,0.01
298.0,189.0,0.0775,0.094,0.038
80.0,80.0,0.1554,0.2954,0.008
219.0,219.0,0.9915,0.9915,0.0055
100.0,100.0,0.3303,0.0113,0.0225
179.0,89.5,0.403,0.1645,0.0448
159.0,159.0,0.3155,0.106,0.0107
238.0,179.0,0.0795,0.01,0.012
99.0,139.0,0.0173,-0.0287,0.0185
119.0,119.0,0.1176,0.0086,0.0244
139.0,139.0,-0.0023,0.0602,0.0149
219.0,219.0,0.1572,0.0742,0.0264
199.0,199.0,0.0437,0.0102,0.0364
99.0,99.0,0.406,0.164,0.0285
99.0,99.0,0.1755,0.16,0.0066
179.0,179.0,0.1812,0.1542,0.0183
238.0,238.0,0.2897,0.3507,0.0334
99.0,179.0,0.1057,-0.0338,0.0178
219.0,278.0,0.2643,0.2643,0.037
179.0,179.0,0.0377,-0.0538,0.0067
278.0,139.0,0.2902,0.2712,0.0344
159.0,189.0,0.1642,0.2227,0.0182
99.0,99.0,0.3061,0.0591,0.0111
139.0,139.0,0.0847,0.1757,0.02
238.0,238.0,0.1802,0.1767,0.0298
139.0,139.0,0.0838,-0.0052,0.0188
258.0,258.0,0.0073,0.1413,0.0534
119.0,119.0,0.4497,0.2222,0.0207
199.0,199.0,0.0526,-0.0124,0.0247
179.0,179.0,0.1388,0.0143,0.0219
119.0,119.0,0.0971,0.1856,0.0235
139.0,139.0,0.2477,0.2257,0.0163
139.0,139.0,0.2015,0.0465,0.0245
99.0,99.0,0.6429,0.3289,0.0313
119.0,119.0,0.2873,0.0403,0.0319
179.0,179.0,0.2236,0.2236,0.0353
119.0,119.0,0.2198,0.1783,0.0203
159.0,159.0,0.2327,0.0867,0.0268
179.0,89.5,0.1852,0.2227,0.0653
239.0,239.0,0.0377,-0.0268,0.0089
219.0,219.0,0.2908,0.2923,0.066
139.0,139.0,0.2633,0.0003,0.0247
259.0,179.0,0.0246,0.1201,0.0171
139.0,139.0,0.1342,0.0882,0.0142
139.0,139.0,0.267,0.253,0.023
199.0,179.0,0.1728,0.1903,0.0184
179.0,179.0,-0.1383,-0.0593,0.0216
139.0,139.0,0.3303,-0.0222,0.0312
119.0,119.0,0.4046,0.2886,0.0172
99.0,99.0,-0.0086,0.1224,0.013
159.0,159.0,2.9147,0.8267,0.0181
536.0,178.6667,0.0842,0.0642,0.1199
20.0,219.0,1.7931,0.1026,0.0423
438.0,199.0,0.3036,0.1316,0.028
199.0,199.0,0.054,0.0685,0.0329
219.0,219.0,0.0801,0.1296,0.0202
119.0,119.0,0.1469,0.1294,0.0277
139.0,139.0,0.1456,0.1041,0.0097
298.0,298.0,-0.0114,0.0216,0.0222
259.0,259.0,0.5117,0.1617,0.0303
99.0,99.0,0.1296,0.1796,0.0109
298.0,298.0,-0.0593,-0.2253,0.036
119.0,119.0,0.5104,0.5104,0.0213
219.0,219.0,0.5974,-0.5346,0.0178
119.0,119.0,0.0841,0.0841,0.011
278.0,139.0,0.0703,0.1468,0.0566
120.0,120.0,2.3196,1.6561,0.0154
99.0,99.0,0.2165,0.2781,0.01
199.0,199.0,0.231,0.2045,0.0123
239.0,239.0,0.0681,0.0296,0.0264
199.0,199.0,0.4939,0.2314,0.0341
259.0,259.0,0.6945,0.9595,0.0277
179.0,268.5,0.0971,0.0651,0.0498
139.0,179.0,0.2482,0.1567,0.0382
199.0,199.0,0.283,0.1465,0.017
219.0,109.5,0.3131,0.3651,0.0183
179.0,179.0,0.2758,0.1464,0.0295
139.0,139.0,0.1072,0.1462,0.0154
219.0,219.0,0.2062,0.0852,0.0318
139.0,139.0,0.2442,0.0417,0.0132
298.0,298.0,0.1723,-0.1552,0.053
99.0,179.0,0.2667,0.2667,0.0134
99.0,99.0,0.2988,0.1038,0.0509
159.0,159.0,0.4189,0.2228,0.0242
219.0,100.0,1.2187,0.5822,0.0091
139.0,139.0,-0.0169,0.0411,0.0198
278.0,139.0,0.1448,0.0563,0.0487
139.0,159.0,0.0195,0.0785,0.0321
159.0,239.0,2.9916,0.1941,0.0181
159.0,119.0,0.1254,0.1254,0.0102
179.0,179.0,0.1913,0.2028,0.0315
80.0,80.0,0.3603,0.2218,0.0222
119.0,119.0,0.3118,0.1448,0.0209
278.0,278.0,0.0989,0.0989,0.0285
418.0,418.0,0.0713,0.0753,0.0622
219.0,219.0,0.005,0.029,0.0113
219.0,219.0,0.327,0.098,0.021
219.0,109.5,0.2032,0.1572,0.0282
239.0,239.0,1.9801,1.6651,0.0402
179.0,179.0,0.082,0.0185,0.0283
80.0,80.0,0.1526,0.0261,0.0076
199.0,169.0,0.55,0.3335,0.04
119.0,179.0,0.2401,0.1086,0.0124
458.0,229.0,-0.0854,-0.1119,0.052
199.0,179.0,0.734,0.948,0.0045
179.0,179.0,0.3122,0.1212,0.0317
219.0,109.5,0.2751,0.0165,0.0485
338.0,169.0,0.0585,0.0445,0.0353
777.0,518.0,0.9767,1.4382,0.032
80.0,80.0,0.2873,0.1058,0.0214
99.0,99.0,0.1822,0.0887,0.0124
139.0,139.0,0.1138,0.0628,0.0229
258.0,258.0,-0.07,-0.1435,0.035
238.0,119.0,0.3878,0.0213,0.0365
179.0,179.0,0.3402,0.1592,0.0644
457.0,139.0,0.1523,0.2128,0.0164
199.0,199.0,0.0756,0.0811,0.0233
119.0,119.0,0.2137,0.1217,0.0057
119.0,119.0,0.2729,0.0914,0.0122
279.0,239.0,2.0375,2.0375,0.006
100.0,80.0,0.0756,0.0756,0.0048
598.0,458.0,2.582,2.582,0.1492
179.0,179.0,0.0817,0.0002,0.0252
298.0,298.0,0.0427,0.0437,0.0545
318.0,139.0,0.2401,0.1086,0.0097
199.0,199.0,0.1717,0.0847,0.0327
119.0,119.0,0.2062,0.0852,0.0173
219.0,109.5,0.2347,0.2347,0.0209
278.0,99.0,0.0417,0.0592,0.0094
159.0,159.0,0.0645,0.021,0.0352
99.0,99.0,0.1893,0.2428,0.0265
338.0,338.0,0.1952,0.2487,0.125
99.0,99.0,0.124,0.0015,0.0145
159.0,159.0,0.2369,0.2369,0.026
99.0,99.0,0.1335,0.248,0.0138
179.0,179.0,2.3481,1.3231,0.0326
139.0,139.0,0.1816,-0.0044,0.0318
199.0,199.0,0.9595,0.9595,0.0213
179.0,179.0,0.1427,0.1437,0.0196
139.0,139.0,0.5893,0.2853,0.0476
80.0,80.0,0.304,0.1855,0.0192
99.0,258.0,0.1875,0.146,0.0173
239.0,239.0,0.556,0.4335,0.0255
99.0,99.0,0.1212,-0.0893,0.0142
179.0,179.0,0.6157,-0.3803,0.0278
179.0,179.0,0.2282,0.0552,0.0129
219.0,219.0,0.3616,0.2496,0.0147
20.0,20.0,1.7995,0.4565,0.0056
80.0,80.0,0.2966,0.3776,0.0054
198.0,238.0,0.2813,0.1104,0.0393
219.0,219.0,0.2116,0.0996,0.0197
139.0,139.0,0.3023,0.1533,0.0437
99.0,99.0,0.3262,0.1507,0.0048
338.0,112.6667,0.2583,0.2188,0.0609
80.0,80.0,0.2636,0.0811,0.007
179.0,179.0,0.2379,0.0949,0.0269
139.0,80.0,0.55,0.2045,0.0095
239.0,239.0,0.2389,0.0984,0.0205
179.0,179.0,-0.2634,-0.0089,0.0326
119.0,119.0,0.2986,0.1096,0.0135
139.0,139.0,0.1531,0.0946,0.0279
239.0,239.0,0.0643,0.0223,0.0986
139.0,139.0,0.1606,0.2776,0.0079
179.0,179.0,0.2655,0.201,0.0111
458.0,229.0,1.0685,0.748,0.0115
139.0,139.0,1.0012,0.1942,0.0177
537.0,179.0,0.106,0.037,0.0402
199.0,199.0,0.5592,0.2162,0.0395
358.0,119.3333,0.3008,0.0383,0.0688
139.0,139.0,0.2895,0.105,0.0204
139.0,139.0,0.1042,0.2592,0.0139
119.0,119.0,0.522,0.522,0.0265
180.0,180.0,1.2396,0.0736,0.0127
179.0,179.0,0.5782,0.0802,0.0178
139.0,139.0,0.2768,0.3803,0.018
198.0,99.0,0.5514,0.0994,0.0837
99.0,99.0,0.1102,-0.0013,0.0106
179.0,179.0,0.3843,0.2343,0.0374
457.0,152.3333,0.4398,0.2608,0.1095
99.0,99.0,0.199,0.199,0.0218
199.0,199.0,0.171,0.147,0.0251
139.0,139.0,0.1029,0.0284,0.0112
198.0,99.0,0.105,0.2705,0.0495
139.0,139.0,0.2327,0.0867,0.0235
99.0,99.0,0.2931,0.1351,0.0069
139.0,139.0,0.0513,0.1033,0.0139
278.0,139.0,0.2938,0.0443,0.0251
119.0,119.0,0.4955,0.1615,0.0215
259.0,20.0,0.0441,-0.3369,0.0014
558.0,249.0,0.4211,0.4211,0.0377
80.0,80.0,0.2895,0.0556,0.0181
219.0,219.0,0.0736,0.0736,0.0271
119.0,119.0,0.0859,0.0404,0.0315
179.0,179.0,0.1693,0.0088,0.0275
159.0,159.0,0.1342,0.0952,0.0163
99.0,99.0,0.1366,-0.0094,0.0116
198.0,99.0,0.1468,0.1193,0.0403
337.0,112.3333,0.6398,0.1078,0.1074
219.0,219.0,0.2333,0.1313,0.0317
139.0,139.0,0.287,0.29,0.0434
239.0,159.0,0.0085,0.0395,0.0114
438.0,199.0,4.4917,4.4917,0.0123
119.0,119.0,0.2777,0.1087,0.0138
259.0,259.0,2.7606,0.9126,0.0341
378.0,106.3333,0.8315,0.948,0.008
159.0,159.0,0.3311,0.1071,0.0408
199.0,199.0,0.3684,0.0289,0.0365
179.0,99.5,0.2243,0.1698,0.0626
179.0,80.0,0.3095,0.0185,0.0163
99.0,99.0,0.3265,0.1125,0.0177
536.0,268.0,0.556,0.171,0.0676
518.0,219.0,0.7725,0.734,0.011
538.0,538.0,1.3664,1.7524,0.1267
238.0,238.0,0.1274,0.1274,0.0204
99.0,99.0,0.1795,0.2091,0.0186
338.0,169.0,0.2587,0.1802,0.028
379.0,379.0,2.2632,1.4717,0.0234
119.0,119.0,0.1319,0.0344,0.0223
238.0,238.0,0.0795,0.052,0.016
199.0,180.0,2.0375,2.0375,0.0045
199.0,199.0,1.3177,1.2407,0.0223
99.0,99.0,-0.0238,-0.0683,0.0108
179.0,119.0,0.1091,0.0831,0.0651
199.0,199.0,0.5007,-0.0053,0.0335
278.0,139.0,0.1433,-0.0097,0.0203
99.0,99.0,0.2699,0.0084,0.012
80.0,99.0,0.2253,0.0343,0.0143
159.0,159.0,0.5301,0.3796,0.0392
338.0,169.0,1.1346,-0.7869,0.0435
139.0,80.0,0.147,0.0805,0.0101
338.0,169.0,0.0526,0.0751,0.044
258.0,258.0,0.2565,0.107,0.0464
199.0,199.0,0.1661,0.0931,0.0113
179.0,179.0,0.3773,-0.0927,0.0866
179.0,179.0,1.4375,0.7725,0.0045
139.0,139.0,0.1167,0.0487,0.0148
80.0,80.0,0.304,0.0056,0.0192
338.0,338.0,0.0971,0.1771,0.0282
358.0,119.3333,0.2482,0.1427,0.0382
