pupilDiamLag,pupilDiamMax,timePrtctg,totalFixDur
0.9915,1.0005,0.0095,378.0
0.3329,0.3554,0.0136,159.0
0.419,0.162,0.01,99.0
0.0859,0.0539,0.0239,259.0
0.9383,-0.0272,0.0432,199.0
0.2395,0.1525,0.0272,139.0
0.1396,0.1351,0.0338,219.0
0.3776,0.2671,0.0054,80.0
0.1968,0.1618,0.0214,99.0
1.011,1.3035,0.0159,159.0
0.0073,0.2458,0.07,338.0
0.0823,0.0143,0.0351,298.0
0.3266,0.2636,0.0138,198.0
0.0949,0.0073,0.0209,139.0
1.1726,0.7921,0.0307,159.0
0.8872,0.1812,0.0106,99.0
-0.3184,0.1386,0.0436,339.0
0.972,0.4335,0.0359,359.0
0.2546,0.1711,0.0466,298.0
0.2486,0.1331,0.0107,159.0
0.1875,0.143,0.0106,159.0
0.1352,-0.0088,0.0132,80.0
0.2076,0.1386,0.0093,139.0
0.1205,0.0915,0.0129,159.0
0.3931,0.014,0.0315,139.0
0.2802,0.2802,0.1067,477.0
0.2232,0.1507,0.0278,99.0
0.2322,0.1787,0.0115,139.0
0.2485,0.2135,0.0686,337.0
0.1458,0.1168,0.0205,199.0
0.2037,0.1952,0.0039,80.0
0.3768,0.3623,0.0681,219.0
0.6525,0.4825,0.008,319.0
0.4533,0.1023,0.0234,139.0
0.0316,1.1076,0.0107,120.0
0.2729,0.2184,0.0122,119.0
0.253,0.25,0.023,139.0
0.4321,0.1636,0.0128,139.0
0.3083,0.2658,0.0215,119.0
0.2497,0.1537,0.0248,159.0
0.2141,0.1886,0.029,219.0
0.3516,0.2841,0.0192,179.0
0.1898,0.3988,0.0258,139.0
0.1595,-0.014,0.0249,179.0
0.1984,0.1054,0.015,80.0
0.1215,0.1855,0.0196,219.0
-0.1013,0.8257,0.0249,219.0
0.2002,0.1752,0.0142,139.0
0.2908,0.2923,0.0479,159.0
0.409,0.254,0.0144,278.0
-0.1019,0.0781,0.0114,119.0
0.1462,0.2052,0.0154,139.0
0.1315,0.0835,0.0119,139.0
0.1335,0.1625,0.0118,80.0
0.1306,0.1446,0.0069,99.0
0.2743,0.1129,0.011,99.0
0.4338,0.0313,0.0618,199.0
0.1296,0.1296,0.0338,219.0
0.7263,0.1978,0.0229,139.0
0.0997,0.1347,0.0172,239.0
0.2302,0.1107,0.0228,159.0
-0.0316,0.0184,0.0097,119.0
0.1711,0.1816,0.028,179.0
0.0681,0.1566,0.0307,278.0
0.0418,0.0258,0.0396,258.0
0.1649,0.1224,0.0199,199.0
0.188,0.231,0.0135,219.0
0.3931,0.125,0.0315,139.0
0.2416,0.1731,0.0192,179.0
0.8115,0.247,0.0353,219.0
0.419,0.162,0.0322,318.0
0.0437,0.0182,0.0291,159.0
0.2388,0.4038,0.0264,119.0
0.1347,0.0602,0.0071,99.0
0.1433,-0.0077,0.0232,318.0
0.0128,0.2083,0.0214,99.0
0.1978,0.0668,0.0125,139.0
2.7591,1.6561,0.0282,219.0
0.1644,0.2914,0.0204,159.0
0.2298,0.1853,0.0299,219.0
0.1989,0.0854,0.0163,80.0
0.162,0.275,0.0104,139.0
0.1787,0.0057,0.0118,139.0
0.2206,0.0841,0.0221,179.0
0.1802,0.0812,0.0448,358.0
0.7781,0.3716,0.0163,139.0
0.1033,0.1113,0.0139,139.0
0.7176,0.8061,0.0211,279.0
0.3085,0.3675,0.0211,199.0
0.1366,-0.0094,0.0186,159.0
0.1448,0.0533,0.0244,139.0
0.295,0.2165,0.012,119.0
0.1212,-0.0093,0.0572,398.0
0.6206,0.0936,0.0544,199.0
0.1102,0.1102,0.036,338.0
0.3344,0.3104,0.0187,218.0
0.6206,0.1091,0.0544,199.0
0.1082,0.2812,0.0155,99.0
0.3438,0.2718,0.056,99.0
0.409,0.2525,0.0092,179.0
0.0387,0.0412,0.0231,279.0
0.3006,0.3006,0.017,298.0
0.0766,0.1986,0.0227,258.0
0.1955,0.1955,0.0128,179.0
0.2226,0.1136,0.0315,238.0
0.248,0.0845,0.0166,119.0
0.1469,-0.0096,0.0647,278.0
0.4978,0.0713,0.0444,298.0
0.419,0.1426,0.01,99.0
0.1432,-0.0073,0.02,139.0
0.1558,-0.1087,0.0143,99.0
0.2032,0.1572,0.0127,99.0
0.1643,0.2288,0.0571,318.0
0.3783,0.2178,0.0143,99.0
0.2949,0.2949,0.0419,99.0
0.1525,0.128,0.0351,179.0
0.1507,0.0682,0.0559,199.0
0.3464,0.2779,0.0246,119.0
0.147,0.116,0.0175,139.0
0.1433,0.0533,0.0116,159.0
-0.0422,-0.0422,0.0296,239.0
0.356,0.1661,0.1167,139.0
0.2895,0.066,0.0145,99.0
0.2213,0.1043,0.0225,99.0
0.2091,0.0345,0.015,80.0
0.1802,0.2297,0.0353,278.0
0.1206,0.0386,0.0201,179.0
0.2616,0.1856,0.022,219.0
0.2891,0.2986,0.0451,397.0
0.2911,0.2891,0.0249,219.0
0.1518,0.1903,0.0286,278.0
0.1586,0.1556,0.0157,99.0
0.374,0.152,0.0448,278.0
0.0672,0.0957,0.0165,139.0
0.1212,0.0637,0.0528,298.0
0.3413,0.1458,0.0102,99.0
0.1741,0.1436,0.0345,219.0
0.1212,0.0637,0.0422,238.0
0.0803,0.2028,0.0734,417.0
0.2729,0.1719,0.0204,199.0
0.043,0.043,0.0301,139.0
0.3438,0.3438,0.1012,179.0
0.3161,0.2671,0.0102,179.0
1.2396,0.0736,0.0182,259.0
0.196,0.404,0.0354,239.0
0.2128,0.2338,0.0441,199.0
0.2327,0.0892,0.0132,159.0
0.2125,0.0375,0.0497,159.0
0.1378,0.3323,0.0225,100.0
0.4452,0.4267,0.0139,80.0
0.127,0.127,0.02,199.0
0.2418,0.1348,0.059,258.0
-0.0945,-0.0945,0.0306,99.0
0.663,0.023,0.0379,159.0
0.2492,0.2927,0.0166,99.0
0.4061,0.2521,0.0919,179.0
0.1247,0.1127,0.0742,258.0
0.4265,0.1325,0.0054,80.0
0.7263,0.1128,0.0361,219.0
0.0016,0.1201,0.0094,99.0
0.0047,-0.0408,0.0067,179.0
0.0293,-0.0107,0.017,139.0
0.29,0.2535,0.0309,99.0
0.0903,0.1433,0.0072,99.0
0.3507,0.0482,0.0195,139.0
-0.0433,-0.0433,0.0394,199.0
0.1053,0.0778,0.0215,159.0
0.3178,0.3523,0.0295,159.0
0.0971,0.2651,0.0118,80.0
0.4063,0.1268,0.0144,80.0
0.556,0.28,0.0175,139.0
0.1698,-0.0312,0.0374,119.0
0.0642,0.1097,0.0118,119.0
0.2768,0.3508,0.0206,159.0
0.1128,0.1728,0.0266,258.0
0.3547,0.2672,0.0385,198.0
0.314,0.314,0.031,139.0
0.6131,0.2126,0.0364,159.0
0.2449,0.0854,0.0446,139.0
0.2672,0.1452,0.0503,259.0
0.2083,0.1968,0.03,139.0
0.1023,0.1708,0.0123,99.0
0.3791,0.1846,0.0139,139.0
0.199,0.086,0.0655,298.0
0.0825,0.114,0.0093,139.0
0.2253,0.1818,0.0276,238.0
0.1786,0.1856,0.0235,119.0
0.6732,0.2482,0.0473,458.0
0.2685,0.8115,0.0256,159.0
0.3547,0.1422,0.027,139.0
0.1843,0.1838,0.0252,238.0
0.1946,0.1536,0.0172,179.0
0.2988,0.1038,0.0509,99.0
0.1033,-0.0092,0.0199,199.0
0.2198,0.1708,0.0339,199.0
0.2091,-0.0019,0.0186,99.0
0.2583,0.2343,0.0395,219.0
0.1174,0.0774,0.0245,239.0
0.126,0.062,0.0348,259.0
0.2482,0.1427,0.0106,99.0
0.1013,0.1123,0.0317,139.0
0.1665,0.0265,0.0329,278.0
0.3008,0.1493,0.0154,80.0
0.2671,0.1921,0.0186,278.0
2.1322,1.2322,0.0074,120.0
0.2777,0.1082,0.0231,199.0
1.8132,0.6347,0.027,438.0
0.1821,0.3791,0.0159,159.0
0.2265,0.1445,0.0106,159.0
0.3061,0.3301,0.0239,119.0
0.2636,0.0571,0.014,159.0
0.0753,0.0183,0.0119,80.0
0.0959,-0.0881,0.0477,238.0
0.327,0.154,0.0095,99.0
0.2271,0.1391,0.0107,179.0
0.3076,0.0506,0.0983,219.0
0.2703,0.2168,0.0267,139.0
0.147,0.0805,0.0125,99.0
0.1822,0.0822,0.0124,99.0
0.1327,0.1837,0.0142,119.0
0.494,0.106,0.0164,219.0
0.1136,0.2556,0.0198,139.0
0.0216,0.1006,0.0162,218.0
0.2085,-0.3515,0.0055,219.0
0.3394,0.2689,0.0218,179.0
0.1446,0.0646,0.0069,99.0
0.2647,0.0962,0.0178,179.0
0.1476,0.1761,0.0155,80.0
0.1167,0.1032,0.0085,80.0
0.2967,0.3222,0.0381,358.0
0.212,0.179,0.012,119.0
0.0411,0.0091,0.0114,80.0
0.1127,0.1187,0.0572,199.0
0.1621,0.1606,0.0102,179.0
0.1682,0.1467,0.0539,239.0
0.1787,0.0257,0.0118,139.0
0.3642,0.1437,0.0084,99.0
0.2133,0.2133,0.0159,119.0
0.0915,0.0415,0.0112,139.0
0.2487,0.1437,0.022,258.0
-0.1907,-0.1907,0.0126,119.0
0.2754,0.1104,0.0085,99.0
0.1356,0.0621,0.0313,279.0
0.3464,0.2449,0.0166,80.0
0.205,0.1955,0.0128,179.0
0.2056,0.0251,0.0152,219.0
0.2758,0.1653,0.0361,219.0
0.8442,0.9212,0.0424,279.0
0.8872,0.1427,0.0254,238.0
0.1708,0.1288,0.0222,179.0
0.1307,0.1442,0.0143,99.0
0.1871,0.2011,0.04,139.0
0.3797,0.2357,0.0139,119.0
0.1946,-0.0449,0.0325,338.0
0.1367,0.0427,0.0218,119.0
0.1729,0.0238,0.0244,219.0
0.4497,0.3317,0.0588,338.0
0.0592,0.0652,0.0195,179.0
0.2094,0.1309,0.0265,258.0
0.3768,0.3093,0.0618,199.0
-0.0406,-0.0406,0.0777,179.0
0.3207,0.1852,0.03,179.0
0.2758,0.1653,0.0328,199.0
0.1397,0.1852,0.0434,119.0
0.1872,-0.1413,0.0236,199.0
0.2487,0.2487,0.0662,179.0
0.2727,0.3302,0.0246,139.0
0.0869,0.1279,0.043,99.0
0.2198,0.0978,0.0203,119.0
0.3684,0.0289,0.0292,159.0
0.285,0.285,0.0348,139.0
0.3684,0.1289,0.0329,179.0
0.1752,0.1462,0.028,199.0
0.734,0.734,0.0065,259.0
0.2927,0.3047,0.0166,99.0
0.4215,0.272,0.0277,259.0
0.2769,0.0774,0.0559,219.0
0.2781,0.068,0.012,119.0
0.0617,-0.2753,0.0226,219.0
0.1821,0.2966,0.0293,438.0
0.1671,0.0321,0.0095,159.0
0.3045,0.1695,0.0182,139.0
0.3257,0.8252,0.1332,857.0
0.2388,0.4563,0.0219,99.0
0.55,0.3335,0.0235,199.0
0.2539,0.3339,0.0521,319.0
0.0795,0.052,0.012,179.0
0.0951,0.1916,0.0181,80.0
0.3443,0.1538,0.0655,397.0
0.1166,0.0866,0.0261,298.0
0.3344,0.2659,0.0119,139.0
0.419,0.191,0.01,99.0
0.0775,0.094,0.038,378.0
0.1554,0.2954,0.008,80.0
0.9915,0.9915,0.0055,219.0
0.3303,0.0113,0.0225,100.0
0.403,0.1645,0.0448,179.0
0.3155,0.106,0.0107,159.0
0.0795,0.01,0.012,179.0
0.0173,-0.0287,0.0185,139.0
0.1176,0.0086,0.0244,119.0
-0.0023,0.0602,0.0149,139.0
0.1572,0.0742,0.0264,219.0
0.0437,0.0102,0.0364,199.0
0.406,0.164,0.0285,99.0
0.1755,0.16,0.0066,99.0
0.1812,0.1542,0.0183,179.0
0.2897,0.3507,0.0334,238.0
0.1057,-0.0338,0.0178,179.0
0.2643,0.2643,0.037,278.0
0.0377,-0.0538,0.0067,179.0
0.2902,0.2712,0.0344,278.0
0.1642,0.2227,0.0182,378.0
0.3061,0.0591,0.0111,99.0
0.0847,0.1757,0.02,139.0
0.1802,0.1767,0.0298,238.0
0.0838,-0.0052,0.0188,139.0
0.0073,0.1413,0.0534,258.0
0.4497,0.2222,0.0207,119.0
0.0526,-0.0124,0.0247,199.0
0.1388,0.0143,0.0219,179.0
0.0971,0.1856,0.0235,119.0
0.2477,0.2257,0.0163,139.0
0.2015,0.0465,0.0245,139.0
0.6429,0.3289,0.0313,99.0
0.2873,0.0403,0.0319,119.0
0.2236,0.2236,0.0353,179.0
0.2198,0.1783,0.0203,119.0
0.2327,0.0867,0.0268,159.0
0.1852,0.2227,0.0653,179.0
0.0377,-0.0268,0.0089,239.0
0.2908,0.2923,0.066,219.0
0.2633,0.0003,0.0247,139.0
0.0246,0.1201,0.0171,179.0
0.1342,0.0882,0.0142,139.0
0.267,0.253,0.023,139.0
0.1728,0.1903,0.0184,179.0
-0.1383,-0.0593,0.0216,179.0
0.3303,-0.0222,0.0312,139.0
0.4046,0.2886,0.0172,119.0
-0.0086,0.1224,0.013,99.0
2.9147,0.8267,0.0181,159.0
0.0842,0.0642,0.1199,536.0
1.7931,0.1026,0.0423,219.0
0.3036,0.1316,0.028,398.0
0.054,0.0685,0.0329,199.0
0.0801,0.1296,0.0202,219.0
0.1469,0.1294,0.0277,119.0
0.1456,0.1041,0.0097,139.0
-0.0114,0.0216,0.0222,298.0
0.5117,0.1617,0.0303,259.0
0.1296,0.1796,0.0109,99.0
-0.0593,-0.2253,0.036,298.0
0.5104,0.5104,0.0213,119.0
0.5974,-0.5346,0.0178,219.0
0.0841,0.0841,0.011,119.0
0.0703,0.1468,0.0566,278.0
2.3196,1.6561,0.0154,120.0
0.2165,0.2781,0.01,99.0
0.231,0.2045,0.0123,199.0
0.0681,0.0296,0.0264,239.0
0.4939,0.2314,0.0341,199.0
0.6945,0.9595,0.0277,259.0
0.0971,0.0651,0.0498,537.0
0.2482,0.1567,0.0382,358.0
0.283,0.1465,0.017,199.0
0.3131,0.3651,0.0183,219.0
0.2758,0.1464,0.0295,179.0
0.1072,0.1462,0.0154,139.0
0.2062,0.0852,0.0318,219.0
0.2442,0.0417,0.0132,139.0
0.1723,-0.1552,0.053,298.0
0.2667,0.2667,0.0134,358.0
0.2988,0.1038,0.0509,99.0
0.4189,0.2228,0.0242,159.0
1.2187,0.5822,0.0091,100.0
-0.0169,0.0411,0.0198,139.0
0.1448,0.0563,0.0487,278.0
0.0195,0.0785,0.0321,318.0
2.9916,0.1941,0.0181,239.0
0.1254,0.1254,0.0102,119.0
0.1913,0.2028,0.0315,179.0
0.3603,0.2218,0.0222,80.0
0.3118,0.1448,0.0209,119.0
0.0989,0.0989,0.0285,278.0
0.0713,0.0753,0.0622,418.0
0.005,0.029,0.0113,219.0
0.327,0.098,0.021,219.0
0.2032,0.1572,0.0282,219.0
1.9801,1.6651,0.0402,239.0
0.082,0.0185,0.0283,179.0
0.1526,0.0261,0.0076,80.0
0.55,0.3335,0.04,338.0
0.2401,0.1086,0.0124,179.0
-0.0854,-0.1119,0.052,458.0
0.734,0.948,0.0045,179.0
0.3122,0.1212,0.0317,179.0
0.2751,0.0165,0.0485,219.0
0.0585,0.0445,0.0353,338.0
0.9767,1.4382,0.032,518.0
0.2873,0.1058,0.0214,80.0
0.1822,0.0887,0.0124,99.0
0.1138,0.0628,0.0229,139.0
-0.07,-0.1435,0.035,258.0
0.3878,0.0213,0.0365,238.0
0.3402,0.1592,0.0644,179.0
0.1523,0.2128,0.0164,139.0
0.0756,0.0811,0.0233,199.0
0.2137,0.1217,0.0057,119.0
0.2729,0.0914,0.0122,119.0
2.0375,2.0375,0.006,239.0
0.0756,0.0756,0.0048,80.0
2.582,2.582,0.1492,458.0
0.0817,0.0002,0.0252,179.0
0.0427,0.0437,0.0545,298.0
0.2401,0.1086,0.0097,139.0
0.1717,0.0847,0.0327,199.0
0.2062,0.0852,0.0173,119.0
0.2347,0.2347,0.0209,219.0
0.0417,0.0592,0.0094,99.0
0.0645,0.021,0.0352,159.0
0.1893,0.2428,0.0265,99.0
0.1952,0.2487,0.125,338.0
0.124,0.0015,0.0145,99.0
0.2369,0.2369,0.026,159.0
0.1335,0.248,0.0138,99.0
2.3481,1.3231,0.0326,179.0
0.1816,-0.0044,0.0318,139.0
0.9595,0.9595,0.0213,199.0
0.1427,0.1437,0.0196,179.0
0.5893,0.2853,0.0476,139.0
0.304,0.1855,0.0192,80.0
0.1875,0.146,0.0173,258.0
0.556,0.4335,0.0255,239.0
0.1212,-0.0893,0.0142,99.0
0.6157,-0.3803,0.0278,179.0
0.2282,0.0552,0.0129,179.0
0.3616,0.2496,0.0147,219.0
1.7995,0.4565,0.0056,20.0
0.2966,0.3776,0.0054,80.0
0.2813,0.1104,0.0393,238.0
0.2116,0.0996,0.0197,219.0
0.3023,0.1533,0.0437,139.0
0.3262,0.1507,0.0048,99.0
0.2583,0.2188,0.0609,338.0
0.2636,0.0811,0.007,80.0
0.2379,0.0949,0.0269,179.0
0.55,0.2045,0.0095,80.0
0.2389,0.0984,0.0205,239.0
-0.2634,-0.0089,0.0326,179.0
0.2986,0.1096,0.0135,119.0
0.1531,0.0946,0.0279,139.0
0.0643,0.0223,0.0986,239.0
0.1606,0.2776,0.0079,139.0
0.2655,0.201,0.0111,179.0
1.0685,0.748,0.0115,458.0
1.0012,0.1942,0.0177,139.0
0.106,0.037,0.0402,537.0
0.5592,0.2162,0.0395,199.0
0.3008,0.0383,0.0688,358.0
0.2895,0.105,0.0204,139.0
0.1042,0.2592,0.0139,139.0
0.522,0.522,0.0265,119.0
1.2396,0.0736,0.0127,180.0
0.5782,0.0802,0.0178,179.0
0.2768,0.3803,0.018,139.0
0.5514,0.0994,0.0837,198.0
0.1102,-0.0013,0.0106,99.0
0.3843,0.2343,0.0374,179.0
0.4398,0.2608,0.1095,457.0
0.199,0.199,0.0218,99.0
0.171,0.147,0.0251,199.0
0.1029,0.0284,0.0112,139.0
0.105,0.2705,0.0495,198.0
0.2327,0.0867,0.0235,139.0
0.2931,0.1351,0.0069,99.0
0.0513,0.1033,0.0139,139.0
0.2938,0.0443,0.0251,278.0
0.4955,0.1615,0.0215,119.0
0.0441,-0.3369,0.0014,20.0
0.4211,0.4211,0.0377,498.0
0.2895,0.0556,0.0181,80.0
0.0736,0.0736,0.0271,219.0
0.0859,0.0404,0.0315,119.0
0.1693,0.0088,0.0275,179.0
0.1342,0.0952,0.0163,159.0
0.1366,-0.0094,0.0116,99.0
0.1468,0.1193,0.0403,198.0
0.6398,0.1078,0.1074,337.0
0.2333,0.1313,0.0317,219.0
0.287,0.29,0.0434,139.0
0.0085,0.0395,0.0114,159.0
4.4917,4.4917,0.0123,199.0
0.2777,0.1087,0.0138,119.0
2.7606,0.9126,0.0341,259.0
0.8315,0.948,0.008,319.0
0.3311,0.1071,0.0408,159.0
0.3684,0.0289,0.0365,199.0
0.2243,0.1698,0.0626,199.0
0.3095,0.0185,0.0163,80.0
0.3265,0.1125,0.0177,99.0
0.556,0.171,0.0676,536.0
0.7725,0.734,0.011,438.0
1.3664,1.7524,0.1267,538.0
0.1274,0.1274,0.0204,238.0
0.1795,0.2091,0.0186,99.0
0.2587,0.1802,0.028,338.0
2.2632,1.4717,0.0234,379.0
0.1319,0.0344,0.0223,119.0
0.0795,0.052,0.016,238.0
2.0375,2.0375,0.0045,180.0
1.3177,1.2407,0.0223,199.0
-0.0238,-0.0683,0.0108,99.0
0.1091,0.0831,0.0651,238.0
0.5007,-0.0053,0.0335,199.0
0.1433,-0.0097,0.0203,278.0
0.2699,0.0084,0.012,99.0
0.2253,0.0343,0.0143,99.0
0.5301,0.3796,0.0392,159.0
1.1346,-0.7869,0.0435,338.0
0.147,0.0805,0.0101,80.0
0.0526,0.0751,0.044,338.0
0.2565,0.107,0.0464,258.0
0.1661,0.0931,0.0113,199.0
0.3773,-0.0927,0.0866,179.0
1.4375,0.7725,0.0045,179.0
0.1167,0.0487,0.0148,139.0
0.304,0.0056,0.0192,80.0
0.0971,0.1771,0.0282,338.0
0.2482,0.1427,0.0382,358.0
0.1795,0.0175,0.0219,99.0
0.1032,0.2812,0.0155,99.0
0.069,0.069,0.0684,914.0
0.2647,0.0167,0.0098,99.0
0.748,0.3575,0.0066,260.0
0.1822,0.0887,0.025,199.0
0.2469,0.2469,0.0235,119.0
1.058,0.3575,0.004,159.0
0.1356,0.0426,0.0087,99.0
-0.0131,-0.0131,0.0405,199.0
0.3695,0.013,0.0368,119.0
0.1656,0.295,0.01,99.0
0.2802,0.0642,0.04,179.0
0.3596,0.2761,0.0157,179.0
0.214,0.2775,0.0111,179.0
0.1165,0.132,0.018,179.0
0.2644,0.3369,0.0552,338.0
0.3575,0.2085,0.0131,518.0
0.6683,0.1688,0.0184,99.0
1.1076,1.0896,0.0392,439.0
0.2327,0.0892,0.0082,99.0
0.0282,0.0647,0.0171,119.0
0.1693,0.1168,0.0143,139.0
0.3083,0.2978,0.0359,199.0
0.132,-0.0035,0.0302,338.0
0.1441,0.1921,0.0306,179.0
0.1507,0.0762,0.0559,199.0
0.3512,0.1842,0.0589,239.0
0.1555,0.325,0.0193,119.0
0.2903,0.3498,0.0376,80.0
0.0263,-0.0602,0.032,258.0
0.1327,0.1327,0.0237,199.0
0.123,0.0975,0.0756,179.0
0.1319,-0.0081,0.0483,258.0
0.1945,0.2915,0.0387,219.0
0.5893,0.2433,0.0407,119.0
0.0915,0.0415,0.0145,179.0
0.0837,0.1102,0.0191,179.0
0.0833,0.1288,0.0197,219.0
0.2486,0.1426,0.016,239.0
0.0825,0.114,0.0093,139.0
0.2327,0.1042,0.0167,99.0
0.1476,0.1861,0.0192,99.0
0.2428,0.2633,0.0459,258.0
0.0522,0.0752,0.0554,477.0
0.0904,0.1139,0.1711,357.0
0.0395,0.0945,0.044,615.0
-0.0406,-0.0406,0.0347,80.0
0.1446,0.0481,0.0097,139.0
0.3893,0.3893,0.0878,398.0
0.1918,0.2813,0.0393,219.0
2.157,1.15,0.0341,319.0
1.7537,1.8132,0.0234,379.0
0.3395,0.2655,0.0281,159.0
0.0925,0.0655,0.0225,139.0
0.1254,0.0629,0.0153,179.0
0.2781,0.211,0.0262,259.0
0.8115,0.58,0.0321,199.0
0.1913,0.2028,0.0209,119.0
0.71,-0.001,0.0307,199.0
0.3273,0.3218,0.0714,159.0
0.1568,0.1053,0.0243,180.0
2.1332,0.9337,0.0182,120.0
0.0961,0.0366,0.0881,676.0
-0.0089,0.4576,0.058,319.0
0.1693,0.0028,0.0336,219.0
-0.1218,-0.0593,0.0287,238.0
0.5303,0.1753,0.0218,139.0
0.0242,0.0842,0.0213,199.0
0.522,0.1515,0.0265,119.0
0.2743,-0.0176,0.011,99.0
0.1876,0.1876,0.0393,179.0
0.208,0.27,0.0234,378.0
0.1497,0.0812,0.0202,139.0
0.3977,-0.9618,0.0203,239.0
0.1671,0.0626,0.0107,179.0
0.1138,0.0813,0.0295,179.0
0.0923,0.0448,0.0174,238.0
0.0581,0.1771,0.0399,199.0
0.1916,-0.1044,0.0203,179.0
0.0859,0.0404,0.0315,119.0
0.2386,0.0596,0.025,219.0
1.4366,0.1671,0.0048,80.0
0.1215,0.074,0.0196,219.0
1.0317,0.4217,0.0289,319.0
0.1764,0.2284,0.0353,179.0
0.0647,0.3057,0.0229,159.0
0.0628,0.0628,0.1365,616.0
0.1755,0.1465,0.0133,199.0
0.2802,0.0842,0.0356,159.0
0.2978,0.2373,0.0323,179.0
0.1527,0.1012,0.0048,99.0
1.2407,0.2967,0.0245,219.0
0.6357,0.1467,0.0151,139.0
0.3553,0.2493,0.0158,119.0
0.1852,0.1162,0.0302,238.0
0.0979,0.0144,0.0176,219.0
0.5974,-0.2316,0.0113,139.0
0.1785,0.1005,0.0404,298.0
0.9995,0.447,0.0299,339.0
0.496,0.3245,0.0306,99.0
0.5288,0.2188,0.0709,258.0
0.0395,0.0215,0.0378,239.0
2.582,1.5725,0.1495,459.0
0.1306,0.1446,0.0069,99.0
0.0441,0.0921,0.0134,139.0
0.2033,-0.0372,0.0205,99.0
0.231,0.208,0.0135,219.0
0.3651,0.0926,0.0249,298.0
1.6662,1.8317,0.023,179.0
0.795,1.196,0.0387,439.0
0.2373,0.0388,0.0287,159.0
0.1201,0.0636,0.0233,179.0
0.29,0.1595,0.0809,259.0
0.3438,0.2718,0.1799,318.0
0.2081,0.0861,0.0246,199.0
0.1767,0.0802,0.0124,99.0
0.1111,0.1741,0.0377,239.0
0.2713,0.2083,0.0316,99.0
0.2966,0.3776,0.0054,80.0
0.0343,-0.0592,0.0432,298.0
0.1385,0.1375,0.0228,318.0
0.1977,0.2142,0.0045,119.0
0.2114,0.2369,0.0358,219.0
1.2187,0.5542,0.0308,339.0
0.0128,0.1353,0.0257,119.0
0.1206,-0.0174,0.0172,179.0
1.1741,0.7161,0.0205,159.0
0.1462,0.1052,0.0112,80.0
0.6234,-0.0906,0.0298,139.0
0.3212,0.2587,0.0067,139.0
