P2stFixation,firstSaccLen,lastSaccLen,nextWordRegress,prevFixDur,prevFixPos,regressDur,wordNo
0,138.4783,719.9424,1,179.0,148.1216,199.0,3.0
0,112.6421,213.1695,0,119.0,147.8716,0.0,1.0
0,105.5047,174.5287,0,537.0,117.3797,0.0,1.0
1,151.8634,99.8424,0,219.0,80.3617,676.0,7.0
0,322.1401,137.0912,0,139.0,232.2154,0.0,6.0
1,137.5009,193.5568,1,259.0,72.3395,159.0,2.0
0,91.0179,89.7622,0,219.0,119.5031,0.0,1.0
1,98.7142,373.9803,1,219.0,139.4346,298.0,6.0
0,120.9566,351.8114,1,99.0,255.002,198.0,3.0
1,107.7926,119.5073,0,80.0,181.5957,0.0,1.0
1,0.0,78.8495,1,0.0,0.0,1074.0,1.0
0,222.1041,123.5364,0,238.0,165.7739,0.0,2.0
0,256.6384,89.0505,0,219.0,246.5461,0.0,2.0
1,50.4232,98.0816,0,1036.0,147.5568,418.0,1.0
0,209.1997,123.3876,0,199.0,282.6889,0.0,1.0
1,425.2473,205.0274,0,139.0,462.0444,318.0,1.0
1,196.5229,527.5341,0,199.0,338.7152,1431.0,2.0
0,60.8543,312.8011,0,238.0,169.071,0.0,1.0
0,118.0042,430.0814,1,139.0,153.0621,477.0,4.0
1,394.5257,343.3402,1,219.0,208.1178,954.0,4.0
0,128.8187,904.0781,0,99.0,66.3702,0.0,9.0
1,259.3318,112.54,1,119.0,384.4268,0.0,1.0
0,73.0924,95.2575,0,179.0,31.4006,259.0,2.0
1,71.0862,89.7622,0,258.0,71.5542,0.0,4.0
0,397.0532,319.1414,0,119.0,477.6829,0.0,1.0
0,100.5,79.6994,0,100.0,85.235,0.0,3.0
1,277.2819,504.9802,1,99.0,205.061,198.0,5.0
1,225.1089,173.5115,0,99.0,137.0328,0.0,2.0
1,320.3986,211.1711,1,199.0,171.0497,4861.0,2.0
0,39.8811,86.1423,1,159.0,77.4145,139.0,2.0
1,94.5331,503.1073,0,179.0,34.0,0.0,6.0
0,217.0052,143.0428,1,99.0,155.9295,337.0,6.0
0,107.5186,487.3287,0,199.0,110.1136,0.0,5.0
1,278.2175,131.4201,0,239.0,220.8189,0.0,3.0
0,149.1208,149.0252,0,119.0,143.0559,0.0,7.0
0,385.5208,229.8097,0,179.0,287.0436,0.0,7.0
1,91.4289,122.602,0,80.0,34.8281,219.0,3.0
0,110.5271,181.6549,0,139.0,73.6817,0.0,5.0
0,181.0532,384.5208,0,99.0,178.6197,139.0,3.0
0,252.2623,645.9106,0,139.0,158.0791,0.0,7.0
0,181.5991,192.6266,0,199.0,113.0708,0.0,2.0
1,701.9238,204.1378,0,278.0,802.202,298.0,1.0
0,100.3606,54.5206,1,179.0,84.119,697.0,4.0
0,215.0145,367.0766,0,119.0,157.0509,0.0,4.0
0,177.5028,264.0928,0,219.0,112.272,0.0,3.0
0,124.0363,753.9513,0,179.0,27.2029,0.0,6.0
0,243.4184,311.5903,1,80.0,172.4181,337.0,3.0
0,47.8539,1116.3301,0,80.0,130.4301,0.0,1.0
0,142.5175,229.5049,1,139.0,79.404,1314.0,2.0
1,577.1449,88.7426,1,139.0,655.5151,0.0,1.0
1,494.3099,137.1313,0,298.0,540.0037,297.0,3.0
0,670.9257,62.476,0,99.0,692.7518,0.0,4.0
0,67.9283,170.0007,1,119.0,129.2478,199.0,1.0
0,324.2873,132.417,0,179.0,398.5273,0.0,1.0
1,254.9338,245.2249,0,199.0,183.1338,0.0,3.0
0,120.2341,541.4596,0,159.0,27.8568,0.0,5.0
0,146.1677,490.7178,1,119.0,268.1511,159.0,4.0
1,94.0479,584.2418,0,219.0,89.0505,0.0,5.0
0,95.4005,166.7041,0,99.0,143.0105,0.0,1.0
0,236.9346,164.931,0,139.0,267.5556,0.0,1.0
1,101.2978,194.2897,0,199.0,130.1768,0.0,1.0
0,217.7918,184.954,1,139.0,171.8139,279.0,1.0
1,133.3604,742.0197,0,219.0,120.0042,0.0,8.0
1,904.0781,174.4484,0,80.0,928.4724,0.0,1.0
0,111.809,123.0447,0,199.0,52.345,0.0,2.0
1,87.4786,130.0779,1,278.0,110.6029,0.0,1.0
1,322.8258,135.5083,0,99.0,256.0176,318.0,5.0
0,132.0947,154.7361,0,0.0,16.9706,159.0,2.0
1,108.0104,27.7218,0,99.0,160.8509,139.0,1.0
0,147.2175,226.7918,0,219.0,45.0111,0.0,2.0
0,699.2582,240.0047,0,159.0,793.7487,0.0,1.0
0,131.0467,424.5027,0,417.0,116.297,0.0,2.0
0,0.0,275.3271,0,0.0,0.0,0.0,3.0
0,61.1249,111.5437,1,259.0,101.1237,219.0,2.0
0,118.4789,294.9903,0,139.0,63.3246,159.0,2.0
0,292.0616,599.092,0,179.0,280.1946,0.0,6.0
0,449.2029,256.5448,0,80.0,400.3199,0.0,4.0
0,119.6046,238.6891,0,80.0,95.0211,0.0,9.0
0,719.9905,79.0,0,199.0,785.9421,0.0,2.0
0,133.1362,108.2243,0,219.0,79.2465,0.0,3.0
0,290.0845,99.0808,0,239.0,229.0546,159.0,3.0
0,119.8593,199.2699,0,80.0,47.8539,0.0,3.0
1,727.8958,145.0836,0,99.0,805.0894,278.0,1.0
0,170.8106,231.9526,0,279.0,270.0685,279.0,2.0
0,381.147,64.5949,0,518.0,463.1069,199.0,1.0
0,211.6512,65.4083,1,238.0,219.9204,119.0,3.0
0,527.8582,236.6268,0,139.0,548.6,139.0,2.0
0,110.4095,77.9503,0,80.0,62.3699,318.0,3.0
0,330.8266,69.4586,0,99.0,448.3079,0.0,1.0
0,59.5525,133.7881,1,199.0,98.7623,597.0,1.0
1,192.5104,127.8329,0,179.0,113.7453,0.0,2.0
0,124.291,150.3671,1,99.0,123.0447,1012.0,5.0
0,133.7881,164.4536,0,139.0,80.6226,637.0,3.0
0,285.0952,181.6989,0,80.0,352.966,0.0,1.0
1,0.0,100.7,0,0.0,0.0,0.0,2.0
0,108.1665,124.0363,0,179.0,73.5459,0.0,5.0
1,125.2557,160.5195,0,119.0,26.3059,279.0,3.0
0,100.08,280.9026,0,179.0,54.4518,596.0,5.0
1,129.3136,98.6116,0,119.0,89.56,0.0,2.0
0,147.0077,146.1232,0,199.0,65.521,0.0,5.0
0,151.5074,151.0761,0,99.0,49.0408,238.0,2.0
0,258.0237,94.3835,0,119.0,216.2267,0.0,5.0
0,0.0,112.5711,0,0.0,0.0,0.0,1.0
1,200.3902,441.5343,0,139.0,133.0038,0.0,5.0
1,159.8132,77.0276,1,80.0,71.0282,99.0,7.0
0,288.8706,129.5154,0,219.0,311.2073,537.0,4.0
1,178.9839,58.2087,0,199.0,116.6919,0.0,3.0
0,90.118,365.7448,0,139.0,40.05,0.0,5.0
1,152.0206,64.9346,1,139.0,106.0189,0.0,2.0
1,112.641,95.5314,0,159.0,144.9724,0.0,1.0
0,157.2657,784.7716,0,139.0,88.0227,0.0,6.0
0,201.1523,138.6588,0,179.0,58.2151,0.0,2.0
0,185.0547,352.066,0,179.0,126.6689,0.0,3.0
0,97.6371,153.5489,0,80.0,46.1736,119.0,3.0
0,139.0081,356.6287,1,80.0,233.0536,853.0,4.0
0,215.3073,64.0,0,80.0,193.189,0.0,3.0
0,321.5603,156.5008,0,219.0,288.295,0.0,2.0
0,245.7931,344.5033,0,159.0,232.9571,139.0,1.0
0,162.5,282.9629,0,80.0,86.0233,0.0,4.0
1,103.5809,74.7011,0,139.0,105.1903,0.0,2.0
0,197.31,99.8624,0,80.0,173.4618,0.0,4.0
1,226.7355,205.8501,1,159.0,212.8497,199.0,4.0
1,230.9248,143.6672,0,139.0,199.0226,0.0,3.0
1,74.8081,258.4918,0,99.0,124.4588,0.0,1.0
0,206.5871,175.5456,0,139.0,87.0919,0.0,3.0
0,382.0239,129.1172,0,278.0,448.0179,219.0,1.0
1,95.0118,254.3275,1,179.0,188.5338,278.0,1.0
0,338.6333,332.1333,0,259.0,273.3368,0.0,7.0
0,581.5325,103.0946,0,159.0,577.5483,0.0,1.0
0,159.7537,445.1957,1,139.0,270.0685,139.0,4.0
0,100.9022,134.0009,0,159.0,11.4018,0.0,3.0
1,100.7782,177.0254,0,139.0,73.4302,0.0,4.0
1,0.0,108.1665,0,0.0,0.0,994.0,1.0
0,134.0009,396.5,0,179.0,56.0892,0.0,4.0
0,183.807,44.0028,0,139.0,231.1385,0.0,1.0
1,269.5116,178.6757,1,159.0,189.0423,298.0,3.0
0,408.5893,188.5975,0,119.0,505.6679,0.0,1.0
1,213.7341,64.9788,0,139.0,136.3305,0.0,5.0
0,231.0779,783.0704,0,99.0,173.2888,0.0,8.0
0,387.3296,146.5486,0,120.0,451.3059,0.0,1.0
1,413.2242,87.8877,0,139.0,387.9652,239.0,2.0
0,181.8193,181.2078,0,99.0,173.7613,0.0,4.0
1,133.515,506.2964,0,99.0,133.0338,0.0,6.0
0,144.0139,108.4735,0,278.0,212.2287,0.0,1.0
1,109.859,541.0333,0,139.0,100.2098,398.0,1.0
0,266.9724,184.8276,1,80.0,179.1005,179.0,6.0
0,653.3062,95.6935,0,179.0,683.4574,557.0,2.0
0,846.3879,384.7002,0,99.0,971.9532,0.0,1.0
0,272.1659,147.6906,0,258.0,271.9743,0.0,4.0
0,147.5305,97.2895,0,80.0,62.0,0.0,4.0
0,199.01,189.1144,0,298.0,157.0,0.0,3.0
1,150.3105,246.3701,0,0.0,200.6091,0.0,1.0
0,92.5662,166.4332,0,258.0,32.573,0.0,2.0
1,169.105,172.6963,0,199.0,280.765,1431.0,1.0
1,437.0309,561.1,0,139.0,486.3517,0.0,1.0
1,380.5,242.3267,0,159.0,352.196,0.0,5.0
1,125.3236,98.1835,0,278.0,65.0692,278.0,2.0
0,227.0666,780.0854,0,179.0,216.0579,0.0,7.0
0,86.4653,113.1868,0,119.0,105.7592,0.0,1.0
1,91.9837,104.6721,0,159.0,109.165,0.0,6.0
0,598.7088,225.1444,0,119.0,728.0934,0.0,1.0
0,276.0041,0.0,0,219.0,199.572,0.0,4.0
1,281.2708,124.4689,0,99.0,310.6638,0.0,2.0
0,534.4083,73.6376,0,119.0,609.7647,0.0,1.0
1,310.8641,239.9318,0,179.0,244.4934,0.0,4.0
0,153.4829,354.4929,0,80.0,108.9082,0.0,4.0
0,161.3459,318.5769,0,119.0,134.1827,695.0,4.0
0,152.5524,114.4246,0,258.0,120.3536,0.0,3.0
0,287.007,226.3454,0,219.0,236.1715,0.0,3.0
1,175.6822,508.2335,1,139.0,157.8132,278.0,2.0
1,167.5,105.5296,0,199.0,122.0369,0.0,5.0
0,42.0268,128.8148,0,139.0,42.5793,0.0,2.0
1,0.0,159.5125,0,0.0,0.0,0.0,3.0
0,207.2981,194.6645,0,219.0,361.2478,159.0,2.0
0,11.5974,126.0159,0,139.0,9.0554,0.0,2.0
0,312.9077,141.1737,0,139.0,363.3731,0.0,1.0
1,244.2396,210.7143,0,159.0,148.3678,0.0,3.0
0,251.2195,263.6854,0,139.0,201.2486,0.0,5.0
1,212.9941,448.5828,1,99.0,170.0735,139.0,4.0
0,0.0,156.0072,0,0.0,0.0,0.0,1.0
1,40.5278,52.2398,0,159.0,27.313,417.0,3.0
0,94.5939,166.8682,0,80.0,80.4984,0.0,2.0
0,268.0532,129.1908,0,119.0,375.4797,0.0,1.0
0,163.833,104.6757,1,100.0,237.0,458.0,1.0
1,28.6356,253.1897,0,238.0,60.1332,159.0,2.0
0,596.4229,103.0886,0,99.0,711.1807,0.0,1.0
0,264.8703,87.0531,1,258.0,354.0056,238.0,4.0
0,125.03,301.5933,0,199.0,123.3288,0.0,4.0
0,159.8624,138.1774,1,99.0,124.4588,99.0,3.0
0,254.6566,233.6204,0,258.0,168.8342,0.0,2.0
1,66.191,217.297,1,119.0,133.0038,278.0,1.0
0,99.8624,131.2345,1,119.0,123.8225,0.0,3.0
1,178.1327,359.1131,0,179.0,25.7099,656.0,4.0
0,84.8896,367.1597,0,179.0,87.0919,0.0,1.0
1,144.8447,487.0503,0,0.0,228.1162,0.0,1.0
0,183.5824,131.577,0,179.0,89.1403,0.0,3.0
0,58.5085,103.5809,1,99.0,99.5038,139.0,2.0
0,114.4749,349.6159,0,119.0,45.5412,0.0,3.0
0,186.6936,190.6948,0,119.0,117.3882,0.0,2.0
1,87.0919,162.5031,0,139.0,71.1688,318.0,1.0
0,64.438,55.3828,0,319.0,71.5052,359.0,4.0
0,609.5697,174.018,0,119.0,697.4884,0.0,1.0
1,114.6571,86.0131,0,279.0,146.4923,0.0,3.0
1,213.7832,230.5049,1,278.0,180.2249,219.0,5.0
1,251.584,1074.4436,0,199.0,331.0967,1431.0,1.0
0,536.28,180.2471,0,119.0,572.3443,0.0,2.0
0,108.4735,212.5288,0,219.0,86.977,0.0,6.0
1,138.067,41.4367,0,99.0,84.22,119.0,1.0
0,145.0078,188.0538,0,139.0,86.1452,0.0,2.0
0,331.3174,74.8766,0,139.0,445.1921,0.0,1.0
1,372.9786,189.5534,0,179.0,261.0172,358.0,3.0
1,103.7654,137.5227,0,119.0,114.3897,0.0,1.0
0,65.5477,233.8616,0,179.0,74.411,0.0,1.0
0,180.2776,108.14,1,80.0,78.0577,853.0,4.0
0,243.6658,370.3245,0,199.0,214.0584,0.0,5.0
0,249.1154,261.9971,0,99.0,234.0769,0.0,4.0
0,221.6529,193.1094,0,80.0,202.094,0.0,4.0
0,147.5686,365.381,0,99.0,116.6619,119.0,5.0
1,133.291,399.2174,0,358.0,105.5462,357.0,5.0
1,260.0562,237.4031,0,199.0,226.3846,936.0,3.0
0,100.005,87.5357,1,139.0,63.0079,0.0,2.0
1,143.3954,494.3099,0,139.0,112.1116,297.0,6.0
0,142.4588,54.2033,0,239.0,136.0919,0.0,4.0
0,745.7883,363.1425,0,100.0,796.1036,0.0,1.0
1,166.3348,305.3072,0,99.0,75.8222,0.0,1.0
0,81.2527,109.9022,0,239.0,38.6394,0.0,2.0
0,101.8148,348.7496,1,80.0,175.0943,119.0,4.0
0,374.9567,320.0664,0,99.0,419.0966,80.0,4.0
0,105.5107,138.5442,0,99.0,33.541,0.0,3.0
1,102.6158,184.3285,0,199.0,117.2391,0.0,4.0
1,225.0,353.7814,1,199.0,198.1237,0.0,6.0
0,79.0,155.5072,1,139.0,139.0863,139.0,1.0
0,136.2654,119.3367,0,159.0,128.5613,0.0,2.0
0,203.0185,538.5165,0,119.0,316.0,119.0,5.0
1,72.6722,224.0006,1,179.0,64.5368,695.0,2.0
0,697.87,136.2654,0,99.0,820.7521,0.0,1.0
0,92.0666,0.0,0,159.0,46.3897,0.0,5.0
1,157.0199,251.5244,1,219.0,140.0893,0.0,6.0
1,220.1113,633.2097,0,139.0,65.0692,0.0,5.0
0,228.2898,97.6371,1,80.0,141.3542,439.0,2.0
0,285.9204,205.548,0,239.0,220.0205,0.0,4.0
1,119.0378,398.5452,1,139.0,218.4033,2169.0,2.0
0,103.5338,131.3097,0,179.0,52.7731,617.0,5.0
1,159.695,110.8388,0,20.0,199.3615,0.0,2.0
0,685.4331,222.1041,0,80.0,727.607,0.0,1.0
1,684.4043,235.9158,0,159.0,781.7448,0.0,1.0
0,716.2096,161.5031,0,100.0,698.1984,0.0,2.0
0,178.0204,198.7719,0,80.0,229.1724,0.0,1.0
0,335.0302,560.8231,0,99.0,251.002,0.0,7.0
0,433.9484,215.2324,0,179.0,554.3789,0.0,1.0
0,577.0366,104.2785,0,99.0,621.499,159.0,2.0
0,57.0351,277.6545,0,199.0,39.3192,219.0,6.0
0,194.1449,605.0424,0,119.0,89.493,0.0,4.0
0,101.5111,236.5338,0,219.0,106.5692,0.0,2.0
0,103.9639,72.2928,0,179.0,107.8147,0.0,1.0
1,0.0,82.0686,0,0.0,0.0,0.0,1.0
0,696.6208,121.9067,0,80.0,734.173,0.0,3.0
0,166.1994,311.0486,0,99.0,175.8238,0.0,3.0
0,36.0555,103.5338,1,179.0,102.3963,398.0,4.0
0,229.0851,122.7609,0,179.0,276.74,0.0,1.0
0,153.5814,324.2241,0,139.0,105.6835,0.0,5.0
0,129.0475,299.5004,0,199.0,42.9535,0.0,4.0
0,122.3622,151.268,0,80.0,107.0,0.0,3.0
0,108.0012,199.6246,0,99.0,79.712,99.0,5.0
0,0.0,191.1969,0,0.0,0.0,0.0,3.0
0,142.4649,140.1508,0,139.0,65.0308,0.0,4.0
1,698.8737,113.554,0,119.0,715.4327,0.0,2.0
0,110.7892,393.9264,0,99.0,45.0444,0.0,4.0
0,242.7396,345.6447,0,179.0,181.0442,417.0,3.0
0,559.3954,87.0919,1,279.0,434.5906,3248.0,4.0
0,116.1034,324.0174,0,179.0,91.444,0.0,4.0
0,495.0253,133.5459,0,159.0,536.7104,0.0,1.0
1,188.5239,75.634,0,139.0,179.0112,0.0,5.0
1,134.1538,667.003,1,80.0,51.788,99.0,7.0
1,116.5172,444.302,0,139.0,102.4207,0.0,4.0
0,155.9623,808.5303,0,99.0,60.7454,0.0,8.0
0,176.5453,143.014,0,199.0,101.5972,477.0,2.0
1,89.1586,150.0208,1,139.0,127.3185,0.0,1.0
1,303.5927,97.0696,1,179.0,176.1193,0.0,5.0
0,44.3086,108.0104,0,80.0,113.7409,0.0,1.0
1,146.7762,147.5076,0,239.0,84.4808,359.0,6.0
1,273.4273,246.2722,0,219.0,352.3308,0.0,1.0
0,263.5043,150.1408,0,199.0,199.0226,0.0,4.0
1,257.7023,267.4177,0,139.0,376.1396,0.0,2.0
1,225.2204,185.4562,0,219.0,221.009,0.0,4.0
0,246.3341,153.6953,0,99.0,339.8382,0.0,1.0
0,89.0056,124.291,1,179.0,66.9403,278.0,6.0
1,802.0399,250.72,0,139.0,850.0994,457.0,1.0
0,70.0874,100.7435,1,139.0,47.5395,378.0,4.0
0,189.5554,504.2393,0,80.0,113.2652,0.0,5.0
0,188.0957,163.3065,0,179.0,165.0273,0.0,5.0
0,280.2789,88.8651,0,80.0,145.0138,100.0,4.0
0,671.1758,138.9469,1,99.0,760.3223,0.0,1.0
1,62.5,76.5278,0,437.0,64.5368,715.0,2.0
0,78.729,65.192,1,179.0,214.021,179.0,5.0
0,194.1262,80.9475,0,80.0,170.1558,139.0,3.0
1,540.8597,101.2089,0,358.0,655.4647,258.0,1.0
0,107.7868,57.8662,0,179.0,56.2228,0.0,3.0
0,153.5985,481.1138,0,199.0,155.5635,0.0,6.0
0,69.5072,132.0947,1,100.0,124.904,199.0,1.0
0,239.852,150.0408,0,278.0,277.0162,0.0,1.0
1,246.6577,282.0044,0,139.0,87.8635,2064.0,4.0
0,129.2256,95.2694,1,358.0,133.0601,437.0,1.0
0,516.6297,550.3519,0,139.0,478.0377,0.0,5.0
1,176.8679,459.0256,0,0.0,122.2497,179.0,4.0
1,909.0903,0.0,0,119.0,897.9337,0.0,2.0
1,129.8124,176.0007,1,239.0,48.2597,477.0,4.0
0,444.8508,368.5919,0,119.0,491.0438,278.0,2.0
1,176.5007,589.1657,0,179.0,362.0221,4931.0,2.0
0,189.1593,275.6216,0,179.0,133.6338,0.0,3.0
1,415.5193,119.877,0,99.0,445.9439,139.0,2.0
0,29.5169,433.8093,0,159.0,18.3576,0.0,4.0
0,0.0,242.55,0,0.0,0.0,0.0,3.0
0,89.7622,145.5137,0,179.0,94.3027,0.0,1.0
0,325.6662,194.1449,0,139.0,284.0018,0.0,3.0
0,261.4273,99.0454,1,298.0,252.7944,239.0,3.0
0,228.6329,196.5407,0,80.0,147.7329,0.0,3.0
0,129.1908,220.3548,0,119.0,19.6977,0.0,2.0
1,490.4921,210.4335,1,179.0,478.9259,0.0,2.0
0,250.0125,485.218,0,80.0,198.2524,0.0,5.0
1,494.2277,177.5451,0,119.0,574.0949,0.0,3.0
0,328.328,251.584,0,80.0,352.5975,0.0,6.0
0,176.1817,211.6182,0,139.0,114.6298,0.0,3.0
0,59.3001,183.4734,0,100.0,58.0086,0.0,2.0
0,141.0035,71.8923,0,139.0,145.1241,0.0,5.0
0,0.0,244.8183,0,0.0,0.0,0.0,1.0
1,220.6111,129.8124,0,398.0,138.7083,278.0,3.0
0,117.0438,177.5028,0,179.0,112.3788,0.0,2.0
0,134.1827,450.0156,0,338.0,40.8167,0.0,4.0
1,548.7304,380.5,0,179.0,613.6,0.0,1.0
0,197.7321,185.7323,0,159.0,278.9498,139.0,4.0
0,129.4025,207.6566,0,159.0,125.8968,0.0,5.0
1,361.8304,95.0118,0,258.0,444.7752,0.0,2.0
1,154.0811,94.5,1,258.0,161.6447,815.0,2.0
0,88.8651,259.2552,0,100.0,57.4282,139.0,5.0
0,24.4591,118.0953,0,80.0,10.4403,119.0,2.0
0,304.9004,253.5005,0,99.0,369.2425,198.0,1.0
0,106.6314,515.5546,0,239.0,150.0833,0.0,1.0
1,121.1652,159.0786,1,119.0,172.7021,0.0,1.0
0,169.4993,179.1382,1,219.0,88.2383,697.0,2.0
1,114.7966,303.4967,0,20.0,131.6055,398.0,4.0
0,103.1855,135.5701,0,199.0,130.173,0.0,2.0
0,417.0432,229.0546,0,258.0,352.1718,0.0,5.0
0,102.2754,90.8983,0,179.0,66.0076,119.0,3.0
0,722.4586,191.0236,0,139.0,823.4671,0.0,1.0
0,184.808,112.0413,0,80.0,249.3231,0.0,1.0
0,283.5,825.9546,0,139.0,235.0085,0.0,7.0
0,258.2562,546.6736,0,80.0,152.0822,0.0,8.0
0,0.0,360.0889,0,0.0,0.0,0.0,4.0
0,145.9495,201.0025,0,139.0,209.0598,0.0,1.0
0,106.0212,173.6412,0,239.0,61.6847,0.0,4.0
1,89.2749,533.271,1,338.0,117.0684,795.0,4.0
1,182.1984,460.0024,0,219.0,126.4792,0.0,4.0
0,70.8978,190.4652,0,279.0,73.0068,0.0,1.0
0,105.1594,430.0012,0,119.0,130.9695,0.0,1.0
1,118.0858,122.451,0,219.0,26.2488,0.0,5.0
0,143.7228,122.2007,0,139.0,133.66,0.0,5.0
0,193.3966,82.134,0,258.0,145.0552,0.0,1.0
0,128.6283,119.8384,1,199.0,106.0754,180.0,4.0
1,155.7731,407.511,0,258.0,40.1123,537.0,5.0
1,120.3007,66.7308,0,179.0,144.0139,0.0,1.0
0,58.2151,148.9001,1,119.0,91.0824,199.0,2.0
0,75.0267,225.5621,0,99.0,137.4809,0.0,1.0
0,151.6344,36.0555,0,179.0,145.6709,617.0,5.0
0,129.0349,1454.5416,0,99.0,129.9885,278.0,5.0
0,578.1544,561.6558,0,119.0,584.0548,0.0,6.0
0,110.9516,500.1,0,199.0,46.8402,0.0,7.0
0,278.6472,141.5883,0,99.0,345.9133,0.0,1.0
1,230.8533,195.9751,0,179.0,283.3867,0.0,1.0
