eyemove/table3.firstPassFixDur,eyemove/table3.firstfixDur,eyemove/table3.lastSaccLen,eyemove/table3.meanFixDur
379.0,379.0,94.4312,379.0
119.0,119.0,235.5021,119.0
139.0,139.0,244.525,139.0
239.0,239.0,77.1962,239.0
516.0,417.0,91.1661,179.0
139.0,139.0,888.1319,80.0
239.0,80.0,220.4342,119.5
139.0,139.0,112.1606,189.0
159.0,159.0,197.7321,159.0
199.0,199.0,187.6006,200.0
119.0,119.0,666.9501,119.0
417.0,159.0,304.1488,208.5
219.0,219.0,113.0863,129.0
258.0,258.0,223.1435,258.0
298.0,298.0,238.6179,298.0
239.0,239.0,39.9625,239.0
298.0,99.0,178.9839,149.0
139.0,139.0,66.7271,139.0
179.0,179.0,610.2368,179.0
298.0,159.0,130.501,149.0
199.0,199.0,252.9056,199.0
99.0,99.0,125.077,99.0
119.0,119.0,398.5452,219.0
278.0,278.0,253.1585,278.0
179.0,179.0,163.1962,179.0
159.0,159.0,212.5288,159.0
99.0,99.0,62.0725,99.0
80.0,80.0,392.7658,80.0
139.0,139.0,156.7713,139.0
139.0,139.0,41.14,139.0
219.0,219.0,359.5598,179.0
437.0,99.0,284.5861,145.6667
139.0,139.0,127.7047,139.0
139.0,139.0,571.5411,139.0
139.0,139.0,230.411,139.0
258.0,258.0,137.4018,258.0
99.0,99.0,159.8624,99.0
139.0,139.0,116.2497,139.0
278.0,159.0,97.0,179.0
159.0,159.0,74.5185,159.0
298.0,298.0,137.8278,298.0
139.0,139.0,244.0184,139.0
179.0,179.0,142.7839,179.0
317.0,99.0,200.5,80.0
99.0,99.0,250.72,99.0
179.0,179.0,119.827,239.0
179.0,80.0,506.5385,119.0
80.0,80.0,182.5027,199.0
179.0,179.0,154.0519,179.0
80.0,80.0,249.7048,219.0
179.0,179.0,122.8587,179.0
339.0,339.0,384.7184,478.0
179.0,179.0,172.9169,179.0
239.0,239.0,173.1221,239.0
477.0,199.0,104.5108,179.0
80.0,80.0,299.1509,80.0
139.0,139.0,35.805,139.0
238.0,139.0,130.5153,119.0
80.0,80.0,209.0293,80.0
736.0,239.0,733.0921,189.0
299.0,299.0,335.8724,299.0
179.0,179.0,319.0611,179.0
657.0,199.0,244.6268,219.0
99.0,99.0,367.3027,99.0
238.0,119.0,90.4005,119.0
279.0,279.0,114.6833,279.0
139.0,139.0,243.1008,139.0
218.0,99.0,446.1852,109.0
99.0,99.0,86.6487,99.0
179.0,179.0,84.0907,179.0
99.0,99.0,384.5208,139.0
777.0,777.0,59.203,518.0
379.0,259.0,1442.3623,189.5
378.0,378.0,722.2557,378.0
99.0,99.0,74.8766,99.0
239.0,239.0,119.0567,239.0
139.0,139.0,64.158,139.0
219.0,219.0,258.5595,219.0
278.0,119.0,90.1804,139.0
159.0,159.0,218.1656,159.0
139.0,139.0,139.0189,139.0
199.0,199.0,122.451,199.0
159.0,159.0,331.425,99.0
239.0,239.0,188.908,239.0
179.0,179.0,170.0066,179.0
119.0,119.0,66.0,278.0
259.0,259.0,770.3765,259.0
258.0,99.0,166.5691,129.0
279.0,279.0,226.0006,20.0
119.0,119.0,242.0418,80.0
159.0,159.0,241.6676,159.0
179.0,179.0,92.1588,179.0
139.0,139.0,79.1991,219.0
258.0,258.0,197.3537,258.0
278.0,278.0,365.1756,278.0
139.0,139.0,199.5157,139.0
159.0,159.0,219.2134,159.0
219.0,219.0,31.0644,219.0
239.0,239.0,590.0686,239.0
378.0,179.0,152.7416,159.0
99.0,99.0,131.577,99.0
239.0,239.0,298.0759,239.0
80.0,80.0,61.4837,149.0
179.0,179.0,317.7204,159.0
358.0,239.0,109.2932,179.0
199.0,199.0,719.9905,199.0
100.0,100.0,161.5936,139.0
179.0,179.0,414.5048,179.0
238.0,99.0,94.5,119.0
298.0,199.0,103.0206,99.0
119.0,119.0,239.669,109.0
238.0,139.0,453.6722,119.0
199.0,199.0,100.1299,199.0
179.0,179.0,108.1665,179.0
99.0,99.0,169.1686,100.0
358.0,159.0,420.8622,179.0
139.0,139.0,313.6312,139.0
339.0,20.0,57.2189,169.5
358.0,358.0,327.3912,358.0
259.0,259.0,181.593,259.0
199.0,199.0,99.1476,199.0
139.0,139.0,160.1811,139.0
199.0,199.0,134.3503,139.0
139.0,139.0,173.7081,139.0
99.0,99.0,298.6051,99.0
139.0,139.0,356.0621,139.0
179.0,99.0,266.9724,89.5
120.0,120.0,97.5141,199.0
99.0,99.0,80.128,99.0
278.0,119.0,339.4971,179.0
80.0,80.0,226.6787,80.0
139.0,139.0,328.3146,139.0
278.0,159.0,242.0294,139.0
239.0,239.0,79.5016,239.0
20.0,20.0,129.0087,20.0
298.0,298.0,136.7644,298.0
20.0,20.0,80.6505,199.0
199.0,199.0,226.505,199.0
100.0,100.0,68.0625,100.0
179.0,179.0,131.0506,179.0
159.0,159.0,571.9869,159.0
139.0,139.0,94.012,139.0
239.0,100.0,145.0138,119.5
100.0,100.0,260.9837,100.0
159.0,159.0,151.0761,119.0
179.0,179.0,178.8582,99.0
99.0,99.0,105.9835,179.0
139.0,139.0,186.1511,139.0
99.0,99.0,345.4917,99.0
99.0,99.0,253.5005,99.0
179.0,179.0,56.8243,179.0
198.0,99.0,101.1781,99.0
20.0,20.0,136.3607,20.0
99.0,99.0,252.24,99.0
219.0,219.0,120.584,219.0
100.0,100.0,283.4277,100.0
258.0,258.0,145.555,258.0
80.0,80.0,255.6956,80.0
298.0,139.0,388.0081,149.0
179.0,179.0,407.511,268.5
139.0,139.0,485.093,139.0
139.0,139.0,58.1485,139.0
139.0,139.0,97.0322,179.0
139.0,139.0,606.0101,139.0
319.0,80.0,96.6049,106.3333
119.0,119.0,213.2416,119.0
219.0,219.0,821.5184,219.0
139.0,139.0,113.5473,139.0
139.0,139.0,660.1585,139.0
238.0,238.0,77.5065,238.0
298.0,298.0,280.9026,298.0
119.0,119.0,501.4192,119.0
179.0,179.0,703.4732,179.0
99.0,99.0,240.1838,99.0
119.0,119.0,158.1597,119.0
99.0,99.0,97.2947,99.0
239.0,159.0,251.2867,139.0
278.0,278.0,96.2549,278.0
199.0,199.0,226.4404,168.5
318.0,139.0,123.501,159.0
358.0,358.0,74.2378,358.0
199.0,199.0,94.5119,199.0
219.0,219.0,129.1395,219.0
119.0,119.0,107.3336,119.0
159.0,159.0,93.0121,159.0
99.0,99.0,307.1795,99.0
139.0,139.0,186.6039,139.0
139.0,139.0,181.5275,179.0
100.0,100.0,125.4193,100.0
99.0,99.0,122.2007,99.0
99.0,99.0,291.5017,99.0
338.0,338.0,60.4669,338.0
119.0,119.0,214.3648,119.0
99.0,99.0,130.2459,109.5
219.0,119.0,99.0454,109.5
199.0,199.0,296.5611,199.0
199.0,119.0,219.1124,185.6667
139.0,139.0,327.6145,139.0
179.0,179.0,194.2807,179.0
219.0,219.0,111.8794,219.0
318.0,179.0,175.5007,159.0
139.0,139.0,167.6261,139.0
119.0,119.0,150.6196,119.0
259.0,80.0,50.5693,89.5
159.0,159.0,1067.1551,159.0
179.0,80.0,128.8507,89.5
437.0,437.0,393.0385,437.0
378.0,378.0,183.5824,378.0
139.0,139.0,196.6037,129.0
239.0,239.0,975.1833,209.0
139.0,139.0,585.0479,139.0
318.0,219.0,92.5054,159.0
199.0,199.0,216.985,199.0
140.0,140.0,726.0062,140.0
357.0,139.0,921.2918,119.0
99.0,99.0,235.0899,99.0
219.0,219.0,55.7584,219.0
139.0,139.0,155.5072,139.0
239.0,239.0,173.7074,239.0
238.0,238.0,115.3917,238.0
100.0,100.0,657.164,100.0
80.0,80.0,147.5305,80.0
199.0,199.0,226.4757,199.0
80.0,80.0,229.5441,80.0
179.0,179.0,147.589,179.0
298.0,298.0,316.9941,298.0
179.0,179.0,309.7325,179.0
139.0,139.0,185.7323,139.0
358.0,358.0,91.9035,358.0
139.0,139.0,150.2132,139.0
99.0,99.0,592.9058,99.0
80.0,80.0,126.7764,298.0
278.0,139.0,369.5487,139.0
199.0,199.0,165.4093,199.0
179.0,179.0,165.128,179.0
318.0,219.0,824.8674,159.0
179.0,179.0,202.9495,139.0
378.0,179.0,108.0116,189.0
119.0,119.0,469.3967,119.0
179.0,179.0,208.5096,179.0
418.0,418.0,125.504,418.0
99.0,99.0,464.7349,99.0
139.0,139.0,194.5925,139.0
239.0,239.0,300.0417,239.0
140.0,140.0,450.0189,20.0
139.0,139.0,50.1124,139.0
139.0,139.0,387.7435,139.0
119.0,119.0,385.1873,119.0
199.0,199.0,115.9741,199.0
139.0,139.0,110.2554,159.0
219.0,219.0,92.8924,179.0
457.0,457.0,105.5746,457.0
299.0,299.0,62.6997,299.0
258.0,99.0,283.8045,129.0
99.0,99.0,557.2443,99.0
139.0,139.0,200.6801,139.0
238.0,238.0,550.3519,238.0
20.0,20.0,190.5026,20.0
139.0,139.0,87.6156,139.0
319.0,319.0,72.0434,319.0
240.0,80.0,93.4077,398.0
99.0,99.0,186.3632,99.0
119.0,119.0,116.6812,179.0
80.0,80.0,128.0352,80.0
99.0,99.0,697.87,99.0
278.0,139.0,187.5613,139.0
278.0,278.0,148.3139,278.0
179.0,179.0,128.6177,179.0
100.0,100.0,85.0368,100.0
139.0,139.0,134.0168,139.0
179.0,179.0,244.2478,179.0
219.0,219.0,205.6502,219.0
139.0,139.0,158.5386,139.0
278.0,278.0,144.0139,278.0
99.0,99.0,707.5373,99.0
80.0,80.0,186.6447,80.0
139.0,139.0,162.4962,139.0
139.0,139.0,183.8648,99.0
99.0,99.0,239.4394,99.0
279.0,279.0,70.0874,279.0
99.0,99.0,204.8908,99.0
319.0,319.0,210.072,319.0
159.0,159.0,195.6074,159.0
219.0,219.0,180.2006,219.0
219.0,219.0,226.0138,219.0
99.0,99.0,342.646,99.0
159.0,159.0,138.4133,159.0
339.0,339.0,88.0525,339.0
119.0,119.0,127.5245,119.0
139.0,139.0,88.5903,139.0
99.0,99.0,772.1026,99.0
100.0,100.0,574.2269,100.0
259.0,259.0,366.1291,259.0
139.0,139.0,250.6297,139.0
139.0,139.0,513.1335,139.0
80.0,80.0,94.5013,80.0
99.0,99.0,652.5002,99.0
239.0,239.0,188.006,239.0
119.0,119.0,206.3129,119.0
119.0,119.0,460.7,119.0
239.0,239.0,50.324,80.0
139.0,139.0,263.9934,139.0
119.0,119.0,84.537,119.0
338.0,219.0,86.9511,139.0
139.0,139.0,57.0898,139.0
179.0,179.0,57.8468,179.0
139.0,139.0,234.8601,139.0
199.0,199.0,340.2117,338.0
298.0,159.0,128.001,149.0
159.0,159.0,108.4735,159.0
199.0,119.0,71.1354,109.5
218.0,99.0,536.28,109.0
119.0,119.0,162.0903,119.0
238.0,238.0,64.2806,238.0
259.0,259.0,113.1868,259.0
179.0,179.0,189.1778,179.0
159.0,159.0,40.5278,159.0
219.0,219.0,351.5252,219.0
139.0,139.0,45.467,139.0
159.0,159.0,91.9837,159.0
139.0,139.0,269.5561,139.0
298.0,199.0,81.0586,149.0
119.0,119.0,117.031,119.0
239.0,239.0,119.0976,239.0
219.0,219.0,280.5539,219.0
159.0,159.0,107.5744,159.0
338.0,159.0,90.7331,159.0
258.0,258.0,87.7852,258.0
379.0,379.0,108.074,279.0
139.0,139.0,477.7682,139.0
179.0,179.0,198.5157,179.0
80.0,80.0,392.699,80.0
358.0,199.0,234.5021,179.0
179.0,179.0,149.1518,179.0
179.0,179.0,162.0031,99.0
199.0,199.0,124.5361,199.0
199.0,199.0,184.6145,199.0
219.0,219.0,294.6226,219.0
119.0,119.0,226.3454,119.0
139.0,139.0,874.0631,139.0
259.0,259.0,317.3704,259.0
457.0,238.0,185.5108,228.5
139.0,139.0,236.0095,139.0
139.0,139.0,169.0067,298.0
457.0,457.0,212.9842,457.0
179.0,179.0,200.5224,179.0
99.0,99.0,590.7929,99.0
80.0,80.0,50.0,80.0
119.0,119.0,156.5799,119.0
119.0,119.0,121.1084,129.5
179.0,179.0,163.0598,179.0
359.0,359.0,88.9508,359.0
219.0,219.0,149.459,219.0
159.0,159.0,138.153,119.0
378.0,378.0,215.0593,378.0
259.0,259.0,394.1427,259.0
139.0,139.0,69.4262,139.0
139.0,139.0,264.4844,139.0
80.0,80.0,435.9014,80.0
199.0,100.0,73.2069,99.5
219.0,139.0,328.2777,119.0
259.0,259.0,66.191,119.0
279.0,279.0,65.7305,279.0
80.0,80.0,352.23,80.0
298.0,298.0,93.1034,298.0
80.0,80.0,330.276,80.0
99.0,99.0,108.14,99.0
219.0,219.0,237.4031,219.0
179.0,179.0,160.0383,278.0
258.0,258.0,261.6028,258.0
139.0,139.0,54.7951,99.0
418.0,199.0,282.438,209.0
159.0,159.0,91.7674,159.0
139.0,139.0,128.7808,139.0
357.0,159.0,89.9694,119.0
298.0,298.0,128.2312,298.0
179.0,179.0,196.6628,179.0
99.0,99.0,150.1949,99.0
198.0,99.0,671.4239,99.0
199.0,199.0,132.2365,239.0
239.0,239.0,132.1637,239.0
179.0,179.0,98.1835,179.0
179.0,179.0,452.0426,179.0
298.0,298.0,127.5088,298.0
179.0,179.0,165.1802,179.0
159.0,159.0,162.0633,367.5
99.0,99.0,81.2665,259.0
139.0,139.0,189.4842,139.0
419.0,419.0,146.5137,20.0
298.0,99.0,237.8424,99.0
159.0,159.0,194.6645,159.0
119.0,119.0,303.5334,119.0
278.0,278.0,103.646,199.0
99.0,99.0,399.4277,99.0
179.0,179.0,208.9527,179.0
99.0,99.0,276.0783,80.0
99.0,99.0,77.1038,278.0
99.0,99.0,572.5055,169.0
99.0,99.0,197.2777,99.0
199.0,199.0,386.2464,199.0
139.0,139.0,135.3292,139.0
139.0,139.0,142.1487,139.0
199.0,199.0,258.031,199.0
258.0,258.0,206.6023,258.0
319.0,319.0,53.2189,259.0
99.0,99.0,114.0099,199.0
119.0,119.0,162.8381,119.0
159.0,159.0,360.6279,159.0
160.0,80.0,1001.4502,80.0
179.0,179.0,537.5733,179.0
20.0,20.0,661.376,20.0
159.0,159.0,59.8415,159.0
139.0,139.0,283.5,139.0
219.0,219.0,282.16,219.0
159.0,159.0,173.3818,159.0
139.0,139.0,103.5495,139.0
258.0,119.0,141.508,129.0
100.0,100.0,560.7069,100.0
418.0,239.0,129.4025,209.0
179.0,179.0,527.5332,179.0
139.0,139.0,868.4752,139.0
80.0,80.0,192.6266,80.0
179.0,179.0,85.3009,278.0
179.0,179.0,347.7963,179.0
159.0,159.0,96.6049,159.0
20.0,20.0,103.0364,109.5
160.0,80.0,685.4331,80.0
139.0,139.0,186.784,139.0
159.0,159.0,217.5092,159.0
278.0,278.0,179.2017,99.0
99.0,99.0,51.0,179.0
139.0,139.0,97.1249,139.0
139.0,139.0,57.5196,139.0
139.0,139.0,128.6944,139.0
179.0,179.0,692.9939,179.0
159.0,159.0,242.5,159.0
99.0,99.0,232.7767,99.0
139.0,139.0,136.0744,139.0
119.0,119.0,134.5929,119.0
159.0,159.0,311.5004,199.0
239.0,239.0,181.0559,239.0
159.0,159.0,181.2236,159.0
80.0,80.0,44.78,80.0
139.0,139.0,209.1728,139.0
219.0,219.0,52.7376,219.0
199.0,199.0,279.0448,199.0
99.0,99.0,586.7355,99.0
239.0,20.0,119.3325,119.5
299.0,139.0,287.4182,99.6667
338.0,199.0,158.7931,169.0
338.0,199.0,95.1223,169.0
119.0,119.0,549.4129,119.0
219.0,219.0,186.8241,219.0
80.0,80.0,301.6061,119.0
258.0,258.0,195.0519,258.0
139.0,139.0,58.5021,139.0
139.0,139.0,1121.4024,119.0
99.0,99.0,100.1312,99.0
99.0,99.0,195.9751,179.0
258.0,258.0,104.1453,318.0
536.0,119.0,159.0786,178.6667
99.0,99.0,249.1154,99.0
259.0,259.0,83.5,259.0
199.0,199.0,201.5589,199.0
179.0,179.0,1015.529,139.0
278.0,159.0,137.7942,139.0
199.0,199.0,430.0814,139.0
298.0,199.0,243.4938,149.0
258.0,258.0,82.0061,258.0
139.0,139.0,158.2127,139.0
99.0,99.0,635.4725,159.0
119.0,119.0,114.0395,119.0
99.0,99.0,62.476,99.0
139.0,139.0,358.2304,139.0
99.0,99.0,225.2521,99.0
139.0,139.0,278.8301,139.0
179.0,179.0,135.1268,179.0
218.0,99.0,103.4843,109.0
179.0,179.0,425.7056,179.0
100.0,100.0,204.6851,199.0
259.0,259.0,69.9946,259.0
199.0,199.0,115.0761,199.0
318.0,139.0,838.2412,159.0
219.0,219.0,106.7907,99.0
179.0,179.0,490.5928,179.0
357.0,99.0,152.5524,178.5
139.0,139.0,101.7472,80.0
179.0,80.0,119.1512,89.5
80.0,80.0,114.0175,80.0
199.0,199.0,176.098,199.0
139.0,139.0,609.3673,139.0
179.0,179.0,553.097,179.0
139.0,139.0,200.1406,139.0
259.0,179.0,150.7987,129.5
159.0,159.0,194.2897,129.0
179.0,179.0,101.0371,179.0
20.0,20.0,117.5521,279.0
598.0,399.0,119.877,319.0
139.0,139.0,129.3957,139.0
339.0,339.0,58.4829,459.0
219.0,219.0,113.554,80.0
119.0,119.0,222.7717,119.0
258.0,258.0,102.2314,258.0
298.0,298.0,48.6621,298.0
80.0,80.0,60.0187,80.0
258.0,99.0,167.7982,139.0
358.0,179.0,0.0,179.0
99.0,99.0,485.0673,99.0
179.0,179.0,123.9728,179.0
199.0,199.0,101.4027,199.0
159.0,159.0,251.0717,159.0
278.0,99.0,61.4003,139.0
379.0,379.0,233.0263,379.0
99.0,99.0,716.9275,99.0
179.0,179.0,721.7579,179.0
159.0,159.0,707.356,159.0
219.0,139.0,114.1326,109.5
159.0,159.0,109.4098,159.0
99.0,99.0,100.4241,99.0
139.0,139.0,282.6278,258.0
179.0,179.0,236.5021,179.0
258.0,119.0,129.124,129.0
99.0,99.0,284.1127,99.0
239.0,239.0,201.748,239.0
80.0,80.0,518.001,80.0
238.0,139.0,291.5257,149.0
20.0,20.0,88.0738,20.0
258.0,258.0,253.1897,159.0
219.0,219.0,225.1227,238.5
80.0,80.0,97.8902,80.0
179.0,179.0,31.7057,179.0
219.0,219.0,115.4784,219.0
199.0,199.0,221.5023,199.0
238.0,238.0,136.18,238.0
219.0,219.0,83.5853,219.0
139.0,139.0,112.8683,139.0
139.0,139.0,38.1477,139.0
119.0,119.0,121.4434,119.0
179.0,179.0,407.2386,179.0
179.0,179.0,76.8651,179.0
139.0,139.0,245.6242,139.0
258.0,258.0,258.9295,159.0
298.0,298.0,205.1006,298.0
99.0,99.0,321.3973,99.0
119.0,119.0,621.6257,119.0
179.0,179.0,113.4251,139.0
338.0,338.0,243.6847,338.0
179.0,179.0,124.0494,179.0
179.0,179.0,117.6287,179.0
99.0,99.0,58.826,99.0
179.0,179.0,375.5163,179.0
199.0,199.0,108.2647,199.0
278.0,278.0,82.1523,278.0
259.0,259.0,260.5691,259.0
457.0,238.0,174.0065,228.5
179.0,179.0,130.5412,179.0
338.0,159.0,164.8674,169.0
139.0,139.0,232.8626,139.0
199.0,199.0,696.7944,199.0
100.0,100.0,59.3001,100.0
139.0,139.0,242.0331,139.0
179.0,179.0,213.8697,179.0
298.0,159.0,157.035,149.0
179.0,179.0,102.5305,268.0
100.0,100.0,67.3146,199.0
179.0,179.0,116.6298,179.0
278.0,278.0,63.7122,278.0
179.0,179.0,189.7215,199.0
99.0,99.0,203.5301,99.0
556.0,298.0,155.7899,278.0
179.0,179.0,631.4826,179.0
417.0,99.0,68.5456,139.0
278.0,278.0,104.6482,278.0
278.0,278.0,165.0068,278.0
397.0,397.0,80.0078,298.0
139.0,139.0,188.5,139.0
239.0,159.0,263.1316,119.5
80.0,80.0,187.131,80.0
219.0,219.0,236.6527,219.0
119.0,119.0,246.575,179.0
199.0,199.0,50.04,199.0
179.0,179.0,1445.4747,179.0
80.0,80.0,479.3071,80.0
238.0,238.0,584.1836,238.0
219.0,139.0,206.8586,109.5
239.0,239.0,511.4834,239.0
99.0,99.0,317.3724,99.0
179.0,179.0,157.8171,179.0
179.0,179.0,278.5687,179.0
219.0,219.0,413.2723,219.0
99.0,99.0,301.059,99.0
139.0,139.0,1124.1835,139.0
119.0,119.0,148.9841,119.0
377.0,139.0,93.7257,188.5
239.0,239.0,240.6502,239.0
338.0,199.0,80.6877,199.0
199.0,80.0,324.2241,99.5
139.0,139.0,505.5022,139.0
179.0,179.0,110.6368,179.0
119.0,119.0,164.7741,119.0
358.0,219.0,521.5041,179.0
278.0,179.0,242.0331,179.0
238.0,238.0,139.5323,238.0
160.0,80.0,204.8518,80.0
139.0,139.0,155.1403,139.0
338.0,159.0,89.7622,169.0
298.0,298.0,103.1855,199.0
179.0,179.0,135.0796,179.0
279.0,279.0,495.9859,279.0
119.0,119.0,158.9166,119.0
99.0,99.0,165.4637,99.0
99.0,99.0,171.2381,99.0
139.0,139.0,57.0,179.0
119.0,119.0,111.2531,119.0
99.0,99.0,552.5333,99.0
338.0,199.0,0.0,169.0
219.0,219.0,71.1846,219.0
278.0,159.0,125.865,139.0
139.0,139.0,177.0254,139.0
259.0,159.0,105.5959,139.0
119.0,119.0,175.9638,139.0
99.0,99.0,69.3001,99.0
239.0,239.0,71.514,239.0
179.0,179.0,111.6613,179.0
219.0,219.0,650.0325,219.0
99.0,99.0,211.048,99.0
139.0,139.0,195.6253,139.0
80.0,80.0,166.1423,99.0
238.0,99.0,376.7658,119.0
418.0,418.0,139.0,497.0
159.0,159.0,419.1718,139.0
119.0,119.0,82.5303,119.0
238.0,119.0,207.3475,119.0
119.0,119.0,99.7647,119.0
80.0,80.0,500.2559,80.0
477.0,199.0,125.3236,238.5
397.0,298.0,121.2023,198.5
139.0,139.0,83.8048,258.0
159.0,159.0,194.1237,159.0
219.0,219.0,493.0096,219.0
238.0,139.0,614.0004,119.0
139.0,139.0,122.8993,139.0
139.0,139.0,723.3072,139.0
99.0,99.0,747.9215,99.0
159.0,159.0,437.7811,159.0
100.0,100.0,154.7361,159.0
179.0,179.0,58.3802,179.0
199.0,199.0,129.2604,80.0
259.0,259.0,78.5143,259.0
238.0,238.0,227.0518,238.0
219.0,139.0,79.577,109.5
99.0,99.0,250.3003,99.0
139.0,139.0,241.1327,90.0
179.0,179.0,146.1232,179.0
139.0,139.0,67.5,219.0
139.0,139.0,146.5094,139.0
99.0,99.0,122.8993,139.0
80.0,80.0,506.0089,80.0
179.0,179.0,121.9529,179.0
238.0,119.0,129.1172,219.0
139.0,139.0,0.0,139.0
139.0,139.0,139.5224,139.0
219.0,219.0,128.97,219.0
99.0,99.0,227.5703,99.0
159.0,159.0,155.5201,159.0
298.0,298.0,99.0051,338.0
199.0,199.0,341.0092,199.0
179.0,179.0,185.0547,179.0
99.0,99.0,137.2088,99.0
477.0,338.0,85.3361,80.0
139.0,139.0,59.5189,139.0
238.0,238.0,177.5176,238.0
298.0,298.0,314.5894,159.0
179.0,179.0,163.0598,100.0
139.0,139.0,289.5971,139.0
80.0,80.0,257.5587,80.0
239.0,239.0,1317.3121,219.0
160.0,80.0,454.7202,80.0
238.0,238.0,188.0538,238.0
99.0,99.0,220.6043,99.0
99.0,99.0,393.961,99.0
139.0,139.0,317.5,139.0
219.0,219.0,169.4299,219.0
99.0,99.0,138.1774,99.0
119.0,119.0,159.4091,119.0
139.0,139.0,322.2484,139.0
278.0,179.0,142.5035,139.0
298.0,298.0,107.6162,298.0
99.0,99.0,374.8173,99.0
119.0,119.0,662.9874,119.0
80.0,80.0,400.005,80.0
119.0,119.0,132.0237,119.0
199.0,199.0,65.9109,199.0
199.0,199.0,244.4013,199.0
119.0,119.0,182.4918,119.0
199.0,119.0,221.0713,99.5
20.0,20.0,233.1577,20.0
358.0,358.0,127.8251,358.0
179.0,80.0,336.5416,89.5
