eyemove/table1.firstPassFixDur,eyemove/table1.landingPos,eyemove/table1.lastSaccLen,eyemove/table1.leavingPos,eyemove/table1.lineNo,eyemove/table1.meanFixDur,eyemove/table1.nextFixDur,eyemove/table1.prevFixPos,eyemove/table1.pupilDiamLag,eyemove/table1.pupilDiamMax
179.0,15.5724,163.6498,24.1661,10809.0,179.0,239.0,90.5207,0.082,0.028
99.0,38.7105,169.1065,26.3154,6933.0,99.0,159.0,341.4235,0.2868,0.3973
298.0,112.1985,77.666,114.2716,658.0,278.0,258.0,369.1951,0.1706,0.0971
100.0,71.4493,239.5005,68.0165,9940.0,100.0,199.0,137.2006,0.325,0.2465
139.0,93.1585,107.4826,93.3876,10213.0,139.0,159.0,198.0227,0.2537,0.0742
358.0,88.1717,127.9932,96.6863,10753.0,179.0,139.0,0.0,0.201,0.1405
99.0,24.7891,48.9311,28.3064,9491.0,179.0,139.0,190.7669,0.0661,0.1446
199.0,66.9216,62.1168,80.0562,1276.0,199.0,179.0,358.0796,0.1167,0.0487
139.0,56.0022,751.5585,59.854,4620.0,139.0,219.0,72.1803,0.2312,0.2312
258.0,100.5448,251.8358,106.0955,810.0,258.0,119.0,193.0104,0.1796,0.1211
298.0,88.1618,72.8371,93.3408,1214.0,159.0,139.0,658.041,0.1208,0.1208
259.0,51.6624,141.1737,60.407,10051.0,259.0,80.0,363.3731,0.2672,0.1452
80.0,95.5196,718.3572,93.9747,10927.0,80.0,219.0,23.4094,0.473,0.2675
179.0,88.5056,238.5886,80.5248,4622.0,179.0,238.0,77.026,0.1682,0.2312
119.0,138.6984,101.2089,143.9522,1602.0,119.0,179.0,655.4647,0.1176,0.0086
159.0,4.5277,342.5526,3.8079,7010.0,159.0,179.0,100.8464,0.0218,0.0218
119.0,61.0328,606.132,68.31,4934.0,119.0,239.0,69.5701,0.2586,0.0736
179.0,99.077,102.2314,102.8227,7509.0,179.0,219.0,120.9339,0.1432,0.0107
338.0,20.3039,329.3543,60.7988,3150.0,169.0,239.0,144.2221,1.1346,-0.7869
219.0,7.6322,172.0356,2.5495,149.0,159.0,239.0,117.2902,0.0865,0.032
199.0,45.6207,208.515,34.9857,8946.0,199.0,159.0,229.8369,0.1757,0.0597
299.0,27.8298,71.6415,34.3984,2974.0,299.0,179.0,149.7531,-0.3694,0.7661
99.0,148.5034,353.8057,150.03,4288.0,99.0,179.0,122.0041,0.2655,0.211
179.0,70.1463,114.2639,65.6201,4145.0,89.5,139.0,41.4367,0.0945,0.1385
99.0,79.9531,607.225,86.552,6099.0,99.0,278.0,12.0416,0.1126,0.0341
100.0,46.8241,934.2292,41.9672,995.0,100.0,278.0,145.4166,0.0989,0.0989
397.0,77.5258,112.9436,108.5737,10040.0,132.3333,100.0,128.4251,0.1492,0.2377
99.0,44.9027,299.1028,52.7873,10538.0,179.0,80.0,185.0,0.1057,0.0207
139.0,64.3273,431.196,75.591,6736.0,139.0,80.0,267.1666,0.1319,0.0359
99.0,23.0489,95.0053,22.7706,6582.0,119.0,159.0,321.4094,0.2895,0.2646
377.0,54.0231,212.6511,227.5049,8150.0,188.5,159.0,0.0,0.2719,0.2559
239.0,158.7026,59.7013,143.0472,2367.0,239.0,139.0,301.0149,0.8192,-0.0348
299.0,94.578,386.4848,35.0036,2374.0,129.5,359.0,38.9487,0.6472,0.9107
159.0,173.0,113.8914,175.2063,8443.0,159.0,139.0,74.5453,0.0437,0.0437
139.0,26.2155,490.4498,13.4536,9516.0,179.0,139.0,130.4186,0.2226,0.2401
199.0,44.3847,146.1925,60.3925,8612.0,199.0,99.0,167.5739,0.5007,0.0222
99.0,68.7786,147.3516,62.9365,6729.0,99.0,80.0,608.3584,0.4224,0.0374
179.0,42.1456,116.9027,55.2675,1443.0,179.0,80.0,63.3246,0.2671,0.2076
80.0,122.0502,168.7965,130.0087,9389.0,80.0,179.0,615.7085,0.2497,0.1537
219.0,69.857,229.0546,47.8174,4053.0,219.0,179.0,352.1718,0.0801,0.1296
139.0,17.4141,291.7795,20.573,8986.0,139.0,119.0,267.0805,0.1052,0.0712
199.0,43.9318,496.258,33.2415,5732.0,199.0,99.0,249.3933,0.3345,0.0875
179.0,78.3534,184.1962,73.9899,10905.0,179.0,100.0,554.4628,0.1465,-0.0165
239.0,84.8248,129.8124,83.4865,4360.0,239.0,179.0,138.7083,0.0377,-0.0268
139.0,24.2539,203.141,15.1162,7347.0,139.0,99.0,156.5439,0.1033,0.1113
338.0,102.3536,231.6948,96.0,1025.0,179.0,159.0,579.9078,0.1254,0.0629
99.0,71.044,430.0012,66.6202,6548.0,99.0,139.0,130.9695,0.2165,0.2781
179.0,1039.7126,91.1002,95.1223,2600.0,219.0,259.0,480.713,1.016,0.319
199.0,4.6098,742.43,20.5548,7659.0,199.0,139.0,225.1089,0.2451,0.2216
219.0,50.2842,173.6412,56.7979,2190.0,219.0,139.0,61.6847,0.5974,-0.5346
159.0,114.7279,462.3873,121.2322,7204.0,159.0,119.0,200.5617,0.5446,0.1831
219.0,23.9635,276.0041,34.2381,7549.0,219.0,199.0,341.2038,-0.0073,-0.0073
557.0,59.7704,132.0606,56.5796,4841.0,219.0,457.0,540.0009,0.1161,0.1916
119.0,67.6702,207.6132,52.5024,3794.0,139.0,139.0,51.0,0.2943,0.2878
80.0,52.7376,288.3401,54.1295,6735.0,80.0,139.0,258.2789,0.0854,-0.0761
179.0,6.265,186.1196,24.3977,860.0,179.0,199.0,56.0892,0.1039,0.0879
159.0,43.0465,197.1427,46.0109,2243.0,159.0,179.0,114.5295,-0.4376,-0.3586
259.0,140.532,87.4714,134.5158,3874.0,259.0,258.0,144.9586,0.1143,-0.0072
100.0,58.5021,255.7953,75.1083,10542.0,219.0,179.0,153.7303,0.1612,0.1057
179.0,23.2433,160.1999,25.7391,10822.0,179.0,80.0,150.2065,0.2545,0.0365
338.0,32.6382,166.0903,78.0801,8338.0,169.0,139.0,77.9359,0.2644,0.3369
99.0,29.6985,219.9528,38.0789,3267.0,99.0,99.0,30.5941,0.2765,0.162
99.0,51.8483,125.9811,47.7624,10815.0,99.0,179.0,104.1201,0.1595,0.048
278.0,75.5844,254.3275,47.289,5179.0,139.0,199.0,188.5338,0.1518,0.1903
259.0,155.5201,174.5,145.0009,1032.0,159.0,278.0,231.8211,0.1189,0.1254
99.0,50.065,360.8715,55.1589,7704.0,99.0,80.0,267.1872,0.1206,0.2526
80.0,78.4873,504.9802,83.7511,9224.0,80.0,159.0,205.061,0.2037,0.1952
319.0,32.596,177.5,24.5204,2799.0,179.0,219.0,105.2093,1.2187,0.5542
99.0,58.8069,182.5445,70.0179,10098.0,99.0,179.0,38.2884,0.2347,0.0122
99.0,93.6923,216.3354,83.1174,7553.0,99.0,179.0,127.9531,0.2927,0.3047
219.0,72.2721,112.0379,66.1532,406.0,219.0,199.0,182.0165,0.2978,0.2978
159.0,113.0011,106.5106,100.7795,5129.0,159.0,159.0,96.7729,0.1538,0.0443
99.0,113.0011,237.0243,111.9933,9622.0,99.0,139.0,560.2758,0.2596,0.3276
99.0,65.7647,112.0179,86.0712,3259.0,99.0,80.0,272.1176,0.275,0.2235
179.0,42.0595,247.0233,46.0435,8954.0,179.0,219.0,158.978,0.0847,0.1757
80.0,6.9462,432.3439,5.7009,9300.0,80.0,179.0,704.0028,0.3857,0.2337
258.0,86.0886,106.48,61.2944,2095.0,109.5,99.0,364.9658,0.1314,0.1859
198.0,92.1805,205.8476,77.6804,7631.0,99.0,338.0,457.28,0.1766,0.1801
80.0,265.9497,638.1618,255.5827,2072.0,80.0,159.0,111.6154,0.3214,0.1799
219.0,57.7603,334.9336,71.1688,1899.0,219.0,139.0,220.0954,0.4009,0.1404
20.0,19.5,321.0876,13.4629,2460.0,159.0,140.0,238.0336,-0.2355,-0.8475
119.0,93.2872,306.6537,92.7699,3528.0,119.0,99.0,193.383,0.5365,0.3255
179.0,52.0312,198.2839,58.228,10573.0,179.0,99.0,91.0659,0.1202,0.1572
219.0,1105.9508,996.4834,1097.3154,2544.0,20.0,219.0,578.2499,0.734,0.8315
80.0,131.5086,848.1327,135.9458,6031.0,80.0,139.0,41.7732,0.3536,0.2561
199.0,71.8923,169.0044,209.1937,732.0,159.0,298.0,565.0434,0.0756,0.0361
259.0,113.0177,132.0237,142.0563,6013.0,259.0,159.0,245.1775,0.0886,-0.0194
298.0,87.1321,241.2494,85.6519,962.0,298.0,119.0,167.5858,0.2074,0.0309
199.0,61.6543,67.1751,62.8908,856.0,199.0,238.0,0.0,0.1039,0.0309
159.0,173.4013,100.4502,172.2513,5363.0,159.0,199.0,224.3212,0.0812,0.0227
119.0,44.5702,614.1974,38.1084,10240.0,119.0,278.0,177.4965,0.2242,0.1082
80.0,69.6796,280.2789,56.6083,601.0,80.0,100.0,84.006,0.0738,0.1233
80.0,56.2072,285.0952,48.1067,9409.0,80.0,99.0,253.16,0.1202,0.2077
238.0,45.3542,382.0393,21.9203,8867.0,238.0,100.0,246.5198,0.1852,0.1162
159.0,122.043,140.6983,110.6447,7944.0,139.0,199.0,501.8297,0.4633,0.1988
99.0,48.1274,158.2024,50.5693,2071.0,99.0,80.0,119.4362,0.3214,0.0799
99.0,74.0422,131.9185,67.1063,1821.0,99.0,219.0,110.7655,0.0259,0.0259
379.0,54.8179,94.4312,76.1528,2268.0,379.0,180.0,104.2017,1.5602,1.1122
119.0,35.2278,235.5021,47.0558,9538.0,119.0,99.0,304.5866,0.6081,0.2606
139.0,81.3895,244.525,92.4189,8988.0,139.0,99.0,105.4751,0.1462,0.0817
239.0,33.541,77.1962,37.7922,8015.0,239.0,179.0,101.3558,0.2813,0.2638
516.0,75.2629,91.1661,77.3838,3272.0,179.0,80.0,110.6345,0.273,0.2725
139.0,50.2021,888.1319,65.622,4128.0,80.0,239.0,86.4696,0.55,0.2045
239.0,83.3217,220.4342,142.9773,1324.0,119.5,99.0,51.0392,0.0837,0.1102
139.0,55.5,112.1606,157.0199,4247.0,189.0,179.0,51.0392,0.2625,-0.0025
159.0,72.2772,197.7321,81.4877,9137.0,159.0,139.0,353.2039,0.1342,0.0952
199.0,34.176,187.6006,78.1937,2316.0,200.0,259.0,110.0182,2.8397,1.4012
119.0,66.9795,666.9501,63.7828,3363.0,119.0,278.0,349.3666,0.237,0.1405
417.0,20.1556,304.1488,90.0125,2025.0,208.5,119.0,58.3095,0.0969,0.0954
219.0,42.7463,113.0863,119.9417,1189.0,129.0,239.0,89.627,0.0263,-0.0602
258.0,61.5508,223.1435,48.0104,9146.0,258.0,119.0,301.0149,0.1542,0.0862
298.0,58.1055,238.6179,65.9867,5505.0,298.0,239.0,278.2589,0.077,0.0995
239.0,18.0347,39.9625,33.3766,1620.0,239.0,199.0,538.0567,0.6206,0.0936
298.0,50.2195,178.9839,60.6321,6989.0,149.0,99.0,104.9952,0.0343,-0.0592
139.0,20.2485,66.7271,26.6833,2758.0,139.0,259.0,115.4123,1.3812,1.4612
179.0,444.1734,610.2368,435.2807,2448.0,179.0,199.0,264.8509,0.6205,0.6815
298.0,87.7055,130.501,38.4708,8453.0,149.0,119.0,375.6927,0.2122,-0.0593
199.0,65.9735,252.9056,78.6527,251.0,199.0,199.0,104.8904,0.5104,0.3939
99.0,84.0387,125.077,70.445,162.0,99.0,119.0,214.021,0.17,0.169
119.0,108.5288,398.5452,118.4536,9504.0,219.0,139.0,218.4033,0.2056,0.0251
278.0,82.7179,253.1585,90.3549,4767.0,278.0,238.0,23.2594,0.4981,0.4981
179.0,76.2775,163.1962,78.7051,10351.0,179.0,179.0,139.6352,0.3523,0.2733
159.0,25.5441,212.5288,27.9508,1669.0,159.0,258.0,86.977,0.2636,0.0571
99.0,105.3091,62.0725,91.8286,6856.0,99.0,119.0,273.3862,0.2544,0.0869
80.0,166.7461,392.7658,179.2603,7919.0,80.0,100.0,27.7849,0.2198,0.1273
139.0,41.824,156.7713,31.8944,4581.0,139.0,139.0,118.1524,0.2337,0.0482
139.0,89.7399,41.14,92.8897,2031.0,139.0,99.0,120.9669,0.1814,0.0404
219.0,97.6281,359.5598,105.9056,3482.0,179.0,159.0,89.0056,0.4043,0.3018
437.0,162.1496,284.5861,58.8218,5245.0,145.6667,179.0,0.0,0.0983,-0.0277
139.0,34.0037,127.7047,39.6989,975.0,139.0,139.0,176.2839,0.0989,0.0869
139.0,78.6591,571.5411,82.3423,9580.0,139.0,179.0,238.0756,0.0971,0.0841
139.0,17.3277,230.411,13.4629,5329.0,139.0,318.0,0.0,0.1572,-0.0348
258.0,94.1409,137.4018,85.1146,10735.0,258.0,298.0,196.4001,0.308,0.368
99.0,79.925,159.8624,66.888,6959.0,99.0,99.0,51.3128,0.2988,0.0303
139.0,30.6961,116.2497,26.1199,8153.0,139.0,99.0,192.0651,0.2119,0.2719
278.0,41.3098,97.0,68.6477,5133.0,179.0,219.0,74.3303,0.2938,0.0693
159.0,80.3275,74.5185,71.0106,7570.0,159.0,238.0,177.7217,0.3207,0.1737
298.0,70.342,137.8278,76.4739,351.0,298.0,119.0,108.2312,0.1169,0.1139
139.0,57.2931,244.0184,82.2253,3325.0,139.0,99.0,151.8552,0.407,0.3425
179.0,60.4401,142.7839,65.4866,1460.0,179.0,139.0,142.5938,0.0161,0.1821
317.0,54.2609,200.5,47.2969,10528.0,80.0,99.0,478.7755,0.0207,-0.0378
99.0,47.0106,250.72,44.0114,6569.0,99.0,99.0,850.0994,0.419,0.191
179.0,65.2093,119.827,65.3012,4871.0,239.0,239.0,38.833,0.2786,0.1416
179.0,27.8568,506.5385,16.8077,1303.0,119.0,139.0,335.5384,0.2352,0.0447
80.0,80.5621,182.5027,89.2328,10540.0,199.0,99.0,39.2938,0.1612,0.0852
179.0,135.559,154.0519,142.1724,864.0,179.0,139.0,76.4199,0.1339,0.0904
80.0,55.4707,249.7048,61.6198,9517.0,219.0,139.0,541.2365,0.2226,0.2401
179.0,35.5985,122.8587,39.3224,3398.0,179.0,80.0,661.3093,0.361,0.35
339.0,78.8495,384.7184,55.3399,2615.0,478.0,199.0,553.9765,2.0375,0.904
179.0,71.9253,172.9169,66.5169,4527.0,179.0,239.0,469.0096,0.1572,0.1052
239.0,99.0051,173.1221,72.5,5404.0,239.0,219.0,918.9042,0.0652,0.1392
477.0,35.5,104.5108,51.0392,4412.0,179.0,179.0,109.0183,0.2142,0.2037
80.0,157.0032,299.1509,174.7584,7006.0,80.0,139.0,203.0025,0.4548,0.1193
139.0,60.0333,35.805,57.0088,6494.0,139.0,99.0,657.0,0.0859,-0.1101
238.0,72.5603,130.5153,67.0914,6356.0,119.0,298.0,326.2591,0.253,0.253
80.0,28.4693,209.0293,19.4551,6734.0,80.0,80.0,0.0,0.0854,-0.0876
736.0,26.9258,733.0921,247.3181,5869.0,189.0,199.0,83.0241,0.0305,0.0775
299.0,32.1753,335.8724,38.396,2743.0,299.0,339.0,417.4901,1.3035,1.16
179.0,11.068,319.0611,17.1828,9807.0,179.0,119.0,328.0015,0.258,0.122
657.0,71.0018,244.6268,84.7718,2690.0,219.0,239.0,415.2132,0.36,0.6945
99.0,129.0659,367.3027,119.5418,9783.0,99.0,80.0,83.3847,0.1345,0.289
238.0,41.3824,90.4005,58.2795,4889.0,119.0,139.0,389.5151,0.2891,0.2986
279.0,47.8017,114.6833,58.86,3152.0,279.0,120.0,90.0888,1.6561,-0.0299
139.0,65.2763,243.1008,66.8674,9065.0,139.0,99.0,407.0197,0.3802,0.2327
218.0,87.1005,446.1852,71.3442,4085.0,109.0,159.0,69.6419,0.5086,0.2041
99.0,49.2392,86.6487,49.8623,5146.0,99.0,80.0,703.9212,0.1148,0.3038
179.0,79.3757,84.0907,94.9645,5322.0,179.0,139.0,141.9049,0.3512,0.1487
99.0,37.0742,384.5208,29.8329,10369.0,139.0,139.0,178.6197,0.1898,0.3988
777.0,78.7813,59.203,90.9189,2284.0,518.0,279.0,293.7822,0.9767,1.4382
379.0,12.51,1442.3623,142.7533,2309.0,189.5,219.0,157.0,1.7537,1.8132
378.0,59.1291,722.2557,43.1567,376.0,378.0,80.0,163.0491,0.0634,0.0089
99.0,115.5692,74.8766,117.0662,5685.0,99.0,99.0,445.1921,0.327,0.154
239.0,127.7625,119.0567,122.9085,2627.0,239.0,199.0,55.3173,1.5165,0.687
139.0,60.21,64.158,52.9741,6912.0,139.0,99.0,40.7063,0.2303,0.2713
219.0,36.7764,258.5595,39.9406,3277.0,219.0,179.0,124.0846,0.534,0.273
278.0,32.9014,90.1804,39.3859,57.0,139.0,258.0,221.795,0.1745,0.1305
159.0,75.8568,218.1656,73.5697,888.0,159.0,179.0,207.6463,0.5964,0.1054
139.0,74.2647,139.0189,73.0154,5077.0,139.0,99.0,79.4292,0.3048,0.1773
199.0,92.5864,122.451,90.8529,4306.0,199.0,219.0,26.2488,0.231,0.2045
159.0,40.9542,331.425,42.7229,8975.0,99.0,179.0,227.1409,0.0377,0.1307
239.0,91.6542,188.908,81.5245,3860.0,239.0,278.0,348.191,0.3193,0.3553
179.0,91.0014,170.0066,75.5265,10089.0,179.0,179.0,63.0079,0.0122,-0.0793
119.0,18.527,66.0,23.0054,6644.0,278.0,80.0,157.0127,0.6825,0.0301
259.0,35.0321,770.3765,49.023,4923.0,259.0,139.0,62.1289,0.1196,0.2116
258.0,186.4705,166.5691,24.6678,9801.0,129.0,159.0,65.8027,0.122,0.1085
279.0,133.9496,226.0006,135.595,2565.0,20.0,259.0,237.4974,1.63,1.192
119.0,129.3928,242.0418,128.041,7340.0,80.0,139.0,405.2222,0.1113,0.0653
159.0,35.4401,241.6676,33.0643,4284.0,159.0,119.0,46.5296,0.211,0.1205
179.0,74.8131,92.1588,86.7828,10099.0,179.0,80.0,108.074,0.2347,0.0122
139.0,89.5349,79.1991,92.0272,1388.0,219.0,139.0,83.9524,0.0622,0.0262
258.0,64.846,197.3537,63.4606,7975.0,258.0,179.0,525.8564,0.2298,0.2298
278.0,72.0156,365.1756,81.0386,4888.0,278.0,119.0,94.3716,0.2986,0.2986
139.0,61.1882,199.5157,75.8238,9735.0,139.0,179.0,403.2096,0.0885,0.0565
159.0,13.4536,219.2134,6.5192,174.0,159.0,219.0,162.1974,0.0265,0.1215
219.0,73.0924,31.0644,63.9727,3432.0,219.0,119.0,92.8009,0.1443,0.3303
239.0,56.4469,590.0686,45.0694,2957.0,239.0,180.0,45.1774,1.4802,1.4802
378.0,14.5774,152.7416,14.5086,8257.0,159.0,179.0,124.0,0.3964,0.4109
99.0,92.5122,131.577,90.7965,1358.0,99.0,80.0,89.1403,0.2482,0.1427
239.0,57.0898,298.0759,59.036,3666.0,239.0,119.0,152.3187,0.5515,0.287
80.0,88.459,61.4837,87.0919,6741.0,149.0,139.0,136.2424,0.4174,0.0369
179.0,117.5681,317.7204,100.6032,7725.0,159.0,139.0,580.1121,0.3266,0.0941
358.0,83.4865,109.2932,87.3284,3358.0,179.0,318.0,435.6524,0.1405,-0.0835
199.0,50.6211,719.9905,53.7331,5444.0,199.0,139.0,198.6454,0.1787,-0.0018
100.0,63.0734,161.5936,54.2079,7935.0,139.0,119.0,93.4345,0.1988,0.0368
179.0,60.7454,414.5048,71.1126,5837.0,179.0,259.0,90.6091,0.214,0.0835
238.0,60.9036,94.5,56.0089,1842.0,119.0,199.0,112.1606,0.0838,0.1308
298.0,34.6771,103.0206,37.6431,9886.0,99.0,99.0,270.248,0.0765,0.1155
119.0,101.0458,239.669,114.5698,6718.0,109.0,119.0,315.0063,0.1795,0.0331
238.0,12.5,453.6722,12.6491,7660.0,119.0,238.0,736.6906,0.2451,0.2216
199.0,59.927,100.1299,37.6431,1156.0,199.0,179.0,106.8878,0.3843,0.2168
179.0,92.8615,108.1665,100.0425,4258.0,179.0,179.0,40.4969,0.409,0.1885
99.0,45.2355,169.1686,48.5412,6769.0,100.0,179.0,162.5208,0.1124,-0.0331
358.0,18.2003,420.8622,69.5,1335.0,179.0,139.0,173.4878,0.0767,0.0462
139.0,75.1532,313.6312,81.8551,1964.0,139.0,139.0,104.2929,0.0979,0.0509
339.0,131.3335,57.2189,47.8566,2430.0,169.5,299.0,274.8982,1.3177,0.3472
358.0,84.0773,327.3912,42.7551,6178.0,358.0,139.0,423.7853,0.1061,0.0526
259.0,98.5609,181.593,77.5403,7309.0,259.0,139.0,205.7304,0.0753,0.0578
199.0,121.7631,99.1476,114.2464,8117.0,199.0,99.0,23.2594,0.3684,0.0289
139.0,48.0521,160.1811,32.249,9805.0,139.0,159.0,75.0067,0.258,0.122
199.0,65.5019,134.3503,72.8869,4917.0,139.0,159.0,136.0588,0.2116,0.0996
139.0,26.1964,173.7081,4.7434,610.0,139.0,119.0,169.3576,-0.0162,-0.0162
99.0,83.5464,298.6051,72.2669,5587.0,99.0,99.0,122.8007,0.162,0.275
139.0,187.2966,356.0621,187.7711,7722.0,139.0,219.0,526.7874,0.3266,0.1816
179.0,41.5752,266.9724,59.7537,10595.0,89.5,80.0,415.0434,0.4497,0.4267
120.0,67.4036,97.5141,119.3995,2915.0,199.0,20.0,183.6627,0.9212,0.9212
99.0,39.5506,80.128,38.5811,791.0,99.0,139.0,98.0051,0.0681,0.1566
278.0,71.507,339.4971,65.5172,2042.0,179.0,179.0,129.9731,0.2104,0.2524
80.0,87.2983,226.6787,98.5609,7134.0,80.0,139.0,120.4201,0.4871,0.0571
139.0,25.0599,328.3146,10.5475,22.0,139.0,219.0,178.0449,0.186,0.123
278.0,156.0969,242.0294,59.7181,1609.0,139.0,119.0,0.0,0.0831,-0.0429
239.0,131.9555,79.5016,152.2145,5202.0,239.0,179.0,57.9828,0.1753,0.1168
20.0,6.265,129.0087,6.1847,2434.0,20.0,100.0,76.6551,1.3177,1.3177
298.0,115.1803,136.7644,129.001,203.0,298.0,139.0,864.6167,0.101,0.029
20.0,107.5976,80.6505,96.6087,2341.0,199.0,299.0,55.0818,-0.6298,-0.8588
199.0,58.7133,226.505,46.0109,79.0,199.0,99.0,94.3398,0.1675,0.053
100.0,92.0122,68.0625,76.7919,9163.0,100.0,99.0,520.9223,0.2002,0.3167
179.0,69.1809,131.0506,60.531,185.0,179.0,99.0,271.0664,0.225,-0.055
159.0,17.066,571.9869,21.36,7889.0,159.0,219.0,445.5974,0.3028,0.2418
139.0,10.2956,94.012,2.5495,8883.0,139.0,139.0,114.3547,0.2617,0.1802
239.0,52.7376,145.0138,58.7388,1502.0,119.5,258.0,157.3181,0.1361,0.1741
100.0,51.1957,260.9837,62.6618,7615.0,100.0,99.0,0.0,0.3301,0.1766
159.0,101.7767,151.0761,63.5472,3935.0,119.0,238.0,49.0408,0.2226,0.1136
179.0,33.6155,178.8582,48.5232,8243.0,99.0,239.0,70.6824,0.5029,0.2359
99.0,105.6504,105.9835,106.2132,4313.0,179.0,258.0,551.0327,0.01,0.1165
139.0,67.1063,186.1511,71.0634,1927.0,139.0,139.0,24.2074,0.0984,0.1029
99.0,93.984,345.4917,98.2344,3692.0,99.0,358.0,81.6149,0.3095,0.117
99.0,68.9366,253.5005,69.8176,1088.0,99.0,159.0,369.2425,-0.0086,0.1224
179.0,10.2956,56.8243,24.5051,7798.0,179.0,139.0,442.8476,0.1201,0.1456
198.0,106.0955,101.1781,93.3916,3529.0,99.0,100.0,424.8411,0.105,0.2705
20.0,4.3012,136.3607,7.8102,2140.0,20.0,439.0,131.9129,2.3504,0.5789
99.0,63.7377,252.24,57.1074,8632.0,99.0,139.0,152.0033,0.1063,0.1748
219.0,55.0318,120.584,106.9871,3220.0,219.0,259.0,66.2873,-0.1324,-0.4219
100.0,21.5232,283.4277,37.8319,4783.0,100.0,199.0,169.3665,0.2221,-0.0104
258.0,41.3189,145.555,60.2433,10670.0,258.0,99.0,177.6119,0.2647,0.0212
80.0,109.5822,255.6956,100.0,5481.0,80.0,80.0,110.44,0.3567,0.2222
298.0,20.0998,388.0081,54.6443,282.0,149.0,139.0,0.0,0.1744,0.0759
179.0,127.3548,407.511,205.6557,655.0,268.5,199.0,40.1123,0.0971,0.0651
139.0,45.4533,485.093,55.1543,7873.0,139.0,80.0,0.0,0.1328,0.1043
139.0,50.3612,58.1485,43.8634,1942.0,139.0,239.0,547.4824,0.2874,0.2584
139.0,86.7208,97.0322,77.3596,4113.0,179.0,179.0,47.676,0.3985,0.263
139.0,22.3271,606.0101,17.088,704.0,139.0,139.0,386.0052,0.2036,0.2051
319.0,39.702,96.6049,128.3793,1131.0,106.3333,219.0,92.6337,0.2848,0.2948
119.0,56.376,213.2416,60.7968,10726.0,119.0,179.0,113.5341,0.3065,0.2015
219.0,80.5388,821.5184,76.6322,169.0,219.0,298.0,39.0512,0.1215,0.074
139.0,37.4433,113.5473,39.0512,4046.0,139.0,159.0,306.1242,0.3241,0.2446
139.0,43.1741,660.1585,47.289,10920.0,139.0,139.0,118.4567,0.283,0.028
238.0,55.9866,77.5065,63.9414,4256.0,238.0,179.0,155.1161,0.407,0.2625
298.0,54.8293,280.9026,56.4845,4801.0,298.0,238.0,54.4518,0.3006,0.3006
119.0,65.7742,501.4192,73.8817,6665.0,119.0,219.0,80.0562,0.291,0.066
179.0,48.0416,703.4732,51.7929,4700.0,179.0,139.0,121.1487,-0.0228,-0.1383
