eyemove/table9.P2stFixation,eyemove/table9.lastSaccLen,eyemove/table9.regressDur,eyemove/table9.regressLen,eyemove/table9.wordNo,prevFixDur
0,607.225,0.0,0.0,5.0,238.0
0,934.2292,0.0,0.0,7.0,139.0
0,112.9436,0.0,0.0,1.0,119.0
1,299.1028,278.0,0.0,3.0,80.0
0,431.196,377.0,0.0,1.0,80.0
1,95.0053,0.0,0.0,2.0,0.0
0,212.6511,0.0,0.0,1.0,0.0
1,59.7013,359.0,0.0,1.0,20.0
1,386.4848,259.0,1036.0,4.0,259.0
0,113.8914,0.0,0.0,4.0,179.0
0,490.4498,1253.0,418.0,7.0,119.0
0,146.1925,0.0,0.0,1.0,179.0
0,147.3516,0.0,0.0,1.0,139.0
0,116.9027,0.0,0.0,4.0,179.0
0,168.7965,0.0,0.0,1.0,219.0
0,229.0546,0.0,0.0,5.0,258.0
0,291.7795,139.0,0.0,4.0,199.0
1,496.258,199.0,0.0,1.0,139.0
0,184.1962,0.0,0.0,1.0,378.0
1,129.8124,278.0,0.0,3.0,398.0
0,203.141,0.0,0.0,4.0,139.0
1,231.6948,338.0,0.0,1.0,179.0
0,430.0012,0.0,0.0,1.0,119.0
1,91.1002,3984.0,14824.0,3.0,219.0
0,742.43,0.0,0.0,6.0,199.0
0,173.6412,0.0,0.0,4.0,239.0
0,462.3873,0.0,258.0,5.0,159.0
0,276.0041,0.0,0.0,2.0,119.0
1,132.0606,995.0,8291.0,1.0,139.0
1,207.6132,0.0,0.0,2.0,159.0
1,288.3401,378.0,0.0,1.0,80.0
0,186.1196,0.0,0.0,4.0,139.0
0,197.1427,159.0,856.0,3.0,219.0
1,87.4714,0.0,457.0,1.0,398.0
0,255.7953,438.0,0.0,3.0,99.0
1,160.1999,0.0,0.0,3.0,139.0
0,166.0903,0.0,0.0,1.0,139.0
1,219.9528,0.0,0.0,3.0,139.0
0,125.9811,0.0,0.0,3.0,159.0
1,254.3275,278.0,0.0,1.0,179.0
1,174.5,0.0,458.0,1.0,238.0
0,360.8715,0.0,0.0,5.0,139.0
1,504.9802,198.0,80.0,5.0,99.0
1,177.5,0.0,0.0,1.0,100.0
0,182.5445,0.0,0.0,5.0,99.0
1,216.3354,179.0,0.0,1.0,139.0
0,112.0379,0.0,0.0,1.0,99.0
0,106.5106,0.0,0.0,2.0,99.0
0,237.0243,0.0,0.0,1.0,100.0
0,112.0179,0.0,0.0,1.0,80.0
1,247.0233,358.0,0.0,1.0,159.0
1,432.3439,0.0,0.0,6.0,100.0
0,106.48,577.0,4473.0,1.0,100.0
0,205.8476,198.0,0.0,1.0,119.0
1,638.1618,0.0,0.0,4.0,99.0
0,334.9336,438.0,0.0,2.0,159.0
1,321.0876,338.0,617.0,4.0,518.0
0,306.6537,0.0,0.0,5.0,119.0
1,198.2839,0.0,934.0,1.0,179.0
1,996.4834,936.0,179.0,3.0,199.0
0,848.1327,99.0,1132.0,8.0,80.0
1,169.0044,3479.0,1391.0,1.0,298.0
0,132.0237,0.0,0.0,3.0,219.0
1,241.2494,0.0,934.0,2.0,497.0
0,67.1751,0.0,0.0,1.0,0.0
0,100.4502,0.0,0.0,3.0,437.0
0,614.1974,0.0,0.0,6.0,99.0
0,280.2789,80.0,0.0,2.0,139.0
0,285.0952,0.0,0.0,3.0,139.0
0,382.0393,0.0,0.0,4.0,179.0
1,140.6983,298.0,0.0,1.0,139.0
1,158.2024,0.0,0.0,4.0,119.0
1,131.9185,615.0,518.0,1.0,99.0
1,94.4312,1056.0,897.0,1.0,20.0
0,235.5021,0.0,0.0,1.0,179.0
0,244.525,0.0,0.0,3.0,119.0
0,77.1962,0.0,0.0,1.0,139.0
1,91.1661,0.0,397.0,1.0,179.0
1,888.1319,359.0,3363.0,6.0,239.0
1,220.4342,0.0,0.0,4.0,179.0
0,112.1606,975.0,0.0,2.0,179.0
0,197.7321,259.0,398.0,6.0,99.0
0,187.6006,819.0,0.0,3.0,20.0
0,666.9501,0.0,0.0,5.0,99.0
0,304.1488,0.0,0.0,4.0,139.0
1,113.0863,0.0,0.0,1.0,0.0
1,223.1435,457.0,358.0,3.0,219.0
1,238.6179,259.0,0.0,3.0,119.0
0,39.9625,637.0,597.0,3.0,139.0
1,178.9839,0.0,0.0,1.0,80.0
0,66.7271,0.0,0.0,2.0,219.0
1,610.2368,0.0,936.0,5.0,259.0
0,130.501,0.0,0.0,1.0,179.0
0,252.9056,0.0,299.0,1.0,139.0
0,125.077,0.0,0.0,4.0,99.0
1,398.5452,2169.0,0.0,2.0,139.0
0,253.1585,0.0,0.0,3.0,338.0
0,163.1962,0.0,0.0,2.0,139.0
0,212.5288,0.0,0.0,6.0,219.0
1,62.0725,0.0,0.0,3.0,159.0
1,392.7658,318.0,0.0,4.0,119.0
1,156.7713,0.0,0.0,1.0,179.0
1,41.14,139.0,3597.0,1.0,338.0
1,359.5598,179.0,894.0,6.0,199.0
0,284.5861,676.0,0.0,1.0,0.0
0,127.7047,0.0,0.0,6.0,80.0
0,571.5411,0.0,0.0,3.0,119.0
0,230.411,0.0,318.0,3.0,0.0
0,137.4018,239.0,0.0,1.0,259.0
0,159.8624,0.0,0.0,3.0,139.0
0,116.2497,0.0,99.0,4.0,219.0
1,97.0,0.0,0.0,3.0,159.0
0,74.5185,0.0,0.0,1.0,99.0
0,137.8278,0.0,0.0,1.0,159.0
1,244.0184,179.0,0.0,1.0,80.0
0,142.7839,358.0,0.0,1.0,199.0
1,200.5,299.0,934.0,1.0,99.0
1,250.72,457.0,0.0,1.0,139.0
1,119.827,1075.0,0.0,2.0,139.0
1,506.5385,119.0,0.0,4.0,179.0
1,182.5027,199.0,4452.0,2.0,80.0
1,154.0519,0.0,0.0,2.0,179.0
0,249.7048,1752.0,139.0,2.0,0.0
1,122.8587,0.0,80.0,2.0,219.0
1,384.7184,937.0,1335.0,1.0,279.0
0,172.9169,179.0,239.0,2.0,159.0
0,173.1221,0.0,0.0,1.0,159.0
1,104.5108,179.0,0.0,1.0,119.0
0,299.1509,0.0,0.0,3.0,139.0
0,35.805,0.0,0.0,1.0,119.0
0,130.5153,238.0,0.0,1.0,119.0
0,209.0293,0.0,1054.0,4.0,0.0
0,733.0921,378.0,1751.0,5.0,119.0
1,335.8724,239.0,897.0,1.0,80.0
0,319.0611,0.0,0.0,4.0,99.0
0,244.6268,0.0,0.0,2.0,80.0
0,367.3027,0.0,0.0,6.0,119.0
0,90.4005,219.0,0.0,1.0,278.0
0,114.6833,0.0,0.0,2.0,239.0
1,243.1008,0.0,0.0,4.0,298.0
0,446.1852,218.0,159.0,5.0,179.0
1,86.6487,0.0,80.0,2.0,159.0
0,84.0907,0.0,0.0,3.0,239.0
0,384.5208,139.0,377.0,3.0,99.0
1,59.203,0.0,0.0,1.0,199.0
0,1442.3623,837.0,1137.0,5.0,199.0
0,722.2557,756.0,0.0,7.0,159.0
0,74.8766,0.0,0.0,1.0,139.0
0,119.0567,319.0,0.0,2.0,339.0
0,64.158,0.0,0.0,2.0,199.0
0,258.5595,0.0,0.0,6.0,139.0
1,90.1804,0.0,0.0,2.0,159.0
0,218.1656,0.0,0.0,1.0,318.0
0,139.0189,0.0,179.0,2.0,139.0
1,122.451,0.0,0.0,5.0,219.0
0,331.425,99.0,0.0,1.0,139.0
0,188.908,478.0,0.0,1.0,80.0
0,170.0066,0.0,0.0,4.0,179.0
1,66.0,1072.0,1391.0,3.0,139.0
0,770.3765,0.0,0.0,7.0,179.0
0,166.5691,0.0,0.0,3.0,100.0
1,226.0006,1194.0,12433.0,4.0,239.0
0,242.0418,0.0,238.0,3.0,99.0
1,241.6676,219.0,993.0,3.0,199.0
0,92.1588,0.0,0.0,6.0,99.0
0,79.1991,0.0,0.0,4.0,0.0
0,197.3537,0.0,0.0,6.0,99.0
0,365.1756,0.0,0.0,3.0,119.0
0,199.5157,0.0,0.0,1.0,199.0
1,219.2134,159.0,0.0,4.0,80.0
0,31.0644,438.0,0.0,1.0,80.0
0,590.0686,0.0,698.0,7.0,279.0
0,152.7416,696.0,0.0,2.0,139.0
0,131.577,0.0,0.0,3.0,179.0
0,298.0759,478.0,0.0,3.0,80.0
1,61.4837,378.0,0.0,1.0,80.0
0,317.7204,0.0,0.0,2.0,0.0
0,109.2932,0.0,0.0,1.0,119.0
0,719.9905,0.0,0.0,7.0,159.0
1,161.5936,139.0,0.0,1.0,80.0
0,414.5048,0.0,0.0,4.0,199.0
1,94.5,238.0,795.0,2.0,179.0
1,103.0206,396.0,0.0,1.0,199.0
0,239.669,218.0,0.0,1.0,119.0
0,453.6722,258.0,0.0,2.0,199.0
0,100.1299,199.0,0.0,1.0,179.0
0,108.1665,0.0,0.0,4.0,179.0
1,169.1686,119.0,358.0,3.0,0.0
0,420.8622,358.0,0.0,3.0,239.0
1,313.6312,358.0,617.0,6.0,179.0
0,57.2189,0.0,0.0,1.0,100.0
1,327.3912,478.0,0.0,1.0,199.0
1,181.593,219.0,0.0,1.0,318.0
0,99.1476,0.0,0.0,5.0,159.0
0,160.1811,0.0,0.0,3.0,100.0
1,134.3503,0.0,278.0,2.0,199.0
0,173.7081,278.0,0.0,4.0,179.0
0,298.6051,0.0,0.0,2.0,139.0
0,356.0621,0.0,0.0,2.0,298.0
0,266.9724,0.0,0.0,4.0,298.0
1,97.5141,0.0,0.0,1.0,0.0
1,80.128,179.0,1391.0,1.0,258.0
1,339.4971,0.0,0.0,1.0,258.0
0,226.6787,0.0,0.0,1.0,179.0
1,328.3146,0.0,0.0,4.0,139.0
0,242.0294,0.0,0.0,1.0,0.0
1,79.5016,0.0,0.0,4.0,139.0
0,129.0087,0.0,0.0,4.0,199.0
0,136.7644,0.0,0.0,1.0,179.0
1,80.6505,0.0,0.0,2.0,279.0
0,226.505,0.0,0.0,4.0,179.0
0,68.0625,0.0,0.0,1.0,99.0
1,131.0506,179.0,0.0,6.0,199.0
0,571.9869,0.0,0.0,8.0,99.0
1,94.012,139.0,3717.0,6.0,258.0
0,145.0138,0.0,0.0,2.0,179.0
0,260.9837,0.0,0.0,2.0,0.0
0,151.0761,238.0,476.0,2.0,99.0
1,178.8582,755.0,3914.0,8.0,159.0
1,105.9835,278.0,0.0,1.0,99.0
1,186.1511,358.0,617.0,6.0,179.0
0,345.4917,0.0,0.0,2.0,119.0
0,253.5005,198.0,0.0,1.0,99.0
1,56.8243,0.0,139.0,2.0,100.0
0,101.1781,0.0,0.0,1.0,119.0
0,136.3607,0.0,0.0,3.0,199.0
0,252.24,0.0,0.0,4.0,119.0
0,120.584,200.0,0.0,2.0,259.0
0,283.4277,0.0,0.0,1.0,398.0
0,145.555,0.0,0.0,1.0,119.0
0,255.6956,80.0,0.0,2.0,80.0
0,388.0081,0.0,0.0,2.0,0.0
1,407.511,537.0,2167.0,5.0,258.0
0,485.093,0.0,0.0,3.0,0.0
0,58.1485,0.0,0.0,1.0,119.0
0,97.0322,179.0,358.0,2.0,199.0
1,606.0101,537.0,9343.0,7.0,80.0
1,96.6049,0.0,0.0,1.0,298.0
0,213.2416,0.0,0.0,2.0,179.0
1,821.5184,0.0,4791.0,8.0,139.0
0,113.5473,139.0,0.0,1.0,179.0
0,660.1585,0.0,0.0,7.0,119.0
0,77.5065,0.0,0.0,2.0,139.0
0,280.9026,596.0,0.0,5.0,179.0
1,501.4192,0.0,219.0,5.0,80.0
1,703.4732,0.0,0.0,8.0,80.0
1,240.1838,297.0,2385.0,1.0,139.0
0,158.1597,0.0,0.0,3.0,119.0
0,97.2947,99.0,0.0,1.0,119.0
1,251.2867,159.0,0.0,1.0,119.0
0,96.2549,0.0,0.0,1.0,119.0
1,226.4404,337.0,7035.0,3.0,99.0
0,123.501,0.0,0.0,3.0,219.0
0,74.2378,0.0,0.0,1.0,80.0
0,94.5119,0.0,0.0,7.0,179.0
0,129.1395,0.0,0.0,5.0,338.0
0,107.3336,0.0,0.0,4.0,219.0
1,93.0121,0.0,0.0,2.0,199.0
1,307.1795,278.0,0.0,1.0,99.0
1,186.6039,0.0,0.0,3.0,199.0
1,181.5275,0.0,0.0,2.0,139.0
0,125.4193,100.0,0.0,1.0,179.0
1,122.2007,0.0,0.0,3.0,119.0
0,291.5017,0.0,0.0,2.0,119.0
0,60.4669,0.0,0.0,1.0,99.0
1,214.3648,0.0,438.0,2.0,80.0
1,130.2459,0.0,2701.0,1.0,80.0
0,99.0454,219.0,0.0,1.0,119.0
0,296.5611,0.0,0.0,2.0,119.0
0,219.1124,557.0,0.0,1.0,99.0
0,327.6145,0.0,0.0,3.0,99.0
0,194.2807,0.0,0.0,3.0,80.0
0,111.8794,0.0,0.0,2.0,279.0
0,175.5007,0.0,0.0,1.0,99.0
0,167.6261,139.0,0.0,2.0,99.0
0,150.6196,238.0,0.0,1.0,119.0
1,50.5693,0.0,0.0,1.0,199.0
0,1067.1551,159.0,0.0,1.0,100.0
0,128.8507,0.0,0.0,1.0,159.0
0,393.0385,437.0,0.0,1.0,179.0
0,183.5824,756.0,0.0,2.0,119.0
1,196.6037,139.0,3597.0,1.0,338.0
1,975.1833,279.0,0.0,2.0,219.0
1,585.0479,278.0,0.0,1.0,0.0
1,92.5054,1510.0,0.0,1.0,139.0
1,216.985,0.0,0.0,4.0,239.0
0,726.0062,0.0,0.0,6.0,179.0
1,921.2918,0.0,258.0,8.0,139.0
0,235.0899,0.0,0.0,1.0,100.0
0,55.7584,0.0,0.0,2.0,99.0
0,155.5072,139.0,0.0,1.0,139.0
0,173.7074,0.0,0.0,3.0,298.0
0,115.3917,0.0,0.0,4.0,179.0
1,657.164,0.0,0.0,7.0,99.0
0,147.5305,0.0,0.0,3.0,179.0
1,226.4757,199.0,2881.0,4.0,179.0
1,229.5441,0.0,0.0,3.0,219.0
0,147.589,0.0,0.0,1.0,119.0
0,316.9941,0.0,0.0,1.0,159.0
0,309.7325,0.0,0.0,4.0,80.0
0,185.7323,139.0,0.0,4.0,159.0
1,91.9035,0.0,179.0,4.0,179.0
0,150.2132,0.0,0.0,3.0,99.0
0,592.9058,0.0,0.0,5.0,119.0
1,126.7764,2426.0,10396.0,2.0,179.0
0,369.5487,0.0,0.0,1.0,139.0
1,165.4093,199.0,0.0,2.0,159.0
0,165.128,0.0,0.0,1.0,99.0
1,824.8674,0.0,0.0,6.0,179.0
1,202.9495,1112.0,0.0,1.0,99.0
0,108.0116,0.0,0.0,3.0,199.0
0,469.3967,0.0,238.0,4.0,80.0
0,208.5096,0.0,0.0,5.0,20.0
0,125.504,418.0,0.0,1.0,417.0
1,464.7349,179.0,80.0,4.0,0.0
0,194.5925,0.0,0.0,5.0,139.0
1,300.0417,0.0,0.0,5.0,139.0
1,450.0189,20.0,637.0,5.0,20.0
0,50.1124,0.0,179.0,2.0,219.0
0,387.7435,0.0,0.0,1.0,80.0
1,385.1873,873.0,4076.0,4.0,139.0
0,115.9741,597.0,0.0,1.0,199.0
0,110.2554,318.0,0.0,2.0,139.0
1,92.8924,0.0,0.0,1.0,338.0
0,105.5746,0.0,0.0,1.0,99.0
0,62.6997,598.0,0.0,1.0,259.0
0,283.8045,258.0,0.0,1.0,139.0
0,557.2443,99.0,0.0,7.0,219.0
0,200.6801,0.0,0.0,2.0,159.0
0,550.3519,0.0,0.0,5.0,139.0
0,190.5026,0.0,0.0,3.0,339.0
0,87.6156,0.0,0.0,7.0,119.0
0,72.0434,0.0,0.0,1.0,259.0
1,93.4077,0.0,0.0,1.0,278.0
0,186.3632,0.0,0.0,2.0,119.0
1,116.6812,119.0,656.0,2.0,199.0
0,128.0352,139.0,318.0,5.0,119.0
0,697.87,0.0,0.0,7.0,139.0
0,187.5613,0.0,0.0,1.0,0.0
1,148.3139,377.0,298.0,1.0,179.0
0,128.6177,0.0,0.0,1.0,100.0
1,85.0368,0.0,0.0,3.0,199.0
0,134.0168,438.0,0.0,2.0,139.0
1,244.2478,358.0,0.0,3.0,159.0
0,205.6502,219.0,0.0,4.0,219.0
0,158.5386,139.0,716.0,1.0,139.0
0,144.0139,0.0,0.0,3.0,159.0
0,707.5373,0.0,0.0,6.0,139.0
0,186.6447,0.0,0.0,5.0,119.0
0,162.4962,139.0,0.0,3.0,139.0
0,183.8648,99.0,0.0,6.0,99.0
0,239.4394,0.0,0.0,6.0,80.0
1,70.0874,0.0,0.0,1.0,259.0
0,204.8908,99.0,0.0,3.0,99.0
0,210.072,0.0,0.0,1.0,299.0
0,195.6074,0.0,0.0,2.0,199.0
1,180.2006,0.0,0.0,3.0,179.0
1,226.0138,199.0,1908.0,2.0,159.0
0,342.646,0.0,0.0,4.0,139.0
1,138.4133,0.0,0.0,2.0,199.0
1,88.0525,937.0,1335.0,1.0,279.0
0,127.5245,0.0,0.0,2.0,199.0
0,88.5903,278.0,0.0,1.0,99.0
0,772.1026,0.0,0.0,5.0,239.0
0,574.2269,0.0,0.0,4.0,139.0
0,366.1291,0.0,0.0,5.0,298.0
0,250.6297,676.0,0.0,1.0,239.0
0,513.1335,0.0,0.0,4.0,139.0
0,94.5013,0.0,159.0,2.0,80.0
0,652.5002,0.0,0.0,9.0,139.0
0,188.006,0.0,0.0,3.0,238.0
1,206.3129,0.0,1571.0,2.0,139.0
1,460.7,119.0,0.0,4.0,219.0
0,50.324,279.0,299.0,1.0,139.0
0,263.9934,0.0,0.0,3.0,179.0
0,84.537,0.0,0.0,2.0,80.0
1,86.9511,139.0,0.0,3.0,239.0
0,57.0898,0.0,0.0,1.0,219.0
0,57.8468,537.0,139.0,4.0,278.0
0,234.8601,0.0,0.0,3.0,139.0
1,340.2117,199.0,2881.0,4.0,179.0
0,128.001,0.0,0.0,3.0,139.0
0,108.4735,0.0,0.0,1.0,278.0
1,71.1354,0.0,0.0,1.0,139.0
0,536.28,0.0,0.0,7.0,99.0
0,162.0903,0.0,0.0,2.0,139.0
0,64.2806,0.0,119.0,5.0,199.0
0,113.1868,0.0,0.0,3.0,299.0
1,189.1778,418.0,0.0,2.0,199.0
1,40.5278,715.0,596.0,2.0,437.0
0,351.5252,0.0,0.0,2.0,259.0
0,45.467,239.0,0.0,3.0,179.0
0,91.9837,378.0,258.0,5.0,99.0
0,269.5561,0.0,0.0,5.0,119.0
0,81.0586,0.0,0.0,1.0,179.0
0,117.031,0.0,0.0,6.0,199.0
1,119.0976,0.0,0.0,4.0,139.0
0,280.5539,0.0,0.0,1.0,99.0
1,107.5744,676.0,1491.0,1.0,159.0
0,90.7331,1688.0,458.0,1.0,278.0
0,87.7852,258.0,0.0,1.0,159.0
1,108.074,1056.0,897.0,1.0,20.0
0,477.7682,0.0,0.0,4.0,199.0
0,198.5157,0.0,0.0,3.0,119.0
0,392.699,80.0,0.0,6.0,139.0
1,234.5021,558.0,0.0,2.0,258.0
0,149.1518,0.0,0.0,1.0,239.0
1,162.0031,2622.0,278.0,2.0,99.0
0,124.5361,0.0,0.0,2.0,259.0
0,184.6145,0.0,0.0,2.0,139.0
0,294.6226,99.0,219.0,4.0,139.0
0,226.3454,0.0,0.0,3.0,219.0
0,874.0631,0.0,4395.0,8.0,119.0
0,317.3704,0.0,0.0,5.0,279.0
1,185.5108,0.0,258.0,6.0,298.0
0,236.0095,0.0,0.0,4.0,159.0
1,169.0067,676.0,656.0,7.0,219.0
0,212.9842,0.0,0.0,2.0,0.0
0,200.5224,179.0,0.0,1.0,179.0
1,590.7929,0.0,0.0,2.0,159.0
1,50.0,80.0,0.0,1.0,219.0
0,156.5799,0.0,0.0,1.0,119.0
1,121.1084,517.0,1791.0,1.0,139.0
0,163.0598,1154.0,0.0,1.0,99.0
1,88.9508,0.0,0.0,1.0,359.0
0,149.459,0.0,0.0,1.0,338.0
1,138.153,338.0,537.0,3.0,119.0
0,215.0593,0.0,0.0,1.0,199.0
0,394.1427,0.0,0.0,1.0,0.0
0,69.4262,0.0,0.0,2.0,80.0
1,264.4844,0.0,0.0,2.0,0.0
0,435.9014,0.0,0.0,4.0,258.0
1,73.2069,199.0,0.0,1.0,179.0
0,328.2777,119.0,0.0,3.0,239.0
1,66.191,0.0,458.0,1.0,238.0
0,65.7305,0.0,0.0,1.0,20.0
1,352.23,0.0,0.0,4.0,0.0
0,93.1034,0.0,0.0,1.0,0.0
1,330.276,80.0,0.0,1.0,119.0
0,108.14,853.0,0.0,4.0,80.0
1,237.4031,936.0,179.0,3.0,199.0
1,160.0383,278.0,0.0,2.0,0.0
1,261.6028,0.0,974.0,2.0,318.0
1,54.7951,0.0,80.0,2.0,278.0
0,282.438,0.0,0.0,1.0,0.0
0,91.7674,0.0,0.0,1.0,0.0
0,128.7808,0.0,0.0,3.0,199.0
0,89.9694,0.0,0.0,1.0,99.0
0,128.2312,0.0,0.0,1.0,99.0
0,196.6628,0.0,0.0,4.0,219.0
0,150.1949,0.0,0.0,1.0,99.0
0,671.4239,198.0,1153.0,7.0,159.0
1,132.2365,0.0,139.0,2.0,99.0
0,132.1637,0.0,0.0,1.0,0.0
1,98.1835,278.0,457.0,2.0,278.0
0,452.0426,0.0,0.0,5.0,119.0
1,127.5088,278.0,576.0,6.0,298.0
0,165.1802,0.0,0.0,3.0,159.0
1,162.0633,278.0,0.0,1.0,119.0
0,81.2665,259.0,0.0,2.0,179.0
1,189.4842,0.0,517.0,2.0,99.0
1,146.5137,0.0,777.0,1.0,279.0
1,237.8424,1196.0,0.0,1.0,199.0
0,194.6645,159.0,517.0,2.0,219.0
0,303.5334,0.0,0.0,1.0,119.0
1,103.646,437.0,239.0,3.0,258.0
1,399.4277,0.0,0.0,7.0,99.0
0,208.9527,0.0,0.0,2.0,20.0
0,276.0783,0.0,557.0,2.0,99.0
1,77.1038,556.0,1850.0,1.0,0.0
0,572.5055,0.0,199.0,5.0,219.0
0,197.2777,0.0,0.0,2.0,99.0
0,386.2464,0.0,99.0,6.0,179.0
0,135.3292,0.0,0.0,8.0,238.0
0,142.1487,0.0,0.0,3.0,199.0
0,258.031,0.0,0.0,1.0,199.0
0,206.6023,0.0,0.0,4.0,139.0
0,53.2189,578.0,0.0,1.0,199.0
1,114.0099,0.0,0.0,1.0,0.0
0,162.8381,0.0,0.0,2.0,99.0
1,360.6279,0.0,0.0,5.0,100.0
0,1001.4502,0.0,0.0,8.0,139.0
1,537.5733,179.0,0.0,4.0,99.0
0,661.376,0.0,0.0,6.0,139.0
0,59.8415,0.0,0.0,1.0,259.0
0,283.5,0.0,0.0,5.0,199.0
0,282.16,0.0,0.0,1.0,299.0
0,173.3818,0.0,0.0,1.0,159.0
0,103.5495,0.0,0.0,1.0,616.0
0,141.508,0.0,0.0,1.0,139.0
0,560.7069,0.0,0.0,4.0,259.0
1,129.4025,258.0,0.0,1.0,99.0
0,527.5332,0.0,0.0,7.0,99.0
0,868.4752,0.0,0.0,8.0,139.0
0,192.6266,0.0,0.0,2.0,199.0
1,85.3009,1112.0,0.0,1.0,358.0
0,347.7963,0.0,0.0,2.0,139.0
1,96.6049,139.0,2127.0,2.0,139.0
1,103.0364,0.0,0.0,2.0,0.0
0,685.4331,0.0,0.0,4.0,99.0
0,186.784,0.0,0.0,3.0,0.0
0,217.5092,0.0,0.0,3.0,0.0
1,179.2017,377.0,477.0,5.0,159.0
1,51.0,0.0,1473.0,1.0,159.0
0,97.1249,0.0,0.0,2.0,258.0
0,57.5196,0.0,159.0,2.0,119.0
0,128.6944,0.0,1411.0,4.0,0.0
1,692.9939,0.0,0.0,6.0,179.0
0,242.5,99.0,0.0,1.0,139.0
0,232.7767,0.0,0.0,3.0,159.0
1,136.0744,0.0,2347.0,2.0,99.0
0,134.5929,0.0,0.0,4.0,80.0
1,311.5004,159.0,933.0,4.0,119.0
0,181.0559,0.0,0.0,3.0,298.0
1,181.2236,159.0,378.0,4.0,259.0
0,44.78,0.0,0.0,1.0,99.0
1,209.1728,318.0,0.0,5.0,99.0
1,52.7376,219.0,0.0,1.0,159.0
0,279.0448,0.0,0.0,2.0,119.0
0,586.7355,0.0,0.0,5.0,99.0
1,119.3325,0.0,0.0,1.0,140.0
0,287.4182,0.0,0.0,4.0,139.0
1,158.7931,0.0,0.0,2.0,159.0
0,95.1223,0.0,0.0,1.0,99.0
0,549.4129,0.0,0.0,5.0,179.0
0,186.8241,0.0,0.0,2.0,239.0
0,301.6061,199.0,358.0,3.0,99.0
0,195.0519,0.0,855.0,1.0,457.0
0,58.5021,0.0,0.0,2.0,139.0
0,1121.4024,377.0,357.0,2.0,199.0
0,100.1312,0.0,0.0,2.0,119.0
1,195.9751,0.0,0.0,1.0,179.0
0,104.1453,794.0,0.0,4.0,139.0
1,159.0786,0.0,0.0,1.0,119.0
0,249.1154,0.0,0.0,1.0,139.0
1,83.5,0.0,0.0,1.0,359.0
1,201.5589,0.0,377.0,3.0,199.0
1,1015.529,0.0,854.0,3.0,139.0
0,137.7942,0.0,0.0,1.0,199.0
0,430.0814,477.0,0.0,4.0,139.0
0,243.4938,0.0,0.0,3.0,159.0
1,82.0061,616.0,4871.0,4.0,259.0
0,158.2127,139.0,0.0,5.0,338.0
1,635.4725,615.0,518.0,1.0,99.0
0,114.0395,0.0,519.0,2.0,139.0
0,62.476,0.0,1272.0,4.0,99.0
1,358.2304,0.0,0.0,3.0,199.0
0,225.2521,0.0,0.0,1.0,219.0
0,278.8301,0.0,0.0,2.0,99.0
0,135.1268,0.0,0.0,2.0,99.0
1,103.4843,0.0,3620.0,1.0,119.0
0,425.7056,0.0,0.0,7.0,239.0
1,204.6851,1194.0,0.0,2.0,139.0
