eyemove/table2.firstPassFixDur,eyemove/table2.meanFixDur,eyemove/table2.pupilDiamLag,eyemove/table2.pupilDiamMax,eyemove/table2.timePrtctg
99.0,99.0,0.2655,0.211,0.0061
179.0,89.5,0.0945,0.1385,0.0128
99.0,99.0,0.1126,0.0341,0.0096
100.0,100.0,0.0989,0.0989,0.0103
397.0,132.3333,0.1492,0.2377,0.0771
99.0,179.0,0.1057,0.0207,0.0178
139.0,139.0,0.1319,0.0359,0.044
99.0,119.0,0.2895,0.2646,0.027
377.0,188.5,0.2719,0.2559,0.0458
239.0,239.0,0.8192,-0.0348,0.0247
299.0,129.5,0.6472,0.9107,0.0268
159.0,159.0,0.0437,0.0437,0.0291
139.0,179.0,0.2226,0.2401,0.0124
199.0,199.0,0.5007,0.0222,0.0335
99.0,99.0,0.4224,0.0374,0.0615
179.0,179.0,0.2671,0.2076,0.012
80.0,80.0,0.2497,0.1537,0.0125
219.0,219.0,0.0801,0.1296,0.0202
139.0,139.0,0.1052,0.0712,0.0195
199.0,199.0,0.3345,0.0875,0.025
179.0,179.0,0.1465,-0.0165,0.0153
239.0,239.0,0.0377,-0.0268,0.0089
139.0,139.0,0.1033,0.1113,0.0139
338.0,179.0,0.1254,0.0629,0.0153
99.0,99.0,0.2165,0.2781,0.01
179.0,219.0,1.016,0.319,0.0055
199.0,199.0,0.2451,0.2216,0.0199
219.0,219.0,0.5974,-0.5346,0.0178
159.0,159.0,0.5446,0.1831,0.0349
219.0,219.0,-0.0073,-0.0073,0.0434
557.0,219.0,0.1161,0.1916,0.0125
119.0,139.0,0.2943,0.2878,0.0419
80.0,80.0,0.0854,-0.0761,0.0253
179.0,179.0,0.1039,0.0879,0.0457
159.0,159.0,-0.4376,-0.3586,0.024
259.0,259.0,0.1143,-0.0072,0.0345
100.0,219.0,0.1612,0.1057,0.0218
179.0,179.0,0.2545,0.0365,0.0283
338.0,169.0,0.2644,0.3369,0.0552
99.0,99.0,0.2765,0.162,0.0141
99.0,99.0,0.1595,0.048,0.0157
278.0,139.0,0.1518,0.1903,0.0286
259.0,159.0,0.1189,0.1254,0.0136
99.0,99.0,0.1206,0.2526,0.0227
80.0,80.0,0.2037,0.1952,0.0039
319.0,179.0,1.2187,0.5542,0.0162
99.0,99.0,0.2347,0.0122,0.0106
99.0,99.0,0.2927,0.3047,0.0166
219.0,219.0,0.2978,0.2978,0.0395
159.0,159.0,0.1538,0.0443,0.0143
99.0,99.0,0.2596,0.3276,0.0111
99.0,99.0,0.275,0.2235,0.0141
179.0,179.0,0.0847,0.1757,0.0258
80.0,80.0,0.3857,0.2337,0.0039
258.0,109.5,0.1314,0.1859,0.0219
198.0,99.0,0.1766,0.1801,0.0397
80.0,80.0,0.3214,0.1799,0.008
219.0,219.0,0.4009,0.1404,0.0672
20.0,159.0,-0.2355,-0.8475,0.014
119.0,119.0,0.5365,0.3255,0.0298
179.0,179.0,0.1202,0.1572,0.0312
219.0,20.0,0.734,0.8315,0.0005
80.0,80.0,0.3536,0.2561,0.006
199.0,159.0,0.0756,0.0361,0.0191
259.0,259.0,0.0886,-0.0194,0.0193
298.0,298.0,0.2074,0.0309,0.0306
199.0,199.0,0.1039,0.0309,0.0508
159.0,159.0,0.0812,0.0227,0.0199
119.0,119.0,0.2242,0.1082,0.0149
80.0,80.0,0.0738,0.1233,0.018
80.0,80.0,0.1202,0.2077,0.0125
238.0,238.0,0.1852,0.1162,0.0302
159.0,139.0,0.4633,0.1988,0.0237
99.0,99.0,0.3214,0.0799,0.0099
99.0,99.0,0.0259,0.0259,0.011
379.0,379.0,1.5602,1.1122,0.0234
119.0,119.0,0.6081,0.2606,0.02
139.0,139.0,0.1462,0.0817,0.0195
239.0,239.0,0.2813,0.2638,0.0429
516.0,179.0,0.273,0.2725,0.0255
139.0,80.0,0.55,0.2045,0.0095
239.0,119.5,0.0837,0.1102,0.0255
139.0,189.0,0.2625,-0.0025,0.0195
159.0,159.0,0.1342,0.0952,0.0163
199.0,200.0,2.8397,1.4012,0.0123
119.0,119.0,0.237,0.1405,0.0212
417.0,208.5,0.0969,0.0954,0.0507
219.0,129.0,0.0263,-0.0602,0.032
258.0,258.0,0.1542,0.0862,0.0264
298.0,298.0,0.077,0.0995,0.0311
239.0,239.0,0.6206,0.0936,0.0654
298.0,149.0,0.0343,-0.0592,0.0432
139.0,139.0,1.3812,1.4612,0.0337
179.0,179.0,0.6205,0.6815,0.0158
298.0,149.0,0.2122,-0.0593,0.0545
199.0,199.0,0.5104,0.3939,0.0356
99.0,99.0,0.17,0.169,0.0088
119.0,219.0,0.2056,0.0251,0.0152
278.0,278.0,0.4981,0.4981,0.063
179.0,179.0,0.3523,0.2733,0.0332
159.0,159.0,0.2636,0.0571,0.014
99.0,99.0,0.2544,0.0869,0.043
80.0,80.0,0.2198,0.1273,0.0136
139.0,139.0,0.2337,0.0482,0.01
139.0,139.0,0.1814,0.0404,0.0169
219.0,179.0,0.4043,0.3018,0.0539
437.0,145.6667,0.0983,-0.0277,0.0319
139.0,139.0,0.0989,0.0869,0.0143
139.0,139.0,0.0971,0.0841,0.0274
139.0,139.0,0.1572,-0.0348,0.0167
258.0,258.0,0.308,0.368,0.0545
99.0,99.0,0.2988,0.0303,0.0509
139.0,139.0,0.2119,0.2719,0.0169
278.0,179.0,0.2938,0.0693,0.0161
159.0,159.0,0.3207,0.1737,0.0267
298.0,298.0,0.1169,0.1139,0.0274
139.0,139.0,0.407,0.3425,0.0359
179.0,179.0,0.0161,0.1821,0.012
317.0,80.0,0.0207,-0.0378,0.008
99.0,99.0,0.419,0.191,0.01
179.0,239.0,0.2786,0.1416,0.0271
179.0,119.0,0.2352,0.0447,0.0127
80.0,199.0,0.1612,0.0852,0.0198
179.0,179.0,0.1339,0.0904,0.0457
80.0,219.0,0.2226,0.2401,0.0152
179.0,179.0,0.361,0.35,0.0249
339.0,478.0,2.0375,0.904,0.012
179.0,179.0,0.1572,0.1052,0.0355
239.0,239.0,0.0652,0.1392,0.026
477.0,179.0,0.2142,0.2037,0.0067
80.0,80.0,0.4548,0.1193,0.0116
139.0,139.0,0.0859,-0.1101,0.0369
238.0,119.0,0.253,0.253,0.0349
80.0,80.0,0.0854,-0.0876,0.0253
736.0,189.0,0.0305,0.0775,0.038
299.0,299.0,1.3035,1.16,0.0299
179.0,179.0,0.258,0.122,0.0362
657.0,219.0,0.36,0.6945,0.0702
99.0,99.0,0.1345,0.289,0.0114
238.0,119.0,0.2891,0.2986,0.027
279.0,279.0,1.6561,-0.0299,0.0359
139.0,139.0,0.3802,0.2327,0.0235
218.0,109.0,0.5086,0.2041,0.0439
99.0,99.0,0.1148,0.3038,0.0089
179.0,179.0,0.3512,0.1487,0.0441
99.0,139.0,0.1898,0.3988,0.0258
777.0,518.0,0.9767,1.4382,0.032
379.0,189.5,1.7537,1.8132,0.0234
378.0,378.0,0.0634,0.0089,0.0348
99.0,99.0,0.327,0.154,0.0095
239.0,239.0,1.5165,0.687,0.0253
139.0,139.0,0.2303,0.2713,0.0443
219.0,219.0,0.534,0.273,0.0312
278.0,139.0,0.1745,0.1305,0.026
159.0,159.0,0.5964,0.1054,0.037
139.0,139.0,0.3048,0.1773,0.0161
199.0,199.0,0.231,0.2045,0.0123
159.0,99.0,0.0377,0.1307,0.0143
239.0,239.0,0.3193,0.3553,0.0318
179.0,179.0,0.0122,-0.0793,0.0192
119.0,278.0,0.6825,0.0301,0.0522
259.0,259.0,0.1196,0.2116,0.0233
258.0,129.0,0.122,0.1085,0.0521
279.0,20.0,1.63,1.192,0.0005
119.0,80.0,0.1113,0.0653,0.008
159.0,159.0,0.211,0.1205,0.0098
179.0,179.0,0.2347,0.0122,0.0192
139.0,219.0,0.0622,0.0262,0.0181
258.0,258.0,0.2298,0.2298,0.0353
278.0,278.0,0.2986,0.2986,0.0316
139.0,139.0,0.0885,0.0565,0.0434
159.0,159.0,0.0265,0.1215,0.0142
219.0,219.0,0.1443,0.3303,0.0498
239.0,239.0,1.4802,1.4802,0.0496
378.0,159.0,0.3964,0.4109,0.0381
99.0,99.0,0.2482,0.1427,0.0106
239.0,239.0,0.5515,0.287,0.0746
80.0,149.0,0.4174,0.0369,0.0943
179.0,159.0,0.3266,0.0941,0.0364
358.0,179.0,0.1405,-0.0835,0.0639
199.0,199.0,0.1787,-0.0018,0.0169
100.0,139.0,0.1988,0.0368,0.0237
179.0,179.0,0.214,0.0835,0.0322
238.0,119.0,0.0838,0.1308,0.0133
298.0,99.0,0.0765,0.1155,0.008
119.0,109.0,0.1795,0.0331,0.0483
238.0,119.0,0.2451,0.2216,0.0239
199.0,199.0,0.3843,0.2168,0.0415
179.0,179.0,0.409,0.1885,0.0092
99.0,100.0,0.1124,-0.0331,0.0103
358.0,179.0,0.0767,0.0462,0.0382
139.0,139.0,0.0979,0.0509,0.0112
339.0,169.5,1.3177,0.3472,0.0379
358.0,358.0,0.1061,0.0526,0.0444
259.0,259.0,0.0753,0.0578,0.0385
199.0,199.0,0.3684,0.0289,0.0365
139.0,139.0,0.258,0.122,0.0281
199.0,139.0,0.2116,0.0996,0.0125
139.0,139.0,-0.0162,-0.0162,0.0312
99.0,99.0,0.162,0.275,0.0074
139.0,139.0,0.3266,0.1816,0.0318
179.0,89.5,0.4497,0.4267,0.0312
120.0,199.0,0.9212,0.9212,0.0303
99.0,99.0,0.0681,0.1566,0.0109
278.0,179.0,0.2104,0.2524,0.0218
80.0,80.0,0.4871,0.0571,0.0209
139.0,139.0,0.186,0.123,0.0182
278.0,139.0,0.0831,-0.0429,0.076
239.0,239.0,0.1753,0.1168,0.0246
20.0,20.0,1.3177,1.3177,0.0022
298.0,298.0,0.101,0.029,0.0401
20.0,199.0,-0.6298,-0.8588,0.0169
199.0,199.0,0.1675,0.053,0.0351
100.0,100.0,0.2002,0.3167,0.0102
179.0,179.0,0.225,-0.055,0.016
159.0,159.0,0.3028,0.2418,0.0364
139.0,139.0,0.2617,0.1802,0.0177
239.0,119.5,0.1361,0.1741,0.0377
100.0,100.0,0.3301,0.1766,0.02
159.0,119.0,0.2226,0.1136,0.0315
179.0,99.0,0.5029,0.2359,0.0085
99.0,179.0,0.01,0.1165,0.0111
139.0,139.0,0.0984,0.1029,0.0112
99.0,99.0,0.3095,0.117,0.0202
99.0,99.0,-0.0086,0.1224,0.013
179.0,179.0,0.1201,0.1456,0.0171
198.0,99.0,0.105,0.2705,0.0495
20.0,20.0,2.3504,0.5789,0.0047
99.0,99.0,0.1063,0.1748,0.0215
219.0,219.0,-0.1324,-0.4219,0.0154
100.0,100.0,0.2221,-0.0104,0.0057
258.0,258.0,0.2647,0.0212,0.0256
80.0,80.0,0.3567,0.2222,0.0068
298.0,149.0,0.1744,0.0759,0.0383
179.0,268.5,0.0971,0.0651,0.0498
139.0,139.0,0.1328,0.1043,0.0318
139.0,139.0,0.2874,0.2584,0.0112
139.0,179.0,0.3985,0.263,0.0212
139.0,139.0,0.2036,0.2051,0.0083
319.0,106.3333,0.2848,0.2948,0.0412
119.0,119.0,0.3065,0.2015,0.0209
219.0,219.0,0.1215,0.074,0.0196
139.0,139.0,0.3241,0.2446,0.0128
139.0,139.0,0.283,0.028,0.0119
238.0,238.0,0.407,0.2625,0.0123
298.0,298.0,0.3006,0.3006,0.017
119.0,119.0,0.291,0.066,0.0285
179.0,179.0,-0.0228,-0.1383,0.0216
99.0,99.0,0.1792,0.1217,0.0048
119.0,119.0,0.351,0.1425,0.0372
99.0,99.0,0.3931,0.2061,0.0225
239.0,139.0,0.2954,0.1879,0.0139
278.0,278.0,0.9383,0.1063,0.0603
199.0,168.5,0.5782,0.1612,0.0336
318.0,159.0,0.0652,0.1102,0.0346
358.0,358.0,0.29,0.1925,0.1118
199.0,199.0,0.0761,0.0891,0.0223
219.0,219.0,0.1196,0.2116,0.0197
119.0,119.0,0.2986,0.1096,0.0135
159.0,159.0,0.1711,0.1126,0.0248
99.0,99.0,0.107,0.231,0.0061
139.0,139.0,0.3568,0.0088,0.0573
139.0,179.0,0.0242,0.1912,0.0301
100.0,100.0,0.1339,0.1529,0.0423
99.0,99.0,0.496,0.3245,0.0306
99.0,99.0,0.1771,0.0756,0.0223
338.0,338.0,0.2188,0.3768,0.105
119.0,119.0,0.4955,0.1615,0.0215
99.0,109.5,0.0867,0.0787,0.0209
219.0,109.5,0.4174,0.0449,0.0693
199.0,199.0,0.6081,0.3191,0.0334
199.0,185.6667,0.0558,0.1138,0.0829
139.0,139.0,0.2466,0.3276,0.0156
179.0,179.0,0.0971,0.4446,0.0265
219.0,219.0,0.9595,0.9595,0.0234
318.0,159.0,0.2507,0.2347,0.034
139.0,139.0,0.2988,0.1038,0.0714
119.0,119.0,0.2083,0.2953,0.0187
259.0,89.5,0.1871,0.2011,0.0515
159.0,159.0,0.1958,0.1348,0.0362
179.0,89.5,0.2496,0.1556,0.0368
437.0,437.0,0.0427,0.0097,0.0547
378.0,378.0,0.0395,0.0395,0.0271
139.0,129.0,0.2524,0.1609,0.0314
239.0,209.0,0.6492,2.1322,0.0258
139.0,139.0,0.3622,0.2642,0.0179
318.0,159.0,0.2076,0.1386,0.0213
199.0,199.0,0.8567,0.4057,0.0223
140.0,140.0,-0.1566,-0.4376,0.0211
357.0,119.0,0.1229,0.0699,0.0287
99.0,99.0,0.1188,0.0708,0.0123
219.0,219.0,0.1341,0.1396,0.0338
139.0,139.0,0.1787,0.0257,0.0118
239.0,239.0,0.2162,0.3002,0.0475
238.0,238.0,0.1682,0.2312,0.0276
100.0,100.0,0.3008,0.1548,0.0192
80.0,80.0,0.663,0.023,0.0191
199.0,199.0,0.1611,0.0571,0.0184
80.0,80.0,0.1215,0.17,0.0071
179.0,179.0,0.3249,-0.0576,0.0365
298.0,298.0,0.198,0.1065,0.0344
179.0,179.0,0.1167,0.0342,0.0662
139.0,139.0,0.1342,0.0882,0.0142
358.0,358.0,0.1034,0.0319,0.1085
139.0,139.0,0.3583,0.3163,0.0161
99.0,99.0,0.236,0.1055,0.0236
80.0,298.0,0.2092,0.1792,0.0144
278.0,139.0,0.2561,0.0886,0.0207
199.0,199.0,0.0928,0.0568,0.0252
179.0,179.0,0.4721,0.3381,0.028
318.0,159.0,0.3452,0.2337,0.0229
179.0,139.0,0.193,0.1875,0.0093
378.0,189.0,0.237,0.2565,0.0679
119.0,119.0,0.1191,0.0406,0.0223
179.0,179.0,0.19,0.19,0.0179
418.0,418.0,0.7691,0.3946,0.144
99.0,99.0,0.1837,0.0372,0.0099
139.0,139.0,0.2222,0.0972,0.0118
239.0,239.0,0.2083,0.1303,0.0516
140.0,20.0,0.447,-0.9505,0.0018
139.0,139.0,0.0122,-0.0043,0.0149
139.0,139.0,0.3317,0.0987,0.0242
119.0,119.0,0.1756,-0.0969,0.0135
199.0,199.0,0.0775,0.147,0.0251
139.0,159.0,0.1568,0.0883,0.0215
219.0,179.0,0.3339,0.3884,0.0292
457.0,457.0,0.2915,0.2915,0.0807
299.0,299.0,1.4619,2.2779,0.0443
258.0,129.0,0.2544,0.1279,0.1119
99.0,99.0,0.2128,0.2583,0.0178
139.0,139.0,0.2446,0.1576,0.0128
238.0,238.0,0.2897,0.3507,0.0334
20.0,20.0,0.9337,0.4262,0.003
139.0,139.0,0.2873,-0.0457,0.0372
319.0,319.0,1.9266,1.1616,0.0537
240.0,398.0,0.1143,-0.0072,0.053
99.0,99.0,0.0753,0.0528,0.0147
119.0,179.0,0.1696,0.0766,0.0157
80.0,80.0,0.2531,0.0761,0.0118
99.0,99.0,0.2467,0.1437,0.0084
278.0,139.0,0.1212,-0.0188,0.0492
278.0,278.0,0.1212,0.0282,0.04
179.0,179.0,0.614,-0.0595,0.0553
100.0,100.0,0.2924,0.5104,0.0179
139.0,139.0,0.1867,0.1217,0.0175
179.0,179.0,0.0089,0.0139,0.0165
219.0,219.0,0.2386,0.0596,0.025
139.0,139.0,0.1606,0.2776,0.0079
278.0,278.0,0.2125,0.0425,0.0869
99.0,99.0,0.1107,0.1177,0.0142
80.0,80.0,0.275,0.1805,0.006
139.0,139.0,0.4189,0.2718,0.0211
139.0,99.0,0.1859,0.0724,0.0099
99.0,99.0,0.1476,0.1861,0.0192
279.0,279.0,-0.0108,-0.2753,0.0253
99.0,99.0,0.2988,0.1038,0.0509
319.0,319.0,1.971,0.4215,0.0341
159.0,159.0,0.3484,0.2484,0.034
219.0,219.0,0.1383,0.0073,0.0232
219.0,219.0,0.2556,0.2556,0.0312
99.0,99.0,0.2678,0.1468,0.0105
159.0,159.0,0.2184,0.0674,0.0163
339.0,339.0,0.9915,1.0915,0.0085
119.0,119.0,0.1461,0.1271,0.0231
139.0,139.0,0.1654,0.1319,0.026
99.0,99.0,0.1383,0.0088,0.0105
100.0,100.0,0.3363,0.1043,0.0133
259.0,259.0,0.0326,0.0756,0.0304
139.0,139.0,0.2543,0.1713,0.0139
139.0,139.0,0.6683,0.1698,0.0258
80.0,80.0,0.3453,0.4189,0.0122
99.0,99.0,0.0311,0.0411,0.0141
239.0,239.0,0.0722,0.1722,0.0299
119.0,119.0,0.0979,0.0844,0.0096
119.0,119.0,0.4978,0.0713,0.0177
239.0,80.0,0.1649,0.1494,0.008
139.0,139.0,0.2636,0.1271,0.0097
119.0,119.0,0.2765,0.213,0.017
338.0,139.0,0.0265,0.0345,0.0124
139.0,139.0,0.3095,0.0815,0.0283
179.0,179.0,0.1251,0.0141,0.012
139.0,139.0,0.5327,0.1612,0.0275
199.0,338.0,0.0821,-0.0544,0.0313
298.0,149.0,0.2215,0.2235,0.03
159.0,159.0,0.2125,0.0375,0.0497
199.0,109.5,0.2104,0.2524,0.0266
218.0,109.0,0.3301,0.2456,0.0437
119.0,119.0,0.2986,0.2676,0.0135
238.0,238.0,0.101,-0.0065,0.032
259.0,259.0,1.407,-0.7115,0.0274
179.0,179.0,0.0624,0.0829,0.0165
159.0,159.0,0.114,0.114,0.0107
219.0,219.0,1.4757,0.9047,0.0186
139.0,139.0,0.127,0.1505,0.014
159.0,159.0,0.1433,0.1433,0.0116
139.0,139.0,0.068,0.3265,0.0248
298.0,149.0,0.1169,0.1039,0.0761
119.0,119.0,0.4191,0.2806,0.0099
239.0,239.0,0.2586,0.0736,0.0215
219.0,219.0,0.1785,0.098,0.0297
159.0,159.0,0.4492,0.0942,0.006
338.0,159.0,0.1455,0.089,0.0197
258.0,258.0,0.4036,0.2386,0.0294
379.0,279.0,4.4917,4.4917,0.0172
139.0,139.0,0.0489,0.0559,0.0255
179.0,179.0,0.0818,0.0803,0.0227
80.0,80.0,0.3536,0.0901,0.006
358.0,179.0,0.2051,0.2401,0.0215
179.0,179.0,0.1132,0.0227,0.04
179.0,99.0,0.246,0.1975,0.0066
199.0,199.0,0.055,0.038,0.0351
199.0,199.0,0.2235,0.0085,0.02
219.0,219.0,0.1887,0.0997,0.0275
119.0,119.0,0.0642,0.1097,0.0118
139.0,139.0,0.1859,0.1554,0.0139
259.0,259.0,-1.1764,0.3036,0.0182
457.0,228.5,0.3161,0.3006,0.0261
139.0,139.0,0.1316,0.1456,0.0133
139.0,298.0,0.8481,0.1906,0.02
457.0,457.0,0.069,0.1275,0.0236
179.0,179.0,0.0443,0.0158,0.0161
99.0,99.0,0.3717,0.2727,0.0175
80.0,80.0,0.2253,0.0343,0.0116
119.0,119.0,0.2023,0.2313,0.0158
119.0,129.5,0.3234,0.1649,0.0259
179.0,179.0,0.0761,0.2081,0.0221
359.0,359.0,1.0745,0.4335,0.0359
219.0,219.0,0.2936,0.1081,0.0202
159.0,119.0,0.0621,0.0166,0.0133
378.0,378.0,0.0813,0.1128,0.039
259.0,259.0,0.6274,0.5794,0.0752
139.0,139.0,0.3933,0.2544,0.0229
139.0,139.0,0.1138,0.1763,0.0207
80.0,80.0,0.3988,0.1278,0.0149
199.0,99.5,0.1327,0.1327,0.0237
219.0,119.0,0.5022,0.0697,0.0379
259.0,119.0,0.1189,0.1254,0.0102
279.0,279.0,0.9126,0.7296,0.0367
80.0,80.0,0.2423,0.0333,0.0093
298.0,298.0,0.4881,0.5071,0.0675
80.0,80.0,0.1795,0.1686,0.015
99.0,99.0,0.147,0.0805,0.0125
219.0,219.0,0.2085,-0.3515,0.0055
179.0,278.0,0.1462,0.1052,0.0391
258.0,258.0,0.3074,0.2004,0.0462
139.0,99.0,0.4466,0.4466,0.0131
418.0,209.0,0.1746,0.1001,0.0349
159.0,159.0,0.399,0.3855,0.0336
139.0,139.0,0.2625,0.095,0.0072
357.0,119.0,0.0904,0.1139,0.1711
298.0,298.0,0.1383,0.1383,0.0316
179.0,179.0,0.1418,0.0268,0.0559
99.0,99.0,0.496,0.3245,0.0306
198.0,99.0,0.1753,0.1563,0.031
199.0,239.0,0.1637,0.0837,0.0416
239.0,239.0,1.5692,0.6462,0.0271
179.0,179.0,0.0047,-0.0408,0.0067
179.0,179.0,0.3507,0.1637,0.0312
298.0,298.0,0.35,0.3155,0.02
179.0,179.0,0.0103,0.0158,0.0222
159.0,367.5,0.226,0.374,0.1185
99.0,259.0,0.2232,0.1882,0.0728
139.0,139.0,0.1595,0.124,0.022
419.0,20.0,0.9126,0.7296,0.0026
298.0,99.0,0.0915,0.0765,0.008
159.0,159.0,0.6131,0.2126,0.0364
119.0,119.0,0.1166,0.1776,0.0338
278.0,199.0,0.2906,0.1801,0.0199
99.0,99.0,0.2504,0.0964,0.012
179.0,179.0,0.9337,0.4262,0.0272
99.0,80.0,0.0247,0.0057,0.0142
99.0,278.0,0.0814,0.0954,0.0298
99.0,169.0,0.1332,0.1332,0.028
99.0,99.0,0.2297,0.1852,0.0126
199.0,199.0,0.1276,0.1166,0.0387
139.0,139.0,0.0988,0.0688,0.0101
139.0,139.0,0.102,0.106,0.0133
199.0,199.0,0.2606,0.1761,0.0334
258.0,258.0,0.07,0.0925,0.0417
319.0,259.0,0.7805,-0.5825,0.0274
99.0,199.0,0.1711,0.1216,0.0311
119.0,119.0,0.2032,0.1572,0.0153
159.0,159.0,0.1743,0.3513,0.0479
160.0,80.0,0.2873,0.0298,0.0428
179.0,179.0,0.0039,0.0359,0.0192
20.0,20.0,0.4364,-0.5261,0.003
159.0,159.0,0.0958,0.0853,0.0262
139.0,139.0,0.1312,0.1617,0.0163
219.0,219.0,1.3177,1.2217,0.0245
159.0,159.0,0.2213,0.0563,0.0362
139.0,139.0,0.4488,0.1318,0.0147
258.0,129.0,0.2284,0.0614,0.0509
100.0,100.0,0.5822,0.1722,0.0091
418.0,209.0,0.4189,0.2228,0.0635
179.0,179.0,0.2288,0.1023,0.0388
139.0,139.0,0.1437,0.1227,0.0152
80.0,80.0,0.1984,0.1054,0.015
179.0,278.0,0.1059,0.1059,0.0357
179.0,179.0,0.2423,0.1213,0.0208
159.0,159.0,0.1091,0.0831,0.0435
20.0,109.5,0.2482,-0.5668,0.0226
160.0,80.0,0.2482,0.1427,0.0171
139.0,139.0,0.0591,0.0716,0.0318
159.0,159.0,0.5301,0.3796,0.0392
278.0,99.0,0.1393,0.0798,0.0072
99.0,179.0,0.2292,0.1682,0.0404
139.0,139.0,0.2033,-0.0372,0.0288
139.0,139.0,0.4183,0.1829,0.0619
139.0,139.0,0.1446,0.0431,0.0093
179.0,179.0,0.1613,0.1523,0.0211
159.0,159.0,0.1307,0.1927,0.0229
99.0,99.0,0.2685,0.1395,0.016
139.0,139.0,0.2394,0.1074,0.0211
119.0,119.0,0.236,0.1055,0.0284
159.0,199.0,0.3965,0.3585,0.0277
239.0,239.0,0.4721,0.1321,0.0373
159.0,159.0,0.1056,0.0531,0.0133
80.0,80.0,0.5288,-0.0342,0.022
139.0,139.0,0.2781,0.1785,0.0141
219.0,219.0,0.0267,0.0152,0.0238
199.0,199.0,0.1047,0.0667,0.0237
99.0,99.0,0.1465,0.3645,0.0285
239.0,119.5,1.4612,1.4612,0.058
299.0,99.6667,0.5545,0.245,0.0771
338.0,169.0,0.2327,0.2327,0.028
338.0,169.0,0.1347,-0.0328,0.0243
119.0,119.0,0.153,0.0785,0.0261
219.0,219.0,0.147,0.1995,0.021
80.0,119.0,0.3152,0.3877,0.0057
258.0,258.0,0.1015,0.0705,0.0133
139.0,139.0,0.3413,0.1458,0.0143
139.0,119.0,0.2071,0.1501,0.0089
99.0,99.0,0.1816,-0.0044,0.0227
99.0,179.0,0.2667,0.2667,0.0134
258.0,318.0,0.0001,0.1361,0.0501
536.0,178.6667,0.0842,0.0642,0.1199
99.0,99.0,0.1327,0.1837,0.0118
259.0,259.0,0.9162,0.9162,0.0402
199.0,199.0,0.4172,0.2192,0.0256
179.0,139.0,0.2171,0.3051,0.0193
278.0,139.0,0.0376,0.2496,0.0571
199.0,139.0,0.2076,0.1386,0.0093
298.0,149.0,0.2242,0.1822,0.0374
258.0,258.0,0.1617,0.0802,0.0322
139.0,139.0,0.0531,0.0971,0.0116
99.0,159.0,0.1308,0.1729,0.0177
119.0,119.0,0.3413,0.1753,0.0123
99.0,99.0,0.2743,0.1129,0.011
139.0,139.0,0.0356,0.0796,0.0149
99.0,99.0,0.2482,0.0007,0.0106
139.0,139.0,0.1586,0.0776,0.0221
179.0,179.0,0.2678,0.1673,0.019
218.0,109.0,0.1429,0.1294,0.0187
179.0,179.0,0.9836,0.4221,0.0126
100.0,199.0,0.159,0.0915,0.0161
259.0,259.0,0.0766,0.0606,0.0408
199.0,199.0,0.4623,0.3223,0.0415
318.0,159.0,0.494,0.106,0.0238
219.0,99.0,0.2537,0.0997,0.0124
179.0,179.0,0.3765,0.211,0.091
