P2stFixation,lastSaccLen,prevFixDur,regressDur,regressLen,wordNo
1,159.8132,139.0,99.0,0.0,6.0
1,222.2082,179.0,1074.0,0.0,2.0
0,719.9424,179.0,199.0,0.0,3.0
0,213.1695,119.0,0.0,0.0,1.0
0,174.5287,537.0,0.0,0.0,1.0
1,99.8424,219.0,676.0,656.0,7.0
0,137.0912,139.0,0.0,0.0,6.0
1,193.5568,259.0,159.0,0.0,2.0
0,89.7622,219.0,0.0,0.0,1.0
1,373.9803,219.0,298.0,2007.0,6.0
0,351.8114,99.0,198.0,0.0,3.0
1,119.5073,80.0,0.0,0.0,1.0
1,78.8495,0.0,1074.0,0.0,1.0
0,123.5364,238.0,0.0,0.0,2.0
0,89.0505,219.0,0.0,0.0,2.0
1,98.0816,1036.0,418.0,0.0,1.0
0,123.3876,199.0,0.0,0.0,1.0
1,205.0274,139.0,318.0,0.0,1.0
1,527.5341,199.0,1431.0,0.0,2.0
0,312.8011,238.0,0.0,1052.0,1.0
0,430.0814,139.0,477.0,0.0,4.0
1,343.3402,219.0,954.0,0.0,4.0
0,904.0781,99.0,0.0,0.0,9.0
1,112.54,119.0,0.0,0.0,1.0
0,95.2575,179.0,259.0,0.0,2.0
1,89.7622,258.0,0.0,0.0,4.0
0,319.1414,119.0,0.0,0.0,1.0
0,79.6994,100.0,0.0,378.0,3.0
1,504.9802,99.0,198.0,80.0,5.0
1,173.5115,99.0,0.0,0.0,2.0
1,211.1711,199.0,4861.0,11655.0,2.0
0,86.1423,159.0,139.0,0.0,2.0
1,503.1073,179.0,0.0,0.0,6.0
0,143.0428,99.0,337.0,417.0,6.0
0,487.3287,199.0,0.0,0.0,5.0
1,131.4201,239.0,0.0,0.0,3.0
0,149.0252,119.0,0.0,0.0,7.0
0,229.8097,179.0,0.0,0.0,7.0
1,122.602,80.0,219.0,0.0,3.0
0,181.6549,139.0,0.0,0.0,5.0
0,384.5208,99.0,139.0,377.0,3.0
0,645.9106,139.0,0.0,0.0,7.0
0,192.6266,199.0,0.0,0.0,2.0
1,204.1378,278.0,298.0,0.0,1.0
0,54.5206,179.0,697.0,458.0,4.0
0,367.0766,119.0,0.0,0.0,4.0
0,264.0928,219.0,0.0,0.0,3.0
0,753.9513,179.0,0.0,0.0,6.0
0,311.5903,80.0,337.0,0.0,3.0
0,1116.3301,80.0,0.0,0.0,1.0
0,229.5049,139.0,1314.0,0.0,2.0
1,88.7426,139.0,0.0,219.0,1.0
1,137.1313,298.0,297.0,4690.0,3.0
0,62.476,99.0,0.0,1272.0,4.0
0,170.0007,119.0,199.0,0.0,1.0
0,132.417,179.0,0.0,0.0,1.0
1,245.2249,199.0,0.0,0.0,3.0
0,541.4596,159.0,0.0,0.0,5.0
0,490.7178,119.0,159.0,0.0,4.0
1,584.2418,219.0,0.0,0.0,5.0
0,166.7041,99.0,0.0,0.0,1.0
0,164.931,139.0,0.0,0.0,1.0
1,194.2897,199.0,0.0,0.0,1.0
0,184.954,139.0,279.0,299.0,1.0
1,742.0197,219.0,0.0,0.0,8.0
1,174.4484,80.0,0.0,1389.0,1.0
0,123.0447,199.0,0.0,0.0,2.0
1,130.0779,278.0,0.0,0.0,1.0
1,135.5083,99.0,318.0,0.0,5.0
0,154.7361,0.0,159.0,358.0,2.0
1,27.7218,99.0,139.0,1351.0,1.0
0,226.7918,219.0,0.0,0.0,2.0
0,240.0047,159.0,0.0,0.0,1.0
0,424.5027,417.0,0.0,0.0,2.0
0,275.3271,0.0,0.0,0.0,3.0
0,111.5437,259.0,219.0,0.0,2.0
0,294.9903,139.0,159.0,0.0,2.0
0,599.092,179.0,0.0,0.0,6.0
0,256.5448,80.0,0.0,0.0,4.0
0,238.6891,80.0,0.0,2503.0,9.0
0,79.0,199.0,0.0,139.0,2.0
0,108.2243,219.0,0.0,0.0,3.0
0,99.0808,239.0,159.0,537.0,3.0
0,199.2699,80.0,0.0,0.0,3.0
1,145.0836,99.0,278.0,219.0,1.0
0,231.9526,279.0,279.0,1593.0,2.0
0,64.5949,518.0,199.0,398.0,1.0
0,65.4083,238.0,119.0,99.0,3.0
0,236.6268,139.0,139.0,0.0,2.0
0,77.9503,80.0,318.0,2369.0,3.0
0,69.4586,99.0,0.0,0.0,1.0
0,133.7881,199.0,597.0,0.0,1.0
1,127.8329,179.0,0.0,0.0,2.0
0,150.3671,99.0,1012.0,0.0,5.0
0,164.4536,139.0,637.0,597.0,3.0
0,181.6989,80.0,0.0,0.0,1.0
1,100.7,0.0,0.0,0.0,2.0
0,124.0363,179.0,0.0,0.0,5.0
1,160.5195,119.0,279.0,0.0,3.0
0,280.9026,179.0,596.0,0.0,5.0
1,98.6116,119.0,0.0,0.0,2.0
0,146.1232,199.0,0.0,0.0,5.0
0,151.0761,99.0,238.0,476.0,2.0
0,94.3835,119.0,0.0,159.0,5.0
0,112.5711,0.0,0.0,0.0,1.0
1,441.5343,139.0,0.0,1352.0,5.0
1,77.0276,80.0,99.0,259.0,7.0
0,129.5154,219.0,537.0,0.0,4.0
1,58.2087,199.0,0.0,0.0,3.0
0,365.7448,139.0,0.0,0.0,5.0
1,64.9346,139.0,0.0,0.0,2.0
1,95.5314,159.0,0.0,2845.0,1.0
0,784.7716,139.0,0.0,0.0,6.0
0,138.6588,179.0,0.0,0.0,2.0
0,352.066,179.0,0.0,0.0,3.0
0,153.5489,80.0,119.0,379.0,3.0
0,356.6287,80.0,853.0,0.0,4.0
0,64.0,80.0,0.0,0.0,3.0
0,156.5008,219.0,0.0,437.0,2.0
0,344.5033,159.0,139.0,0.0,1.0
0,282.9629,80.0,0.0,0.0,4.0
1,74.7011,139.0,0.0,0.0,2.0
0,99.8624,80.0,0.0,0.0,4.0
1,205.8501,159.0,199.0,0.0,4.0
1,143.6672,139.0,0.0,0.0,3.0
1,258.4918,99.0,0.0,1193.0,1.0
0,175.5456,139.0,0.0,0.0,3.0
0,129.1172,278.0,219.0,0.0,1.0
1,254.3275,179.0,278.0,0.0,1.0
0,332.1333,259.0,0.0,199.0,7.0
0,103.0946,159.0,0.0,0.0,1.0
0,445.1957,139.0,139.0,0.0,4.0
0,134.0009,159.0,0.0,0.0,3.0
1,177.0254,139.0,0.0,517.0,4.0
1,108.1665,0.0,994.0,258.0,1.0
0,396.5,179.0,0.0,0.0,4.0
0,44.0028,139.0,0.0,0.0,1.0
1,178.6757,159.0,298.0,1134.0,3.0
0,188.5975,119.0,0.0,0.0,1.0
1,64.9788,139.0,0.0,0.0,5.0
0,783.0704,99.0,0.0,438.0,8.0
0,146.5486,120.0,0.0,0.0,1.0
1,87.8877,139.0,239.0,1849.0,2.0
0,181.2078,99.0,0.0,0.0,4.0
1,506.2964,99.0,0.0,0.0,6.0
0,108.4735,278.0,0.0,0.0,1.0
1,541.0333,139.0,398.0,398.0,1.0
0,184.8276,80.0,179.0,0.0,6.0
0,95.6935,179.0,557.0,557.0,2.0
0,384.7002,99.0,0.0,0.0,1.0
0,147.6906,258.0,0.0,0.0,4.0
0,97.2895,80.0,0.0,0.0,4.0
0,189.1144,298.0,0.0,0.0,3.0
1,246.3701,0.0,0.0,0.0,1.0
0,166.4332,258.0,0.0,0.0,2.0
1,172.6963,199.0,1431.0,0.0,1.0
1,561.1,139.0,0.0,0.0,1.0
1,242.3267,159.0,0.0,0.0,5.0
1,98.1835,278.0,278.0,457.0,2.0
0,780.0854,179.0,0.0,0.0,7.0
0,113.1868,119.0,0.0,0.0,1.0
1,104.6721,159.0,0.0,0.0,6.0
0,225.1444,119.0,0.0,0.0,1.0
0,0.0,219.0,0.0,0.0,4.0
1,124.4689,99.0,0.0,558.0,2.0
0,73.6376,119.0,0.0,0.0,1.0
1,239.9318,179.0,0.0,0.0,4.0
0,354.4929,80.0,0.0,0.0,4.0
0,318.5769,119.0,695.0,0.0,4.0
0,114.4246,258.0,0.0,0.0,3.0
0,226.3454,219.0,0.0,0.0,3.0
1,508.2335,139.0,278.0,258.0,2.0
1,105.5296,199.0,0.0,0.0,5.0
0,128.8148,139.0,0.0,0.0,2.0
1,159.5125,0.0,0.0,0.0,3.0
0,194.6645,219.0,159.0,517.0,2.0
0,126.0159,139.0,0.0,0.0,2.0
0,141.1737,139.0,0.0,0.0,1.0
1,210.7143,159.0,0.0,0.0,3.0
0,263.6854,139.0,0.0,0.0,5.0
1,448.5828,99.0,139.0,0.0,4.0
0,156.0072,0.0,0.0,0.0,1.0
1,52.2398,159.0,417.0,0.0,3.0
0,166.8682,80.0,0.0,0.0,2.0
0,129.1908,119.0,0.0,0.0,1.0
0,104.6757,100.0,458.0,0.0,1.0
1,253.1897,238.0,159.0,1113.0,2.0
0,103.0886,99.0,0.0,0.0,1.0
0,87.0531,258.0,238.0,0.0,4.0
0,301.5933,199.0,0.0,0.0,4.0
0,138.1774,99.0,99.0,0.0,3.0
0,233.6204,258.0,0.0,0.0,2.0
1,217.297,119.0,278.0,0.0,1.0
0,131.2345,119.0,0.0,0.0,3.0
1,359.1131,179.0,656.0,0.0,4.0
0,367.1597,179.0,0.0,796.0,1.0
1,487.0503,0.0,0.0,0.0,1.0
0,131.577,179.0,0.0,0.0,3.0
0,103.5809,99.0,139.0,0.0,2.0
0,349.6159,119.0,0.0,0.0,3.0
0,190.6948,119.0,0.0,0.0,2.0
1,162.5031,139.0,318.0,0.0,1.0
0,55.3828,319.0,359.0,658.0,4.0
0,174.018,119.0,0.0,0.0,1.0
1,86.0131,279.0,0.0,0.0,3.0
1,230.5049,278.0,219.0,0.0,5.0
1,1074.4436,199.0,1431.0,0.0,1.0
0,180.2471,119.0,0.0,0.0,2.0
0,212.5288,219.0,0.0,0.0,6.0
1,41.4367,99.0,119.0,3678.0,1.0
0,188.0538,139.0,0.0,0.0,2.0
0,74.8766,139.0,0.0,0.0,1.0
1,189.5534,179.0,358.0,0.0,3.0
1,137.5227,119.0,0.0,0.0,1.0
0,233.8616,179.0,0.0,0.0,1.0
0,108.14,80.0,853.0,0.0,4.0
0,370.3245,199.0,0.0,0.0,5.0
0,261.9971,99.0,0.0,0.0,4.0
0,193.1094,80.0,0.0,0.0,4.0
0,365.381,99.0,119.0,0.0,5.0
1,399.2174,358.0,357.0,1132.0,5.0
1,237.4031,199.0,936.0,179.0,3.0
0,87.5357,139.0,0.0,0.0,2.0
1,494.3099,139.0,297.0,9816.0,6.0
0,54.2033,239.0,0.0,119.0,4.0
0,363.1425,100.0,0.0,0.0,1.0
1,305.3072,99.0,0.0,0.0,1.0
0,109.9022,239.0,0.0,0.0,2.0
0,348.7496,80.0,119.0,0.0,4.0
0,320.0664,99.0,80.0,0.0,4.0
0,138.5442,99.0,0.0,0.0,3.0
1,184.3285,199.0,0.0,0.0,4.0
1,353.7814,199.0,0.0,418.0,6.0
0,155.5072,139.0,139.0,0.0,1.0
0,119.3367,159.0,0.0,0.0,2.0
0,538.5165,119.0,119.0,0.0,5.0
1,224.0006,179.0,695.0,0.0,2.0
0,136.2654,99.0,0.0,0.0,1.0
0,0.0,159.0,0.0,0.0,5.0
1,251.5244,219.0,0.0,0.0,6.0
1,633.2097,139.0,0.0,0.0,5.0
0,97.6371,80.0,439.0,577.0,2.0
0,205.548,239.0,0.0,0.0,4.0
1,398.5452,139.0,2169.0,0.0,2.0
0,131.3097,179.0,617.0,418.0,5.0
1,110.8388,20.0,0.0,737.0,2.0
0,222.1041,80.0,0.0,0.0,1.0
1,235.9158,159.0,0.0,0.0,1.0
0,161.5031,100.0,0.0,0.0,2.0
0,198.7719,80.0,0.0,0.0,1.0
0,560.8231,99.0,0.0,0.0,7.0
0,215.2324,179.0,0.0,0.0,1.0
0,104.2785,99.0,159.0,378.0,2.0
0,277.6545,199.0,219.0,0.0,6.0
0,605.0424,119.0,0.0,0.0,4.0
0,236.5338,219.0,0.0,0.0,2.0
0,72.2928,179.0,0.0,796.0,1.0
1,82.0686,0.0,0.0,0.0,1.0
0,121.9067,80.0,0.0,0.0,3.0
0,311.0486,99.0,0.0,0.0,3.0
0,103.5338,179.0,398.0,0.0,4.0
0,122.7609,179.0,0.0,0.0,1.0
0,324.2241,139.0,0.0,0.0,5.0
0,299.5004,199.0,0.0,0.0,4.0
0,151.268,80.0,0.0,0.0,3.0
0,199.6246,99.0,99.0,1409.0,5.0
0,191.1969,0.0,0.0,0.0,3.0
0,140.1508,139.0,0.0,0.0,4.0
1,113.554,119.0,0.0,179.0,2.0
0,393.9264,99.0,0.0,0.0,4.0
0,345.6447,179.0,417.0,0.0,3.0
0,87.0919,279.0,3248.0,9087.0,4.0
0,324.0174,179.0,0.0,0.0,4.0
0,133.5459,159.0,0.0,0.0,1.0
1,75.634,139.0,0.0,179.0,5.0
1,667.003,80.0,99.0,259.0,7.0
1,444.302,139.0,0.0,0.0,4.0
0,808.5303,99.0,0.0,8528.0,8.0
0,143.014,199.0,477.0,0.0,2.0
1,150.0208,139.0,0.0,0.0,1.0
1,97.0696,179.0,0.0,0.0,5.0
0,108.0104,80.0,0.0,0.0,1.0
1,147.5076,239.0,359.0,3363.0,6.0
1,246.2722,219.0,0.0,697.0,1.0
0,150.1408,199.0,0.0,0.0,4.0
1,267.4177,139.0,0.0,139.0,2.0
1,185.4562,219.0,0.0,0.0,4.0
0,153.6953,99.0,0.0,4713.0,1.0
0,124.291,179.0,278.0,218.0,6.0
1,250.72,139.0,457.0,0.0,1.0
0,100.7435,139.0,378.0,0.0,4.0
0,504.2393,80.0,0.0,357.0,5.0
0,163.3065,179.0,0.0,0.0,5.0
0,88.8651,80.0,100.0,0.0,4.0
0,138.9469,99.0,0.0,616.0,1.0
1,76.5278,437.0,715.0,596.0,2.0
0,65.192,179.0,179.0,0.0,5.0
0,80.9475,80.0,139.0,833.0,3.0
1,101.2089,358.0,258.0,318.0,1.0
0,57.8662,179.0,0.0,139.0,3.0
0,481.1138,199.0,0.0,0.0,6.0
0,132.0947,100.0,199.0,0.0,1.0
0,150.0408,278.0,0.0,0.0,1.0
1,282.0044,139.0,2064.0,159.0,4.0
0,95.2694,358.0,437.0,0.0,1.0
0,550.3519,139.0,0.0,0.0,5.0
1,459.0256,0.0,179.0,80.0,4.0
1,0.0,119.0,0.0,0.0,2.0
1,176.0007,239.0,477.0,0.0,4.0
0,368.5919,119.0,278.0,0.0,2.0
1,589.1657,179.0,4931.0,11988.0,2.0
0,275.6216,179.0,0.0,0.0,3.0
1,119.877,99.0,139.0,179.0,2.0
0,433.8093,159.0,0.0,0.0,4.0
0,242.55,0.0,0.0,0.0,3.0
0,145.5137,179.0,0.0,0.0,1.0
0,194.1449,139.0,0.0,0.0,3.0
0,99.0454,298.0,239.0,0.0,3.0
0,196.5407,80.0,0.0,0.0,3.0
0,220.3548,119.0,0.0,0.0,2.0
1,210.4335,179.0,0.0,0.0,2.0
0,485.218,80.0,0.0,0.0,5.0
1,177.5451,119.0,0.0,0.0,3.0
0,251.584,80.0,0.0,0.0,6.0
0,211.6182,139.0,0.0,0.0,3.0
0,183.4734,100.0,0.0,0.0,2.0
0,71.8923,139.0,0.0,278.0,5.0
0,244.8183,0.0,0.0,0.0,1.0
1,129.8124,398.0,278.0,0.0,3.0
0,177.5028,179.0,0.0,0.0,2.0
0,450.0156,338.0,0.0,0.0,4.0
1,380.5,179.0,0.0,2504.0,1.0
0,185.7323,159.0,139.0,0.0,4.0
0,207.6566,159.0,0.0,80.0,5.0
1,95.0118,258.0,0.0,1411.0,2.0
1,94.5,258.0,815.0,556.0,2.0
0,259.2552,100.0,139.0,0.0,5.0
0,118.0953,80.0,119.0,0.0,2.0
0,253.5005,99.0,198.0,0.0,1.0
0,515.5546,239.0,0.0,0.0,1.0
1,159.0786,119.0,0.0,0.0,1.0
0,179.1382,219.0,697.0,577.0,2.0
1,303.4967,20.0,398.0,1234.0,4.0
0,135.5701,199.0,0.0,0.0,2.0
0,229.0546,258.0,0.0,0.0,5.0
0,90.8983,179.0,119.0,0.0,3.0
0,191.0236,139.0,0.0,0.0,1.0
0,112.0413,80.0,0.0,0.0,1.0
0,825.9546,139.0,0.0,0.0,7.0
0,546.6736,80.0,0.0,0.0,8.0
0,360.0889,0.0,0.0,0.0,4.0
0,201.0025,139.0,0.0,0.0,1.0
0,173.6412,239.0,0.0,0.0,4.0
1,533.271,338.0,795.0,1173.0,4.0
1,460.0024,219.0,0.0,160.0,4.0
0,190.4652,279.0,0.0,0.0,1.0
0,430.0012,119.0,0.0,0.0,1.0
1,122.451,219.0,0.0,0.0,5.0
0,122.2007,139.0,0.0,775.0,5.0
0,82.134,258.0,0.0,0.0,1.0
0,119.8384,199.0,180.0,0.0,4.0
1,407.511,258.0,537.0,2167.0,5.0
1,66.7308,179.0,0.0,1412.0,1.0
0,148.9001,119.0,199.0,0.0,2.0
0,225.5621,99.0,0.0,0.0,1.0
0,36.0555,179.0,617.0,418.0,5.0
0,1454.5416,99.0,278.0,0.0,5.0
0,561.6558,119.0,0.0,0.0,6.0
0,500.1,199.0,0.0,836.0,7.0
0,141.5883,99.0,0.0,0.0,1.0
1,195.9751,179.0,0.0,0.0,1.0
0,329.6673,99.0,0.0,238.0,4.0
0,210.5024,139.0,0.0,0.0,1.0
1,217.5575,319.0,0.0,0.0,2.0
0,233.8568,179.0,0.0,0.0,8.0
0,563.2238,139.0,0.0,139.0,7.0
1,212.5376,0.0,0.0,0.0,1.0
0,113.1106,179.0,478.0,379.0,2.0
1,373.1729,159.0,119.0,0.0,4.0
0,243.2781,119.0,0.0,0.0,3.0
0,114.0175,219.0,80.0,0.0,2.0
0,174.5623,139.0,119.0,0.0,3.0
1,68.6913,258.0,0.0,3480.0,1.0
1,51.4782,139.0,0.0,0.0,1.0
1,294.6375,139.0,0.0,0.0,1.0
0,127.6656,318.0,0.0,0.0,2.0
0,90.118,119.0,0.0,0.0,4.0
1,121.5504,20.0,0.0,0.0,2.0
0,100.3457,239.0,179.0,298.0,4.0
1,506.0089,139.0,179.0,3658.0,6.0
1,153.0033,219.0,338.0,0.0,4.0
1,547.5386,139.0,2169.0,0.0,2.0
1,96.5117,238.0,2246.0,0.0,1.0
1,1591.8029,159.0,358.0,796.0,6.0
0,209.5239,179.0,0.0,0.0,4.0
0,200.2255,139.0,0.0,0.0,2.0
0,655.8363,179.0,0.0,259.0,7.0
1,59.203,199.0,0.0,0.0,1.0
0,855.5298,80.0,80.0,0.0,8.0
0,127.0157,119.0,0.0,0.0,1.0
1,432.2962,179.0,0.0,0.0,2.0
1,52.1943,219.0,0.0,0.0,1.0
0,77.9647,80.0,0.0,0.0,1.0
0,143.5862,238.0,179.0,0.0,1.0
1,262.1092,159.0,0.0,0.0,1.0
0,75.4072,239.0,0.0,0.0,2.0
0,140.7782,99.0,536.0,3938.0,2.0
1,269.5116,179.0,279.0,0.0,1.0
1,202.0155,199.0,4861.0,11655.0,2.0
1,0.0,159.0,776.0,0.0,3.0
1,0.0,100.0,1375.0,1036.0,4.0
1,212.627,0.0,278.0,0.0,2.0
1,119.7884,99.0,0.0,0.0,5.0
0,128.2078,179.0,1668.0,0.0,2.0
0,219.1118,258.0,0.0,0.0,5.0
0,578.1544,139.0,0.0,0.0,1.0
1,62.0504,99.0,219.0,0.0,1.0
0,137.4627,99.0,0.0,0.0,1.0
0,543.1429,0.0,0.0,0.0,5.0
0,59.6657,99.0,198.0,99.0,3.0
0,77.06,179.0,0.0,0.0,1.0
0,158.749,159.0,99.0,0.0,2.0
0,160.8112,99.0,0.0,0.0,1.0
1,211.1694,99.0,0.0,0.0,3.0
0,66.7308,239.0,0.0,20.0,2.0
0,284.9649,139.0,0.0,0.0,1.0
0,128.6283,219.0,0.0,0.0,3.0
0,165.0485,159.0,0.0,0.0,4.0
0,445.8343,179.0,139.0,0.0,4.0
0,101.8982,119.0,0.0,0.0,1.0
1,196.5229,139.0,2064.0,159.0,4.0
0,89.9347,279.0,0.0,140.0,3.0
1,330.8266,199.0,0.0,0.0,4.0
1,172.0966,0.0,0.0,0.0,2.0
1,202.2554,80.0,0.0,0.0,5.0
1,129.5531,119.0,1054.0,0.0,6.0
0,136.7013,0.0,0.0,0.0,1.0
0,135.5701,80.0,80.0,0.0,6.0
1,131.8797,239.0,0.0,0.0,1.0
0,115.5097,139.0,0.0,0.0,3.0
0,396.2783,159.0,0.0,258.0,4.0
1,442.685,99.0,1370.0,796.0,4.0
0,177.3083,199.0,338.0,0.0,1.0
0,682.9863,258.0,0.0,0.0,10.0
0,807.1488,298.0,0.0,378.0,6.0
1,888.1319,239.0,359.0,3363.0,6.0
0,322.3713,139.0,218.0,3599.0,4.0
0,141.934,279.0,0.0,0.0,3.0
0,107.3336,219.0,0.0,0.0,4.0
0,38.5,239.0,0.0,119.0,4.0
0,153.2359,139.0,0.0,0.0,5.0
0,158.5386,139.0,139.0,716.0,1.0
1,410.0598,179.0,0.0,2406.0,1.0
1,99.791,219.0,2255.0,4105.0,1.0
1,165.0189,219.0,139.0,0.0,2.0
0,119.6547,179.0,417.0,0.0,1.0
0,131.5466,179.0,0.0,0.0,1.0
0,101.6673,139.0,0.0,0.0,1.0
0,355.1479,99.0,0.0,0.0,3.0
1,307.2751,258.0,378.0,4533.0,4.0
0,0.0,159.0,0.0,0.0,2.0
0,267.1353,259.0,0.0,0.0,2.0
1,149.0252,139.0,179.0,0.0,3.0
1,175.6822,139.0,0.0,1193.0,3.0
0,210.2617,99.0,0.0,0.0,1.0
0,996.452,0.0,0.0,0.0,6.0
0,151.9803,199.0,0.0,0.0,1.0
0,210.1886,0.0,0.0,0.0,1.0
0,244.0215,258.0,0.0,0.0,4.0
0,242.4113,179.0,597.0,0.0,1.0
0,140.4226,159.0,139.0,2566.0,2.0
0,101.1781,119.0,0.0,0.0,1.0
0,141.0035,80.0,139.0,0.0,3.0
1,485.0673,139.0,297.0,9816.0,6.0
0,580.7342,139.0,0.0,0.0,4.0
1,265.4642,159.0,0.0,0.0,3.0
1,214.3648,80.0,0.0,438.0,2.0
0,283.9331,219.0,20.0,299.0,4.0
1,118.9212,179.0,498.0,0.0,1.0
1,138.6001,80.0,0.0,1389.0,1.0
0,100.8179,139.0,0.0,0.0,3.0
0,598.312,119.0,0.0,0.0,4.0
1,91.5874,219.0,0.0,0.0,3.0
0,197.7321,99.0,259.0,398.0,6.0
0,216.037,159.0,99.0,0.0,2.0
0,417.6967,139.0,0.0,0.0,4.0
0,69.8713,179.0,0.0,0.0,1.0
1,50.3289,0.0,0.0,0.0,2.0
1,351.4872,199.0,0.0,0.0,4.0
0,164.5068,159.0,557.0,0.0,3.0
1,0.0,20.0,836.0,1155.0,2.0
0,183.0027,179.0,0.0,0.0,4.0
0,94.5476,120.0,0.0,0.0,1.0
1,74.783,219.0,1654.0,896.0,5.0
0,361.0405,139.0,0.0,0.0,3.0
0,99.1476,159.0,0.0,0.0,5.0
1,92.9005,99.0,199.0,854.0,4.0
1,662.4519,179.0,80.0,379.0,6.0
0,780.2854,0.0,0.0,0.0,7.0
0,359.2944,199.0,2680.0,0.0,2.0
1,253.9734,139.0,11140.0,1434.0,1.0
1,58.228,279.0,0.0,937.0,2.0
1,584.1836,159.0,0.0,4450.0,5.0
1,580.8548,139.0,0.0,2802.0,5.0
1,70.8696,258.0,0.0,834.0,1.0
0,110.0102,199.0,837.0,1137.0,5.0
0,470.5159,258.0,0.0,0.0,5.0
0,136.18,179.0,179.0,0.0,5.0
0,111.4462,139.0,180.0,0.0,2.0
0,83.9315,219.0,0.0,0.0,3.0
0,356.6402,139.0,99.0,1193.0,6.0
1,98.6268,159.0,417.0,198.0,1.0
0,161.698,99.0,0.0,0.0,1.0
0,412.9558,159.0,0.0,0.0,5.0
0,521.318,239.0,0.0,0.0,2.0
1,109.6141,80.0,99.0,0.0,2.0
0,217.5092,0.0,0.0,0.0,3.0
0,329.3543,179.0,0.0,0.0,4.0
0,180.2776,219.0,737.0,358.0,3.0
0,124.901,259.0,676.0,0.0,4.0
0,264.8443,278.0,278.0,914.0,3.0
1,176.9364,159.0,0.0,0.0,7.0
