eyemove/table8.P1stFixation,eyemove/table8.nextWordRegress,eyemove/table8.prevFixPos,eyemove/table8.regressDur,eyemove/table8.wordNo,prevFixDur,label
1,0,538.0567,637.0,3.0,139.0,0
0,0,104.9952,0.0,1.0,80.0,0
1,0,115.4123,0.0,2.0,219.0,0
0,0,264.8509,0.0,5.0,259.0,1
1,0,375.6927,0.0,1.0,179.0,0
1,0,104.8904,0.0,1.0,139.0,0
1,0,214.021,0.0,4.0,99.0,0
1,1,218.4033,2169.0,2.0,139.0,0
1,0,23.2594,0.0,3.0,338.0,1
1,0,139.6352,0.0,2.0,139.0,1
0,0,86.977,0.0,6.0,219.0,0
0,1,273.3862,0.0,3.0,159.0,0
1,0,27.7849,318.0,4.0,119.0,0
1,0,118.1524,0.0,1.0,179.0,0
1,1,120.9669,139.0,1.0,338.0,1
1,0,89.0056,179.0,6.0,199.0,1
1,0,0.0,676.0,1.0,0.0,1
1,0,176.2839,0.0,6.0,80.0,1
1,0,238.0756,0.0,3.0,119.0,1
1,0,0.0,0.0,3.0,0.0,0
1,0,196.4001,239.0,1.0,259.0,0
1,0,51.3128,0.0,3.0,139.0,1
1,0,192.0651,0.0,4.0,219.0,0
1,0,74.3303,0.0,3.0,159.0,0
1,0,177.7217,0.0,1.0,99.0,1
1,0,108.2312,0.0,1.0,159.0,0
0,0,151.8552,179.0,1.0,80.0,1
1,1,142.5938,358.0,1.0,199.0,0
1,0,478.7755,299.0,1.0,99.0,1
1,0,850.0994,457.0,1.0,139.0,0
0,1,38.833,1075.0,2.0,139.0,0
0,0,335.5384,119.0,4.0,179.0,1
1,0,39.2938,199.0,2.0,80.0,1
0,0,76.4199,0.0,2.0,179.0,0
1,0,541.2365,1752.0,2.0,0.0,1
0,0,661.3093,0.0,2.0,219.0,1
1,0,553.9765,937.0,1.0,279.0,1
1,0,469.0096,179.0,2.0,159.0,1
1,0,918.9042,0.0,1.0,159.0,0
1,1,109.0183,179.0,1.0,119.0,0
1,0,203.0025,0.0,3.0,139.0,1
1,0,657.0,0.0,1.0,119.0,1
1,1,326.2591,238.0,1.0,119.0,1
1,0,0.0,0.0,4.0,0.0,1
1,0,83.0241,378.0,5.0,119.0,0
1,0,417.4901,239.0,1.0,80.0,0
1,0,328.0015,0.0,4.0,99.0,1
1,0,415.2132,0.0,2.0,80.0,1
1,0,83.3847,0.0,6.0,119.0,1
1,0,389.5151,219.0,1.0,278.0,0
1,0,90.0888,0.0,2.0,239.0,1
0,0,407.0197,0.0,4.0,298.0,1
1,0,69.6419,218.0,5.0,179.0,1
0,0,703.9212,0.0,2.0,159.0,1
1,1,141.9049,0.0,3.0,239.0,0
1,0,178.6197,139.0,3.0,99.0,0
1,1,293.7822,0.0,1.0,199.0,0
1,1,157.0,837.0,5.0,199.0,0
1,0,163.0491,756.0,7.0,159.0,1
1,0,445.1921,0.0,1.0,139.0,0
1,0,55.3173,319.0,2.0,339.0,1
1,0,40.7063,0.0,2.0,199.0,0
1,0,124.0846,0.0,6.0,139.0,1
0,0,221.795,0.0,2.0,159.0,0
1,0,207.6463,0.0,1.0,318.0,1
1,0,79.4292,0.0,2.0,139.0,1
0,0,26.2488,0.0,5.0,219.0,0
1,0,227.1409,99.0,1.0,139.0,0
1,0,348.191,478.0,1.0,80.0,0
1,0,63.0079,0.0,4.0,179.0,1
0,1,157.0127,1072.0,3.0,139.0,0
0,1,62.1289,0.0,7.0,179.0,1
1,0,65.8027,0.0,3.0,100.0,0
1,0,237.4974,1194.0,4.0,239.0,1
1,0,405.2222,0.0,3.0,99.0,0
1,0,46.5296,219.0,3.0,199.0,0
1,0,108.074,0.0,6.0,99.0,0
1,1,83.9524,0.0,4.0,0.0,1
1,0,525.8564,0.0,6.0,99.0,0
1,0,94.3716,0.0,3.0,119.0,1
1,0,403.2096,0.0,1.0,199.0,1
0,0,162.1974,159.0,4.0,80.0,1
1,0,92.8009,438.0,1.0,80.0,1
1,0,45.1774,0.0,7.0,279.0,0
1,0,124.0,696.0,2.0,139.0,1
0,0,89.1403,0.0,3.0,179.0,0
1,1,152.3187,478.0,3.0,80.0,0
1,0,136.2424,378.0,1.0,80.0,1
1,0,580.1121,0.0,2.0,0.0,1
1,0,435.6524,0.0,1.0,119.0,1
1,0,198.6454,0.0,7.0,159.0,1
1,0,93.4345,139.0,1.0,80.0,1
1,0,90.6091,0.0,4.0,199.0,1
0,0,112.1606,238.0,2.0,179.0,1
1,0,270.248,396.0,1.0,199.0,1
1,0,315.0063,218.0,1.0,119.0,0
1,0,736.6906,258.0,2.0,199.0,0
1,1,106.8878,199.0,1.0,179.0,0
1,0,40.4969,0.0,4.0,179.0,0
1,0,162.5208,119.0,3.0,0.0,0
0,0,173.4878,358.0,3.0,239.0,1
0,0,104.2929,358.0,6.0,179.0,0
1,0,274.8982,0.0,1.0,100.0,0
1,0,423.7853,478.0,1.0,199.0,1
1,0,205.7304,219.0,1.0,318.0,1
1,0,23.2594,0.0,5.0,159.0,0
1,0,75.0067,0.0,3.0,100.0,0
1,0,136.0588,0.0,2.0,199.0,0
0,0,169.3576,278.0,4.0,179.0,0
1,0,122.8007,0.0,2.0,139.0,0
1,0,526.7874,0.0,2.0,298.0,1
1,0,415.0434,0.0,4.0,298.0,0
1,0,183.6627,0.0,1.0,0.0,1
1,0,98.0051,179.0,1.0,258.0,1
1,0,129.9731,0.0,1.0,258.0,1
1,0,120.4201,0.0,1.0,179.0,1
0,0,178.0449,0.0,4.0,139.0,1
1,0,0.0,0.0,1.0,0.0,1
0,0,57.9828,0.0,4.0,139.0,0
1,0,76.6551,0.0,4.0,199.0,0
1,0,864.6167,0.0,1.0,179.0,0
1,0,55.0818,0.0,2.0,279.0,0
1,0,94.3398,0.0,4.0,179.0,1
1,0,520.9223,0.0,1.0,99.0,1
0,1,271.0664,179.0,6.0,199.0,1
1,0,445.5974,0.0,8.0,99.0,0
1,0,114.3547,139.0,6.0,258.0,0
1,0,157.3181,0.0,2.0,179.0,0
1,0,0.0,0.0,2.0,0.0,1
1,0,49.0408,238.0,2.0,99.0,0
1,0,70.6824,755.0,8.0,159.0,0
0,1,551.0327,278.0,1.0,99.0,0
0,0,24.2074,358.0,6.0,179.0,0
1,0,81.6149,0.0,2.0,119.0,0
1,0,369.2425,198.0,1.0,99.0,0
1,0,442.8476,0.0,2.0,100.0,1
1,0,424.8411,0.0,1.0,119.0,0
1,0,131.9129,0.0,3.0,199.0,0
1,0,152.0033,0.0,4.0,119.0,1
1,0,66.2873,200.0,2.0,259.0,0
1,0,169.3665,0.0,1.0,398.0,1
1,0,177.6119,0.0,1.0,119.0,0
1,0,110.44,80.0,2.0,80.0,1
1,0,0.0,0.0,2.0,0.0,1
1,0,40.1123,537.0,5.0,258.0,0
1,0,0.0,0.0,3.0,0.0,1
1,0,547.4824,0.0,1.0,119.0,1
1,0,47.676,179.0,2.0,199.0,0
1,0,386.0052,537.0,7.0,80.0,0
0,0,92.6337,0.0,1.0,298.0,1
1,0,113.5341,0.0,2.0,179.0,1
0,0,39.0512,0.0,8.0,139.0,0
1,0,306.1242,139.0,1.0,179.0,0
1,0,118.4567,0.0,7.0,119.0,0
1,0,155.1161,0.0,2.0,139.0,0
1,0,54.4518,596.0,5.0,179.0,0
0,0,80.0562,0.0,5.0,80.0,0
0,0,121.1487,0.0,8.0,80.0,0
0,1,149.566,297.0,1.0,139.0,1
1,0,104.69,0.0,3.0,119.0,0
1,1,290.1103,99.0,1.0,119.0,1
1,1,272.738,159.0,1.0,119.0,0
1,0,216.7602,0.0,1.0,119.0,0
1,0,330.5889,337.0,3.0,99.0,1
1,0,135.724,0.0,3.0,219.0,0
1,0,86.6833,0.0,1.0,80.0,1
1,0,380.434,0.0,7.0,179.0,1
0,1,138.4377,0.0,5.0,338.0,1
1,0,80.0625,0.0,4.0,219.0,0
0,0,69.0,0.0,2.0,199.0,1
0,1,191.157,278.0,1.0,99.0,0
0,0,88.5889,0.0,3.0,199.0,1
0,0,95.2943,0.0,2.0,139.0,1
1,1,387.1137,100.0,1.0,179.0,1
0,0,241.9793,0.0,3.0,119.0,0
1,0,108.3744,0.0,2.0,119.0,0
1,0,472.089,0.0,1.0,99.0,1
0,0,681.502,0.0,2.0,80.0,0
1,0,341.7865,0.0,1.0,80.0,1
1,0,155.6567,219.0,1.0,119.0,0
1,0,537.0177,0.0,2.0,119.0,0
1,0,511.661,557.0,1.0,99.0,1
1,0,209.0598,0.0,3.0,99.0,0
1,0,122.4091,0.0,3.0,80.0,1
1,0,54.1202,0.0,2.0,279.0,0
1,0,682.587,0.0,1.0,99.0,1
1,0,346.2441,139.0,2.0,99.0,0
1,0,267.8544,238.0,1.0,119.0,1
1,0,347.908,0.0,1.0,199.0,1
1,1,75.505,159.0,1.0,100.0,1
1,0,336.2648,0.0,1.0,159.0,1
1,1,95.0211,437.0,1.0,179.0,1
0,0,833.0294,756.0,2.0,119.0,0
1,1,328.0244,139.0,1.0,338.0,1
0,1,463.0011,279.0,2.0,219.0,1
1,0,292.7456,278.0,1.0,0.0,0
1,1,494.9828,1510.0,1.0,139.0,0
0,0,83.2166,0.0,4.0,239.0,1
1,0,58.6686,0.0,6.0,179.0,1
0,0,161.7931,0.0,8.0,139.0,0
1,0,772.7464,0.0,1.0,100.0,1
1,0,556.1187,0.0,2.0,99.0,1
1,1,139.0863,139.0,1.0,139.0,0
1,0,36.7696,0.0,3.0,298.0,0
1,0,181.0028,0.0,4.0,179.0,1
0,1,100.02,0.0,7.0,99.0,0
1,0,218.8264,0.0,3.0,179.0,0
1,0,117.0043,199.0,4.0,179.0,1
0,0,125.2996,0.0,3.0,219.0,0
1,0,313.2491,0.0,1.0,119.0,1
1,0,378.3808,0.0,1.0,159.0,0
1,0,46.6905,0.0,4.0,80.0,0
1,0,278.9498,139.0,4.0,159.0,0
1,0,172.8381,0.0,4.0,179.0,0
1,0,79.3095,0.0,3.0,99.0,0
1,0,27.2947,0.0,5.0,119.0,1
0,1,453.0541,2426.0,2.0,179.0,1
1,0,500.8812,0.0,1.0,139.0,1
0,0,100.3195,199.0,2.0,159.0,1
1,0,154.6157,0.0,1.0,99.0,1
0,0,78.5175,0.0,6.0,179.0,0
1,0,137.6445,1112.0,1.0,99.0,0
1,0,56.0089,0.0,3.0,199.0,0
1,0,73.0068,0.0,4.0,80.0,0
1,0,29.5296,0.0,5.0,20.0,0
1,0,122.1475,418.0,1.0,417.0,1
1,0,0.0,179.0,4.0,0.0,0
1,0,224.7221,0.0,5.0,139.0,1
0,0,103.1746,0.0,5.0,139.0,0
1,1,139.0575,20.0,5.0,20.0,0
1,0,571.1812,0.0,2.0,219.0,1
0,0,644.5727,0.0,1.0,80.0,0
0,0,176.7258,873.0,4.0,139.0,0
1,0,453.3487,597.0,1.0,199.0,1
1,0,531.1139,318.0,2.0,139.0,1
1,0,104.9952,0.0,1.0,338.0,0
1,0,191.9505,0.0,1.0,99.0,1
1,0,330.4905,598.0,1.0,259.0,1
1,0,184.4587,258.0,1.0,139.0,1
1,0,288.6261,99.0,7.0,219.0,0
1,0,53.8516,0.0,2.0,159.0,1
1,0,478.0377,0.0,5.0,139.0,0
1,0,266.7208,0.0,3.0,339.0,1
1,0,170.1058,0.0,7.0,119.0,0
1,0,166.5173,0.0,1.0,259.0,1
1,0,123.4058,0.0,1.0,278.0,1
1,0,61.7414,0.0,2.0,119.0,1
0,0,232.1659,119.0,2.0,199.0,0
1,0,278.3523,139.0,5.0,119.0,1
1,0,203.1576,0.0,7.0,139.0,1
1,0,0.0,0.0,1.0,0.0,0
1,0,109.6221,377.0,1.0,179.0,0
1,0,451.8462,0.0,1.0,100.0,1
0,0,223.2241,0.0,3.0,199.0,0
1,0,15.8114,438.0,2.0,139.0,0
0,0,191.1282,358.0,3.0,159.0,1
1,0,120.1041,219.0,4.0,219.0,0
1,1,157.1146,139.0,1.0,139.0,0
1,0,128.4562,0.0,3.0,159.0,0
1,0,380.0118,0.0,6.0,139.0,1
1,0,27.313,0.0,5.0,119.0,1
1,1,117.0385,139.0,3.0,139.0,0
0,0,220.2272,99.0,6.0,99.0,0
1,0,278.5193,0.0,6.0,80.0,0
0,0,226.4906,0.0,1.0,259.0,0
1,1,111.463,99.0,3.0,99.0,0
1,0,516.0824,0.0,1.0,299.0,1
1,0,122.0246,0.0,2.0,199.0,0
1,0,140.8013,0.0,3.0,179.0,1
1,0,210.8009,199.0,2.0,159.0,0
1,0,52.8867,0.0,4.0,139.0,0
0,0,778.2268,0.0,2.0,199.0,0
1,0,500.6496,937.0,1.0,279.0,1
1,0,170.3203,0.0,2.0,199.0,0
1,1,94.0,278.0,1.0,99.0,1
1,0,197.0913,0.0,5.0,239.0,1
1,0,282.023,0.0,4.0,139.0,0
1,0,67.4759,0.0,5.0,298.0,0
1,1,112.0089,676.0,1.0,239.0,1
1,0,246.2702,0.0,4.0,139.0,1
1,0,119.8541,0.0,2.0,80.0,1
1,0,167.0479,0.0,9.0,139.0,0
1,0,149.2146,0.0,3.0,238.0,1
0,1,112.6455,0.0,2.0,139.0,0
0,0,429.2622,119.0,4.0,219.0,1
0,1,218.0734,279.0,1.0,139.0,0
1,0,140.0036,0.0,3.0,179.0,1
1,0,85.8429,0.0,2.0,80.0,0
1,0,167.1915,139.0,3.0,239.0,0
1,0,170.8011,0.0,1.0,219.0,0
1,0,289.9948,537.0,4.0,278.0,1
1,0,125.2837,0.0,3.0,139.0,1
1,0,765.0529,199.0,4.0,179.0,1
1,0,72.0069,0.0,3.0,139.0,0
1,0,212.2287,0.0,1.0,278.0,0
1,0,343.5957,0.0,1.0,139.0,0
1,0,268.9108,0.0,7.0,99.0,1
1,0,149.0034,0.0,2.0,139.0,1
1,0,154.0811,0.0,5.0,199.0,1
1,0,166.7693,0.0,3.0,299.0,1
1,0,83.006,418.0,2.0,199.0,1
1,0,365.5845,715.0,2.0,437.0,0
1,0,41.1096,0.0,2.0,259.0,0
1,0,49.0408,239.0,3.0,179.0,0
1,0,81.1234,378.0,5.0,99.0,0
1,0,308.365,0.0,5.0,119.0,1
1,0,266.1015,0.0,1.0,179.0,1
1,0,32.8024,0.0,6.0,199.0,0
0,0,48.8365,0.0,4.0,139.0,0
1,0,162.3361,0.0,1.0,99.0,1
1,1,463.6917,676.0,1.0,159.0,1
1,0,875.0366,1688.0,1.0,278.0,1
1,0,371.2142,258.0,1.0,159.0,1
1,1,152.7776,1056.0,1.0,20.0,0
1,0,64.5368,0.0,4.0,199.0,0
1,0,138.7552,0.0,3.0,119.0,0
1,0,458.0393,80.0,6.0,139.0,0
1,0,594.9832,558.0,2.0,258.0,0
1,0,75.2861,0.0,1.0,239.0,1
1,1,51.2445,2622.0,2.0,99.0,1
1,0,95.3362,0.0,2.0,259.0,1
1,0,198.3053,0.0,2.0,139.0,1
1,0,107.3778,99.0,4.0,139.0,0
1,0,236.1715,0.0,3.0,219.0,0
0,1,28.1603,0.0,8.0,119.0,0
0,0,121.0165,0.0,5.0,279.0,1
0,0,201.7251,0.0,6.0,298.0,0
1,0,202.3116,0.0,4.0,159.0,0
1,0,40.7185,676.0,7.0,219.0,0
1,1,0.0,0.0,2.0,0.0,1
1,1,87.9318,179.0,1.0,179.0,1
0,0,471.208,0.0,2.0,159.0,1
0,0,351.4598,80.0,1.0,219.0,0
1,0,359.3884,0.0,1.0,119.0,0
1,1,111.6065,517.0,1.0,139.0,1
1,1,108.7796,1154.0,1.0,99.0,0
1,0,169.5465,0.0,1.0,359.0,1
1,0,141.4496,0.0,1.0,338.0,1
1,0,115.3646,338.0,3.0,119.0,0
1,0,786.1768,0.0,1.0,199.0,1
1,0,0.0,0.0,1.0,0.0,1
1,0,35.4683,0.0,2.0,80.0,0
1,0,0.0,0.0,2.0,0.0,1
1,0,410.3523,0.0,4.0,258.0,1
0,1,161.4466,199.0,1.0,179.0,0
1,1,189.3806,119.0,3.0,239.0,1
0,0,484.5998,0.0,1.0,238.0,1
1,0,106.4519,0.0,1.0,20.0,0
1,0,0.0,0.0,4.0,0.0,1
1,0,0.0,0.0,1.0,0.0,0
0,0,249.1907,80.0,1.0,119.0,0
1,1,78.0577,853.0,4.0,80.0,0
1,0,226.3846,936.0,3.0,199.0,0
1,0,375.2253,278.0,2.0,0.0,0
1,0,200.8781,0.0,2.0,318.0,1
1,0,392.902,0.0,2.0,278.0,1
1,0,0.0,0.0,1.0,0.0,0
1,0,0.0,0.0,1.0,0.0,1
1,0,103.3925,0.0,3.0,199.0,0
1,0,180.8674,0.0,1.0,99.0,0
1,0,198.5397,0.0,1.0,99.0,1
1,0,231.3115,0.0,4.0,219.0,1
1,0,399.3257,0.0,1.0,99.0,1
1,0,120.2206,198.0,7.0,159.0,1
1,0,53.4883,0.0,2.0,99.0,1
1,0,0.0,0.0,1.0,0.0,1
1,0,65.0692,278.0,2.0,278.0,0
0,0,61.8466,0.0,5.0,119.0,0
1,1,169.6732,278.0,6.0,298.0,0
1,0,170.9883,0.0,3.0,159.0,0
1,0,1046.2476,278.0,1.0,119.0,0
1,0,302.0265,259.0,2.0,179.0,0
1,0,112.6144,0.0,2.0,99.0,0
1,0,261.6276,0.0,1.0,279.0,1
1,0,106.7755,1196.0,1.0,199.0,1
1,0,361.2478,159.0,2.0,219.0,0
1,0,752.8911,0.0,1.0,119.0,0
1,0,17.2047,437.0,3.0,258.0,0
0,0,113.0398,0.0,7.0,99.0,1
1,0,160.3278,0.0,2.0,20.0,0
1,1,114.8564,0.0,2.0,99.0,1
1,0,282.3119,556.0,1.0,0.0,1
0,0,200.9602,0.0,5.0,219.0,1
1,0,301.7052,0.0,2.0,99.0,1
1,0,229.0589,0.0,6.0,179.0,1
1,0,128.4134,0.0,8.0,238.0,0
1,0,181.276,0.0,3.0,199.0,0
1,0,575.8055,0.0,1.0,199.0,1
1,0,470.0011,0.0,4.0,139.0,1
0,1,749.0808,578.0,1.0,199.0,0
1,0,153.9383,0.0,1.0,0.0,1
1,0,48.3735,0.0,2.0,99.0,0
0,0,363.5629,0.0,5.0,100.0,1
1,0,32.8938,0.0,8.0,139.0,0
0,0,214.021,179.0,4.0,99.0,0
0,0,256.7976,0.0,6.0,139.0,0
1,0,118.5622,0.0,1.0,259.0,1
1,0,127.0157,0.0,5.0,199.0,0
1,0,88.3233,0.0,1.0,299.0,0
1,0,192.9378,0.0,1.0,159.0,1
1,0,773.3589,0.0,1.0,616.0,1
1,0,675.7426,0.0,1.0,139.0,1
1,0,148.0304,0.0,4.0,259.0,0
1,1,827.5458,258.0,1.0,99.0,1
1,0,367.2669,0.0,7.0,99.0,1
1,0,37.3363,0.0,8.0,139.0,0
1,0,113.0708,0.0,2.0,199.0,0
1,0,420.3439,1112.0,1.0,358.0,1
1,0,66.3702,0.0,2.0,139.0,1
1,0,401.263,139.0,2.0,139.0,0
1,1,32.5576,0.0,2.0,0.0,1
0,0,59.4138,0.0,4.0,99.0,0
1,0,0.0,0.0,3.0,0.0,1
1,0,0.0,0.0,3.0,0.0,0
1,1,78.7464,377.0,5.0,159.0,0
1,0,114.7693,0.0,1.0,159.0,1
1,0,107.2986,0.0,2.0,258.0,0
1,0,64.3817,0.0,2.0,119.0,1
1,0,0.0,0.0,4.0,0.0,1
0,0,265.0019,0.0,6.0,179.0,0
1,0,326.9388,99.0,1.0,139.0,0
1,0,153.1176,0.0,3.0,159.0,1
0,0,279.2597,0.0,2.0,99.0,0
1,0,27.2947,0.0,4.0,80.0,1
1,1,312.5188,159.0,4.0,119.0,0
1,0,154.6351,0.0,3.0,298.0,1
0,0,67.9117,159.0,4.0,259.0,1
1,0,273.4685,0.0,1.0,99.0,0
1,0,181.4663,318.0,5.0,99.0,0
0,1,108.1665,219.0,1.0,159.0,1
1,0,597.5969,0.0,2.0,119.0,1
1,0,110.4536,0.0,5.0,99.0,0
1,0,173.1127,0.0,1.0,140.0,0
1,0,138.0036,0.0,4.0,139.0,1
0,0,97.1288,0.0,2.0,159.0,1
1,0,581.173,0.0,1.0,99.0,0
1,0,62.2977,0.0,5.0,179.0,1
1,0,97.3293,0.0,2.0,239.0,1
1,0,13.4536,199.0,3.0,99.0,1
1,0,246.6293,0.0,1.0,457.0,1
1,0,72.111,0.0,2.0,139.0,0
1,1,69.7209,377.0,2.0,199.0,0
1,0,308.7653,0.0,2.0,119.0,1
1,0,283.3867,0.0,1.0,179.0,0
1,1,189.9526,794.0,4.0,139.0,0
1,1,172.7021,0.0,1.0,119.0,0
1,0,402.9516,0.0,1.0,139.0,0
0,0,264.6091,0.0,1.0,359.0,0
0,0,188.7432,0.0,3.0,199.0,0
1,0,584.9188,0.0,3.0,139.0,1
1,0,88.4081,0.0,1.0,199.0,1
1,1,153.0621,477.0,4.0,139.0,0
1,0,151.3308,0.0,3.0,159.0,1
1,1,88.8651,616.0,4.0,259.0,1
1,0,151.6476,139.0,5.0,338.0,0
1,1,108.2081,615.0,1.0,99.0,1
1,0,20.6155,0.0,2.0,139.0,1
1,0,692.7518,0.0,4.0,99.0,0
0,0,52.811,0.0,3.0,199.0,1
1,0,89.4986,0.0,1.0,219.0,1
1,0,330.1636,0.0,2.0,99.0,0
1,0,354.1087,0.0,2.0,99.0,1
1,0,191.4706,0.0,1.0,119.0,1
1,0,136.3415,0.0,7.0,239.0,0
1,0,52.6308,1194.0,2.0,139.0,1
1,0,306.7197,518.0,2.0,239.0,1
1,0,107.8147,0.0,1.0,99.0,0
