firstPassFixDur,landingPos,lastSaccLen,leavingPos,lineNo,meanFixDur,nextFixDur,prevFixPos,pupilDiamLag,pupilDiamMax
279.0,60.4669,146.1617,60.2516,2280.0,279.0,638.0,39.8121,1.4382,0.6492
139.0,48.0521,160.1811,32.249,9805.0,139.0,159.0,75.0067,0.258,0.122
139.0,87.0014,95.0,81.7634,6230.0,159.0,219.0,433.2955,0.3466,0.1256
20.0,63.1229,61.0082,62.1772,2254.0,20.0,139.0,40.4475,0.4364,-0.1566
139.0,60.7063,224.5802,74.3942,6549.0,139.0,298.0,374.0856,0.2165,0.2781
119.0,76.3217,84.537,83.0136,3261.0,119.0,139.0,85.8429,0.2765,0.213
159.0,91.9959,848.0908,83.182,1685.0,159.0,179.0,104.8094,0.0766,0.0351
139.0,71.8366,284.3554,76.5914,7653.0,139.0,119.0,191.5124,0.2216,0.2326
80.0,82.1736,213.8019,90.2718,10388.0,80.0,179.0,422.3565,0.1487,0.0892
179.0,988.7498,167.0397,48.7571,2860.0,399.0,140.0,149.4824,1.7037,1.5777
518.0,304.2606,153.5008,301.7317,2539.0,179.0,279.0,449.3607,0.948,0.421
99.0,27.0601,142.0079,15.7877,490.0,99.0,298.0,78.1025,0.1383,0.1383
239.0,33.9485,156.1802,42.6058,2983.0,239.0,299.0,148.0304,0.0116,-0.1024
99.0,50.3314,190.9097,69.464,9322.0,199.0,99.0,144.8862,0.1167,0.1172
80.0,50.2245,688.3931,30.104,10598.0,179.0,139.0,274.3319,0.4452,0.4497
199.0,47.363,318.2267,41.8629,1771.0,199.0,258.0,53.9351,0.4533,0.1079
258.0,60.208,302.0348,41.0183,216.0,258.0,139.0,183.1338,0.126,0.059
80.0,25.4018,330.276,42.2966,6639.0,80.0,80.0,249.1907,0.1795,0.1686
219.0,85.5716,105.7946,100.6541,3747.0,219.0,139.0,244.5976,0.3143,0.3173
139.0,85.4196,145.0078,86.419,260.0,139.0,238.0,0.0,0.0959,-0.0881
298.0,65.123,37.1652,43.8321,7578.0,219.0,99.0,851.1498,0.3127,0.3207
199.0,83.9345,99.5691,92.3052,7084.0,278.0,139.0,235.0191,0.4063,0.1708
378.0,32.7185,70.0071,216.037,2522.0,189.0,179.0,111.7229,0.9915,1.0005
159.0,37.7922,91.0014,47.0664,8204.0,159.0,239.0,116.4302,0.3329,0.3554
160.0,40.5123,159.8132,50.6014,6566.0,99.0,119.0,97.1854,0.419,0.162
278.0,57.0022,222.2082,21.9659,377.0,129.5,219.0,782.3094,0.0859,0.0539
199.0,15.6285,719.9424,27.6812,8643.0,199.0,139.0,148.1216,0.9383,-0.0272
139.0,98.8585,213.1695,77.1314,9833.0,139.0,99.0,147.8716,0.2395,0.1525
219.0,56.8001,174.5287,69.9321,775.0,219.0,99.0,117.3797,0.1396,0.1351
139.0,76.7366,99.8424,66.3363,1448.0,80.0,99.0,80.3617,0.3776,0.2671
99.0,85.1587,137.0912,68.1561,535.0,99.0,179.0,232.2154,0.1968,0.1618
199.0,53.584,193.5568,48.2545,2746.0,159.0,159.0,72.3395,1.011,1.3035
338.0,28.4297,89.7622,50.5099,8069.0,169.0,258.0,119.5031,0.0073,0.2458
298.0,42.0595,373.9803,48.0885,451.0,298.0,159.0,139.4346,0.0823,0.0143
80.0,124.501,351.8114,120.6172,9467.0,99.0,99.0,255.002,0.3266,0.2636
139.0,72.3343,119.5073,75.4752,1777.0,139.0,159.0,181.5957,0.0949,0.0073
159.0,24.9098,78.8495,28.0401,3168.0,159.0,179.0,0.0,1.1726,0.7921
99.0,48.3141,123.5364,50.0849,1361.0,99.0,99.0,165.7739,0.8872,0.1812
339.0,38.3438,89.0505,87.6028,3145.0,339.0,199.0,246.5461,-0.3184,0.1386
359.0,51.7325,98.0816,34.0331,2736.0,359.0,359.0,147.5568,0.972,0.4335
298.0,74.0304,123.3876,66.1287,5956.0,298.0,199.0,282.6889,0.2546,0.1711
278.0,57.6888,205.0274,37.1652,1486.0,159.0,179.0,462.0444,0.2486,0.1331
139.0,141.1427,527.5341,144.0139,10006.0,159.0,99.0,338.7152,0.1875,0.143
80.0,100.2622,312.8011,70.0803,10381.0,80.0,99.0,169.071,0.1352,-0.0088
199.0,37.4233,430.0814,36.5274,1436.0,139.0,199.0,153.0621,0.2076,0.1386
139.0,185.529,343.3402,186.6715,9900.0,159.0,99.0,208.1178,0.1205,0.0915
139.0,53.8516,904.0781,64.5155,6598.0,139.0,139.0,66.3702,0.3931,0.014
536.0,143.3911,112.54,187.6499,8383.0,159.0,179.0,384.4268,0.2802,0.2802
99.0,35.8469,95.2575,29.904,8542.0,99.0,139.0,31.4006,0.2232,0.1507
139.0,14.1156,89.7622,26.5,1404.0,139.0,99.0,71.5542,0.2322,0.1787
337.0,83.8824,319.1414,123.0742,3682.0,112.3333,80.0,477.6829,0.2485,0.2135
199.0,44.3001,79.6994,35.0892,5200.0,199.0,139.0,85.235,0.1458,0.1168
80.0,78.4873,504.9802,83.7511,9224.0,80.0,159.0,205.061,0.2037,0.1952
219.0,90.4461,173.5115,78.4347,3734.0,219.0,99.0,137.0328,0.3768,0.3623
279.0,157.2872,211.1711,139.0081,2587.0,319.0,199.0,171.0497,0.6525,0.4825
139.0,42.5265,86.1423,53.4813,1769.0,139.0,139.0,77.4145,0.4533,0.1023
120.0,102.7485,503.1073,96.6294,2972.0,120.0,20.0,34.0,0.0316,1.1076
119.0,63.6946,143.0428,70.859,6789.0,119.0,219.0,155.9295,0.2729,0.2184
139.0,6.3246,487.3287,12.3794,10837.0,139.0,239.0,110.1136,0.253,0.25
278.0,57.8662,131.4201,62.2435,4067.0,139.0,199.0,220.8189,0.4321,0.1636
119.0,6.0828,149.0252,7.433,411.0,119.0,238.0,143.0559,0.3083,0.2658
159.0,95.0842,229.8097,104.6542,9391.0,159.0,99.0,287.0436,0.2497,0.1537
219.0,82.609,122.602,76.5131,3950.0,219.0,238.0,34.8281,0.2141,0.1886
179.0,50.0849,181.6549,46.7386,6067.0,179.0,159.0,73.6817,0.3516,0.2841
99.0,37.0742,384.5208,29.8329,10369.0,139.0,139.0,178.6197,0.1898,0.3988
179.0,89.405,645.9106,85.0368,3382.0,179.0,179.0,158.0791,0.1595,-0.014
80.0,65.0,192.6266,63.3344,8316.0,80.0,139.0,113.0708,0.1984,0.1054
397.0,97.7663,204.1378,97.8174,165.0,219.0,99.0,802.202,0.1215,0.1855
20.0,21.6391,54.5206,55.491,2829.0,219.0,239.0,84.119,-0.1013,0.8257
139.0,57.0548,367.0766,78.5,9167.0,139.0,139.0,157.0509,0.2002,0.1752
159.0,69.3542,264.0928,62.3258,3788.0,159.0,119.0,112.272,0.2908,0.2923
278.0,109.8954,753.9513,215.0285,4260.0,139.0,219.0,27.2029,0.409,0.254
99.0,85.8836,311.5903,100.1312,7822.0,119.0,219.0,172.4181,-0.1019,0.0781
139.0,88.1036,1116.3301,67.0168,9125.0,139.0,119.0,130.4301,0.1462,0.2052
139.0,61.7191,229.5049,46.2952,10882.0,139.0,179.0,79.404,0.1315,0.0835
139.0,76.6551,88.7426,78.578,6304.0,80.0,119.0,655.5151,0.1335,0.1625
139.0,51.9351,137.1313,47.1301,9487.0,99.0,99.0,540.0037,0.1306,0.1446
99.0,39.6989,62.476,39.6548,1805.0,99.0,99.0,692.7518,0.2743,0.1129
199.0,59.6657,170.0007,72.8011,3740.0,199.0,119.0,129.2478,0.4338,0.0313
219.0,75.71,132.417,74.5604,766.0,219.0,139.0,398.5273,0.1296,0.1296
99.0,75.898,245.2249,43.2897,583.0,139.0,119.0,183.1338,0.7263,0.1978
239.0,93.0013,541.4596,100.505,4559.0,239.0,139.0,27.8568,0.0997,0.1347
159.0,115.0174,490.7178,118.2381,9207.0,159.0,179.0,268.1511,0.2302,0.1107
119.0,44.2069,584.2418,45.6098,2180.0,119.0,219.0,89.0505,-0.0316,0.0184
179.0,51.0906,166.7041,47.9401,5950.0,179.0,358.0,143.0105,0.1711,0.1816
278.0,38.7072,164.931,33.8711,793.0,278.0,99.0,267.5556,0.0681,0.1566
159.0,39.6138,194.2897,47.8592,1231.0,129.0,298.0,130.1768,0.0418,0.0258
239.0,126.5948,184.954,130.4186,2105.0,199.0,99.0,171.8139,0.1649,0.1224
219.0,20.1556,742.0197,68.244,4308.0,109.5,99.0,120.0042,0.188,0.231
80.0,35.3058,174.4484,48.7083,6599.0,139.0,119.0,928.4724,0.3931,0.125
179.0,66.9104,123.0447,77.6466,6043.0,179.0,179.0,52.345,0.2416,0.1731
219.0,80.878,130.0779,95.1381,3593.0,219.0,239.0,110.6029,0.8115,0.247
139.0,75.2861,135.5083,81.0015,6565.0,159.0,80.0,256.0176,0.419,0.162
100.0,118.7824,154.7361,117.5936,8437.0,159.0,199.0,16.9706,0.0437,0.0182
119.0,72.4707,27.7218,56.4358,3833.0,119.0,119.0,160.8509,0.2388,0.4038
99.0,103.2727,226.7918,108.5104,4556.0,99.0,179.0,45.0111,0.1347,0.0602
318.0,100.1212,240.0047,43.9915,5281.0,159.0,199.0,793.7487,0.1433,-0.0077
99.0,32.5346,424.5027,27.0601,548.0,99.0,119.0,116.297,0.0128,0.2083
139.0,63.287,275.3271,52.3378,5095.0,139.0,358.0,0.0,0.1978,0.0668
219.0,38.6005,111.5437,68.8077,3159.0,219.0,140.0,101.1237,2.7591,1.6561
159.0,56.0357,294.9903,46.9521,302.0,159.0,119.0,63.3246,0.1644,0.2914
219.0,33.5596,599.092,25.2389,7967.0,219.0,99.0,280.1946,0.2298,0.1853
80.0,55.7584,256.5448,71.2215,6425.0,80.0,119.0,400.3199,0.1989,0.0854
139.0,25.4608,238.6891,25.4558,5590.0,139.0,99.0,95.0211,0.162,0.275
139.0,71.2215,79.0,59.6343,5445.0,139.0,139.0,785.9421,0.1787,0.0057
179.0,53.0212,108.2243,59.9708,1567.0,179.0,119.0,79.2465,0.2206,0.0841
358.0,67.0019,99.0808,14.7139,5370.0,179.0,378.0,229.0546,0.1802,0.0812
139.0,76.5506,199.2699,64.08,6159.0,139.0,179.0,47.8539,0.7781,0.3716
218.0,86.1423,145.0836,109.11,7346.0,139.0,139.0,805.0894,0.1033,0.1113
279.0,73.0565,231.9526,97.8289,3054.0,279.0,159.0,270.0685,0.7176,0.8061
398.0,77.429,64.5949,86.8864,2635.0,199.0,199.0,463.1069,0.3085,0.3675
159.0,24.8294,65.4083,16.7705,6131.0,159.0,99.0,219.9204,0.1366,-0.0094
139.0,37.8319,236.6268,53.6027,8703.0,139.0,139.0,548.6,0.1448,0.0533
80.0,55.617,77.9503,57.7862,6553.0,119.0,80.0,62.3699,0.295,0.2165
398.0,122.2385,69.4586,114.7007,7508.0,199.0,179.0,448.3079,0.1212,-0.0093
199.0,37.6464,133.7881,25.045,1622.0,199.0,199.0,98.7623,0.6206,0.0936
338.0,86.8058,127.8329,177.4218,1322.0,112.6667,179.0,113.7453,0.1102,0.1102
179.0,8.0623,150.3671,91.8178,8239.0,109.0,139.0,123.0447,0.3344,0.3104
239.0,50.5964,164.4536,49.0408,1623.0,199.0,199.0,80.6226,0.6206,0.1091
99.0,63.2456,181.6989,77.5403,9410.0,99.0,99.0,352.966,0.1082,0.2812
99.0,21.3776,100.7,31.8198,10278.0,99.0,179.0,0.0,0.3438,0.2718
179.0,39.2237,124.0363,49.98,4259.0,179.0,179.0,73.5459,0.409,0.2525
279.0,107.4209,160.5195,62.3699,1382.0,139.5,99.0,26.3059,0.0387,0.0412
298.0,54.8293,280.9026,56.4845,4801.0,298.0,238.0,54.4518,0.3006,0.3006
258.0,46.9574,98.6116,67.2625,1682.0,258.0,119.0,89.56,0.0766,0.1986
179.0,84.4408,146.1232,78.7464,4184.0,179.0,179.0,65.521,0.1955,0.1955
159.0,101.7767,151.0761,63.5472,3935.0,119.0,238.0,49.0408,0.2226,0.1136
119.0,58.5235,94.3835,39.246,3371.0,119.0,159.0,216.2267,0.248,0.0845
278.0,22.2991,112.5711,20.5061,875.0,278.0,99.0,0.0,0.1469,-0.0096
298.0,69.5288,441.5343,89.3826,7317.0,298.0,80.0,133.0038,0.4978,0.0713
119.0,85.0015,77.0276,92.0014,6567.0,99.0,99.0,71.0282,0.419,0.1426
119.0,41.2311,129.5154,49.5807,7513.0,139.0,80.0,311.2073,0.1432,-0.0073
99.0,74.6324,58.2087,62.46,6990.0,99.0,139.0,116.6919,0.1558,-0.1087
99.0,53.912,365.7448,30.5164,10173.0,99.0,99.0,40.05,0.2032,0.1572
318.0,44.0454,64.9346,18.2003,8021.0,159.0,139.0,106.0189,0.1643,0.2288
99.0,73.1095,95.5314,71.9757,6976.0,99.0,80.0,144.9724,0.3783,0.2178
99.0,76.1183,784.7716,101.9865,6520.0,99.0,99.0,88.0227,0.2949,0.2949
179.0,137.3909,138.6588,140.3932,9825.0,179.0,100.0,58.2151,0.1525,0.128
199.0,56.932,352.066,65.0942,8534.0,199.0,199.0,126.6689,0.1507,0.0682
119.0,66.6202,153.5489,72.7083,6814.0,119.0,80.0,46.1736,0.3464,0.2779
99.0,93.2269,356.6287,90.5166,120.0,139.0,278.0,233.0536,0.147,0.116
159.0,55.0091,64.0,56.2428,5286.0,159.0,99.0,193.189,0.1433,0.0533
239.0,125.7945,156.5008,114.6833,1184.0,239.0,139.0,288.295,-0.0422,-0.0422
139.0,51.7904,344.5033,38.0592,6607.0,139.0,80.0,232.9571,0.356,0.1661
99.0,71.8766,282.9629,65.0173,6343.0,99.0,298.0,86.0233,0.2895,0.066
99.0,20.4022,74.7011,6.3246,7857.0,99.0,179.0,105.1903,0.2213,0.1043
80.0,24.6678,99.8624,33.738,6628.0,80.0,99.0,173.4618,0.2091,0.0345
278.0,26.6833,205.8501,33.2415,8881.0,278.0,139.0,212.8497,0.1802,0.2297
179.0,39.1472,143.6672,36.6231,9602.0,179.0,199.0,199.0226,0.1206,0.0386
219.0,70.7407,258.4918,84.5946,7647.0,219.0,159.0,124.4588,0.2616,0.1856
397.0,121.062,175.5456,41.2311,4891.0,132.3333,159.0,87.0919,0.2891,0.2986
238.0,66.0095,129.1172,70.6435,4893.0,219.0,139.0,448.0179,0.2911,0.2891
278.0,75.5844,254.3275,47.289,5179.0,139.0,199.0,188.5338,0.1518,0.1903
99.0,62.1772,332.1333,61.5508,7154.0,99.0,100.0,273.3368,0.1586,0.1556
278.0,44.7269,103.0946,44.6346,3585.0,278.0,239.0,577.5483,0.374,0.152
139.0,114.4225,445.1957,127.289,8911.0,139.0,139.0,270.0685,0.0672,0.0957
298.0,99.5013,134.0009,64.562,8552.0,149.0,238.0,11.4018,0.1212,0.0637
99.0,41.3824,177.0254,62.7096,5208.0,99.0,99.0,73.4302,0.3413,0.1458
219.0,90.5207,108.1665,99.7359,1497.0,219.0,99.0,0.0,0.1741,0.1436
238.0,79.511,396.5,74.0068,8553.0,238.0,139.0,56.0892,0.1212,0.0637
417.0,65.5534,44.0028,64.5368,8045.0,208.5,298.0,231.1385,0.0803,0.2028
240.0,70.445,178.6757,115.2606,6795.0,99.5,99.0,189.0423,0.2729,0.1719
139.0,89.0056,188.5975,83.0452,9707.0,139.0,179.0,505.6679,0.043,0.043
179.0,87.0776,64.9788,71.8418,10286.0,89.5,119.0,136.3305,0.3438,0.3438
179.0,62.5799,783.0704,71.353,4807.0,179.0,259.0,173.2888,0.3161,0.2671
259.0,69.7209,146.5486,83.0557,3233.0,259.0,180.0,451.3059,1.2396,0.0736
119.0,29.3002,87.8877,34.0074,6292.0,119.5,179.0,387.9652,0.196,0.404
199.0,33.6823,181.2078,46.0353,3840.0,199.0,219.0,173.7613,0.2128,0.2338
159.0,8.5,506.2964,7.433,1406.0,159.0,99.0,133.0338,0.2327,0.0892
159.0,81.8917,108.4735,78.2192,9739.0,159.0,179.0,212.2287,0.2125,0.0375
100.0,19.6787,541.0333,31.4086,594.0,100.0,199.0,100.2098,0.1378,0.3323
80.0,85.9956,184.8276,96.0325,10596.0,80.0,139.0,179.1005,0.4452,0.4267
179.0,27.8657,95.6935,6.3246,5864.0,199.0,139.0,683.4574,0.127,0.127
258.0,124.7528,384.7002,103.5109,7886.0,258.0,100.0,971.9532,0.2418,0.1348
99.0,18.3576,147.6906,31.8473,6267.0,99.0,139.0,271.9743,-0.0945,-0.0945
159.0,90.5014,97.2895,82.5742,6378.0,159.0,219.0,62.0,0.663,0.023
99.0,38.8233,189.1144,46.768,7558.0,99.0,179.0,157.0,0.2492,0.2927
199.0,93.7723,246.3701,97.5141,7693.0,179.0,99.0,200.6091,0.4061,0.2521
258.0,57.6758,166.4332,49.5631,1264.0,129.0,457.0,32.573,0.1247,0.1127
80.0,143.9601,172.6963,137.4273,9969.0,80.0,80.0,280.765,0.4265,0.1325
139.0,53.584,561.1,57.2385,579.0,109.5,119.0,486.3517,0.7263,0.1128
139.0,44.95,242.3267,38.422,7807.0,99.0,119.0,352.196,0.0016,0.1201
179.0,60.531,98.1835,56.0201,4353.0,179.0,179.0,65.0692,0.0047,-0.0408
139.0,10.0623,780.0854,15.3379,7406.0,139.0,139.0,216.0579,0.0293,-0.0107
99.0,57.7235,113.1868,56.8727,3658.0,99.0,199.0,105.7592,0.29,0.2535
99.0,30.6472,104.6721,30.6961,5289.0,99.0,159.0,109.165,0.0903,0.1433
139.0,125.2248,225.1444,116.8471,9009.0,139.0,119.0,728.0934,0.3507,0.0482
199.0,80.8857,0.0,86.3134,7550.0,199.0,278.0,199.572,-0.0433,-0.0433
159.0,34.5579,124.4689,22.102,8659.0,159.0,219.0,310.6638,0.1053,0.0778
159.0,77.0211,73.6376,57.1948,10354.0,159.0,119.0,609.7647,0.3178,0.3523
80.0,67.3238,239.9318,76.1577,9695.0,80.0,159.0,244.4934,0.0971,0.2651
80.0,82.0549,354.4929,89.7733,7087.0,80.0,199.0,108.9082,0.4063,0.1268
139.0,38.8973,318.5769,19.1638,133.0,139.0,99.0,134.1827,0.556,0.28
119.0,31.3129,114.4246,43.0116,7046.0,119.0,159.0,120.3536,0.1698,-0.0312
119.0,47.5184,226.3454,45.853,10662.0,119.0,99.0,236.1715,0.0642,0.1097
139.0,25.9326,508.2335,21.2897,1142.0,159.0,179.0,157.8132,0.2768,0.3508
258.0,45.8939,105.5296,68.7841,5181.0,258.0,99.0,122.0369,0.1128,0.1728
198.0,4.0311,128.8148,47.5105,10061.0,99.0,159.0,42.5793,0.3547,0.2672
139.0,40.3268,159.5125,45.8939,10770.0,139.0,139.0,0.0,0.314,0.314
159.0,166.6208,194.6645,149.9483,1643.0,159.0,239.0,361.2478,0.6131,0.2126
139.0,21.7083,126.0159,29.8873,2003.0,139.0,139.0,9.0554,0.2449,0.0854
259.0,51.6624,141.1737,60.407,10051.0,259.0,80.0,363.3731,0.2672,0.1452
139.0,102.1494,210.7143,90.1679,540.0,139.0,239.0,148.3678,0.2083,0.1968
99.0,51.2957,263.6854,47.4236,8824.0,99.0,378.0,201.2486,0.1023,0.1708
238.0,32.28,448.5828,50.5,7664.0,139.0,139.0,170.0735,0.3791,0.1846
298.0,69.0,156.0072,76.9025,5804.0,149.0,258.0,0.0,0.199,0.086
139.0,44.365,52.2398,43.8292,5618.0,139.0,139.0,27.313,0.0825,0.114
238.0,26.2488,166.8682,33.6043,5075.0,238.0,99.0,80.4984,0.2253,0.1818
119.0,128.0625,129.1908,114.4246,9574.0,119.0,119.0,375.4797,0.1786,0.1856
559.0,72.092,104.6757,70.799,2391.0,458.0,219.0,237.0,0.6732,0.2482
258.0,35.8504,253.1897,36.4177,3599.0,159.0,139.0,60.1332,0.2685,0.8115
139.0,118.0519,103.0886,92.6944,10058.0,139.0,99.0,711.1807,0.3547,0.1422
179.0,96.251,87.0531,87.865,8739.0,119.0,159.0,354.0056,0.1843,0.1838
179.0,11.7047,301.5933,16.0078,6197.0,179.0,179.0,123.3288,0.1946,0.1536
99.0,91.444,138.1774,91.0069,6960.0,99.0,99.0,124.4588,0.2988,0.1038
199.0,99.1476,233.6204,89.0632,7354.0,199.0,139.0,168.8342,0.1033,-0.0092
199.0,87.9318,217.297,76.3053,7925.0,99.5,199.0,133.0038,0.2198,0.1708
80.0,58.9428,131.2345,65.0308,6629.0,99.0,119.0,123.8225,0.2091,-0.0019
219.0,169.5361,359.1131,163.7475,7066.0,219.0,99.0,25.7099,0.2583,0.2343
258.0,79.6571,367.1597,79.4292,981.0,239.0,139.0,87.0919,0.1174,0.0774
139.0,91.6106,487.0503,95.0118,214.0,259.0,238.0,228.1162,0.126,0.062
99.0,92.5122,131.577,90.7965,1358.0,99.0,80.0,89.1403,0.2482,0.1427
139.0,45.722,103.5809,47.5631,7856.0,139.0,99.0,99.5038,0.1013,0.1123
278.0,73.0548,349.6159,169.0362,4096.0,139.0,179.0,45.5412,0.1665,0.0265
80.0,70.7107,190.6948,57.5,3517.0,80.0,179.0,117.3882,0.3008,0.1493
278.0,43.2695,162.5031,37.9012,1441.0,278.0,179.0,71.1688,0.2671,0.1921
120.0,40.5247,55.3828,43.6835,2275.0,120.0,299.0,71.5052,2.1322,1.2322
199.0,89.405,174.018,93.0484,4611.0,199.0,179.0,697.4884,0.2777,0.1082
438.0,35.3871,86.0131,81.2219,2302.0,438.0,319.0,146.4923,1.8132,0.6347
159.0,31.9453,230.5049,39.8026,7667.0,159.0,99.0,180.2249,0.1821,0.3791
80.0,85.1499,1074.4436,74.7329,10025.0,159.0,80.0,331.0967,0.2265,0.1445
119.0,38.7072,180.2471,28.5701,7618.0,119.0,80.0,572.3443,0.3061,0.3301
159.0,25.5441,212.5288,27.9508,1669.0,159.0,258.0,86.977,0.2636,0.0571
258.0,204.925,41.4367,191.0321,7304.0,80.0,99.0,84.22,0.0753,0.0183
238.0,54.9181,188.0538,48.9745,261.0,238.0,219.0,86.1452,0.0959,-0.0881
99.0,115.5692,74.8766,117.0662,5685.0,99.0,99.0,445.1921,0.327,0.154
179.0,115.5725,189.5534,101.4704,750.0,179.0,179.0,261.0172,0.2271,0.1391
219.0,47.8017,137.5227,66.3871,1649.0,219.0,179.0,114.3897,0.3076,0.0506
139.0,52.024,233.8616,58.6707,436.0,139.0,99.0,74.411,0.2703,0.2168
99.0,98.6534,108.14,112.0413,118.0,99.0,278.0,78.0577,0.147,0.0805
99.0,29.0689,370.3245,40.5617,10233.0,99.0,119.0,214.0584,0.1822,0.0822
