assgNo,landingPos,pupilDiamLag
317.0,100.2622,0.1352
44.0,37.4233,0.2076
304.0,185.529,0.1205
195.0,53.8516,0.3931
263.0,143.3911,0.2802
270.0,35.8469,0.2232
43.0,14.1156,0.2322
115.0,83.8824,0.2485
157.0,44.3001,0.1458
289.0,78.4873,0.2037
118.0,90.4461,0.3768
78.0,157.2872,0.6525
55.0,42.5265,0.4533
91.0,102.7485,0.0316
203.0,63.6946,0.2729
334.0,6.3246,0.253
130.0,57.8662,0.4321
12.0,6.0828,0.3083
291.0,95.0842,0.2497
127.0,82.609,0.2141
179.0,50.0849,0.3516
316.0,37.0742,0.1898
103.0,89.405,0.1595
259.0,65.0,0.1984
5.0,97.7663,0.1215
86.0,21.6391,-0.1013
287.0,57.0548,0.2002
121.0,69.3542,0.2908
134.0,109.8954,0.409
240.0,85.8836,-0.1019
286.0,88.1036,0.1462
336.0,61.7191,0.1315
185.0,76.6551,0.1335
293.0,51.9351,0.1306
57.0,39.6989,0.2743
118.0,59.6657,0.4338
23.0,75.71,0.1296
18.0,75.898,0.7263
142.0,93.0013,0.0997
288.0,115.0174,0.2302
70.0,44.2069,-0.0316
177.0,51.0906,0.1711
24.0,38.7072,0.0681
38.0,39.6138,0.0418
66.0,126.5948,0.1649
135.0,20.1556,0.188
195.0,35.3058,0.3931
179.0,66.9104,0.2416
111.0,80.878,0.8115
194.0,75.2861,0.419
266.0,118.7824,0.0437
123.0,72.4707,0.2388
142.0,103.2727,0.1347
159.0,100.1212,0.1433
17.0,32.5346,0.0128
155.0,63.287,0.1978
96.0,38.6005,2.7591
9.0,56.0357,0.1644
248.0,33.5596,0.2298
190.0,55.7584,0.1989
166.0,25.4608,0.162
164.0,71.2215,0.1787
47.0,53.0212,0.2206
162.0,67.0019,0.1802
181.0,76.5506,0.7781
225.0,86.1423,0.1033
93.0,73.0565,0.7176
79.0,77.429,0.3085
181.0,24.8294,0.1366
276.0,37.8319,0.1448
194.0,55.617,0.295
229.0,122.2385,0.1212
49.0,37.6464,0.6206
42.0,86.8058,0.1102
256.0,8.0623,0.3344
49.0,50.5964,0.6206
291.0,63.2456,0.1082
313.0,21.3776,0.3438
134.0,39.2237,0.409
43.0,107.4209,0.0387
148.0,54.8293,0.3006
52.0,46.9574,0.0766
133.0,84.4408,0.1955
127.0,101.7767,0.2226
103.0,58.5235,0.248
27.0,22.2991,0.1469
224.0,69.5288,0.4978
194.0,85.0015,0.419
229.0,41.2311,0.1432
212.0,74.6324,0.1558
310.0,53.912,0.2032
249.0,44.0454,0.1643
212.0,73.1095,0.3783
193.0,76.1183,0.2949
303.0,137.3909,0.1525
270.0,56.932,0.1507
204.0,66.6202,0.3464
4.0,93.2269,0.147
159.0,55.0091,0.1433
37.0,125.7945,-0.0422
196.0,51.7904,0.356
187.0,71.8766,0.2895
242.0,20.4022,0.2213
197.0,24.6678,0.2091
280.0,26.6833,0.1802
296.0,39.1472,0.1206
236.0,70.7407,0.2616
149.0,121.062,0.2891
149.0,66.0095,0.2911
157.0,75.5844,0.1518
219.0,62.1772,0.1586
111.0,44.7269,0.374
281.0,114.4225,0.0672
271.0,99.5013,0.1212
157.0,41.3824,0.3413
45.0,90.5207,0.1741
271.0,79.511,0.1212
250.0,65.5534,0.0803
203.0,70.445,0.2729
299.0,89.0056,0.043
313.0,87.0776,0.3438
148.0,62.5799,0.3161
98.0,69.7209,1.2396
185.0,29.3002,0.196
123.0,33.6823,0.2128
43.0,8.5,0.2327
300.0,81.8917,0.2125
19.0,19.6787,0.1378
324.0,85.9956,0.4452
174.0,27.8657,0.127
243.0,124.7528,0.2418
184.0,18.3576,-0.0945
188.0,90.5014,0.663
231.0,38.8233,0.2492
237.0,93.7723,0.4061
40.0,57.6758,0.1247
306.0,143.9601,0.4265
18.0,53.584,0.7263
240.0,44.95,0.0016
136.0,60.531,0.0047
226.0,10.0623,0.0293
114.0,57.7235,0.29
159.0,30.6472,0.0903
283.0,125.2248,0.3507
230.0,80.8857,-0.0433
275.0,34.5579,0.1053
316.0,77.0211,0.3178
298.0,67.3238,0.0971
215.0,82.0549,0.4063
4.0,38.8973,0.556
214.0,31.3129,0.1698
328.0,47.5184,0.0642
34.0,25.9326,0.2768
157.0,45.8939,0.1128
307.0,4.0311,0.3547
332.0,40.3268,0.314
50.0,166.6208,0.6131
64.0,21.7083,0.2449
307.0,51.6624,0.2672
17.0,102.1494,0.2083
279.0,51.2957,0.1023
236.0,32.28,0.3791
172.0,69.0,0.199
167.0,44.365,0.0825
154.0,26.2488,0.2253
295.0,128.0625,0.1786
75.0,72.092,0.6732
111.0,35.8504,0.2685
307.0,118.0519,0.3547
277.0,96.251,0.1843
183.0,11.7047,0.1946
211.0,91.444,0.2988
225.0,99.1476,0.1033
246.0,87.9318,0.2198
197.0,58.9428,0.2091
215.0,169.5361,0.2583
30.0,79.6571,0.1174
6.0,91.6106,0.126
42.0,92.5122,0.2482
242.0,45.722,0.1013
132.0,73.0548,0.1665
108.0,70.7107,0.3008
44.0,43.2695,0.2671
73.0,40.5247,2.1322
143.0,89.405,0.2777
73.0,35.3871,1.8132
236.0,31.9453,0.1821
306.0,85.1499,0.2265
235.0,38.7072,0.3061
52.0,25.5441,0.2636
224.0,204.925,0.0753
8.0,54.9181,0.0959
168.0,115.5692,0.327
22.0,115.5725,0.2271
51.0,47.8017,0.3076
13.0,52.024,0.2703
4.0,98.6534,0.147
311.0,29.0689,0.1822
281.0,29.4364,0.1327
166.0,34.442,0.494
239.0,46.6181,0.1136
178.0,53.5023,0.0216
78.0,47.1832,0.2085
255.0,35.5563,0.3394
293.0,35.3553,0.1446
328.0,12.7475,0.2647
297.0,55.0023,0.1476
41.0,206.1941,0.1167
41.0,41.6473,0.2967
194.0,73.2683,0.212
239.0,44.643,0.0411
40.0,70.8308,0.1127
148.0,51.7349,0.1621
264.0,25.1794,0.1682
164.0,60.5743,0.1787
164.0,19.3132,0.3642
278.0,123.584,0.2133
304.0,18.1728,0.0915
164.0,129.6389,0.2487
15.0,45.1774,-0.1907
256.0,14.8408,0.2754
296.0,156.0032,0.1356
204.0,92.662,0.3464
133.0,55.084,0.205
293.0,108.5288,0.2056
54.0,59.6343,0.2758
89.0,65.025,0.8442
42.0,56.6789,0.8872
279.0,98.2357,0.1708
282.0,28.1824,0.1307
234.0,46.7386,0.1871
284.0,83.006,0.3797
183.0,151.5033,0.1946
266.0,51.5388,0.1367
57.0,14.5774,0.1729
324.0,110.8434,0.4497
163.0,6.265,0.0592
30.0,40.651,0.2094
118.0,102.9393,0.3768
206.0,53.8911,-0.0406
231.0,9.7082,0.3207
54.0,65.7647,0.2758
325.0,43.5029,0.1397
309.0,50.0025,0.1872
272.0,91.2318,0.2487
271.0,18.7417,0.2727
206.0,60.1103,0.0869
246.0,82.7103,0.2198
253.0,79.5692,0.3684
109.0,27.0647,0.285
253.0,72.892,0.3684
283.0,67.7422,0.1752
78.0,126.8,0.734
231.0,46.8241,0.2927
81.0,39.5,0.4215
26.0,4.6098,0.2769
194.0,80.7233,0.2781
75.0,45.6426,0.0617
44.0,108.7486,0.1821
22.0,74.0827,0.1671
1.0,88.285,0.3045
88.0,125.6344,0.3257
123.0,74.3808,0.2388
132.0,62.6279,0.55
261.0,89.0084,0.2539
167.0,70.5284,0.0795
221.0,120.5529,0.0951
54.0,28.9871,0.3443
129.0,105.6835,0.1166
256.0,31.5357,0.3344
194.0,47.0106,0.419
174.0,33.989,0.0775
66.0,75.6637,0.1554
78.0,23.0489,0.9915
19.0,131.4772,0.3303
109.0,87.4714,0.403
167.0,1.118,0.3155
167.0,127.5353,0.0795
315.0,48.2131,0.0173
48.0,138.6984,0.1176
308.0,53.2658,-0.0023
161.0,9.3005,0.1572
266.0,51.1297,0.0437
113.0,52.6047,0.406
306.0,156.2706,0.1755
287.0,44.365,0.1812
283.0,37.6198,0.2897
321.0,73.1198,0.1057
315.0,31.3249,0.2643
136.0,89.8735,0.0377
138.0,48.013,0.2902
289.0,187.131,0.1642
296.0,67.3238,0.3061
282.0,25.6125,0.0847
162.0,14.6031,0.1802
275.0,70.0071,0.0838
251.0,35.6721,0.0073
324.0,48.0885,0.4497
182.0,27.9732,0.0526
226.0,86.8936,0.1388
295.0,102.0012,0.0971
284.0,11.4018,0.2477
329.0,44.5253,0.2015
202.0,86.5592,0.6429
210.0,38.6846,0.2873
295.0,60.0021,0.2236
246.0,36.3456,0.2198
285.0,11.9269,0.2327
325.0,180.8183,0.1852
136.0,84.8248,0.0377
121.0,31.3249,0.2908
122.0,103.7413,0.2633
240.0,89.6354,0.0246
287.0,77.0146,0.1342
334.0,16.7705,0.267
157.0,85.8094,0.1728
145.0,12.3491,-0.1383
19.0,40.8044,0.3303
151.0,17.7341,0.4046
33.0,68.9366,-0.0086
86.0,41.1461,2.9147
263.0,51.87,0.0842
97.0,97.2137,1.7931
98.0,38.0296,0.3036
175.0,24.026,0.054
130.0,69.857,0.0801
27.0,34.0037,0.1469
293.0,97.5103,0.1456
178.0,71.1425,-0.0114
284.0,45.5439,0.5117
24.0,107.0946,0.1296
145.0,46.0679,-0.0593
7.0,76.5016,0.5104
70.0,50.2842,0.5974
21.0,30.9919,0.0841
213.0,58.0345,0.0703
96.0,26.6317,2.3196
194.0,71.044,0.2165
135.0,92.5864,0.231
24.0,12.1655,0.0681
10.0,178.956,0.4939
81.0,41.488,0.6945
21.0,127.3548,0.0971
42.0,68.4288,0.2482
336.0,35.8504,0.283
153.0,63.2653,0.3131
54.0,1.118,0.2758
286.0,16.5076,0.1072
290.0,20.7966,0.2062
227.0,63.0496,0.2442
122.0,64.1892,0.1723
136.0,50.2021,0.2667
211.0,38.5519,0.2988
58.0,69.0398,0.4189
85.0,11.4018,1.2187
239.0,14.3265,-0.0169
276.0,78.9177,0.1448
171.0,112.8207,0.0195
93.0,6.7082,2.9916
31.0,72.3136,0.1254
250.0,135.2793,0.1913
119.0,24.4387,0.3603
276.0,11.0114,0.3118
30.0,46.5672,0.0989
224.0,63.4232,0.0713
134.0,96.1769,0.005
168.0,38.461,0.327
310.0,40.5031,0.2032
94.0,12.1037,1.9801
333.0,16.6208,0.082
240.0,89.4455,0.1526
132.0,50.448,0.55
293.0,91.2688,0.2401
149.0,57.3149,-0.0854
78.0,69.1466,0.734
271.0,73.7869,0.3122
200.0,91.0082,0.2751
165.0,42.8077,0.0585
73.0,78.7813,0.9767
210.0,38.5519,0.2873
311.0,47.9818,0.1822
18.0,102.8944,0.1138
100.0,73.4983,-0.07
38.0,54.6123,0.3878
39.0,73.7309,0.3402
14.0,69.9893,0.1523
181.0,52.5095,0.0756
289.0,58.9513,0.2137
203.0,83.6212,0.2729
78.0,71.36,2.0375
22.0,63.6965,0.0756
82.0,111.298,2.582
283.0,20.8387,0.0817
266.0,72.0069,0.0427
293.0,26.2774,0.2401
317.0,44.0284,0.1717
290.0,93.1585,0.2062
227.0,49.1859,0.2347
227.0,84.7732,0.0417
200.0,117.3456,0.0645
210.0,37.353,0.1893
272.0,29.4151,0.1952
187.0,51.6575,0.124
258.0,46.0353,0.2369
103.0,76.0148,0.1335
95.0,20.0998,2.3481
238.0,116.0269,0.1816
81.0,49.7041,0.9595
144.0,45.7056,0.1427
314.0,2.0616,0.5893
198.0,53.7448,0.304
306.0,93.3769,0.1875
81.0,85.0706,0.556
229.0,47.7127,0.1212
88.0,2.0616,0.6157
142.0,20.5244,0.2282
44.0,69.9732,0.3616
80.0,121.4547,1.7995
44.0,46.7172,0.2966
54.0,135.271,0.2813
150.0,27.5045,0.2116
120.0,80.3757,0.3023
289.0,92.5122,0.3262
215.0,63.1506,0.2583
52.0,50.4876,0.2636
56.0,60.5392,0.2379
132.0,50.2021,0.55
31.0,192.0527,0.2389
95.0,54.4518,-0.2634
149.0,81.4632,0.2986
292.0,24.3824,0.1531
36.0,44.1192,0.0643
148.0,60.1041,0.1606
135.0,59.4243,0.2655
78.0,85.9069,1.0685
280.0,55.2268,1.0012
166.0,174.1845,0.106
267.0,49.6488,0.5592
108.0,58.5769,0.3008
187.0,11.5109,0.2895
321.0,80.5248,0.1042
332.0,48.1508,0.522
98.0,70.0161,1.2396
321.0,14.7054,0.5782
34.0,16.1941,0.2768
193.0,64.3933,0.5514
42.0,415.7193,0.1102
35.0,51.1566,0.3843
223.0,83.5374,0.4398
172.0,40.302,0.199
4.0,79.0569,0.171
61.0,73.7835,0.1029
109.0,106.0955,0.105
285.0,46.7386,0.2327
293.0,10.1119,0.2931
225.0,38.513,0.0513
155.0,66.7083,0.2938
189.0,68.1799,0.4955
98.0,61.5833,0.0441
93.0,91.1112,0.4211
195.0,61.6117,0.2895
182.0,27.5045,0.0736
192.0,15.9452,0.0859
38.0,81.2604,0.1693
287.0,72.2772,0.1342
181.0,40.3609,0.1366
213.0,107.6952,0.1468
209.0,100.9009,0.6398
312.0,34.442,0.2333
114.0,89.3784,0.287
133.0,68.7314,0.0085
73.0,46.2871,4.4917
143.0,23.3452,0.2777
92.0,34.1797,2.7606
78.0,45.3018,0.8315
46.0,36.2836,0.3311
253.0,121.7631,0.3684
214.0,60.7454,0.2243
115.0,35.7526,0.3095
102.0,18.7216,0.3265
4.0,101.0309,0.556
78.0,144.1284,0.7725
68.0,45.412,1.3664
31.0,70.2638,0.1274
197.0,47.2705,0.1795
43.0,38.6394,0.2587
73.0,1262.7076,2.2632
259.0,78.1937,0.1319
167.0,75.3741,0.0795
78.0,65.416,2.0375
76.0,42.2966,1.3177
144.0,49.5202,-0.0238
49.0,76.0805,0.1091
273.0,50.1597,0.5007
159.0,110.5226,0.1433
255.0,42.3232,0.2699
212.0,45.6207,0.2253
116.0,64.0078,0.5301
96.0,20.3039,1.1346
4.0,35.0143,0.147
176.0,64.0956,0.0526
173.0,51.4782,0.2565
148.0,76.6322,0.1661
208.0,55.2381,0.3773
78.0,34.5615,1.4375
41.0,75.5017,0.1167
198.0,66.3042,0.304
153.0,112.7885,0.0971
42.0,45.5,0.2482
200.0,79.456,0.1795
291.0,123.1463,0.1032
166.0,69.7585,0.069
328.0,61.4858,0.2647
78.0,67.1193,0.748
311.0,25.224,0.1822
254.0,44.9472,0.2469
78.0,32.9621,1.058
52.0,83.8824,0.1356
190.0,46.8855,-0.0131
184.0,73.2427,0.3695
194.0,107.4477,0.1656
263.0,19.3197,0.2802
129.0,127.6411,0.3596
135.0,86.539,0.214
171.0,71.5629,0.1165
261.0,32.6382,0.2644
78.0,59.6091,0.3575
316.0,25.8312,0.6683
91.0,41.7612,1.1076
43.0,69.9232,0.2327
229.0,50.0899,0.0282
157.0,41.003,0.1693
12.0,56.7208,0.3083
5.0,180.025,0.132
25.0,119.3241,0.1441
270.0,65.5172,0.1507
160.0,97.1867,0.3512
305.0,98.8243,0.1555
241.0,66.5451,0.2903
37.0,42.7463,0.0263
281.0,68.7841,0.1327
335.0,16.3478,0.123
259.0,59.5504,0.1319
3.0,96.2094,0.1945
314.0,45.7957,0.5893
304.0,38.3275,0.0915
42.0,84.429,0.0837
155.0,41.7642,0.0833
44.0,54.0833,0.2486
167.0,50.8035,0.0825
285.0,87.0359,0.2327
297.0,17.2047,0.1476
122.0,47.6471,0.2428
143.0,56.0357,0.0522
62.0,56.9956,0.0904
133.0,8.7321,0.0395
206.0,65.2323,-0.0406
293.0,110.7362,0.1446
104.0,40.6356,0.3893
249.0,42.8019,0.1918
81.0,26.6552,2.157
73.0,12.51,1.7537
3.0,34.0037,0.3395
305.0,39.08,0.0925
31.0,102.3536,0.1254
194.0,82.5015,0.2781
111.0,33.0492,0.8115
250.0,37.0473,0.1913
110.0,128.7643,0.71
244.0,90.1027,0.3273
275.0,49.135,0.1568
89.0,59.8874,2.1332
176.0,41.6473,0.0961
95.0,27.7354,-0.0089
38.0,51.6236,0.1693
145.0,47.8017,-0.1218
125.0,27.0416,0.5303
308.0,67.8122,0.0242
332.0,54.0208,0.522
57.0,82.4924,0.2743
220.0,50.1423,0.1876
135.0,47.4236,0.208
290.0,32.9317,0.1497
74.0,97.4064,0.3977
22.0,87.4371,0.1671
18.0,62.5979,0.1138
159.0,24.3824,0.0923
292.0,57.4674,0.0581
149.0,74.9833,0.1916
192.0,41.1461,0.0859
146.0,49.1554,0.2386
22.0,17.5,1.4366
5.0,80.5388,0.1215
85.0,35.0143,1.0317
254.0,81.3173,0.1764
229.0,63.502,0.0647
123.0,85.5249,0.0628
306.0,84.5015,0.1755
263.0,52.0865,0.2802
12.0,35.107,0.2978
289.0,65.0308,0.1527
76.0,50.4505,1.2407
163.0,92.2198,0.6357
124.0,64.7785,0.3553
280.0,45.3542,0.1852
61.0,79.3426,0.0979
70.0,45.2355,0.5974
100.0,93.4933,0.1785
77.0,89.6172,0.9995
112.0,48.2597,0.496
106.0,50.6285,0.5288
333.0,84.0372,0.0395
82.0,34.9285,2.582
293.0,18.6078,0.1306
180.0,59.6091,0.0441
251.0,43.5488,0.2033
135.0,72.5155,0.231
153.0,72.9932,0.3651
87.0,78.0,1.6662
77.0,46.9521,0.795
12.0,59.4811,0.2373
176.0,67.4166,0.1201
114.0,65.025,0.29
313.0,88.1419,0.3438
47.0,38.6588,0.2081
311.0,75.1864,0.1767
45.0,46.9814,0.1111
209.0,48.1923,0.2713
44.0,40.8167,0.2966
212.0,50.2195,0.0343
133.0,190.5531,0.1385
136.0,84.9264,0.1977
258.0,43.3417,0.2114
85.0,92.0122,1.2187
17.0,109.0562,0.0128
183.0,17.2409,0.1206
96.0,93.2872,1.1741
283.0,38.1477,0.1462
191.0,44.1814,0.6234
289.0,33.6341,0.3212
11.0,57.2451,0.1169
135.0,69.0453,0.231
196.0,37.9638,0.356
46.0,81.6854,0.3311
220.0,69.4262,0.1876
61.0,44.4325,0.1934
47.0,81.1542,0.0841
19.0,91.5492,0.3303
115.0,30.6023,0.117
145.0,32.9014,-0.1683
230.0,23.9635,-0.0073
299.0,66.7701,0.3095
24.0,17.4642,0.1796
93.0,52.5024,0.7736
306.0,32.7758,0.2265
289.0,116.9284,0.2022
296.0,40.2492,0.0541
165.0,90.8089,0.8215
108.0,86.0145,0.1623
204.0,33.5596,0.3464
263.0,35.0321,0.2802
132.0,88.6143,0.55
191.0,46.9574,0.2589
14.0,36.5274,0.2128
103.0,105.0964,0.081
77.0,112.3054,0.447
44.0,57.6585,0.8481
50.0,63.6946,0.1031
47.0,128.0156,0.2206
19.0,74.5268,0.3303
179.0,31.1849,0.2081
2.0,65.0308,0.203
289.0,139.5081,0.1792
102.0,15.5724,-0.079
106.0,111.6356,0.2153
135.0,63.502,0.211
289.0,8.0777,0.3212
15.0,88.5508,0.4488
289.0,118.5116,0.2182
31.0,96.5635,0.4949
301.0,98.2815,0.279
93.0,28.7141,-0.1094
324.0,34.0037,0.3507
290.0,30.104,0.1402
86.0,15.7003,0.5067
44.0,100.1761,0.0161
19.0,26.1964,-0.0162
153.0,55.084,0.4191
7.0,40.4042,0.2924
43.0,55.0205,0.0412
33.0,34.1211,0.1819
242.0,89.5126,0.1883
181.0,37.1652,0.1366
145.0,48.0416,-0.0228
289.0,16.5605,0.2952
22.0,119.3838,0.0751
134.0,94.921,0.1015
21.0,44.5702,0.0696
220.0,57.4282,0.1831
22.0,51.5485,0.2246
226.0,29.5296,0.1388
230.0,61.5508,0.5327
326.0,83.4416,0.0267
57.0,108.6393,0.0259
169.0,43.9318,0.3345
236.0,43.0116,0.2216
214.0,61.9879,0.1698
58.0,33.1851,0.2394
333.0,56.0803,0.1595
106.0,74.3303,0.5288
84.0,76.6975,1.1967
321.0,65.4083,0.2592
151.0,58.1936,0.4046
297.0,14.3265,0.1461
250.0,51.5388,0.3408
240.0,2.0616,0.1201
148.0,17.6777,0.2546
26.0,50.1224,0.5124
44.0,36.5274,0.2671
70.0,36.1836,-0.0861
73.0,95.2169,4.4917
176.0,66.4267,0.1201
38.0,62.5,0.0418
21.0,125.4402,0.2221
159.0,63.3285,0.0903
43.0,42.9214,0.0467
11.0,85.4283,0.0634
265.0,71.9253,0.4182
178.0,30.5941,0.2071
94.0,20.8926,1.5631
194.0,80.8409,0.1401
289.0,64.5329,0.1527
236.0,69.7298,0.2216
194.0,49.8121,0.2781
155.0,42.1545,0.2938
209.0,94.6071,0.3223
72.0,64.9788,0.4364
134.0,111.9308,0.0435
182.0,26.4008,0.0526
194.0,110.7215,0.295
66.0,28.8531,0.1649
321.0,42.8544,0.5782
306.0,40.3887,0.193
269.0,48.7468,0.1532
39.0,77.6418,0.1592
198.0,78.2943,0.291
124.0,91.6542,0.3193
248.0,66.2118,0.2298
293.0,100.2821,0.1456
266.0,106.5106,-0.0193
134.0,54.8293,0.2625
70.0,35.0036,-0.0861
100.0,34.1321,-0.1215
8.0,83.7929,0.2524
230.0,53.5584,0.5327
148.0,51.8773,0.3006
189.0,83.8287,0.4955
135.0,41.5752,0.211
165.0,10.5119,0.133
255.0,39.9406,0.2964
219.0,40.4753,0.0866
20.0,28.6225,0.4361
278.0,23.2863,0.1788
255.0,30.6961,0.2119
293.0,51.2445,0.1086
78.0,21.2426,0.3575
103.0,103.64,0.2385
150.0,87.9119,0.0996
312.0,39.0512,0.3023
73.0,1105.6322,-0.3453
88.0,121.0806,0.0692
200.0,79.1865,0.2751
14.0,51.3517,0.0823
163.0,36.0035,0.5097
21.0,148.5842,0.0841
134.0,75.6257,0.1935
335.0,62.8908,0.123
43.0,46.8855,0.2327
336.0,45.6207,0.0605
198.0,65.7742,0.291
148.0,28.3593,0.1606
164.0,54.4541,0.3642
217.0,89.4343,0.1296
43.0,131.9185,0.2322
278.0,20.3039,0.1913
235.0,10.6888,0.2431
49.0,74.4748,0.6206
183.0,40.7922,0.1206
34.0,66.2288,0.3418
130.0,125.501,0.3241
236.0,32.5,0.2906
70.0,28.0713,0.4174
236.0,199.332,0.2906
200.0,26.4433,0.1795
181.0,72.7083,0.7781
299.0,74.7429,0.3095
277.0,95.3231,0.1838
77.0,65.4866,0.205
293.0,66.1098,0.1271
33.0,77.4661,0.0079
22.0,148.6422,1.4366
41.0,81.3465,0.0487
89.0,76.0805,0.7562
98.0,78.7036,1.9596
213.0,70.8467,0.4968
30.0,10.4043,0.2094
81.0,53.033,0.9595
98.0,41.6083,2.0166
76.0,115.6601,0.8567
288.0,12.3693,0.2302
83.0,32.1753,1.3035
102.0,47.8357,0.1405
289.0,6.1033,0.1522
226.0,22.561,0.0073
123.0,67.2625,0.1808
52.0,85.4181,0.1356
33.0,42.8077,0.1819
291.0,78.9003,0.1202
256.0,37.3263,0.3804
136.0,77.3175,0.2142
117.0,107.5558,0.2636
50.0,48.585,0.1491
44.0,40.1123,0.0916
287.0,60.5991,0.1267
15.0,25.6564,0.1233
310.0,61.7454,0.3622
150.0,165.5362,0.2116
183.0,29.5169,0.3466
125.0,38.5,0.1753
289.0,45.025,0.1172
311.0,58.2495,0.1867
246.0,100.0725,0.2198
176.0,101.5591,0.1726
154.0,49.5429,0.3583
249.0,52.024,0.2288
108.0,75.2629,0.3008
136.0,55.3624,0.0377
23.0,21.5523,0.1396
2.0,116.9626,0.101
2.0,32.9014,0.1745
255.0,88.6848,0.2699
31.0,9.8995,0.0329
168.0,39.538,0.0835
1.0,18.8481,0.3045
54.0,95.6831,0.2758
121.0,73.4864,0.2923
117.0,73.2888,0.1166
111.0,110.0023,0.374
246.0,49.1172,0.4633
101.0,66.5902,0.5545
144.0,36.2215,-0.0238
215.0,78.4761,0.1708
224.0,118.0265,0.4978
22.0,72.0642,0.1421
303.0,25.2982,0.1525
37.0,117.8442,0.0908
153.0,96.5117,0.3131
103.0,77.2528,0.3965
219.0,80.0391,0.0596
130.0,81.5843,0.4321
216.0,56.6414,0.3761
267.0,28.4605,0.3002
217.0,54.5,0.4871
203.0,128.5613,0.2184
319.0,69.7585,0.0057
185.0,69.8892,0.404
125.0,48.6338,0.6253
99.0,56.0022,0.2765
174.0,92.4189,0.127
151.0,50.1423,0.4046
130.0,140.788,0.0136
91.0,83.0557,1.0896
93.0,49.9925,-0.0379
301.0,87.8778,0.1345
135.0,67.3684,0.2645
44.0,53.3526,0.1681
270.0,26.6317,0.2232
323.0,78.0545,0.2822
22.0,4.272,0.2271
113.0,98.1759,0.164
266.0,64.2223,0.2122
283.0,44.2069,0.1752
219.0,29.3471,0.1586
216.0,33.2453,0.4381
4.0,263.6371,0.2875
285.0,135.0009,0.4067
308.0,72.0069,0.0122
307.0,42.5441,0.3547
136.0,50.5594,-0.0378
73.0,50.1224,4.4917
78.0,78.3135,0.6525
21.0,102.3132,0.0651
168.0,61.9112,0.327
276.0,69.7585,0.3343
150.0,70.0928,0.1386
317.0,12.6194,0.1487
5.0,45.0028,0.0265
17.0,34.2053,0.1968
289.0,20.3593,0.2227
19.0,31.197,0.1378
30.0,2.6926,0.2094
18.0,97.1558,0.0993
147.0,61.502,0.4201
271.0,45.7957,0.3302
66.0,46.36,0.1859
187.0,36.7865,0.2895
323.0,29.5381,0.2847
21.0,20.4022,0.0971
