eyemove/table5.assgNo,eyemove/table5.landingPos,eyemove/table5.pupilDiamLag
301.0,129.0659,0.1345
149.0,41.3824,0.2891
96.0,47.8017,1.6561
285.0,65.2763,0.3802
131.0,87.1005,0.5086
155.0,49.2392,0.1148
160.0,79.3757,0.3512
316.0,37.0742,0.1898
73.0,78.7813,0.9767
73.0,12.51,1.7537
11.0,59.1291,0.0634
168.0,115.5692,0.327
79.0,127.7625,1.5165
209.0,60.21,0.2303
99.0,36.7764,0.534
2.0,32.9014,0.1745
27.0,75.8568,0.5964
154.0,74.2647,0.3048
135.0,92.5864,0.231
282.0,40.9542,0.0377
124.0,91.6542,0.3193
308.0,91.0014,0.0122
197.0,18.527,0.6825
150.0,35.0321,0.1196
302.0,186.4705,0.122
78.0,133.9496,1.63
225.0,129.3928,0.1113
135.0,35.4401,0.211
308.0,74.8131,0.2347
43.0,89.5349,0.0622
248.0,64.846,0.2298
149.0,72.0156,0.2986
300.0,61.1882,0.0885
5.0,13.4536,0.0265
105.0,73.0924,0.1443
90.0,56.4469,1.4802
257.0,14.5774,0.3964
42.0,92.5122,0.2482
114.0,57.0898,0.5515
202.0,88.459,0.4174
238.0,117.5681,0.3266
102.0,83.4865,0.1405
164.0,50.6211,0.1787
246.0,63.0734,0.1988
173.0,60.7454,0.214
57.0,60.9036,0.0838
304.0,34.6771,0.0765
200.0,101.0458,0.1795
236.0,12.5,0.2451
35.0,59.927,0.3843
134.0,92.8615,0.409
203.0,45.2355,0.1124
42.0,18.2003,0.0767
61.0,75.1532,0.0979
76.0,131.3335,1.3177
182.0,84.0773,0.1061
224.0,98.5609,0.0753
253.0,121.7631,0.3684
302.0,48.0521,0.258
150.0,65.5019,0.2116
19.0,26.1964,-0.0162
166.0,83.5464,0.162
238.0,187.2966,0.3266
324.0,41.5752,0.4497
89.0,67.4036,0.9212
24.0,39.5506,0.0681
65.0,71.507,0.2104
217.0,87.2983,0.4871
1.0,25.0599,0.186
49.0,156.0969,0.0831
157.0,131.9555,0.1753
76.0,6.265,1.3177
6.0,115.1803,0.101
74.0,107.5976,-0.6298
3.0,58.7133,0.1675
287.0,92.0122,0.2002
5.0,69.1809,0.225
243.0,17.066,0.3028
280.0,10.2956,0.2617
45.0,52.7376,0.1361
235.0,51.1957,0.3301
127.0,101.7767,0.2226
256.0,33.6155,0.5029
135.0,105.6504,0.01
61.0,67.1063,0.0984
115.0,93.984,0.3095
33.0,68.9366,-0.0086
240.0,10.2956,0.1201
109.0,106.0955,0.105
68.0,4.3012,2.3504
274.0,63.7377,0.1063
98.0,55.0318,-0.1324
148.0,21.5232,0.2221
328.0,41.3189,0.2647
164.0,109.5822,0.3567
9.0,20.0998,0.1744
21.0,127.3548,0.0971
243.0,45.4533,0.1328
61.0,50.3612,0.2874
132.0,86.7208,0.3985
22.0,22.3271,0.2036
34.0,39.702,0.2848
329.0,56.376,0.3065
5.0,80.5388,0.1215
130.0,37.4433,0.3241
336.0,43.1741,0.283
134.0,55.9866,0.407
148.0,54.8293,0.3006
198.0,65.7742,0.291
145.0,48.0416,-0.0228
289.0,64.3817,0.1792
300.0,19.0591,0.351
195.0,59.0445,0.3931
66.0,79.5063,0.2954
274.0,80.0,0.9383
321.0,134.2386,0.5782
163.0,93.094,0.0652
114.0,66.8674,0.29
296.0,79.6006,0.0761
150.0,84.1487,0.1196
149.0,81.4632,0.2986
177.0,41.6473,0.1711
135.0,122.9837,0.107
36.0,22.1416,0.3568
273.0,113.7475,0.0242
193.0,81.1249,0.1339
112.0,48.2597,0.496
221.0,108.8726,0.1771
118.0,53.1507,0.2188
189.0,68.1799,0.4955
227.0,159.2836,0.0867
202.0,91.8708,0.4174
294.0,133.0338,0.6081
224.0,40.4011,0.0558
296.0,36.8782,0.2466
298.0,90.0056,0.0971
81.0,53.033,0.9595
308.0,102.0123,0.2507
211.0,22.8965,0.2988
125.0,66.4906,0.2083
234.0,77.6032,0.1871
105.0,22.8035,0.1958
48.0,53.7587,0.2496
162.0,48.3839,0.0427
133.0,7.7621,0.0395
65.0,89.5349,0.2524
73.0,64.5174,0.6492
310.0,61.7454,0.3622
44.0,73.9814,0.2076
76.0,55.933,0.8567
72.0,23.8799,-0.1566
61.0,26.7442,0.1229
279.0,116.5686,0.1188
23.0,42.9418,0.1341
164.0,60.5743,0.1787
267.0,33.3542,0.2162
143.0,57.6303,0.1682
108.0,120.6617,0.3008
188.0,73.9341,0.663
21.0,38.9005,0.1611
5.0,83.9315,0.1215
190.0,65.192,0.3249
301.0,88.2397,0.198
326.0,61.6299,0.1167
287.0,77.0146,0.1342
32.0,60.5083,0.1034
154.0,24.8395,0.3583
188.0,114.6571,0.236
289.0,86.5592,0.2092
178.0,18.527,0.2561
222.0,37.769,0.0928
177.0,44.2041,0.4721
142.0,97.9005,0.3452
306.0,69.9518,0.193
173.0,64.002,0.237
197.0,53.6027,0.1191
83.0,115.3365,0.19
126.0,71.5856,0.7691
321.0,145.0284,0.1837
164.0,15.2398,0.2222
17.0,107.5744,0.2083
77.0,99.786,0.447
308.0,37.3162,0.0122
324.0,50.589,0.3317
149.0,70.0643,0.1756
4.0,124.1471,0.0775
275.0,76.0592,0.1568
261.0,64.6239,0.3339
3.0,98.1186,0.2915
71.0,86.8159,1.4619
206.0,63.8318,0.2544
215.0,81.3019,0.2128
130.0,57.2189,0.2446
283.0,37.6198,0.2897
89.0,62.8172,0.9337
210.0,81.9954,0.2873
94.0,66.4248,1.9266
124.0,104.2929,0.1143
224.0,148.092,0.0753
52.0,5.7009,0.1696
298.0,111.2531,0.2531
164.0,14.151,0.2467
271.0,49.8723,0.1212
229.0,49.4899,0.1212
112.0,51.2104,0.614
7.0,26.1964,0.2924
311.0,58.2495,0.1867
11.0,96.7536,0.0089
146.0,49.1554,0.2386
148.0,60.1041,0.1606
300.0,31.0886,0.2125
288.0,8.5147,0.1107
166.0,81.6165,0.275
58.0,70.799,0.4189
66.0,43.6578,0.1859
297.0,17.2047,0.1476
85.0,60.0833,-0.0108
211.0,64.1327,0.2988
81.0,54.4656,1.971
191.0,58.6686,0.3484
15.0,55.5563,0.1383
239.0,27.3542,0.2556
277.0,144.7213,0.2678
203.0,128.5613,0.2184
78.0,60.6671,0.9915
297.0,35.7351,0.1461
259.0,50.3612,0.1654
15.0,159.227,0.1383
315.0,36.5411,0.3363
181.0,31.5674,0.0326
225.0,75.228,0.2543
316.0,61.0942,0.6683
58.0,30.8585,0.3453
239.0,70.9454,0.0311
162.0,57.7603,0.0722
61.0,11.2361,0.0979
224.0,53.9676,0.4978
66.0,62.8431,0.1649
293.0,54.6191,0.2636
99.0,76.3217,0.2765
5.0,50.3587,0.0265
115.0,83.4521,0.3095
44.0,10.5119,0.1251
230.0,68.6167,0.5327
21.0,59.808,0.0821
174.0,21.587,0.2215
300.0,81.8917,0.2125
65.0,138.0444,0.2104
235.0,32.8672,0.3301
149.0,18.6682,0.2986
6.0,64.5368,0.101
79.0,10.7935,1.407
11.0,101.2744,0.0624
167.0,94.3001,0.114
74.0,64.5949,1.4757
174.0,92.4189,0.127
159.0,82.3241,0.1433
102.0,4.7434,0.068
26.0,103.8087,0.1169
153.0,74.4312,0.4191
150.0,63.3028,0.2586
100.0,58.5875,0.1785
136.0,78.6384,0.4492
135.0,126.9212,0.1455
146.0,74.6726,0.4036
73.0,70.8696,4.4917
253.0,91.6788,0.0489
222.0,44.9806,0.0818
178.0,36.9121,0.3536
22.0,37.3965,0.2051
269.0,33.6341,0.1132
306.0,126.6669,0.246
3.0,19.1638,0.055
174.0,51.4636,0.2235
311.0,37.3263,0.1887
328.0,47.5184,0.0642
66.0,95.0053,0.1859
98.0,36.3593,-1.1764
148.0,88.1547,0.3161
240.0,1.5811,0.1316
44.0,94.3001,0.8481
134.0,42.547,0.069
155.0,39.6295,0.0443
271.0,52.5595,0.3717
212.0,60.21,0.2253
315.0,60.2536,0.2023
66.0,46.6905,0.3234
47.0,55.1951,0.0761
83.0,70.4716,1.0745
130.0,36.8409,0.2936
296.0,167.5269,0.0621
157.0,95.2733,0.0813
69.0,81.2712,0.6274
54.0,103.4517,0.3933
224.0,34.6446,0.1138
316.0,102.9004,0.3988
281.0,68.7841,0.1327
327.0,42.2641,0.5022
31.0,137.052,0.1189
92.0,69.6724,0.9126
154.0,24.0416,0.2423
147.0,75.1681,0.4881
197.0,25.4018,0.1795
4.0,98.6534,0.147
78.0,47.1832,0.2085
283.0,59.4348,0.1462
7.0,8.7464,0.3074
127.0,28.8141,0.4466
153.0,123.5607,0.1746
330.0,99.7296,0.399
134.0,62.2656,0.2625
62.0,56.9956,0.0904
15.0,65.0692,0.1383
252.0,23.5213,0.1418
112.0,59.3317,0.496
125.0,80.9089,0.1753
324.0,36.4589,0.1637
86.0,116.0711,1.5692
136.0,60.531,0.0047
324.0,34.0037,0.3507
167.0,38.1903,0.35
37.0,39.7555,0.0103
111.0,128.6672,0.226
270.0,26.6317,0.2232
333.0,56.0803,0.1595
92.0,45.1054,0.9126
304.0,96.8736,0.0915
50.0,166.6208,0.6131
117.0,99.7459,0.1166
236.0,199.332,0.2906
255.0,59.1037,0.2504
89.0,50.9902,0.9337
319.0,103.9964,0.0247
28.0,95.6883,0.0814
43.0,46.457,0.1332
280.0,15.3052,0.2297
297.0,83.0015,0.1276
159.0,87.9801,0.0988
168.0,11.5434,0.102
294.0,145.2481,0.2606
305.0,52.3927,0.07
79.0,29.3471,0.7805
177.0,70.2157,0.1711
310.0,73.2069,0.2032
107.0,40.3113,0.1743
210.0,69.4208,0.2873
28.0,34.5,0.0039
72.0,74.5201,0.4364
18.0,67.9559,0.0958
284.0,19.0591,0.1312
76.0,57.6238,1.3177
242.0,78.6543,0.2213
15.0,66.7776,0.4488
254.0,93.5428,0.2284
85.0,55.5203,0.5822
58.0,105.5237,0.4189
274.0,33.0946,0.2288
144.0,54.0023,0.1437
259.0,65.0,0.1984
9.0,27.2809,0.1059
154.0,39.9656,0.2423
49.0,40.8167,0.1091
75.0,106.4202,0.2482
42.0,72.8869,0.2482
50.0,63.9316,0.0591
116.0,64.0078,0.5301
159.0,118.4451,0.1393
264.0,59.7704,0.2292
251.0,9.2195,0.2033
53.0,29.7195,0.4183
44.0,15.2069,0.1446
14.0,96.0169,0.1613
282.0,93.1625,0.1307
111.0,71.2776,0.2685
58.0,33.1851,0.2394
188.0,283.8706,0.236
103.0,77.2528,0.3965
177.0,49.5202,0.4721
153.0,49.8623,0.1056
106.0,74.3303,0.5288
194.0,49.8121,0.2781
163.0,57.4674,0.0267
281.0,25.8118,0.1047
113.0,79.6006,0.1465
84.0,99.334,1.4612
101.0,60.9631,0.5545
43.0,152.8398,0.2327
142.0,54.7449,0.1347
172.0,56.4469,0.153
168.0,22.8254,0.147
289.0,150.5075,0.3152
134.0,52.4238,0.1015
157.0,37.9473,0.3413
178.0,1004.0997,0.2071
238.0,17.8466,0.1816
136.0,50.2021,0.2667
45.0,115.9526,0.0001
263.0,51.87,0.0842
281.0,76.5914,0.1327
88.0,53.2846,0.9162
310.0,46.0977,0.4172
293.0,16.4012,0.2171
48.0,40.4042,0.0376
44.0,37.4233,0.2076
311.0,100.08,0.2242
137.0,177.0537,0.1617
153.0,56.5,0.0531
57.0,54.3346,0.1308
157.0,79.712,0.3413
57.0,39.6989,0.2743
179.0,62.9623,0.0356
42.0,44.0114,0.2482
219.0,12.1758,0.1586
277.0,10.8167,0.2678
31.0,72.4241,0.1429
98.0,51.1957,0.9836
304.0,76.4739,0.159
45.0,12.3693,0.0766
35.0,57.0088,0.4623
166.0,42.9942,0.494
311.0,39.3573,0.2537
186.0,16.3248,0.3765
214.0,61.9879,0.1698
236.0,38.7621,0.2906
121.0,81.5981,0.2943
119.0,24.4387,0.3603
159.0,26.2774,0.1433
197.0,33.234,0.1795
220.0,57.4282,0.1831
226.0,60.9262,0.0293
44.0,81.939,0.2966
38.0,39.6138,0.0418
133.0,63.7828,0.128
78.0,355.7,1.4325
78.0,26.5424,0.7675
329.0,8.544,0.3065
78.0,1121.8846,1.9765
229.0,68.9511,0.1432
41.0,48.2597,0.2992
66.0,75.9227,0.3264
194.0,48.2105,0.212
147.0,61.502,0.4201
66.0,61.5224,0.3404
121.0,52.3116,0.2943
293.0,10.1119,0.2931
227.0,97.9707,0.1602
305.0,78.4618,0.0925
171.0,49.2164,0.117
270.0,49.2392,0.2232
71.0,81.9054,2.7764
285.0,41.9076,0.3802
167.0,44.5449,0.0795
225.0,27.7894,0.1023
226.0,59.3633,-0.0292
65.0,90.2718,0.2524
50.0,69.5593,0.2126
289.0,88.7764,0.1522
143.0,95.1591,0.2777
266.0,64.2223,0.2122
235.0,28.2843,0.3301
136.0,81.3895,0.3262
293.0,85.1587,0.2636
52.0,50.9215,0.1871
81.0,82.7481,0.556
111.0,35.8504,0.2685
143.0,56.0357,0.0522
238.0,55.0136,0.1206
334.0,20.1556,0.253
75.0,44.5337,0.6472
283.0,140.8022,0.1462
167.0,75.3741,0.0795
151.0,53.3971,0.3621
127.0,47.7127,0.4466
254.0,2.5,0.1764
31.0,180.5436,0.1429
175.0,44.9444,0.054
93.0,138.5135,1.3871
236.0,61.1658,0.2616
7.0,172.0705,0.5104
242.0,66.5977,0.5258
200.0,49.684,0.2751
143.0,33.0,0.1682
125.0,27.0416,0.5303
31.0,59.2558,0.1274
119.0,91.214,0.3603
31.0,100.5112,0.0329
266.0,23.2863,0.0427
162.0,16.3478,0.1767
249.0,30.6105,0.2813
8.0,72.2098,0.1614
81.0,23.4094,2.336
146.0,63.9551,0.2226
139.0,59.5504,0.2292
309.0,97.6844,0.2387
37.0,68.9638,0.0188
130.0,37.9012,-0.0159
246.0,97.3203,0.2198
198.0,37.3263,0.066
217.0,60.6321,0.4871
149.0,125.3924,0.2986
41.0,58.0194,0.1232
19.0,68.6604,0.3303
78.0,34.5615,1.4375
159.0,195.9451,0.1393
150.0,42.1011,0.2356
227.0,84.5281,0.0417
157.0,81.0015,0.1903
249.0,158.7844,0.2638
311.0,126.1269,0.1072
255.0,28.1603,0.1139
1.0,83.006,0.183
5.0,128.0039,0.1215
231.0,100.2958,0.3207
124.0,28.9007,0.3193
307.0,56.4358,0.1477
253.0,31.0161,0.3684
226.0,21.9659,0.1933
44.0,69.4262,0.1921
336.0,38.3471,0.473
219.0,37.3162,0.0781
31.0,70.2638,0.1274
258.0,56.2694,0.0804
30.0,40.942,0.0989
220.0,60.3511,0.1876
21.0,29.2318,0.1611
177.0,22.8528,0.2091
90.0,19.4551,0.7377
278.0,8.5586,0.3583
295.0,6.9642,0.0971
66.0,60.1519,0.3264
174.0,151.5586,0.2235
309.0,36.7185,-0.0453
136.0,86.3148,0.0997
309.0,50.0025,0.1872
236.0,26.0,0.3791
134.0,58.5342,0.0445
304.0,58.843,0.122
296.0,26.2774,0.1356
318.0,110.5543,0.1782
177.0,13.0863,0.2091
109.0,98.6826,0.5365
93.0,41.0488,0.1626
251.0,28.4297,0.0073
175.0,23.5053,0.054
9.0,46.6154,0.3034
78.0,87.865,0.3635
132.0,45.1248,0.1665
112.0,124.0816,0.496
11.0,21.2132,0.0089
167.0,11.4018,0.0825
45.0,49.6614,0.0766
320.0,59.1798,0.1647
117.0,73.2888,0.1166
124.0,38.422,0.3553
317.0,22.5499,0.6747
313.0,74.2378,0.3438
133.0,97.1815,0.205
52.0,59.927,0.1206
164.0,67.2309,0.3642
330.0,27.5409,0.518
332.0,44.0511,0.204
157.0,60.5826,0.0873
113.0,39.6011,0.164
256.0,56.9956,0.2719
111.0,120.7239,0.2685
146.0,44.8386,0.4036
136.0,59.4243,0.4087
167.0,58.2795,0.114
166.0,165.0651,0.275
130.0,109.2177,0.1741
24.0,38.5811,0.1211
288.0,4.4721,0.2482
136.0,84.1487,-0.0408
60.0,31.5317,0.2724
52.0,91.7401,0.1871
129.0,106.5293,0.3416
291.0,119.7675,0.2497
25.0,31.1006,0.1951
148.0,127.548,0.2776
148.0,105.8017,0.2776
168.0,384.0963,0.2555
319.0,61.9718,0.2312
266.0,118.7824,0.0437
123.0,67.2625,0.1808
135.0,74.0152,0.01
98.0,42.0387,-0.1324
148.0,68.884,0.2221
61.0,42.5206,0.2339
106.0,50.232,0.5288
225.0,115.2313,0.1113
133.0,84.4408,0.1955
44.0,47.0239,0.2366
305.0,36.1386,0.0925
296.0,178.7659,0.1026
240.0,89.4455,0.1526
125.0,48.6338,0.6253
149.0,66.0095,0.2911
327.0,115.2443,-0.0308
299.0,74.7429,0.3095
224.0,89.0505,0.0723
219.0,54.5825,0.1586
300.0,43.2897,0.351
22.0,94.1488,0.0756
5.0,194.5411,0.225
270.0,65.2476,0.1507
221.0,46.0109,0.1771
22.0,86.0523,0.0316
44.0,14.6373,0.2366
42.0,103.0776,0.1567
293.0,96.199,0.2401
306.0,57.0701,0.191
296.0,88.1192,0.0761
202.0,127.3892,0.4174
70.0,6.7268,2.0074
58.0,92.0054,0.2394
8.0,54.9181,0.0959
309.0,11.4127,0.1847
13.0,69.161,0.2703
238.0,152.6385,0.1206
306.0,129.8124,0.1875
211.0,91.444,0.2988
103.0,104.7294,0.248
11.0,130.2162,0.0334
336.0,33.3017,-0.0925
15.0,47.3128,0.1233
324.0,81.7083,0.1572
149.0,65.7742,0.2986
191.0,73.7987,0.6234
269.0,82.0747,0.4327
272.0,44.6346,0.3817
277.0,117.0096,0.1963
256.0,82.8689,0.2364
104.0,23.4201,0.0353
86.0,53.584,-0.2613
121.0,16.8077,0.2923
226.0,54.1225,0.1388
213.0,49.0433,0.0703
107.0,46.3303,0.3018
157.0,49.93,0.1903
328.0,61.4858,0.2647
225.0,74.3589,0.1033
190.0,86.5794,0.1989
214.0,58.9788,0.2243
40.0,56.573,0.4262
130.0,173.693,0.2346
92.0,32.0039,2.8676
278.0,130.7765,0.2133
144.0,137.99,-0.1093
78.0,73.9003,1.016
310.0,39.3605,0.1582
318.0,123.199,0.3022
134.0,73.6495,-0.0385
336.0,63.5,0.1465
311.0,77.558,0.2242
164.0,21.7083,0.1457
149.0,44.4213,0.2786
215.0,78.4761,0.1708
154.0,75.326,0.3163
46.0,58.5342,0.5936
275.0,128.501,0.0258
333.0,39.3224,0.082
310.0,19.1377,0.1587
92.0,97.9005,1.7096
43.0,110.1681,0.0467
189.0,33.444,0.183
43.0,86.1757,0.0622
93.0,42.5118,0.1626
99.0,84.8999,0.275
227.0,71.9184,0.0592
157.0,85.8094,0.1728
179.0,50.1523,0.2841
38.0,81.2604,0.1693
56.0,77.7978,0.2019
177.0,51.0906,0.1711
25.0,61.002,0.1441
178.0,138.3808,0.0886
4.0,54.037,0.2875
78.0,76.2316,1.9765
139.0,24.7032,0.2292
307.0,171.5554,0.1477
130.0,142.6753,0.3241
110.0,115.6774,0.1545
290.0,93.1585,0.2062
333.0,66.1098,0.344
319.0,78.9003,0.2277
6.0,88.3883,0.029
12.0,59.4811,0.2373
314.0,100.3419,0.2853
28.0,66.2061,0.1529
306.0,74.2428,0.4915
142.0,61.5873,0.1347
328.0,31.257,0.1377
90.0,112.331,0.7377
178.0,77.0097,-0.0139
150.0,44.5337,0.1386
276.0,51.6841,0.0698
197.0,103.2049,0.1795
115.0,83.8824,0.2485
37.0,83.6481,0.1803
148.0,133.874,0.2776
79.0,37.7127,0.2455
43.0,84.6832,0.0467
91.0,1009.3707,0.0116
9.0,64.7012,0.1774
166.0,113.1923,0.275
324.0,110.8434,0.4497
164.0,56.5442,0.0947
239.0,74.1367,0.3861
44.0,96.0013,0.3691
155.0,76.8505,0.0833
313.0,88.1419,0.3438
103.0,105.0964,0.081
28.0,85.8836,0.1529
216.0,48.7878,0.3681
298.0,110.0023,0.0971
297.0,55.0023,0.1476
288.0,69.9035,0.1737
38.0,128.0156,0.0438
145.0,34.5579,-0.0593
179.0,71.6327,0.0796
311.0,30.0,0.2152
280.0,56.2228,0.2262
57.0,84.1487,0.1739
11.0,47.8774,0.0859
52.0,63.0575,0.2636
162.0,68.5164,0.1767
85.0,52.0024,-0.2753
35.0,113.2828,0.3843
220.0,54.884,0.1831
289.0,50.3314,0.1167
317.0,64.9038,0.1352
177.0,51.9086,0.1711
222.0,13.2004,0.0568
143.0,102.6706,0.0752
160.0,33.7083,0.3512
208.0,29.3981,0.1198
181.0,45.7739,0.0816
255.0,66.5019,0.2119
280.0,71.2776,0.2297
37.0,103.9351,0.0263
305.0,39.5127,0.233
283.0,131.4962,0.1752
28.0,32.2684,0.0954
164.0,78.0577,0.3522
154.0,42.9796,0.2718
78.0,108.1954,-0.1365
130.0,34.3293,0.2936
75.0,163.9703,0.9107
165.0,45.1691,0.8215
87.0,116.4238,1.9977
301.0,92.9368,0.289
61.0,21.1483,0.1624
323.0,78.0545,0.2822
282.0,28.7924,0.1757
143.0,55.4617,0.2777
136.0,197.9002,-0.0408
248.0,66.2118,0.2298
13.0,128.9961,0.2703
142.0,87.0129,0.2282
9.0,26.8561,0.1599
58.0,36.8816,0.4189
308.0,21.5523,0.1787
178.0,64.5,0.0651
306.0,143.4721,0.143
296.0,10.1242,0.1026
177.0,23.5478,0.3381
256.0,119.365,0.3554
153.0,63.2653,0.3131
84.0,31.3129,0.7427
242.0,21.6333,0.2213
269.0,48.7468,0.1532
52.0,57.6303,0.2636
9.0,77.1038,0.2389
253.0,65.6906,0.3684
308.0,67.8122,0.0242
134.0,66.9216,0.029
42.0,70.1231,0.1267
30.0,60.208,0.1174
176.0,5.2202,0.0751
225.0,87.7568,0.0513
43.0,77.5387,0.1037
293.0,55.0318,0.2226
240.0,88.896,0.3686
67.0,81.6609,2.9684
79.0,64.5368,-0.4835
135.0,63.502,0.211
301.0,115.2128,0.289
43.0,74.2378,0.1332
184.0,33.5894,0.3695
308.0,21.6449,-0.0023
126.0,23.6907,0.2811
87.0,103.2473,1.7037
296.0,59.1545,0.1356
72.0,47.1222,0.0839
18.0,13.6565,0.1138
88.0,85.0132,0.4127
261.0,71.0211,0.2919
256.0,106.2309,0.3554
171.0,36.5034,0.2055
52.0,39.9061,0.1171
211.0,63.5177,0.2988
39.0,73.7309,0.3402
305.0,47.2149,0.0925
209.0,14.3178,0.3223
161.0,35.3871,0.1572
38.0,71.3477,0.0418
171.0,32.6267,0.0195
306.0,60.1041,0.3735
269.0,38.8973,0.1937
150.0,26.6177,0.4681
79.0,71.339,0.3085
105.0,124.913,0.3303
222.0,72.111,0.0818
96.0,905.6558,0.8831
129.0,11.7686,0.7216
47.0,83.0452,0.2206
270.0,65.5172,0.1507
86.0,121.837,-0.2613
258.0,62.452,0.0109
299.0,74.7813,0.3095
219.0,40.4753,0.0866
258.0,71.7722,0.2114
