checking_status,credit_amount,own_telephone,property_magnitude
0<=X<200,14555.0,yes,life insurance
0<=X<200,2767.0,none,car
no checking,1291.0,none,life insurance
<0,2522.0,none,life insurance
<0,915.0,none,car
no checking,1595.0,none,life insurance
<0,4605.0,none,no known property
no checking,1185.0,none,real estate
no checking,3447.0,none,real estate
no checking,1258.0,yes,real estate
no checking,717.0,none,real estate
no checking,1204.0,none,no known property
>=200,1925.0,none,real estate
no checking,433.0,none,real estate
<0,666.0,yes,real estate
>=200,2251.0,none,car
0<=X<200,2150.0,none,no known property
no checking,4151.0,none,life insurance
0<=X<200,2030.0,yes,car
0<=X<200,7418.0,none,real estate
no checking,2684.0,none,real estate
<0,2149.0,none,no known property
no checking,3812.0,yes,car
no checking,1154.0,none,real estate
<0,1657.0,none,real estate
<0,1603.0,none,car
<0,5302.0,yes,no known property
no checking,2748.0,none,no known property
no checking,1231.0,none,real estate
0<=X<200,802.0,none,car
no checking,6304.0,none,real estate
no checking,1533.0,yes,car
<0,8978.0,yes,life insurance
no checking,999.0,none,car
no checking,2662.0,none,life insurance
no checking,1402.0,yes,car
0<=X<200,12169.0,yes,no known property
0<=X<200,3060.0,none,real estate
<0,11998.0,yes,no known property
no checking,2697.0,none,real estate
no checking,2404.0,none,car
<0,1262.0,yes,life insurance
no checking,4611.0,none,life insurance
no checking,1901.0,yes,car
no checking,3368.0,yes,no known property
no checking,1574.0,none,real estate
>=200,1445.0,none,car
no checking,1520.0,none,life insurance
0<=X<200,3878.0,yes,car
<0,10722.0,yes,real estate
<0,4788.0,none,life insurance
0<=X<200,7582.0,yes,no known property
0<=X<200,1092.0,yes,real estate
<0,1024.0,none,real estate
no checking,1076.0,yes,real estate
0<=X<200,9398.0,yes,car
<0,6419.0,yes,no known property
>=200,4796.0,none,no known property
no checking,7629.0,none,car
0<=X<200,9960.0,yes,car
no checking,4675.0,none,car
no checking,1287.0,none,life insurance
no checking,2515.0,yes,real estate
0<=X<200,2745.0,yes,car
no checking,672.0,yes,real estate
0<=X<200,3804.0,yes,car
>=200,1344.0,none,real estate
<0,1038.0,yes,life insurance
no checking,10127.0,none,no known property
no checking,1543.0,none,real estate
no checking,4811.0,none,life insurance
<0,727.0,yes,no known property
0<=X<200,1237.0,none,real estate
0<=X<200,276.0,none,real estate
0<=X<200,5381.0,yes,no known property
no checking,5511.0,none,car
>=200,3749.0,none,car
0<=X<200,685.0,none,car
>=200,1494.0,none,real estate
<0,2746.0,none,car
<0,708.0,none,life insurance
0<=X<200,4351.0,yes,life insurance
no checking,701.0,none,car
<0,3643.0,none,life insurance
0<=X<200,4249.0,none,car
<0,1938.0,none,life insurance
<0,2910.0,yes,no known property
<0,2659.0,none,car
no checking,1028.0,none,real estate
<0,3398.0,none,real estate
no checking,5801.0,yes,life insurance
no checking,1525.0,yes,car
>=200,4473.0,none,car
0<=X<200,1068.0,none,car
<0,6615.0,yes,no known property
no checking,1864.0,none,real estate
0<=X<200,7408.0,none,life insurance
no checking,11590.0,none,car
<0,4110.0,none,no known property
<0,3384.0,yes,real estate
0<=X<200,2101.0,none,life insurance
<0,1275.0,none,car
<0,4169.0,none,life insurance
0<=X<200,1521.0,none,car
0<=X<200,5743.0,yes,no known property
<0,3599.0,none,car
0<=X<200,3213.0,none,real estate
0<=X<200,4439.0,yes,real estate
>=200,3949.0,none,life insurance
no checking,1459.0,none,car
0<=X<200,882.0,none,real estate
0<=X<200,3758.0,none,no known property
no checking,1743.0,none,real estate
0<=X<200,1136.0,none,no known property
no checking,1236.0,yes,real estate
0<=X<200,959.0,none,car
no checking,3229.0,yes,no known property
<0,6199.0,yes,life insurance
no checking,727.0,yes,no known property
0<=X<200,1246.0,none,real estate
no checking,2331.0,yes,real estate
no checking,4463.0,yes,car
no checking,776.0,none,real estate
<0,2406.0,none,real estate
0<=X<200,1239.0,none,no known property
>=200,3399.0,none,car
>=200,2247.0,yes,car
no checking,1766.0,none,life insurance
<0,2473.0,none,car
no checking,1542.0,yes,car
no checking,3850.0,none,car
<0,3650.0,none,car
<0,3446.0,none,car
0<=X<200,3001.0,none,real estate
no checking,3079.0,none,real estate
no checking,6070.0,yes,car
no checking,2146.0,none,real estate
no checking,13756.0,yes,no known property
0<=X<200,14782.0,yes,no known property
<0,7685.0,none,car
no checking,2320.0,none,real estate
no checking,846.0,none,no known property
0<=X<200,14318.0,yes,no known property
no checking,362.0,none,car
<0,2212.0,yes,car
0<=X<200,12976.0,yes,no known property
no checking,1283.0,none,life insurance
>=200,1330.0,none,real estate
no checking,4272.0,none,life insurance
no checking,2238.0,none,car
no checking,1126.0,yes,real estate
0<=X<200,7374.0,yes,life insurance
0<=X<200,2326.0,none,car
no checking,1449.0,none,car
no checking,1820.0,yes,life insurance
0<=X<200,983.0,none,real estate
<0,3249.0,yes,no known property
<0,1957.0,none,car
no checking,2406.0,none,car
0<=X<200,11760.0,yes,no known property
<0,2578.0,none,no known property
<0,2348.0,yes,life insurance
0<=X<200,1223.0,none,real estate
no checking,1516.0,none,real estate
no checking,1473.0,yes,real estate
0<=X<200,1887.0,none,real estate
no checking,8648.0,yes,car
no checking,802.0,none,car
0<=X<200,2899.0,none,car
0<=X<200,2039.0,yes,life insurance
no checking,2197.0,yes,car
<0,1053.0,none,real estate
no checking,3235.0,yes,car
>=200,939.0,yes,real estate
0<=X<200,1967.0,yes,car
no checking,7253.0,yes,car
no checking,2292.0,yes,car
no checking,1597.0,none,no known property
<0,1381.0,none,life insurance
no checking,5842.0,yes,life insurance
<0,2579.0,none,real estate
<0,8471.0,yes,car
no checking,2782.0,none,car
0<=X<200,1042.0,none,life insurance
no checking,3186.0,none,car
0<=X<200,2028.0,none,car
0<=X<200,958.0,none,real estate
no checking,1591.0,none,real estate
0<=X<200,2762.0,yes,life insurance
0<=X<200,2779.0,yes,car
no checking,2743.0,none,car
no checking,1149.0,none,real estate
no checking,1313.0,none,car
<0,1190.0,none,no known property
no checking,3448.0,none,real estate
0<=X<200,11328.0,yes,car
<0,1872.0,yes,no known property
no checking,2058.0,yes,real estate
<0,2136.0,none,real estate
0<=X<200,1484.0,yes,real estate
no checking,660.0,none,real estate
no checking,1287.0,yes,real estate
<0,3394.0,none,car
>=200,609.0,none,real estate
no checking,1884.0,yes,car
<0,1620.0,none,life insurance
0<=X<200,2629.0,yes,car
no checking,719.0,none,car
0<=X<200,5096.0,yes,car
no checking,1244.0,none,life insurance
<0,1842.0,yes,car
0<=X<200,2576.0,none,real estate
>=200,1424.0,yes,real estate
0<=X<200,1512.0,none,life insurance
no checking,11054.0,yes,car
no checking,518.0,none,real estate
no checking,2759.0,none,life insurance
no checking,2670.0,yes,car
<0,4817.0,yes,life insurance
no checking,2679.0,yes,no known property
<0,3905.0,none,real estate
<0,3386.0,yes,no known property
<0,343.0,none,real estate
no checking,4594.0,yes,car
<0,3620.0,none,life insurance
<0,1721.0,none,real estate
0<=X<200,3017.0,none,real estate
0<=X<200,754.0,none,life insurance
no checking,1950.0,yes,car
<0,2924.0,yes,no known property
<0,1659.0,yes,car
no checking,7238.0,none,car
no checking,2764.0,yes,car
no checking,4679.0,yes,car
0<=X<200,3092.0,yes,car
<0,448.0,none,life insurance
<0,654.0,none,car
no checking,1238.0,yes,life insurance
0<=X<200,1245.0,none,car
<0,3114.0,none,life insurance
no checking,2569.0,none,car
>=200,5152.0,none,car
0<=X<200,1037.0,none,real estate
<0,1478.0,yes,car
0<=X<200,3573.0,none,real estate
0<=X<200,1201.0,none,life insurance
<0,3622.0,yes,life insurance
no checking,960.0,none,life insurance
no checking,1163.0,yes,real estate
0<=X<200,1209.0,yes,life insurance
no checking,3077.0,yes,car
no checking,3757.0,yes,no known property
no checking,1418.0,none,real estate
no checking,3518.0,none,life insurance
no checking,1934.0,none,no known property
0<=X<200,8318.0,yes,no known property
no checking,1237.0,none,life insurance
0<=X<200,368.0,none,life insurance
<0,2122.0,none,real estate
<0,2996.0,none,car
0<=X<200,9034.0,yes,no known property
no checking,1585.0,none,life insurance
0<=X<200,1301.0,none,real estate
>=200,1323.0,yes,car
<0,3123.0,none,life insurance
<0,5493.0,none,no known property
>=200,1126.0,none,real estate
0<=X<200,1216.0,none,no known property
<0,1207.0,none,life insurance
no checking,1309.0,none,life insurance
>=200,2360.0,yes,car
0<=X<200,6850.0,yes,life insurance
no checking,1413.0,none,life insurance
no checking,8588.0,yes,car
<0,759.0,none,real estate
no checking,4686.0,yes,no known property
>=200,2687.0,yes,life insurance
0<=X<200,585.0,none,real estate
no checking,2255.0,none,life insurance
<0,609.0,none,life insurance
<0,1361.0,none,real estate
no checking,7127.0,yes,life insurance
<0,1203.0,yes,life insurance
no checking,700.0,none,no known property
no checking,5507.0,none,no known property
<0,3190.0,none,real estate
<0,7119.0,none,no known property
no checking,3488.0,none,car
0<=X<200,1113.0,none,real estate
0<=X<200,7966.0,none,car
no checking,1532.0,none,car
no checking,1503.0,none,real estate
<0,2302.0,none,car
<0,662.0,yes,real estate
0<=X<200,2273.0,none,car
0<=X<200,2631.0,yes,car
no checking,1503.0,none,real estate
no checking,1311.0,yes,life insurance
no checking,3105.0,none,car
>=200,2319.0,none,car
<0,1374.0,yes,life insurance
0<=X<200,3612.0,yes,life insurance
<0,7763.0,none,no known property
>=200,3049.0,none,life insurance
0<=X<200,1534.0,none,real estate
no checking,2032.0,yes,no known property
<0,6350.0,none,life insurance
>=200,2864.0,none,real estate
no checking,1255.0,none,real estate
<0,1333.0,none,real estate
no checking,2022.0,yes,car
no checking,1552.0,none,car
<0,626.0,none,real estate
no checking,8858.0,yes,no known property
no checking,996.0,none,real estate
no checking,1750.0,none,life insurance
<0,6999.0,yes,real estate
0<=X<200,1995.0,none,car
0<=X<200,1199.0,yes,life insurance
0<=X<200,1331.0,none,car
0<=X<200,2278.0,none,car
no checking,5003.0,yes,life insurance
<0,3552.0,none,car
0<=X<200,1928.0,none,real estate
<0,2964.0,yes,no known property
<0,1546.0,none,car
>=200,683.0,none,life insurance
0<=X<200,12389.0,yes,no known property
0<=X<200,4712.0,yes,life insurance
0<=X<200,1553.0,yes,life insurance
<0,1372.0,none,car
no checking,2578.0,none,car
0<=X<200,3979.0,yes,car
<0,6758.0,yes,car
<0,3234.0,yes,real estate
no checking,5954.0,none,car
no checking,5433.0,yes,life insurance
<0,806.0,none,life insurance
0<=X<200,1082.0,none,car
no checking,2788.0,none,car
0<=X<200,2930.0,none,real estate
no checking,1927.0,yes,car
0<=X<200,2820.0,none,car
no checking,937.0,none,car
0<=X<200,1056.0,none,real estate
0<=X<200,3124.0,none,real estate
no checking,1388.0,none,real estate
0<=X<200,2384.0,none,no known property
no checking,2133.0,yes,no known property
<0,2039.0,none,real estate
<0,2799.0,none,real estate
<0,1289.0,none,life insurance
<0,1217.0,yes,real estate
<0,2246.0,none,life insurance
<0,385.0,yes,real estate
0<=X<200,1965.0,yes,car
no checking,1572.0,none,real estate
0<=X<200,2718.0,yes,life insurance
<0,1358.0,yes,car
0<=X<200,931.0,none,life insurance
<0,1442.0,none,car
0<=X<200,4241.0,yes,real estate
no checking,2775.0,none,life insurance
no checking,3863.0,none,no known property
0<=X<200,2329.0,none,real estate
0<=X<200,918.0,none,life insurance
0<=X<200,1837.0,none,no known property
no checking,3349.0,yes,car
>=200,1275.0,none,life insurance
<0,2828.0,yes,real estate
no checking,4526.0,yes,real estate
0<=X<200,2671.0,none,no known property
no checking,2051.0,none,real estate
no checking,1300.0,none,no known property
<0,741.0,none,life insurance
>=200,1240.0,none,no known property
<0,3357.0,none,car
<0,3632.0,none,car
no checking,1808.0,none,real estate
0<=X<200,12204.0,yes,car
0<=X<200,9157.0,none,no known property
<0,3676.0,none,real estate
0<=X<200,3441.0,none,car
no checking,640.0,none,real estate
0<=X<200,3652.0,none,life insurance
no checking,1530.0,none,life insurance
no checking,3914.0,none,real estate
<0,1858.0,none,car
<0,2600.0,none,no known property
no checking,1979.0,none,car
>=200,2116.0,yes,real estate
0<=X<200,1437.0,none,no known property
no checking,4042.0,yes,real estate
no checking,3832.0,none,real estate
<0,3660.0,none,car
<0,1553.0,none,car
0<=X<200,1444.0,none,life insurance
no checking,1980.0,none,car
0<=X<200,1355.0,yes,car
no checking,1393.0,yes,life insurance
no checking,1376.0,none,car
no checking,15653.0,yes,car
no checking,1493.0,none,car
<0,4370.0,yes,life insurance
<0,750.0,none,real estate
0<=X<200,1308.0,none,car
no checking,4623.0,yes,life insurance
no checking,1851.0,yes,car
<0,1880.0,yes,life insurance
no checking,7980.0,yes,car
<0,4583.0,none,real estate
no checking,1386.0,none,life insurance
>=200,947.0,none,no known property
<0,684.0,none,car
<0,7476.0,yes,no known property
0<=X<200,1922.0,none,life insurance
<0,2303.0,none,real estate
0<=X<200,8086.0,yes,car
no checking,2346.0,yes,car
<0,3973.0,none,no known property
0<=X<200,888.0,none,car
no checking,10222.0,yes,car
0<=X<200,4221.0,none,car
0<=X<200,6361.0,yes,no known property
>=200,1297.0,none,real estate
<0,900.0,none,car
no checking,2241.0,none,real estate
0<=X<200,1050.0,yes,life insurance
>=200,1047.0,none,life insurance
no checking,6314.0,yes,no known property
0<=X<200,3496.0,yes,car
no checking,3609.0,none,real estate
<0,4843.0,yes,life insurance
>=200,3017.0,none,life insurance
no checking,4139.0,yes,life insurance
no checking,5742.0,yes,car
no checking,10366.0,yes,life insurance
no checking,2080.0,none,car
no checking,2580.0,none,real estate
no checking,4530.0,yes,car
no checking,5150.0,yes,car
0<=X<200,5595.0,none,car
<0,2384.0,none,real estate
no checking,1453.0,none,real estate
no checking,1538.0,none,no known property
no checking,2279.0,yes,no known property
no checking,1478.0,none,real estate
no checking,5103.0,yes,no known property
0<=X<200,9857.0,yes,life insurance
no checking,6527.0,yes,no known property
>=200,1347.0,yes,life insurance
0<=X<200,2862.0,none,no known property
no checking,2753.0,yes,car
<0,3651.0,none,life insurance
<0,975.0,none,life insurance
0<=X<200,2631.0,none,real estate
0<=X<200,2896.0,none,car
<0,4716.0,none,real estate
no checking,2284.0,yes,car
no checking,1236.0,none,life insurance
0<=X<200,1103.0,none,real estate
no checking,926.0,none,life insurance
no checking,1800.0,none,car
>=200,1905.0,yes,car
no checking,1123.0,none,car
<0,6331.0,yes,no known property
>=200,1377.0,yes,no known property
0<=X<200,2503.0,none,life insurance
0<=X<200,2528.0,yes,life insurance
no checking,5324.0,none,no known property
0<=X<200,6560.0,none,life insurance
0<=X<200,2969.0,none,life insurance
0<=X<200,1206.0,none,real estate
0<=X<200,2118.0,none,real estate
no checking,629.0,yes,life insurance
<0,1198.0,none,no known property
no checking,2476.0,yes,real estate
<0,1138.0,none,real estate
0<=X<200,14027.0,yes,no known property
no checking,7596.0,none,car
no checking,3077.0,yes,car
no checking,1505.0,yes,no known property
>=200,3148.0,yes,car
0<=X<200,6148.0,yes,car
>=200,1337.0,yes,car
0<=X<200,433.0,none,life insurance
<0,1228.0,none,real estate
0<=X<200,790.0,none,real estate
no checking,2570.0,none,real estate
no checking,250.0,none,real estate
no checking,1316.0,none,life insurance
<0,1882.0,none,car
0<=X<200,6416.0,none,no known property
>=200,1275.0,yes,real estate
0<=X<200,6403.0,none,car
<0,1987.0,none,real estate
0<=X<200,760.0,none,real estate
no checking,2603.0,yes,car
no checking,3380.0,none,real estate
0<=X<200,3990.0,none,no known property
0<=X<200,11560.0,none,car
<0,4380.0,yes,car
no checking,6761.0,yes,no known property
0<=X<200,4280.0,none,car
<0,2325.0,none,car
0<=X<200,1048.0,none,real estate
no checking,3160.0,yes,life insurance
<0,2483.0,yes,real estate
<0,14179.0,yes,life insurance
<0,1797.0,none,life insurance
<0,2511.0,none,car
<0,1274.0,none,real estate
no checking,5248.0,none,car
no checking,3029.0,none,car
<0,428.0,yes,life insurance
<0,976.0,none,car
0<=X<200,841.0,none,real estate
no checking,5771.0,none,car
no checking,1555.0,none,no known property
<0,1285.0,none,no known property
>=200,1299.0,none,real estate
>=200,1271.0,yes,no known property
no checking,1393.0,yes,real estate
<0,691.0,none,life insurance
no checking,5045.0,yes,car
<0,2124.0,none,real estate
<0,2214.0,none,life insurance
no checking,12680.0,yes,no known property
no checking,2463.0,yes,life insurance
0<=X<200,1155.0,none,real estate
<0,3108.0,none,life insurance
no checking,2901.0,none,real estate
0<=X<200,3617.0,yes,car
no checking,1655.0,yes,real estate
<0,2812.0,none,real estate
<0,8065.0,yes,no known property
no checking,3275.0,yes,car
no checking,2223.0,none,life insurance
>=200,1480.0,none,no known property
<0,1371.0,none,real estate
no checking,3535.0,yes,car
<0,3509.0,none,real estate
no checking,5711.0,yes,car
0<=X<200,3872.0,yes,car
0<=X<200,4933.0,none,real estate
no checking,1940.0,yes,real estate
0<=X<200,1410.0,yes,real estate
0<=X<200,836.0,none,life insurance
0<=X<200,6468.0,yes,real estate
0<=X<200,1941.0,yes,life insurance
no checking,2675.0,none,car
no checking,2751.0,yes,car
0<=X<200,6224.0,none,no known property
<0,5998.0,yes,no known property
0<=X<200,1188.0,none,life insurance
no checking,6313.0,yes,car
no checking,1221.0,none,life insurance
>=200,2892.0,none,no known property
no checking,3062.0,yes,no known property
no checking,2301.0,none,life insurance
<0,7511.0,yes,life insurance
no checking,1258.0,none,life insurance
no checking,717.0,yes,car
0<=X<200,1549.0,none,real estate
no checking,1597.0,none,no known property
0<=X<200,1795.0,yes,real estate
<0,4272.0,none,life insurance
no checking,976.0,none,car
0<=X<200,7472.0,none,real estate
<0,9271.0,yes,car
0<=X<200,590.0,none,real estate
no checking,930.0,none,real estate
0<=X<200,9283.0,yes,no known property
0<=X<200,1778.0,none,real estate
0<=X<200,907.0,yes,real estate
0<=X<200,484.0,none,real estate
<0,9629.0,yes,car
<0,3051.0,none,car
<0,3931.0,none,no known property
0<=X<200,7432.0,none,life insurance
no checking,1338.0,none,real estate
no checking,1554.0,yes,car
<0,15857.0,none,car
<0,1345.0,none,real estate
no checking,1101.0,yes,real estate
>=200,3016.0,none,car
<0,2712.0,none,life insurance
<0,731.0,none,real estate
no checking,3780.0,yes,car
<0,1602.0,yes,car
<0,3966.0,yes,real estate
no checking,4165.0,none,car
<0,8335.0,none,no known property
0<=X<200,6681.0,yes,no known property
no checking,2375.0,yes,car
<0,1216.0,yes,car
<0,11816.0,none,car
0<=X<200,5084.0,yes,car
>=200,2327.0,none,real estate
<0,1082.0,none,car
no checking,886.0,none,car
no checking,601.0,none,real estate
<0,2957.0,yes,life insurance
no checking,2611.0,none,real estate
<0,5179.0,none,life insurance
no checking,2993.0,none,real estate
no checking,1943.0,none,real estate
no checking,1559.0,yes,car
no checking,3422.0,yes,life insurance
0<=X<200,3976.0,yes,car
no checking,6761.0,none,car
no checking,1249.0,none,real estate
<0,1364.0,none,real estate
<0,709.0,none,real estate
<0,2235.0,none,life insurance
no checking,4042.0,yes,life insurance
no checking,1471.0,yes,no known property
<0,1442.0,none,no known property
no checking,10875.0,yes,car
no checking,1474.0,yes,real estate
no checking,894.0,yes,life insurance
no checking,3343.0,yes,no known property
<0,3959.0,yes,life insurance
no checking,3577.0,none,real estate
no checking,5804.0,none,real estate
no checking,2169.0,yes,car
<0,2439.0,yes,real estate
no checking,4526.0,yes,real estate
no checking,2210.0,none,real estate
no checking,2221.0,none,car
<0,2389.0,none,car
no checking,3331.0,none,life insurance
no checking,7409.0,none,life insurance
<0,652.0,none,life insurance
no checking,7678.0,yes,car
>=200,1343.0,none,real estate
<0,1382.0,yes,real estate
no checking,874.0,none,real estate
<0,3590.0,none,life insurance
0<=X<200,1322.0,none,car
<0,1940.0,yes,no known property
no checking,3595.0,none,car
<0,1422.0,yes,no known property
no checking,6742.0,none,life insurance
no checking,7814.0,yes,car
no checking,9277.0,yes,no known property
0<=X<200,2181.0,none,real estate
no checking,1098.0,none,car
0<=X<200,4057.0,yes,car
<0,795.0,none,life insurance
0<=X<200,2825.0,yes,no known property
0<=X<200,15672.0,yes,car
no checking,6614.0,yes,car
no checking,7824.0,yes,real estate
<0,2442.0,yes,car
no checking,1829.0,yes,car
<0,2171.0,none,life insurance
0<=X<200,5800.0,yes,car
no checking,1169.0,yes,life insurance
no checking,8947.0,yes,car
<0,2606.0,yes,life insurance
no checking,1592.0,none,life insurance
no checking,2186.0,none,real estate
<0,4153.0,none,car
<0,2625.0,yes,life insurance
no checking,3485.0,yes,real estate
no checking,10477.0,none,no known property
no checking,1386.0,yes,real estate
no checking,1278.0,yes,real estate
<0,1107.0,yes,real estate
<0,3763.0,none,real estate
