credit/table6.age,credit/table6.other_payment_plans,credit/table6.personal_status,credit_amount
26.0,none,male mar/wid,1076.0
45.0,none,female div/dep/mar,3835.0
32.0,none,male single,1505.0
23.0,none,female div/dep/mar,2406.0
61.0,stores,male mar/wid,1512.0
53.0,none,male single,7865.0
40.0,none,male mar/wid,3590.0
30.0,none,male single,3349.0
51.0,none,male single,7511.0
42.0,none,male single,5493.0
34.0,stores,male single,1950.0
36.0,stores,female div/dep/mar,2247.0
26.0,none,female div/dep/mar,2764.0
30.0,stores,male single,1919.0
20.0,none,male single,1313.0
35.0,none,male single,6948.0
20.0,none,female div/dep/mar,1282.0
60.0,none,male single,2032.0
39.0,none,male single,1884.0
57.0,none,female div/dep/mar,3622.0
47.0,none,male single,958.0
38.0,none,male single,5711.0
31.0,none,male single,3621.0
23.0,bank,male single,4110.0
27.0,none,female div/dep/mar,2930.0
23.0,bank,female div/dep/mar,1498.0
34.0,none,male single,2578.0
40.0,stores,male single,1358.0
32.0,none,male single,2273.0
49.0,bank,male single,3124.0
25.0,none,female div/dep/mar,2969.0
55.0,none,female div/dep/mar,1424.0
35.0,none,male single,2670.0
22.0,none,male single,1478.0
38.0,none,male single,3229.0
59.0,none,female div/dep/mar,6416.0
50.0,stores,male single,5293.0
22.0,none,male mar/wid,3832.0
28.0,none,male single,5371.0
37.0,bank,male single,1344.0
36.0,none,male single,4042.0
25.0,none,female div/dep/mar,3509.0
36.0,none,male single,2360.0
25.0,none,male mar/wid,3213.0
47.0,none,male single,1209.0
35.0,none,female div/dep/mar,1198.0
47.0,bank,male single,1984.0
41.0,stores,male single,2503.0
25.0,stores,male single,5511.0
24.0,none,female div/dep/mar,1228.0
64.0,none,male single,3832.0
67.0,none,male single,1169.0
38.0,none,male single,708.0
24.0,none,male single,6560.0
32.0,bank,male single,1552.0
26.0,none,male single,1382.0
41.0,none,male mar/wid,1503.0
25.0,bank,male single,5152.0
43.0,none,male single,2899.0
34.0,none,female div/dep/mar,2064.0
30.0,none,male single,2121.0
31.0,none,male single,2406.0
20.0,none,female div/dep/mar,3186.0
34.0,none,male mar/wid,6999.0
40.0,none,male mar/wid,1386.0
56.0,none,male single,618.0
46.0,none,male single,6842.0
30.0,stores,male div/sep,4455.0
34.0,none,male div/sep,11998.0
31.0,stores,male single,8947.0
25.0,none,female div/dep/mar,2394.0
28.0,none,male mar/wid,9398.0
29.0,stores,male single,6887.0
54.0,none,female div/dep/mar,672.0
25.0,bank,female div/dep/mar,2762.0
49.0,none,male single,5801.0
23.0,none,female div/dep/mar,2288.0
34.0,none,male single,1591.0
30.0,bank,male single,1056.0
38.0,none,female div/dep/mar,1240.0
30.0,none,male single,11054.0
36.0,none,male single,909.0
34.0,none,male single,2415.0
52.0,bank,male single,2223.0
29.0,none,male mar/wid,2108.0
27.0,bank,male single,2326.0
35.0,none,male single,1471.0
31.0,none,male div/sep,1935.0
35.0,none,female div/dep/mar,5324.0
27.0,none,male mar/wid,709.0
33.0,none,male single,1414.0
53.0,none,male single,2835.0
28.0,bank,male single,1797.0
39.0,none,male single,1037.0
41.0,bank,female div/dep/mar,5954.0
34.0,none,female div/dep/mar,4454.0
54.0,none,male single,3051.0
35.0,none,female div/dep/mar,1291.0
30.0,none,male single,3566.0
27.0,none,male mar/wid,1221.0
42.0,none,male single,1544.0
26.0,bank,male mar/wid,625.0
30.0,none,male single,2002.0
27.0,none,female div/dep/mar,3123.0
27.0,bank,male single,2708.0
37.0,none,male single,3565.0
66.0,bank,male single,1480.0
31.0,none,male single,1360.0
26.0,none,male div/sep,1158.0
29.0,none,male single,1103.0
30.0,none,female div/dep/mar,7721.0
47.0,none,male mar/wid,1217.0
52.0,none,male single,6468.0
22.0,none,male mar/wid,2039.0
29.0,bank,male single,2629.0
39.0,none,male single,1271.0
38.0,none,male single,804.0
26.0,none,male mar/wid,2069.0
32.0,bank,male single,7238.0
45.0,stores,female div/dep/mar,3049.0
28.0,none,female div/dep/mar,2631.0
21.0,none,female div/dep/mar,3441.0
28.0,none,male single,2284.0
21.0,none,female div/dep/mar,1049.0
28.0,none,male single,4169.0
30.0,none,male single,5965.0
34.0,none,male single,6850.0
40.0,none,male single,1361.0
28.0,none,female div/dep/mar,1817.0
60.0,none,male single,1940.0
32.0,none,male single,1231.0
24.0,none,female div/dep/mar,1554.0
32.0,bank,male single,629.0
33.0,bank,male mar/wid,1478.0
29.0,none,male single,11816.0
43.0,none,male single,1203.0
35.0,none,male single,2576.0
44.0,none,female div/dep/mar,12579.0
63.0,none,male single,7596.0
30.0,none,female div/dep/mar,960.0
41.0,none,male single,3979.0
33.0,none,male div/sep,2058.0
22.0,none,female div/dep/mar,3650.0
58.0,none,female div/dep/mar,1755.0
50.0,none,male single,1537.0
34.0,none,female div/dep/mar,1493.0
36.0,none,male single,12169.0
35.0,none,female div/dep/mar,10722.0
61.0,none,male single,1239.0
46.0,none,male single,727.0
36.0,none,male single,3905.0
32.0,none,female div/dep/mar,4611.0
22.0,none,female div/dep/mar,1567.0
40.0,none,male single,1647.0
42.0,none,male single,3446.0
48.0,none,male div/sep,9277.0
48.0,bank,male single,12204.0
32.0,none,male single,2978.0
26.0,none,female div/dep/mar,5433.0
22.0,none,male single,1514.0
42.0,none,male single,8086.0
43.0,none,male single,1333.0
26.0,none,female div/dep/mar,1388.0
19.0,none,female div/dep/mar,1980.0
42.0,none,male div/sep,2577.0
27.0,bank,male single,6314.0
24.0,none,male mar/wid,2080.0
20.0,bank,female div/dep/mar,2039.0
24.0,none,female div/dep/mar,874.0
31.0,none,female div/dep/mar,1957.0
70.0,bank,male single,7308.0
26.0,none,male single,1925.0
25.0,none,female div/dep/mar,1355.0
53.0,none,female div/dep/mar,795.0
47.0,none,male single,3017.0
37.0,none,female div/dep/mar,7685.0
42.0,stores,male single,2292.0
40.0,none,male single,1977.0
25.0,stores,female div/dep/mar,7855.0
31.0,bank,male single,2775.0
47.0,none,male div/sep,2353.0
30.0,none,male mar/wid,1820.0
26.0,none,male mar/wid,2445.0
35.0,none,male mar/wid,1680.0
23.0,none,female div/dep/mar,8471.0
30.0,none,male single,7966.0
35.0,none,male single,3386.0
28.0,none,male mar/wid,939.0
33.0,bank,female div/dep/mar,797.0
24.0,none,male single,1747.0
28.0,none,male single,1108.0
23.0,none,female div/dep/mar,2101.0
29.0,none,male single,6579.0
37.0,none,male single,12749.0
42.0,none,male single,522.0
22.0,stores,male single,2828.0
20.0,none,female div/dep/mar,2718.0
48.0,none,female div/dep/mar,1240.0
54.0,none,male single,1318.0
24.0,none,female div/dep/mar,4308.0
55.0,none,female div/dep/mar,2578.0
26.0,none,male mar/wid,1311.0
24.0,none,male mar/wid,6187.0
44.0,none,male single,6204.0
28.0,none,male single,1068.0
20.0,none,female div/dep/mar,1577.0
40.0,none,male single,1585.0
36.0,bank,male single,1940.0
36.0,none,male single,4241.0
74.0,none,male single,1299.0
41.0,none,male mar/wid,1469.0
29.0,none,male single,2743.0
31.0,none,male single,1963.0
30.0,none,female div/dep/mar,5096.0
33.0,none,male single,2579.0
40.0,none,female div/dep/mar,7678.0
36.0,none,male single,2181.0
56.0,none,female div/dep/mar,1538.0
52.0,none,male single,338.0
32.0,none,male single,11760.0
25.0,bank,female div/dep/mar,4736.0
51.0,none,male div/sep,2892.0
30.0,none,male mar/wid,1740.0
31.0,none,male single,9857.0
26.0,none,male single,1330.0
49.0,stores,male single,3656.0
23.0,none,female div/dep/mar,976.0
29.0,none,male div/sep,2149.0
42.0,bank,male single,7763.0
44.0,none,male div/sep,3384.0
32.0,none,female div/dep/mar,1282.0
36.0,none,female div/dep/mar,1028.0
31.0,none,male single,1393.0
30.0,bank,male single,707.0
65.0,none,male single,571.0
26.0,none,male single,8229.0
48.0,none,male single,2241.0
49.0,none,male single,2331.0
34.0,stores,male single,3496.0
28.0,none,male mar/wid,2169.0
24.0,none,female div/dep/mar,5743.0
29.0,bank,male single,11328.0
45.0,bank,male single,1750.0
42.0,none,female div/dep/mar,5084.0
21.0,none,male mar/wid,902.0
28.0,none,female div/dep/mar,3660.0
20.0,none,male single,3617.0
27.0,bank,male single,3552.0
37.0,stores,male single,1819.0
38.0,bank,male div/sep,3914.0
37.0,none,male div/sep,3878.0
47.0,bank,male single,3422.0
25.0,none,male single,2136.0
29.0,none,female div/dep/mar,7758.0
66.0,none,male single,1526.0
33.0,none,male single,6403.0
34.0,none,female div/dep/mar,1842.0
20.0,none,male mar/wid,674.0
37.0,none,female div/dep/mar,1402.0
23.0,none,male single,14555.0
62.0,none,female div/dep/mar,3757.0
27.0,none,female div/dep/mar,2132.0
42.0,none,male single,1455.0
26.0,none,male single,2687.0
30.0,none,male mar/wid,1602.0
42.0,none,female div/dep/mar,1965.0
40.0,none,male mar/wid,701.0
30.0,none,female div/dep/mar,7174.0
36.0,none,male single,1238.0
44.0,none,male single,4716.0
31.0,stores,female div/dep/mar,9566.0
32.0,stores,male single,4526.0
25.0,none,female div/dep/mar,2991.0
40.0,none,female div/dep/mar,3001.0
45.0,none,male div/sep,8978.0
39.0,none,male single,2299.0
32.0,none,male single,1136.0
34.0,none,female div/dep/mar,1501.0
27.0,none,male single,4576.0
25.0,none,female div/dep/mar,2327.0
23.0,none,female div/dep/mar,11560.0
57.0,bank,female div/dep/mar,2748.0
41.0,bank,male single,719.0
26.0,none,female div/dep/mar,4530.0
44.0,bank,male single,10127.0
26.0,none,female div/dep/mar,3599.0
23.0,none,male single,2520.0
46.0,none,male single,1582.0
27.0,none,female div/dep/mar,1924.0
40.0,none,male single,2675.0
29.0,bank,male single,2333.0
28.0,none,male single,6199.0
39.0,stores,male single,10297.0
27.0,none,male single,3416.0
22.0,none,male mar/wid,3092.0
43.0,none,female div/dep/mar,1516.0
35.0,none,male single,1979.0
28.0,none,male mar/wid,4249.0
31.0,none,male single,3430.0
26.0,none,female div/dep/mar,1778.0
39.0,none,female div/dep/mar,1188.0
55.0,bank,male single,9283.0
27.0,none,male mar/wid,1053.0
37.0,none,female div/dep/mar,3612.0
27.0,none,male single,3652.0
37.0,none,male single,1225.0
53.0,bank,female div/dep/mar,7485.0
25.0,none,male single,1258.0
47.0,none,male single,8335.0
27.0,stores,female div/dep/mar,3609.0
55.0,none,male single,1555.0
29.0,none,female div/dep/mar,3959.0
36.0,none,male single,6967.0
31.0,none,male single,7582.0
34.0,bank,female div/dep/mar,1837.0
31.0,none,female div/dep/mar,6758.0
22.0,stores,male single,2483.0
25.0,bank,male single,8072.0
30.0,none,male single,639.0
34.0,none,male single,2910.0
27.0,none,male single,7418.0
37.0,stores,male single,10222.0
22.0,none,male mar/wid,454.0
54.0,none,male single,4591.0
47.0,none,male single,3578.0
27.0,none,male single,9157.0
74.0,none,male single,4526.0
28.0,none,male div/sep,9572.0
42.0,none,female div/dep/mar,3804.0
35.0,none,male single,691.0
46.0,none,male single,2476.0
66.0,none,female div/dep/mar,790.0
34.0,none,male single,6527.0
25.0,none,male mar/wid,1264.0
23.0,none,female div/dep/mar,7127.0
30.0,none,male single,2028.0
35.0,none,female div/dep/mar,1393.0
33.0,none,female div/dep/mar,3195.0
45.0,bank,male mar/wid,339.0
43.0,none,male single,4042.0
26.0,none,female div/dep/mar,763.0
53.0,none,male single,2424.0
32.0,none,male single,4686.0
39.0,none,male single,7228.0
43.0,none,male single,7393.0
45.0,none,male single,3527.0
37.0,none,female div/dep/mar,609.0
28.0,none,female div/dep/mar,4113.0
23.0,none,female div/dep/mar,3573.0
63.0,none,male single,1520.0
31.0,none,male single,3148.0
28.0,none,male single,3595.0
27.0,none,male single,2613.0
39.0,none,male mar/wid,426.0
29.0,none,female div/dep/mar,1893.0
37.0,none,female div/dep/mar,1287.0
24.0,none,male single,2145.0
25.0,none,male single,2473.0
22.0,bank,male single,3149.0
37.0,stores,male single,2100.0
26.0,none,female div/dep/mar,1715.0
60.0,bank,female div/dep/mar,14782.0
35.0,none,male single,4679.0
54.0,bank,female div/dep/mar,3568.0
33.0,bank,male mar/wid,2235.0
32.0,none,female div/dep/mar,2528.0
28.0,stores,male single,2993.0
21.0,none,male single,3031.0
45.0,none,male single,10875.0
25.0,bank,male single,2210.0
38.0,bank,male single,1216.0
40.0,none,male single,3939.0
44.0,none,male single,2375.0
27.0,none,male mar/wid,937.0
29.0,none,male mar/wid,7166.0
36.0,none,male single,1262.0
46.0,none,female div/dep/mar,3594.0
24.0,none,male single,5848.0
48.0,bank,female div/dep/mar,1795.0
30.0,none,male single,3959.0
32.0,none,female div/dep/mar,1285.0
23.0,none,female div/dep/mar,392.0
27.0,bank,male single,10961.0
35.0,none,male single,2753.0
35.0,none,male single,1919.0
30.0,none,male single,2028.0
33.0,none,female div/dep/mar,1042.0
49.0,bank,female div/dep/mar,428.0
36.0,none,male single,2799.0
25.0,none,male single,4933.0
42.0,none,male single,10366.0
36.0,none,male div/sep,2366.0
31.0,none,male single,3378.0
38.0,none,male single,1924.0
27.0,none,male single,802.0
30.0,none,female div/dep/mar,8358.0
26.0,none,male single,1424.0
28.0,none,female div/dep/mar,4221.0
50.0,bank,male single,1559.0
24.0,none,male single,2214.0
61.0,none,male div/sep,3059.0
65.0,none,male single,930.0
31.0,bank,male single,6110.0
34.0,none,male single,2759.0
37.0,none,male single,1922.0
35.0,none,male single,4151.0
49.0,none,male single,1038.0
23.0,none,female div/dep/mar,2511.0
38.0,none,male single,5954.0
22.0,none,female div/dep/mar,1858.0
44.0,none,female div/dep/mar,760.0
46.0,none,male single,1829.0
36.0,none,male single,5302.0
22.0,none,female div/dep/mar,741.0
45.0,none,male single,1287.0
35.0,none,female div/dep/mar,1381.0
42.0,bank,male single,1346.0
50.0,none,male single,6224.0
27.0,none,female div/dep/mar,750.0
40.0,bank,male single,7824.0
23.0,none,female div/dep/mar,996.0
34.0,none,male single,2825.0
35.0,none,male single,1418.0
51.0,none,female div/dep/mar,682.0
39.0,none,female div/dep/mar,860.0
34.0,none,male single,1337.0
22.0,none,female div/dep/mar,1670.0
26.0,none,female div/dep/mar,4280.0
41.0,none,male single,6361.0
34.0,none,male single,1743.0
38.0,none,male single,754.0
39.0,none,male single,3398.0
74.0,bank,female div/dep/mar,5129.0
63.0,none,male single,781.0
32.0,none,male single,1442.0
33.0,none,male single,2051.0
22.0,none,male single,2462.0
45.0,none,male single,4006.0
27.0,bank,female div/dep/mar,951.0
45.0,bank,male single,1300.0
29.0,none,male single,1901.0
56.0,none,male single,4796.0
39.0,none,male mar/wid,1473.0
24.0,none,male single,1768.0
50.0,none,male single,3777.0
26.0,none,male single,5117.0
65.0,none,male single,3394.0
52.0,none,male single,717.0
35.0,none,male single,5842.0
30.0,none,male single,1224.0
40.0,bank,male mar/wid,1155.0
24.0,none,male single,3763.0
48.0,bank,male single,1082.0
23.0,none,male single,15672.0
29.0,none,female div/dep/mar,3499.0
21.0,none,male single,15653.0
27.0,bank,male single,8648.0
60.0,none,male div/sep,6468.0
26.0,none,female div/dep/mar,2812.0
29.0,bank,female div/dep/mar,3990.0
28.0,none,male div/sep,2142.0
64.0,none,female div/dep/mar,1364.0
38.0,none,male single,1308.0
32.0,bank,female div/dep/mar,18424.0
23.0,none,female div/dep/mar,841.0
26.0,none,male mar/wid,590.0
39.0,none,male single,3345.0
65.0,none,male single,2600.0
29.0,none,male single,3590.0
59.0,none,female div/dep/mar,5045.0
21.0,none,female div/dep/mar,1126.0
29.0,none,female div/dep/mar,1193.0
45.0,none,male single,8588.0
38.0,stores,female div/dep/mar,1533.0
26.0,bank,male mar/wid,1345.0
30.0,none,female div/dep/mar,1620.0
29.0,none,male single,9034.0
28.0,none,male single,6260.0
25.0,none,female div/dep/mar,2631.0
35.0,none,male single,2141.0
24.0,none,female div/dep/mar,652.0
50.0,none,female div/dep/mar,2671.0
31.0,none,male single,5742.0
63.0,bank,male single,13756.0
33.0,bank,male single,4844.0
23.0,none,female div/dep/mar,1943.0
25.0,none,male mar/wid,866.0
35.0,none,male single,1941.0
33.0,none,male single,5150.0
48.0,none,female div/dep/mar,4351.0
38.0,bank,male single,947.0
20.0,none,female div/dep/mar,1967.0
33.0,bank,female div/dep/mar,2186.0
37.0,none,male single,2118.0
28.0,none,male mar/wid,776.0
23.0,none,female div/dep/mar,3812.0
30.0,none,male single,14179.0
29.0,none,male single,1437.0
23.0,none,male single,1444.0
49.0,bank,male single,1445.0
34.0,none,male mar/wid,2320.0
26.0,none,male single,4272.0
30.0,none,male single,4657.0
26.0,none,female div/dep/mar,10974.0
46.0,none,male single,3931.0
28.0,none,male single,654.0
23.0,none,female div/dep/mar,3758.0
27.0,none,male single,1309.0
26.0,bank,male single,4370.0
64.0,none,female div/dep/mar,1409.0
58.0,none,male single,1867.0
20.0,none,male single,1107.0
49.0,none,male div/sep,640.0
33.0,none,male mar/wid,1474.0
35.0,none,male single,976.0
27.0,none,male single,7980.0
68.0,none,male single,6761.0
28.0,none,female div/dep/mar,2278.0
37.0,none,male single,1154.0
33.0,none,female div/dep/mar,1927.0
22.0,none,female div/dep/mar,2301.0
29.0,none,female div/dep/mar,1412.0
24.0,none,male single,4605.0
24.0,none,male single,1800.0
34.0,none,male single,1898.0
26.0,none,female div/dep/mar,1113.0
25.0,none,male single,4746.0
23.0,none,male mar/wid,1534.0
33.0,none,male single,950.0
35.0,none,male single,2346.0
43.0,stores,male single,2442.0
28.0,none,male single,3343.0
28.0,none,male mar/wid,1249.0
46.0,none,female div/dep/mar,1845.0
28.0,none,female div/dep/mar,2603.0
58.0,none,male single,15945.0
37.0,none,male single,12389.0
29.0,bank,female div/dep/mar,915.0
41.0,none,male single,3160.0
27.0,none,male single,1082.0
25.0,none,male div/sep,975.0
37.0,none,male single,3620.0
27.0,none,male single,1995.0
34.0,none,male single,6614.0
43.0,none,male single,1935.0
39.0,bank,male single,3249.0
32.0,none,male single,3062.0
46.0,none,male mar/wid,2348.0
31.0,none,male div/sep,3108.0
59.0,none,male single,1364.0
23.0,none,male single,3913.0
53.0,none,male single,4870.0
28.0,none,male single,3617.0
40.0,none,male single,4623.0
43.0,none,male single,1344.0
29.0,bank,female div/dep/mar,3357.0
45.0,none,male single,6761.0
37.0,none,female div/dep/mar,2022.0
41.0,bank,female div/dep/mar,250.0
47.0,none,male mar/wid,5103.0
36.0,none,male single,2337.0
24.0,none,female div/dep/mar,7472.0
25.0,bank,female div/dep/mar,1882.0
22.0,none,female div/dep/mar,806.0
43.0,none,male single,2197.0
49.0,none,male div/sep,1126.0
23.0,none,female div/dep/mar,1352.0
30.0,none,male single,5866.0
67.0,none,female div/dep/mar,3872.0
46.0,none,male mar/wid,2611.0
52.0,none,male single,936.0
21.0,none,female div/dep/mar,10144.0
42.0,none,female div/dep/mar,409.0
38.0,none,male single,7814.0
26.0,none,male single,4210.0
26.0,none,male single,3518.0
36.0,none,male single,3275.0
57.0,none,male single,14318.0
49.0,none,female div/dep/mar,1092.0
31.0,bank,female div/dep/mar,2782.0
41.0,bank,male single,2580.0
19.0,none,female div/dep/mar,983.0
36.0,bank,female div/dep/mar,1572.0
32.0,none,male mar/wid,1301.0
35.0,bank,male single,2728.0
61.0,none,male single,1953.0
23.0,none,female div/dep/mar,448.0
26.0,none,female div/dep/mar,1386.0
34.0,none,male single,1860.0
64.0,none,female div/dep/mar,753.0
44.0,none,male single,5507.0
63.0,none,male single,2957.0
29.0,none,male single,3556.0
26.0,none,female div/dep/mar,3181.0
24.0,none,male single,9629.0
28.0,none,female div/dep/mar,1403.0
48.0,none,male single,1288.0
30.0,bank,male single,2333.0
27.0,none,female div/dep/mar,1237.0
52.0,none,female div/dep/mar,362.0
68.0,none,male single,1175.0
30.0,none,male single,12680.0
31.0,bank,male single,3104.0
41.0,none,male single,6313.0
25.0,none,male single,1262.0
27.0,none,male single,1422.0
24.0,none,female div/dep/mar,1275.0
26.0,none,male single,5248.0
31.0,bank,male mar/wid,6148.0
21.0,none,female div/dep/mar,2570.0
26.0,none,female div/dep/mar,9960.0
46.0,none,male single,6331.0
46.0,none,female div/dep/mar,2251.0
47.0,none,male mar/wid,1316.0
36.0,none,male single,1721.0
29.0,none,female div/dep/mar,2679.0
40.0,none,male div/sep,3857.0
54.0,none,female div/dep/mar,7432.0
35.0,none,female div/dep/mar,2439.0
25.0,none,male single,999.0
27.0,none,male mar/wid,1168.0
30.0,none,female div/dep/mar,1055.0
22.0,stores,male single,1331.0
36.0,none,male div/sep,1275.0
28.0,bank,male mar/wid,1887.0
47.0,none,female div/dep/mar,1377.0
24.0,none,male single,2569.0
24.0,none,male mar/wid,3016.0
25.0,none,female div/dep/mar,8065.0
39.0,none,male single,11938.0
23.0,none,female div/dep/mar,1553.0
27.0,none,female div/dep/mar,1449.0
22.0,none,female div/dep/mar,5951.0
30.0,none,male mar/wid,2063.0
28.0,bank,female div/dep/mar,2923.0
24.0,bank,male single,1546.0
44.0,none,female div/dep/mar,5943.0
38.0,none,male single,10623.0
33.0,bank,female div/dep/mar,1474.0
25.0,none,female div/dep/mar,1371.0
28.0,none,male mar/wid,1413.0
46.0,none,male single,1149.0
31.0,none,male single,4817.0
27.0,none,male single,3850.0
54.0,none,male single,1409.0
31.0,none,male div/sep,1521.0
35.0,none,female div/dep/mar,1592.0
37.0,bank,male single,4712.0
43.0,none,female div/dep/mar,1459.0
37.0,none,male single,3535.0
51.0,none,male single,1595.0
60.0,none,male single,1199.0
31.0,bank,male single,2746.0
45.0,none,female div/dep/mar,2329.0
40.0,stores,male single,7374.0
28.0,none,male single,3060.0
33.0,none,female div/dep/mar,1131.0
29.0,none,male single,5179.0
23.0,none,male mar/wid,1936.0
32.0,none,male div/sep,4583.0
43.0,none,male div/sep,15857.0
44.0,none,male single,1163.0
49.0,none,male single,8386.0
24.0,none,female div/dep/mar,1207.0
23.0,none,female div/dep/mar,1216.0
27.0,none,female div/dep/mar,1185.0
36.0,none,male div/sep,1372.0
40.0,none,female div/dep/mar,1322.0
29.0,bank,female div/dep/mar,683.0
27.0,none,male single,1347.0
33.0,bank,female div/dep/mar,3244.0
31.0,none,male single,1410.0
40.0,none,male single,1905.0
26.0,none,female div/dep/mar,3114.0
37.0,none,male single,2279.0
26.0,none,male single,759.0
23.0,none,female div/dep/mar,1961.0
33.0,none,male mar/wid,1245.0
49.0,bank,male single,2964.0
40.0,none,female div/dep/mar,894.0
37.0,none,female div/dep/mar,1274.0
24.0,bank,female div/dep/mar,2150.0
44.0,none,male single,2647.0
25.0,bank,male mar/wid,685.0
32.0,none,male single,4594.0
36.0,none,male single,2872.0
26.0,none,female div/dep/mar,2404.0
57.0,none,female div/dep/mar,1231.0
34.0,none,male single,3844.0
25.0,none,female div/dep/mar,2238.0
24.0,none,male single,9271.0
40.0,none,male single,1597.0
42.0,none,female div/dep/mar,8318.0
33.0,bank,male single,4439.0
63.0,none,male single,1655.0
24.0,none,female div/dep/mar,1237.0
23.0,none,male mar/wid,900.0
24.0,none,female div/dep/mar,8487.0
35.0,stores,male single,1050.0
46.0,none,male single,1343.0
36.0,bank,male single,7057.0
23.0,none,female div/dep/mar,2146.0
47.0,none,male single,12612.0
27.0,none,female div/dep/mar,343.0
75.0,none,male single,6615.0
51.0,none,male single,3342.0
29.0,none,female div/dep/mar,1659.0
41.0,none,female div/dep/mar,3868.0
22.0,none,female div/dep/mar,1808.0
48.0,none,male single,2134.0
29.0,none,female div/dep/mar,1123.0
46.0,none,male single,730.0
39.0,bank,male single,6458.0
32.0,none,male single,2662.0
27.0,none,male single,5804.0
25.0,none,male mar/wid,1484.0
24.0,none,female div/dep/mar,932.0
