Key_1_1,property_magnitude,installment_commitment,foreign_worker
479,real estate,3.0,yes
831,real estate,2.0,yes
684,real estate,2.0,yes
109,real estate,4.0,yes
211,car,4.0,yes
937,real estate,4.0,yes
309,car,4.0,yes
923,life insurance,2.0,yes
573,car,2.0,yes
247,car,4.0,yes
455,car,2.0,yes
564,life insurance,4.0,yes
408,car,4.0,yes
460,real estate,2.0,yes
10,real estate,3.0,yes
954,life insurance,3.0,yes
979,car,4.0,yes
749,real estate,3.0,yes
411,life insurance,2.0,yes
52,car,4.0,yes
199,life insurance,2.0,yes
87,no known property,4.0,yes
214,real estate,2.0,yes
591,no known property,3.0,yes
265,real estate,4.0,yes
491,car,3.0,yes
718,life insurance,1.0,yes
493,real estate,2.0,yes
603,real estate,3.0,yes
509,life insurance,4.0,yes
735,car,4.0,yes
756,no known property,3.0,yes
483,car,4.0,yes
786,car,3.0,yes
976,car,2.0,yes
881,car,3.0,yes
429,car,3.0,yes
578,life insurance,4.0,yes
775,car,4.0,yes
519,life insurance,4.0,yes
526,car,4.0,yes
826,life insurance,1.0,yes
563,car,4.0,yes
838,car,4.0,yes
387,real estate,3.0,yes
666,car,4.0,yes
135,real estate,1.0,yes
788,life insurance,4.0,yes
868,life insurance,4.0,yes
471,life insurance,3.0,yes
812,real estate,4.0,yes
743,life insurance,4.0,yes
421,car,2.0,yes
736,no known property,4.0,yes
745,real estate,3.0,no
275,life insurance,2.0,yes
930,no known property,2.0,yes
116,no known property,2.0,yes
904,life insurance,1.0,yes
412,life insurance,4.0,yes
475,real estate,3.0,no
988,car,2.0,yes
636,no known property,4.0,yes
646,life insurance,4.0,yes
282,real estate,4.0,yes
59,car,2.0,yes
194,life insurance,4.0,yes
473,no known property,2.0,yes
853,real estate,2.0,yes
57,no known property,4.0,yes
635,life insurance,4.0,yes
994,life insurance,4.0,yes
870,car,2.0,yes
866,life insurance,1.0,yes
922,life insurance,4.0,yes
752,car,4.0,yes
379,real estate,4.0,yes
972,no known property,2.0,yes
115,life insurance,2.0,yes
189,real estate,4.0,yes
905,life insurance,4.0,yes
381,life insurance,4.0,no
43,real estate,2.0,no
84,life insurance,2.0,yes
710,life insurance,3.0,yes
245,no known property,4.0,yes
470,no known property,3.0,yes
298,real estate,2.0,yes
864,no known property,3.0,yes
288,car,3.0,yes
190,real estate,4.0,yes
101,car,2.0,yes
64,car,4.0,yes
261,real estate,2.0,yes
693,car,4.0,yes
739,real estate,3.0,yes
797,car,3.0,yes
917,car,2.0,yes
273,real estate,4.0,yes
284,life insurance,4.0,yes
993,car,4.0,yes
180,car,2.0,yes
551,life insurance,4.0,yes
285,life insurance,3.0,yes
328,no known property,4.0,yes
193,life insurance,1.0,yes
385,real estate,1.0,yes
589,no known property,4.0,yes
996,life insurance,4.0,yes
96,real estate,2.0,yes
158,real estate,4.0,yes
90,real estate,4.0,yes
966,car,4.0,yes
375,car,3.0,yes
558,real estate,4.0,yes
344,no known property,2.0,yes
334,real estate,4.0,yes
585,life insurance,2.0,yes
971,real estate,1.0,yes
830,car,4.0,yes
439,life insurance,4.0,yes
630,car,2.0,yes
51,car,3.0,yes
399,life insurance,1.0,yes
801,car,3.0,yes
590,real estate,2.0,yes
269,no known property,4.0,yes
176,car,4.0,yes
336,life insurance,2.0,yes
378,no known property,1.0,yes
4,life insurance,4.0,yes
91,life insurance,3.0,yes
517,car,2.0,yes
255,car,2.0,yes
545,car,4.0,yes
750,car,3.0,yes
983,real estate,4.0,yes
2,car,3.0,yes
34,life insurance,2.0,yes
606,life insurance,4.0,yes
216,car,4.0,yes
499,car,2.0,yes
893,real estate,2.0,yes
645,car,3.0,yes
638,car,4.0,yes
304,car,4.0,yes
794,real estate,3.0,yes
653,real estate,1.0,yes
44,real estate,4.0,yes
163,no known property,4.0,yes
512,no known property,4.0,yes
140,real estate,1.0,yes
305,real estate,2.0,yes
316,life insurance,4.0,yes
714,real estate,4.0,yes
485,life insurance,3.0,yes
520,real estate,4.0,yes
260,car,4.0,yes
787,real estate,4.0,yes
654,life insurance,3.0,yes
880,car,4.0,yes
407,life insurance,1.0,yes
248,car,4.0,yes
793,real estate,1.0,yes
208,life insurance,2.0,yes
572,no known property,1.0,yes
562,real estate,1.0,yes
234,life insurance,4.0,yes
333,no known property,4.0,yes
121,car,4.0,yes
525,life insurance,4.0,yes
748,real estate,4.0,yes
668,real estate,3.0,yes
76,no known property,4.0,yes
117,real estate,4.0,yes
69,no known property,4.0,yes
500,life insurance,4.0,yes
26,no known property,1.0,yes
38,car,4.0,yes
340,car,1.0,no
446,real estate,4.0,yes
624,car,2.0,yes
751,no known property,2.0,yes
36,real estate,1.0,yes
153,car,2.0,yes
169,real estate,4.0,yes
776,life insurance,2.0,yes
888,life insurance,3.0,yes
235,real estate,4.0,yes
554,car,4.0,yes
258,no known property,4.0,yes
203,car,4.0,yes
431,real estate,2.0,yes
816,no known property,2.0,yes
644,real estate,4.0,yes
883,real estate,1.0,yes
119,car,2.0,yes
960,car,4.0,yes
405,life insurance,4.0,yes
941,car,2.0,yes
695,car,3.0,yes
402,life insurance,4.0,yes
742,car,4.0,yes
0,car,2.0,yes
152,car,4.0,yes
307,life insurance,3.0,yes
629,real estate,4.0,yes
414,car,4.0,yes
308,life insurance,3.0,yes
173,car,4.0,yes
33,life insurance,4.0,yes
8,car,4.0,yes
382,real estate,2.0,yes
792,life insurance,2.0,yes
529,no known property,4.0,yes
422,car,4.0,yes
897,no known property,4.0,yes
515,life insurance,4.0,yes
990,real estate,4.0,yes
93,car,2.0,yes
918,car,4.0,yes
280,no known property,1.0,yes
95,car,4.0,yes
829,car,4.0,yes
593,car,2.0,yes
936,no known property,2.0,yes
907,real estate,3.0,yes
257,car,4.0,yes
21,real estate,4.0,yes
171,life insurance,4.0,yes
677,life insurance,2.0,yes
811,no known property,4.0,yes
595,car,4.0,yes
225,real estate,1.0,yes
18,life insurance,3.0,yes
420,life insurance,4.0,yes
886,life insurance,3.0,yes
546,car,2.0,yes
781,life insurance,2.0,yes
796,car,1.0,yes
513,real estate,4.0,yes
98,car,4.0,yes
929,car,4.0,yes
315,car,2.0,yes
49,real estate,4.0,yes
617,real estate,3.0,yes
192,no known property,1.0,yes
876,no known property,4.0,yes
233,real estate,4.0,yes
151,no known property,3.0,yes
607,life insurance,1.0,yes
712,no known property,4.0,yes
72,life insurance,4.0,yes
477,no known property,4.0,yes
530,car,3.0,yes
570,life insurance,1.0,yes
860,life insurance,2.0,yes
587,real estate,3.0,yes
825,car,2.0,yes
351,real estate,1.0,yes
242,car,4.0,yes
837,life insurance,2.0,yes
1,real estate,4.0,no
89,life insurance,1.0,yes
594,car,4.0,yes
145,car,4.0,yes
892,car,4.0,yes
9,no known property,4.0,yes
924,no known property,4.0,yes
111,life insurance,4.0,yes
419,life insurance,4.0,yes
318,no known property,1.0,yes
890,life insurance,3.0,yes
817,life insurance,4.0,yes
521,real estate,4.0,yes
632,real estate,2.0,yes
967,life insurance,4.0,yes
148,no known property,4.0,yes
390,real estate,4.0,yes
377,real estate,4.0,yes
218,no known property,4.0,yes
99,car,1.0,yes
124,car,3.0,yes
548,no known property,4.0,yes
352,car,3.0,yes
601,car,3.0,yes
720,car,4.0,yes
295,life insurance,4.0,yes
903,real estate,4.0,yes
523,real estate,4.0,yes
123,real estate,3.0,yes
368,real estate,2.0,yes
184,life insurance,2.0,yes
394,car,4.0,yes
857,no known property,4.0,yes
45,real estate,2.0,yes
271,car,1.0,yes
544,real estate,2.0,yes
694,real estate,4.0,yes
452,car,2.0,yes
197,real estate,1.0,yes
357,no known property,3.0,yes
690,car,1.0,yes
576,car,3.0,yes
150,no known property,1.0,yes
25,car,4.0,yes
665,car,2.0,yes
682,real estate,4.0,yes
175,life insurance,4.0,yes
806,real estate,4.0,yes
805,life insurance,4.0,yes
974,life insurance,3.0,yes
855,car,1.0,yes
952,real estate,3.0,yes
943,car,1.0,yes
778,car,2.0,yes
614,life insurance,2.0,yes
717,car,1.0,yes
300,real estate,2.0,yes
480,car,4.0,yes
299,no known property,4.0,yes
643,no known property,4.0,yes
934,real estate,1.0,no
655,no known property,3.0,yes
345,real estate,2.0,yes
861,life insurance,4.0,yes
559,car,1.0,yes
272,real estate,4.0,yes
708,life insurance,4.0,yes
622,no known property,4.0,yes
30,life insurance,4.0,yes
468,real estate,3.0,yes
681,life insurance,2.0,yes
689,real estate,1.0,yes
964,car,1.0,yes
388,real estate,2.0,yes
854,real estate,2.0,yes
611,no known property,3.0,yes
620,car,1.0,yes
205,life insurance,4.0,yes
290,no known property,2.0,yes
410,real estate,4.0,yes
435,car,4.0,yes
543,real estate,4.0,yes
243,car,4.0,yes
427,car,2.0,yes
196,real estate,2.0,yes
863,real estate,4.0,yes
146,real estate,2.0,yes
279,life insurance,4.0,yes
921,real estate,1.0,yes
232,life insurance,4.0,yes
229,car,3.0,yes
393,car,4.0,yes
891,no known property,4.0,yes
711,no known property,4.0,yes
810,life insurance,2.0,yes
224,car,3.0,yes
651,life insurance,1.0,yes
582,no known property,3.0,yes
640,no known property,4.0,yes
575,life insurance,2.0,yes
568,life insurance,1.0,yes
373,life insurance,2.0,yes
313,car,4.0,yes
268,real estate,4.0,yes
397,no known property,4.0,yes
914,real estate,3.0,yes
628,life insurance,1.0,yes
574,car,4.0,yes
931,real estate,1.0,yes
945,car,2.0,yes
571,real estate,3.0,no
973,real estate,4.0,yes
212,no known property,1.0,yes
311,real estate,2.0,yes
79,real estate,3.0,yes
516,real estate,3.0,yes
360,car,4.0,yes
619,car,3.0,yes
716,no known property,4.0,yes
995,life insurance,2.0,yes
618,real estate,1.0,yes
432,car,1.0,yes
71,car,2.0,yes
41,real estate,4.0,yes
451,real estate,3.0,yes
62,car,3.0,yes
292,life insurance,2.0,yes
533,real estate,4.0,yes
809,car,3.0,yes
804,car,4.0,yes
764,real estate,1.0,yes
507,car,2.0,yes
985,no known property,3.0,yes
448,no known property,4.0,yes
39,car,4.0,yes
364,car,4.0,yes
728,car,2.0,yes
490,car,2.0,yes
762,real estate,2.0,yes
63,car,4.0,yes
322,car,4.0,yes
277,real estate,1.0,yes
55,life insurance,4.0,yes
955,real estate,4.0,yes
759,life insurance,4.0,yes
237,real estate,3.0,yes
454,real estate,4.0,yes
75,car,4.0,yes
586,life insurance,4.0,yes
789,car,2.0,yes
698,car,2.0,yes
413,real estate,4.0,yes
442,real estate,3.0,yes
790,real estate,4.0,yes
660,life insurance,4.0,no
264,life insurance,3.0,yes
579,no known property,4.0,yes
132,no known property,4.0,yes
650,car,2.0,yes
819,real estate,4.0,yes
738,life insurance,4.0,yes
166,no known property,4.0,yes
484,life insurance,3.0,yes
661,real estate,1.0,no
612,real estate,4.0,yes
276,car,4.0,yes
125,real estate,4.0,yes
314,real estate,4.0,yes
938,real estate,2.0,yes
510,car,2.0,yes
836,car,4.0,yes
552,life insurance,2.0,yes
785,life insurance,3.0,yes
489,life insurance,4.0,yes
963,car,2.0,yes
779,real estate,1.0,no
474,real estate,4.0,yes
802,real estate,4.0,yes
363,life insurance,2.0,yes
73,car,4.0,yes
332,no known property,3.0,yes
730,car,4.0,yes
939,no known property,3.0,yes
329,life insurance,2.0,yes
841,car,3.0,yes
369,no known property,2.0,yes
209,real estate,4.0,yes
108,car,4.0,yes
670,car,3.0,yes
259,life insurance,4.0,yes
602,no known property,4.0,yes
975,car,2.0,yes
437,car,4.0,yes
598,real estate,3.0,yes
927,car,4.0,yes
274,car,4.0,yes
61,life insurance,4.0,no
453,car,3.0,yes
547,life insurance,4.0,yes
935,car,3.0,yes
780,life insurance,4.0,yes
107,life insurance,3.0,no
462,real estate,1.0,yes
845,car,2.0,yes
341,life insurance,2.0,yes
241,real estate,2.0,yes
488,no known property,2.0,yes
741,real estate,4.0,yes
97,real estate,4.0,yes
32,real estate,2.0,yes
625,real estate,2.0,no
652,car,2.0,yes
965,life insurance,1.0,yes
487,real estate,1.0,yes
962,real estate,4.0,yes
763,car,2.0,yes
685,car,2.0,yes
827,real estate,1.0,yes
104,life insurance,4.0,yes
204,life insurance,1.0,no
5,real estate,1.0,yes
82,no known property,1.0,yes
139,life insurance,1.0,yes
492,life insurance,4.0,yes
969,no known property,4.0,yes
889,car,4.0,yes
430,life insurance,3.0,yes
92,life insurance,3.0,yes
294,life insurance,2.0,yes
449,car,4.0,yes
11,life insurance,4.0,yes
865,no known property,4.0,yes
198,car,4.0,yes
782,real estate,4.0,yes
317,life insurance,4.0,no
149,car,4.0,yes
926,real estate,3.0,yes
569,life insurance,4.0,yes
48,car,4.0,yes
42,no known property,4.0,yes
287,real estate,3.0,yes
958,car,4.0,yes
560,no known property,4.0,yes
159,life insurance,2.0,yes
610,life insurance,2.0,yes
758,real estate,3.0,no
761,car,4.0,yes
182,real estate,2.0,yes
734,life insurance,4.0,yes
724,car,1.0,yes
424,no known property,4.0,yes
358,no known property,4.0,yes
263,life insurance,4.0,yes
704,car,2.0,yes
596,car,3.0,yes
325,car,2.0,yes
401,car,3.0,yes
164,car,4.0,yes
970,life insurance,4.0,yes
675,life insurance,4.0,yes
354,life insurance,4.0,yes
833,real estate,2.0,yes
885,car,3.0,yes
147,no known property,4.0,yes
326,real estate,2.0,yes
672,life insurance,1.0,yes
291,no known property,3.0,yes
997,car,3.0,yes
138,life insurance,3.0,yes
226,car,4.0,yes
627,life insurance,4.0,yes
740,car,4.0,yes
254,life insurance,2.0,yes
249,real estate,1.0,yes
709,real estate,4.0,yes
557,life insurance,1.0,yes
847,no known property,1.0,yes
186,no known property,4.0,yes
843,car,4.0,yes
37,car,3.0,yes
127,real estate,2.0,yes
676,life insurance,4.0,yes
615,car,4.0,yes
531,life insurance,2.0,yes
312,life insurance,2.0,yes
174,car,3.0,yes
207,car,1.0,yes
469,life insurance,2.0,yes
134,life insurance,2.0,yes
396,life insurance,4.0,yes
528,life insurance,2.0,yes
168,real estate,2.0,yes
100,no known property,4.0,yes
992,life insurance,4.0,yes
769,life insurance,2.0,yes
696,car,4.0,yes
80,car,2.0,yes
440,life insurance,4.0,yes
465,car,4.0,yes
713,real estate,3.0,yes
70,life insurance,4.0,yes
406,car,4.0,yes
167,no known property,4.0,yes
846,car,3.0,yes
