credit_amount,job,property_magnitude,purpose
2132.0,skilled,real estate,furniture/equipment
4281.0,skilled,car,furniture/equipment
2366.0,high qualif/self emp/mgmt,car,new car
1835.0,skilled,real estate,radio/tv
3868.0,high qualif/self emp/mgmt,car,used car
1768.0,unskilled resident,real estate,furniture/equipment
781.0,skilled,no known property,new car
1924.0,skilled,real estate,furniture/equipment
2121.0,skilled,life insurance,new car
701.0,unskilled resident,real estate,radio/tv
639.0,skilled,car,repairs
1860.0,high qualif/self emp/mgmt,car,used car
3499.0,skilled,real estate,new car
8487.0,skilled,car,new car
6887.0,skilled,life insurance,education
2708.0,unskilled resident,life insurance,furniture/equipment
1984.0,skilled,no known property,furniture/equipment
10144.0,skilled,real estate,radio/tv
1240.0,skilled,real estate,radio/tv
8613.0,skilled,car,used car
766.0,unskilled resident,real estate,radio/tv
2728.0,skilled,real estate,radio/tv
1881.0,unskilled resident,car,radio/tv
709.0,unemp/unskilled non res,real estate,new car
4795.0,high qualif/self emp/mgmt,no known property,radio/tv
3416.0,high qualif/self emp/mgmt,car,radio/tv
2462.0,skilled,car,furniture/equipment
2288.0,skilled,life insurance,furniture/equipment
3566.0,skilled,car,business
860.0,skilled,no known property,new car
682.0,skilled,car,new car
5371.0,skilled,life insurance,furniture/equipment
1582.0,skilled,car,radio/tv
1346.0,skilled,no known property,radio/tv
1924.0,skilled,life insurance,radio/tv
5848.0,skilled,car,radio/tv
7758.0,skilled,no known property,used car
6967.0,high qualif/self emp/mgmt,car,business
1282.0,skilled,car,furniture/equipment
1288.0,skilled,real estate,repairs
339.0,unskilled resident,car,retraining
3512.0,skilled,car,new car
1898.0,unskilled resident,real estate,radio/tv
2872.0,skilled,real estate,radio/tv
1055.0,skilled,life insurance,new car
1262.0,skilled,life insurance,domestic appliance
7308.0,high qualif/self emp/mgmt,no known property,new car
909.0,skilled,life insurance,new car
2978.0,skilled,car,furniture/equipment
1131.0,skilled,car,furniture/equipment
1577.0,skilled,real estate,furniture/equipment
3972.0,skilled,life insurance,furniture/equipment
1935.0,skilled,real estate,business
950.0,skilled,car,new car
763.0,skilled,real estate,furniture/equipment
2064.0,high qualif/self emp/mgmt,life insurance,furniture/equipment
1414.0,skilled,real estate,radio/tv
3414.0,skilled,life insurance,education
7485.0,high qualif/self emp/mgmt,real estate,used car
2577.0,skilled,car,furniture/equipment
338.0,skilled,car,radio/tv
1963.0,high qualif/self emp/mgmt,car,radio/tv
571.0,skilled,real estate,new car
9572.0,skilled,car,business
4455.0,high qualif/self emp/mgmt,real estate,business
1647.0,unskilled resident,life insurance,new car
3777.0,skilled,real estate,furniture/equipment
884.0,skilled,car,new car
1360.0,skilled,life insurance,radio/tv
5129.0,high qualif/self emp/mgmt,no known property,used car
1175.0,unemp/unskilled non res,car,new car
674.0,skilled,life insurance,radio/tv
3244.0,skilled,car,furniture/equipment
4591.0,high qualif/self emp/mgmt,life insurance,business
3844.0,unskilled resident,no known property,business
3915.0,skilled,car,business
2108.0,skilled,real estate,radio/tv
3031.0,skilled,life insurance,radio/tv
1501.0,high qualif/self emp/mgmt,car,education
1382.0,skilled,car,radio/tv
951.0,skilled,car,furniture/equipment
2760.0,skilled,no known property,used car
4297.0,high qualif/self emp/mgmt,no known property,furniture/equipment
936.0,skilled,car,education
1168.0,unskilled resident,real estate,new car
5117.0,skilled,car,business
902.0,skilled,life insurance,retraining
1495.0,unskilled resident,real estate,new car
10623.0,high qualif/self emp/mgmt,no known property,used car
1935.0,skilled,real estate,furniture/equipment
1424.0,skilled,life insurance,domestic appliance
6568.0,unskilled resident,car,business
1413.0,skilled,life insurance,used car
3074.0,skilled,real estate,radio/tv
3835.0,unskilled resident,real estate,radio/tv
5293.0,skilled,life insurance,business
1908.0,high qualif/self emp/mgmt,real estate,business
3342.0,skilled,car,radio/tv
932.0,unskilled resident,life insurance,retraining
3104.0,skilled,life insurance,business
3913.0,skilled,real estate,radio/tv
3021.0,unskilled resident,real estate,furniture/equipment
1364.0,skilled,car,new car
625.0,unskilled resident,real estate,radio/tv
1200.0,skilled,life insurance,education
707.0,skilled,real estate,radio/tv
2978.0,skilled,real estate,business
4657.0,skilled,car,used car
2613.0,skilled,car,repairs
10961.0,skilled,no known property,radio/tv
7865.0,high qualif/self emp/mgmt,no known property,furniture/equipment
1478.0,skilled,car,radio/tv
3149.0,skilled,no known property,furniture/equipment
4210.0,skilled,car,radio/tv
2507.0,unskilled resident,no known property,new car
2141.0,skilled,no known property,radio/tv
866.0,unskilled resident,real estate,radio/tv
1544.0,unskilled resident,real estate,radio/tv
1823.0,high qualif/self emp/mgmt,car,radio/tv
14555.0,unemp/unskilled non res,life insurance,new car
2767.0,unskilled resident,car,business
1291.0,skilled,life insurance,radio/tv
2522.0,skilled,life insurance,radio/tv
915.0,skilled,car,new car
1595.0,skilled,life insurance,radio/tv
4605.0,skilled,no known property,used car
1185.0,skilled,real estate,business
3447.0,unskilled resident,real estate,retraining
1258.0,skilled,real estate,business
717.0,skilled,real estate,radio/tv
1204.0,skilled,no known property,new car
1925.0,skilled,real estate,furniture/equipment
433.0,skilled,real estate,radio/tv
666.0,unskilled resident,real estate,new car
2251.0,unskilled resident,car,furniture/equipment
2150.0,skilled,no known property,new car
4151.0,skilled,life insurance,furniture/equipment
2030.0,skilled,car,furniture/equipment
7418.0,unskilled resident,real estate,radio/tv
2684.0,unskilled resident,real estate,radio/tv
2149.0,skilled,no known property,radio/tv
3812.0,skilled,car,used car
1154.0,unskilled resident,real estate,radio/tv
1657.0,skilled,real estate,furniture/equipment
1603.0,skilled,car,radio/tv
5302.0,high qualif/self emp/mgmt,no known property,new car
2748.0,unskilled resident,no known property,education
1231.0,unskilled resident,real estate,new car
802.0,skilled,car,radio/tv
6304.0,skilled,real estate,business
1533.0,skilled,car,radio/tv
8978.0,high qualif/self emp/mgmt,life insurance,new car
999.0,skilled,car,radio/tv
2662.0,skilled,life insurance,new car
1402.0,skilled,car,furniture/equipment
12169.0,high qualif/self emp/mgmt,no known property,new car
3060.0,skilled,real estate,radio/tv
11998.0,unskilled resident,no known property,repairs
2697.0,skilled,real estate,radio/tv
2404.0,skilled,car,radio/tv
1262.0,unskilled resident,life insurance,furniture/equipment
4611.0,skilled,life insurance,furniture/equipment
1901.0,high qualif/self emp/mgmt,car,radio/tv
3368.0,skilled,no known property,used car
1574.0,skilled,real estate,furniture/equipment
1445.0,unskilled resident,car,radio/tv
1520.0,skilled,life insurance,furniture/equipment
3878.0,skilled,car,new car
10722.0,unskilled resident,real estate,new car
4788.0,skilled,life insurance,used car
7582.0,high qualif/self emp/mgmt,no known property,other
1092.0,skilled,real estate,radio/tv
1024.0,skilled,real estate,radio/tv
1076.0,skilled,real estate,business
9398.0,high qualif/self emp/mgmt,car,used car
6419.0,high qualif/self emp/mgmt,no known property,used car
4796.0,skilled,no known property,used car
7629.0,high qualif/self emp/mgmt,car,business
9960.0,skilled,car,furniture/equipment
4675.0,skilled,car,used car
1287.0,unskilled resident,life insurance,new car
2515.0,skilled,real estate,furniture/equipment
2745.0,skilled,car,furniture/equipment
672.0,unemp/unskilled non res,real estate,new car
3804.0,skilled,car,radio/tv
1344.0,unskilled resident,real estate,new car
1038.0,skilled,life insurance,new car
10127.0,skilled,no known property,new car
1543.0,skilled,real estate,furniture/equipment
4811.0,unskilled resident,life insurance,used car
727.0,unskilled resident,no known property,radio/tv
1237.0,skilled,real estate,furniture/equipment
276.0,unskilled resident,real estate,new car
5381.0,unemp/unskilled non res,no known property,other
5511.0,skilled,car,furniture/equipment
3749.0,skilled,car,furniture/equipment
685.0,unskilled resident,car,new car
1494.0,unskilled resident,real estate,new car
2746.0,skilled,car,furniture/equipment
708.0,unskilled resident,life insurance,furniture/equipment
4351.0,unskilled resident,life insurance,furniture/equipment
701.0,skilled,car,education
3643.0,unskilled resident,life insurance,furniture/equipment
4249.0,high qualif/self emp/mgmt,car,new car
1938.0,skilled,life insurance,radio/tv
2910.0,high qualif/self emp/mgmt,no known property,used car
2659.0,skilled,car,furniture/equipment
1028.0,skilled,real estate,new car
3398.0,unskilled resident,real estate,new car
5801.0,skilled,life insurance,furniture/equipment
1525.0,skilled,car,new car
4473.0,skilled,car,radio/tv
1068.0,skilled,car,radio/tv
6615.0,high qualif/self emp/mgmt,no known property,used car
1864.0,skilled,real estate,education
7408.0,high qualif/self emp/mgmt,life insurance,new car
11590.0,unskilled resident,car,used car
4110.0,skilled,no known property,furniture/equipment
3384.0,high qualif/self emp/mgmt,real estate,furniture/equipment
2101.0,unskilled resident,life insurance,radio/tv
1275.0,skilled,car,domestic appliance
4169.0,skilled,life insurance,furniture/equipment
1521.0,unskilled resident,car,furniture/equipment
5743.0,skilled,no known property,education
3599.0,unskilled resident,car,furniture/equipment
3213.0,skilled,real estate,radio/tv
4439.0,high qualif/self emp/mgmt,real estate,business
3949.0,unskilled resident,life insurance,new car
1459.0,unskilled resident,car,radio/tv
882.0,skilled,real estate,radio/tv
3758.0,unemp/unskilled non res,no known property,radio/tv
1743.0,unskilled resident,real estate,business
1136.0,skilled,no known property,education
1236.0,skilled,real estate,domestic appliance
959.0,skilled,car,furniture/equipment
3229.0,high qualif/self emp/mgmt,no known property,used car
6199.0,skilled,life insurance,radio/tv
727.0,skilled,no known property,education
1246.0,unskilled resident,real estate,new car
2331.0,skilled,real estate,radio/tv
4463.0,high qualif/self emp/mgmt,car,radio/tv
776.0,skilled,real estate,radio/tv
2406.0,skilled,real estate,furniture/equipment
1239.0,skilled,no known property,education
3399.0,high qualif/self emp/mgmt,car,radio/tv
2247.0,skilled,car,new car
1766.0,skilled,life insurance,furniture/equipment
2473.0,unemp/unskilled non res,car,furniture/equipment
1542.0,skilled,car,business
3850.0,skilled,car,used car
3650.0,skilled,car,furniture/equipment
3446.0,skilled,car,furniture/equipment
3001.0,skilled,real estate,furniture/equipment
3079.0,skilled,real estate,new car
6070.0,skilled,car,radio/tv
2146.0,skilled,real estate,furniture/equipment
13756.0,high qualif/self emp/mgmt,no known property,new car
14782.0,high qualif/self emp/mgmt,no known property,other
7685.0,skilled,car,business
2320.0,skilled,real estate,radio/tv
846.0,skilled,no known property,radio/tv
14318.0,high qualif/self emp/mgmt,no known property,new car
362.0,unskilled resident,car,new car
2212.0,skilled,car,furniture/equipment
12976.0,high qualif/self emp/mgmt,no known property,used car
1283.0,skilled,life insurance,new car
1330.0,skilled,real estate,new car
4272.0,unskilled resident,life insurance,business
2238.0,skilled,car,radio/tv
1126.0,skilled,real estate,radio/tv
7374.0,high qualif/self emp/mgmt,life insurance,furniture/equipment
2326.0,skilled,car,business
1449.0,skilled,car,business
1820.0,high qualif/self emp/mgmt,life insurance,new car
983.0,unskilled resident,real estate,furniture/equipment
3249.0,high qualif/self emp/mgmt,no known property,new car
1957.0,skilled,car,radio/tv
2406.0,high qualif/self emp/mgmt,car,furniture/equipment
11760.0,skilled,no known property,education
2578.0,high qualif/self emp/mgmt,no known property,furniture/equipment
2348.0,skilled,life insurance,furniture/equipment
1223.0,skilled,real estate,new car
1516.0,unskilled resident,real estate,radio/tv
1473.0,skilled,real estate,radio/tv
1887.0,skilled,real estate,business
8648.0,skilled,car,business
802.0,unskilled resident,car,new car
2899.0,skilled,car,new car
2039.0,skilled,life insurance,radio/tv
2197.0,skilled,car,used car
1053.0,skilled,real estate,radio/tv
3235.0,high qualif/self emp/mgmt,car,radio/tv
939.0,skilled,real estate,new car
1967.0,skilled,car,radio/tv
7253.0,high qualif/self emp/mgmt,car,used car
2292.0,high qualif/self emp/mgmt,car,business
1597.0,unskilled resident,no known property,new car
1381.0,skilled,life insurance,new car
5842.0,skilled,life insurance,used car
2579.0,unskilled resident,real estate,new car
8471.0,skilled,car,education
2782.0,high qualif/self emp/mgmt,car,new car
1042.0,skilled,life insurance,new car
3186.0,skilled,car,new car
2028.0,skilled,car,used car
958.0,unskilled resident,real estate,new car
1591.0,high qualif/self emp/mgmt,real estate,furniture/equipment
2762.0,skilled,life insurance,furniture/equipment
2779.0,skilled,car,used car
2743.0,skilled,car,radio/tv
1149.0,skilled,real estate,radio/tv
1313.0,skilled,car,furniture/equipment
1190.0,unemp/unskilled non res,no known property,repairs
3448.0,unskilled resident,real estate,business
11328.0,high qualif/self emp/mgmt,car,other
1872.0,high qualif/self emp/mgmt,no known property,furniture/equipment
2058.0,skilled,real estate,repairs
2136.0,skilled,real estate,furniture/equipment
1484.0,skilled,real estate,radio/tv
660.0,unskilled resident,real estate,repairs
1287.0,skilled,real estate,new car
3394.0,unemp/unskilled non res,car,repairs
609.0,unemp/unskilled non res,real estate,business
1884.0,high qualif/self emp/mgmt,car,new car
1620.0,skilled,life insurance,furniture/equipment
2629.0,skilled,car,other
719.0,unskilled resident,car,education
5096.0,high qualif/self emp/mgmt,car,furniture/equipment
1244.0,unskilled resident,life insurance,education
1842.0,skilled,car,new car
2576.0,skilled,real estate,radio/tv
1424.0,high qualif/self emp/mgmt,real estate,furniture/equipment
1512.0,skilled,life insurance,repairs
11054.0,high qualif/self emp/mgmt,car,used car
518.0,skilled,real estate,radio/tv
2759.0,skilled,life insurance,furniture/equipment
2670.0,high qualif/self emp/mgmt,car,used car
4817.0,skilled,life insurance,new car
2679.0,high qualif/self emp/mgmt,no known property,used car
3905.0,skilled,real estate,new car
3386.0,skilled,no known property,used car
343.0,skilled,real estate,domestic appliance
4594.0,skilled,car,radio/tv
3620.0,skilled,life insurance,furniture/equipment
1721.0,skilled,real estate,new car
3017.0,high qualif/self emp/mgmt,real estate,furniture/equipment
754.0,skilled,life insurance,retraining
1950.0,skilled,car,business
2924.0,skilled,no known property,used car
1659.0,unskilled resident,car,radio/tv
7238.0,skilled,car,radio/tv
2764.0,skilled,car,business
4679.0,unskilled resident,car,used car
3092.0,skilled,car,radio/tv
448.0,skilled,life insurance,education
654.0,unskilled resident,car,new car
1238.0,high qualif/self emp/mgmt,life insurance,retraining
1245.0,skilled,car,radio/tv
3114.0,skilled,life insurance,furniture/equipment
2569.0,skilled,car,used car
5152.0,skilled,car,radio/tv
1037.0,unskilled resident,real estate,business
1478.0,skilled,car,furniture/equipment
3573.0,unskilled resident,real estate,radio/tv
1201.0,skilled,life insurance,new car
3622.0,skilled,life insurance,furniture/equipment
960.0,skilled,life insurance,furniture/equipment
1163.0,skilled,real estate,new car
1209.0,high qualif/self emp/mgmt,life insurance,new car
3077.0,skilled,car,radio/tv
3757.0,skilled,no known property,new car
1418.0,unskilled resident,real estate,new car
3518.0,skilled,life insurance,new car
1934.0,skilled,no known property,radio/tv
8318.0,high qualif/self emp/mgmt,no known property,business
1237.0,skilled,life insurance,radio/tv
368.0,skilled,life insurance,radio/tv
2122.0,unskilled resident,real estate,new car
2996.0,skilled,car,furniture/equipment
9034.0,high qualif/self emp/mgmt,no known property,furniture/equipment
1585.0,skilled,life insurance,furniture/equipment
1301.0,unskilled resident,real estate,radio/tv
1323.0,skilled,car,new car
3123.0,skilled,life insurance,new car
5493.0,skilled,no known property,used car
1126.0,skilled,real estate,radio/tv
1216.0,skilled,no known property,radio/tv
1207.0,skilled,life insurance,new car
1309.0,unskilled resident,life insurance,new car
2360.0,skilled,car,used car
6850.0,high qualif/self emp/mgmt,life insurance,new car
1413.0,skilled,life insurance,radio/tv
8588.0,high qualif/self emp/mgmt,car,used car
759.0,skilled,real estate,new car
4686.0,high qualif/self emp/mgmt,no known property,used car
2687.0,skilled,life insurance,business
585.0,skilled,real estate,radio/tv
2255.0,skilled,life insurance,new car
609.0,skilled,life insurance,new car
1361.0,unskilled resident,real estate,new car
7127.0,skilled,life insurance,furniture/equipment
1203.0,skilled,life insurance,new car
700.0,skilled,no known property,radio/tv
5507.0,skilled,no known property,repairs
3190.0,skilled,real estate,radio/tv
7119.0,skilled,no known property,furniture/equipment
3488.0,skilled,car,used car
1113.0,unskilled resident,real estate,radio/tv
7966.0,skilled,car,used car
1532.0,skilled,car,education
1503.0,unskilled resident,real estate,radio/tv
2302.0,skilled,car,radio/tv
662.0,unskilled resident,real estate,new car
2273.0,skilled,car,education
2631.0,skilled,car,new car
1503.0,skilled,real estate,used car
1311.0,skilled,life insurance,radio/tv
3105.0,skilled,car,radio/tv
2319.0,skilled,car,education
1374.0,high qualif/self emp/mgmt,life insurance,new car
3612.0,skilled,life insurance,furniture/equipment
7763.0,high qualif/self emp/mgmt,no known property,new car
3049.0,unskilled resident,life insurance,furniture/equipment
1534.0,skilled,real estate,radio/tv
2032.0,skilled,no known property,new car
6350.0,skilled,life insurance,furniture/equipment
2864.0,unskilled resident,real estate,furniture/equipment
1255.0,unskilled resident,real estate,new car
1333.0,skilled,real estate,new car
2022.0,skilled,car,new car
1552.0,skilled,car,radio/tv
626.0,unskilled resident,real estate,radio/tv
8858.0,skilled,no known property,used car
996.0,skilled,real estate,repairs
1750.0,unskilled resident,life insurance,radio/tv
6999.0,skilled,real estate,radio/tv
1995.0,skilled,car,new car
1199.0,high qualif/self emp/mgmt,life insurance,education
1331.0,skilled,car,radio/tv
2278.0,skilled,car,new car
5003.0,skilled,life insurance,new car
3552.0,skilled,car,furniture/equipment
1928.0,unskilled resident,real estate,furniture/equipment
2964.0,skilled,no known property,used car
1546.0,unskilled resident,car,radio/tv
683.0,skilled,life insurance,radio/tv
12389.0,skilled,no known property,new car
4712.0,high qualif/self emp/mgmt,life insurance,business
1553.0,skilled,life insurance,radio/tv
1372.0,skilled,car,new car
2578.0,skilled,car,radio/tv
3979.0,skilled,car,radio/tv
6758.0,skilled,car,radio/tv
3234.0,unskilled resident,real estate,furniture/equipment
5954.0,skilled,car,radio/tv
5433.0,high qualif/self emp/mgmt,life insurance,used car
806.0,unskilled resident,life insurance,business
1082.0,unskilled resident,car,radio/tv
2788.0,skilled,car,furniture/equipment
2930.0,skilled,real estate,radio/tv
1927.0,skilled,car,education
2820.0,skilled,car,new car
937.0,unskilled resident,car,retraining
1056.0,skilled,real estate,new car
3124.0,unskilled resident,real estate,new car
1388.0,skilled,real estate,furniture/equipment
2384.0,unskilled resident,no known property,repairs
2133.0,high qualif/self emp/mgmt,no known property,new car
2039.0,skilled,real estate,furniture/equipment
2799.0,skilled,real estate,new car
1289.0,unskilled resident,life insurance,furniture/equipment
1217.0,unskilled resident,real estate,domestic appliance
2246.0,skilled,life insurance,furniture/equipment
385.0,unskilled resident,real estate,radio/tv
1965.0,skilled,car,new car
1572.0,unskilled resident,real estate,business
2718.0,unskilled resident,life insurance,new car
1358.0,high qualif/self emp/mgmt,car,other
931.0,unskilled resident,life insurance,new car
1442.0,skilled,car,new car
4241.0,unskilled resident,real estate,business
2775.0,skilled,life insurance,new car
3863.0,skilled,no known property,business
2329.0,skilled,real estate,radio/tv
918.0,skilled,life insurance,furniture/equipment
1837.0,unskilled resident,no known property,education
3349.0,high qualif/self emp/mgmt,car,furniture/equipment
1275.0,skilled,life insurance,furniture/equipment
2828.0,skilled,real estate,furniture/equipment
4526.0,high qualif/self emp/mgmt,real estate,business
2671.0,skilled,no known property,radio/tv
2051.0,skilled,real estate,radio/tv
1300.0,skilled,no known property,used car
741.0,skilled,life insurance,domestic appliance
1240.0,unskilled resident,no known property,new car
3357.0,skilled,car,radio/tv
3632.0,skilled,car,used car
1808.0,skilled,real estate,furniture/equipment
12204.0,high qualif/self emp/mgmt,car,business
9157.0,high qualif/self emp/mgmt,no known property,radio/tv
3676.0,skilled,real estate,new car
3441.0,skilled,car,furniture/equipment
640.0,unskilled resident,real estate,new car
3652.0,skilled,life insurance,business
1530.0,skilled,life insurance,new car
3914.0,skilled,real estate,business
1858.0,skilled,car,furniture/equipment
2600.0,skilled,no known property,radio/tv
1979.0,skilled,car,radio/tv
2116.0,skilled,real estate,furniture/equipment
1437.0,skilled,no known property,new car
4042.0,skilled,real estate,furniture/equipment
3832.0,unskilled resident,real estate,education
3660.0,skilled,car,radio/tv
1553.0,skilled,car,furniture/equipment
1444.0,skilled,life insurance,radio/tv
1980.0,skilled,car,furniture/equipment
1355.0,unskilled resident,car,new car
1393.0,skilled,life insurance,education
1376.0,skilled,car,radio/tv
15653.0,skilled,car,radio/tv
1493.0,skilled,car,radio/tv
4370.0,skilled,life insurance,radio/tv
750.0,unemp/unskilled non res,real estate,education
1308.0,unskilled resident,car,repairs
4623.0,high qualif/self emp/mgmt,life insurance,education
1851.0,skilled,car,radio/tv
1880.0,high qualif/self emp/mgmt,life insurance,radio/tv
7980.0,skilled,car,business
4583.0,skilled,real estate,furniture/equipment
1386.0,skilled,life insurance,new car
947.0,skilled,no known property,new car
684.0,unskilled resident,car,education
7476.0,high qualif/self emp/mgmt,no known property,education
1922.0,unskilled resident,life insurance,furniture/equipment
2303.0,skilled,real estate,new car
8086.0,high qualif/self emp/mgmt,car,new car
2346.0,skilled,car,used car
3973.0,skilled,no known property,new car
888.0,unskilled resident,car,new car
10222.0,skilled,car,radio/tv
4221.0,skilled,car,business
6361.0,skilled,no known property,furniture/equipment
1297.0,skilled,real estate,radio/tv
900.0,skilled,car,new car
2241.0,skilled,real estate,furniture/equipment
1050.0,high qualif/self emp/mgmt,life insurance,furniture/equipment
1047.0,unskilled resident,life insurance,education
6314.0,high qualif/self emp/mgmt,no known property,other
3496.0,skilled,car,furniture/equipment
3609.0,skilled,real estate,business
4843.0,skilled,life insurance,new car
3017.0,skilled,life insurance,radio/tv
4139.0,unskilled resident,life insurance,business
5742.0,skilled,car,business
10366.0,high qualif/self emp/mgmt,life insurance,new car
2080.0,skilled,car,new car
2580.0,unskilled resident,real estate,business
4530.0,high qualif/self emp/mgmt,car,radio/tv
5150.0,skilled,car,furniture/equipment
5595.0,skilled,car,radio/tv
2384.0,unskilled resident,real estate,radio/tv
1453.0,skilled,real estate,radio/tv
1538.0,skilled,no known property,education
2279.0,skilled,no known property,radio/tv
1478.0,skilled,real estate,radio/tv
5103.0,skilled,no known property,radio/tv
9857.0,unskilled resident,life insurance,business
6527.0,skilled,no known property,new car
1347.0,skilled,life insurance,radio/tv
2862.0,skilled,no known property,new car
2753.0,skilled,car,radio/tv
3651.0,skilled,life insurance,new car
975.0,skilled,life insurance,furniture/equipment
2631.0,unskilled resident,real estate,repairs
2896.0,skilled,car,radio/tv
4716.0,unskilled resident,real estate,new car
2284.0,skilled,car,radio/tv
1236.0,skilled,life insurance,used car
1103.0,skilled,real estate,radio/tv
926.0,unemp/unskilled non res,life insurance,new car
1800.0,skilled,car,radio/tv
1905.0,high qualif/self emp/mgmt,car,education
1123.0,unskilled resident,car,furniture/equipment
6331.0,skilled,no known property,used car
1377.0,skilled,no known property,radio/tv
2503.0,skilled,life insurance,business
2528.0,skilled,life insurance,business
5324.0,skilled,no known property,new car
6560.0,skilled,life insurance,new car
2969.0,skilled,life insurance,furniture/equipment
1206.0,skilled,real estate,radio/tv
2118.0,unskilled resident,real estate,radio/tv
629.0,high qualif/self emp/mgmt,life insurance,radio/tv
1198.0,skilled,no known property,education
2476.0,high qualif/self emp/mgmt,real estate,used car
1138.0,unskilled resident,real estate,radio/tv
14027.0,high qualif/self emp/mgmt,no known property,new car
7596.0,skilled,car,used car
3077.0,skilled,car,radio/tv
1505.0,high qualif/self emp/mgmt,no known property,radio/tv
3148.0,skilled,car,radio/tv
6148.0,skilled,car,used car
1337.0,high qualif/self emp/mgmt,car,radio/tv
