credit/table11.job,credit/table11.property_magnitude,credit/table11.purpose,credit_amount
unskilled resident,car,radio/tv,1569.0
skilled,no known property,education,5998.0
skilled,life insurance,radio/tv,1169.0
skilled,real estate,new car,1223.0
skilled,car,furniture/equipment,2659.0
skilled,no known property,radio/tv,700.0
skilled,real estate,used car,2848.0
skilled,life insurance,radio/tv,1366.0
unskilled resident,no known property,education,9055.0
unskilled resident,real estate,radio/tv,1987.0
skilled,no known property,used car,2924.0
skilled,car,business,2622.0
skilled,real estate,business,6304.0
high qualif/self emp/mgmt,car,radio/tv,4463.0
skilled,life insurance,business,7409.0
skilled,car,new car,717.0
skilled,car,furniture/equipment,2212.0
skilled,car,furniture/equipment,1553.0
high qualif/self emp/mgmt,no known property,used car,12976.0
skilled,no known property,radio/tv,1934.0
skilled,car,furniture/equipment,4281.0
skilled,life insurance,new car,2625.0
unskilled resident,real estate,new car,666.0
skilled,car,used car,3488.0
high qualif/self emp/mgmt,car,new car,5234.0
skilled,car,radio/tv,1382.0
high qualif/self emp/mgmt,car,furniture/equipment,3349.0
skilled,life insurance,radio/tv,1213.0
unskilled resident,life insurance,new car,836.0
unskilled resident,life insurance,furniture/equipment,1289.0
unskilled resident,life insurance,furniture/equipment,1258.0
skilled,life insurance,radio/tv,2522.0
skilled,real estate,business,1076.0
unskilled resident,real estate,radio/tv,3835.0
high qualif/self emp/mgmt,no known property,radio/tv,1505.0
skilled,real estate,furniture/equipment,2406.0
skilled,life insurance,repairs,1512.0
high qualif/self emp/mgmt,no known property,furniture/equipment,7865.0
unemp/unskilled non res,car,business,3590.0
skilled,no known property,furniture/equipment,3349.0
skilled,life insurance,used car,7511.0
skilled,no known property,used car,5493.0
skilled,car,business,1950.0
skilled,car,new car,2247.0
skilled,car,business,2764.0
high qualif/self emp/mgmt,no known property,radio/tv,1919.0
skilled,car,furniture/equipment,1313.0
high qualif/self emp/mgmt,car,used car,6948.0
skilled,car,furniture/equipment,1282.0
skilled,no known property,new car,2032.0
high qualif/self emp/mgmt,car,new car,1884.0
skilled,life insurance,furniture/equipment,3622.0
unskilled resident,real estate,new car,958.0
high qualif/self emp/mgmt,car,used car,5711.0
skilled,car,radio/tv,3621.0
skilled,no known property,furniture/equipment,4110.0
skilled,real estate,radio/tv,2930.0
skilled,car,radio/tv,1498.0
skilled,car,radio/tv,2578.0
high qualif/self emp/mgmt,car,other,1358.0
skilled,car,education,2273.0
unskilled resident,real estate,new car,3124.0
skilled,life insurance,furniture/equipment,2969.0
high qualif/self emp/mgmt,real estate,furniture/equipment,1424.0
high qualif/self emp/mgmt,car,used car,2670.0
skilled,car,radio/tv,1478.0
high qualif/self emp/mgmt,no known property,used car,3229.0
skilled,no known property,business,6416.0
skilled,life insurance,business,5293.0
skilled,life insurance,furniture/equipment,3832.0
skilled,life insurance,furniture/equipment,5371.0
unskilled resident,real estate,new car,1344.0
skilled,real estate,furniture/equipment,4042.0
skilled,real estate,radio/tv,3509.0
skilled,car,used car,2360.0
skilled,real estate,radio/tv,3213.0
high qualif/self emp/mgmt,life insurance,new car,1209.0
skilled,no known property,education,1198.0
skilled,no known property,furniture/equipment,1984.0
skilled,life insurance,business,2503.0
skilled,car,furniture/equipment,5511.0
unskilled resident,real estate,new car,1228.0
unskilled resident,real estate,education,3832.0
skilled,real estate,radio/tv,1169.0
unskilled resident,life insurance,furniture/equipment,708.0
skilled,life insurance,new car,6560.0
skilled,car,radio/tv,1552.0
skilled,real estate,business,1382.0
skilled,real estate,used car,1503.0
skilled,car,radio/tv,5152.0
skilled,car,new car,2899.0
high qualif/self emp/mgmt,life insurance,furniture/equipment,2064.0
skilled,life insurance,new car,2121.0
high qualif/self emp/mgmt,car,furniture/equipment,2406.0
skilled,car,new car,3186.0
skilled,real estate,radio/tv,6999.0
skilled,real estate,radio/tv,1386.0
skilled,real estate,radio/tv,618.0
high qualif/self emp/mgmt,life insurance,used car,6842.0
high qualif/self emp/mgmt,real estate,business,4455.0
unskilled resident,no known property,repairs,11998.0
high qualif/self emp/mgmt,car,used car,8947.0
skilled,car,radio/tv,2394.0
high qualif/self emp/mgmt,car,used car,9398.0
skilled,life insurance,education,6887.0
unemp/unskilled non res,real estate,new car,672.0
skilled,life insurance,furniture/equipment,2762.0
skilled,life insurance,furniture/equipment,5801.0
skilled,life insurance,furniture/equipment,2288.0
high qualif/self emp/mgmt,real estate,furniture/equipment,1591.0
skilled,real estate,new car,1056.0
skilled,real estate,radio/tv,1240.0
high qualif/self emp/mgmt,car,used car,11054.0
skilled,life insurance,new car,909.0
skilled,real estate,radio/tv,2415.0
skilled,life insurance,radio/tv,2223.0
skilled,real estate,radio/tv,2108.0
skilled,car,business,2326.0
skilled,no known property,radio/tv,1471.0
skilled,real estate,business,1935.0
skilled,no known property,new car,5324.0
unemp/unskilled non res,real estate,new car,709.0
skilled,real estate,radio/tv,1414.0
skilled,life insurance,furniture/equipment,2835.0
unskilled resident,life insurance,business,1797.0
unskilled resident,real estate,business,1037.0
unskilled resident,real estate,business,5954.0
skilled,real estate,radio/tv,4454.0
skilled,car,domestic appliance,3051.0
skilled,life insurance,radio/tv,1291.0
skilled,car,business,3566.0
skilled,life insurance,furniture/equipment,1221.0
unskilled resident,real estate,radio/tv,1544.0
unskilled resident,real estate,radio/tv,625.0
skilled,life insurance,new car,2002.0
skilled,life insurance,new car,3123.0
unskilled resident,life insurance,furniture/equipment,2708.0
unskilled resident,life insurance,education,3565.0
unemp/unskilled non res,no known property,new car,1480.0
skilled,life insurance,radio/tv,1360.0
skilled,car,radio/tv,1158.0
skilled,real estate,radio/tv,1103.0
skilled,life insurance,furniture/equipment,7721.0
unskilled resident,real estate,domestic appliance,1217.0
high qualif/self emp/mgmt,no known property,radio/tv,6468.0
skilled,life insurance,radio/tv,2039.0
skilled,car,other,2629.0
skilled,no known property,radio/tv,1271.0
skilled,car,radio/tv,804.0
skilled,car,furniture/equipment,2069.0
skilled,car,radio/tv,7238.0
unskilled resident,life insurance,furniture/equipment,3049.0
skilled,car,new car,2631.0
skilled,car,furniture/equipment,3441.0
skilled,car,radio/tv,2284.0
skilled,life insurance,furniture/equipment,1049.0
skilled,life insurance,furniture/equipment,4169.0
high qualif/self emp/mgmt,car,used car,5965.0
high qualif/self emp/mgmt,life insurance,new car,6850.0
unskilled resident,real estate,new car,1361.0
skilled,no known property,furniture/equipment,1817.0
skilled,real estate,new car,1940.0
unskilled resident,real estate,new car,1231.0
skilled,car,radio/tv,1554.0
high qualif/self emp/mgmt,life insurance,radio/tv,629.0
skilled,real estate,radio/tv,1478.0
skilled,car,business,11816.0
skilled,life insurance,new car,1203.0
skilled,real estate,radio/tv,2576.0
high qualif/self emp/mgmt,no known property,used car,12579.0
skilled,car,used car,7596.0
skilled,life insurance,furniture/equipment,960.0
skilled,car,radio/tv,3979.0
skilled,real estate,repairs,2058.0
skilled,car,furniture/equipment,3650.0
unskilled resident,real estate,other,1755.0
skilled,real estate,radio/tv,1537.0
skilled,car,radio/tv,1493.0
high qualif/self emp/mgmt,no known property,new car,12169.0
unskilled resident,real estate,new car,10722.0
skilled,no known property,education,1239.0
skilled,no known property,education,727.0
skilled,real estate,new car,3905.0
skilled,life insurance,furniture/equipment,4611.0
skilled,car,radio/tv,1567.0
unskilled resident,life insurance,new car,1647.0
skilled,car,furniture/equipment,3446.0
skilled,no known property,used car,9277.0
high qualif/self emp/mgmt,car,business,12204.0
skilled,real estate,business,2978.0
high qualif/self emp/mgmt,life insurance,used car,5433.0
skilled,real estate,repairs,1514.0
high qualif/self emp/mgmt,car,new car,8086.0
skilled,real estate,new car,1333.0
skilled,real estate,furniture/equipment,1388.0
skilled,car,furniture/equipment,1980.0
skilled,car,furniture/equipment,2577.0
high qualif/self emp/mgmt,no known property,other,6314.0
skilled,car,new car,2080.0
skilled,real estate,furniture/equipment,2039.0
skilled,real estate,domestic appliance,874.0
skilled,car,radio/tv,1957.0
high qualif/self emp/mgmt,no known property,new car,7308.0
skilled,real estate,furniture/equipment,1925.0
unskilled resident,car,new car,1355.0
skilled,life insurance,education,795.0
skilled,life insurance,radio/tv,3017.0
skilled,car,business,7685.0
high qualif/self emp/mgmt,car,business,2292.0
high qualif/self emp/mgmt,no known property,education,1977.0
skilled,real estate,new car,7855.0
skilled,life insurance,new car,2775.0
skilled,life insurance,new car,2353.0
high qualif/self emp/mgmt,life insurance,new car,1820.0
skilled,car,used car,2445.0
skilled,real estate,radio/tv,1680.0
skilled,car,education,8471.0
skilled,car,used car,7966.0
skilled,no known property,used car,3386.0
skilled,real estate,new car,939.0
unskilled resident,life insurance,radio/tv,797.0
unskilled resident,life insurance,furniture/equipment,1747.0
skilled,real estate,repairs,1108.0
unskilled resident,life insurance,radio/tv,2101.0
high qualif/self emp/mgmt,no known property,used car,6579.0
high qualif/self emp/mgmt,car,radio/tv,12749.0
skilled,life insurance,radio/tv,522.0
skilled,real estate,furniture/equipment,2828.0
unskilled resident,life insurance,new car,2718.0
unskilled resident,no known property,new car,1240.0
skilled,real estate,new car,1318.0
skilled,life insurance,business,4308.0
high qualif/self emp/mgmt,no known property,furniture/equipment,2578.0
skilled,life insurance,radio/tv,1311.0
skilled,car,used car,6187.0
unskilled resident,real estate,repairs,6204.0
skilled,car,radio/tv,1068.0
skilled,real estate,furniture/equipment,1577.0
skilled,life insurance,furniture/equipment,1585.0
high qualif/self emp/mgmt,no known property,radio/tv,1940.0
unskilled resident,real estate,business,4241.0
unemp/unskilled non res,real estate,new car,1299.0
unskilled resident,real estate,new car,1469.0
skilled,car,radio/tv,2743.0
high qualif/self emp/mgmt,car,radio/tv,1963.0
high qualif/self emp/mgmt,car,furniture/equipment,5096.0
unskilled resident,real estate,new car,2579.0
skilled,car,furniture/equipment,7678.0
skilled,real estate,new car,2181.0
skilled,no known property,education,1538.0
skilled,car,radio/tv,338.0
skilled,no known property,education,11760.0
unskilled resident,car,furniture/equipment,4736.0
skilled,no known property,furniture/equipment,2892.0
skilled,real estate,radio/tv,1740.0
unskilled resident,life insurance,business,9857.0
skilled,real estate,new car,1330.0
unskilled resident,life insurance,radio/tv,3656.0
unskilled resident,car,new car,976.0
skilled,no known property,radio/tv,2149.0
high qualif/self emp/mgmt,no known property,new car,7763.0
high qualif/self emp/mgmt,real estate,furniture/equipment,3384.0
unskilled resident,car,radio/tv,1282.0
skilled,real estate,new car,1028.0
skilled,real estate,new car,1393.0
skilled,real estate,radio/tv,707.0
skilled,real estate,new car,571.0
skilled,life insurance,used car,8229.0
unskilled resident,real estate,new car,2241.0
skilled,real estate,radio/tv,2331.0
skilled,car,furniture/equipment,3496.0
skilled,car,business,2169.0
skilled,no known property,education,5743.0
high qualif/self emp/mgmt,car,other,11328.0
unskilled resident,life insurance,radio/tv,1750.0
skilled,car,radio/tv,5084.0
skilled,life insurance,retraining,902.0
skilled,car,radio/tv,3660.0
skilled,no known property,furniture/equipment,3617.0
skilled,car,furniture/equipment,3552.0
skilled,no known property,education,1819.0
skilled,real estate,business,3914.0
skilled,car,new car,3878.0
skilled,life insurance,furniture/equipment,3422.0
skilled,real estate,furniture/equipment,2136.0
skilled,no known property,used car,7758.0
high qualif/self emp/mgmt,no known property,used car,1526.0
skilled,car,radio/tv,6403.0
skilled,car,new car,1842.0
skilled,life insurance,radio/tv,674.0
skilled,car,furniture/equipment,1402.0
unemp/unskilled non res,life insurance,new car,14555.0
skilled,no known property,new car,3757.0
skilled,real estate,furniture/equipment,2132.0
unskilled resident,real estate,new car,1455.0
skilled,life insurance,business,2687.0
skilled,car,new car,1602.0
skilled,car,new car,1965.0
unskilled resident,real estate,radio/tv,701.0
high qualif/self emp/mgmt,car,radio/tv,7174.0
high qualif/self emp/mgmt,life insurance,retraining,1238.0
unskilled resident,real estate,new car,4716.0
skilled,car,radio/tv,9566.0
unskilled resident,real estate,furniture/equipment,4526.0
skilled,car,radio/tv,2991.0
skilled,real estate,furniture/equipment,3001.0
high qualif/self emp/mgmt,life insurance,new car,8978.0
skilled,car,radio/tv,2299.0
skilled,no known property,education,1136.0
high qualif/self emp/mgmt,car,education,1501.0
skilled,car,used car,4576.0
unskilled resident,real estate,radio/tv,2327.0
high qualif/self emp/mgmt,car,used car,11560.0
unskilled resident,no known property,education,2748.0
unskilled resident,car,education,719.0
high qualif/self emp/mgmt,car,radio/tv,4530.0
skilled,no known property,new car,10127.0
unskilled resident,car,furniture/equipment,3599.0
unskilled resident,life insurance,radio/tv,2520.0
skilled,car,radio/tv,1582.0
skilled,real estate,furniture/equipment,1924.0
skilled,car,radio/tv,2675.0
unskilled resident,life insurance,furniture/equipment,2333.0
skilled,life insurance,radio/tv,6199.0
skilled,no known property,used car,10297.0
high qualif/self emp/mgmt,car,radio/tv,3416.0
skilled,car,radio/tv,3092.0
unskilled resident,real estate,radio/tv,1516.0
skilled,car,radio/tv,1979.0
high qualif/self emp/mgmt,car,new car,4249.0
skilled,car,radio/tv,3430.0
unemp/unskilled non res,real estate,new car,1778.0
skilled,life insurance,business,1188.0
high qualif/self emp/mgmt,no known property,used car,9283.0
skilled,real estate,radio/tv,1053.0
skilled,life insurance,furniture/equipment,3612.0
skilled,life insurance,business,3652.0
skilled,car,domestic appliance,1225.0
high qualif/self emp/mgmt,real estate,used car,7485.0
skilled,real estate,business,1258.0
skilled,no known property,used car,8335.0
skilled,real estate,business,3609.0
skilled,no known property,repairs,1555.0
skilled,life insurance,new car,3959.0
high qualif/self emp/mgmt,car,business,6967.0
high qualif/self emp/mgmt,no known property,other,7582.0
unskilled resident,no known property,education,1837.0
skilled,car,radio/tv,6758.0
skilled,real estate,furniture/equipment,2483.0
skilled,car,business,8072.0
skilled,car,repairs,639.0
high qualif/self emp/mgmt,no known property,used car,2910.0
unskilled resident,real estate,radio/tv,7418.0
skilled,car,radio/tv,10222.0
unskilled resident,life insurance,repairs,454.0
high qualif/self emp/mgmt,life insurance,business,4591.0
skilled,real estate,radio/tv,3578.0
high qualif/self emp/mgmt,no known property,radio/tv,9157.0
high qualif/self emp/mgmt,real estate,business,4526.0
skilled,car,business,9572.0
skilled,car,radio/tv,3804.0
skilled,life insurance,new car,691.0
high qualif/self emp/mgmt,real estate,used car,2476.0
unskilled resident,real estate,radio/tv,790.0
skilled,no known property,new car,6527.0
skilled,life insurance,new car,1264.0
skilled,life insurance,furniture/equipment,7127.0
unskilled resident,life insurance,furniture/equipment,2028.0
high qualif/self emp/mgmt,car,new car,1393.0
unskilled resident,real estate,new car,3195.0
unskilled resident,car,retraining,339.0
skilled,life insurance,used car,4042.0
skilled,real estate,furniture/equipment,763.0
skilled,life insurance,radio/tv,2424.0
high qualif/self emp/mgmt,no known property,used car,4686.0
unskilled resident,life insurance,new car,7228.0
unskilled resident,life insurance,new car,7393.0
high qualif/self emp/mgmt,life insurance,new car,3527.0
skilled,life insurance,new car,609.0
skilled,car,used car,4113.0
unskilled resident,real estate,radio/tv,3573.0
skilled,life insurance,furniture/equipment,1520.0
skilled,car,radio/tv,3148.0
skilled,car,radio/tv,3595.0
skilled,car,repairs,2613.0
unskilled resident,car,radio/tv,426.0
skilled,life insurance,new car,1893.0
skilled,real estate,new car,1287.0
skilled,car,business,2145.0
unemp/unskilled non res,car,furniture/equipment,2473.0
skilled,no known property,furniture/equipment,3149.0
skilled,real estate,radio/tv,2100.0
skilled,car,radio/tv,1715.0
high qualif/self emp/mgmt,no known property,other,14782.0
unskilled resident,car,used car,4679.0
high qualif/self emp/mgmt,car,radio/tv,3568.0
skilled,life insurance,new car,2235.0
skilled,life insurance,business,2528.0
unskilled resident,real estate,used car,2993.0
skilled,life insurance,radio/tv,3031.0
skilled,car,new car,10875.0
unskilled resident,real estate,furniture/equipment,2210.0
skilled,no known property,radio/tv,1216.0
unskilled resident,real estate,new car,3939.0
skilled,car,business,2375.0
unskilled resident,car,retraining,937.0
skilled,life insurance,radio/tv,7166.0
skilled,life insurance,domestic appliance,1262.0
unskilled resident,life insurance,used car,3594.0
skilled,car,radio/tv,5848.0
unskilled resident,real estate,radio/tv,1795.0
high qualif/self emp/mgmt,life insurance,furniture/equipment,3959.0
skilled,no known property,new car,1285.0
skilled,life insurance,education,392.0
skilled,no known property,radio/tv,10961.0
skilled,car,radio/tv,2753.0
skilled,car,furniture/equipment,1919.0
skilled,car,used car,2028.0
skilled,life insurance,new car,1042.0
skilled,life insurance,furniture/equipment,428.0
skilled,real estate,new car,2799.0
skilled,real estate,radio/tv,4933.0
high qualif/self emp/mgmt,life insurance,new car,10366.0
high qualif/self emp/mgmt,car,new car,2366.0
skilled,life insurance,used car,3378.0
skilled,life insurance,radio/tv,1924.0
unskilled resident,car,new car,802.0
skilled,car,new car,8358.0
skilled,life insurance,domestic appliance,1424.0
skilled,car,business,4221.0
skilled,car,business,1559.0
unskilled resident,life insurance,radio/tv,2214.0
unskilled resident,real estate,radio/tv,3059.0
skilled,real estate,radio/tv,930.0
skilled,no known property,education,6110.0
skilled,life insurance,furniture/equipment,2759.0
unskilled resident,life insurance,furniture/equipment,1922.0
skilled,life insurance,furniture/equipment,4151.0
skilled,life insurance,new car,1038.0
skilled,car,new car,2511.0
skilled,car,radio/tv,5954.0
skilled,car,furniture/equipment,1858.0
unskilled resident,real estate,radio/tv,760.0
skilled,car,radio/tv,1829.0
high qualif/self emp/mgmt,no known property,new car,5302.0
skilled,life insurance,domestic appliance,741.0
unskilled resident,life insurance,new car,1287.0
skilled,life insurance,new car,1381.0
skilled,no known property,radio/tv,1346.0
skilled,no known property,education,6224.0
unemp/unskilled non res,real estate,education,750.0
skilled,real estate,used car,7824.0
skilled,real estate,repairs,996.0
skilled,no known property,business,2825.0
unskilled resident,real estate,new car,1418.0
skilled,car,new car,682.0
skilled,no known property,new car,860.0
high qualif/self emp/mgmt,car,radio/tv,1337.0
skilled,car,radio/tv,1670.0
unskilled resident,car,business,4280.0
skilled,no known property,furniture/equipment,6361.0
unskilled resident,real estate,business,1743.0
skilled,life insurance,retraining,754.0
unskilled resident,real estate,new car,3398.0
high qualif/self emp/mgmt,no known property,used car,5129.0
skilled,no known property,new car,781.0
unskilled resident,no known property,new car,1442.0
skilled,real estate,radio/tv,2051.0
skilled,car,furniture/equipment,2462.0
unskilled resident,car,new car,4006.0
skilled,car,furniture/equipment,951.0
skilled,no known property,used car,1300.0
high qualif/self emp/mgmt,car,radio/tv,1901.0
skilled,no known property,used car,4796.0
skilled,real estate,radio/tv,1473.0
unskilled resident,real estate,furniture/equipment,1768.0
skilled,real estate,furniture/equipment,3777.0
skilled,car,business,5117.0
unemp/unskilled non res,car,repairs,3394.0
skilled,real estate,radio/tv,717.0
skilled,life insurance,used car,5842.0
skilled,real estate,new car,1224.0
unskilled resident,real estate,radio/tv,1155.0
unskilled resident,real estate,new car,3763.0
skilled,car,new car,1082.0
skilled,car,business,15672.0
skilled,real estate,new car,3499.0
skilled,car,radio/tv,15653.0
skilled,car,business,8648.0
high qualif/self emp/mgmt,real estate,used car,6468.0
skilled,real estate,used car,2812.0
unemp/unskilled non res,no known property,domestic appliance,3990.0
skilled,real estate,business,2142.0
skilled,car,new car,1364.0
unskilled resident,car,repairs,1308.0
high qualif/self emp/mgmt,life insurance,other,18424.0
unskilled resident,real estate,business,841.0
unskilled resident,real estate,radio/tv,590.0
high qualif/self emp/mgmt,life insurance,furniture/equipment,3345.0
skilled,no known property,radio/tv,2600.0
unskilled resident,life insurance,furniture/equipment,3590.0
skilled,car,new car,5045.0
skilled,real estate,radio/tv,1126.0
unemp/unskilled non res,no known property,new car,1193.0
high qualif/self emp/mgmt,car,used car,8588.0
skilled,car,radio/tv,1533.0
skilled,real estate,radio/tv,1345.0
skilled,life insurance,furniture/equipment,1620.0
high qualif/self emp/mgmt,no known property,furniture/equipment,9034.0
unskilled resident,real estate,new car,6260.0
unskilled resident,real estate,repairs,2631.0
skilled,no known property,radio/tv,2141.0
skilled,life insurance,furniture/equipment,652.0
skilled,no known property,radio/tv,2671.0
skilled,car,business,5742.0
high qualif/self emp/mgmt,no known property,new car,13756.0
high qualif/self emp/mgmt,car,business,4844.0
skilled,real estate,repairs,1943.0
unskilled resident,real estate,radio/tv,866.0
unskilled resident,life insurance,business,1941.0
skilled,car,furniture/equipment,5150.0
unskilled resident,life insurance,furniture/equipment,4351.0
skilled,no known property,new car,947.0
skilled,car,radio/tv,1967.0
unskilled resident,real estate,furniture/equipment,2186.0
unskilled resident,real estate,radio/tv,2118.0
skilled,real estate,radio/tv,776.0
skilled,car,used car,3812.0
high qualif/self emp/mgmt,life insurance,furniture/equipment,14179.0
skilled,no known property,new car,1437.0
skilled,life insurance,radio/tv,1444.0
unskilled resident,car,radio/tv,1445.0
skilled,real estate,radio/tv,2320.0
unskilled resident,life insurance,business,4272.0
skilled,car,used car,4657.0
high qualif/self emp/mgmt,car,furniture/equipment,10974.0
skilled,no known property,new car,3931.0
unskilled resident,car,new car,654.0
unemp/unskilled non res,no known property,radio/tv,3758.0
unskilled resident,life insurance,new car,1309.0
skilled,life insurance,radio/tv,4370.0
skilled,real estate,radio/tv,1409.0
skilled,car,radio/tv,1867.0
high qualif/self emp/mgmt,real estate,radio/tv,1107.0
unskilled resident,real estate,new car,640.0
skilled,real estate,new car,1474.0
skilled,car,radio/tv,976.0
skilled,car,business,7980.0
skilled,car,new car,6761.0
skilled,car,new car,2278.0
unskilled resident,real estate,radio/tv,1154.0
skilled,car,education,1927.0
skilled,life insurance,furniture/equipment,2301.0
high qualif/self emp/mgmt,real estate,business,1412.0
skilled,no known property,used car,4605.0
skilled,car,radio/tv,1800.0
unskilled resident,real estate,radio/tv,1898.0
unskilled resident,real estate,radio/tv,1113.0
unskilled resident,life insurance,radio/tv,4746.0
skilled,real estate,radio/tv,1534.0
skilled,car,new car,950.0
skilled,car,used car,2346.0
high qualif/self emp/mgmt,car,business,2442.0
skilled,no known property,furniture/equipment,3343.0
skilled,real estate,new car,1249.0
skilled,life insurance,furniture/equipment,1845.0
skilled,car,used car,2603.0
skilled,no known property,business,15945.0
skilled,no known property,new car,12389.0
skilled,car,new car,915.0
skilled,life insurance,radio/tv,3160.0
unskilled resident,car,radio/tv,1082.0
skilled,life insurance,furniture/equipment,975.0
skilled,life insurance,furniture/equipment,3620.0
skilled,car,new car,1995.0
high qualif/self emp/mgmt,car,new car,6614.0
skilled,real estate,furniture/equipment,1935.0
high qualif/self emp/mgmt,no known property,new car,3249.0
skilled,no known property,furniture/equipment,3062.0
skilled,life insurance,furniture/equipment,2348.0
unskilled resident,life insurance,furniture/equipment,3108.0
skilled,real estate,radio/tv,1364.0
skilled,real estate,radio/tv,3913.0
skilled,no known property,new car,4870.0
skilled,car,furniture/equipment,3617.0
high qualif/self emp/mgmt,life insurance,education,4623.0
unskilled resident,real estate,new car,1344.0
skilled,car,radio/tv,3357.0
high qualif/self emp/mgmt,no known property,new car,6761.0
skilled,car,new car,2022.0
unskilled resident,real estate,new car,250.0
skilled,no known property,radio/tv,5103.0
skilled,real estate,radio/tv,2337.0
unemp/unskilled non res,real estate,new car,7472.0
skilled,car,radio/tv,1882.0
unskilled resident,life insurance,business,806.0
skilled,car,used car,2197.0
skilled,real estate,radio/tv,1126.0
unemp/unskilled non res,life insurance,used car,1352.0
skilled,car,new car,5866.0
skilled,car,repairs,3872.0
skilled,real estate,radio/tv,2611.0
skilled,car,education,936.0
skilled,real estate,radio/tv,10144.0
skilled,real estate,radio/tv,409.0
high qualif/self emp/mgmt,car,used car,7814.0
skilled,car,radio/tv,4210.0
skilled,life insurance,new car,3518.0
high qualif/self emp/mgmt,car,used car,3275.0
high qualif/self emp/mgmt,no known property,new car,14318.0
skilled,real estate,radio/tv,1092.0
high qualif/self emp/mgmt,car,new car,2782.0
unskilled resident,real estate,business,2580.0
unskilled resident,real estate,furniture/equipment,983.0
unskilled resident,real estate,business,1572.0
unskilled resident,real estate,radio/tv,1301.0
skilled,real estate,radio/tv,2728.0
high qualif/self emp/mgmt,no known property,business,1953.0
skilled,life insurance,education,448.0
skilled,life insurance,new car,1386.0
high qualif/self emp/mgmt,car,used car,1860.0
skilled,real estate,radio/tv,753.0
skilled,no known property,repairs,5507.0
skilled,life insurance,used car,2957.0
skilled,no known property,new car,3556.0
skilled,life insurance,radio/tv,3181.0
skilled,car,used car,9629.0
skilled,car,new car,1403.0
skilled,real estate,repairs,1288.0
high qualif/self emp/mgmt,car,radio/tv,2333.0
skilled,life insurance,radio/tv,1237.0
unskilled resident,car,new car,362.0
unemp/unskilled non res,car,new car,1175.0
high qualif/self emp/mgmt,no known property,new car,12680.0
skilled,life insurance,business,3104.0
high qualif/self emp/mgmt,car,used car,6313.0
skilled,car,radio/tv,1262.0
high qualif/self emp/mgmt,no known property,new car,1422.0
skilled,car,domestic appliance,1275.0
skilled,car,used car,5248.0
skilled,car,used car,6148.0
skilled,real estate,new car,2570.0
skilled,car,furniture/equipment,9960.0
skilled,no known property,used car,6331.0
unskilled resident,car,furniture/equipment,2251.0
unskilled resident,life insurance,radio/tv,1316.0
skilled,real estate,new car,1721.0
high qualif/self emp/mgmt,no known property,used car,2679.0
high qualif/self emp/mgmt,life insurance,used car,3857.0
skilled,life insurance,new car,7432.0
skilled,real estate,radio/tv,2439.0
skilled,car,radio/tv,999.0
unskilled resident,real estate,new car,1168.0
skilled,life insurance,new car,1055.0
skilled,car,radio/tv,1331.0
skilled,real estate,business,1275.0
skilled,real estate,business,1887.0
skilled,no known property,radio/tv,1377.0
skilled,car,used car,2569.0
skilled,car,radio/tv,3016.0
high qualif/self emp/mgmt,no known property,education,8065.0
high qualif/self emp/mgmt,car,other,11938.0
skilled,life insurance,radio/tv,1553.0
skilled,car,business,1449.0
skilled,real estate,radio/tv,5951.0
high qualif/self emp/mgmt,car,radio/tv,2063.0
high qualif/self emp/mgmt,car,new car,2923.0
