credit_amount,duration,other_parties
1262.0,15.0,none
7308.0,10.0,none
909.0,36.0,none
2978.0,6.0,none
1131.0,18.0,none
1577.0,11.0,none
3972.0,24.0,none
1935.0,24.0,none
950.0,15.0,none
763.0,12.0,none
2064.0,24.0,none
1414.0,8.0,guarantor
3414.0,21.0,none
7485.0,30.0,none
2577.0,12.0,none
338.0,6.0,none
1963.0,12.0,none
571.0,21.0,none
9572.0,36.0,none
4455.0,36.0,none
1647.0,21.0,none
3777.0,24.0,none
884.0,18.0,none
1360.0,15.0,none
5129.0,9.0,none
1175.0,16.0,none
674.0,12.0,none
3244.0,18.0,none
4591.0,24.0,none
3844.0,48.0,none
3915.0,27.0,none
2108.0,6.0,none
3031.0,45.0,guarantor
1501.0,9.0,none
1382.0,6.0,none
951.0,12.0,none
2760.0,24.0,none
4297.0,18.0,none
936.0,9.0,none
1168.0,12.0,none
5117.0,27.0,none
902.0,12.0,none
1495.0,12.0,none
10623.0,30.0,none
1935.0,12.0,none
1424.0,12.0,none
6568.0,24.0,none
1413.0,12.0,none
3074.0,9.0,none
3835.0,36.0,none
5293.0,27.0,none
1908.0,30.0,none
3342.0,36.0,none
932.0,6.0,none
3104.0,18.0,none
3913.0,36.0,none
3021.0,24.0,none
1364.0,10.0,none
625.0,12.0,guarantor
1200.0,12.0,none
707.0,12.0,none
2978.0,24.0,none
4657.0,15.0,none
2613.0,36.0,none
10961.0,48.0,co applicant
7865.0,12.0,none
1478.0,9.0,none
3149.0,24.0,none
4210.0,36.0,none
2507.0,9.0,none
2141.0,12.0,none
866.0,18.0,guarantor
1544.0,4.0,none
1823.0,24.0,none
14555.0,6.0,none
2767.0,21.0,none
1291.0,12.0,none
2522.0,30.0,guarantor
915.0,24.0,none
1595.0,6.0,none
4605.0,48.0,none
1185.0,12.0,none
3447.0,12.0,none
1258.0,24.0,none
717.0,12.0,none
1204.0,6.0,none
1925.0,24.0,none
433.0,18.0,co applicant
666.0,6.0,none
2251.0,12.0,none
2150.0,30.0,guarantor
4151.0,24.0,none
2030.0,9.0,none
7418.0,60.0,none
2684.0,24.0,none
2149.0,12.0,none
3812.0,15.0,none
1154.0,11.0,none
1657.0,12.0,none
1603.0,24.0,none
5302.0,18.0,none
2748.0,12.0,none
1231.0,10.0,none
802.0,15.0,none
6304.0,36.0,none
1533.0,24.0,none
8978.0,14.0,none
999.0,24.0,none
2662.0,18.0,none
1402.0,12.0,none
12169.0,48.0,co applicant
3060.0,48.0,none
11998.0,30.0,none
2697.0,9.0,none
2404.0,18.0,none
1262.0,12.0,none
4611.0,6.0,none
1901.0,24.0,none
3368.0,15.0,none
1574.0,12.0,none
1445.0,18.0,none
1520.0,15.0,none
3878.0,24.0,none
10722.0,47.0,none
4788.0,48.0,none
7582.0,48.0,none
1092.0,12.0,guarantor
1024.0,24.0,none
1076.0,12.0,none
9398.0,36.0,none
6419.0,24.0,none
4796.0,42.0,none
7629.0,48.0,none
9960.0,48.0,none
4675.0,12.0,none
1287.0,10.0,co applicant
2515.0,18.0,none
2745.0,21.0,none
672.0,6.0,none
3804.0,36.0,none
1344.0,24.0,none
1038.0,10.0,co applicant
10127.0,48.0,none
1543.0,6.0,none
4811.0,30.0,none
727.0,12.0,none
1237.0,8.0,none
276.0,9.0,none
5381.0,48.0,none
5511.0,24.0,none
3749.0,24.0,none
685.0,12.0,none
1494.0,4.0,none
2746.0,36.0,none
708.0,12.0,guarantor
4351.0,24.0,none
701.0,12.0,none
3643.0,15.0,none
4249.0,30.0,none
1938.0,24.0,none
2910.0,24.0,none
2659.0,18.0,none
1028.0,18.0,none
3398.0,8.0,none
5801.0,12.0,none
1525.0,24.0,none
4473.0,36.0,none
1068.0,6.0,none
6615.0,24.0,none
1864.0,18.0,none
7408.0,60.0,none
11590.0,48.0,none
4110.0,24.0,none
3384.0,6.0,none
2101.0,13.0,guarantor
1275.0,15.0,none
4169.0,24.0,none
1521.0,10.0,none
5743.0,24.0,none
3599.0,21.0,none
3213.0,18.0,none
4439.0,18.0,co applicant
3949.0,10.0,guarantor
1459.0,15.0,none
882.0,13.0,guarantor
3758.0,24.0,none
1743.0,6.0,none
1136.0,9.0,none
1236.0,9.0,none
959.0,9.0,none
3229.0,18.0,none
6199.0,12.0,none
727.0,10.0,none
1246.0,24.0,none
2331.0,12.0,co applicant
4463.0,36.0,none
776.0,12.0,none
2406.0,30.0,none
1239.0,18.0,none
3399.0,12.0,none
2247.0,12.0,none
1766.0,6.0,none
2473.0,18.0,none
1542.0,12.0,none
3850.0,18.0,none
3650.0,18.0,none
3446.0,36.0,none
3001.0,18.0,none
3079.0,36.0,none
6070.0,18.0,none
2146.0,10.0,none
13756.0,60.0,none
14782.0,60.0,none
7685.0,48.0,guarantor
2320.0,18.0,none
846.0,7.0,none
14318.0,36.0,none
362.0,6.0,none
2212.0,20.0,none
12976.0,18.0,none
1283.0,22.0,none
1330.0,12.0,none
4272.0,30.0,none
2238.0,18.0,none
1126.0,18.0,none
7374.0,18.0,none
2326.0,15.0,none
1449.0,9.0,none
1820.0,18.0,none
983.0,12.0,none
3249.0,36.0,none
1957.0,6.0,none
2406.0,9.0,none
11760.0,39.0,none
2578.0,12.0,none
2348.0,36.0,none
1223.0,12.0,none
1516.0,24.0,none
1473.0,18.0,none
1887.0,18.0,none
8648.0,24.0,none
802.0,14.0,none
2899.0,18.0,none
2039.0,24.0,none
2197.0,24.0,none
1053.0,15.0,none
3235.0,24.0,none
939.0,12.0,none
1967.0,24.0,none
7253.0,33.0,none
2292.0,12.0,none
1597.0,10.0,none
1381.0,24.0,none
5842.0,36.0,none
2579.0,12.0,none
8471.0,18.0,none
2782.0,21.0,none
1042.0,18.0,none
3186.0,15.0,none
2028.0,12.0,none
958.0,12.0,none
1591.0,21.0,none
2762.0,12.0,none
2779.0,18.0,none
2743.0,28.0,none
1149.0,18.0,none
1313.0,9.0,none
1190.0,18.0,none
3448.0,5.0,none
11328.0,24.0,co applicant
1872.0,6.0,none
2058.0,24.0,none
2136.0,9.0,none
1484.0,12.0,none
660.0,6.0,none
1287.0,24.0,none
3394.0,42.0,co applicant
609.0,12.0,none
1884.0,12.0,none
1620.0,12.0,co applicant
2629.0,20.0,none
719.0,12.0,none
5096.0,48.0,none
1244.0,9.0,none
1842.0,36.0,none
2576.0,7.0,guarantor
1424.0,12.0,none
1512.0,15.0,none
11054.0,36.0,none
518.0,6.0,none
2759.0,12.0,none
2670.0,24.0,none
4817.0,24.0,co applicant
2679.0,24.0,none
3905.0,11.0,none
3386.0,12.0,none
343.0,6.0,none
4594.0,18.0,none
3620.0,36.0,guarantor
1721.0,15.0,none
3017.0,12.0,none
754.0,12.0,none
1950.0,18.0,none
2924.0,24.0,guarantor
1659.0,24.0,none
7238.0,48.0,none
2764.0,33.0,none
4679.0,24.0,none
3092.0,24.0,none
448.0,6.0,none
654.0,9.0,none
1238.0,6.0,none
1245.0,18.0,none
3114.0,18.0,none
2569.0,39.0,none
5152.0,24.0,none
1037.0,12.0,none
1478.0,15.0,none
3573.0,12.0,none
1201.0,24.0,none
3622.0,30.0,none
960.0,15.0,none
1163.0,12.0,none
1209.0,6.0,none
3077.0,12.0,none
3757.0,24.0,co applicant
1418.0,10.0,none
3518.0,6.0,guarantor
1934.0,12.0,none
8318.0,27.0,none
1237.0,6.0,none
368.0,6.0,none
2122.0,12.0,none
2996.0,24.0,none
9034.0,36.0,co applicant
1585.0,24.0,none
1301.0,18.0,guarantor
1323.0,6.0,none
3123.0,24.0,none
5493.0,36.0,none
1126.0,9.0,none
1216.0,24.0,none
1207.0,24.0,none
1309.0,10.0,guarantor
2360.0,15.0,none
6850.0,15.0,none
1413.0,24.0,none
8588.0,39.0,none
759.0,12.0,none
4686.0,36.0,none
2687.0,15.0,none
585.0,12.0,co applicant
2255.0,24.0,none
609.0,6.0,none
1361.0,6.0,none
7127.0,36.0,none
1203.0,6.0,none
700.0,6.0,none
5507.0,24.0,none
3190.0,18.0,none
7119.0,48.0,none
3488.0,24.0,none
1113.0,18.0,guarantor
7966.0,26.0,none
1532.0,15.0,none
1503.0,4.0,none
2302.0,36.0,none
662.0,6.0,none
2273.0,36.0,none
2631.0,15.0,none
1503.0,12.0,none
1311.0,24.0,none
3105.0,24.0,none
2319.0,21.0,none
1374.0,6.0,none
3612.0,18.0,none
7763.0,48.0,none
3049.0,18.0,none
1534.0,12.0,none
2032.0,24.0,none
6350.0,30.0,none
2864.0,18.0,none
1255.0,12.0,none
1333.0,24.0,none
2022.0,24.0,none
1552.0,24.0,none
626.0,12.0,none
8858.0,48.0,none
996.0,12.0,none
1750.0,6.0,none
6999.0,48.0,guarantor
1995.0,12.0,none
1199.0,9.0,none
1331.0,12.0,none
2278.0,18.0,none
5003.0,21.0,none
3552.0,24.0,none
1928.0,18.0,none
2964.0,24.0,none
1546.0,24.0,guarantor
683.0,6.0,none
12389.0,36.0,none
4712.0,24.0,none
1553.0,24.0,none
1372.0,12.0,none
2578.0,24.0,none
3979.0,48.0,none
6758.0,48.0,none
3234.0,24.0,none
5954.0,30.0,co applicant
5433.0,24.0,none
806.0,15.0,none
1082.0,9.0,none
2788.0,15.0,co applicant
2930.0,12.0,none
1927.0,24.0,none
2820.0,36.0,none
937.0,24.0,none
1056.0,18.0,guarantor
3124.0,12.0,none
1388.0,9.0,none
2384.0,36.0,none
2133.0,12.0,none
2039.0,18.0,none
2799.0,9.0,none
1289.0,12.0,guarantor
1217.0,18.0,none
2246.0,12.0,none
385.0,12.0,none
1965.0,24.0,none
1572.0,21.0,none
2718.0,24.0,none
1358.0,24.0,none
931.0,6.0,none
1442.0,24.0,none
4241.0,24.0,none
2775.0,18.0,none
3863.0,24.0,none
2329.0,7.0,guarantor
918.0,9.0,none
1837.0,24.0,none
3349.0,36.0,none
1275.0,10.0,none
2828.0,24.0,none
4526.0,24.0,none
2671.0,36.0,co applicant
2051.0,18.0,none
1300.0,15.0,none
741.0,12.0,none
1240.0,10.0,none
3357.0,21.0,none
3632.0,24.0,guarantor
1808.0,18.0,none
12204.0,48.0,none
9157.0,60.0,none
3676.0,6.0,none
3441.0,30.0,co applicant
640.0,12.0,none
3652.0,21.0,none
1530.0,18.0,none
3914.0,48.0,none
1858.0,12.0,none
2600.0,18.0,none
1979.0,15.0,none
2116.0,6.0,none
1437.0,9.0,none
4042.0,42.0,none
3832.0,9.0,none
3660.0,24.0,none
1553.0,18.0,none
1444.0,15.0,none
1980.0,9.0,co applicant
1355.0,24.0,none
1393.0,12.0,none
1376.0,24.0,none
15653.0,60.0,none
1493.0,12.0,none
4370.0,42.0,none
750.0,18.0,none
1308.0,15.0,none
4623.0,15.0,none
1851.0,24.0,guarantor
1880.0,18.0,none
7980.0,36.0,none
4583.0,30.0,guarantor
1386.0,12.0,none
947.0,24.0,none
684.0,12.0,none
7476.0,48.0,none
1922.0,12.0,none
2303.0,24.0,co applicant
8086.0,36.0,none
2346.0,24.0,none
3973.0,14.0,none
888.0,12.0,none
10222.0,48.0,none
4221.0,30.0,none
6361.0,18.0,none
1297.0,12.0,none
900.0,12.0,none
2241.0,21.0,none
1050.0,6.0,none
1047.0,6.0,none
6314.0,24.0,co applicant
3496.0,30.0,none
3609.0,48.0,none
4843.0,12.0,co applicant
3017.0,30.0,none
4139.0,24.0,none
5742.0,36.0,none
10366.0,60.0,none
2080.0,6.0,none
2580.0,21.0,none
4530.0,30.0,none
5150.0,24.0,none
5595.0,72.0,none
2384.0,24.0,none
1453.0,18.0,none
1538.0,6.0,none
2279.0,12.0,none
1478.0,15.0,none
5103.0,24.0,none
9857.0,36.0,none
6527.0,60.0,none
1347.0,10.0,none
2862.0,36.0,none
2753.0,9.0,co applicant
3651.0,12.0,none
975.0,15.0,none
2631.0,15.0,none
2896.0,24.0,none
4716.0,6.0,none
2284.0,24.0,none
1236.0,6.0,none
1103.0,12.0,guarantor
926.0,12.0,none
1800.0,18.0,none
1905.0,15.0,none
1123.0,12.0,none
6331.0,48.0,none
1377.0,24.0,none
2503.0,30.0,none
2528.0,27.0,none
5324.0,15.0,none
6560.0,48.0,none
2969.0,12.0,none
1206.0,9.0,none
2118.0,9.0,none
629.0,18.0,none
1198.0,6.0,none
2476.0,21.0,none
1138.0,9.0,none
14027.0,60.0,none
7596.0,30.0,none
3077.0,30.0,none
1505.0,18.0,none
3148.0,24.0,none
6148.0,20.0,none
1337.0,9.0,none
433.0,6.0,none
1228.0,12.0,none
790.0,9.0,none
2570.0,27.0,none
250.0,6.0,none
1316.0,15.0,none
1882.0,18.0,none
6416.0,48.0,none
1275.0,24.0,none
6403.0,24.0,none
1987.0,24.0,none
760.0,8.0,guarantor
2603.0,24.0,none
3380.0,4.0,none
3990.0,36.0,none
11560.0,24.0,none
4380.0,18.0,none
6761.0,6.0,none
4280.0,30.0,none
2325.0,24.0,none
1048.0,10.0,none
3160.0,21.0,none
2483.0,24.0,none
14179.0,39.0,none
1797.0,13.0,none
2511.0,15.0,none
1274.0,12.0,none
5248.0,21.0,none
3029.0,15.0,none
428.0,6.0,none
976.0,18.0,none
841.0,12.0,none
5771.0,30.0,none
1555.0,12.0,none
1285.0,24.0,none
1299.0,6.0,none
1271.0,15.0,none
1393.0,24.0,guarantor
691.0,12.0,none
5045.0,15.0,none
2124.0,18.0,none
2214.0,12.0,none
12680.0,21.0,none
2463.0,24.0,none
1155.0,12.0,guarantor
3108.0,30.0,none
2901.0,10.0,none
3617.0,12.0,none
1655.0,12.0,none
2812.0,24.0,none
8065.0,36.0,none
3275.0,21.0,none
2223.0,24.0,none
1480.0,12.0,none
1371.0,24.0,none
3535.0,36.0,none
3509.0,18.0,guarantor
5711.0,36.0,none
3872.0,18.0,none
4933.0,39.0,guarantor
1940.0,24.0,none
1410.0,12.0,none
836.0,12.0,none
6468.0,20.0,none
1941.0,18.0,none
2675.0,22.0,none
2751.0,48.0,none
6224.0,48.0,none
5998.0,40.0,none
1188.0,21.0,none
6313.0,24.0,none
1221.0,6.0,none
2892.0,24.0,none
3062.0,24.0,none
2301.0,9.0,none
7511.0,18.0,none
1258.0,12.0,none
717.0,24.0,none
1549.0,9.0,none
1597.0,24.0,none
1795.0,18.0,guarantor
4272.0,20.0,none
976.0,12.0,none
7472.0,12.0,none
9271.0,36.0,none
590.0,6.0,none
930.0,12.0,none
9283.0,42.0,none
1778.0,15.0,none
907.0,8.0,none
484.0,6.0,guarantor
9629.0,36.0,none
3051.0,48.0,none
3931.0,48.0,none
7432.0,36.0,none
1338.0,6.0,none
1554.0,6.0,none
15857.0,36.0,co applicant
1345.0,18.0,none
1101.0,12.0,none
3016.0,12.0,none
2712.0,36.0,none
731.0,8.0,none
3780.0,18.0,none
1602.0,21.0,none
3966.0,18.0,none
4165.0,18.0,none
8335.0,36.0,none
6681.0,48.0,none
2375.0,24.0,none
1216.0,18.0,none
11816.0,45.0,none
5084.0,24.0,none
2327.0,15.0,none
1082.0,12.0,none
886.0,12.0,none
601.0,4.0,none
2957.0,24.0,none
2611.0,24.0,co applicant
5179.0,36.0,none
2993.0,21.0,none
1943.0,18.0,none
1559.0,24.0,none
3422.0,18.0,none
3976.0,21.0,none
6761.0,18.0,none
1249.0,24.0,none
1364.0,9.0,none
709.0,12.0,none
2235.0,20.0,guarantor
4042.0,24.0,none
1471.0,15.0,none
1442.0,18.0,none
10875.0,36.0,none
1474.0,24.0,none
894.0,10.0,none
3343.0,15.0,none
3959.0,15.0,none
3577.0,9.0,guarantor
5804.0,24.0,none
2169.0,18.0,none
2439.0,24.0,none
4526.0,27.0,none
2210.0,10.0,none
2221.0,15.0,none
2389.0,18.0,none
3331.0,12.0,none
7409.0,36.0,none
652.0,12.0,none
7678.0,36.0,none
1343.0,6.0,none
1382.0,24.0,none
874.0,15.0,none
3590.0,12.0,co applicant
1322.0,11.0,none
1940.0,18.0,co applicant
3595.0,36.0,none
1422.0,9.0,none
6742.0,30.0,none
7814.0,24.0,none
9277.0,24.0,none
2181.0,30.0,none
1098.0,18.0,none
4057.0,24.0,none
795.0,12.0,none
2825.0,24.0,none
15672.0,48.0,none
6614.0,36.0,none
7824.0,28.0,guarantor
2442.0,27.0,none
1829.0,15.0,none
2171.0,12.0,none
5800.0,36.0,none
1169.0,18.0,none
8947.0,36.0,none
2606.0,21.0,none
1592.0,12.0,none
2186.0,15.0,none
4153.0,18.0,co applicant
2625.0,16.0,guarantor
3485.0,20.0,none
10477.0,36.0,none
1386.0,15.0,none
1278.0,24.0,none
1107.0,12.0,none
3763.0,21.0,co applicant
3711.0,36.0,none
3594.0,15.0,none
3195.0,9.0,none
4454.0,36.0,none
4736.0,24.0,none
2991.0,30.0,none
2142.0,11.0,none
3161.0,24.0,none
18424.0,48.0,none
2848.0,10.0,co applicant
14896.0,6.0,none
2359.0,24.0,none
3345.0,24.0,none
1817.0,18.0,none
12749.0,48.0,none
1366.0,9.0,none
2002.0,12.0,none
6872.0,24.0,none
697.0,12.0,none
1049.0,18.0,none
10297.0,48.0,none
1867.0,30.0,none
1344.0,12.0,none
1747.0,24.0,co applicant
1670.0,9.0,none
1224.0,9.0,none
522.0,12.0,none
1498.0,12.0,none
1919.0,30.0,none
745.0,9.0,none
2063.0,6.0,none
6288.0,60.0,none
6842.0,24.0,none
3527.0,12.0,none
1546.0,10.0,none
929.0,24.0,none
1455.0,4.0,none
1845.0,15.0,guarantor
8358.0,48.0,none
3349.0,24.0,none
2859.0,12.0,none
1533.0,18.0,co applicant
3621.0,24.0,none
3590.0,18.0,none
2145.0,36.0,none
4113.0,24.0,none
10974.0,36.0,none
1893.0,12.0,guarantor
1231.0,24.0,none
3656.0,30.0,none
1154.0,9.0,none
4006.0,28.0,none
3069.0,24.0,none
1740.0,6.0,none
2353.0,21.0,none
3556.0,15.0,none
2397.0,24.0,none
454.0,6.0,none
1715.0,30.0,none
2520.0,27.0,none
3568.0,15.0,none
7166.0,42.0,none
3939.0,11.0,none
1514.0,15.0,guarantor
7393.0,24.0,none
1193.0,24.0,co applicant
7297.0,60.0,co applicant
2831.0,30.0,none
1258.0,24.0,none
753.0,6.0,guarantor
2427.0,18.0,none
2538.0,24.0,none
1264.0,15.0,none
8386.0,30.0,none
4844.0,48.0,none
2923.0,21.0,none
8229.0,36.0,none
2028.0,24.0,none
1433.0,15.0,none
6289.0,42.0,none
1409.0,13.0,none
6579.0,24.0,none
1743.0,24.0,none
3565.0,12.0,none
1569.0,15.0,none
1936.0,18.0,none
3959.0,36.0,none
2390.0,12.0,none
1736.0,12.0,none
3857.0,30.0,none
804.0,12.0,none
1845.0,45.0,none
4576.0,45.0,none
