credit/table8.age,credit/table8.class,credit_amount
47.0,good,1984.0
41.0,good,2503.0
25.0,good,5511.0
24.0,bad,1228.0
64.0,good,3832.0
67.0,good,1169.0
38.0,good,708.0
24.0,bad,6560.0
32.0,good,1552.0
26.0,good,1382.0
41.0,good,1503.0
25.0,good,5152.0
43.0,good,2899.0
34.0,bad,2064.0
30.0,good,2121.0
31.0,good,2406.0
20.0,good,3186.0
34.0,bad,6999.0
40.0,good,1386.0
56.0,good,618.0
46.0,good,6842.0
30.0,bad,4455.0
34.0,bad,11998.0
31.0,good,8947.0
25.0,good,2394.0
28.0,bad,9398.0
29.0,bad,6887.0
54.0,good,672.0
25.0,bad,2762.0
49.0,good,5801.0
23.0,good,2288.0
34.0,good,1591.0
30.0,bad,1056.0
38.0,good,1240.0
30.0,good,11054.0
36.0,good,909.0
34.0,good,2415.0
52.0,good,2223.0
29.0,good,2108.0
27.0,good,2326.0
35.0,good,1471.0
31.0,bad,1935.0
35.0,good,5324.0
27.0,good,709.0
33.0,good,1414.0
53.0,good,2835.0
28.0,good,1797.0
39.0,good,1037.0
41.0,good,5954.0
34.0,good,4454.0
54.0,bad,3051.0
35.0,good,1291.0
30.0,good,3566.0
27.0,good,1221.0
42.0,good,1544.0
26.0,good,625.0
30.0,good,2002.0
27.0,bad,3123.0
27.0,good,2708.0
37.0,good,3565.0
66.0,good,1480.0
31.0,good,1360.0
26.0,good,1158.0
29.0,good,1103.0
30.0,good,7721.0
47.0,bad,1217.0
52.0,bad,6468.0
22.0,bad,2039.0
29.0,good,2629.0
39.0,bad,1271.0
38.0,good,804.0
26.0,good,2069.0
32.0,good,7238.0
45.0,good,3049.0
28.0,bad,2631.0
21.0,bad,3441.0
28.0,good,2284.0
21.0,good,1049.0
28.0,good,4169.0
30.0,good,5965.0
34.0,bad,6850.0
40.0,good,1361.0
28.0,good,1817.0
60.0,good,1940.0
32.0,good,1231.0
24.0,good,1554.0
32.0,good,629.0
33.0,good,1478.0
29.0,bad,11816.0
43.0,good,1203.0
35.0,good,2576.0
44.0,bad,12579.0
63.0,good,7596.0
30.0,good,960.0
41.0,good,3979.0
33.0,good,2058.0
22.0,good,3650.0
58.0,good,1755.0
50.0,good,1537.0
34.0,good,1493.0
36.0,good,12169.0
35.0,good,10722.0
61.0,good,1239.0
46.0,good,727.0
36.0,good,3905.0
32.0,bad,4611.0
22.0,good,1567.0
40.0,bad,1647.0
42.0,bad,3446.0
48.0,good,9277.0
48.0,good,12204.0
32.0,good,2978.0
26.0,good,5433.0
22.0,good,1514.0
42.0,bad,8086.0
43.0,bad,1333.0
26.0,good,1388.0
19.0,bad,1980.0
42.0,good,2577.0
27.0,good,6314.0
24.0,good,2080.0
20.0,bad,2039.0
24.0,good,874.0
31.0,good,1957.0
70.0,good,7308.0
26.0,good,1925.0
25.0,bad,1355.0
53.0,bad,795.0
47.0,good,3017.0
37.0,bad,7685.0
42.0,bad,2292.0
40.0,bad,1977.0
25.0,bad,7855.0
31.0,bad,2775.0
47.0,good,2353.0
30.0,good,1820.0
26.0,good,2445.0
35.0,good,1680.0
23.0,good,8471.0
30.0,good,7966.0
35.0,bad,3386.0
28.0,bad,939.0
33.0,bad,797.0
24.0,good,1747.0
28.0,bad,1108.0
23.0,good,2101.0
29.0,good,6579.0
37.0,good,12749.0
42.0,good,522.0
22.0,good,2828.0
20.0,bad,2718.0
48.0,bad,1240.0
54.0,good,1318.0
24.0,bad,4308.0
55.0,good,2578.0
26.0,good,1311.0
24.0,good,6187.0
44.0,good,6204.0
28.0,good,1068.0
20.0,good,1577.0
40.0,good,1585.0
36.0,good,1940.0
36.0,bad,4241.0
74.0,good,1299.0
41.0,good,1469.0
29.0,good,2743.0
31.0,good,1963.0
30.0,bad,5096.0
33.0,bad,2579.0
40.0,good,7678.0
36.0,good,2181.0
56.0,good,1538.0
52.0,good,338.0
32.0,good,11760.0
25.0,bad,4736.0
51.0,good,2892.0
30.0,good,1740.0
31.0,good,9857.0
26.0,good,1330.0
49.0,good,3656.0
23.0,bad,976.0
29.0,bad,2149.0
42.0,bad,7763.0
44.0,bad,3384.0
32.0,bad,1282.0
36.0,good,1028.0
31.0,good,1393.0
30.0,good,707.0
65.0,good,571.0
26.0,bad,8229.0
48.0,good,2241.0
49.0,good,2331.0
34.0,good,3496.0
28.0,bad,2169.0
24.0,good,5743.0
29.0,bad,11328.0
45.0,good,1750.0
42.0,good,5084.0
21.0,bad,902.0
28.0,good,3660.0
20.0,good,3617.0
27.0,bad,3552.0
37.0,bad,1819.0
38.0,bad,3914.0
37.0,good,3878.0
47.0,good,3422.0
25.0,good,2136.0
29.0,good,7758.0
66.0,good,1526.0
33.0,good,6403.0
34.0,bad,1842.0
20.0,bad,674.0
37.0,good,1402.0
23.0,bad,14555.0
62.0,good,3757.0
27.0,good,2132.0
42.0,good,1455.0
26.0,good,2687.0
30.0,good,1602.0
42.0,good,1965.0
40.0,good,701.0
30.0,bad,7174.0
36.0,good,1238.0
44.0,good,4716.0
31.0,good,9566.0
32.0,good,4526.0
25.0,good,2991.0
40.0,good,3001.0
45.0,bad,8978.0
39.0,good,2299.0
32.0,bad,1136.0
34.0,bad,1501.0
27.0,good,4576.0
25.0,bad,2327.0
23.0,bad,11560.0
57.0,good,2748.0
41.0,bad,719.0
26.0,good,4530.0
44.0,bad,10127.0
26.0,good,3599.0
23.0,bad,2520.0
46.0,good,1582.0
27.0,bad,1924.0
40.0,good,2675.0
29.0,good,2333.0
28.0,bad,6199.0
39.0,bad,10297.0
27.0,good,3416.0
22.0,bad,3092.0
43.0,good,1516.0
35.0,good,1979.0
28.0,bad,4249.0
31.0,good,3430.0
26.0,bad,1778.0
39.0,bad,1188.0
55.0,good,9283.0
27.0,good,1053.0
37.0,good,3612.0
27.0,good,3652.0
37.0,good,1225.0
53.0,bad,7485.0
25.0,good,1258.0
47.0,bad,8335.0
27.0,good,3609.0
55.0,bad,1555.0
29.0,bad,3959.0
36.0,good,6967.0
31.0,good,7582.0
34.0,bad,1837.0
31.0,bad,6758.0
22.0,good,2483.0
25.0,good,8072.0
30.0,bad,639.0
34.0,good,2910.0
27.0,good,7418.0
37.0,good,10222.0
22.0,good,454.0
54.0,bad,4591.0
47.0,good,3578.0
27.0,good,9157.0
74.0,good,4526.0
28.0,bad,9572.0
42.0,bad,3804.0
35.0,bad,691.0
46.0,good,2476.0
66.0,good,790.0
34.0,good,6527.0
25.0,bad,1264.0
23.0,bad,7127.0
30.0,good,2028.0
35.0,good,1393.0
33.0,good,3195.0
45.0,good,339.0
43.0,good,4042.0
26.0,good,763.0
53.0,good,2424.0
32.0,good,4686.0
39.0,good,7228.0
43.0,good,7393.0
45.0,good,3527.0
37.0,good,609.0
28.0,bad,4113.0
23.0,good,3573.0
63.0,good,1520.0
31.0,good,3148.0
28.0,good,3595.0
27.0,good,2613.0
39.0,good,426.0
29.0,good,1893.0
37.0,good,1287.0
24.0,bad,2145.0
25.0,bad,2473.0
22.0,good,3149.0
37.0,bad,2100.0
26.0,good,1715.0
60.0,bad,14782.0
35.0,good,4679.0
54.0,good,3568.0
33.0,bad,2235.0
32.0,good,2528.0
28.0,good,2993.0
21.0,bad,3031.0
45.0,good,10875.0
25.0,bad,2210.0
38.0,bad,1216.0
40.0,good,3939.0
44.0,good,2375.0
27.0,good,937.0
29.0,good,7166.0
36.0,good,1262.0
46.0,good,3594.0
24.0,good,5848.0
48.0,good,1795.0
30.0,good,3959.0
32.0,bad,1285.0
23.0,good,392.0
27.0,bad,10961.0
35.0,good,2753.0
35.0,good,1919.0
30.0,good,2028.0
33.0,bad,1042.0
49.0,good,428.0
36.0,good,2799.0
25.0,bad,4933.0
42.0,good,10366.0
36.0,good,2366.0
31.0,good,3378.0
38.0,good,1924.0
27.0,good,802.0
30.0,good,8358.0
26.0,good,1424.0
28.0,good,4221.0
50.0,good,1559.0
24.0,good,2214.0
61.0,good,3059.0
65.0,good,930.0
31.0,good,6110.0
34.0,good,2759.0
37.0,bad,1922.0
35.0,good,4151.0
49.0,good,1038.0
23.0,good,2511.0
38.0,good,5954.0
22.0,good,1858.0
44.0,good,760.0
46.0,good,1829.0
36.0,good,5302.0
22.0,bad,741.0
45.0,good,1287.0
35.0,bad,1381.0
42.0,good,1346.0
50.0,bad,6224.0
27.0,bad,750.0
40.0,good,7824.0
23.0,good,996.0
34.0,good,2825.0
35.0,good,1418.0
51.0,good,682.0
39.0,good,860.0
34.0,bad,1337.0
22.0,bad,1670.0
26.0,bad,4280.0
41.0,good,6361.0
34.0,good,1743.0
38.0,good,754.0
39.0,good,3398.0
74.0,bad,5129.0
63.0,good,781.0
32.0,bad,1442.0
33.0,good,2051.0
22.0,bad,2462.0
45.0,bad,4006.0
27.0,bad,951.0
45.0,good,1300.0
29.0,good,1901.0
56.0,good,4796.0
39.0,good,1473.0
24.0,good,1768.0
50.0,good,3777.0
26.0,good,5117.0
65.0,good,3394.0
52.0,good,717.0
35.0,good,5842.0
30.0,good,1224.0
40.0,good,1155.0
24.0,good,3763.0
48.0,bad,1082.0
23.0,bad,15672.0
29.0,bad,3499.0
21.0,good,15653.0
27.0,bad,8648.0
60.0,good,6468.0
26.0,good,2812.0
29.0,good,3990.0
28.0,good,2142.0
64.0,good,1364.0
38.0,good,1308.0
32.0,bad,18424.0
23.0,good,841.0
26.0,good,590.0
39.0,bad,3345.0
65.0,bad,2600.0
29.0,good,3590.0
59.0,good,5045.0
21.0,good,1126.0
29.0,bad,1193.0
45.0,good,8588.0
38.0,good,1533.0
26.0,bad,1345.0
30.0,good,1620.0
29.0,bad,9034.0
28.0,good,6260.0
25.0,good,2631.0
35.0,good,2141.0
24.0,good,652.0
50.0,bad,2671.0
31.0,good,5742.0
63.0,good,13756.0
33.0,bad,4844.0
23.0,bad,1943.0
25.0,good,866.0
35.0,good,1941.0
33.0,good,5150.0
48.0,good,4351.0
38.0,bad,947.0
20.0,good,1967.0
33.0,good,2186.0
37.0,good,2118.0
28.0,good,776.0
23.0,good,3812.0
30.0,good,14179.0
29.0,bad,1437.0
23.0,good,1444.0
49.0,good,1445.0
34.0,good,2320.0
26.0,good,4272.0
30.0,good,4657.0
26.0,bad,10974.0
46.0,bad,3931.0
28.0,bad,654.0
23.0,good,3758.0
27.0,bad,1309.0
26.0,bad,4370.0
64.0,good,1409.0
58.0,good,1867.0
20.0,good,1107.0
49.0,good,640.0
33.0,good,1474.0
35.0,good,976.0
27.0,bad,7980.0
68.0,bad,6761.0
28.0,bad,2278.0
37.0,good,1154.0
33.0,good,1927.0
22.0,good,2301.0
29.0,good,1412.0
24.0,bad,4605.0
24.0,good,1800.0
34.0,good,1898.0
26.0,good,1113.0
25.0,bad,4746.0
23.0,bad,1534.0
33.0,bad,950.0
35.0,good,2346.0
43.0,good,2442.0
28.0,good,3343.0
28.0,good,1249.0
46.0,good,1845.0
28.0,good,2603.0
58.0,bad,15945.0
37.0,bad,12389.0
29.0,bad,915.0
41.0,good,3160.0
27.0,good,1082.0
25.0,good,975.0
37.0,good,3620.0
27.0,good,1995.0
34.0,good,6614.0
43.0,good,1935.0
39.0,good,3249.0
32.0,good,3062.0
46.0,good,2348.0
31.0,bad,3108.0
59.0,good,1364.0
23.0,good,3913.0
53.0,bad,4870.0
28.0,good,3617.0
40.0,bad,4623.0
43.0,good,1344.0
29.0,good,3357.0
45.0,good,6761.0
37.0,good,2022.0
41.0,good,250.0
47.0,good,5103.0
36.0,good,2337.0
24.0,good,7472.0
25.0,bad,1882.0
22.0,good,806.0
43.0,good,2197.0
49.0,good,1126.0
23.0,good,1352.0
30.0,good,5866.0
67.0,good,3872.0
46.0,good,2611.0
52.0,good,936.0
21.0,good,10144.0
42.0,good,409.0
38.0,good,7814.0
26.0,bad,4210.0
26.0,good,3518.0
36.0,good,3275.0
57.0,bad,14318.0
49.0,good,1092.0
31.0,good,2782.0
41.0,bad,2580.0
19.0,good,983.0
36.0,good,1572.0
32.0,good,1301.0
35.0,good,2728.0
61.0,bad,1953.0
23.0,bad,448.0
26.0,bad,1386.0
34.0,good,1860.0
64.0,good,753.0
44.0,good,5507.0
63.0,good,2957.0
29.0,good,3556.0
26.0,good,3181.0
24.0,bad,9629.0
28.0,good,1403.0
48.0,good,1288.0
30.0,good,2333.0
27.0,good,1237.0
52.0,good,362.0
68.0,good,1175.0
30.0,bad,12680.0
31.0,good,3104.0
41.0,good,6313.0
25.0,good,1262.0
27.0,bad,1422.0
24.0,bad,1275.0
26.0,good,5248.0
31.0,good,6148.0
21.0,bad,2570.0
26.0,bad,9960.0
46.0,bad,6331.0
46.0,good,2251.0
47.0,good,1316.0
36.0,good,1721.0
29.0,good,2679.0
40.0,good,3857.0
54.0,good,7432.0
35.0,bad,2439.0
25.0,good,999.0
27.0,good,1168.0
30.0,good,1055.0
22.0,bad,1331.0
36.0,good,1275.0
28.0,good,1887.0
47.0,good,1377.0
24.0,good,2569.0
24.0,good,3016.0
25.0,bad,8065.0
39.0,bad,11938.0
23.0,good,1553.0
27.0,good,1449.0
22.0,bad,5951.0
30.0,good,2063.0
28.0,good,2923.0
24.0,bad,1546.0
44.0,bad,5943.0
38.0,good,10623.0
33.0,good,1474.0
25.0,bad,1371.0
28.0,good,1413.0
46.0,good,1149.0
31.0,bad,4817.0
27.0,good,3850.0
54.0,good,1409.0
31.0,good,1521.0
35.0,good,1592.0
37.0,good,4712.0
43.0,good,1459.0
37.0,good,3535.0
51.0,good,1595.0
60.0,bad,1199.0
31.0,bad,2746.0
45.0,good,2329.0
40.0,good,7374.0
28.0,bad,3060.0
33.0,bad,1131.0
29.0,bad,5179.0
23.0,good,1936.0
32.0,good,4583.0
43.0,good,15857.0
44.0,good,1163.0
49.0,bad,8386.0
24.0,bad,1207.0
23.0,bad,1216.0
27.0,good,1185.0
36.0,bad,1372.0
40.0,good,1322.0
29.0,good,683.0
27.0,good,1347.0
33.0,good,3244.0
31.0,good,1410.0
40.0,good,1905.0
26.0,bad,3114.0
37.0,good,2279.0
26.0,bad,759.0
23.0,good,1961.0
33.0,bad,1245.0
49.0,good,2964.0
40.0,good,894.0
37.0,bad,1274.0
24.0,bad,2150.0
44.0,good,2647.0
25.0,bad,685.0
32.0,good,4594.0
36.0,good,2872.0
26.0,good,2404.0
57.0,good,1231.0
34.0,bad,3844.0
25.0,good,2238.0
24.0,bad,9271.0
40.0,good,1597.0
42.0,bad,8318.0
33.0,good,4439.0
63.0,good,1655.0
24.0,bad,1237.0
23.0,bad,900.0
24.0,good,8487.0
35.0,good,1050.0
46.0,good,1343.0
36.0,good,7057.0
23.0,good,2146.0
47.0,bad,12612.0
27.0,good,343.0
75.0,good,6615.0
51.0,good,3342.0
29.0,bad,1659.0
41.0,good,3868.0
22.0,bad,1808.0
48.0,good,2134.0
29.0,bad,1123.0
46.0,good,730.0
39.0,bad,6458.0
32.0,good,2662.0
27.0,good,5804.0
25.0,bad,1484.0
24.0,good,932.0
