credit/table9.housing,credit/table9.property_magnitude,credit/table9.residence_since,credit_amount
own,car,2.0,1478.0
own,no known property,4.0,3229.0
rent,no known property,3.0,6416.0
own,life insurance,4.0,5293.0
own,life insurance,1.0,3832.0
own,life insurance,2.0,5371.0
own,real estate,2.0,1344.0
own,real estate,4.0,4042.0
own,real estate,1.0,3509.0
own,car,2.0,2360.0
rent,real estate,3.0,3213.0
own,life insurance,4.0,1209.0
for free,no known property,4.0,1198.0
for free,no known property,4.0,1984.0
own,life insurance,2.0,2503.0
own,car,1.0,5511.0
own,real estate,2.0,1228.0
own,real estate,4.0,3832.0
own,real estate,4.0,1169.0
own,life insurance,3.0,708.0
own,life insurance,2.0,6560.0
own,car,1.0,1552.0
own,real estate,1.0,1382.0
rent,real estate,4.0,1503.0
own,car,2.0,5152.0
own,car,4.0,2899.0
own,life insurance,2.0,2064.0
own,life insurance,2.0,2121.0
own,car,3.0,2406.0
rent,car,3.0,3186.0
own,real estate,1.0,6999.0
rent,real estate,2.0,1386.0
own,real estate,4.0,618.0
own,life insurance,4.0,6842.0
own,real estate,2.0,4455.0
own,no known property,1.0,11998.0
own,car,2.0,8947.0
own,car,4.0,2394.0
rent,car,4.0,9398.0
own,life insurance,3.0,6887.0
own,real estate,4.0,672.0
own,life insurance,2.0,2762.0
rent,life insurance,4.0,5801.0
own,life insurance,4.0,2288.0
own,real estate,3.0,1591.0
own,real estate,3.0,1056.0
own,real estate,2.0,1240.0
own,car,2.0,11054.0
own,life insurance,4.0,909.0
own,real estate,2.0,2415.0
own,life insurance,4.0,2223.0
rent,real estate,2.0,2108.0
own,car,4.0,2326.0
for free,no known property,4.0,1471.0
own,real estate,4.0,1935.0
for free,no known property,4.0,5324.0
own,real estate,2.0,709.0
own,real estate,2.0,1414.0
own,life insurance,4.0,2835.0
own,life insurance,1.0,1797.0
own,real estate,4.0,1037.0
own,real estate,1.0,5954.0
own,real estate,4.0,4454.0
own,car,4.0,3051.0
own,life insurance,2.0,1291.0
own,car,2.0,3566.0
own,life insurance,2.0,1221.0
own,real estate,1.0,1544.0
own,real estate,1.0,625.0
rent,life insurance,4.0,2002.0
own,life insurance,1.0,3123.0
own,life insurance,3.0,2708.0
own,life insurance,1.0,3565.0
for free,no known property,4.0,1480.0
own,life insurance,2.0,1360.0
own,car,1.0,1158.0
own,real estate,3.0,1103.0
own,life insurance,2.0,7721.0
own,real estate,3.0,1217.0
own,no known property,1.0,6468.0
own,life insurance,1.0,2039.0
own,car,3.0,2629.0
for free,no known property,4.0,1271.0
own,car,4.0,804.0
own,car,1.0,2069.0
own,car,3.0,7238.0
own,life insurance,1.0,3049.0
rent,car,4.0,2631.0
rent,car,4.0,3441.0
own,car,2.0,2284.0
rent,life insurance,4.0,1049.0
own,life insurance,4.0,4169.0
own,car,2.0,5965.0
own,life insurance,2.0,6850.0
own,real estate,4.0,1361.0
own,no known property,2.0,1817.0
own,real estate,4.0,1940.0
own,real estate,4.0,1231.0
rent,car,2.0,1554.0
own,life insurance,3.0,629.0
own,real estate,3.0,1478.0
rent,car,4.0,11816.0
own,life insurance,2.0,1203.0
own,real estate,2.0,2576.0
for free,no known property,2.0,12579.0
own,car,4.0,7596.0
own,life insurance,2.0,960.0
own,car,1.0,3979.0
own,real estate,2.0,2058.0
rent,car,4.0,3650.0
own,real estate,4.0,1755.0
own,real estate,4.0,1537.0
own,car,3.0,1493.0
for free,no known property,4.0,12169.0
own,real estate,1.0,10722.0
for free,no known property,4.0,1239.0
for free,no known property,4.0,727.0
rent,real estate,2.0,3905.0
own,life insurance,4.0,4611.0
own,car,1.0,1567.0
own,life insurance,2.0,1647.0
own,car,2.0,3446.0
for free,no known property,4.0,9277.0
own,car,2.0,12204.0
own,real estate,4.0,2978.0
rent,life insurance,4.0,5433.0
own,real estate,2.0,1514.0
own,car,4.0,8086.0
for free,real estate,2.0,1333.0
rent,real estate,2.0,1388.0
rent,car,2.0,1980.0
own,car,1.0,2577.0
own,no known property,2.0,6314.0
own,car,2.0,2080.0
rent,real estate,4.0,2039.0
own,real estate,1.0,874.0
own,car,4.0,1957.0
for free,no known property,4.0,7308.0
own,real estate,2.0,1925.0
own,car,4.0,1355.0
own,life insurance,4.0,795.0
own,life insurance,4.0,3017.0
rent,car,4.0,7685.0
own,car,2.0,2292.0
own,no known property,4.0,1977.0
own,real estate,2.0,7855.0
own,life insurance,2.0,2775.0
own,life insurance,4.0,2353.0
own,life insurance,2.0,1820.0
rent,car,4.0,2445.0
own,real estate,1.0,1680.0
rent,car,2.0,8471.0
own,car,3.0,7966.0
for free,no known property,4.0,3386.0
own,real estate,2.0,939.0
own,life insurance,3.0,797.0
own,life insurance,1.0,1747.0
own,real estate,3.0,1108.0
own,life insurance,4.0,2101.0
for free,no known property,2.0,6579.0
own,car,1.0,12749.0
own,life insurance,4.0,522.0
own,real estate,4.0,2828.0
rent,life insurance,4.0,2718.0
for free,no known property,4.0,1240.0
own,real estate,4.0,1318.0
rent,life insurance,4.0,4308.0
for free,no known property,4.0,2578.0
own,life insurance,3.0,1311.0
rent,car,4.0,6187.0
own,real estate,4.0,6204.0
own,car,4.0,1068.0
own,real estate,1.0,1577.0
own,life insurance,3.0,1585.0
for free,no known property,4.0,1940.0
own,real estate,4.0,4241.0
own,real estate,1.0,1299.0
rent,real estate,4.0,1469.0
own,car,2.0,2743.0
rent,car,2.0,1963.0
own,car,3.0,5096.0
own,real estate,1.0,2579.0
own,car,4.0,7678.0
own,real estate,4.0,2181.0
own,no known property,2.0,1538.0
own,car,4.0,338.0
rent,no known property,3.0,11760.0
own,car,4.0,4736.0
for free,no known property,4.0,2892.0
rent,real estate,2.0,1740.0
own,life insurance,3.0,9857.0
own,real estate,1.0,1330.0
own,life insurance,4.0,3656.0
own,car,2.0,976.0
for free,no known property,1.0,2149.0
for free,no known property,4.0,7763.0
rent,real estate,4.0,3384.0
own,car,2.0,1282.0
own,real estate,3.0,1028.0
own,real estate,2.0,1393.0
own,real estate,2.0,707.0
own,real estate,4.0,571.0
own,life insurance,2.0,8229.0
rent,real estate,3.0,2241.0
own,real estate,4.0,2331.0
own,car,2.0,3496.0
own,car,2.0,2169.0
for free,no known property,4.0,5743.0
own,car,3.0,11328.0
own,life insurance,4.0,1750.0
own,car,4.0,5084.0
rent,life insurance,4.0,902.0
own,car,4.0,3660.0
rent,no known property,4.0,3617.0
own,car,4.0,3552.0
for free,no known property,4.0,1819.0
own,real estate,2.0,3914.0
own,car,2.0,3878.0
own,life insurance,4.0,3422.0
own,real estate,2.0,2136.0
rent,no known property,4.0,7758.0
for free,no known property,4.0,1526.0
own,car,2.0,6403.0
own,car,4.0,1842.0
own,life insurance,1.0,674.0
rent,car,4.0,1402.0
own,life insurance,2.0,14555.0
for free,no known property,4.0,3757.0
rent,real estate,3.0,2132.0
own,real estate,1.0,1455.0
rent,life insurance,4.0,2687.0
own,car,3.0,1602.0
rent,car,4.0,1965.0
own,real estate,2.0,701.0
own,car,3.0,7174.0
own,life insurance,4.0,1238.0
own,real estate,3.0,4716.0
own,car,2.0,9566.0
own,real estate,2.0,4526.0
own,car,4.0,2991.0
rent,real estate,4.0,3001.0
own,life insurance,4.0,8978.0
own,car,4.0,2299.0
for free,no known property,3.0,1136.0
own,car,3.0,1501.0
own,car,4.0,4576.0
own,real estate,3.0,2327.0
rent,car,4.0,11560.0
for free,no known property,4.0,2748.0
own,car,4.0,719.0
rent,car,4.0,4530.0
for free,no known property,2.0,10127.0
rent,car,4.0,3599.0
own,life insurance,2.0,2520.0
own,car,4.0,1582.0
rent,real estate,3.0,1924.0
own,car,4.0,2675.0
own,life insurance,2.0,2333.0
rent,life insurance,2.0,6199.0
for free,no known property,4.0,10297.0
own,car,2.0,3416.0
rent,car,2.0,3092.0
own,real estate,1.0,1516.0
own,car,2.0,1979.0
own,car,2.0,4249.0
own,car,2.0,3430.0
rent,real estate,1.0,1778.0
own,life insurance,4.0,1188.0
for free,no known property,2.0,9283.0
own,real estate,2.0,1053.0
own,life insurance,4.0,3612.0
own,life insurance,3.0,3652.0
own,car,2.0,1225.0
own,real estate,1.0,7485.0
own,real estate,1.0,1258.0
for free,no known property,4.0,8335.0
own,real estate,1.0,3609.0
for free,no known property,4.0,1555.0
own,life insurance,2.0,3959.0
rent,car,4.0,6967.0
for free,no known property,4.0,7582.0
for free,no known property,4.0,1837.0
own,car,2.0,6758.0
own,real estate,4.0,2483.0
own,car,3.0,8072.0
own,car,2.0,639.0
for free,no known property,1.0,2910.0
own,real estate,1.0,7418.0
own,car,3.0,10222.0
own,life insurance,1.0,454.0
own,life insurance,3.0,4591.0
own,real estate,1.0,3578.0
for free,no known property,2.0,9157.0
own,real estate,2.0,4526.0
own,car,1.0,9572.0
own,car,1.0,3804.0
own,life insurance,3.0,691.0
own,real estate,4.0,2476.0
own,real estate,3.0,790.0
for free,no known property,4.0,6527.0
rent,life insurance,2.0,1264.0
rent,life insurance,4.0,7127.0
own,life insurance,2.0,2028.0
own,car,4.0,1393.0
own,real estate,2.0,3195.0
own,car,1.0,339.0
own,life insurance,4.0,4042.0
own,real estate,1.0,763.0
own,life insurance,4.0,2424.0
for free,no known property,2.0,4686.0
own,life insurance,4.0,7228.0
own,life insurance,4.0,7393.0
own,life insurance,3.0,3527.0
own,life insurance,3.0,609.0
rent,car,4.0,4113.0
own,real estate,1.0,3573.0
own,life insurance,4.0,1520.0
own,car,2.0,3148.0
own,car,2.0,3595.0
own,car,2.0,2613.0
own,car,4.0,426.0
own,life insurance,4.0,1893.0
own,real estate,4.0,1287.0
own,car,1.0,2145.0
own,car,1.0,2473.0
for free,no known property,1.0,3149.0
own,real estate,2.0,2100.0
own,car,1.0,1715.0
for free,no known property,4.0,14782.0
own,car,3.0,4679.0
rent,car,2.0,3568.0
rent,life insurance,2.0,2235.0
own,life insurance,1.0,2528.0
own,real estate,2.0,2993.0
rent,life insurance,4.0,3031.0
own,car,2.0,10875.0
rent,real estate,2.0,2210.0
own,no known property,4.0,1216.0
own,real estate,2.0,3939.0
own,car,2.0,2375.0
own,car,3.0,937.0
rent,life insurance,4.0,7166.0
own,life insurance,3.0,1262.0
own,life insurance,2.0,3594.0
own,car,1.0,5848.0
rent,real estate,4.0,1795.0
own,life insurance,3.0,3959.0
rent,no known property,4.0,1285.0
rent,life insurance,4.0,392.0
own,no known property,2.0,10961.0
own,car,4.0,2753.0
rent,car,3.0,1919.0
own,car,2.0,2028.0
own,life insurance,2.0,1042.0
own,life insurance,1.0,428.0
rent,real estate,2.0,2799.0
own,real estate,2.0,4933.0
own,life insurance,4.0,10366.0
own,car,3.0,2366.0
own,life insurance,1.0,3378.0
own,life insurance,4.0,1924.0
own,car,2.0,802.0
own,car,1.0,8358.0
own,life insurance,3.0,1424.0
own,car,1.0,4221.0
own,car,4.0,1559.0
own,life insurance,3.0,2214.0
own,real estate,4.0,3059.0
own,real estate,4.0,930.0
for free,no known property,3.0,6110.0
own,life insurance,4.0,2759.0
own,life insurance,2.0,1922.0
own,life insurance,3.0,4151.0
own,life insurance,3.0,1038.0
rent,car,4.0,2511.0
own,car,2.0,5954.0
rent,car,1.0,1858.0
own,real estate,2.0,760.0
own,car,4.0,1829.0
for free,no known property,4.0,5302.0
own,life insurance,3.0,741.0
own,life insurance,2.0,1287.0
own,life insurance,2.0,1381.0
for free,no known property,4.0,1346.0
for free,no known property,4.0,6224.0
own,real estate,1.0,750.0
rent,real estate,4.0,7824.0
own,real estate,4.0,996.0
own,no known property,3.0,2825.0
rent,real estate,2.0,1418.0
own,car,3.0,682.0
own,no known property,4.0,860.0
own,car,2.0,1337.0
own,car,2.0,1670.0
rent,car,4.0,4280.0
own,no known property,1.0,6361.0
own,real estate,2.0,1743.0
own,life insurance,4.0,754.0
own,real estate,4.0,3398.0
for free,no known property,4.0,5129.0
for free,no known property,4.0,781.0
for free,no known property,4.0,1442.0
own,real estate,1.0,2051.0
own,car,2.0,2462.0
own,car,2.0,4006.0
rent,car,4.0,951.0
for free,no known property,4.0,1300.0
rent,car,4.0,1901.0
for free,no known property,4.0,4796.0
own,real estate,4.0,1473.0
rent,real estate,2.0,1768.0
own,real estate,4.0,3777.0
own,car,4.0,5117.0
own,car,4.0,3394.0
own,real estate,4.0,717.0
own,life insurance,2.0,5842.0
own,real estate,1.0,1224.0
own,real estate,3.0,1155.0
own,real estate,2.0,3763.0
own,car,4.0,1082.0
own,car,2.0,15672.0
own,real estate,2.0,3499.0
own,car,4.0,15653.0
own,car,2.0,8648.0
own,real estate,4.0,6468.0
rent,real estate,4.0,2812.0
own,no known property,2.0,3990.0
own,real estate,2.0,2142.0
own,car,4.0,1364.0
own,car,4.0,1308.0
own,life insurance,2.0,18424.0
rent,real estate,4.0,841.0
own,real estate,3.0,590.0
rent,life insurance,2.0,3345.0
for free,no known property,4.0,2600.0
own,life insurance,2.0,3590.0
own,car,4.0,5045.0
rent,real estate,2.0,1126.0
rent,no known property,4.0,1193.0
own,car,2.0,8588.0
own,car,3.0,1533.0
own,real estate,3.0,1345.0
own,life insurance,3.0,1620.0
rent,no known property,1.0,9034.0
rent,real estate,3.0,6260.0
own,real estate,2.0,2631.0
own,no known property,1.0,2141.0
rent,life insurance,4.0,652.0
for free,no known property,4.0,2671.0
own,car,2.0,5742.0
for free,no known property,4.0,13756.0
rent,car,2.0,4844.0
own,real estate,4.0,1943.0
own,real estate,2.0,866.0
own,life insurance,2.0,1941.0
own,car,4.0,5150.0
own,life insurance,4.0,4351.0
for free,no known property,3.0,947.0
own,car,4.0,1967.0
rent,real estate,4.0,2186.0
own,real estate,2.0,2118.0
own,real estate,2.0,776.0
own,car,4.0,3812.0
own,life insurance,4.0,14179.0
own,no known property,3.0,1437.0
own,life insurance,1.0,1444.0
own,car,4.0,1445.0
own,real estate,3.0,2320.0
own,life insurance,2.0,4272.0
own,car,2.0,4657.0
own,car,2.0,10974.0
for free,no known property,4.0,3931.0
own,car,3.0,654.0
rent,no known property,4.0,3758.0
own,life insurance,4.0,1309.0
own,life insurance,2.0,4370.0
own,real estate,4.0,1409.0
own,car,4.0,1867.0
rent,real estate,2.0,1107.0
own,real estate,2.0,640.0
own,real estate,3.0,1474.0
own,car,4.0,976.0
rent,car,4.0,7980.0
rent,car,4.0,6761.0
own,car,3.0,2278.0
own,real estate,4.0,1154.0
own,car,2.0,1927.0
rent,life insurance,4.0,2301.0
own,real estate,2.0,1412.0
for free,no known property,4.0,4605.0
own,car,2.0,1800.0
own,real estate,2.0,1898.0
own,real estate,4.0,1113.0
own,life insurance,2.0,4746.0
rent,real estate,1.0,1534.0
rent,car,3.0,950.0
own,car,3.0,2346.0
own,car,4.0,2442.0
for free,no known property,2.0,3343.0
own,real estate,2.0,1249.0
rent,life insurance,1.0,1845.0
rent,car,4.0,2603.0
rent,no known property,4.0,15945.0
for free,no known property,4.0,12389.0
own,car,2.0,915.0
own,life insurance,3.0,3160.0
own,car,4.0,1082.0
own,life insurance,3.0,975.0
own,life insurance,2.0,3620.0
own,car,1.0,1995.0
own,car,4.0,6614.0
own,real estate,4.0,1935.0
for free,no known property,4.0,3249.0
rent,no known property,3.0,3062.0
own,life insurance,2.0,2348.0
own,life insurance,4.0,3108.0
own,real estate,4.0,1364.0
own,real estate,2.0,3913.0
for free,no known property,4.0,4870.0
rent,car,4.0,3617.0
own,life insurance,2.0,4623.0
own,real estate,2.0,1344.0
own,car,2.0,3357.0
own,no known property,3.0,6761.0
own,car,4.0,2022.0
own,real estate,2.0,250.0
for free,no known property,3.0,5103.0
own,real estate,4.0,2337.0
rent,real estate,2.0,7472.0
rent,car,4.0,1882.0
own,life insurance,4.0,806.0
own,car,4.0,2197.0
own,real estate,4.0,1126.0
rent,life insurance,2.0,1352.0
own,car,2.0,5866.0
own,car,4.0,3872.0
own,real estate,3.0,2611.0
own,car,2.0,936.0
own,real estate,4.0,10144.0
rent,real estate,3.0,409.0
own,car,3.0,7814.0
own,car,2.0,4210.0
rent,life insurance,3.0,3518.0
own,car,4.0,3275.0
for free,no known property,2.0,14318.0
own,real estate,4.0,1092.0
own,car,2.0,2782.0
own,real estate,2.0,2580.0
rent,real estate,4.0,983.0
own,real estate,4.0,1572.0
own,real estate,2.0,1301.0
own,real estate,2.0,2728.0
for free,no known property,4.0,1953.0
own,life insurance,4.0,448.0
own,life insurance,2.0,1386.0
own,car,2.0,1860.0
own,real estate,3.0,753.0
for free,no known property,4.0,5507.0
own,life insurance,4.0,2957.0
own,no known property,2.0,3556.0
own,life insurance,4.0,3181.0
own,car,4.0,9629.0
rent,car,4.0,1403.0
own,real estate,4.0,1288.0
own,car,2.0,2333.0
own,life insurance,1.0,1237.0
own,car,4.0,362.0
for free,car,3.0,1175.0
for free,no known property,4.0,12680.0
own,life insurance,1.0,3104.0
own,car,4.0,6313.0
own,car,2.0,1262.0
for free,no known property,2.0,1422.0
rent,car,2.0,1275.0
own,car,3.0,5248.0
own,car,4.0,6148.0
rent,real estate,3.0,2570.0
own,car,2.0,9960.0
for free,no known property,4.0,6331.0
own,car,2.0,2251.0
own,life insurance,2.0,1316.0
own,real estate,3.0,1721.0
own,no known property,1.0,2679.0
own,life insurance,4.0,3857.0
rent,life insurance,2.0,7432.0
own,real estate,4.0,2439.0
own,car,2.0,999.0
own,real estate,3.0,1168.0
own,life insurance,1.0,1055.0
own,car,1.0,1331.0
own,real estate,4.0,1275.0
own,real estate,4.0,1887.0
for free,no known property,2.0,1377.0
own,car,4.0,2569.0
own,car,1.0,3016.0
own,no known property,2.0,8065.0
own,car,3.0,11938.0
rent,life insurance,2.0,1553.0
own,car,2.0,1449.0
own,real estate,2.0,5951.0
rent,car,3.0,2063.0
own,car,1.0,2923.0
rent,car,4.0,1546.0
own,car,1.0,5943.0
for free,no known property,4.0,10623.0
own,life insurance,1.0,1474.0
rent,real estate,4.0,1371.0
own,life insurance,2.0,1413.0
own,real estate,3.0,1149.0
own,life insurance,3.0,4817.0
own,car,1.0,3850.0
own,real estate,3.0,1409.0
own,car,2.0,1521.0
own,life insurance,2.0,1592.0
own,life insurance,2.0,4712.0
own,car,2.0,1459.0
own,car,4.0,3535.0
own,life insurance,2.0,1595.0
own,car,4.0,1199.0
own,car,4.0,2746.0
own,real estate,1.0,2329.0
own,life insurance,4.0,7374.0
own,real estate,4.0,3060.0
own,car,2.0,1131.0
own,life insurance,2.0,5179.0
rent,car,4.0,1936.0
own,real estate,2.0,4583.0
own,car,3.0,15857.0
own,real estate,4.0,1163.0
own,life insurance,2.0,8386.0
rent,life insurance,4.0,1207.0
rent,car,3.0,1216.0
own,real estate,2.0,1185.0
own,car,3.0,1372.0
own,car,4.0,1322.0
own,life insurance,1.0,683.0
own,life insurance,2.0,1347.0
own,car,4.0,3244.0
own,real estate,2.0,1410.0
rent,car,4.0,1905.0
rent,life insurance,4.0,3114.0
for free,no known property,4.0,2279.0
own,real estate,2.0,759.0
own,car,2.0,1961.0
own,car,2.0,1245.0
for free,no known property,4.0,2964.0
own,life insurance,3.0,894.0
own,real estate,1.0,1274.0
own,no known property,2.0,2150.0
rent,real estate,3.0,2647.0
own,car,3.0,685.0
own,car,2.0,4594.0
own,real estate,4.0,2872.0
own,car,2.0,2404.0
rent,life insurance,4.0,1231.0
for free,no known property,4.0,3844.0
own,car,1.0,2238.0
own,car,1.0,9271.0
rent,no known property,2.0,1597.0
for free,no known property,4.0,8318.0
own,real estate,1.0,4439.0
own,real estate,4.0,1655.0
own,real estate,4.0,1237.0
own,car,2.0,900.0
own,car,2.0,8487.0
own,life insurance,1.0,1050.0
own,real estate,4.0,1343.0
rent,life insurance,4.0,7057.0
rent,real estate,3.0,2146.0
for free,no known property,4.0,12612.0
own,real estate,1.0,343.0
for free,no known property,4.0,6615.0
own,car,2.0,3342.0
rent,car,2.0,1659.0
rent,car,2.0,3868.0
own,real estate,1.0,1808.0
own,car,4.0,2134.0
rent,car,4.0,1123.0
rent,life insurance,2.0,730.0
own,no known property,4.0,6458.0
own,life insurance,3.0,2662.0
own,real estate,2.0,5804.0
own,real estate,1.0,1484.0
own,real estate,2.0,932.0
