credit/table13.duration,credit/table13.other_parties,credit_amount
36.0,none,909.0
7.0,guarantor,2415.0
24.0,none,2223.0
6.0,none,2108.0
15.0,none,2326.0
15.0,none,1471.0
24.0,none,1935.0
15.0,none,5324.0
6.0,none,709.0
8.0,guarantor,1414.0
24.0,none,2835.0
13.0,none,1797.0
12.0,none,1037.0
42.0,none,5954.0
36.0,none,4454.0
48.0,none,3051.0
12.0,none,1291.0
48.0,none,3566.0
6.0,none,1221.0
4.0,none,1544.0
12.0,guarantor,625.0
12.0,none,2002.0
24.0,none,3123.0
15.0,none,2708.0
12.0,none,3565.0
12.0,none,1480.0
15.0,none,1360.0
12.0,none,1158.0
12.0,guarantor,1103.0
24.0,none,7721.0
18.0,none,1217.0
12.0,none,6468.0
24.0,none,2039.0
20.0,none,2629.0
15.0,none,1271.0
12.0,none,804.0
10.0,none,2069.0
48.0,none,7238.0
18.0,none,3049.0
15.0,none,2631.0
30.0,co applicant,3441.0
24.0,none,2284.0
18.0,none,1049.0
24.0,none,4169.0
27.0,none,5965.0
15.0,none,6850.0
6.0,none,1361.0
18.0,none,1817.0
24.0,none,1940.0
10.0,none,1231.0
6.0,none,1554.0
18.0,none,629.0
15.0,none,1478.0
45.0,none,11816.0
6.0,none,1203.0
7.0,guarantor,2576.0
24.0,none,12579.0
30.0,none,7596.0
15.0,none,960.0
48.0,none,3979.0
24.0,none,2058.0
18.0,none,3650.0
24.0,guarantor,1755.0
15.0,guarantor,1537.0
12.0,none,1493.0
48.0,co applicant,12169.0
47.0,none,10722.0
18.0,none,1239.0
10.0,none,727.0
11.0,none,3905.0
6.0,none,4611.0
12.0,none,1567.0
21.0,none,1647.0
36.0,none,3446.0
24.0,none,9277.0
48.0,none,12204.0
24.0,none,2978.0
24.0,none,5433.0
15.0,guarantor,1514.0
36.0,none,8086.0
24.0,none,1333.0
9.0,none,1388.0
9.0,co applicant,1980.0
12.0,none,2577.0
24.0,co applicant,6314.0
6.0,none,2080.0
18.0,none,2039.0
15.0,none,874.0
6.0,none,1957.0
10.0,none,7308.0
24.0,none,1925.0
24.0,none,1355.0
12.0,none,795.0
30.0,none,3017.0
48.0,guarantor,7685.0
12.0,none,2292.0
36.0,none,1977.0
36.0,none,7855.0
18.0,none,2775.0
21.0,none,2353.0
18.0,none,1820.0
12.0,none,2445.0
12.0,none,1680.0
18.0,none,8471.0
26.0,none,7966.0
12.0,none,3386.0
12.0,none,939.0
12.0,none,797.0
24.0,co applicant,1747.0
12.0,none,1108.0
13.0,guarantor,2101.0
24.0,none,6579.0
48.0,none,12749.0
12.0,none,522.0
24.0,none,2828.0
24.0,none,2718.0
10.0,none,1240.0
12.0,none,1318.0
48.0,none,4308.0
12.0,none,2578.0
24.0,none,1311.0
30.0,none,6187.0
18.0,none,6204.0
6.0,none,1068.0
11.0,none,1577.0
24.0,none,1585.0
18.0,co applicant,1940.0
24.0,none,4241.0
6.0,none,1299.0
24.0,none,1469.0
28.0,none,2743.0
12.0,none,1963.0
48.0,none,5096.0
12.0,none,2579.0
36.0,none,7678.0
30.0,none,2181.0
6.0,none,1538.0
6.0,none,338.0
39.0,none,11760.0
24.0,none,4736.0
24.0,none,2892.0
6.0,none,1740.0
36.0,none,9857.0
12.0,none,1330.0
30.0,none,3656.0
18.0,none,976.0
12.0,none,2149.0
48.0,none,7763.0
6.0,none,3384.0
24.0,none,1282.0
18.0,none,1028.0
24.0,guarantor,1393.0
12.0,none,707.0
21.0,none,571.0
36.0,none,8229.0
10.0,none,2241.0
12.0,co applicant,2331.0
30.0,none,3496.0
18.0,none,2169.0
24.0,none,5743.0
24.0,co applicant,11328.0
6.0,none,1750.0
24.0,none,5084.0
12.0,none,902.0
24.0,none,3660.0
24.0,co applicant,3617.0
24.0,none,3552.0
36.0,none,1819.0
48.0,none,3914.0
24.0,none,3878.0
18.0,none,3422.0
9.0,none,2136.0
24.0,none,7758.0
12.0,none,1526.0
24.0,none,6403.0
36.0,none,1842.0
12.0,none,674.0
12.0,none,1402.0
6.0,none,14555.0
24.0,co applicant,3757.0
10.0,co applicant,2132.0
4.0,none,1455.0
15.0,none,2687.0
21.0,none,1602.0
24.0,none,1965.0
12.0,none,701.0
42.0,none,7174.0
6.0,none,1238.0
6.0,none,4716.0
36.0,none,9566.0
27.0,none,4526.0
30.0,none,2991.0
18.0,none,3001.0
14.0,none,8978.0
36.0,none,2299.0
9.0,none,1136.0
9.0,none,1501.0
45.0,none,4576.0
15.0,none,2327.0
24.0,none,11560.0
12.0,none,2748.0
12.0,none,719.0
30.0,none,4530.0
48.0,none,10127.0
21.0,none,3599.0
27.0,none,2520.0
18.0,none,1582.0
18.0,none,1924.0
22.0,none,2675.0
24.0,none,2333.0
12.0,none,6199.0
48.0,none,10297.0
27.0,none,3416.0
24.0,none,3092.0
24.0,none,1516.0
15.0,none,1979.0
30.0,none,4249.0
24.0,none,3430.0
15.0,none,1778.0
21.0,none,1188.0
42.0,none,9283.0
15.0,none,1053.0
18.0,none,3612.0
21.0,none,3652.0
10.0,none,1225.0
30.0,none,7485.0
24.0,none,1258.0
36.0,none,8335.0
48.0,none,3609.0
12.0,none,1555.0
15.0,none,3959.0
24.0,none,6967.0
48.0,none,7582.0
24.0,none,1837.0
48.0,none,6758.0
24.0,none,2483.0
30.0,none,8072.0
12.0,none,639.0
24.0,none,2910.0
60.0,none,7418.0
48.0,none,10222.0
6.0,none,454.0
24.0,none,4591.0
48.0,none,3578.0
60.0,none,9157.0
24.0,none,4526.0
36.0,none,9572.0
36.0,none,3804.0
12.0,none,691.0
21.0,none,2476.0
9.0,none,790.0
60.0,none,6527.0
15.0,none,1264.0
36.0,none,7127.0
24.0,none,2028.0
11.0,none,1393.0
9.0,none,3195.0
12.0,none,339.0
24.0,none,4042.0
12.0,none,763.0
24.0,none,2424.0
36.0,none,4686.0
11.0,none,7228.0
24.0,none,7393.0
12.0,none,3527.0
6.0,none,609.0
24.0,none,4113.0
12.0,none,3573.0
15.0,none,1520.0
24.0,none,3148.0
36.0,none,3595.0
36.0,none,2613.0
6.0,none,426.0
12.0,guarantor,1893.0
24.0,none,1287.0
36.0,none,2145.0
18.0,none,2473.0
24.0,none,3149.0
18.0,co applicant,2100.0
30.0,none,1715.0
60.0,none,14782.0
24.0,none,4679.0
15.0,none,3568.0
20.0,guarantor,2235.0
27.0,none,2528.0
21.0,none,2993.0
45.0,guarantor,3031.0
36.0,none,10875.0
10.0,none,2210.0
24.0,none,1216.0
11.0,none,3939.0
24.0,none,2375.0
24.0,none,937.0
42.0,none,7166.0
15.0,none,1262.0
15.0,none,3594.0
36.0,none,5848.0
18.0,guarantor,1795.0
36.0,none,3959.0
24.0,none,1285.0
15.0,none,392.0
48.0,co applicant,10961.0
9.0,co applicant,2753.0
9.0,none,1919.0
12.0,none,2028.0
18.0,none,1042.0
6.0,none,428.0
9.0,none,2799.0
39.0,guarantor,4933.0
60.0,none,10366.0
12.0,none,2366.0
18.0,none,3378.0
10.0,none,1924.0
14.0,none,802.0
48.0,none,8358.0
12.0,none,1424.0
30.0,none,4221.0
24.0,none,1559.0
12.0,none,2214.0
12.0,none,3059.0
12.0,none,930.0
48.0,none,6110.0
12.0,none,2759.0
12.0,none,1922.0
24.0,none,4151.0
10.0,co applicant,1038.0
15.0,none,2511.0
30.0,co applicant,5954.0
12.0,none,1858.0
8.0,guarantor,760.0
15.0,none,1829.0
18.0,none,5302.0
12.0,none,741.0
10.0,co applicant,1287.0
24.0,none,1381.0
6.0,none,1346.0
48.0,none,6224.0
18.0,none,750.0
28.0,guarantor,7824.0
12.0,none,996.0
24.0,none,2825.0
10.0,none,1418.0
12.0,none,682.0
6.0,none,860.0
9.0,none,1337.0
9.0,none,1670.0
30.0,none,4280.0
18.0,none,6361.0
6.0,none,1743.0
12.0,none,754.0
8.0,none,3398.0
9.0,none,5129.0
10.0,none,781.0
18.0,none,1442.0
18.0,none,2051.0
18.0,none,2462.0
28.0,none,4006.0
12.0,none,951.0
15.0,none,1300.0
24.0,none,1901.0
42.0,none,4796.0
18.0,none,1473.0
12.0,none,1768.0
24.0,none,3777.0
27.0,none,5117.0
42.0,co applicant,3394.0
12.0,none,717.0
36.0,none,5842.0
9.0,none,1224.0
12.0,guarantor,1155.0
21.0,co applicant,3763.0
12.0,none,1082.0
48.0,none,15672.0
12.0,co applicant,3499.0
60.0,none,15653.0
24.0,none,8648.0
20.0,none,6468.0
24.0,none,2812.0
36.0,none,3990.0
11.0,none,2142.0
10.0,none,1364.0
15.0,none,1308.0
48.0,none,18424.0
12.0,none,841.0
6.0,none,590.0
24.0,none,3345.0
18.0,none,2600.0
12.0,co applicant,3590.0
15.0,none,5045.0
18.0,none,1126.0
24.0,co applicant,1193.0
39.0,none,8588.0
24.0,none,1533.0
18.0,none,1345.0
12.0,co applicant,1620.0
36.0,co applicant,9034.0
18.0,none,6260.0
15.0,none,2631.0
12.0,none,2141.0
12.0,none,652.0
36.0,co applicant,2671.0
36.0,none,5742.0
60.0,none,13756.0
48.0,none,4844.0
18.0,none,1943.0
18.0,guarantor,866.0
18.0,none,1941.0
24.0,none,5150.0
24.0,none,4351.0
24.0,none,947.0
24.0,none,1967.0
15.0,none,2186.0
9.0,none,2118.0
12.0,none,776.0
15.0,none,3812.0
39.0,none,14179.0
9.0,none,1437.0
15.0,none,1444.0
18.0,none,1445.0
18.0,none,2320.0
30.0,none,4272.0
15.0,none,4657.0
36.0,none,10974.0
48.0,none,3931.0
9.0,none,654.0
24.0,none,3758.0
10.0,guarantor,1309.0
42.0,none,4370.0
13.0,none,1409.0
30.0,none,1867.0
12.0,none,1107.0
12.0,none,640.0
24.0,none,1474.0
12.0,none,976.0
36.0,none,7980.0
18.0,none,6761.0
18.0,none,2278.0
9.0,none,1154.0
24.0,none,1927.0
9.0,none,2301.0
12.0,guarantor,1412.0
48.0,none,4605.0
18.0,none,1800.0
6.0,none,1898.0
18.0,guarantor,1113.0
45.0,none,4746.0
12.0,none,1534.0
15.0,none,950.0
24.0,none,2346.0
27.0,none,2442.0
15.0,none,3343.0
24.0,none,1249.0
15.0,guarantor,1845.0
24.0,none,2603.0
54.0,none,15945.0
36.0,none,12389.0
24.0,none,915.0
21.0,none,3160.0
9.0,none,1082.0
15.0,none,975.0
36.0,guarantor,3620.0
12.0,none,1995.0
36.0,none,6614.0
12.0,none,1935.0
36.0,none,3249.0
24.0,none,3062.0
36.0,none,2348.0
30.0,none,3108.0
9.0,none,1364.0
36.0,none,3913.0
24.0,none,4870.0
12.0,none,3617.0
15.0,none,4623.0
12.0,none,1344.0
21.0,none,3357.0
6.0,none,6761.0
24.0,none,2022.0
6.0,none,250.0
24.0,none,5103.0
36.0,none,2337.0
12.0,none,7472.0
18.0,none,1882.0
15.0,none,806.0
24.0,none,2197.0
9.0,none,1126.0
6.0,none,1352.0
18.0,none,5866.0
18.0,none,3872.0
24.0,co applicant,2611.0
9.0,none,936.0
60.0,none,10144.0
12.0,none,409.0
24.0,none,7814.0
36.0,none,4210.0
6.0,guarantor,3518.0
21.0,none,3275.0
36.0,none,14318.0
12.0,guarantor,1092.0
21.0,none,2782.0
21.0,none,2580.0
12.0,none,983.0
21.0,none,1572.0
18.0,guarantor,1301.0
15.0,guarantor,2728.0
36.0,none,1953.0
6.0,none,448.0
12.0,none,1386.0
12.0,none,1860.0
6.0,guarantor,753.0
24.0,none,5507.0
24.0,none,2957.0
15.0,none,3556.0
24.0,none,3181.0
36.0,none,9629.0
15.0,none,1403.0
9.0,guarantor,1288.0
30.0,none,2333.0
6.0,none,1237.0
6.0,none,362.0
16.0,none,1175.0
21.0,none,12680.0
18.0,none,3104.0
24.0,none,6313.0
12.0,none,1262.0
9.0,none,1422.0
15.0,none,1275.0
21.0,none,5248.0
20.0,none,6148.0
27.0,none,2570.0
48.0,none,9960.0
48.0,none,6331.0
12.0,none,2251.0
15.0,none,1316.0
15.0,none,1721.0
24.0,none,2679.0
30.0,none,3857.0
36.0,none,7432.0
24.0,none,2439.0
24.0,none,999.0
12.0,none,1168.0
18.0,none,1055.0
12.0,none,1331.0
24.0,none,1275.0
18.0,none,1887.0
24.0,none,1377.0
39.0,none,2569.0
12.0,none,3016.0
36.0,none,8065.0
24.0,co applicant,11938.0
24.0,none,1553.0
9.0,none,1449.0
48.0,none,5951.0
6.0,none,2063.0
21.0,none,2923.0
24.0,guarantor,1546.0
24.0,none,5943.0
30.0,none,10623.0
12.0,none,1474.0
24.0,none,1371.0
24.0,none,1413.0
18.0,none,1149.0
24.0,co applicant,4817.0
18.0,none,3850.0
12.0,none,1409.0
10.0,none,1521.0
12.0,none,1592.0
24.0,none,4712.0
15.0,none,1459.0
36.0,none,3535.0
6.0,none,1595.0
24.0,none,1199.0
36.0,none,2746.0
7.0,guarantor,2329.0
18.0,none,7374.0
48.0,none,3060.0
18.0,none,1131.0
36.0,none,5179.0
18.0,none,1936.0
30.0,guarantor,4583.0
36.0,co applicant,15857.0
12.0,none,1163.0
30.0,none,8386.0
24.0,none,1207.0
18.0,none,1216.0
12.0,none,1185.0
12.0,none,1372.0
11.0,none,1322.0
6.0,none,683.0
10.0,none,1347.0
18.0,none,3244.0
12.0,none,1410.0
15.0,none,1905.0
18.0,none,3114.0
12.0,none,2279.0
12.0,none,759.0
18.0,none,1961.0
18.0,none,1245.0
24.0,none,2964.0
10.0,none,894.0
12.0,none,1274.0
30.0,guarantor,2150.0
6.0,none,2647.0
12.0,none,685.0
18.0,none,4594.0
24.0,none,2872.0
18.0,none,2404.0
24.0,none,1231.0
48.0,none,3844.0
18.0,none,2238.0
36.0,none,9271.0
10.0,none,1597.0
27.0,none,8318.0
18.0,co applicant,4439.0
12.0,none,1655.0
8.0,none,1237.0
12.0,none,900.0
48.0,none,8487.0
6.0,none,1050.0
6.0,none,1343.0
20.0,none,7057.0
10.0,none,2146.0
36.0,none,12612.0
6.0,none,343.0
24.0,none,6615.0
36.0,none,3342.0
24.0,none,1659.0
24.0,none,3868.0
18.0,none,1808.0
9.0,none,2134.0
12.0,none,1123.0
7.0,none,730.0
18.0,none,6458.0
18.0,none,2662.0
24.0,none,5804.0
12.0,none,1484.0
6.0,none,932.0
