credit/table10.checking_status,credit/table10.own_telephone,credit/table10.property_magnitude,credit_amount
<0,none,car,3650.0
<0,yes,real estate,1755.0
0<=X<200,yes,real estate,1537.0
no checking,none,car,1493.0
0<=X<200,yes,no known property,12169.0
<0,yes,real estate,10722.0
0<=X<200,none,no known property,1239.0
no checking,yes,no known property,727.0
<0,none,real estate,3905.0
no checking,none,life insurance,4611.0
0<=X<200,yes,car,1567.0
<0,none,life insurance,1647.0
<0,none,car,3446.0
no checking,yes,no known property,9277.0
0<=X<200,yes,car,12204.0
no checking,yes,real estate,2978.0
no checking,yes,life insurance,5433.0
0<=X<200,none,real estate,1514.0
0<=X<200,yes,car,8086.0
<0,none,real estate,1333.0
no checking,none,real estate,1388.0
no checking,none,car,1980.0
<0,none,car,2577.0
no checking,yes,no known property,6314.0
no checking,none,car,2080.0
<0,none,real estate,2039.0
no checking,none,real estate,874.0
<0,none,car,1957.0
0<=X<200,yes,no known property,7308.0
>=200,none,real estate,1925.0
0<=X<200,yes,car,1355.0
<0,none,life insurance,795.0
>=200,none,life insurance,3017.0
<0,none,car,7685.0
no checking,yes,car,2292.0
<0,yes,no known property,1977.0
no checking,yes,real estate,7855.0
no checking,none,life insurance,2775.0
0<=X<200,none,life insurance,2353.0
no checking,yes,life insurance,1820.0
no checking,yes,car,2445.0
<0,none,real estate,1680.0
<0,yes,car,8471.0
0<=X<200,none,car,7966.0
<0,yes,no known property,3386.0
>=200,yes,real estate,939.0
no checking,none,life insurance,797.0
<0,none,life insurance,1747.0
<0,none,real estate,1108.0
0<=X<200,none,life insurance,2101.0
<0,yes,no known property,6579.0
no checking,yes,car,12749.0
no checking,yes,life insurance,522.0
<0,yes,real estate,2828.0
0<=X<200,yes,life insurance,2718.0
>=200,none,no known property,1240.0
0<=X<200,yes,real estate,1318.0
<0,none,life insurance,4308.0
<0,none,no known property,2578.0
no checking,yes,life insurance,1311.0
<0,none,car,6187.0
0<=X<200,yes,real estate,6204.0
0<=X<200,none,car,1068.0
0<=X<200,none,real estate,1577.0
no checking,none,life insurance,1585.0
<0,yes,no known property,1940.0
0<=X<200,yes,real estate,4241.0
>=200,none,real estate,1299.0
no checking,none,real estate,1469.0
no checking,none,car,2743.0
no checking,yes,car,1963.0
0<=X<200,yes,car,5096.0
<0,none,real estate,2579.0
no checking,yes,car,7678.0
0<=X<200,none,real estate,2181.0
no checking,none,no known property,1538.0
<0,none,car,338.0
0<=X<200,yes,no known property,11760.0
0<=X<200,none,car,4736.0
>=200,none,no known property,2892.0
no checking,none,real estate,1740.0
0<=X<200,yes,life insurance,9857.0
>=200,none,real estate,1330.0
>=200,none,life insurance,3656.0
<0,none,car,976.0
<0,none,no known property,2149.0
<0,none,no known property,7763.0
<0,yes,real estate,3384.0
<0,none,car,1282.0
no checking,none,real estate,1028.0
no checking,yes,real estate,1393.0
no checking,none,real estate,707.0
<0,none,real estate,571.0
<0,none,life insurance,8229.0
<0,none,real estate,2241.0
no checking,yes,real estate,2331.0
0<=X<200,yes,car,3496.0
no checking,yes,car,2169.0
0<=X<200,yes,no known property,5743.0
0<=X<200,yes,car,11328.0
no checking,none,life insurance,1750.0
0<=X<200,yes,car,5084.0
<0,none,life insurance,902.0
<0,none,car,3660.0
>=200,none,no known property,3617.0
<0,none,car,3552.0
no checking,yes,no known property,1819.0
no checking,none,real estate,3914.0
0<=X<200,yes,car,3878.0
no checking,yes,life insurance,3422.0
<0,none,real estate,2136.0
0<=X<200,none,no known property,7758.0
<0,none,no known property,1526.0
0<=X<200,none,car,6403.0
<0,yes,car,1842.0
<0,none,life insurance,674.0
no checking,yes,car,1402.0
0<=X<200,yes,life insurance,14555.0
no checking,yes,no known property,3757.0
<0,none,real estate,2132.0
no checking,none,real estate,1455.0
>=200,yes,life insurance,2687.0
<0,yes,car,1602.0
0<=X<200,yes,car,1965.0
<0,none,real estate,701.0
<0,yes,car,7174.0
no checking,yes,life insurance,1238.0
<0,none,real estate,4716.0
no checking,none,car,9566.0
no checking,yes,real estate,4526.0
0<=X<200,none,car,2991.0
0<=X<200,none,real estate,3001.0
<0,yes,life insurance,8978.0
no checking,none,car,2299.0
0<=X<200,none,no known property,1136.0
0<=X<200,yes,car,1501.0
0<=X<200,none,car,4576.0
>=200,none,real estate,2327.0
0<=X<200,none,car,11560.0
no checking,none,no known property,2748.0
no checking,none,car,719.0
no checking,yes,car,4530.0
no checking,none,no known property,10127.0
<0,none,car,3599.0
0<=X<200,none,life insurance,2520.0
no checking,none,car,1582.0
0<=X<200,none,real estate,1924.0
no checking,none,car,2675.0
0<=X<200,none,life insurance,2333.0
<0,yes,life insurance,6199.0
<0,yes,no known property,10297.0
<0,none,car,3416.0
0<=X<200,yes,car,3092.0
no checking,none,real estate,1516.0
no checking,none,car,1979.0
0<=X<200,none,car,4249.0
no checking,yes,car,3430.0
0<=X<200,none,real estate,1778.0
0<=X<200,none,life insurance,1188.0
0<=X<200,yes,no known property,9283.0
<0,none,real estate,1053.0
0<=X<200,yes,life insurance,3612.0
0<=X<200,none,life insurance,3652.0
>=200,yes,car,1225.0
no checking,yes,real estate,7485.0
no checking,yes,real estate,1258.0
<0,none,no known property,8335.0
no checking,none,real estate,3609.0
no checking,none,no known property,1555.0
<0,yes,life insurance,3959.0
0<=X<200,yes,car,6967.0
0<=X<200,yes,no known property,7582.0
0<=X<200,none,no known property,1837.0
<0,yes,car,6758.0
<0,yes,real estate,2483.0
<0,none,car,8072.0
0<=X<200,none,car,639.0
<0,yes,no known property,2910.0
0<=X<200,none,real estate,7418.0
no checking,yes,car,10222.0
0<=X<200,none,life insurance,454.0
no checking,yes,life insurance,4591.0
no checking,yes,real estate,3578.0
0<=X<200,none,no known property,9157.0
no checking,yes,real estate,4526.0
no checking,none,car,9572.0
0<=X<200,yes,car,3804.0
<0,none,life insurance,691.0
no checking,yes,real estate,2476.0
0<=X<200,none,real estate,790.0
no checking,yes,no known property,6527.0
0<=X<200,none,life insurance,1264.0
no checking,yes,life insurance,7127.0
no checking,none,life insurance,2028.0
no checking,none,car,1393.0
0<=X<200,none,real estate,3195.0
<0,none,car,339.0
no checking,yes,life insurance,4042.0
no checking,yes,real estate,763.0
no checking,none,life insurance,2424.0
no checking,yes,no known property,4686.0
no checking,none,life insurance,7228.0
no checking,none,life insurance,7393.0
no checking,yes,life insurance,3527.0
<0,none,life insurance,609.0
0<=X<200,none,car,4113.0
0<=X<200,none,real estate,3573.0
no checking,none,life insurance,1520.0
>=200,yes,car,3148.0
no checking,none,car,3595.0
no checking,none,car,2613.0
no checking,none,car,426.0
<0,yes,life insurance,1893.0
no checking,yes,real estate,1287.0
<0,yes,car,2145.0
<0,none,car,2473.0
<0,none,no known property,3149.0
>=200,none,real estate,2100.0
0<=X<200,none,car,1715.0
0<=X<200,yes,no known property,14782.0
no checking,yes,car,4679.0
no checking,yes,car,3568.0
<0,none,life insurance,2235.0
0<=X<200,yes,life insurance,2528.0
no checking,none,real estate,2993.0
0<=X<200,none,life insurance,3031.0
no checking,yes,car,10875.0
no checking,none,real estate,2210.0
0<=X<200,none,no known property,1216.0
<0,none,real estate,3939.0
no checking,yes,car,2375.0
no checking,none,car,937.0
no checking,yes,life insurance,7166.0
no checking,yes,life insurance,1262.0
no checking,none,life insurance,3594.0
>=200,none,car,5848.0
0<=X<200,yes,real estate,1795.0
<0,yes,life insurance,3959.0
<0,none,no known property,1285.0
>=200,yes,life insurance,392.0
0<=X<200,yes,no known property,10961.0
no checking,yes,car,2753.0
0<=X<200,yes,car,1919.0
0<=X<200,none,car,2028.0
0<=X<200,none,life insurance,1042.0
<0,yes,life insurance,428.0
<0,none,real estate,2799.0
0<=X<200,none,real estate,4933.0
no checking,yes,life insurance,10366.0
0<=X<200,yes,car,2366.0
no checking,yes,life insurance,3378.0
no checking,yes,life insurance,1924.0
no checking,none,car,802.0
0<=X<200,none,car,8358.0
0<=X<200,none,life insurance,1424.0
0<=X<200,none,car,4221.0
no checking,yes,car,1559.0
<0,none,life insurance,2214.0
no checking,none,real estate,3059.0
no checking,none,real estate,930.0
no checking,yes,no known property,6110.0
no checking,none,life insurance,2759.0
0<=X<200,none,life insurance,1922.0
no checking,none,life insurance,4151.0
<0,yes,life insurance,1038.0
<0,none,car,2511.0
no checking,none,car,5954.0
<0,none,car,1858.0
0<=X<200,none,real estate,760.0
no checking,yes,car,1829.0
<0,yes,no known property,5302.0
<0,none,life insurance,741.0
no checking,none,life insurance,1287.0
<0,none,life insurance,1381.0
no checking,yes,no known property,1346.0
0<=X<200,none,no known property,6224.0
<0,none,real estate,750.0
no checking,yes,real estate,7824.0
no checking,none,real estate,996.0
0<=X<200,yes,no known property,2825.0
no checking,none,real estate,1418.0
no checking,yes,car,682.0
<0,yes,no known property,860.0
>=200,yes,car,1337.0
0<=X<200,yes,car,1670.0
0<=X<200,none,car,4280.0
0<=X<200,yes,no known property,6361.0
no checking,none,real estate,1743.0
0<=X<200,none,life insurance,754.0
<0,none,real estate,3398.0
0<=X<200,yes,no known property,5129.0
>=200,yes,no known property,781.0
<0,none,no known property,1442.0
no checking,none,real estate,2051.0
<0,none,car,2462.0
<0,none,car,4006.0
0<=X<200,none,car,951.0
no checking,none,no known property,1300.0
no checking,yes,car,1901.0
>=200,none,no known property,4796.0
no checking,yes,real estate,1473.0
no checking,none,real estate,1768.0
no checking,yes,real estate,3777.0
no checking,none,car,5117.0
<0,none,car,3394.0
no checking,none,real estate,717.0
no checking,yes,life insurance,5842.0
no checking,none,real estate,1224.0
0<=X<200,none,real estate,1155.0
<0,none,real estate,3763.0
<0,none,car,1082.0
0<=X<200,yes,car,15672.0
<0,none,real estate,3499.0
no checking,yes,car,15653.0
no checking,yes,car,8648.0
0<=X<200,yes,real estate,6468.0
<0,none,real estate,2812.0
0<=X<200,none,no known property,3990.0
no checking,yes,real estate,2142.0
no checking,yes,car,1364.0
0<=X<200,none,car,1308.0
0<=X<200,yes,life insurance,18424.0
0<=X<200,none,real estate,841.0
0<=X<200,none,real estate,590.0
<0,yes,life insurance,3345.0
<0,none,no known property,2600.0
<0,none,life insurance,3590.0
no checking,yes,car,5045.0
no checking,yes,real estate,1126.0
<0,none,no known property,1193.0
no checking,yes,car,8588.0
no checking,yes,car,1533.0
<0,none,real estate,1345.0
<0,none,life insurance,1620.0
0<=X<200,yes,no known property,9034.0
0<=X<200,none,real estate,6260.0
0<=X<200,none,real estate,2631.0
no checking,none,no known property,2141.0
<0,none,life insurance,652.0
0<=X<200,none,no known property,2671.0
no checking,yes,car,5742.0
no checking,yes,no known property,13756.0
no checking,yes,car,4844.0
no checking,none,real estate,1943.0
0<=X<200,none,real estate,866.0
0<=X<200,yes,life insurance,1941.0
no checking,yes,car,5150.0
0<=X<200,yes,life insurance,4351.0
>=200,none,no known property,947.0
0<=X<200,yes,car,1967.0
no checking,none,real estate,2186.0
0<=X<200,none,real estate,2118.0
no checking,none,real estate,776.0
no checking,yes,car,3812.0
<0,yes,life insurance,14179.0
0<=X<200,none,no known property,1437.0
0<=X<200,none,life insurance,1444.0
>=200,none,car,1445.0
no checking,none,real estate,2320.0
no checking,none,life insurance,4272.0
no checking,yes,car,4657.0
no checking,yes,car,10974.0
<0,none,no known property,3931.0
<0,none,car,654.0
0<=X<200,none,no known property,3758.0
no checking,none,life insurance,1309.0
<0,yes,life insurance,4370.0
no checking,none,real estate,1409.0
no checking,yes,car,1867.0
<0,yes,real estate,1107.0
no checking,none,real estate,640.0
no checking,yes,real estate,1474.0
no checking,none,car,976.0
no checking,yes,car,7980.0
no checking,none,car,6761.0
0<=X<200,none,car,2278.0
0<=X<200,none,real estate,1154.0
no checking,yes,car,1927.0
no checking,none,life insurance,2301.0
no checking,yes,real estate,1412.0
<0,none,no known property,4605.0
no checking,none,car,1800.0
no checking,none,real estate,1898.0
0<=X<200,none,real estate,1113.0
0<=X<200,none,life insurance,4746.0
0<=X<200,none,real estate,1534.0
<0,none,car,950.0
no checking,yes,car,2346.0
<0,yes,car,2442.0
no checking,yes,no known property,3343.0
no checking,none,real estate,1249.0
<0,none,life insurance,1845.0
no checking,yes,car,2603.0
0<=X<200,yes,no known property,15945.0
0<=X<200,yes,no known property,12389.0
<0,none,car,915.0
no checking,yes,life insurance,3160.0
0<=X<200,none,car,1082.0
<0,none,life insurance,975.0
<0,none,life insurance,3620.0
0<=X<200,none,car,1995.0
no checking,yes,car,6614.0
no checking,yes,real estate,1935.0
<0,yes,no known property,3249.0
no checking,yes,no known property,3062.0
<0,yes,life insurance,2348.0
<0,none,life insurance,3108.0
<0,none,real estate,1364.0
>=200,yes,real estate,3913.0
<0,none,no known property,4870.0
0<=X<200,yes,car,3617.0
no checking,yes,life insurance,4623.0
<0,none,real estate,1344.0
<0,none,car,3357.0
no checking,yes,no known property,6761.0
no checking,yes,car,2022.0
no checking,none,real estate,250.0
no checking,yes,no known property,5103.0
0<=X<200,none,real estate,2337.0
0<=X<200,none,real estate,7472.0
<0,none,car,1882.0
<0,none,life insurance,806.0
no checking,yes,car,2197.0
>=200,none,real estate,1126.0
<0,yes,life insurance,1352.0
0<=X<200,yes,car,5866.0
0<=X<200,yes,car,3872.0
no checking,none,real estate,2611.0
no checking,yes,car,936.0
no checking,yes,real estate,10144.0
>=200,none,real estate,409.0
no checking,yes,car,7814.0
>=200,none,car,4210.0
no checking,none,life insurance,3518.0
no checking,yes,car,3275.0
0<=X<200,yes,no known property,14318.0
0<=X<200,yes,real estate,1092.0
no checking,none,car,2782.0
no checking,none,real estate,2580.0
0<=X<200,none,real estate,983.0
no checking,none,real estate,1572.0
0<=X<200,none,real estate,1301.0
0<=X<200,yes,real estate,2728.0
0<=X<200,yes,no known property,1953.0
<0,none,life insurance,448.0
no checking,none,life insurance,1386.0
0<=X<200,yes,car,1860.0
0<=X<200,none,real estate,753.0
no checking,none,no known property,5507.0
<0,yes,life insurance,2957.0
no checking,none,no known property,3556.0
no checking,yes,life insurance,3181.0
<0,yes,car,9629.0
<0,none,car,1403.0
<0,none,real estate,1288.0
no checking,none,car,2333.0
no checking,none,life insurance,1237.0
no checking,none,car,362.0
0<=X<200,yes,car,1175.0
no checking,yes,no known property,12680.0
<0,yes,life insurance,3104.0
no checking,yes,car,6313.0
no checking,none,car,1262.0
<0,yes,no known property,1422.0
<0,none,car,1275.0
no checking,none,car,5248.0
0<=X<200,yes,car,6148.0
no checking,none,real estate,2570.0
0<=X<200,yes,car,9960.0
<0,yes,no known property,6331.0
>=200,none,car,2251.0
no checking,none,life insurance,1316.0
<0,none,real estate,1721.0
no checking,yes,no known property,2679.0
<0,yes,life insurance,3857.0
0<=X<200,none,life insurance,7432.0
<0,yes,real estate,2439.0
no checking,none,car,999.0
<0,none,real estate,1168.0
no checking,none,life insurance,1055.0
0<=X<200,none,car,1331.0
>=200,yes,real estate,1275.0
0<=X<200,none,real estate,1887.0
>=200,yes,no known property,1377.0
no checking,none,car,2569.0
>=200,none,car,3016.0
<0,yes,no known property,8065.0
0<=X<200,yes,car,11938.0
0<=X<200,yes,life insurance,1553.0
no checking,none,car,1449.0
0<=X<200,none,real estate,5951.0
0<=X<200,yes,car,2063.0
>=200,yes,car,2923.0
<0,none,car,1546.0
no checking,yes,car,5943.0
<0,yes,no known property,10623.0
>=200,yes,life insurance,1474.0
<0,none,real estate,1371.0
no checking,none,life insurance,1413.0
no checking,none,real estate,1149.0
<0,yes,life insurance,4817.0
no checking,none,car,3850.0
<0,none,real estate,1409.0
0<=X<200,none,car,1521.0
no checking,none,life insurance,1592.0
0<=X<200,yes,life insurance,4712.0
no checking,none,car,1459.0
no checking,yes,car,3535.0
no checking,none,life insurance,1595.0
<0,none,car,1199.0
<0,none,car,2746.0
0<=X<200,none,real estate,2329.0
0<=X<200,yes,life insurance,7374.0
0<=X<200,none,real estate,3060.0
<0,none,car,1131.0
<0,none,life insurance,5179.0
<0,none,car,1936.0
<0,none,real estate,4583.0
<0,none,car,15857.0
no checking,yes,real estate,1163.0
0<=X<200,none,life insurance,8386.0
<0,none,life insurance,1207.0
<0,yes,car,1216.0
no checking,none,real estate,1185.0
<0,none,car,1372.0
0<=X<200,none,car,1322.0
>=200,none,life insurance,683.0
>=200,yes,life insurance,1347.0
0<=X<200,yes,car,3244.0
0<=X<200,yes,real estate,1410.0
>=200,yes,car,1905.0
<0,none,life insurance,3114.0
no checking,yes,no known property,2279.0
<0,none,real estate,759.0
>=200,none,car,1961.0
0<=X<200,none,car,1245.0
<0,yes,no known property,2964.0
no checking,yes,life insurance,894.0
<0,none,real estate,1274.0
0<=X<200,none,no known property,2150.0
<0,none,real estate,2647.0
0<=X<200,none,car,685.0
no checking,yes,car,4594.0
no checking,yes,real estate,2872.0
no checking,none,car,2404.0
<0,yes,life insurance,1231.0
0<=X<200,none,no known property,3844.0
no checking,none,car,2238.0
<0,yes,car,9271.0
no checking,none,no known property,1597.0
0<=X<200,yes,no known property,8318.0
0<=X<200,yes,real estate,4439.0
no checking,yes,real estate,1655.0
0<=X<200,none,real estate,1237.0
<0,none,car,900.0
0<=X<200,none,car,8487.0
0<=X<200,yes,life insurance,1050.0
>=200,none,real estate,1343.0
0<=X<200,yes,life insurance,7057.0
no checking,none,real estate,2146.0
0<=X<200,yes,no known property,12612.0
<0,none,real estate,343.0
<0,yes,no known property,6615.0
no checking,yes,car,3342.0
<0,yes,car,1659.0
no checking,yes,car,3868.0
no checking,none,real estate,1808.0
no checking,yes,car,2134.0
no checking,none,car,1123.0
no checking,yes,life insurance,730.0
no checking,yes,no known property,6458.0
no checking,none,life insurance,2662.0
no checking,none,real estate,5804.0
0<=X<200,yes,real estate,1484.0
no checking,none,real estate,932.0
