V35,V38,class
8.05977,0.208333,0
-13.8694,0.35,0
-0.0275432,0.102778,0
-1.7547,0.122222,0
4.98963,0.15625,0
6.291,0.308333,0
-1.00577,0.475,0
-5.17505,0.5,0
1.05151,0.155556,0
15.5813,0.35625,0
-7.67239,0.519444,0
0.945481,0.125,0
0.608729,0.336111,0
0.76409,0.491667,0
4.36917,0.0875,0
-3.45963,0.494444,0
1.25701,0.0979167,0
8.89264,0.2,0
2.80574,0.0611111,0
3.54145,0.469444,0
7.94185,0.330556,0
5.91963,0.163889,0
2.0311,0.141667,0
-0.797423,0.34375,0
-0.673947,0.0583333,0
-3.59126,0.0944444,0
15.7745,0.275,0
-0.406337,0.586111,0
0.186293,0.422917,0
7.36036,0.155556,0
0.656036,0.841667,0
-2.11471,0.25,0
-2.86653,0.252083,0
0.466713,0.233333,0
4.38285,0.25,0
4.15138,0.430556,0
2.4027,0.844444,0
-7.69472,0.380556,0
-0.939743,0.630556,0
-4.94512,0.805556,0
-2.09865,0.455556,0
0.0955358,1.0,0
0.839933,0.4,0
4.16743,0.625,0
0.185323,0.530556,0
-0.130783,1.0,0
11.0588,0.78125,0
-0.655128,0.425,0
0.505361,0.363889,0
3.11752,1.0,0
6.08011,0.680556,0
1.94704,0.5,0
0.0210284,0.602778,0
-8.55979,0.0979167,0
1.80542,0.0472222,0
-6.34826,0.527778,0
2.91462,0.272917,0
14.6486,0.89375,0
-1.82045,0.497222,0
3.35267,0.502083,0
4.82583,0.334375,0
7.05605,0.172222,0
-1.17857,0.55625,0
2.01496,0.0833333,0
-3.62978,0.854167,0
-4.69944,0.68125,0
-1.80081,0.190625,0
3.02827,0.59375,0
1.42499,0.190625,0
-4.32752,0.636111,0
-0.293726,0.20625,0
0.549352,0.808333,0
-1.93302,0.25625,0
-0.821768,0.4875,0
1.67014,0.336111,0
0.418215,0.379167,0
22.9321,0.555556,0
-11.9141,0.163889,0
-2.44346,0.513889,0
-0.785103,0.427778,0
2.58675,0.152778,0
-0.362125,0.0722222,0
1.03084,0.497917,0
1.79132,0.25,0
4.03804,0.714583,0
-0.467038,0.889583,0
-0.436425,0.497917,0
10.7638,0.325,0
0.548914,0.205556,0
2.98234,0.245833,0
-1.75258,0.525,0
15.1266,0.260417,0
-0.035613,0.130556,0
2.59509,0.927083,0
2.52908,0.104167,0
0.157372,0.558333,0
-4.43367,0.461111,0
17.351,0.344444,0
2.51677,0.616667,0
-0.396233,0.177778,0
-0.981702,0.105556,0
-0.249745,0.388889,0
7.3522,0.38125,0
-2.0445,0.810417,0
3.88157,0.647222,0
-3.14391,0.258333,0
3.43513,0.410417,0
-2.69713,0.246875,0
3.43697,0.283333,0
-1.76686,0.165625,0
9.76472,0.08125,0
2.94001,0.463889,0
-3.24039,0.216667,0
4.07035,0.522222,0
1.26716,0.596875,0
-11.4423,0.179167,0
1.66791,0.536111,0
0.0493616,0.128125,0
-2.91487,0.0972222,0
0.185286,0.625,0
-4.36958,0.160417,0
1.03024,0.34375,0
-3.0606,0.225,0
6.5937,0.361111,0
-7.55909,0.144444,0
6.89961,0.227778,0
-2.65871,0.277778,0
11.3228,0.708333,0
1.29873,0.364583,0
2.59557,0.291667,0
7.78979,0.147222,0
-0.0423176,0.177778,0
-0.977998,0.125,0
-0.436142,0.433333,0
5.54797,0.64375,0
-0.834709,0.3,0
-2.69929,0.844444,0
-0.564732,0.2,0
-17.0038,0.311111,0
1.46062,0.680556,0
1.10078,0.15625,0
0.815627,0.9125,0
-17.3334,0.144444,0
3.2191,0.516667,0
-2.98903,0.309375,0
2.04485,0.269444,0
0.796345,0.2,0
3.70717,0.475,0
0.710475,0.790625,0
-6.05743,0.586111,0
-0.608692,0.454167,0
0.8288,0.927778,0
-0.876877,0.0722222,0
-6.66808,0.275,0
2.59734,0.210417,0
0.572647,0.26875,0
-0.831433,0.2,0
-2.02495,0.0944444,0
-0.802369,0.341667,0
-0.0160901,0.420833,0
2.19457,0.883333,0
-1.41625,0.288889,0
-1.00874,0.06875,0
-0.67055,0.06875,0
4.24277,0.14375,0
0.122732,0.929167,0
-0.207159,0.188889,0
-1.07957,0.945833,0
3.36163,0.475,0
0.840491,0.388889,0
0.48783,0.210417,0
2.30848,0.647222,0
0.277346,0.1375,0
0.884083,0.355556,0
2.51364,0.219444,0
-2.84182,0.58125,0
-11.8157,0.686111,0
-0.00973621,1.0,0
-7.00872,0.0944444,0
5.02022,0.0972222,0
-3.95496,0.340625,0
5.41859,0.495833,0
10.5712,0.122222,0
24.8301,0.102083,0
0.107803,0.216667,0
6.59413,0.0611111,0
0.206337,0.552778,0
0.617442,0.583333,0
5.8224,0.169444,0
-6.00371,0.0805556,0
2.34046,0.241667,0
3.01668,0.466667,0
-0.0430229,0.175,0
18.5565,0.38125,0
-4.73847,0.183333,0
0.822111,0.561111,0
-6.03752,0.24375,0
-3.10389,0.9375,0
-11.9511,0.761111,0
1.52956,0.8,0
0.971746,0.269444,0
-2.10021,0.794444,0
-1.02601,0.0645833,0
-0.140054,0.3875,0
5.02583,0.425,0
-2.5381,0.463889,0
-0.950196,0.269444,0
-1.20647,0.391667,0
3.56658,0.210417,0
4.31083,0.364583,0
1.48723,0.647222,0
5.26804,0.291667,0
12.742,0.327778,0
8.32645,0.219444,0
0.191354,0.119444,0
1.04298,0.15625,0
1.58371,0.541667,0
2.96834,0.291667,0
0.935783,0.191667,0
7.80997,0.508333,0
1.064,0.147222,0
-3.29752,0.533333,0
-6.57052,0.491667,0
-2.39892,0.103125,0
-2.12667,0.15,0
0.879972,0.327778,0
1.38261,0.561111,0
5.5127,0.0472222,0
-5.71134,0.291667,0
-0.825746,0.2125,0
4.43618,0.359375,0
15.3064,0.422222,0
0.906684,0.738889,0
2.62578,0.133333,0
-0.80622,0.208333,0
8.29219,0.320833,0
1.44068,0.427778,0
8.70168,0.316667,0
-4.70984,0.878125,0
10.2953,0.0958333,0
-2.18753,0.31875,0
6.17124,0.741667,0
2.42636,0.258333,0
-16.2167,0.147222,0
2.46169,0.378125,0
0.0827243,0.0972222,0
1.66917,0.294444,0
-1.26654,0.297222,0
14.3392,0.477778,0
-2.29491,0.466667,0
-1.89872,0.397222,0
-7.50077,0.180556,0
4.41035,0.597917,0
0.663182,0.564583,0
8.18322,0.125,0
2.65008,0.319444,0
0.176511,0.29375,0
1.22558,0.697222,0
-2.76829,0.561111,0
1.03147,0.444444,0
4.15839,0.102778,0
-1.40222,0.49375,0
17.7467,0.380556,0
4.74211,0.616667,0
-0.195357,0.369444,0
4.20244,0.209375,0
1.73974,0.264583,0
0.531527,0.647222,0
-1.05009,0.491667,0
2.26714,0.302083,0
1.82227,0.452083,0
-8.77234,0.08125,0
-1.1093,0.561111,0
3.80189,0.683333,0
-1.35522,0.44375,0
2.30442,0.514583,0
0.0833855,0.430556,0
-0.568142,0.772917,0
-17.4645,0.883333,0
0.0784398,0.561111,0
-0.514205,0.538889,0
0.270174,0.488889,0
2.00233,0.852083,0
12.293,0.430556,0
2.83093,0.172222,0
-5.50552,0.180556,0
-0.0201816,0.49375,0
3.30452,0.125,0
0.193435,0.384375,0
-1.87768,0.447222,0
4.92503,0.146875,0
-1.51488,0.386111,0
21.0582,0.0777778,0
2.05031,0.555556,0
2.2875,0.710417,0
1.23813,0.06875,0
-0.085471,0.758333,0
-6.43808,0.66875,0
-0.434488,0.452083,0
20.1216,0.488889,0
-4.11039,0.495833,0
0.63211,0.477778,0
-3.43519,0.505556,0
3.1877,0.988889,0
-0.0926206,0.471875,0
2.56654,0.25,0
-1.24818,0.302778,0
7.98043,0.161111,0
3.71598,0.288889,0
-19.2386,0.330556,0
-0.164596,0.285417,0
10.4817,0.419444,0
-0.888878,0.313889,0
17.5613,0.69375,0
0.60653,0.222222,0
2.96303,0.2125,0
-2.82985,0.379167,0
-11.6868,0.333333,0
2.73971,0.7625,0
1.7916,0.395833,0
0.0970222,0.29375,0
4.2435,0.197222,0
2.69028,0.189583,0
2.57172,1.0,0
0.882834,0.111111,0
-8.61396,0.213889,0
1.12855,0.0722222,0
1.88164,0.170833,0
6.04989,0.227778,0
-0.759895,0.608333,0
5.42218,0.122222,0
-1.04934,0.183333,0
1.82637,0.702778,0
1.94392,0.661111,0
4.564,0.141667,0
-1.64218,0.15,0
-3.91163,0.7,0
-0.914519,0.205556,0
2.30379,0.675,0
1.70947,0.588889,0
-6.05068,0.4,0
4.52998,0.605556,0
-5.48229,0.33125,0
0.347678,0.255556,0
0.626645,0.322917,0
-0.0248987,0.544444,0
0.316263,0.597222,0
-14.5432,0.380556,0
0.147447,0.602778,0
-6.19483,0.769444,0
4.04656,0.233333,0
7.05106,0.0972222,0
-8.5039,0.852778,0
-0.0165611,0.5,0
1.34333,0.528125,0
-2.92305,0.446875,0
-9.31812,0.702083,0
10.7998,0.539583,0
1.93938,0.147917,0
0.138844,0.147917,0
3.40923,0.694444,0
0.779359,0.122222,0
0.344186,0.675,0
-1.49873,0.208333,0
-3.08518,0.596875,0
17.1703,0.18125,0
-0.765396,0.561111,0
4.69911,0.469444,0
-0.912081,0.554167,0
7.19351,0.35,0
8.93568,0.13125,0
-3.02331,0.6125,0
2.13408,0.253125,0
1.7657,0.15625,0
1.90566,0.690625,0
16.6198,0.104167,0
-4.27427,0.0944444,0
-3.85869,0.172222,0
10.2868,0.211111,0
0.337827,0.516667,0
6.4684,0.05,0
-1.29573,0.716667,0
1.15695,0.277778,0
5.44271,0.339583,0
-0.695326,0.486111,0
5.80746,1.0,0
0.308498,0.447917,0
-5.2862,0.211111,0
14.8697,0.471875,0
-0.653555,0.304167,0
25.6312,0.366667,0
2.88213,0.202778,0
-1.07471,0.0583333,0
0.921239,0.0833333,0
0.805342,0.8375,0
4.70155,0.10625,0
2.2811,0.514583,0
5.72893,0.411111,0
-1.02706,0.327778,0
17.6466,0.872222,0
-11.6579,0.386111,0
3.25086,0.680556,0
-1.64262,0.314583,0
18.0219,0.552778,0
-4.55252,0.284375,0
-2.82954,0.280556,0
0.668665,0.241667,0
-3.48663,0.669444,0
-6.58061,0.620833,0
0.222865,0.2625,0
1.97313,0.4,0
-1.36276,0.0791667,0
-1.13101,0.44375,0
3.18434,0.35,0
0.0873931,0.613889,0
-7.80583,0.05,0
4.11308,0.261111,0
5.01209,0.344444,0
-5.13859,0.588889,0
-1.123,0.5625,0
2.51013,0.116667,0
1.04967,0.204167,0
0.00869035,0.902083,0
-13.7565,0.45,0
-0.601587,0.563889,0
14.5878,0.391667,0
-11.7153,0.1,0
14.0193,1.0,0
-6.05008,0.390625,0
-5.52215,0.6,0
1.31707,0.44375,0
2.64348,0.272222,0
-0.504055,0.227778,0
-2.30003,0.24375,0
0.0498992,0.144444,0
-3.68363,0.361111,0
-6.6125,0.272222,0
-1.07935,0.3,0
-0.316293,0.1125,0
-0.0654386,0.2,0
-0.976587,0.119444,0
-1.26832,0.495833,0
5.32715,0.697222,0
-4.85206,0.30625,0
5.49612,0.589583,0
4.50852,0.25,0
26.5039,0.3,0
3.13826,0.25625,0
0.336405,0.144444,0
-1.32981,0.116667,0
1.50256,0.314583,0
-2.46845,1.0,0
4.48255,0.583333,0
-1.10336,0.120833,0
21.3501,0.5,0
1.25146,0.25,0
0.744165,0.241667,0
-2.31759,0.691667,0
15.31,0.188889,0
9.05605,0.43125,0
-3.49912,0.275,0
4.72426,0.244444,0
-1.20087,0.141667,0
1.38063,0.194444,0
-1.72563,0.0916667,0
-1.05634,0.480556,0
-1.77312,0.122222,0
9.87441,0.527778,0
1.06502,0.105556,0
-4.37266,0.772222,0
-11.6097,0.5,0
0.894825,0.0833333,0
1.10915,0.235417,0
3.25851,0.569444,0
-3.69316,0.122222,0
0.0219362,0.15,0
-0.329347,0.183333,0
1.6596,0.322222,0
2.50581,1.0,0
-0.506024,0.480556,0
8.04466,0.194444,0
-0.294976,0.0916667,0
-2.53422,0.194444,0
1.62878,0.422222,0
-11.2068,0.455556,0
-2.82959,0.0944444,0
-0.208471,0.441667,0
-4.42491,0.209375,0
1.89896,0.370833,0
3.12731,0.597917,0
-1.78503,0.434375,0
19.9931,0.3,0
1.1952,0.238889,0
2.11555,1.0,0
4.42841,0.16875,0
3.17252,0.202778,0
-5.17477,0.709375,0
27.2842,0.566667,0
2.03735,0.503125,0
8.9093,0.464583,0
-6.94773,0.65625,0
-0.0172929,0.189583,0
10.2348,0.477778,0
4.7747,1.0,0
0.910877,0.527778,0
0.21837,0.191667,0
-2.60667,0.852778,0
3.81156,0.5,0
-2.74182,0.375,0
-0.88327,0.338889,0
-14.6998,0.847222,0
-1.10133,1.0,0
-5.11433,0.225,0
2.15396,0.470833,0
-11.7182,0.388889,0
30.1888,0.510417,0
-2.74923,0.508333,0
-3.51455,0.541667,0
0.0270026,0.419444,0
-7.88871,0.221875,0
16.4111,0.463889,0
1.89632,0.0666667,0
-8.84478,0.68125,0
-1.12893,0.116667,0
-1.77161,0.272222,0
-2.45271,0.616667,0
6.45319,0.147222,0
3.64388,0.205556,0
0.389517,0.244444,0
2.03941,0.411111,0
-6.56446,0.504167,0
1.35781,0.2625,0
-0.0318438,0.286111,0
0.309504,0.397222,0
0.487398,1.0,0
0.637492,0.46875,0
7.68383,0.458333,0
7.09931,0.591667,0
-2.82634,0.261111,0
12.8286,0.975,0
1.92275,0.579167,0
0.288506,0.241667,0
9.37172,0.1125,0
-3.46502,0.145833,0
-9.02316,0.3,0
10.7474,0.641667,0
9.52618,0.138889,0
4.38626,0.286111,0
15.8899,0.338889,0
-0.16741,0.141667,0
6.39618,0.435417,0
8.67099,0.0888889,0
-1.37023,0.263889,0
7.61529e-15,0.575,0
-2.24238,0.402778,0
7.64693,0.725,0
-9.613,0.447222,0
2.70431,0.175,0
7.31149,0.297222,0
-5.47778,0.0604167,0
15.3482,0.161111,0
0.426698,0.469444,0
-4.30009,0.119444,0
7.7355,0.113889,0
2.01753,0.403125,0
0.0837281,0.469444,0
-1.82722,0.358333,0
1.05154,0.353125,0
-5.82144,0.572222,0
0.083492,0.179167,0
1.42069,0.075,0
5.03256,0.240625,0
-1.40347,0.51875,0
5.07741,0.375,0
0.0249688,0.641667,0
3.80041,0.605556,0
6.09907,0.0638889,0
-1.89065,0.558333,0
-0.638199,0.408333,0
2.79952,0.879167,0
-1.08483,0.233333,0
4.51617,0.328125,0
0.693299,0.363889,0
-11.9496,0.0611111,0
-0.461975,0.33125,0
16.4524,0.655556,0
-6.93097,0.0888889,0
-2.1654,0.644444,0
2.28004,0.266667,0
1.50724,0.802083,0
5.35298,0.341667,0
-7.92126,0.9,0
12.3857,0.408333,0
2.10337,0.183333,0
5.92544,0.405556,0
1.69376,0.208333,0
0.259509,0.311111,0
-2.17485,0.111111,0
3.92335,0.261111,0
-13.6214,1.0,0
-1.05768,0.847222,0
-0.205349,0.7,0
0.329605,0.0861111,0
6.23938,0.414583,0
-2.08372,0.155556,0
-0.0319173,0.394444,0
13.2048,0.344444,0
0.371122,0.288889,0
2.4066,0.266667,0
-13.6395,0.0958333,0
10.8073,0.266667,0
-0.63687,0.422917,0
1.47567,0.355556,0
-0.95488,0.572222,0
0.114651,0.483333,0
1.16698,0.825,0
-7.86459,0.1125,0
2.69096,0.0791667,0
3.77177,0.994444,0
-8.23278,0.622917,0
-3.41914,0.1,0
8.81527,0.572222,0
-4.33707,0.136111,0
-1.33659,0.65,0
-1.16018,0.188889,0
-6.42439,0.278125,0
-4.03783,0.302778,0
5.45934,0.202778,0
-0.253004,0.272917,0
-0.465203,0.336111,0
3.52195,0.469444,0
5.91029,0.986111,0
1.85405,0.55,0
8.96117,1.0,0
0.5446,0.558333,0
0.242206,0.0958333,0
-2.75079,0.295833,0
1.14491,0.883333,0
-10.5507,0.413889,0
0.396408,0.861111,0
2.64498,0.752083,0
-3.34047,0.15,0
2.43335,0.205556,0
0.666791,0.508333,0
2.66358,0.491667,0
2.31248,0.33125,0
6.69772,0.2,0
-6.41637,0.1,0
-1.51363,0.130556,0
-0.300344,0.075,0
12.2043,0.422917,0
0.524497,0.369444,0
3.27138,0.461111,0
5.88376,0.378125,0
19.8515,0.394444,0
9.32977,0.41875,0
3.88291,0.840625,0
3.18841,0.463889,0
-2.86451,0.338889,0
1.02496,0.590625,0
-0.279853,0.28125,0
6.39258,0.172222,0
4.1672,0.666667,0
0.324659,0.291667,0
4.61048,0.495833,0
6.096,0.475,0
7.84142,0.33125,0
8.98761,0.0972222,0
3.12618,0.725,0
-0.861869,0.511111,0
27.151,0.225,0
-0.623287,0.286111,0
1.97193,0.875,0
-4.72091,0.164583,0
-0.892689,0.375,0
2.01601,0.119444,0
2.7552,0.63125,0
-2.14242,0.133333,0
2.79048,0.886111,0
-2.29239,1.0,0
3.30688,0.297222,0
-6.40938,0.35625,0
1.70484,0.84375,0
4.68599,0.475,0
0.545845,0.872222,0
0.843467,0.633333,0
3.18442,0.141667,0
8.54305,0.325,0
3.38252,0.0472222,0
-0.505262,0.708333,0
4.27185,0.230556,0
-3.36425,0.75,0
-2.39929,0.236111,0
-1.62192,0.377778,0
6.46983,0.460417,0
-2.94517,0.227778,0
-0.916279,0.488889,0
1.92929,0.891667,0
2.58821,0.355556,0
-13.3664,0.166667,0
-0.590321,0.355556,0
-1.14038,0.188889,0
-0.0358784,0.144444,0
-6.6432,0.397917,0
3.16436,0.144444,0
10.6745,0.340625,0
0.670025,0.547222,0
-0.818267,0.430556,0
3.23465,0.108333,0
-1.19568,0.55,0
-0.286914,0.197222,0
-1.06667,0.1125,0
2.98007,0.0444444,0
-1.11103,0.319444,0
6.62021,0.810417,0
-0.971416,0.552083,0
-10.071,0.258333,0
1.35546,0.344444,0
2.61781,0.347222,0
-2.85925,0.489583,0
1.28693,0.877778,0
-5.42484,0.519444,0
0.50992,0.311111,0
3.00046,0.133333,0
2.11179,0.391667,0
4.89974,0.597917,0
13.0909,0.291667,0
0.706989,0.319444,0
5.1681,0.3125,0
0.679028,0.0555556,0
2.95282,0.2375,0
23.7625,0.510417,0
2.11257,0.419444,0
-3.59457,0.96875,0
7.39325,1.0,0
-11.9067,0.711111,0
4.73582,0.108333,0
-0.482926,0.238889,0
4.60992,0.694444,0
3.28446,0.711111,0
0.605876,0.208333,0
-3.30269,0.25,0
9.17549,0.436111,0
5.17906,0.427778,0
5.4862,0.203125,0
0.865323,0.352778,0
0.429965,0.0833333,0
-0.222231,0.10625,0
-1.21873,0.336111,0
-1.95773,0.325,0
7.5736,0.408333,0
-1.5042,0.269444,0
4.69817,0.49375,0
-3.50962,0.266667,0
-1.6256,1.0,0
-3.74002,0.402778,0
0.651828,0.172222,0
-1.08361,0.277778,0
7.03481,0.311111,0
3.42187,0.252778,0
-1.28809,0.116667,0
10.5549,0.895833,0
-0.370843,0.0520833,0
-4.3039,0.19375,0
-3.59915,0.270833,0
1.32123,0.616667,0
0.454631,0.772222,0
-0.458478,0.411111,0
-0.764816,0.341667,0
8.46709,0.644444,0
20.6027,0.09375,0
4.7337,0.211111,0
-2.87357,0.2375,0
0.463297,0.0888889,0
-1.73156,0.255556,0
6.47466,0.608333,0
0.523792,0.461111,0
-0.122388,0.2375,0
1.31597,0.433333,0
-5.03609,0.490625,0
6.00242,0.294444,0
0.557072,0.205556,0
0.940231,0.0541667,0
-3.80472,0.527778,0
0.0339975,0.380556,0
6.30963,0.25,0
-2.63585,0.195833,0
3.7332,0.10625,0
-0.208424,0.494444,0
3.70584,0.71875,0
4.20266,0.302778,0
-12.3445,0.227778,0
1.32323,0.277778,0
-5.50574,0.379167,0
3.58269,0.661111,0
0.383856,0.479167,0
-0.0772731,0.285417,0
1.55272,0.269444,0
10.4563,0.141667,0
-2.03569,0.152778,0
-5.69441,0.225,0
-0.979227,0.277083,0
0.316679,0.629167,0
1.01492,0.66875,0
-2.94858,0.680556,0
4.90496,0.383333,0
-0.0249426,0.2375,0
1.12997,0.641667,0
1.78563,0.208333,0
-2.4977,0.238889,0
-3.02815,0.53125,0
17.035,0.230556,0
2.48611,0.40625,0
0.457036,0.14375,0
4.28403,0.580556,0
-7.15167,0.25,0
6.41964,0.141667,0
19.0521,0.434375,0
-11.7614,0.247917,0
1.23672,0.133333,0
-2.85824,0.68125,0
18.4272,0.15625,0
5.74034,0.241667,0
6.86236,0.452778,0
5.31547,0.202778,0
-5.73702,0.233333,0
-2.4229,0.5875,0
0.3611,0.9625,0
-1.71032,0.885417,0
-1.34763,0.197222,0
3.83444,0.680556,0
-1.38395,0.391667,0
7.40015,0.641667,0
-3.60873,0.184375,0
3.59639,0.877778,0
0.164509,0.255556,0
-0.572598,0.719444,0
2.63853,0.425,0
0.428685,0.194444,0
4.90349,0.416667,0
-4.41791,0.160417,0
-10.6065,0.422222,0
-5.18878,0.452083,0
-3.1855,0.177778,0
-3.1881,0.529167,0
0.565542,0.147917,0
0.666986,0.408333,0
-8.41544,0.411111,0
2.31101,0.340625,0
2.9952,0.222222,0
4.53148,0.547917,0
1.47433,0.338889,0
1.44222,0.920833,0
-0.517506,0.858333,0
5.10093,0.215625,0
-1.78497,0.310417,0
0.0130215,0.10625,0
-9.35519,0.386111,0
1.67395,0.161111,0
2.44302,0.410417,0
-2.30146,0.944444,0
3.8172,0.536111,0
-0.971639,0.388889,0
-1.13052,0.314583,0
-0.0711351,0.372222,0
0.232497,0.258333,0
-4.90976,0.854167,0
9.65792,0.253125,0
2.47617,0.513889,0
-0.796806,0.827083,0
0.27525,0.0916667,0
5.07156,0.277778,0
6.84709,0.544444,0
-3.37289,0.234375,0
-0.802744,0.284375,0
4.93553,0.544444,0
-1.93695,0.241667,0
-1.97691,0.2625,0
-1.26059,0.744444,0
0.830011,0.583333,0
-10.5932,0.483333,0
1.02031,0.329167,0
-0.392736,0.370833,0
-6.86586,0.169444,0
-12.4306,0.322222,0
-3.00112,0.161111,0
-7.56586,0.65,0
4.78049,1.0,0
-1.09557,0.427778,0
0.11351,0.236111,0
7.06006,0.45625,0
0.214275,0.708333,0
5.1867,0.479167,0
-1.94292,0.152778,0
-4.2738,0.7875,0
1.43192,0.277778,0
0.0920038,0.1,0
-1.60275,0.136111,0
-0.0163625,0.516667,0
-5.24044,0.2,0
6.90848,0.613889,0
-1.86869,0.71875,0
