jannis/table10.V20,jannis/table10.V21,jannis/table10.V23,jannis/table10.V24
0.707865,-6.45369,4.86083,10.1403
3.24275,5.44815,1.83826,2.55868
-0.455437,-2.83406,2.22753,4.73344
0.00652564,-0.498872,0.376083,0.353353
-0.338043,-5.63851,0.4858,1.90884
-1.5549,7.28038,4.49303,8.33079
0.138954,0.268524,0.456219,1.63411
-2.52035,-16.9228,1.05367,5.98877
-7.10955,16.4614,7.81167,8.95278
0.464493,11.7919,2.98127,6.75813
9.64976,10.2267,2.99909,1.57567
-1.44282,5.89821,2.65219,7.31305
-9.50644,-0.681643,5.6147,10.7808
-0.03368,1.95548,2.64292,3.78208
-0.763407,10.4032,2.64544,4.24352
0.596303,2.70606,2.22339,4.30826
-1.74824,3.31402,1.56757,3.05168
-0.588742,-7.24212,5.16717,10.4362
0.552757,-4.62667,0.512872,0.904193
-6.48878,-11.4359,3.62026,5.16269
2.50814,-4.20442,1.11797,7.07846
1.96034,10.3252,2.7624,5.42278
-1.35084,1.59772,0.363537,1.30422
-2.52418,-13.4628,1.37901,4.37808
15.4903,12.2869,12.8746,12.9009
-0.614646,-4.68678,1.23589,2.60036
-6.45251,9.73595,3.91067,4.10186
-1.05897,-7.28364,0.747325,2.79637
3.58316,5.85017,7.67292,1.43025
-1.13598,8.53443,2.53216,8.34956
-3.38108,2.82993,5.52309,6.7468
1.31516,2.69752,1.48142,4.62111
0.444089,-0.450399,0.190948,0.182608
1.92627,23.4931,3.61703,8.42774
0.847307,-2.75281,2.90804,6.89438
-0.0443319,-0.308504,1.66672,2.611
0.576142,6.75616,1.42024,4.00221
-8.20403,28.5556,10.6077,13.7351
-7.39165,9.70309,4.63651,10.5598
-1.23162,0.412125,1.16517,2.15708
2.19463,5.28391,1.09701,1.90118
12.8324,12.3334,13.3386,11.6097
10.7731,4.42509,5.57523,9.26527
3.57753,17.0306,9.80867,12.4005
5.34622,2.16861,5.1655,7.54024
-0.492026,17.7725,3.16478,22.182
0.482291,6.63183,2.57297,3.98781
-4.20848,-11.7797,1.02871,1.35277
0.612681,-1.67474,0.770846,2.58008
0.738286,9.90205,1.92779,4.26796
0.689909,0.606788,1.05123,2.17188
1.02872,2.39569,0.808999,2.14717
-1.09554,0.36986,4.17931,9.0088
2.05689,-1.49793,2.86409,8.40528
-0.437353,-0.938409,0.318447,0.289661
-4.07004,17.8033,2.49627,7.35521
1.67597,-4.7096,1.5686,3.17999
3.45637,0.178024,2.61621,2.01799
0.0595733,6.80401,1.28017,1.65371
-3.28967,-7.90831,0.599511,1.3697
-2.55098,-0.856634,2.47193,3.6948
3.59895,4.92804,2.62241,6.40777
-0.566551,-2.89354,1.67956,4.41417
0.756034,1.65991,0.952669,1.78751
-8.33026,21.3252,5.78357,10.9005
-4.67385,9.4444,6.73843,9.80045
1.09409,11.0954,1.97846,4.95036
0.18748,-0.194868,3.77951,3.75632
-2.19531,-1.68775,0.839166,2.65425
29.6615,18.5092,12.8357,14.3483
0.349215,-0.483689,0.433355,0.55769
0.743954,12.1378,0.841529,1.44503
0.925628,-0.641017,0.305658,0.897175
-1.4199,-0.683028,1.29894,4.05898
-0.565147,1.17647,0.232162,0.375028
3.18395,12.0296,3.98375,11.2246
-0.739922,1.23314,2.52769,4.29875
-0.815707,-21.7334,1.2188,3.52839
-3.24777,1.83915,1.7237,2.86693
-0.412063,9.78335,1.61731,2.67963
0.402531,5.56395,1.86369,2.20371
3.72235,11.2729,2.54234,3.88178
25.4824,8.27843,21.8636,9.64545
-0.149946,-0.855634,0.646437,1.83831
-1.1867,11.1497,2.18292,4.17725
-0.989041,4.21608,1.57379,1.64483
-3.19803,17.4072,3.87403,8.05192
0.0382503,10.2704,1.41843,4.77008
1.42758,13.4772,3.55742,7.36252
0.390105,-1.26305,0.553373,0.493099
-2.00692,-5.26934,0.98017,1.4788
0.68601,1.29173,2.36486,4.0007
-2.64596,18.1608,1.97242,5.10575
-5.62256,11.9346,5.62689,11.3142
-2.23573,17.4626,2.64929,5.3901
-2.3298,3.87318,2.5226,6.06334
0.341547,-15.3404,8.10197,11.6777
0.577899,5.65465,3.09597,4.4135
-0.436413,1.04,1.06975,2.54463
0.385147,0.543713,1.63403,3.13686
-1.54555,-3.09845,1.15345,1.60106
3.64215,8.91987,2.24855,5.29602
3.39296,3.08673,12.6101,7.19519
-11.5838,14.2288,4.42076,6.93564
2.16793,3.73962,2.15302,3.24976
2.38871,6.44275,0.899296,1.4129
2.70392,5.12828,0.842741,2.01193
5.90217,-12.1859,3.41752,9.18515
-3.06479,-1.03835,0.59429,0.272449
-4.08293,19.4475,2.45732,5.09937
1.00257,3.76272,5.99813,6.47016
0.260687,14.1893,2.10599,5.0443
-1.89182,9.37144,1.18368,2.90037
1.71507,59.4798,4.85329,20.7574
-0.822095,1.87852,0.500511,0.542455
-1.51437,3.99831,4.42224,7.64079
8.02491,3.4337,2.72247,3.49293
-4.99624,0.701661,1.23009,1.39908
-3.7691,-13.9428,0.953865,4.26132
12.5274,52.3508,2.68509,6.30917
-5.48154,-9.48578,1.09864,1.12505
-1.24145,3.9354,1.8412,2.93941
4.8259,10.4497,7.12519,8.01988
4.65388,11.958,0.732852,1.23699
-0.0190842,-1.29843,0.478594,1.07598
2.47054,-6.19972,1.71304,7.50919
1.96044,1.95683,2.55368,6.13085
-12.5197,-12.4381,3.43673,5.12111
9.25066,-6.06992,4.17598,4.28091
0.419015,2.57488,0.949115,3.44505
-3.45658,-3.20149,2.03175,4.61486
5.75076,-0.195308,4.63882,6.4244
0.889149,13.5359,6.81192,13.8691
-11.5693,28.469,5.89324,14.124
1.38589,3.58368,3.41091,6.31514
1.61329,1.09862,1.47826,4.25289
-3.8872,-15.3723,0.996133,1.56859
2.38968,16.4072,2.46515,5.21744
-1.05934,-2.80624,0.979479,1.37198
-2.68714,-2.62462,2.76612,3.64168
1.68095,8.05891,1.72456,2.67173
-5.22695,-14.017,0.916274,1.06852
1.71975,-5.49641,1.97821,6.65217
2.45532,11.4055,5.12021,9.07376
8.35491,15.668,1.61653,4.3232
-9.34866,10.4329,3.76134,6.49542
-2.26971,3.74772,2.20861,5.01228
-1.14681,11.2887,3.8846,7.62261
-3.81842,8.06722,4.30464,6.16319
-0.777243,5.52658,0.805762,1.02768
4.24719,13.8575,1.89772,5.66212
-0.14074,0.322354,0.633327,0.77208
2.75361,5.8218,0.595463,1.13207
-1.8307,14.0518,5.54441,8.33428
-0.390136,-1.84069,1.13059,2.81411
-0.0645423,-3.52166,0.951551,2.04867
2.4503,-13.7941,0.74861,1.52857
3.36902,12.9077,2.98323,5.90785
2.98621,29.0756,3.26762,11.5355
6.1734,5.27164,3.73925,6.50316
-2.20913,-10.5883,0.797059,3.73333
-1.15991,-6.14305,0.465078,0.731697
-1.01387,-6.21927,3.84942,9.97792
-10.2284,17.4875,1.7043,2.64626
-0.397472,0.975892,2.30944,4.22627
1.1938,8.90634,0.975973,4.17081
16.531,19.6565,19.5254,15.5919
17.9804,10.9101,23.013,20.3817
2.66528,18.7921,2.43236,3.07463
-1.11027,7.78531,1.85777,4.31435
-0.553907,0.762732,2.0525,2.63572
-0.00299811,0.00261531,0.0432755,0.0376184
-5.46229,-31.3892,1.05508,1.99175
-9.92751,1.19137,3.52657,4.40431
-13.5046,-12.245,2.05653,4.11054
-1.1093,1.78067,2.02932,3.85892
-5.99343,-10.4497,1.05263,1.86944
0.841202,20.3616,2.24917,10.9602
9.17549,14.3518,1.9748,2.89648
-4.3181,9.32223,2.39606,3.90995
-1.65847,-15.3426,1.41013,7.75232
-1.99859,6.52493,2.33152,4.24271
-2.10791,-13.5282,0.810995,3.21953
3.26386,6.7081,3.24051,8.37149
4.08397,10.0584,2.21121,2.99047
-8.84366,-4.32521,2.72771,2.63158
0.110052,9.11621,3.25949,7.12749
-1.25536,-5.62195,1.33278,1.8898
-2.0,14.744,0.84798,5.08967
1.85129,3.87552,5.92621,4.97445
-8.80627,10.5075,1.79959,1.77046
16.9156,39.742,19.0037,20.7751
2.31025,2.59253,3.48795,5.48701
3.18467,6.04298,15.1459,18.7554
-0.795662,-3.79266,0.449489,1.17792
-2.57787,7.62966,0.685303,1.4411
7.60129,11.8733,3.85955,4.83866
1.49056,4.02954,2.75182,4.53845
3.80605,3.69414,1.97244,2.14043
-10.4601,35.9475,3.6863,11.1952
-0.205712,5.2231,0.560969,0.82943
1.6594,11.8441,1.65909,7.6064
0.624536,6.73768,1.19457,3.25479
0.641169,1.17295,2.0308,3.51627
8.95797,27.5933,6.62146,11.18
-5.76947,-2.14117,1.64207,2.77295
-1.88423,-2.63608,3.71436,6.80621
-3.27117,56.2313,3.75367,19.969
10.3615,19.5939,3.91644,8.69448
-0.857174,4.06618,1.22562,2.16817
-0.218399,3.51163,1.38571,2.50998
0.753927,15.085,2.44367,6.53113
0.576473,-8.39876,0.477431,3.22686
-0.793546,-1.79652,0.586596,1.28376
-4.74393,36.7221,3.75353,15.7436
-0.792878,-0.881023,1.13088,3.3595
-2.05339,2.86643,6.54272,4.0065
9.69867,8.40478,6.33363,9.92238
-1.50952,-15.1625,0.61259,1.98104
0.0392702,-2.85204,0.650582,1.4698
-5.20397,-15.123,5.6442,14.8469
3.87532,2.63852,3.65706,4.34742
0.698676,7.27057,3.64959,7.54775
5.70814,13.8818,2.93914,4.0576
-0.505066,-5.27393,0.852916,2.76395
-2.21545,8.23103,5.2899,12.0284
5.98649,7.98067,3.34089,6.48809
1.68494,7.36868,0.889068,1.87732
-13.0341,-15.856,1.37746,3.77395
-0.217432,1.22674,0.323467,0.909211
-1.78659,-4.66555,0.953334,2.35502
5.64974,5.94114,8.45232,11.2594
-2.7632,4.85023,2.75009,3.06861
-1.40831,1.00047,2.14459,6.28046
-0.196351,18.5485,3.24352,5.00554
-0.18555,1.28315,1.4623,5.43824
-0.393772,4.16619,1.82574,2.91413
-0.717988,7.45848,3.27561,7.49554
8.80754,18.3584,4.3151,6.08043
1.61635,9.81649,1.37997,3.10286
-2.55117,-10.3328,1.19307,4.71112
-2.31475,4.2131,2.28131,4.26542
0.295515,-1.32074,0.588795,2.51817
-0.271137,0.0577346,0.440023,0.940895
3.23991,-5.90093,1.23609,2.5121
-12.3672,27.5585,5.56038,12.2311
2.90395,1.23757,1.00067,1.02033
5.12098,23.1188,11.5517,16.3932
-7.14597,25.9575,3.24788,8.92394
-0.437128,-29.5734,1.81289,2.75541
0.12191,-2.35666,1.1124,2.88539
2.82532,13.0713,2.21166,8.48912
0.58627,-5.45762,0.605586,2.10352
-5.66555,3.61399,3.24079,2.34947
4.00875,8.48861,1.50993,3.41113
4.27447,11.397,1.39324,3.24747
13.9138,15.9175,11.6028,12.3164
1.89924,37.9016,2.71473,5.24454
3.90819,0.0435308,7.62922,4.70713
-5.16898,-1.10523,1.85113,2.98193
-1.9903,20.3645,4.1286,7.87652
0.618658,8.16671,1.03951,3.93184
-5.30353,20.19,4.86534,14.6006
2.06316,5.25268,2.073,4.24942
0.567787,5.98349,1.57816,2.64706
9.18499,5.72169,15.1006,5.11784
3.9295,11.3325,0.542988,1.06113
2.91172,28.5809,1.84346,7.01446
-1.67299,23.7093,2.82508,4.53824
0.485011,0.397311,3.67394,4.03575
1.48694,1.21814,2.70636,5.53344
0.0305073,5.13582,0.960071,1.51496
-0.639182,1.93602,1.06365,3.72292
-0.21875,-0.478681,0.299379,0.534836
3.55233,19.7258,3.8271,5.98404
2.16162,4.56726,3.22349,6.56786
1.7229,11.0505,0.6344,1.67918
2.52789,-0.244863,0.803533,1.32324
-8.44206,4.18592,4.27371,5.44056
2.73442,2.85513,1.9126,3.52506
27.8855,11.1445,19.6694,7.40811
-0.709564,3.98763,1.25282,2.78932
-1.87944,41.3414,6.49142,21.0604
1.41898,-3.52823,0.581872,2.25302
-0.504055,7.48926,2.99041,3.36232
-1.08095,-3.21091,4.98497,6.54646
-4.874,2.31289,2.56239,3.42097
-2.46958,-19.1853,0.428566,1.84471
1.20573,3.94306,3.0626,5.44041
-13.0525,-11.0726,4.41662,4.22474
5.97468,6.07759,7.17782,7.29887
-3.00625,-9.40755,6.09036,9.2937
-1.15005,5.11301,0.938989,3.25531
3.9984,-0.660669,3.73921,7.03213
0.17707,9.33407,1.73429,5.15283
-1.73512,-5.11811,2.19601,3.64899
0.669609,0.550756,1.52592,3.58498
-0.446703,16.1904,0.819387,1.93503
3.15427,2.88942,5.87692,9.98781
-12.0145,32.9991,2.14417,6.07714
1.16422,-3.50828,1.73453,5.30982
-8.9713,23.209,1.47384,2.70611
-0.260264,3.02844,0.828261,2.90855
-0.0150245,0.0114569,0.0803462,0.117054
1.41748,4.69288,1.09576,2.22898
2.61817,10.7904,1.11207,1.96293
3.42793,-0.190196,6.08168,7.05243
16.6727,21.8475,10.7346,11.5214
4.76987,22.3916,2.04614,6.79142
-3.42141,6.95358,1.78683,7.79072
-1.21817,27.8059,2.45668,6.80085
-1.07026,-0.182698,1.38737,5.16207
0.994456,8.67028,0.531883,0.957221
13.4577,21.3698,5.48097,8.91207
2.91153,9.07561,0.833945,1.3686
1.38321,2.93255,1.17432,2.05499
-4.35093,-0.709568,2.18654,2.16894
-2.18565,19.8135,3.16764,10.4567
-9.18952,22.2603,1.8193,3.74735
5.80967,12.987,1.76528,3.68298
3.24316,11.1524,8.39701,12.5435
1.37712,9.00377,1.89348,5.04378
2.78498,-7.60654,1.48836,2.3972
3.36517,16.2436,3.36587,12.522
3.69835,4.53199,1.04775,1.16321
-0.822608,3.98416,2.61038,3.72908
0.451289,-3.93225,2.31805,4.4024
-0.589718,1.07451,2.10483,2.44692
0.414013,5.19516,2.236,6.76335
1.77033,-1.33347,2.92955,5.70078
-1.65667,-0.183754,1.87174,2.04988
5.95538,7.88971,3.05871,4.15852
-0.269412,-2.39523,0.601245,0.794948
1.71379,14.6733,3.24853,13.7747
5.29042,22.1562,2.39477,6.9165
1.11136,4.94617,1.46004,3.33273
-11.1435,21.6065,2.11936,3.03242
-0.0825345,-2.19435,1.31073,0.744612
0.645793,-0.0188007,0.134442,0.20411
-3.26443,13.4276,4.07465,10.8024
4.79991,-1.1884,3.63859,8.13863
2.19124,-0.076898,3.97717,4.35441
1.33933,1.14726,0.757271,2.59355
7.66477,0.377015,6.0576,6.52759
0.355012,1.25458,2.45951,5.38426
2.52139,3.68758,0.974235,1.35119
-4.68342,-11.8976,1.79353,7.12533
6.99254,5.65465,3.77329,5.13867
3.66024,8.48463,4.60365,12.0545
-5.35217,18.0811,3.05671,7.14909
1.32006,7.67256,2.4193,6.24159
-1.03173,-3.97484,0.650225,1.79918
-4.03633,7.40844,2.80625,4.38289
1.08267,-7.94295,4.28052,20.1957
3.98515,-4.49443,1.94108,3.10897
3.28301,2.74819,2.87368,5.89635
3.7375,9.0658,1.74548,1.70554
25.6253,-5.52961,24.7588,7.61252
9.32819,17.7801,7.70171,11.3126
0.122661,-2.01329,1.38862,3.57987
-5.89751,20.4271,2.2387,4.83561
3.60882,5.12959,4.29832,5.01857
3.17983,7.7507,1.27888,2.5298
0.337983,-0.0851981,0.148353,0.20216
2.89475,4.75869,5.0939,3.9212
4.61568,-37.3218,7.59469,7.44313
-0.478598,-0.438748,0.76076,0.567804
-1.17416,-8.81454,1.72546,6.71261
2.07192,16.4091,3.47834,9.00505
-0.749636,-2.75361,0.697373,1.25764
6.80372,13.7338,3.02338,4.67106
4.14787,17.138,4.3593,7.11464
1.56173,4.98892,2.12239,3.65092
0.38989,2.79323,2.12531,6.62424
1.47,6.33498,2.81367,5.71356
4.08723,-2.16713,5.27837,4.39065
9.2474,13.7739,10.9188,13.8905
3.35118,15.3035,3.2869,12.0511
0.383782,-3.0756,0.752621,1.8036
-10.7137,25.0101,4.62808,5.8754
1.37753,-1.18156,0.492403,0.842493
-18.1963,29.8942,2.24958,4.62261
0.1798,2.58569,1.80526,3.61214
-11.7933,23.9931,4.6231,13.4811
-1.15254,-2.53327,2.16438,3.81127
1.80678,-5.24136,1.02248,1.93232
5.51171,13.6084,1.01663,1.64219
0.254912,4.66999,4.3061,5.45164
0.0354108,-0.124215,0.902812,1.12093
2.68416,10.4317,0.928821,1.8506
-10.0456,17.2005,5.88599,10.1091
0.408323,-1.12565,0.753725,0.753478
7.61985,-7.23346,4.75162,6.69638
-2.44142,-9.83229,1.9708,3.95239
1.99465,8.07398,5.79242,9.28019
-1.27001,6.7439,3.17928,4.29041
-0.140625,-0.0582606,0.398185,0.317978
0.846616,14.2325,1.87298,5.13796
6.78738,6.2459,2.07149,2.61184
2.80617,3.35853,3.97135,1.45929
-1.76393,1.91499,1.53203,4.91017
0.0921098,-6.13003,0.828198,4.56182
1.83517,3.95956,3.36687,4.50034
-4.99693,-4.08284,2.77463,3.67106
0.711137,4.52246,1.07979,3.41673
2.02819,-0.920369,1.11663,0.807271
-0.883678,-3.38347,1.042,1.77466
-1.26456,-2.07955,1.08835,1.82961
2.50386,3.57197,1.47725,1.87724
2.69028,12.1049,2.57971,7.67472
0.506861,-0.511456,0.131416,0.16207
-11.3236,22.7938,8.8896,17.148
-0.654772,1.00939,0.835249,1.30552
-1.04476,1.06779,1.68667,3.04272
-16.1134,33.8184,5.24262,8.78948
2.02172,14.27,1.15288,2.86219
-0.984864,9.58942,3.49943,5.71661
2.34062,5.70323,1.64559,7.03116
1.15189,3.60391,1.69802,5.94582
-0.570114,0.645735,2.22786,3.55656
-1.61244,3.5901,1.03,1.28413
-1.33526,6.80568,2.2806,4.40706
19.5781,16.8132,10.6691,14.0593
4.15247,2.30486,0.905007,1.33851
1.47533,19.2598,4.71944,10.4369
-6.13978,-21.6277,0.786679,4.29579
2.11099,6.21057,1.79735,3.41288
0.874629,12.8699,1.89909,3.8511
0.2993,2.19409,1.57283,2.46232
-0.179061,0.601481,1.85398,2.25921
20.1205,25.0114,12.1153,10.6304
5.43957,4.99485,4.65237,6.32853
2.24934,19.7391,2.93913,7.28291
-1.20202,0.413015,0.963009,1.59112
-4.37773,-15.2924,0.79706,1.08034
14.912,-1.37518,4.88971,3.99676
3.19053,-0.15758,1.4647,2.39568
0.0569166,1.73868,2.72342,8.16391
0.0536524,0.205756,0.475911,0.913293
-1.53449,-16.3634,0.591389,3.44087
5.65778,11.7232,0.978373,1.77194
-7.2452,17.5148,2.26611,4.23278
-0.104111,8.81954,0.966648,2.43558
0.408587,-0.0125468,2.58669,4.93514
-1.33661,-1.83407,1.27191,1.92266
-1.10446,16.4568,2.82475,6.72029
-2.08209,-15.8967,3.47862,8.37178
-1.24447,10.1506,6.91791,3.86738
-2.95729,7.43696,3.29576,5.70948
-8.44617,55.2442,6.85726,17.8567
-4.29204,18.4626,2.35934,6.05314
2.11912,-4.27276,4.16536,18.9312
1.2129,-1.62595,0.786262,1.79706
2.52836,1.6878,1.39306,1.18273
2.83091,5.8472,4.62253,6.03582
-9.47809,34.3042,5.7914,6.7498
4.94485,6.74674,6.15406,9.15449
0.132935,-0.157613,0.32679,0.782008
-11.1167,21.5364,4.73393,11.6341
-0.474414,-9.23723,1.26079,4.638
0.53015,22.5436,1.28978,4.93147
0.58082,-19.0376,1.24714,2.67808
-6.54514,14.7628,4.24523,8.22706
5.49795,20.5217,3.22707,10.7538
8.93832,11.3814,11.4212,11.7492
1.09978,8.24781,1.09285,1.7449
1.01058,21.3756,2.63591,8.40857
15.7545,-21.3568,11.0352,18.3933
10.6085,13.8425,4.35724,3.97692
-2.10341,-5.51987,0.961764,1.99517
0.621244,2.622,1.72795,4.73879
-5.02611,6.98106,4.72943,6.23095
4.3349,2.35177,2.2609,2.09562
1.34398,18.1536,2.38967,12.2088
3.67629,-2.50672,1.76583,2.39119
15.2481,29.5602,3.00812,4.08897
-0.167421,6.74402,2.49784,7.74987
0.383746,5.22272,5.14035,6.39658
3.51734,8.42938,5.92676,2.88529
-1.22608,19.4353,2.20428,7.70307
-0.59441,0.817396,1.94632,2.26688
-1.74366,-9.58978,0.553661,2.7217
1.78963,8.45642,0.276944,0.805624
-4.43168,12.5785,3.45229,7.0652
-6.17059,34.6873,6.94072,12.9703
-7.24536,21.0733,3.61155,5.66796
-4.04607,-2.94417,1.2675,1.59425
-0.593282,6.58243,2.13194,6.78259
5.53765,9.23,7.79144,10.7474
18.9226,20.9151,3.23892,2.76436
-4.4764,-16.4596,0.963836,3.28925
-1.33922,-10.9294,0.573281,1.35442
4.77084,9.97976,3.40642,6.2284
-2.24291,-7.07568,0.5987,2.09962
9.21909,12.2843,9.83416,8.66388
2.46677,-3.11664,1.2447,2.79309
-0.514545,1.70617,1.07272,3.1696
3.9255,14.3562,6.07656,13.9059
-1.03825,7.34916,1.9471,2.19098
1.94528,6.76168,1.75387,6.33944
13.7291,8.5519,13.8289,9.00825
-0.365275,-6.09149,0.636155,2.46959
0.23753,3.18258,2.12505,1.94473
-1.63842,-9.57111,5.57994,9.30587
0.300293,5.72559,1.46238,2.77077
3.37136,8.67418,7.37987,5.92501
-0.627583,10.6868,1.25021,16.3647
-4.7535,18.7026,6.26672,10.0304
-6.12345,11.8515,2.97008,6.62762
5.67366,12.2222,1.35507,2.26255
-0.305445,-1.87933,1.45724,1.8173
0.118982,0.0433462,0.338037,0.776766
-3.85082,23.1631,4.32376,10.6078
-5.10201,6.78093,5.13363,13.0237
-2.50527,-10.3496,0.417076,1.28708
7.72107,-4.88318,3.29663,5.49681
0.492567,0.5246,0.857303,2.60544
-0.101591,-1.31783,0.641193,2.04836
5.13022,11.8429,2.82091,3.22586
0.727557,18.018,0.957693,5.05837
0.529883,3.86527,2.5583,4.21318
-0.109067,-0.0497889,0.760615,0.588487
6.76327,8.7891,4.29481,6.20858
3.51469,-4.31605,2.17432,4.87942
-10.1525,25.1992,3.20906,3.63606
-5.69516,12.6762,3.19047,5.99678
-0.372216,-2.99565,0.385852,0.563288
5.54083,4.49376,5.76608,4.92887
3.00909,3.50931,1.47508,1.86784
-6.44713,1.16947,7.75253,4.12911
-1.82365,4.36908,4.7786,3.69647
-3.13047,8.32878,3.00208,5.71995
-2.98208,-10.6031,0.972171,2.21152
-0.0149742,0.0192281,0.144483,0.175052
-2.65473,10.9261,2.09423,5.63138
5.49322,15.1165,3.26139,6.1431
-9.81348,11.8033,3.87139,7.09676
-3.65503,-0.909555,3.005,9.07363
-1.36698,-2.89631,3.52718,3.40526
-0.805784,-0.0656674,0.624575,0.337726
5.97103,7.19156,5.11515,3.41431
5.75357,5.82812,7.44318,6.58735
-0.313766,-2.4104,0.610811,2.4984
15.8199,26.279,5.00313,13.061
3.77316,11.1384,1.9119,5.15706
2.48431,9.33882,0.600288,0.868159
-0.347963,0.53691,1.119,4.39355
2.93405,-7.49315,6.14714,9.49416
0.611232,2.09729,3.7247,10.4136
-1.48618,-14.1221,6.77441,11.4132
4.61764,5.76698,3.33408,6.85337
0.346726,-0.115551,0.118099,0.226181
-2.78089,-1.82746,2.83207,2.70698
-1.13445,-4.47905,1.92556,4.583
3.32124,7.99455,15.9068,11.2151
4.33884,-1.00384,6.17056,9.40031
-0.477826,-0.686221,0.938503,0.949381
12.611,20.9183,2.33175,4.35504
-11.2489,-7.65519,6.58665,8.12344
-1.99345,9.14715,5.00556,8.67104
-1.99982,3.13215,1.38815,1.64496
0.24478,2.19883,1.60818,2.79367
-2.35935,22.8644,0.752812,2.19584
0.212058,-2.48749,0.386128,0.872114
-7.96057,-14.0988,6.2985,6.75298
10.2953,3.4512,20.2591,13.1396
-5.24527,12.389,2.43808,2.35324
13.8786,30.4261,2.58389,11.8941
-0.632011,6.59119,4.4491,12.2088
-19.3287,31.0087,5.39596,8.69753
-1.77534,-3.57849,1.68586,4.46596
3.16109,12.5462,2.13933,5.09018
-1.46972,11.3558,16.4999,7.17037
-0.732795,2.11904,1.34197,2.25137
13.5107,16.2852,3.37291,9.81531
-2.96818,-7.68019,2.51565,4.08131
15.1187,7.23947,3.62512,4.29197
0.252234,0.12182,0.578466,2.58433
-0.0060591,1.49856,6.74066,7.37588
-1.43401,-2.47362,0.773476,2.08672
-9.39968,-21.7862,0.894322,0.842698
12.622,6.9358,8.78737,6.80867
0.301822,-0.0398252,0.469961,1.03937
-3.85444,-8.59544,2.1426,4.42074
16.6489,-12.3099,21.5418,11.5403
-2.30167,4.76874,1.58683,3.88979
-7.91629,2.55848,4.52475,7.76754
-6.66738,13.7149,2.89983,3.49101
0.0730745,-3.50098,2.06626,5.94278
2.87498,-5.11023,2.80556,4.00892
6.09947,5.71605,4.24513,4.25621
-0.912758,2.73596,1.73817,4.91681
0.186726,4.04709,1.10351,1.9385
0.275965,-0.315493,0.457047,0.79821
5.59347,23.3381,4.18545,12.796
1.00411,-2.45379,0.775485,1.4116
