Department Name,SubDept Code,SubDept Name,Program Name,Performance Measure Code,Performance Measure Name,Budget
General Services,40LVL5,General Services,Supply Management,40POS,"Number of Days to Process Purchase Orders under $100,000",2012-13 Actuals
General Services,40LVL5,General Services,Mail Services,40POSTAGE,Postage Savings Derived from the Mail Automation Program,2012-13 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Rent Stabilization,43TENANT,Percent of Tenant Rent Complaints Resolved Within 120 Days,2012-13 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Multi-family Residential Code Enforcement,43SCEPUNIT,Systematic Code Enforcement Program (SCEP) Units Inspected,2012-13 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Code and Rent Compliance,43RENTAL,Rental Units Restored to Safe Living Conditions,2012-13 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Monitoring and Technical Services,43DVVICTIM,Number of Domestic Violence Victims Served through Program,2012-13 Actuals
Library,44LVL5,Library,Branch Library Services,44BRANCH,Number of People Attending Branch Library Services,2012-13 Actuals
Library,44LVL5,Library,Central Library Services,44CENTRAL,Number of People Attending Central Library Services,2012-13 Actuals
Convention and Tourism Development,48LVL5,Convention and Tourism Development,Convention and Tourism Development,48LEISUREJOBS,Number of Leisure and Hospitality Jobs in Los Angeles County,2012-13 Actuals
Disability,65LVL5,Disability,AIDS Coordinator's Office,65SYRINGE,Number of Syringes Removed,2012-13 Actuals
Personnel,66LVL5,Personnel,Public Safety Employment,66POLICEHIRE,Number of Police Officers Hired Pursuant to LAPD Hiring Plan,2012-13 Actuals
Personnel,66LVL5,Personnel,Occupational Health,66CLINIC,Wait Time at Clinic for Exam,2012-13 Actuals
Personnel,66LVL5,Personnel,Custody Medical Care,66ARRESTEE,Time to Medically Clear Arrestees in City Jails,2012-13 Actuals
Personnel,66LVL5,Personnel,Equal Employment Opportunity,66EEOCOMPLAIN,Percent of Complainants Contacted Within 10 Days,2012-13 Actuals
Personnel,66LVL5,Personnel,Employee Training and Development,66ONLINE,Number of Non-Mandated Courses Completed Online,2012-13 Actuals
City Planning,68LVL5,City Planning,Community Planning,68COMMUNITYPLANS,Number of Community Plans Less Than Ten Years Old,2012-13 Actuals
City Planning,68LVL5,City Planning,Historic Resources,68CERTIFICATE,Percent of Certificate Cases Completed within 75 Days,2012-13 Actuals
City Planning,68LVL5,City Planning,Geographic Project Planning,68CASES,Annual Number of Cases Completed,2012-13 Actuals
Police,70LVL5,Police,Field Forces,70CRIME,Total Number of Crime Incidents,2012-13 Actuals
Police,70LVL5,Police,Specialized Investigation,70GANG,Number of Gang-Related Homicides,2012-13 Actuals
Police,70LVL5,Police,Custody of Persons and Property,70BOOKING,Average Processing Time for Non-Medical Bookings,2012-13 Actuals
Police,70LVL5,Police,Traffic Control,70HITRUN,Number of Traffic Hit and Run Collisions,2012-13 Actuals
Police,70LVL5,Police,Specialized Enforcement and Protection,70ARRESTS,Metropolitan Division Felony and Misdemeanor Arrests,2012-13 Actuals
Police,70LVL5,Police,Personnel Training and Support,70WORKERCOMP,Number of Workers' Compensation Claims,2012-13 Actuals
Police,70LVL5,Police,Internal Integrity and Standards Enforcement,70INTERNAL,Internal Affairs Investigations Closed within Five Months,2012-13 Actuals
Board of Public Works,74LVL5,Board of Public Works,Office of Community Beautification,74GRAFFITI,Percent of Graffiti Removal Requests Completed in 48 Hours,2012-13 Actuals
Board of Public Works,74LVL5,Board of Public Works,Public Works Accounting,74PAYMENTS,Percentage of All Payments Processed within 30 Days,2012-13 Actuals
Board of Public Works,74LVL5,Board of Public Works,Public Works Board and Board Secretariat,74JOURNALS,Percent of Board Meeting Journals Posted within 24 Hours,2012-13 Actuals
Bureau of Contract Administration,76LVL5,Bureau of Contract Administration,Construction Inspection,76RETENTION,Number of Days for Final Retention Requests to be Processed,2012-13 Actuals
Bureau of Contract Administration,76LVL5,Bureau of Contract Administration,Contract Compliance,76LOCALHIRE,Percent of Hours Worked by Local Hires at PLA Projects,2012-13 Actuals
Bureau of Engineering,78LVL5,Bureau of Engineering,Clean Water Infrastructure,78WATER,Number of Completed Clean Water Capital Projects,2012-13 Actuals
Bureau of Engineering,78LVL5,Bureau of Engineering,Development Services and Permits,78APERMIT,Percent of A Permits Issued within 60 Minutes,2012-13 Actuals
Bureau of Engineering,78LVL5,Bureau of Engineering,Mobility,78MOBILITY,Number of Completed Mobility Capital Projects,2012-13 Actuals
Bureau of Engineering,78LVL5,Bureau of Engineering,Public Buildings and Open Spaces,78BUILDING,Number of Completed Building & Open Spaces Capital Projects,2012-13 Actuals
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Watershed Protection,82CATCHBASIN,Number of Catch Basins Cleaned,2012-13 Actuals
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Clean Water,82SEWER,Sewer Miles Cleaned,2012-13 Actuals
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Solid Resources,82RECYCLING,Citywide Recycling Diversion Rate,2012-13 Actuals
Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,Design and Construction,84LEDPERCENT,Percentage of Streetlights Converted to LED,2012-13 Actuals
Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,"System Operation, Maintenance, and Repair",84OUTAGE,Single Streetlight Outage Response Time,2012-13 Actuals
Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,Street Lighting Assessment,84SLMAF,Street Lighting Maintenance Assessment Fund Revenue,2012-13 Actuals
Bureau of Street Services,86LVL5,Bureau of Street Services,Investigation and Enforcement,86PERMIT,Number of Permits and Notices Issued,2012-13 Actuals
Bureau of Street Services,86LVL5,Bureau of Street Services,Street Cleaning,86SWEEPING,Percent of Posted Street Sweeping Routes Completed,2012-13 Actuals
Bureau of Street Services,86LVL5,Bureau of Street Services,Pavement Preservation,86SLURRY,Number of Lane Miles Resurfaced and Slurry Sealed,2012-13 Actuals
Bureau of Street Services,86LVL5,Bureau of Street Services,Street Improvement Construction,86ACCESS,Number of Pedestrian Access Ramps Installed,2012-13 Actuals
Zoo,87LVL5,Zoo,Admissions,87ONLINE,Percent of Ticket Sale Transactions Conducted Online,2012-13 Actuals
Zoo,87LVL5,Zoo,Public Relations and Marketing,87FILM,Number of Commercial Film Shoots at the Zoo,2012-13 Actuals
Recreation and Parks,88LVL5,Recreation and Parks,Museums and Educational,88MUSEUM,Number of Annual Museum Visitors,2012-13 Actuals
Recreation and Parks,88LVL5,Recreation and Parks,Griffith Observatory,88GRIFFITH,Number of Griffith Observatory Visitors,2012-13 Actuals
Recreation and Parks,88LVL5,Recreation and Parks,Aquatics,88AQUATIC,Total Attendance at City Aquatic Facilities,2012-13 Actuals
Recreation and Parks,88LVL5,Recreation and Parks,Building and Facilities Maintenance,88JOBORDER,Maintenance Job Orders Completed,2012-13 Actuals
Transportation,94LVL5,Transportation,Transit Planning and Land Use,94STUDIES,Percent of Traffic Studies Processed within 90 Business Days,2012-13 Actuals
Transportation,94LVL5,Transportation,Transportation Infrastructure and Project Delivery,94GRANTS,Number of Projects Successful in Securing Grant Funding,2012-13 Actuals
Transportation,94LVL5,Transportation,"Parking Facilities, Meters, and Operations",94METERS,Percent of Time Parking Meters are Functioning Properly,2012-13 Actuals
Transportation,94LVL5,Transportation,Parking Citation Processing Services,94TICKET,Two Year Parking Ticket Collection Rate,2012-13 Actuals
Transportation,94LVL5,Transportation,District Offices,94SERVICE,Number of Service Requests Closed,2012-13 Actuals
Transportation,94LVL5,Transportation,Traffic Signals and Systems,94SIGNAL,Percent of Signal Calls Responded to Within One Hour,2012-13 Actuals
Transportation,94LVL5,Transportation,Public Transit Services,94TRANSIT,Percent of LADOT Transit On-Time Arrivals,2012-13 Actuals
Transportation,94LVL5,Transportation,Major Project Coordination,94METRO,Percent of Metro Plans Reviewed within 20 Business Days,2012-13 Actuals
Transportation,94LVL5,Transportation,Active Transportation,94BIKELANE,Number of Miles of Bike Lanes and Paths in the City,2012-13 Actuals
Aging,02LVL5,Aging,Senior Services,02MEALS,Number of Home Delivered and Congregate Meals Provided,2013-14 Actuals
Aging,02LVL5,Aging,Family Caregiver Services,02CAREGIVER,Number of Participants in Caregiver Information Sessions,2013-14 Actuals
Aging,02LVL5,Aging,Older Workers Program,02OLDERWORKER,Number of Participants in the Older Workers Program,2013-14 Actuals
Animal Services,06LVL5,Animal Services,Animal Control and Law Enforcement,06LICENSE,Number of Animal Licenses Sold,2013-14 Actuals
Animal Services,06LVL5,Animal Services,Shelter Operations and Animal Care,06LIVESAVE,Animal Live/Save Rate,2013-14 Actuals
Animal Services,06LVL5,Animal Services,Animal Medical Services,06SPAYNEUTER,Number of Spay/Neuter Surgeries,2013-14 Actuals
Animal Services,06LVL5,Animal Services,Public Counters and Community Services,06VOLUNTEER,Number of Volunteer Hours,2013-14 Actuals
Building and Safety,08LVL5,Building and Safety,Structural Plan Checking,08PLANCHECK,Percent of Plan Check Jobs Completed in 15 Days,2013-14 Actuals
Building and Safety,08LVL5,Building and Safety,Green Buildings and Electrical and Mechanical Engineering,08MECHPLANCK,Percent of Mechanical Plan Check Jobs Completed in 15 Days,2013-14 Actuals
Building and Safety,08LVL5,Building and Safety,Grading Reports and Inspection,08GRADEREPORT,Percent of New Grading Reports Completed in 30 Days,2013-14 Actuals
Building and Safety,08LVL5,Building and Safety,Residential Inspection,08RESINSPECT,Percent of Residential Inspections Completed in 24 Hours,2013-14 Actuals
Building and Safety,08LVL5,Building and Safety,Commercial Inspection and Licensing,08PLUMBINSPECT,Percent of Plumbing Inspections Completed in 24 Hours,2013-14 Actuals
Building and Safety,08LVL5,Building and Safety,Development Services Case Management,08CASEMGMT,Percent of Case Management Projects Contacted in 5 Days,2013-14 Actuals
Building and Safety,08LVL5,Building and Safety,Residential and Commercial Code Enforcement,08COMPLAINT,Percent of Code Enforcement Complaints Closed in 60 Days,2013-14 Actuals
Building and Safety,08LVL5,Building and Safety,Conservation of Existing Structures and Mechanical Devices,08RESPROPERTY,Percent of Residential Property Reports Completed in 15 Days,2013-14 Actuals
City Administrative Officer,10LVL5,City Administrative Officer,Budget Formulation and Control,10RF%GF,Reserve Fund as a Percent of the Adopted General Fund Budget,2013-14 Actuals
City Clerk,14LVL5,City Clerk,Council and Public Services,14CITYRECORDS,Number of City Records Viewed,2013-14 Actuals
City Clerk,14LVL5,City Clerk,Administration of City Elections,14ADAPOLL,Number of Completed ADA Improvements to Polling Places,2013-14 Actuals
City Clerk,14LVL5,City Clerk,Records Management,14ARCHIVAL,Number of Archival Documents and Records Digitized on Demand,2013-14 Actuals
City Clerk,14LVL5,City Clerk,Special Assessments,14ANNUALPLAN,Number of Annual Planning Reports Submitted by March 1,2013-14 Actuals
City Clerk,14LVL5,City Clerk,Mayor and City Council Administrative Support,14ACCOUNTING,Number of Accounting Documents Processed,2013-14 Actuals
Economic and Workforce Development,22LVL5,Economic and Workforce Development,Adult Workforce Development,22ADULTJOBS,Number of WIA-Funded Adults Placed in Jobs,2013-14 Actuals
Economic and Workforce Development,22LVL5,Economic and Workforce Development,Economic Development,22NEWJOBS,Number of New Jobs Created Through Business Source Centers,2013-14 Actuals
Economic and Workforce Development,22LVL5,Economic and Workforce Development,Youth Workforce Development,22HIRELA,Number of HireLA's Youth Placed in Employment,2013-14 Actuals
Controller,26LVL5,Controller,Accounting and Disbursement of City Funds,26DISBURSEMENTS,Paymaster Disbursements,2013-14 Actuals
Controller,26LVL5,Controller,Financial Reporting of City and Grant Funds,26FINREPORTS,Percent of Financial Reports Submitted On Time,2013-14 Actuals
Controller,26LVL5,Controller,Audits of City Departments and Programs,26AUDITS,Number of Audit Recommendations,2013-14 Actuals
Controller,26LVL5,Controller,Support of the City's Financial Systems,26FINSYSSUPP,Number of Documents Generated in FMS,2013-14 Actuals
Cultural Affairs,30LVL5,Cultural Affairs,Community Arts,30ARTFACILITIES,Number of Individuals Served by Arts Facilities and Centers,2013-14 Actuals
Cultural Affairs,30LVL5,Cultural Affairs,Marketing and Development,30LEVERAGED,Donations Received as a Percent of DCA Operating Budget,2013-14 Actuals
Cultural Affairs,30LVL5,Cultural Affairs,Public Art,30ARTPROJECTS,Number of Public Art Projects Completed During the Year,2013-14 Actuals
Cultural Affairs,30LVL5,Cultural Affairs,Grants Program,30RESIDENTS,Number of Los Angeles Residents and Visitors Served,2013-14 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Public Safety Systems Development and Support,32PSSYSTEMS,Percent of System Availability for Public Safety Systems,2013-14 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Public Safety Communications,32PSRADIO,Percent of System Availability for LAFD & LAPD Radio Systems,2013-14 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,3-1-1 Operations,32311CALLS,Percent of 3-1-1 Calls Answered,2013-14 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Cable Television,32CH35PROG,Hours of Channel 35 Programming Produced,2013-14 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Office Systems Support,32EMAIL,Percent of Email System Availability,2013-14 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Systems Development and Support,32LATAX,Percent of LATAX System Availability in Tax Renewal Season,2013-14 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Enterprise and Distributed Systems and Operation,32DATACENTER,Percent of Data Center Servers Virtualized,2013-14 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Network Engineering and Operations,32VOICE,"Percent of Voice, Call Center, & Video Systems Availability",2013-14 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Data Engineering and Operations,32NETWORK,Percent of Network Availability,2013-14 Actuals
Information Technology Agency,32LVL5,Information Technology Agency,Business Applications and Web Services,32WEBSITE,Percent of LACity.org Website Availability,2013-14 Actuals
El Pueblo de Los Angeles,33LVL5,El Pueblo de Los Angeles,History and Museums,33ELPTOURS,Number of Tours at the El Pueblo Monument,2013-14 Actuals
El Pueblo de Los Angeles,33LVL5,El Pueblo de Los Angeles,Marketing and Events,33ELPATTEND,"Number of Cultural, Traditional, and Informational Attendees",2013-14 Actuals
Emergency Management,35LVL5,Emergency Management,Emergency Management,35COMMUNITYPLAN,Number of Neighborhood/Community Plans Prepared,2013-14 Actuals
Fire,38LVL5,Fire,Hazardous Materials Enforcement,38REVENUE,Hazardous Materials Enforcement Revenue Collected,2013-14 Actuals
Fire,38LVL5,Fire,Fire Prevention,38INSPECTION,Percent of Construction Inspections Completed in 72 hours,2013-14 Actuals
Finance,39LVL5,Finance,Revenue Management,39LIEN,Percent of Lien Cases Solved,2013-14 Actuals
Finance,39LVL5,Finance,Treasury Services,39TREASURY,Percent of Treasury Management Requests Resolved in One Day,2013-14 Actuals
Finance,39LVL5,Finance,Customer Service,39CALLS,Percent of Call Center Calls Answered,2013-14 Actuals
Finance,39LVL5,Finance,Investment,39COMPLIANCE,Percent Compliant with Investment Policies and Procedures,2013-14 Actuals
Finance,39LVL5,Finance,Tax and Permit,39AUDIT,Percent of Accounts Audited,2013-14 Actuals
General Services,40LVL5,General Services,Custodial Services,40CLEAN,Percent of Municipal Facilities Cleaned Daily,2013-14 Actuals
General Services,40LVL5,General Services,Building Maintenance,40MAINTENANCE,Percent of Maintenance Work Requests Completed,2013-14 Actuals
General Services,40LVL5,General Services,Parking Services,40PARKINGREV,Revenue from Department-Operated Parking Facilities,2013-14 Actuals
General Services,40LVL5,General Services,Emergency Management and Special Services,40DRILLS1,Number of Required Biannual Emergency Drills Completed,2013-14 Actuals
General Services,40LVL5,General Services,Fleet Services,40BOSVEHICLES,Vehicle Availability Rate for Bureau of Sanitation,2013-14 Actuals
General Services,40LVL5,General Services,Fuel and Environmental Compliance,40FUELSITE,Percent of City-Owned Fuel Sites Inspected Monthly,2013-14 Actuals
General Services,40LVL5,General Services,Standards and Testing Services,40MATTEST,Number of Materials Tested for Pavement Preservation Program,2013-14 Actuals
General Services,40LVL5,General Services,Supply Management,40POS,"Number of Days to Process Purchase Orders under $100,000",2013-14 Actuals
General Services,40LVL5,General Services,Mail Services,40POSTAGE,Postage Savings Derived from the Mail Automation Program,2013-14 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Finance and Development,43AFFORDABLE,Affordable Housing Units Completed,2013-14 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Rent Stabilization,43TENANT,Percent of Tenant Rent Complaints Resolved Within 120 Days,2013-14 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Multi-family Residential Code Enforcement,43SCEPUNIT,Systematic Code Enforcement Program (SCEP) Units Inspected,2013-14 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Code and Rent Compliance,43RENTAL,Rental Units Restored to Safe Living Conditions,2013-14 Actuals
Housing and Community Investment,43LVL5,Housing and Community Investment,Monitoring and Technical Services,43DVVICTIM,Number of Domestic Violence Victims Served through Program,2013-14 Actuals
Library,44LVL5,Library,Branch Library Services,44BRANCH,Number of People Attending Branch Library Services,2013-14 Actuals
Library,44LVL5,Library,Central Library Services,44CENTRAL,Number of People Attending Central Library Services,2013-14 Actuals
Neighborhood Empowerment,47LVL5,Neighborhood Empowerment,Planning and Policy,47CIS,Number of Community Impact Statements Submitted by NCs,2013-14 Actuals
Convention and Tourism Development,48LVL5,Convention and Tourism Development,Convention and Tourism Development,48LEISUREJOBS,Number of Leisure and Hospitality Jobs in Los Angeles County,2013-14 Actuals
Disability,65LVL5,Disability,AIDS Coordinator's Office,65SYRINGE,Number of Syringes Removed,2013-14 Actuals
Personnel,66LVL5,Personnel,Public Safety Employment,66POLICEHIRE,Number of Police Officers Hired Pursuant to LAPD Hiring Plan,2013-14 Actuals
Personnel,66LVL5,Personnel,Employee Selection,66EXAM,Percent of Exams Completed in 150 Days,2013-14 Actuals
Personnel,66LVL5,Personnel,Workers' Compensation and Safety,66WCCOST,Amount of Monthly Workers' Compensation Costs Avoided,2013-14 Actuals
Personnel,66LVL5,Personnel,Employee Benefits,66VANPOOL,Percent Increase in Vanpool Participants,2013-14 Actuals
Personnel,66LVL5,Personnel,Occupational Health,66CLINIC,Wait Time at Clinic for Exam,2013-14 Actuals
Personnel,66LVL5,Personnel,Custody Medical Care,66ARRESTEE,Time to Medically Clear Arrestees in City Jails,2013-14 Actuals
Personnel,66LVL5,Personnel,Equal Employment Opportunity,66EEOCOMPLAIN,Percent of Complainants Contacted Within 10 Days,2013-14 Actuals
Personnel,66LVL5,Personnel,Employee Training and Development,66ONLINE,Number of Non-Mandated Courses Completed Online,2013-14 Actuals
City Planning,68LVL5,City Planning,Community Planning,68COMMUNITYPLANS,Number of Community Plans Less Than Ten Years Old,2013-14 Actuals
City Planning,68LVL5,City Planning,Historic Resources,68CERTIFICATE,Percent of Certificate Cases Completed within 75 Days,2013-14 Actuals
City Planning,68LVL5,City Planning,Geographic Project Planning,68CASES,Annual Number of Cases Completed,2013-14 Actuals
Police,70LVL5,Police,Field Forces,70CRIME,Total Number of Crime Incidents,2013-14 Actuals
Police,70LVL5,Police,Specialized Investigation,70GANG,Number of Gang-Related Homicides,2013-14 Actuals
Police,70LVL5,Police,Custody of Persons and Property,70BOOKING,Average Processing Time for Non-Medical Bookings,2013-14 Actuals
Police,70LVL5,Police,Traffic Control,70HITRUN,Number of Traffic Hit and Run Collisions,2013-14 Actuals
Police,70LVL5,Police,Specialized Enforcement and Protection,70ARRESTS,Metropolitan Division Felony and Misdemeanor Arrests,2013-14 Actuals
Police,70LVL5,Police,Personnel Training and Support,70WORKERCOMP,Number of Workers' Compensation Claims,2013-14 Actuals
Police,70LVL5,Police,Internal Integrity and Standards Enforcement,70INTERNAL,Internal Affairs Investigations Closed within Five Months,2013-14 Actuals
Board of Public Works,74LVL5,Board of Public Works,Office of Community Beautification,74GRAFFITI,Percent of Graffiti Removal Requests Completed in 48 Hours,2013-14 Actuals
Board of Public Works,74LVL5,Board of Public Works,Public Works Accounting,74PAYMENTS,Percentage of All Payments Processed within 30 Days,2013-14 Actuals
Board of Public Works,74LVL5,Board of Public Works,Public Works Board and Board Secretariat,74JOURNALS,Percent of Board Meeting Journals Posted within 24 Hours,2013-14 Actuals
Bureau of Contract Administration,76LVL5,Bureau of Contract Administration,Construction Inspection,76RETENTION,Number of Days for Final Retention Requests to be Processed,2013-14 Actuals
Bureau of Contract Administration,76LVL5,Bureau of Contract Administration,Contract Compliance,76LOCALHIRE,Percent of Hours Worked by Local Hires at PLA Projects,2013-14 Actuals
Bureau of Engineering,78LVL5,Bureau of Engineering,Clean Water Infrastructure,78WATER,Number of Completed Clean Water Capital Projects,2013-14 Actuals
Bureau of Engineering,78LVL5,Bureau of Engineering,Development Services and Permits,78APERMIT,Percent of A Permits Issued within 60 Minutes,2013-14 Actuals
Bureau of Engineering,78LVL5,Bureau of Engineering,Mobility,78MOBILITY,Number of Completed Mobility Capital Projects,2013-14 Actuals
Bureau of Engineering,78LVL5,Bureau of Engineering,Public Buildings and Open Spaces,78BUILDING,Number of Completed Building & Open Spaces Capital Projects,2013-14 Actuals
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Watershed Protection,82CATCHBASIN,Number of Catch Basins Cleaned,2013-14 Actuals
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Clean Water,82SEWER,Sewer Miles Cleaned,2013-14 Actuals
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Solid Resources,82RECYCLING,Citywide Recycling Diversion Rate,2013-14 Actuals
Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,Design and Construction,84LEDPERCENT,Percentage of Streetlights Converted to LED,2013-14 Actuals
Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,"System Operation, Maintenance, and Repair",84OUTAGE,Single Streetlight Outage Response Time,2013-14 Actuals
Fire,38LVL5,Fire,Training,38TRAINING,Recruit Class Retention Rate,2015-16 Actuals
Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,Street Lighting Assessment,84SLMAF,Street Lighting Maintenance Assessment Fund Revenue,2013-14 Actuals
Bureau of Street Services,86LVL5,Bureau of Street Services,Investigation and Enforcement,86PERMIT,Number of Permits and Notices Issued,2013-14 Actuals
Bureau of Street Services,86LVL5,Bureau of Street Services,Street Cleaning,86SWEEPING,Percent of Posted Street Sweeping Routes Completed,2013-14 Actuals
Bureau of Street Services,86LVL5,Bureau of Street Services,Street Tree and Parkway Maintenance,86TREELIMB,Number of Days to Respond to Tree Limb Down Requests,2013-14 Actuals
Bureau of Street Services,86LVL5,Bureau of Street Services,Maintaining Streets,86POTHOLE,Average Number of Working Days to Repair Potholes,2013-14 Actuals
