Department Name,Program Name,Source Fund Name,Account Code,Account Name,Budget
City Attorney,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Clerk,Council and Public Services,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Clerk,Administration of City Elections,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Clerk,Records Management,General Fund,POSAN,As Needed Positions,2011-12 Adopted Budget
City Clerk,Records Management,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Clerk,Special Assessments,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Clerk,Mayor and City Council Administrative Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Clerk,Technology Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Clerk,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Ethics Commission,Governmental Ethics,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
Ethics Commission,Governmental Ethics,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Economic and Workforce Development,Grants Management,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Economic and Workforce Development,Adult Workforce Development,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Economic and Workforce Development,Adult Workforce Development,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Economic and Workforce Development,Family Services,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
Economic and Workforce Development,Family Services,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Economic and Workforce Development,Family Services,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Economic and Workforce Development,Citywide Grants Coordination,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Economic and Workforce Development,Economic Development,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Economic and Workforce Development,Office of Neighborhood Empowerment,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
Economic and Workforce Development,Technology Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Economic and Workforce Development,Technology Support,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Economic and Workforce Development,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Economic and Workforce Development,General Administration and Support,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Controller,Accounting and Disbursement of City Funds,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Controller,Financial Reporting of City and Grant Funds,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Controller,Audits of City Departments and Programs,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Controller,Support of the City's Financial Systems,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Controller,Support of the City's Financial Systems,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Controller,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Council,Legislation and Policy Determination,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Cultural Affairs,Community Arts,General Fund,POSAN,As Needed Positions,2011-12 Adopted Budget
Cultural Affairs,Community Arts,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
Cultural Affairs,Community Arts,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Cultural Affairs,Marketing and Development,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Cultural Affairs,Public Art,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Cultural Affairs,Grants Program,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Cultural Affairs,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Information Technology Agency,Public Safety Systems Development and Support,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
Information Technology Agency,Public Safety Systems Development and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Information Technology Agency,Public Safety Systems Development and Support,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Information Technology Agency,Public Safety Communications,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Information Technology Agency,3-1-1 Operations,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Information Technology Agency,3-1-1 Operations,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Information Technology Agency,Cable Television,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Aging,Senior Services,General Fund,POSAN,As Needed Positions,2016-17 Adopted Budget
Information Technology Agency,IT Strategic Planning,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Information Technology Agency,Office Systems Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Information Technology Agency,Systems Development and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Information Technology Agency,Systems Development and Support,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Information Technology Agency,Enterprise and Distributed Systems and Operation,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Information Technology Agency,Enterprise and Distributed Systems and Operation,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Information Technology Agency,Network Engineering and Operations,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Information Technology Agency,General Administration and Support,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
Information Technology Agency,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
El Pueblo de Los Angeles,History and Museums,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
El Pueblo de Los Angeles,History and Museums,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
El Pueblo de Los Angeles,Marketing and Events,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
El Pueblo de Los Angeles,Property Management,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
El Pueblo de Los Angeles,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Emergency Management,Emergency Management,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Emergency Management,Emergency Management,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Employee Relations Board,Employee Relations,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
Employee Relations Board,Employee Relations,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Fire,Arson Investigation and Counter-Terrorism,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
Fire,Arson Investigation and Counter-Terrorism,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Fire,Arson Investigation and Counter-Terrorism,General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Fire,Arson Investigation and Counter-Terrorism,General Fund,RESSW,Sworn Resolution Authority Positions,2011-12 Adopted Budget
Fire,"Legal, Liaison, and Research",General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Fire,"Legal, Liaison, and Research",General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Fire,Fire Suppression,General Fund,POSAN,As Needed Positions,2011-12 Adopted Budget
Fire,Fire Suppression,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Fire,Fire Suppression,General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Fire,Fire Suppression,General Fund,RESSW,Sworn Resolution Authority Positions,2011-12 Adopted Budget
Fire,Metropolitan Fire Communications,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Fire,Metropolitan Fire Communications,General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Fire,Metropolitan Fire Communications,General Fund,RESSW,Sworn Resolution Authority Positions,2011-12 Adopted Budget
Fire,Hazardous Materials Enforcement,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Fire,Hazardous Materials Enforcement,General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Fire,Fire Prevention,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Fire,Fire Prevention,General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Fire,New Construction Inspection,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Fire,New Construction Inspection,General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Fire,Emergency Medical Service,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Fire,Emergency Medical Service,General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Fire,Training,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Fire,Training,General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Fire,"Procurement, Maintenance and Repair",General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Fire,"Procurement, Maintenance and Repair",General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Fire,Technology Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Fire,Technology Support,General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Fire,General Administration and Support,General Fund,POSAN,As Needed Positions,2011-12 Adopted Budget
Fire,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Fire,General Administration and Support,General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Fire,General Administration and Support,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Finance,Revenue Management,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Finance,Revenue Management,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Finance,Treasury Services,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
General Services,Custodial Services,General Fund,POSPR,Printing Positions,2011-12 Adopted Budget
General Services,Custodial Services,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
General Services,Building Maintenance,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
General Services,Construction Forces,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
General Services,Real Estate Services,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
General Services,Parking Services,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
General Services,Public Safety Services,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
General Services,Emergency Management and Special Services,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
General Services,Fleet Services,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
General Services,Fuel and Environmental Compliance,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
General Services,Standards and Testing Services,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
General Services,Supply Management,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
General Services,Supply Management,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
General Services,Mail Services,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
General Services,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Housing and Community Investment,Finance and Development,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
Housing and Community Investment,Finance and Development,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Housing and Community Investment,Finance and Development,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Housing and Community Investment,Affordable Housing Asset Management,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Housing and Community Investment,Portfolio Management,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Housing and Community Investment,Portfolio Management,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Housing and Community Investment,Strategic Planning and Policy Development,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Housing and Community Investment,Strategic Planning and Policy Development,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
City Planning,Technology Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Housing and Community Investment,Rent Stabilization,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Housing and Community Investment,Rent Stabilization,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Housing and Community Investment,Multi-family Residential Code Enforcement,General Fund,POSAN,As Needed Positions,2011-12 Adopted Budget
Housing and Community Investment,Multi-family Residential Code Enforcement,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Housing and Community Investment,Code and Rent Compliance,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Housing and Community Investment,Executive Management,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Housing and Community Investment,Executive Management,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Housing and Community Investment,Administrative Services,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Housing and Community Investment,Administrative Services,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
City Planning,Technology Support,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Housing and Community Investment,Technology Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Housing and Community Investment,Technology Support,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Housing and Community Investment,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Housing and Community Investment,General Administration and Support,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Library,Branch Library Services,Library Other Revenue,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
Library,Branch Library Services,Library Other Revenue,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Library,Central Library Services,Library Other Revenue,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Library,Technology Support,Library Other Revenue,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Library,General Administration and Support,Library Other Revenue,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Mayor,Office of the Mayor,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Neighborhood Empowerment,Neighborhood Council System Development,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
Neighborhood Empowerment,Neighborhood Council System Development,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Neighborhood Empowerment,Neighborhood Council Funding Program,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Neighborhood Empowerment,Planning and Policy,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
Neighborhood Empowerment,Neighborhood Council Administrative Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Neighborhood Empowerment,Neighborhood Council Administrative Support,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Neighborhood Empowerment,Technology Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Neighborhood Empowerment,Technology Support,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Neighborhood Empowerment,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Neighborhood Empowerment,General Administration and Support,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Convention and Tourism Development,Client Revenue Services,General Fund,POSAN,As Needed Positions,2011-12 Adopted Budget
Convention and Tourism Development,Client Revenue Services,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
Convention and Tourism Development,Client Revenue Services,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Convention and Tourism Development,Client Revenue Services,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Convention and Tourism Development,Facility and Infrastructure Maintenance,General Fund,POSAN,As Needed Positions,2011-12 Adopted Budget
Convention and Tourism Development,Facility and Infrastructure Maintenance,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Convention and Tourism Development,Facility and Infrastructure Maintenance,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Convention and Tourism Development,Human Resources,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Convention and Tourism Development,Revenue Management and Fiscal Control,General Fund,POSAN,As Needed Positions,2011-12 Adopted Budget
Convention and Tourism Development,Revenue Management and Fiscal Control,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Disability,ADA Compliance,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
Disability,ADA Compliance,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Disability,Computerized Information Center For the Disabled,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Disability,Community Affairs and Outreach,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Zoo,Custodial Services,General Fund,POSAN,As Needed Positions,2016-17 Adopted Budget
Disability,AIDS Coordinator's Office,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Disability,AIDS Coordinator's Office,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Disability,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Personnel,Public Safety Employment,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
Personnel,Public Safety Employment,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Personnel,Public Safety Employment,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Personnel,Employee Selection,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Personnel,Workers' Compensation and Safety,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Personnel,Employee Benefits,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Personnel,Occupational Health,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Personnel,Custody Medical Care,General Fund,POSAN,As Needed Positions,2011-12 Adopted Budget
Personnel,Custody Medical Care,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Personnel,Equal Employment Opportunity,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Personnel,Employee Training and Development,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Personnel,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Planning,Citywide Planning,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
City Planning,Citywide Planning,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Planning,Citywide Planning,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
City Planning,Community Planning,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Planning,Community Planning,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
City Planning,Historic Resources,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Planning,Development Services,General Fund,POSAN,As Needed Positions,2011-12 Adopted Budget
City Planning,Development Services,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Planning,Development Services,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
City Planning,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
City Planning,General Administration and Support,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Police,Field Forces,General Fund,POSCOMM,Commissioner Positions,2011-12 Adopted Budget
Police,Field Forces,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Police,Field Forces,General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Police,Field Forces,General Fund,RESSW,Sworn Resolution Authority Positions,2011-12 Adopted Budget
Police,Specialized Investigation,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Police,Specialized Investigation,General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Police,Custody of Persons and Property,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Police,Custody of Persons and Property,General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Police,Traffic Control,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Police,Traffic Control,General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Police,Personnel Training and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Police,Personnel Training and Support,General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Police,Departmental Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Police,Departmental Support,General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Police,Departmental Support,General Fund,RESSG,Civilian Resolution Authority Positions,2011-12 Adopted Budget
Police,Technology Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Police,Technology Support,General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Police,General Administration and Support,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Police,General Administration and Support,General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Police,Internal Integrity and Standards Enforcement,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Police,Internal Integrity and Standards Enforcement,General Fund,POSSW,Sworn Regular Authority Positions,2011-12 Adopted Budget
Board of Public Works,Office of Community Beautification,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
Board of Public Works,Project Restore,General Fund,POSSG,Civilian Regular Authority Positions,2011-12 Adopted Budget
