superconduct/table48.range_atomic_radius,superconduct/table48.range_fie,superconduct/table48.wtd_mean_fie
82.0,349.5,795.630862944162
205.0,810.6,987.120238095238
205.0,810.6,978.453283458021
205.0,810.6,994.213235294118
185.0,764.1,1007.55413333333
39.0,218.0,719.717382617383
205.0,810.6,742.250857142857
5.0,2.29999999999995,650.997
36.0,218.0,583.402857142857
33.0,59.8,679.633333333333
205.0,810.6,995.44650455927
205.0,810.6,1001.08591484038
171.0,772.0,1014.6782463929
205.0,810.6,997.937354085603
171.0,772.0,1011.51557142857
171.0,772.0,1012.48550270578
29.0,181.1,864.8515
205.0,810.6,735.448571428571
145.0,817.5,1168.83456790123
23.0,175.3,783.09
43.0,175.5,701.675
82.0,349.5,806.32
205.0,810.6,1006.98986666667
177.0,1138.9,1029.10044642857
146.0,817.5,973.605714285714
171.0,772.0,1011.93122857143
117.0,399.3,791.5
171.0,764.1,1001.62692307692
178.0,764.1,737.323529411765
33.0,311.0,786.758208955224
14.0,215.7,706.325
190.0,773.0,737.921388888889
205.0,810.6,730.882857142857
205.0,810.6,987.141218637993
0.0,0.0,868.1
60.0,135.9,684.075
205.0,810.6,1000.55692307692
0.0,0.0,1085.7
185.0,764.1,1028.41142857143
171.0,764.1,1002.71973684211
94.0,254.5,732.508
250.0,937.6,1130.08823529412
205.0,810.6,998.7875
139.0,443.7,781.96048
185.0,781.6,1027.57242857143
171.0,764.1,1007.00933333333
199.0,786.5,778.33125
0.0,0.0,819.8
205.0,810.6,739.1825
7.0,67.1,669.175
139.0,443.7,782.5948
205.0,810.6,995.906201550388
141.0,510.5,773.533333333333
205.0,810.6,738.099142857143
205.0,810.6,1000.8532767926
69.0,62.9000000000001,779.320533333333
58.0,80.5999999999999,643.7465
171.0,764.1,1005.86666666667
171.0,773.0,1005.20933333333
171.0,764.1,1010.25131578947
205.0,810.6,1002.78762051678
171.0,772.0,1007.63563332389
29.0,328.0,599.742857142857
205.0,810.6,996.438461538461
36.0,29.8,818.4
199.0,786.5,1012.87757142857
171.0,764.1,768.758571428571
55.0,44.6,674.55125
205.0,810.6,996.275273865415
93.0,279.5,859.803125
113.0,296.1,901.256372549019
171.0,772.0,1016.88387096774
145.0,470.3,928.933333333333
205.0,810.6,1001.57384615385
199.0,786.5,886.225
205.0,810.6,1005.82923076923
91.0,62.3,576.830375
74.0,245.9,719.522885572139
171.0,772.0,1011.50928571429
205.0,810.6,1067.1847826087
174.0,764.1,736.957142857143
139.0,443.7,782.19864
12.0,57.9,681.35
205.0,810.6,1015.55530393325
205.0,810.6,1001.38
24.0,183.0,611.4
205.0,810.6,1007.22773333333
205.0,810.6,998.093740219092
20.0,22.3,726.5975
58.0,223.0,776.565
57.0,149.5,853.84
205.0,810.6,1010.21485714286
164.0,781.6,1011.03021428571
150.0,572.7,778.617886178862
20.0,108.0,857.3
171.0,772.0,1011.82685714286
21.0,118.1,774.25
171.0,764.1,737.0375
6.0,79.5,683.8
113.0,503.4,912.419672131148
195.0,894.6,1074.07777777778
85.0,349.5,806.539
171.0,764.1,744.341428571429
153.0,1138.9,947.71
93.0,130.8,814.891111111111
183.0,766.2,1025.0
144.0,452.1,842.743
171.0,793.2,731.41
164.0,1148.5,953.128
171.0,764.1,1013.74444444444
205.0,810.6,1002.25065840434
171.0,764.1,722.39
205.0,810.6,1001.08383371824
133.0,464.3,799.3
217.0,910.3,796.31
205.0,810.6,1002.18753846154
183.0,766.2,1027.81571428571
35.0,71.4,632.25
250.0,937.6,706.870476190476
190.0,773.0,889.5395
205.0,810.6,1003.62307692308
95.0,276.8,848.133333333333
76.0,450.6,733.625
164.0,1148.5,1053.38666666667
205.0,810.6,994.94496124031
171.0,764.1,737.0375
205.0,810.6,999.522447388932
67.0,283.8,842.45
171.0,764.1,737.2975
33.0,311.0,781.1651
205.0,810.6,1001.22403100775
199.0,786.5,885.3875
53.0,72.9,631.8525
180.0,1077.0,960.09
158.0,781.6,1013.83753202814
171.0,764.1,1015.099543379
205.0,810.6,1005.70296411856
35.0,136.5,582.451944167498
199.0,786.5,1018.23728571429
12.0,148.6,775.6875
0.0,0.0,946.2
205.0,810.6,996.469230769231
205.0,810.6,1001.68846153846
205.0,810.6,1006.37638572513
190.0,773.0,1011.08571428571
199.0,786.5,1010.60814285714
205.0,810.6,995.805836876691
205.0,810.6,1007.06033333333
205.0,810.6,1001.94507692308
205.0,810.6,998.7875
171.0,772.0,1008.21270047681
231.0,710.2,1055.69365079365
14.0,215.7,691.226
33.0,311.0,785.58315
171.0,772.0,1011.77042857143
205.0,810.6,1001.11241272304
205.0,810.6,1003.64476923077
171.0,764.1,1030.76127744511
147.0,772.0,1014.35884016973
150.0,437.9,828.52972972973
139.0,527.7,780.1
24.0,225.7,713.254
5.0,7.69999999999993,655.952
142.0,817.5,1095.39536152797
139.0,527.7,774.22
171.0,764.1,1006.89266666667
5.0,7.69999999999993,654.72
171.0,772.0,1005.06166666667
158.0,781.6,1008.833
114.0,306.7,812.212058823529
171.0,764.1,1005.86666666667
95.0,276.8,848.133333333333
205.0,810.6,1003.31846153846
80.0,356.8,809.698409733199
211.0,1177.5,775.322368421053
205.0,810.6,1002.8117013087
171.0,817.5,1005.24133333333
146.0,817.5,1006.19785714286
171.0,764.1,1011.1406824147
171.0,772.0,1011.42785714286
205.0,810.6,997.576923076923
205.0,899.0,989.422352941176
16.0,25.0999999999999,661.89625
80.0,353.4,793.1
164.0,1148.5,1024.35285714286
128.0,257.5,674.166666666667
150.0,737.9,1031.666
95.0,276.8,842.605825242718
205.0,810.6,745.478571428571
62.0,84.9,646.62
53.0,73.6999999999999,712.733333333333
100.0,565.8,897.1
129.0,527.7,704.1
133.0,422.1,910.8375
80.0,353.4,793.1
171.0,781.6,1005.58666666667
137.0,773.0,889.6
103.0,457.2,884.771428571428
205.0,810.6,994.204705882353
205.0,810.6,1007.20133333333
117.0,399.3,791.443
147.0,772.0,1012.06142857143
78.0,348.4,798.266666666667
7.0,170.2,653.566666666667
22.0,178.4,594.62
73.0,237.3,762.442105263158
128.0,793.2,1071.68333333333
171.0,781.6,1011.32978571429
58.0,62.9000000000001,779.233333333333
113.0,40.1,786.833333333333
139.0,443.7,784.8
205.0,810.6,739.217857142857
183.0,773.0,1030.27058823529
147.0,772.0,766.221428571429
171.0,772.0,1011.54071428571
205.0,810.6,1003.99415384615
171.0,781.6,1009.87428571429
80.0,182.8,651.14
171.0,781.6,1011.36928571429
150.0,793.2,977.462790697674
171.0,764.1,999.692708333333
171.0,772.0,762.197333333333
200.0,808.8,1139.86470588235
171.0,772.0,785.32725
171.0,764.1,767.755555555555
0.0,0.0,786.0
205.0,810.6,1006.08653846154
129.0,527.7,781.48
205.0,810.6,996.469230769231
205.0,810.6,992.014604948124
147.0,772.0,873.957272727273
97.0,180.3,868.4
205.0,810.6,996.300772200772
205.0,810.6,1042.52
26.0,225.6,1096.98
155.0,508.7,773.824
171.0,764.1,1008.66767857143
170.0,1138.9,903.648025
205.0,810.6,999.522447388932
81.0,405.1,807.93075
198.0,682.9,1053.18095238095
142.0,817.5,1205.24664804469
205.0,810.6,1005.47846153846
190.0,773.0,889.5875
183.0,773.0,1012.88285714286
199.0,786.5,1026.03235294118
145.0,793.2,1131.38837209302
205.0,810.6,998.295618153365
3.0,254.6,706.0
205.0,810.6,987.992929292929
108.0,351.5,794.04
205.0,810.6,993.198672911788
53.0,58.1,674.52725
35.0,159.9,761.5
205.0,810.6,999.906411837238
101.0,252.7,758.389473684211
33.0,311.0,791.0755
171.0,764.1,701.572666666667
205.0,810.6,738.450714285714
15.0,448.0,961.2
171.0,772.0,785.42625
171.0,764.1,1008.67142857143
164.0,1148.5,961.498
171.0,764.1,738.3375
139.0,426.0,882.74
116.0,507.8,1033.35801860974
205.0,810.6,1002.94
205.0,810.6,1002.58222565688
171.0,764.1,1008.40578512397
80.0,450.6,788.015631262525
62.0,328.9,779.259090909091
171.0,764.1,689.500952380952
87.0,144.6,730.72
205.0,810.6,986.010569105691
171.0,764.1,737.2995
37.0,143.8,702.84
75.0,205.4,780.971428571429
171.0,764.1,1021.97407407407
7.0,182.8,699.676
27.0,251.2,885.6
205.0,810.6,1006.7665902316
205.0,810.6,995.746153846154
141.0,721.9,901.47
2.0,126.3,705.774626865672
29.0,151.8,700.14
205.0,810.6,1000.43846153846
29.0,139.9,690.224
178.0,764.1,990.429975
171.0,764.1,996.763
205.0,810.6,998.572923076923
24.0,100.3,691.233333333333
205.0,810.6,690.97
171.0,781.6,992.988461538461
205.0,810.6,1010.59942857143
205.0,810.6,741.942857142857
29.0,110.0,732.6
205.0,810.6,999.0890625
205.0,810.6,1006.96666666667
67.0,242.6,629.129411764706
205.0,810.6,1022.07642805495
171.0,772.0,1011.44657142857
205.0,810.6,1003.35230769231
199.0,786.5,735.703
12.0,52.1,699.595
171.0,772.0,760.675833333333
205.0,810.6,994.920411392405
171.0,772.0,1011.76642857143
205.0,810.6,1010.26857142857
205.0,810.6,1005.65392912173
31.0,32.9,541.44545
153.0,1138.9,899.96475
211.0,1177.5,1026.99238095238
205.0,810.6,1007.528
199.0,786.5,743.2125
205.0,810.6,1004.74390243902
73.0,96.4,687.7
139.0,527.7,777.916
185.0,764.1,737.0915
171.0,772.0,759.672
205.0,894.6,1022.724
183.0,772.0,1090.10133333333
205.0,810.6,989.95140562249
205.0,810.6,1007.12053333333
54.0,98.4,692.5
205.0,810.6,1002.93714615385
171.0,764.1,737.0375
205.0,810.6,1012.27333333333
205.0,810.6,1001.028
158.0,781.6,1012.26928571429
153.0,1138.9,915.2975
108.0,351.5,796.8
17.0,109.0,731.85
205.0,810.6,1001.06068796069
111.0,375.4,805.97812
205.0,810.6,1002.18809891808
171.0,772.0,1011.59714285714
84.0,244.9,707.333333333333
205.0,810.6,997.056153846154
62.0,157.5,656.07
205.0,810.6,1002.69769230769
139.0,443.7,782.50404
171.0,772.0,1011.98765714286
205.0,810.6,1011.56422857143
178.0,764.1,1006.72786666667
211.0,1177.5,1029.15066666667
205.0,810.6,783.00025
147.0,772.0,1012.40642857143
205.0,810.6,995.812933753943
205.0,810.6,1000.15628373169
58.0,62.9000000000001,779.233333333333
56.0,331.3,863.756
86.0,279.5,850.515625
177.0,1139.9,985.09
205.0,810.6,997.246303501945
205.0,810.6,995.462229591031
205.0,810.6,1005.44953846154
8.0,3.89999999999998,662.625
171.0,764.1,1029.22
171.0,772.0,1011.48671428571
128.0,793.2,1011.17814285714
153.0,1138.9,903.63375
205.0,810.6,1003.1732046332
171.0,772.0,1011.55682857143
171.0,772.0,1011.50564285714
70.0,181.9,727.737931034483
205.0,810.6,994.648235294118
65.0,175.5,704.575
2.0,96.5,744.66
211.0,1177.5,1017.07789473684
171.0,764.1,714.144166666667
205.0,810.6,1003.87046153846
95.0,276.8,871.2
171.0,764.1,690.120952380952
171.0,764.1,1003.52168674699
171.0,764.1,1006.73333333333
58.0,62.9000000000001,779.233333333333
62.0,129.5,673.13125
205.0,810.6,738.857142857143
171.0,772.0,884.545
171.0,764.1,1009.88926245148
177.0,744.1,886.176923076923
205.0,810.6,1001.22403100775
0.0,0.0,541.1
29.0,328.0,594.435714285714
88.0,86.4,641.9926875
140.0,521.9,784.226363636364
205.0,810.6,998.89765625
171.0,781.6,1019.67557894737
158.0,781.6,1004.26954545455
53.0,181.3,840.784615384615
153.0,1138.9,903.63375
205.0,810.6,1000.54976816074
145.0,470.3,897.312244897959
205.0,810.6,1010.59942857143
77.0,130.5,691.611111111111
205.0,810.6,997.735849056604
97.0,368.2,815.359102244389
122.0,341.5,771.864705882353
205.0,810.6,990.569975980785
144.0,641.4,1039.5830848329
145.0,470.3,887.623404255319
39.0,16.9,545.325
91.0,62.3,550.33125
147.0,772.0,1009.14741940147
171.0,773.0,1024.04721052632
205.0,810.6,1005.47846153846
36.0,5.79999999999995,541.11972
80.0,182.8,669.877
171.0,772.0,1011.40057142857
155.0,496.7,791.25
205.0,810.6,999.277847113884
171.0,764.1,1010.09673416068
199.0,786.5,1008.64226361032
205.0,810.6,1004.72
0.0,0.0,702.2
5.0,2.29999999999995,650.56
205.0,810.6,998.445765345765
171.0,772.0,1011.74785714286
205.0,810.6,1010.5884
38.0,310.6,681.546933333333
205.0,810.6,738.115428571429
155.0,508.7,936.713075060533
171.0,772.0,1011.5836
205.0,810.6,1003.62307692308
205.0,810.6,1000.34285714286
205.0,810.6,1001.039
205.0,810.6,1011.8009771987
205.0,810.6,1001.85692307692
161.0,518.7,788.166666666667
69.0,239.9,855.61
33.0,218.0,582.429428571429
105.0,397.2,787.766666666667
38.0,310.6,873.77
205.0,810.6,1003.45384615385
205.0,810.6,1003.53009118541
205.0,810.6,998.7875
147.0,772.0,1011.88779235596
205.0,810.6,1005.1960949464
205.0,810.6,1003.62307692308
164.0,1148.5,897.55975
80.0,356.8,800.0
205.0,810.6,1000.64215384615
59.0,37.6,550.5
10.0,278.7,726.9
171.0,764.1,737.103
205.0,810.6,1013.86083086053
205.0,810.6,1000.16861989206
205.0,810.6,706.199019607843
171.0,764.1,1001.09230769231
135.0,211.2,740.866666666667
0.0,0.0,869.0
4.0,200.1,564.003
0.0,0.0,769.7
185.0,764.1,1005.93066666667
3.0,60.6999999999999,762.6206
205.0,810.6,1006.40250189538
62.0,138.1,650.446
103.0,314.2,854.01724137931
0.0,0.0,819.8
231.0,710.2,1051.88095238095
171.0,764.1,1011.49659685864
155.0,482.7,1016.74285714286
171.0,764.1,1024.52014285714
205.0,810.6,1001.46560805577
183.0,773.0,1030.57058823529
171.0,781.6,1010.95828571429
145.0,470.3,795.65
139.0,450.6,781.378
205.0,810.6,734.585714285714
171.0,773.0,1018.83805555556
80.0,356.8,808.943414634146
205.0,810.6,1003.80122887865
12.0,148.6,815.25
199.0,786.5,1007.49857142857
8.0,3.89999999999998,661.65
205.0,810.6,723.728571428571
50.0,178.4,656.266666666667
65.0,254.0,892.95
205.0,810.6,1010.40642857143
158.0,781.6,1008.81285714286
60.0,135.9,689.0775
11.0,9.60000000000002,540.908
205.0,810.6,1002.155
205.0,810.6,992.822375
32.0,229.6,717.1
151.0,543.4,777.09
205.0,810.6,702.311111111111
171.0,781.6,1011.3915
0.0,0.0,759.1
223.0,1277.2,1160.63095238095
50.0,105.6,649.9125
141.0,432.0,840.868421052632
73.0,96.4,687.7
139.0,443.7,773.46
171.0,772.0,1011.54171428571
78.0,348.4,817.3
58.0,62.9000000000001,782.228571428572
199.0,786.5,1004.60615384615
205.0,810.6,1004.95906040268
205.0,810.6,1006.06613394216
205.0,894.6,1019.5755
205.0,810.6,961.661578697099
22.0,28.1,540.538
60.0,207.3,663.0
145.0,647.7,896.27119205298
105.0,397.2,795.19
69.0,491.3,763.4
27.0,160.1,641.24
75.0,205.4,780.971428571429
91.0,62.3,552.72375
158.0,781.6,1015.05685887495
5.0,309.2,561.092
205.0,810.6,757.462857142857
205.0,810.6,985.744426362897
21.0,204.5,714.725
81.0,129.1,889.578571428571
77.0,53.1,546.1215
205.0,810.6,1000.97330232558
74.0,245.9,719.38
74.0,328.0,786.08
40.0,29.5,746.725
35.0,9.60000000000002,653.3
57.0,149.5,861.27
103.0,314.2,843.85
190.0,773.0,744.05625
185.0,764.1,981.18
205.0,810.6,1001.99230769231
171.0,764.1,1002.36578947368
126.0,326.6,926.861194029851
205.0,810.6,1002.12030769231
205.0,810.6,1004.59713799505
205.0,810.6,1005.36428571429
20.0,174.1,758.725
190.0,773.0,1011.93585714286
205.0,810.6,1010.95785714286
26.0,268.7,938.825
205.0,810.6,1003.22307692308
158.0,781.6,1008.95
76.0,139.7,892.7929
139.0,527.7,778.010040160642
2.0,84.5,576.045
123.0,400.9,886.525
205.0,810.6,1007.03213333333
83.0,208.8,650.866666666667
205.0,810.6,1001.238996139
106.0,273.0,723.33
205.0,810.6,998.440109460516
139.0,219.2,739.977777777778
145.0,755.1,1160.67639902676
205.0,810.6,1011.24678571429
171.0,773.0,1028.36136363636
39.0,88.7,694.5
205.0,810.6,1005.43928571429
142.0,737.9,665.8137
217.0,910.3,797.971666666667
205.0,810.6,997.472093023256
153.0,1138.9,938.281459566075
205.0,810.6,999.380031201248
217.0,910.3,991.193949044586
52.0,161.8,595.033333333333
205.0,810.6,990.251898734177
150.0,905.9,913.248401826484
65.0,169.7,684.1325
199.0,786.5,979.21
199.0,786.5,1079.62291666667
171.0,764.1,717.9875
77.0,167.1,668.341
205.0,810.6,1010.80742857143
171.0,772.0,1011.35429090909
95.0,363.2,647.448
20.0,166.1,744.425
199.0,786.5,894.35
205.0,817.5,736.645714285714
158.0,781.6,1012.33511428571
47.0,153.3,684.51
199.0,786.5,1004.192
205.0,810.6,986.630348892783
205.0,810.6,995.19342834521
205.0,810.6,733.442857142857
2.0,74.3000000000001,736.81
171.0,764.1,1008.67142857143
205.0,810.6,985.073333333333
205.0,810.6,1004.36923076923
171.0,764.1,1006.60106666667
34.0,312.3,1207.2
190.0,983.0,1070.64029850746
199.0,786.5,760.424285714286
10.0,183.3,865.7171
205.0,810.6,998.472534696859
205.0,810.6,1003.85384615385
3.0,61.7,659.651
50.0,149.5,845.766666666667
171.0,764.1,720.438461538462
171.0,772.0,1013.05382107932
69.0,170.6,734.03
205.0,810.6,705.551428571429
205.0,810.6,733.742857142857
205.0,810.6,1007.16384615385
171.0,772.0,1011.59714285714
171.0,764.1,1008.67142857143
171.0,764.1,1007.1892
205.0,810.6,1011.01428571429
205.0,810.6,1002.89771863118
33.0,311.0,785.596
142.0,737.9,1000.97
171.0,772.0,736.74125
2.0,157.2,620.88
145.0,470.3,791.312903225806
205.0,810.6,1000.72692307692
205.0,810.6,1008.14520222046
30.0,16.6,711.2
72.0,587.5,810.166666666667
205.0,810.6,1000.99928571429
139.0,443.7,782.5968
205.0,810.6,1000.48461538462
171.0,764.1,1010.54134078212
6.0,218.0,704.6
205.0,810.6,1002.33191833686
153.0,1138.9,944.91
183.0,766.2,1015.97720444154
133.0,325.6,924.82
205.0,810.6,1030.539
11.0,9.60000000000002,540.716
205.0,810.6,1003.29769230769
171.0,772.0,1011.50121428571
205.0,810.6,1010.73177142857
185.0,764.1,1005.89546666667
205.0,810.6,1001.94764114462
105.0,397.2,791.88
152.0,1090.6,992.53
205.0,810.6,1001.52325581395
0.0,0.0,786.0
205.0,810.6,701.862
86.0,279.5,882.857142857143
205.0,810.6,1006.07661538462
131.0,422.1,959.07
205.0,810.6,1003.23919532272
205.0,810.6,1001.51294298921
171.0,764.1,996.769230769231
153.0,1138.9,899.96475
205.0,810.6,1001.98214285714
174.0,764.1,1008.70634081902
29.0,110.0,651.002
171.0,764.1,983.870714285714
3.0,168.5,821.55
205.0,810.6,992.311356466877
171.0,764.1,1004.64
103.0,503.4,858.024242424242
62.0,292.2,735.9
53.0,72.6,711.05
49.0,130.1,692.64
155.0,736.1,705.858823529412
171.0,764.1,944.12375
171.0,764.1,1010.59415096663
146.0,817.5,1006.43905714286
185.0,764.1,1050.28723076923
205.0,810.6,756.031428571428
205.0,810.6,998.7875
205.0,810.6,813.47
26.0,297.8,726.068
10.0,95.5,734.27
152.0,905.9,1025.93434650456
205.0,810.6,997.188795908879
74.0,245.9,720.42
205.0,810.6,1003.48769230769
28.0,208.1,956.275
23.0,275.3,699.833333333333
73.0,282.6,840.58125
171.0,764.1,722.141758241758
171.0,781.6,1011.34107142857
205.0,810.6,1003.05605242868
164.0,1148.5,894.813
137.0,773.0,894.5
171.0,772.0,1011.59714285714
205.0,810.6,1003.79376899696
205.0,810.6,996.312598425197
190.0,773.0,1011.47214285714
171.0,764.1,726.293
171.0,764.1,930.0125
171.0,764.1,723.135
171.0,764.1,1005.86666666667
199.0,786.5,732.877
205.0,810.6,984.796533333333
0.0,0.0,684.8
153.0,1138.9,911.542424242424
211.0,1177.5,1063.34545454545
171.0,773.0,1013.10898011546
205.0,810.6,1010.26857142857
142.0,283.5,744.0
205.0,810.6,1016.7918128655
106.0,355.1,755.77
171.0,764.1,746.982666666667
122.0,341.5,771.983823529412
171.0,772.0,1011.50347142857
32.0,102.8,742.322
205.0,810.6,1008.51987673344
171.0,764.1,924.0875
171.0,764.1,997.384615384615
153.0,1138.9,897.213
205.0,810.6,992.248947368421
58.0,62.9000000000001,779.233333333333
205.0,894.6,1018.8019
171.0,772.0,1011.49235714286
8.0,3.89999999999998,661.182
205.0,810.6,1001.98271604938
171.0,764.1,1014.67078804348
171.0,852.5,721.493333333333
25.0,55.9,677.46
205.0,810.6,1006.59169230769
171.0,772.0,1019.65131004367
145.0,647.7,858.454744525548
171.0,772.0,1011.473
171.0,764.1,1005.6512
171.0,764.1,1008.91201550388
183.0,766.2,1025.99142857143
205.0,810.6,1004.95176282051
73.0,96.4,687.7
20.0,174.1,831.266666666667
69.0,62.9000000000001,779.451333333333
2.0,96.5,682.9
150.0,881.6,937.972375
48.0,40.5,734.6875
62.0,179.4,657.384
171.0,772.0,1011.60721428571
195.0,894.6,1012.14
153.0,1138.9,899.96475
217.0,910.3,988.172916666667
47.0,170.2,654.915333333333
180.0,746.1,880.112987012987
158.0,781.6,1008.81285714286
205.0,810.6,1040.744
205.0,810.6,1011.38125
171.0,764.1,737.0375
205.0,810.6,731.805555555556
0.0,0.0,663.6
81.0,405.1,806.268292682927
212.0,998.7,1068.1498489426
205.0,810.6,997.591828793774
140.0,521.9,777.4431875
205.0,810.6,1005.82933333333
119.0,337.4,821.650666666667
205.0,810.6,701.538200782269
139.0,527.7,778.588
217.0,910.3,1137.21939252336
69.0,239.9,839.882178217822
205.0,810.6,740.654285714286
205.0,810.6,735.74
45.0,123.0,771.8
195.0,894.6,990.63
205.0,810.6,1003.87046153846
123.0,400.9,890.662376237624
114.0,306.7,809.505882352941
171.0,764.1,713.958490566038
205.0,810.6,1008.99733333333
205.0,810.6,1003.43353846154
106.0,355.1,731.752105263158
7.0,60.1999999999999,677.792
250.0,937.6,710.056730769231
108.0,351.5,830.233333333333
205.0,810.6,984.466666666667
171.0,764.1,1007.13255813953
185.0,764.1,1028.37857142857
105.0,379.2,886.034782608696
17.0,170.2,653.633333333333
78.0,348.4,783.991666666667
116.0,507.8,1055.48136020151
171.0,773.0,1018.70138888889
33.0,311.0,787.026
123.0,400.9,818.433333333333
171.0,764.1,724.27628458498
101.0,252.7,784.72
2.0,74.3000000000001,730.866
205.0,810.6,734.585714285714
13.0,114.0,685.8
82.0,283.6,701.686666666667
74.0,245.9,720.42
205.0,810.6,1012.04166666667
133.0,325.6,925.3
52.0,178.4,654.5
205.0,810.6,1002.29322709163
5.0,278.3,636.211
171.0,764.1,1006.03066666667
205.0,810.6,997.416666666667
205.0,810.6,1001.99333333333
205.0,810.6,1003.13783783784
205.0,810.6,997.838461538462
17.0,170.2,653.633333333333
133.0,325.6,922.9
205.0,810.6,1001.49076923077
183.0,773.0,1030.45058823529
176.0,667.2,1053.92857142857
205.0,810.6,1001.88053846154
171.0,764.1,1029.237776
205.0,810.6,995.035708752905
205.0,810.6,738.591071428571
103.0,314.2,867.106666666667
171.0,764.1,691.123255813954
78.0,348.4,784.943333333333
171.0,764.1,1009.82940247434
114.0,306.7,801.776470588235
171.0,764.1,1011.63962017027
164.0,1148.5,960.466
145.0,647.7,928.577987421384
62.0,328.9,779.818181818182
190.0,773.0,737.486428571429
33.0,465.9,584.182171428571
26.0,268.7,871.65
205.0,810.6,995.22625
171.0,772.0,1011.82785714286
205.0,894.6,798.233333333333
139.0,219.2,743.150222222222
205.0,810.6,1009.54427596664
171.0,764.1,1009.28962848297
190.0,773.0,1011.55428571429
87.0,255.6,827.635294117647
171.0,764.1,1005.86666666667
5.0,48.3000000000001,848.78
205.0,810.6,728.718333333333
60.0,135.9,684.075
171.0,764.1,1006.3
147.0,773.0,1011.36
205.0,810.6,1003.2769641495
82.0,349.5,806.32
196.0,1139.9,903.38375
171.0,764.1,767.236
205.0,810.6,982.4
106.0,366.2,902.6
80.0,280.3,774.160666666667
158.0,781.6,1001.90845070423
205.0,810.6,997.752680652681
100.0,284.4,560.7
205.0,810.6,741.449285714286
97.0,169.4,778.523333333333
205.0,810.6,994.150583657588
171.0,764.1,1011.49659685864
24.0,225.7,720.025
74.0,245.9,723.52
205.0,810.6,995.746153846154
117.0,399.3,791.569
139.0,418.0,841.973684210526
101.0,41.1,771.43
205.0,810.6,1003.02580023139
156.0,580.5,799.4375
29.0,179.4,578.514285714286
183.0,766.2,1005.669
205.0,810.6,747.633571428571
171.0,772.0,760.331666666667
171.0,764.1,999.817
142.0,283.5,747.218518518519
184.0,570.7,774.57
205.0,810.6,983.842612752722
54.0,65.5,848.243333333333
119.0,140.5,765.48301754386
185.0,764.1,737.1515
141.0,721.9,1051.8625
171.0,772.0,1010.25909090909
205.0,810.6,999.660247486466
171.0,764.1,725.269631236442
62.0,232.2,829.429
150.0,572.7,778.595041322314
205.0,810.6,1007.22773333333
171.0,773.0,1024.52247368421
150.0,741.8,1030.6
147.0,772.0,1011.37142857143
147.0,772.0,1016.03952180028
171.0,764.1,737.0375
171.0,764.1,1010.18820822926
33.0,311.0,788.53575
205.0,810.6,1005.25466666667
26.0,208.4,729.166666666667
205.0,810.6,1000.52616679418
171.0,764.1,924.0875
53.0,72.9,583.758295964126
145.0,639.5,971.220833333333
171.0,764.1,1010.74466605432
205.0,810.6,731.442857142857
54.0,98.4,692.5
139.0,443.7,782.40016
171.0,764.1,700.912
0.0,30.9,588.7455
195.0,894.6,1061.96940298507
205.0,810.6,1003.62307692308
91.0,62.3,550.89675
80.0,86.4,638.9625
171.0,764.1,1047.66666666667
205.0,894.6,1020.876
205.0,810.6,1000.68584615385
171.0,781.6,698.761855670103
171.0,772.0,1000.18
205.0,810.6,730.983428571429
205.0,810.6,1001.62
65.0,254.0,898.072058823529
142.0,793.2,1125.49832635983
205.0,810.6,1002.05738461538
