superconduct/table53.mean_Density,superconduct/table53.range_Density,superconduct/table53.range_atomic_radius
4235.85725,8958.571,205.0
4434.35725,8958.571,171.0
1702.33333333333,1292.0,231.0
14875.0,15370.0,14.0
6545.75,1987.0,33.0
4975.4858,8958.571,171.0
4368.90483333333,8958.571,205.0
4963.4858,8958.571,205.0
2172.10725,4505.571,171.0
5035.80966666667,8958.571,147.0
5401.0,4364.0,150.0
4491.75,7018.0,139.0
13935.0,10730.0,24.0
5308.5,1603.0,5.0
2359.80966666667,6108.571,142.0
4491.75,7018.0,139.0
4584.2858,9778.571,171.0
5308.5,1603.0,5.0
4844.5715,9778.571,171.0
6106.8858,8958.571,158.0
10734.25,15950.0,114.0
4584.2858,9778.571,171.0
6694.5,3751.0,95.0
5170.2858,8958.571,205.0
9150.25,19900.0,80.0
3389.025,8958.571,211.0
5093.10725,8958.571,205.0
3981.5715,9778.571,171.0
2296.5286,8958.571,146.0
4565.5715,9778.571,171.0
4434.35725,8958.571,171.0
4611.90483333333,8958.571,205.0
4173.24,11848.749,205.0
8395.5,3769.0,16.0
6233.33333333333,10547.0,80.0
3993.28125,8958.571,164.0
4416.5,1813.0,128.0
2857.56,8568.749,150.0
8243.0,6521.0,95.0
5038.23816666667,8958.571,205.0
7237.0,2666.0,62.0
5154.0,6832.0,53.0
1397.5,1725.0,100.0
4591.0,6334.0,129.0
9160.0,14390.0,133.0
6233.33333333333,10547.0,80.0
5895.91842857143,11338.571,171.0
5838.2858,8898.571,137.0
5120.0,8320.0,103.0
5488.2858,9064.571,205.0
4963.4858,8958.571,205.0
6936.25,3656.0,117.0
4164.35725,8958.571,147.0
2152.66666666667,722.0,78.0
9529.5,5681.0,7.0
9298.0,6304.0,22.0
9291.66666666667,20230.0,73.0
1681.143,4505.571,128.0
4949.4858,8958.571,171.0
2099.0,722.0,58.0
9555.0,14190.0,113.0
9640.25,17940.0,139.0
4716.6858,8958.571,205.0
6596.347,12368.571,183.0
5287.4858,9778.571,147.0
4434.35725,8958.571,171.0
4816.6858,8958.571,205.0
5058.0858,8958.571,171.0
5531.0,5870.0,80.0
4949.4858,8958.571,171.0
2276.629725,8569.9101,150.0
5710.23816666667,11338.571,171.0
5776.23816666667,9778.571,171.0
1923.3633,3509.9101,200.0
5329.0858,8958.571,171.0
4619.06128571429,9778.571,171.0
2330.0,0.0,0.0
4786.40483333333,8958.571,205.0
4271.75,7018.0,129.0
3861.06128571429,8958.571,205.0
4235.85725,8958.571,205.0
5377.6858,7872.571,147.0
9236.33333333333,11831.0,97.0
5292.8858,8958.571,205.0
5255.60725,8958.571,205.0
754.434633333333,2259.9101,26.0
4992.0,7085.0,155.0
4877.10725,12368.571,171.0
4527.44642857143,7872.571,170.0
4235.85725,8958.571,205.0
5324.25,6324.0,81.0
1896.0,728.0,198.0
2467.379725,8899.9101,142.0
4816.6858,8958.571,205.0
5971.0858,8898.571,190.0
5223.60725,8958.571,183.0
5581.73816666667,8958.571,199.0
6595.47633333333,19248.571,145.0
4235.85725,8958.571,205.0
6300.5,793.0,3.0
4235.85725,8958.571,205.0
8288.5,10627.0,108.0
5539.6858,8958.571,205.0
7330.0,2460.0,53.0
14935.0,15250.0,35.0
5511.0858,13532.571,205.0
9787.33333333333,20230.0,101.0
9185.0,5610.0,33.0
5710.23816666667,11338.571,171.0
5168.6858,8958.571,205.0
10422.0,6224.0,15.0
5122.2858,8958.571,171.0
5000.47633333333,12368.571,171.0
4240.35416666667,9778.571,164.0
4565.5715,9778.571,171.0
6350.33333333333,8020.0,139.0
6011.54495,12022.9101,116.0
4716.6858,8958.571,205.0
4779.2858,8958.571,205.0
4584.2858,9778.571,171.0
4029.75,6906.0,80.0
8512.25,5100.0,62.0
5767.347,11338.571,171.0
5889.66666666667,3402.0,87.0
4235.85725,8958.571,205.0
5303.5715,9778.571,171.0
9267.0,5512.0,37.0
7405.0,2330.0,75.0
4015.85725,8958.571,171.0
4011.5,2623.0,7.0
3573.0,3500.0,27.0
4617.8858,8958.571,205.0
5578.10725,9839.571,205.0
4810.21798,8899.9101,141.0
11595.0,510.0,2.0
8197.0,4586.0,29.0
5316.60725,8958.571,205.0
10291.0,3453.0,29.0
5139.48985714286,11338.571,178.0
6463.0858,13532.571,171.0
5392.8858,8958.571,205.0
6703.5,4393.0,24.0
5174.2858,11848.571,205.0
6090.2858,11848.571,171.0
4654.35725,8958.571,205.0
4637.63271428571,11338.571,205.0
11380.0,10540.0,29.0
4617.8858,8958.571,205.0
4716.6858,8958.571,205.0
12553.3333333333,19890.0,67.0
3388.70378,8959.9101,205.0
5329.0858,8958.571,171.0
5170.2858,8958.571,205.0
4926.90483333333,9778.571,199.0
8805.0,5390.0,12.0
6476.23816666667,11338.571,171.0
4963.4858,8958.571,205.0
4434.35725,8958.571,171.0
4654.35725,8958.571,205.0
3914.6858,8958.571,205.0
7470.5,2649.0,31.0
3950.025,7872.571,153.0
2804.625,8958.571,211.0
4617.8858,8958.571,205.0
5386.2858,9778.571,199.0
7257.0858,13532.571,205.0
6946.5,3247.0,73.0
4491.75,7018.0,139.0
5137.0715,9778.571,185.0
6394.48985714286,11338.571,171.0
3536.85725,9778.571,205.0
4596.2858,8958.571,183.0
4235.85725,8958.571,205.0
4816.6858,8958.571,205.0
7705.5,2389.0,54.0
4997.90483333333,8958.571,205.0
4584.2858,9778.571,171.0
6567.5715,13532.571,205.0
6982.6858,13532.571,205.0
4733.4858,8958.571,158.0
3169.225,7872.571,153.0
6928.0,10627.0,108.0
13565.0,14910.0,17.0
5511.0858,13532.571,205.0
6319.0,10632.0,111.0
4235.85725,8958.571,205.0
4434.35725,8958.571,171.0
6948.66666666667,10040.0,84.0
5224.2858,8958.571,205.0
7794.0,3004.0,62.0
5093.10725,8958.571,205.0
6994.2,5450.0,139.0
4975.4858,8958.571,171.0
3799.5715,8958.571,205.0
5331.23816666667,9778.571,178.0
2804.625,8958.571,211.0
4654.35725,8958.571,205.0
4164.35725,8958.571,147.0
4235.85725,8958.571,205.0
4033.4858,8958.571,205.0
2099.0,722.0,58.0
9770.0,16600.0,56.0
7205.0,10490.0,86.0
4212.1392,9778.304,177.0
4716.6858,8958.571,205.0
4235.85725,8958.571,205.0
4272.23816666667,8958.571,205.0
7540.5,2059.0,8.0
2379.47633333333,4505.571,171.0
6021.4858,12368.571,171.0
1681.143,4505.571,128.0
3950.025,7872.571,153.0
4816.6858,8958.571,205.0
5122.2858,8958.571,171.0
5122.2858,8958.571,171.0
11860.0,18320.0,70.0
6567.5715,13532.571,205.0
6591.33333333333,4063.0,65.0
12610.0,8080.0,2.0
2804.625,8958.571,211.0
6393.06128571429,11338.571,171.0
4816.6858,8958.571,205.0
6694.5,3751.0,95.0
5710.23816666667,11338.571,171.0
4825.5715,11338.571,171.0
4565.5715,9778.571,171.0
2099.0,722.0,58.0
7261.33333333333,2666.0,62.0
4250.5715,8958.571,205.0
4682.4858,8906.571,171.0
4584.2858,9778.571,171.0
5455.35725,8217.571,177.0
4235.85725,8958.571,205.0
6146.0,0.0,0.0
12252.25,15871.0,29.0
5927.0,5870.0,88.0
4516.33333333333,7018.0,140.0
4963.4858,8958.571,205.0
5928.40483333333,10278.571,171.0
4733.4858,8958.571,158.0
6346.5,3055.0,53.0
3950.025,7872.571,153.0
5093.10725,8958.571,205.0
5504.0,7520.0,145.0
4654.35725,8958.571,205.0
9693.33333333333,5140.0,77.0
6501.35725,13532.571,205.0
2472.5,1025.0,97.0
10025.5,16127.0,122.0
3698.6858,8958.571,205.0
6303.75033333333,16648.749,144.0
5100.66666666667,6310.0,145.0
6728.0,1164.0,39.0
8212.0,5704.0,91.0
4164.35725,8958.571,147.0
5505.40483333333,10278.571,171.0
4816.6858,8958.571,205.0
5695.0,902.0,36.0
5531.0,5870.0,80.0
5041.4858,8958.571,171.0
5737.0,7060.0,155.0
4235.85725,8958.571,205.0
4643.5715,9778.571,171.0
5687.2858,8958.571,199.0
5384.35725,9064.571,205.0
11500.0,0.0,0.0
6650.0,1080.0,5.0
5447.85725,9318.571,205.0
4975.4858,8958.571,171.0
4654.35725,8958.571,205.0
12409.0,13396.0,38.0
4882.6858,8958.571,205.0
8194.33333333333,17427.0,155.0
4434.35725,8958.571,171.0
4235.85725,8958.571,205.0
4157.143,8958.571,205.0
6982.6858,13532.571,205.0
4637.63271428571,11338.571,205.0
4188.90483333333,8958.571,205.0
6194.8,6648.0,161.0
4884.33333333333,5914.0,69.0
8837.25,5761.0,33.0
9935.66666666667,18820.0,105.0
12602.0,13396.0,38.0
5170.2858,8958.571,205.0
4428.85725,8958.571,205.0
4235.85725,8958.571,205.0
5035.80966666667,8958.571,147.0
4565.5715,8958.571,205.0
4235.85725,8958.571,205.0
4919.02083333333,8898.571,164.0
5050.33333333333,6324.0,80.0
5632.4858,8958.571,205.0
6025.0,242.0,59.0
14368.0,16444.0,10.0
5303.5715,9778.571,171.0
9405.0858,21018.571,205.0
4716.6858,8958.571,205.0
4106.5715,8958.571,205.0
4825.5715,11338.571,171.0
8076.66666666667,9990.0,135.0
6240.0,0.0,0.0
8105.0,1590.0,4.0
19250.0,0.0,0.0
5137.0715,9778.571,185.0
21805.0,1570.0,3.0
4529.5715,8958.571,205.0
7314.66666666667,2666.0,62.0
8135.0,9380.0,103.0
22590.0,0.0,0.0
2069.5,381.0,231.0
4584.2858,9778.571,171.0
4415.0,4310.0,155.0
5132.5715,9778.571,171.0
4235.85725,8958.571,205.0
5982.40483333333,12368.571,183.0
4949.4858,8958.571,171.0
4525.0,6648.0,145.0
4519.75,6906.0,139.0
5447.85725,9318.571,205.0
6267.48985714286,11338.571,171.0
9150.25,19900.0,80.0
4565.5715,8958.571,205.0
19200.0,10140.0,12.0
5572.60725,8958.571,199.0
7540.5,2059.0,8.0
5578.10725,9839.571,205.0
8635.33333333333,6304.0,50.0
6606.66666666667,7000.0,65.0
4654.35725,8958.571,205.0
5665.10725,8958.571,158.0
5303.33333333333,5140.0,60.0
6578.0,864.0,11.0
5649.2858,8958.571,205.0
8095.90483333333,21018.571,205.0
12905.5,12789.0,32.0
5094.25,6342.0,151.0
5174.2858,11848.571,205.0
4949.4858,8958.571,171.0
21020.0,0.0,0.0
4264.025,19248.571,223.0
7463.66666666667,2059.0,50.0
6930.33333333333,8320.0,141.0
6946.5,3247.0,73.0
6048.33333333333,5398.0,139.0
4975.4858,8958.571,171.0
2152.66666666667,722.0,78.0
2099.0,722.0,58.0
5497.23816666667,10278.571,199.0
4235.85725,8958.571,205.0
4872.23816666667,9064.571,205.0
4157.4858,9778.571,205.0
4106.5715,8958.571,205.0
7993.5,3695.0,22.0
4781.33333333333,3780.0,60.0
7718.272475,12022.9101,145.0
9420.25,18820.0,105.0
3410.66666666667,7339.0,69.0
2219.0,962.0,27.0
7405.0,2330.0,75.0
8212.0,5704.0,91.0
5529.35725,8958.571,158.0
7980.0,1340.0,5.0
3427.63271428571,8958.571,205.0
4235.85725,8958.571,205.0
15010.0,12880.0,21.0
10549.0,17402.0,81.0
7119.0,1755.0,77.0
5236.2858,8958.571,205.0
5825.5,6630.0,74.0
10156.3333333333,19120.0,74.0
7906.5,5167.0,40.0
6310.5,401.0,35.0
13750.0,16320.0,57.0
6516.66666666667,8320.0,103.0
5528.8858,9778.571,190.0
4873.10725,8958.571,185.0
5093.10725,8958.571,205.0
5710.23816666667,11338.571,171.0
14176.6666666667,18760.0,126.0
4716.6858,8958.571,205.0
3914.6858,8958.571,205.0
3256.2858,8958.571,205.0
15320.0,7960.0,20.0
6180.8858,8958.571,190.0
4654.35725,8958.571,205.0
7636.0,11796.0,26.0
3698.6858,8958.571,205.0
5761.2858,8958.571,158.0
11434.0,19172.0,76.0
4491.75,7018.0,139.0
9910.5,6799.0,2.0
8303.33333333333,10110.0,123.0
4963.4858,8958.571,205.0
2193.33333333333,1150.0,83.0
4188.90483333333,8958.571,205.0
6681.66666666667,7511.0,106.0
3698.6858,8958.571,205.0
7992.0,9990.0,139.0
8853.80966666667,19248.571,145.0
4249.4858,8958.571,205.0
5505.40483333333,10278.571,171.0
7581.66666666667,9465.0,39.0
4235.85725,8958.571,205.0
4285.6255,8568.749,142.0
3249.4858,6695.571,217.0
5255.60725,8958.571,205.0
3577.825,9778.571,153.0
5168.6858,8958.571,205.0
3695.0858,8958.571,217.0
7963.0,3634.0,52.0
5686.2858,9318.571,205.0
1870.86625,6509.749,150.0
7525.66666666667,1873.0,65.0
4557.85725,8958.571,199.0
6558.5715,11338.571,199.0
4643.5715,9778.571,171.0
7592.0,3174.0,77.0
5505.0858,8958.571,205.0
5776.23816666667,9778.571,171.0
5363.0,5870.0,95.0
8010.0,3540.0,20.0
5160.90483333333,8898.571,199.0
3582.2858,8958.571,205.0
4733.4858,8958.571,158.0
6595.0,7790.0,47.0
4926.90483333333,9778.571,199.0
4956.10725,8958.571,205.0
4816.6858,8958.571,205.0
5384.35725,9064.571,205.0
15650.0,10740.0,2.0
5000.47633333333,12368.571,171.0
5057.23816666667,11848.571,205.0
4467.90483333333,8958.571,205.0
4933.347,9778.571,171.0
980.04495,1959.9101,34.0
779.335225,2259.9101,190.0
6156.48985714286,13532.571,199.0
16420.0,12280.0,10.0
4235.85725,8958.571,205.0
4206.2858,8958.571,205.0
8478.5,7943.0,3.0
10237.6666666667,6210.0,50.0
3020.2858,8958.571,171.0
6476.23816666667,11338.571,171.0
5257.66666666667,7350.0,69.0
5174.2858,11848.571,205.0
4298.23816666667,8958.571,205.0
4044.77557142857,8958.571,205.0
4434.35725,8958.571,171.0
5000.47633333333,12368.571,171.0
5734.178625,11338.571,171.0
4249.4858,8958.571,205.0
4033.4858,8958.571,205.0
6953.33333333333,1070.0,33.0
3610.417,8568.749,142.0
4844.5715,9778.571,171.0
9325.0,4030.0,2.0
5303.75,9763.0,145.0
4859.2858,8958.571,205.0
4497.5715,8958.571,205.0
11115.0,2670.0,30.0
7195.0,12678.0,72.0
4716.6858,8958.571,205.0
6502.75,5390.0,139.0
5511.0858,13532.571,205.0
3168.2858,8958.571,171.0
13780.0,15340.0,6.0
6501.35725,13532.571,205.0
3950.025,7872.571,153.0
5107.0858,9778.571,183.0
12720.0,16990.0,133.0
6157.85725,11338.571,205.0
6578.0,864.0,11.0
4882.6858,8958.571,205.0
4434.35725,8958.571,171.0
4654.35725,8958.571,205.0
5137.0715,9778.571,185.0
4235.85725,8958.571,205.0
6282.75,6270.0,105.0
4812.1392,8906.304,152.0
4617.8858,8958.571,205.0
2330.0,0.0,0.0
5174.2858,11848.571,205.0
7790.0,10490.0,86.0
4551.23816666667,8958.571,205.0
5415.0,6310.0,131.0
5292.5715,8958.571,205.0
5093.10725,8958.571,205.0
4998.2858,11848.571,171.0
3950.025,7872.571,153.0
5255.60725,8958.571,205.0
5373.5715,9778.571,174.0
11380.0,10540.0,29.0
6210.20414285714,11848.571,171.0
4439.0,5402.0,3.0
4716.6858,8958.571,205.0
5038.5715,9778.571,171.0
4402.66666666667,9312.0,103.0
6421.5,551.0,62.0
8262.66666666667,1598.0,53.0
7103.33333333333,10900.0,49.0
6473.3633,13309.9101,155.0
5737.91842857143,11338.571,171.0
4643.5715,9778.571,171.0
2296.5286,8958.571,146.0
6793.73816666667,12368.571,185.0
4802.90483333333,8958.571,205.0
4235.85725,8958.571,205.0
5593.0858,13532.571,205.0
10422.0,6224.0,26.0
14795.0,12450.0,10.0
3570.61625,13308.749,152.0
4647.90483333333,8958.571,205.0
5993.0,6630.0,74.0
5170.2858,8958.571,205.0
3700.0,2480.0,28.0
7105.66666666667,613.0,23.0
6994.0,6833.0,73.0
5851.20414285714,11338.571,171.0
4949.4858,8958.571,171.0
4617.8858,8958.571,205.0
4122.825,7872.571,164.0
4422.8858,7872.571,137.0
4434.35725,8958.571,171.0
4033.4858,8958.571,205.0
4235.85725,8958.571,205.0
6180.8858,8958.571,190.0
5851.20414285714,11338.571,171.0
4482.48985714286,8898.571,171.0
6363.06128571429,11338.571,171.0
4584.2858,9778.571,171.0
4926.90483333333,9778.571,199.0
5606.20414285714,11848.571,205.0
10280.0,0.0,0.0
3950.025,7872.571,153.0
2804.625,8958.571,211.0
4679.23816666667,8958.571,171.0
4654.35725,8958.571,205.0
2920.0,1180.0,142.0
9405.0858,21018.571,205.0
10013.5,20230.0,106.0
4584.2858,9778.571,171.0
10025.5,16127.0,122.0
4434.35725,8958.571,171.0
8593.5,3793.0,32.0
3914.6858,8958.571,205.0
4468.4858,7872.571,171.0
3919.5715,8958.571,171.0
3950.025,7872.571,153.0
6567.5715,13532.571,205.0
2099.0,722.0,58.0
4157.4858,9778.571,205.0
6021.4858,12368.571,171.0
7540.5,2059.0,8.0
4716.6858,8958.571,205.0
5168.6858,9778.571,171.0
2567.11333333333,8958.749,171.0
11130.0,3880.0,25.0
4816.6858,8958.571,205.0
5815.4858,11338.571,171.0
7718.272475,12022.9101,145.0
4434.35725,8958.571,171.0
4584.2858,9778.571,171.0
7062.6858,19248.571,171.0
5841.0858,12368.571,183.0
4497.5715,8958.571,205.0
6946.5,3247.0,73.0
15320.0,7960.0,20.0
4024.0,6136.0,69.0
12610.0,8080.0,2.0
2034.093,6509.749,150.0
8886.5,7127.0,48.0
7791.33333333333,2996.0,62.0
5122.2858,8958.571,171.0
3545.80966666667,9778.571,195.0
3950.025,7872.571,153.0
3695.0858,8958.571,217.0
9092.66666666667,5681.0,47.0
5538.35725,8549.571,180.0
5665.10725,8958.571,158.0
4956.10725,8958.571,205.0
4467.90483333333,8958.571,205.0
4584.2858,9778.571,171.0
4235.85725,8958.571,205.0
8570.0,0.0,0.0
8549.4,19900.0,81.0
952.26818,2259.9101,212.0
4716.6858,8958.571,205.0
5254.75,7018.0,140.0
4716.6858,8958.571,205.0
8252.25,6521.0,119.0
5174.2858,11848.571,205.0
4491.75,7018.0,139.0
6927.80966666667,19248.571,217.0
5223.25,5914.0,69.0
4816.6858,8958.571,205.0
5735.4858,9064.571,205.0
9533.5,5673.0,45.0
3962.90483333333,9778.571,195.0
4816.6858,8958.571,205.0
5000.0,8020.0,123.0
12074.25,15950.0,114.0
5938.77557142857,11338.571,171.0
3914.6858,8958.571,205.0
5170.2858,8958.571,205.0
9429.0,20230.0,106.0
9240.0,6260.0,7.0
5162.91842857143,11338.571,250.0
10308.0,20767.0,108.0
5174.2858,11848.571,205.0
5710.23816666667,11338.571,171.0
6372.4858,12368.571,185.0
12113.3333333333,15920.0,105.0
8401.66666666667,6224.0,17.0
2152.66666666667,722.0,78.0
6011.54495,12022.9101,116.0
6267.48985714286,11338.571,171.0
8050.0,5100.0,33.0
6270.0,8020.0,123.0
5710.23816666667,11338.571,171.0
9787.33333333333,20230.0,101.0
15650.0,10740.0,2.0
5447.85725,9318.571,205.0
10815.0,2070.0,13.0
5981.5,11488.0,82.0
5993.0,6630.0,74.0
5174.2858,11848.571,205.0
12720.0,16990.0,133.0
9458.66666666667,6304.0,52.0
6501.35725,13532.571,205.0
10250.0,3200.0,5.0
5710.23816666667,11338.571,171.0
5511.0858,13532.571,205.0
4956.10725,8958.571,205.0
4617.8858,8958.571,205.0
4870.35725,8958.571,205.0
8401.66666666667,6224.0,17.0
9455.0,14390.0,133.0
6139.8858,9318.571,205.0
5982.40483333333,12368.571,183.0
1558.0,1404.0,176.0
3928.6858,8958.571,205.0
2172.10725,4505.571,171.0
5263.73816666667,9839.571,205.0
5168.6858,8958.571,205.0
6460.0,8320.0,103.0
5060.2858,11338.571,171.0
2152.66666666667,722.0,78.0
4584.2858,9778.571,171.0
12074.25,15950.0,114.0
4565.5715,9778.571,171.0
3750.625,9778.571,164.0
6864.3633,12022.9101,145.0
8512.25,5100.0,62.0
5420.63271428571,11338.571,190.0
9108.25,6845.0,33.0
7636.0,11796.0,26.0
6538.8858,13532.571,205.0
4975.4858,8958.571,171.0
3114.2858,6695.571,205.0
7112.0,9990.0,139.0
4617.8858,8958.571,205.0
4247.90483333333,8958.571,171.0
5018.0858,8958.571,190.0
7549.5,5461.0,87.0
4584.2858,9778.571,171.0
22575.0,30.0,5.0
6567.5715,13532.571,205.0
4220.0,3780.0,60.0
4565.5715,9778.571,171.0
5449.10725,8958.571,147.0
4033.4858,8958.571,205.0
4302.0,7170.0,82.0
4191.425,7872.571,196.0
5251.63271428571,9778.571,171.0
6080.35725,11848.571,205.0
7355.0,10190.0,106.0
1577.66666666667,1925.0,80.0
5323.80966666667,8958.571,158.0
5136.2858,8958.571,205.0
5318.0,8924.0,100.0
7248.6858,19298.571,205.0
2394.33333333333,1247.0,97.0
4956.10725,8958.571,205.0
4584.2858,9778.571,171.0
13935.0,10730.0,24.0
7156.33333333333,10120.0,74.0
5578.10725,9839.571,205.0
6075.0,6270.0,117.0
7102.0,8320.0,139.0
11740.0,18560.0,101.0
4617.8858,8958.571,205.0
3925.33333333333,8104.0,156.0
8816.33333333333,5761.0,29.0
5643.63271428571,11338.571,183.0
7248.6858,19298.571,205.0
6476.23816666667,11338.571,171.0
6575.90483333333,13532.571,171.0
2463.33333333333,1960.0,142.0
4527.5,5995.0,184.0
5480.23816666667,11848.571,205.0
13237.6666666667,15210.0,54.0
6417.0,7820.0,119.0
5137.0715,9778.571,185.0
1270.02996666667,2259.9101,141.0
